	ARX	ASCL1	ASCL2	E2F7	FEV	FOXD4L5	FOXP2	HIC1	MAFA	PAX4	PBX3	SOX4	TFCP2L1	ZFP69B	ZNF519	ZNF846
GO_GATED_CHANNEL_ACTIVITY	KCNB2 KCNJ2 KCNK17 NALCN SNAP25	ASIC1 CACNA1G KCNAB2 KCNMB2 SCN1B	GRIN2C KCNB2 KCNH7 KCNJ2 KCNK17	CACNA1C CNGA3 KCNH8 KCNIP3 KCNJ11 KCNN3 SNAP25	ASIC4 CACNA1C CACNA1E CACNA2D2 CACNB2 CHRNA5 CLCA4 CNGA3 CNGA4 KCNB2 KCNC1 KCNH8 KCNJ2 KCNJ3 KCNK17 KCNT2 NALCN SCN1B SCN3B TRPM3	CACNA1E CACNA1G CHRNA5 CLCA1 GABRB3 GABRG2 KCNE4 KCNK3	CHRNA3 CHRNA5 CHRNB2 CLCA4 KCNC1 KCNE4		CACNA1C CACNA1E CACNA1G	CACNA1E CACNA1G CACNA1H CACNA2D2 HCN4 ITPR1 KCNH6 KCNK3	CACNA1G GRIK5 KCNAB2 KCNE4 SNAP25	ABCC8 ASIC1 ASIC4 CACNA1A CACNA1C CHRNA5 CLCA4 GABRA1 GRIK5 HCN4 KCNB2 KCNH3 KCNH6 KCNIP3 KCNJ3 KCNMA1 KCNMB2 KCNN3 NALCN SCN1B SNAP25 TRPM3	ASIC4 CACNA1C CACNA1G CNGA3 GABRA1 KCNH2 KCNJ6 KCNK3 P2RX6			FAM155B GRIN1 HCN4 ITPR1 KCNH2 KCNJ11 P2RX6 SCN1B SCN3B
GO_HORMONE_ACTIVITY				CHGB SCT	AGT CRH GIP MLN SST UCN3	CSH1 PYY SST UCN3	GIP TTR		NPY SCT SST		NPY SST	AGT GAST GIP NTS PYY UCN3 VGF	AGT CHGB CSH1 GHRL INS-IGF2 MLN SCT VGF	CRH GAST SCT VGF	CRH INS-IGF2	AGT MLN VGF
GO_HORMONE_TRANSPORT	BRSK2 FZD4 SLC30A8 SNAP25 SPP1 STX1A UCN3	FFAR2 FZD4 PTPRN2	ADCY5 FZD4	BAIAP3 BRSK2 CACNA1C KCNJ11 RAPGEF4 RFX6 SCT SNAP25	AGT BAIAP3 CACNA1C CACNA1E CACNA2D2 CPE CRH GIP PTPRN SFRP1 SLC30A8 STXBP5L UCN3	CACNA1E FFAR2 PTPRN2 UCN3	ADCY5 GIP STX1A STXBP5L TTR	CHGA STX1A STXBP5L	CACNA1C CACNA1E CHGA PTPRN SCT SLC30A8	CACNA1E CACNA2D2 ITPR1 PTPRN2		ABCC8 AGT BAIAP3 CACNA1A CACNA1C CHGA FFAR1 FZD4 GIP ISL1 SCG5 SNAP25 SPP1 STX1A STXBP5L UCN3 VGF	AGT BAIAP3 CACNA1C CPE GHRL ISL1 NEUROD1 PTPRN RFX6 SCG5 SCT VGF	CRH SCT TAC1 VGF		AGT ITPR1 KCNJ11 VGF
GO_INORGANIC_ION_TRANSMEMBRANE_TRANSPORT	KCNB2 KCNJ2 KCNK17 NALCN RGS4 S100A1 SLC30A8 SLC8A1 SNAP25	ASIC1 CACNA1G FXYD6 KCNAB2 KCNMB2 SCN1B SLC25A27	ATP1A3 FXYD1 GRIN2C KCNB2 KCNH7 KCNJ2 KCNK17	CACNA1C CNGA3 FXYD1 FXYD6 KCNH8 KCNIP3 KCNJ11 KCNN3 SLC12A5 SNAP25 WNK3	ANK2 ASIC4 ATP6V1G2 CACNA1C CACNA1E CACNA2D2 CACNB2 CLCA4 CNGA3 FXYD6 HAP1 HECW2 KCNB2 KCNC1 KCNH8 KCNJ2 KCNJ3 KCNK17 KCNT2 NALCN RGS4 SCN1B SCN3B SLC25A27 SLC26A7 SLC30A8 SLC6A17 SLC8A1 TRPM3 WNK3	ATP1A3 ATP6V1G2 CACNA1E CACNA1G CLCA1 GABRB3 GABRG2 HAP1 HECW2 KCNE4 KCNK3 RGS9	CLCA4 HECW2 KCNC1 KCNE4 S100A1			CACNA1E CACNA1G CACNA1H CACNA2D2 HCN4 ITPR1 KCNH6 KCNK3		ABCC8 ANK2 ASIC1 ASIC4 ATP1A3 ATP6V1G2 CACNA1A CACNA1C CLCA4 DPP10 FGF14 GABRA1 HAP1 HCN4 KCNB2 KCNH3 KCNH6 KCNIP3 KCNJ3 KCNMA1 KCNMB2 KCNN3 NALCN RGS4 S100A1 SCN1B SLC12A5 SNAP25 TRPM3	ASIC4 CACNA1C CACNA1G CNGA3 FXYD1 GABRA1 GSTM2 KCNH2 KCNJ6 KCNK3	RGS4 S100A1 SCN1B		FAM155B FGF14 GRIN1 GSTM2 HCN4 ITPR1 KCNH2 KCNJ11 S100A1 SCN1B SCN3B
GO_ION_TRANSMEMBRANE_TRANSPORT	KCNB2 KCNJ2 KCNK17 NALCN NEFL RGS4 S100A1 SLC30A8 SLC8A1 SNAP25 UNC79	ABCC4 ASIC1 CACNA1G FXYD6 KCNAB2 KCNMB2 SCN1B SLC25A27 SLC7A2	ATP1A3 FXYD1 GRIN2C KCNB2 KCNH7 KCNJ2 KCNK17	CACNA1C CNGA3 CNIH2 FXYD1 FXYD6 KCNH8 KCNIP3 KCNJ11 KCNN3 SLC12A5 SNAP25 UNC79 WNK3	AGT ANK2 ASIC4 ATP6V1G2 CACNA1C CACNA1E CACNA2D2 CACNB2 CHRNA5 CLCA4 CNGA3 CNGA4 CRH FXYD6 HAP1 HECW2 KCNB2 KCNC1 KCNH8 KCNJ2 KCNJ3 KCNK17 KCNT2 NALCN RGS4 SCN1B SCN3B SLC16A12 SLC25A27 SLC26A7 SLC30A8 SLC6A17 SLC7A14 SLC8A1 TRPM3 UNC79 UNC80 WNK3	ATP1A3 ATP6V1G2 CACNA1E CACNA1G CHRNA5 CLCA1 GABRB3 GABRG2 HAP1 HECW2 KCNE4 KCNK3 RGS9	CHRNA3 CHRNA5 CHRNB2 CLCA4 HECW2 KCNC1 KCNE4 S100A1 UNC80			CACNA1E CACNA1G CACNA1H CACNA2D2 HCN4 ITPR1 KCNH6 KCNK3 SLC16A12		ABCC8 AGT ANK2 ASIC1 ASIC4 ATP1A3 ATP6V1G2 CACNA1A CACNA1C CHRNA5 CLCA4 CNIH2 DPP10 FGF14 GABRA1 GRIK5 HAP1 HCN4 KCNB2 KCNH3 KCNH6 KCNIP3 KCNJ3 KCNMA1 KCNMB2 KCNN3 NALCN RGS4 S100A1 SCN1B SLC12A5 SLC16A12 SLC7A14 SNAP25 TRPM3 UNC80	AGT ASIC4 CACNA1C CACNA1G CNGA3 FXYD1 GABRA1 GSTM2 KCNH2 KCNJ6 KCNK3 P2RX6 SLC7A14	CRH RGS4 S100A1 SCN1B		AGT CNIH2 FAM155B FGF14 GRIN1 GSTM2 HCN4 ITPR1 KCNH2 KCNJ11 P2RX6 S100A1 SCN1B SCN3B
GO_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	KCNB2 KCNJ2 KCNK17 NALCN SLC18A1 SLC30A8 SLC8A1 SNAP25	ABCC4 ASIC1 CACNA1G KCNAB2 KCNMB2 SCN1B SLC7A2	ATP1A3 FXYD1 GRIN2C KCNB2 KCNH7 KCNJ2 KCNK17	CACNA1C CNGA3 FXYD1 KCNH8 KCNIP3 KCNJ11 KCNN3 SLC12A5 SNAP25	ASIC4 ATP6V1G2 CACNA1C CACNA1E CACNA2D2 CACNB2 CHRNA5 CLCA4 CNGA3 CNGA4 KCNB2 KCNC1 KCNH8 KCNJ2 KCNJ3 KCNK17 KCNT2 NALCN SCN1B SCN3B SLC16A12 SLC26A7 SLC30A8 SLC7A14 SLC8A1 TRPM3 UNC80	ATP1A3 ATP6V1G2 CACNA1E CACNA1G CHRNA5 CLCA1 GABRB3 GABRG2 KCNE4 KCNK3	CHRNA3 CHRNA5 CHRNB2 CLCA4 KCNC1 KCNE4 SLC18A1 UNC80			CACNA1E CACNA1G CACNA1H CACNA2D2 HCN4 ITPR1 KCNH6 KCNK3 SLC16A12	CACNA1G GRIK5 KCNAB2 KCNE4 SNAP25	ABCC8 ASIC1 ASIC4 ATP1A3 ATP6V1G2 CACNA1A CACNA1C CHRNA5 CLCA4 GABRA1 GRIK5 HCN4 KCNB2 KCNH3 KCNH6 KCNIP3 KCNJ3 KCNMA1 KCNMB2 KCNN3 NALCN SCN1B SLC12A5 SLC16A12 SLC18A1 SLC7A14 SNAP25 TRPM3 UNC80	ASIC4 CACNA1C CACNA1G CNGA3 FXYD1 GABRA1 KCNH2 KCNJ6 KCNK3 P2RX6 SLC7A14			FAM155B GRIN1 HCN4 ITPR1 KCNH2 KCNJ11 P2RX6 SCN1B SCN3B
GO_ION_TRANSPORT	CAMK2B KCNB2 KCNJ2 KCNK17 NALCN NEFL RGS4 S100A1 SLC18A1 SLC30A8 SLC8A1 SNAP25 STX1A UNC79	ABCC4 ASIC1 CACNA1G FXYD6 KCNAB2 KCNMB2 NTRK2 SCN1B SLC25A27 SLC7A2	ATP1A3 FXYD1 GRIN2C KCNB2 KCNH7 KCNJ2 KCNK17	CACNA1C CNGA3 CNIH2 FXYD1 FXYD6 KCNH8 KCNIP3 KCNJ11 KCNN3 SLC12A5 SNAP25 UNC79 WNK3	AGT ANK2 ASIC4 ATP6V1G2 AVPR1B CACNA1C CACNA1E CACNA2D2 CACNB2 CHRNA5 CLCA4 CNGA3 CNGA4 CRH FXYD6 HAP1 HECW2 KCNB2 KCNC1 KCNH8 KCNJ2 KCNJ3 KCNK17 KCNT2 NALCN RGS4 SCN1B SCN3B SLC16A12 SLC25A27 SLC26A7 SLC30A8 SLC6A17 SLC7A14 SLC8A1 SV2A TRPM3 UNC79 UNC80 WNK3 XKR7	ATP1A3 ATP6V1G2 CACNA1E CACNA1G CHRNA5 CLCA1 GABRB3 GABRG2 HAP1 HECW2 KCNE4 KCNK3 RGS9	CHRNA3 CHRNA5 CHRNB2 CLCA4 HECW2 KCNC1 KCNE4 S100A1 SLC18A1 STX1A UNC80			CACNA1E CACNA1G CACNA1H CACNA2D2 HCN4 ITPR1 KCNH6 KCNK3 SLC16A12	ADORA2A CACNA1G GRIK5 KCNAB2 KCNE4 NTRK2 SNAP25 SPTBN4	ABCC8 AGT ANK2 ASIC1 ASIC4 ATP1A3 ATP6V1G2 CACNA1A CACNA1C CES1 CHRNA5 CLCA4 CNIH2 DPP10 FABP5 FFAR1 FGF14 GABRA1 GRIK5 HAP1 HCN4 KCNB2 KCNH3 KCNH6 KCNIP3 KCNJ3 KCNMA1 KCNMB2 KCNN3 NALCN RGS4 S100A1 SCN1B SLC12A5 SLC16A12 SLC18A1 SLC7A14 SNAP25 SPTBN4 STX1A SV2A TRPM3 UNC80	ADORA2A AGT ASIC4 AVPR1B CACNA1C CACNA1G CNGA3 CXCL12 FXYD1 GABRA1 GSTM2 KCNH2 KCNJ6 KCNK3 NTRK2 P2RX6 SLC7A14	AVPR1B CES1 CRH RGS4 S100A1 SCN1B		AGT CAMK2B CNIH2 FAM155B FGF14 GRIN1 GSTM2 HCN4 ITPR1 KCNH2 KCNJ11 P2RX6 S100A1 SCN1B SCN3B
GO_LOCOMOTORY_BEHAVIOR	C1QL1 FZD4 PAK6 SEZ6 SNAP25		ADCY5 FZD4 PAK6				ADCY5 CHRNA3 CHRNB2 GIP SEZ6L TMOD1		EFNB3 NEGR1 SEZ6L		ADORA2A SNAP25 SPTBN4	CHL1 EFNB3 FZD4 GIP GNAO1 LMX1A PAK6 PBX3 SEZ6 SEZ6L SNAP25 SPTBN4 TMOD1 UCHL1	ADORA2A C1QL1 CXCL12 SEZ6 TMOD1 UCHL1		C1QL1 CRH NEGR1 SPTBN4	EFNB3 GRIN1 SEZ6 TMOD1
GO_MEMBRANE_DEPOLARIZATION	KCNJ2 SLC8A1	CACNA1G SCN1B			ANK2 CACNA1C CACNA1E CACNB2 KCNJ2 MLLT11 SCN1B SCN3B SLC8A1	CACNA1E CACNA1G			CACNA1C CACNA1E CACNA1G	CACNA1E CACNA1G CACNA1H HCN4	ADORA2A CACNA1G MLLT11	ANK2 CACNA1A CACNA1C HCN4 MLLT11 SCN1B	ADORA2A CACNA1C CACNA1G KCNH2 MLLT11			HCN4 KCNH2 SCN1B SCN3B
GO_MEMBRANE_DEPOLARIZATION_DURING_ACTION_POTENTIAL	KCNJ2 SLC8A1	CACNA1G SCN1B			ANK2 CACNA1C CACNB2 KCNJ2 SCN1B SCN3B SLC8A1				CACNA1C CACNA1G	CACNA1G CACNA1H HCN4		ANK2 CACNA1C HCN4 SCN1B	CACNA1C CACNA1G KCNH2			HCN4 KCNH2 SCN1B SCN3B
GO_MEMBRANE_DEPOLARIZATION_DURING_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	KCNJ2 SLC8A1	CACNA1G SCN1B			ANK2 CACNA1C CACNB2 KCNJ2 SCN1B SCN3B SLC8A1				CACNA1C CACNA1G	CACNA1G HCN4		ANK2 CACNA1C HCN4 SCN1B	CACNA1C CACNA1G			HCN4 SCN1B SCN3B
GO_METAL_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	KCNB2 KCNJ2 KCNK17 NALCN SLC18A1 SLC30A8 SLC8A1 SNAP25	ASIC1 CACNA1G KCNAB2 KCNMB2 SCN1B	ATP1A3 GRIN2C KCNB2 KCNH7 KCNJ2 KCNK17	CACNA1C KCNH8 KCNIP3 KCNJ11 KCNN3 SLC12A5 SNAP25	ASIC4 CACNA1C CACNA1E CACNA2D2 CACNB2 KCNB2 KCNC1 KCNH8 KCNJ2 KCNJ3 KCNK17 KCNT2 NALCN SCN1B SCN3B SLC30A8 SLC8A1 TRPM3	ATP1A3 CACNA1E CACNA1G KCNE4 KCNK3	KCNC1 KCNE4 SLC18A1		CACNA1C CACNA1E CACNA1G SLC30A8	CACNA1E CACNA1G CACNA1H CACNA2D2 HCN4 ITPR1 KCNH6 KCNK3	CACNA1G GRIK5 KCNAB2 KCNE4 SNAP25	ABCC8 ASIC1 ASIC4 ATP1A3 CACNA1A CACNA1C GRIK5 HCN4 KCNB2 KCNH3 KCNH6 KCNIP3 KCNJ3 KCNMA1 KCNMB2 KCNN3 NALCN SCN1B SLC12A5 SLC18A1 SNAP25 TRPM3	ASIC4 CACNA1C CACNA1G KCNH2 KCNJ6 KCNK3		ATP1A3 GRIK5 NCS1	FAM155B GRIN1 HCN4 ITPR1 KCNH2 KCNJ11 SCN1B SCN3B
GO_METAL_ION_TRANSPORT	CAMK2B KCNB2 KCNJ2 KCNK17 NALCN RGS4 S100A1 SLC30A8 SLC8A1 SNAP25	ASIC1 CACNA1G FXYD6 KCNAB2 KCNMB2 SCN1B	ATP1A3 FXYD1 GRIN2C KCNB2 KCNH7 KCNJ2 KCNK17	CACNA1C FXYD1 FXYD6 KCNH8 KCNIP3 KCNJ11 KCNN3 SLC12A5 SNAP25 WNK3	AGT ANK2 ASIC4 ATP6V1G2 CACNA1C CACNA1E CACNA2D2 CACNB2 CRH FXYD6 HAP1 HECW2 KCNB2 KCNC1 KCNH8 KCNJ2 KCNJ3 KCNK17 KCNT2 NALCN RGS4 SCN1B SCN3B SLC30A8 SLC6A17 SLC8A1 TRPM3 WNK3	ATP1A3 ATP6V1G2 CACNA1E CACNA1G CLCA1 HAP1 HECW2 KCNE4 KCNK3 RGS9	CHRNB2 HECW2 KCNC1 KCNE4 S100A1			CACNA1E CACNA1G CACNA1H CACNA2D2 HCN4 ITPR1 KCNH6 KCNK3	ADORA2A CACNA1G KCNAB2 KCNE4 SNAP25 SPTBN4	ABCC8 AGT ANK2 ASIC1 ASIC4 ATP1A3 ATP6V1G2 CACNA1A CACNA1C DPP10 FFAR1 FGF14 HAP1 HCN4 KCNB2 KCNH3 KCNH6 KCNIP3 KCNJ3 KCNMA1 KCNMB2 KCNN3 NALCN RGS4 S100A1 SCN1B SLC12A5 SNAP25 SPTBN4 TRPM3	ADORA2A AGT ASIC4 CACNA1C CACNA1G CXCL12 FXYD1 GSTM2 KCNH2 KCNJ6 KCNK3	CRH RGS4 S100A1 SCN1B		AGT CAMK2B FAM155B FGF14 GRIN1 GSTM2 HCN4 ITPR1 KCNH2 KCNJ11 S100A1 SCN1B SCN3B
GO_MONOVALENT_INORGANIC_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	KCNB2 KCNJ2 KCNK17 NALCN SLC18A1 SLC8A1 SNAP25	ASIC1 CACNA1G KCNAB2 KCNMB2 SCN1B	ATP1A3 KCNB2 KCNH7 KCNJ2 KCNK17	KCNH8 KCNIP3 KCNJ11 KCNN3 SLC12A5 SNAP25	ASIC4 ATP6V1G2 KCNB2 KCNC1 KCNH8 KCNJ2 KCNJ3 KCNK17 KCNT2 NALCN SCN1B SCN3B SLC8A1	ATP1A3 ATP6V1G2 CACNA1G KCNE4 KCNK3	KCNC1 KCNE4 SLC18A1			CACNA1G CACNA1H HCN4 KCNH6 KCNK3	CACNA1G GRIK5 KCNAB2 KCNE4 SNAP25	ABCC8 ASIC1 ASIC4 ATP1A3 ATP6V1G2 GRIK5 HCN4 KCNB2 KCNH3 KCNH6 KCNIP3 KCNJ3 KCNMA1 KCNMB2 KCNN3 NALCN SCN1B SLC12A5 SLC18A1 SNAP25	ASIC4 CACNA1G KCNH2 KCNJ6 KCNK3			HCN4 KCNH2 KCNJ11 SCN1B SCN3B
GO_MONOVALENT_INORGANIC_CATION_TRANSPORT	KCNB2 KCNJ2 KCNK17 NALCN RGS4 SLC8A1 SNAP25	ASIC1 CACNA1G FXYD6 KCNAB2 KCNMB2 SCN1B SLC25A27	ATP1A3 FXYD1 KCNB2 KCNH7 KCNJ2 KCNK17	FXYD1 FXYD6 KCNH8 KCNIP3 KCNJ11 KCNN3 SLC12A5 SNAP25 WNK3	ANK2 ASIC4 ATP6V1G2 FXYD6 HECW2 KCNB2 KCNC1 KCNH8 KCNJ2 KCNJ3 KCNK17 KCNT2 NALCN RGS4 SCN1B SCN3B SLC25A27 SLC6A17 SLC8A1 WNK3	ATP1A3 ATP6V1G2 CACNA1G HECW2 KCNE4 KCNK3				CACNA1G CACNA1H HCN4 KCNH6 KCNK3	CACNA1G KCNAB2 KCNE4 SNAP25 SPTBN4	ABCC8 ANK2 ASIC1 ASIC4 ATP1A3 ATP6V1G2 DPP10 FGF14 HCN4 KCNB2 KCNH3 KCNH6 KCNIP3 KCNJ3 KCNMA1 KCNMB2 KCNN3 NALCN RGS4 SCN1B SLC12A5 SNAP25 SPTBN4	ASIC4 CACNA1G FXYD1 KCNH2 KCNJ6 KCNK3			FGF14 HCN4 KCNH2 KCNJ11 SCN1B SCN3B
GO_MULTICELLULAR_ORGANISMAL_SIGNALING		CACNA1G FXYD6 KCNMB2 NTRK2 SCN1B	ATP1A3 FXYD1 KCNJ2	CACNA1C FXYD1 FXYD6 KCNIP3 KCNJ11	AGT ANK2 CACNA1C CACNA2D2 CACNB2 FXYD6 JAM3 KCNJ2 KCNJ3 SCN1B SCN3B SLC8A1	ATP1A3 CACNA1G KCNE4 KCNK3			CACNA1C CACNA1G NTRK2	CACNA1G CACNA1H CACNA2D2 HCN4 ITPR1 KCNH6 KCNK3	CACNA1G KCNE4 NTRK2 SPTBN4	AGT ANK2 ATP1A3 CACNA1C HCN4 JAM3 KCNH6 KCNIP3 KCNJ3 KCNMB2 NFASC SCN1B SPTBN4	AGT CACNA1C CACNA1G FXYD1 GHRL JAM3 KCNH2 KCNK3 NTRK2		ATP1A3 SPTBN4	AGT HCN4 ITPR1 KCNH2 KCNJ11 SCN1B SCN3B
GO_NEUROGENESIS	ACTL6B BRSK2 C1QL1 CAMK2B DCHS1 FZD4 GFRA3 NEFL PAK6 SEZ6 SNAP25 SPP1 SRCIN1 SRRM4 SYN1 TUBB2B	ADCY1 CELSR2 DPYSL4 FZD4 GPC2 NTRK2 RAP1GAP2 SAMD14 SCN1B SDK1		BRSK1 BRSK2 C1QL1 CDK5R1 CDK5R2 DNER DPYSL4 DSCAML1 DTX1 GPR173 ID4 MAP2 MAP6 NR4A3 PSD RTN4RL1 SLC12A5 SNAP25 SRRM4 SYN1	AGT ARHGAP33 CCDC88A CHD5 CPNE9 DOK6 ETV1 FEV GFRA1 GFRA3 GPC2 GPR173 HAP1 HECW2 ID4 IGSF10 ISLR2 JAM3 KIF5A KIRREL3 KNDC1 LGR6 MAP1A MAP1B NAV3 NR4A3 PAX6 PBX3 PLXNC1 PSD RET SAMD14 SCN1B SFRP1 SRCIN1 SRRM4 USH2A	ACTL6B ADCY1 CIT CRMP1 EPHA4 GABRB3 GFRA1 HAP1 HECW2 IGSF10 INSM1 LGR6 NKD1 STMND1 UNC13A VSTM2L	ADCY1 ATOH8 CHRNA3 CHRNB2 EVL HECW2 PAX6 RTN4RL1 SHC3 STMN2		EFNB3 FEV GFRA3 LGR6 NEGR1 NKD1 NPY NTRK2 PAX6 PROX1 RTN4RL1 STMND1 TMEFF1 VASH2	ADCY1 ATOH8 BOC KIF1A LZTS1 PROX1 TUBB2B USH2A	ADORA2A ARHGAP33 BRSK1 CDK5R2 ISL1 KIF1A KIRREL3 NPY NTRK2 SNAP25 SPTBN4 USH2A	AGT ARHGAP33 BOC BRSK1 CCDC88A CDK5R2 CHD5 CHL1 CIT CPNE9 DNER DOK6 DTX1 EFNB3 ETV1 FEV FZD4 GPR173 HAP1 ID4 IGSF10 ISL1 JAM3 KIF5A KIRREL3 LMX1A MAP1A MAP1B MAP2 MAP6 NFASC PAK6 PBX3 PSD RET SAMD14 SCN1B SEZ6 SHC3 SLC12A5 SNAP25 SPP1 SPTBN4 SRCIN1 STMND1 TUBB2B UCHL1 USH2A	ADORA2A AGT ASCL2 BRSK1 C1QL1 CDK5R2 CXCL12 DCHS1 DSCAML1 ETV1 GHRL GPC2 HES6 ID4 ISL1 JAM3 KIRREL3 MAP6 NEUROD1 NEUROG3 NTRK2 SDK2 SEZ6 STMN3 SYN1 UCHL1	ISLR2 NEUROG3 SCN1B TP73 USH2A	ARHGAP33 C1QL1 CDK5R2 KNDC1 NCS1 NEGR1 NKD1 RAP1GAP2 SPTBN4 STMN3	AGT ATOH8 CAMK1 CAMK2B EFNB3 GRIN1 HES6 LZTS1 MAP1A MAP6 RET SCN1B SEZ6 TMEFF1
GO_NEURONAL_DENSE_CORE_VESICLE								CHGA STXBP5L SYT5	CHGA NPY	CADPS KIF1A	KIF1A NPY	CHGA STXBP5L				
GO_NEURON_DEVELOPMENT	ACTL6B BRSK2 C1QL1 CAMK2B FZD4 GFRA3 NEFL PAK6 SEZ6 SNAP25 SPP1 SRCIN1 SRRM4 SYN1 TUBB2B	ADCY1 CELSR2 DPYSL4 FZD4 GPC2 NTRK2 RAP1GAP2 SAMD14 SCN1B SDK1	CCDC88A CPNE9 FZD4 PAK6	BRSK1 BRSK2 C1QL1 CDK5R1 DPYSL4 DSCAML1 MAP2 MAP6 NR4A3 PSD RTN4RL1 SLC12A5 SNAP25 SRRM4 SYN1	AGT ARHGAP33 CCDC88A CPNE9 DOK6 ETV1 FEV GFRA1 GFRA3 GPC2 HECW2 ISLR2 JAM3 KIF5A KIRREL3 KNDC1 LGR6 MAP1A MAP1B NR4A3 PAX6 PBX3 PLXNC1 PSD RET SAMD14 SCN1B SFRP1 SRCIN1 SRRM4	ACTL6B ADCY1 CRMP1 EPHA4 GABRB3 GFRA1 HECW2 INSM1 LGR6 STMND1 UNC13A VSTM2L	ADCY1 CHRNA3 CHRNB2 EVL HECW2 PAX6 RTN4RL1 SHC3 STMN2		EFNB3 FEV GFRA3 LGR6 NEGR1 NPY NTRK2 PAX6 RTN4RL1 STMND1 TMEFF1 VASH2	ADCY1 BOC KIF1A LZTS1 TUBB2B	ADORA2A ARHGAP33 BRSK1 ISL1 KIF1A KIRREL3 NPY NTRK2 SNAP25 SPTBN4	AGT ARHGAP33 BOC BRSK1 CCDC88A CHL1 CPNE9 DOK6 EFNB3 ETV1 FEV FZD4 ISL1 JAM3 KIF5A KIRREL3 LMX1A MAP1A MAP1B MAP2 MAP6 NFASC PAK6 PBX3 PSD RET SAMD14 SCN1B SEZ6 SHC3 SLC12A5 SNAP25 SPP1 SPTBN4 SRCIN1 STMND1 TUBB2B UCHL1	ADORA2A AGT BRSK1 C1QL1 CXCL12 DSCAML1 ETV1 GHRL GPC2 ISL1 JAM3 KIRREL3 MAP6 NEUROD1 NEUROG3 NTRK2 SEZ6 STMN3 SYN1 UCHL1		ARHGAP33 C1QL1 KNDC1 NCS1 NEGR1 RAP1GAP2 SPTBN4 STMN3	AGT CAMK1 CAMK2B EFNB3 GRIN1 LZTS1 MAP1A MAP6 RET SCN1B SEZ6 TMEFF1
GO_NEURON_DIFFERENTIATION	ACTL6B BRSK2 C1QL1 CAMK2B FZD4 GFRA3 NEFL PAK6 SEZ6 SNAP25 SPP1 SRCIN1 SRRM4 SYN1 TUBB2B	ADCY1 CELSR2 DPYSL4 FZD4 GPC2 NTRK2 RAP1GAP2 SAMD14 SCN1B SDK1	CCDC88A CPNE9 FZD4 PAK6	BRSK1 BRSK2 C1QL1 CDK5R1 DPYSL4 DSCAML1 DTX1 ID4 MAP2 MAP6 NR4A3 PSD RTN4RL1 SLC12A5 SNAP25 SRRM4 SYN1	AGT ARHGAP33 CCDC88A CHD5 CPNE9 DOK6 ETV1 FEV GFRA1 GFRA3 GPC2 HECW2 ID4 ISLR2 JAM3 KIF5A KIRREL3 KNDC1 LGR6 MAP1A MAP1B NR4A3 PAX6 PBX3 PLXNC1 PSD RET SAMD14 SCN1B SFRP1 SRCIN1 SRRM4 USH2A	ACTL6B ADCY1 CRMP1 EPHA4 GABRB3 GFRA1 HECW2 INSM1 LGR6 NKD1 STMND1 UNC13A VSTM2L	ADCY1 ATOH8 CHRNA3 CHRNB2 EVL HECW2 PAX6 RTN4RL1 SHC3 STMN2		EFNB3 FEV GFRA3 LGR6 NEGR1 NKD1 NPY NTRK2 PAX6 PROX1 RTN4RL1 STMND1 TMEFF1 VASH2	ADCY1 ATOH8 BOC KIF1A LZTS1 PROX1 TUBB2B USH2A	ADORA2A ARHGAP33 BRSK1 ISL1 KIF1A KIRREL3 NPY NTRK2 SNAP25 SPTBN4 USH2A	AGT ARHGAP33 BOC BRSK1 CCDC88A CHD5 CHL1 CPNE9 DOK6 DTX1 EFNB3 ETV1 FEV FZD4 ID4 ISL1 JAM3 KIF5A KIRREL3 LMX1A MAP1A MAP1B MAP2 MAP6 NFASC PAK6 PBX3 PSD RET SAMD14 SCN1B SEZ6 SHC3 SLC12A5 SNAP25 SPP1 SPTBN4 SRCIN1 STMND1 TUBB2B UCHL1 USH2A	ADORA2A AGT ASCL2 BRSK1 C1QL1 CXCL12 DSCAML1 ETV1 GHRL GPC2 ID4 ISL1 JAM3 KIRREL3 MAP6 NEUROD1 NEUROG3 NTRK2 SDK2 SEZ6 STMN3 SYN1 UCHL1	ISLR2 NEUROG3 SCN1B TP73 USH2A	ARHGAP33 C1QL1 KNDC1 NCS1 NEGR1 NKD1 RAP1GAP2 SPTBN4 STMN3	AGT ATOH8 CAMK1 CAMK2B EFNB3 GRIN1 LZTS1 MAP1A MAP6 RET SCN1B SEZ6 TMEFF1
