	ARNT2	ARX	ASCL1	ASCL2	CCDC17	E2F7	EBF3	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	HES4	HEY1	HHEX	HIC1	HLF	HMBOX1	INSM1	ISL1	LMX1A	LMX1B	LTF	MAFA	MAFB	NEUROD1	NEUROD2	NEUROG3	NFAT5	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	PLAG1	POU2F2	POU5F1	RFX6	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF514	ZNF519	ZNF846	ZNF883
GO_CELLULAR_RESPONSE_TO_ESTRADIOL_STIMULUS									SFRP1 SSTR3																																														
GO_CELLULAR_RESPONSE_TO_EXTERNAL_STIMULUS																	AIF1 RRAGD SLC38A3																																						
GO_CELLULAR_RESPONSE_TO_EXTRACELLULAR_STIMULUS																	AIF1 RRAGD SLC38A3																																						
GO_CELLULAR_RESPONSE_TO_FATTY_ACID																			FFAR2 GNG2																																FFAR2 GNG2				
GO_CELLULAR_RESPONSE_TO_GLUCAGON_STIMULUS												ADCY1 ADCY5																																											
GO_CELLULAR_RESPONSE_TO_GLUCOSE_STARVATION						BRSK1 BRSK2																																																	
GO_CELLULAR_RESPONSE_TO_GROWTH_HORMONE_STIMULUS																																															CSH1 GHRL								
GO_CELLULAR_RESPONSE_TO_HISTAMINE										GABRB3 GABRG2																																													
GO_CELLULAR_RESPONSE_TO_HORMONE_STIMULUS				ADCY5 ATP1A3 SOCS1 SSTR5	IGF2 OR51E2					ADCY1 ATP1A3 ATP6V1G2 CSH1 IGF2 PGF SST SSTR5 UCN3																																									AIF1 CSH1 GCK GNG2 SOCS1		AIF1 ATP1A3 CRH NKX6-1 SSTR3		
GO_CELLULAR_RESPONSE_TO_HYDROGEN_PEROXIDE			PDGFD SIRPA	SIRPA TRPM2				PDGFD TRPC6		PDGFD TRPC6 TRPM2															PDGFD SIRPA TRPC6																														
GO_CELLULAR_RESPONSE_TO_HYDROPEROXIDE																																															AIF1 PRKD1								
GO_CELLULAR_RESPONSE_TO_INORGANIC_SUBSTANCE				CPNE9 DLG2 TRPM2																														ADCY1 CACNA1H KCNK3													DLG2 DPEP1 KCNK3 RASAL1 SYT2								
GO_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS								ATP6V1B1 ATP6V1G2 FUT7 SOCS1																													ATP6V1G2 INSRR					ATP6V0E2 EIF4EBP1 GRB14												AGT ATP6V0E2 ATP6V1B1 EIF4EBP1 FUT7 SOCS1	
GO_CELLULAR_RESPONSE_TO_KETONE												ADCY1 ADCY5																														AKR1B1 EIF4EBP1	ADCY2 AKR1B1 EIF4EBP1 GNG2 SPP1				ADCY2 AKR1B1 EIF4EBP1		CRH EIF4EBP1						
GO_CELLULAR_RESPONSE_TO_LIPID				ADCY5 ATP1A3 FZD4 SIRPA SSTR5																											CRH PTCH1 SSTR1 WNT9A			ADCY1 GPBAR1 LTF PTCH1 SSTR5															CES1 CRH EIF4EBP1						
GO_CELLULAR_RESPONSE_TO_MECHANICAL_STIMULUS	KCNJ2 TNFSF14								AGT KCNJ2 PDE2A																																														
GO_CELLULAR_RESPONSE_TO_NICOTINE						KCNJ11 NTRK1																																																	
GO_CELLULAR_RESPONSE_TO_NITROGEN_COMPOUND								AIF1 ATP6V1B1 ATP6V1G2 DPEP1 FUT7 HCN4 PDGFD RRAGD SOCS1 SULT1A4	AGT AKR1B1 APLP1 ATP6V1G2 CALY CHRM4 COL1A2 CRH DPEP1 GPR173 MAP1B NR4A3 PDE2A RGS4 SFRP1 SLC8A1	ADCY1 ATP1A3 ATP6V1G2 COL16A1 CSH1 DDC DRD2 EPHA4 GABRB3 GABRG2 IGF2 PDGFD RGS9 SULT1A4 TRPM2		ADCY1 ADCY5 CHRNA3 CHRNB2 GRB14								COL16A1 IFIT1	AGT APLP1 GNAO1 MMP2 RGS4 SULT1A4 TRPM2									ADCY1 COL1A2 CSH2 DDC EPHA4 IGF2 NTRK2					CHRM4 DRD2 GRB14 IFIT1 MMP2 PTPN22 RGS4 RRAGD SOCS1						ADCY1 ATP6V1G2 CACNA2D1 CHRM4 COL16A1 DRD2 FUT7 HRH3 MMP2 RGS9 RRAGD SOCS1	AKR1B1 ATP6V0E2 CDK5R1 DDC EIF4EBP1 GRB14 GSTM2 PTPN22	ADCY2 AGT AKR1B1 APLP1 ATP1A3 ATP6V0E2 ATP6V1G2 CACNA1A COL1A2 DPEP1 DRD2 EIF4EBP1 GABRA1 GNAO1 GNG2 GPR173 HCN4 LY6H MAP1B PDGFD PTPN22 RGS4	AKR1B1 APLP1 ATP6V1B1 DRD2 GABRG2 GPR173 GRB14 GSTM2 HCN4 KL NR4A3 PDE2A PDGFD			ADCY2 AGT AIF1 AKR1B1 CALY CSH1 DDC DPEP1 EIF4EBP1 GABRA1 GHRL GSTM2 INSRR MMP2 NTRK2 PTPN22 SOCS1 SULT1A4		CRH EIF4EBP1 PDGFD RGS4		AIF1 CSH1 DDC GCK GNG2 IFIT1 SLC8A1 SOCS1		AIF1 ATP1A3 CHRM4 CRH MMP2 NKX6-1	AGT AIF1 AKR1B1 APLP1 ATP6V0E2 ATP6V1B1 EIF4EBP1 FUT7 GSTM2 HCN4 IFIT1 PDE2A SOCS1 SULT1A4	
GO_CELLULAR_RESPONSE_TO_ORGANIC_CYCLIC_COMPOUND				ADCY5 ATP1A3 SSTR5 TRPM2						ADCY1 ATP1A3 DRD2 GABRB3 GABRG2 PTCH1 RGS9 SSTR5 SULT1A4 TRPM2											APLP1 GNAO1 GPBAR1 RGS4 SSTR2 SULT1A4 TRPM2										CALY CRH PTCH1 SSTR1			ADCY1 GPBAR1 HCN4 PTCH1 SSTR5										APLP1 DRD2 GABRG2 GPBAR1 GSTM2 HCN4 NR4A3 PDE2A	GABRA1 ISL1				CES1 CRH EIF4EBP1 RGS4				AIF1 ATP1A3 CHRM4 CRH SSTR3	AIF1 APLP1 EIF4EBP1 GPBAR1 GSTM2 HCN4 IFIT1 PDE2A SSTR5 SULT1A4	
GO_CELLULAR_RESPONSE_TO_OSMOTIC_STRESS																										AKR1B1 MAPK10																													
GO_CELLULAR_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND				ADCY5 ATP1A3 FZD4 GCH1 SIRPA SOCS1 TRPM2	IGF2 OR51E2			AIF1 ATP6V1B1 ATP6V1G2 DPEP1 FUT7 HCN4 PDGFD RRAGD SOCS1 SPP1 SSTR3 SULT1A4 TRPC6		ADCY1 ATP1A3 ATP6V1G2 COL16A1 CSH1 DRD2 EPHA4 FFAR2 IGF2 PDGFD PTCH1 PTPRN2 RGS9 SULT1A4 TRPC6 TRPM2											AGT APLP1 GNAO1 GPBAR1 MMP2 PTPRN RGS4 SSTR2 SULT1A4 TRPM2									ADCY1 COL1A2 CSH2 EPHA4 IGF2 NTRK2 TRPC6	CALY CDK5R1 CRH KCNJ11 PTCH1 SSTR1 WNT9A										ADCY1 ATP6V1G2 CACNA2D1 CHRM4 COL16A1 DRD2 FUT7 HRH3 MMP2 RGS9 RRAGD SOCS1 SPON2 SPP1		ADCY2 AGT AKR1B1 APLP1 ATP1A3 ATP6V0E2 ATP6V1G2 BAIAP3 CACNA1A CES1 COL1A2 DPEP1 DRD2 EIF4EBP1 FZD4 GNAO1 GNG2 GPBAR1 GPR173 GRIK5 HCN4 LY6H MAP1B PDGFD PTPN22 RET RGS4 SIRPA SPP1	AKR1B1 APLP1 ATP6V1B1 DRD2 FZD4 GPBAR1 GPR173 GRB14 HCN4 KL NR4A3 PDE2A PDGFD WNT9A			ADCY2 AGT AIF1 AKR1B1 BAIAP3 CALY CSH1 DPEP1 EIF4EBP1 GCH1 GHRL INSRR MMP2 NEUROD1 NTRK2 PRKD1 PTPN22 PTPRN RFX6 SOCS1 SULT1A4		CES1 CRH EIF4EBP1 PDGFD RGS4	AGT ATP1A3 CES1 GNAO1 HRH3 LTF SOX4	AIF1 CSH1 FFAR2 GCH1 GCK GNG2 PTPRN2 SLC8A1 SOCS1		AIF1 ATP1A3 CHRM4 CRH GRIK5 MMP2 NKX6-1 SSTR3 WNT9A	AGT AIF1 AKR1B1 APLP1 ATP6V0E2 ATP6V1B1 EIF4EBP1 FUT7 GPBAR1 HCN4 KCNJ11 PDE2A RET SIRPA SOCS1 SPON2 SULT1A4	
GO_CELLULAR_RESPONSE_TO_OXYGEN_LEVELS										BCL2 CLCA1 KCNK3 TRPC6 UCN3																			B3GAT1 MALAT1																										
GO_CELLULAR_RESPONSE_TO_PEPTIDE				ADCY5 ATP1A3 SOCS1						ADCY1 ATP1A3 ATP6V1G2 CSH1 EPHA4 IGF2																				ADCY1 CSH2 EPHA4 IGF2							ATP6V1G2 EPHA4 INSRR					AKR1B1 ATP6V0E2 EIF4EBP1 GRB14 PTPN22	ADCY2 AGT AKR1B1 ATP1A3 ATP6V0E2 ATP6V1G2 CACNA1A EIF4EBP1 GPR173 MAP1B PTPN22	AKR1B1 ATP6V1B1 GPR173 GRB14 KL NR4A3			ADCY2 AGT AKR1B1 CSH1 EIF4EBP1 GHRL INSRR PTPN22 SOCS1							AGT AKR1B1 ATP6V0E2 ATP6V1B1 EIF4EBP1 FUT7 SOCS1	
GO_CELLULAR_RESPONSE_TO_PEPTIDE_HORMONE_STIMULUS								ATP6V1B1 ATP6V1G2 FUT7 SOCS1																						ADCY1 CSH2 IGF2														ATP6V1B1 GPR173 GRB14 KL NR4A3			ADCY2 AGT CSH1 EIF4EBP1 GHRL INSRR SOCS1							AGT ATP6V0E2 ATP6V1B1 EIF4EBP1 FUT7 SOCS1	
GO_CELLULAR_RESPONSE_TO_PH																										ASIC1 INSRR											ASIC1 INSRR																		
GO_CELLULAR_RESPONSE_TO_PROSTAGLANDIN_STIMULUS									APOB SFRP1																																														
GO_CELLULAR_RESPONSE_TO_PURINE_CONTAINING_COMPOUND		SLC8A1 TRPM2																																																					
GO_CELLULAR_RESPONSE_TO_REACTIVE_OXYGEN_SPECIES				GCH1 SIRPA TRPM2				DPEP1 PDGFD TRPC6																	PDGFD SIRPA TRPC6																														
GO_CELLULAR_RESPONSE_TO_RETINOIC_ACID																																												FZD4 WNT9A											
GO_CELLULAR_RESPONSE_TO_STARVATION																	RRAGD SLC38A3																																						
GO_CELLULAR_RESPONSE_TO_STEROID_HORMONE_STIMULUS																																																	CRH EIF4EBP1				ATP1A3 CRH SSTR3		
GO_CELLULAR_RESPONSE_TO_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_STIMULUS										DLL4 PGF									DLL4 SMOC2			DLL4 FLT1												DLL4 PGF	DLL1 DLL4 FLT1 PGF SMOC2	DLL4 SMOC2						PGF ROBO1											DLL4 PTP4A3		
GO_CELLULAR_RESPONSE_TO_VIRUS		IFI6 VWCE																																	POU2F2 VWCE																				
GO_CELLULAR_SODIUM_ION_HOMEOSTASIS									AGT SLC8A1																																		AGT ATP1A3							AGT ATP1A3	C7 SLC8A1				
GO_CELLULAR_TRANSITION_METAL_ION_HOMEOSTASIS						ALAS2 SLC22A17 TMPRSS6																			ALAS2 SLC30A8 TMPRSS6							ALAS2 LTF SLC30A8																							
GO_CELL_ACTIVATION				CRISP3 GRAP2 HMGB3 POU2F2 RSAD2 SIRPA SOCS1 TRPC7 TRPM2				AIF1 CD300LF CEP290 CYGB FUT7 HSPA6 MDK NTRK1 RSAD2 SOCS1 TRPC6 TRPC7							EFNB3 IFNE ITPR1									BST2 CCL19 CNR1 IL11															CD70 DOCK8 ITPR1 KCNAB2 PRKCH																
GO_CELL_ADHESION_MEDIATED_BY_INTEGRIN									EPHA8 ITGBL1 JAM3 RET																																														
GO_CELL_ADHESION_MEDIATOR_ACTIVITY																																											JAM3 NFASC SIRPA												
GO_CELL_ADHESION_MOLECULE_BINDING				DST NRXN2 PAK6 SIRPA TENM2						CDH5 COL16A1 IGF2 LCP1 NRXN2 TENM2 VSTM2L																				CDH22 DCHS1 IGF2 THBS4																									
GO_CELL_AGING																																		BCL2 PRELP																					
GO_CELL_BODY	DNER KCNJ2 SPTBN4 SRCIN1 SV2A TTLL7	DLG2 GAP43 IGSF9B KCNB2 KCNJ2 SEZ6 SLC8A1 SRCIN1 TRPM2		ATP1A3 DLG2 KCNB2 KCNJ2 TRPM2		APBB1 ARC CACNA1C CDK5R1 CNGA3 DLG2 DNER KCNJ11 KCNN3 MAP2 NTRK1 RTN4RL1 SLC12A5 TTBK1			APOB CACNA1C CNGA3 CPLX2 CRH CYGB GIP KCNB2 KCNC1 KCNJ2 KIF5A KNDC1 MAP1A MAP1B MAST1 PCSK2 PTPRN RET SCN1B SLC25A27 SLC8A1 SRCIN1 SST SV2A USH2A	ARC ATP1A3 BRS3 CRMP1 DDC DPYSL3 DRD2 EPHA4 GAP43 SLC1A2 SST TRPM2		CHRNA3 DDN GIP KCNC1 RNF157 RTN4RL1 SEZ6L STMN2 TUBB4A					AIF1 ARC DNER SYT5	CD200 MAPK8IP2 RIC3 RTN4RL1			CACNA1C GNAO1 KCNC1 MAP1A PRPH PTPRN RTN4RL1 TRPM2	CPLX1 DRD2 LZTS1 RNF157 SORCS2 TTLL7			AIF1 CACNA1C NTRK1 PTPRN RTN4RL1 SEZ6L SST	DDN IGSF9B MAPK10 NTRK1 RNF157 SLC1A2 SRCIN1	BRS3 KCNJ2	KCNJ2 RET SEZ6L	APBB1 CPLX2 KCNC1 KNDC1	CACNG7 DDC EPHA4 KIF5A SERPINI1 SRCIN1 TTBK1	ARC CDK5R1 CRH KCNJ11 MAPK8IP1 MAST1 SRCIN1 SV2A			KIF1A LZTS1 TTBK1 TTLL7 USH2A	CD200 CYGB DRD2 IGSF9B RNF157 SCN1B SERPINI1 TTLL7	ADORA2A DDN DLG2 GRIK5 KIF1A RNF157 SORCS2 SPTBN4 SST USH2A		CPLX1 DDC LZTS1 SV2A			ARC CACNG4 CPLX1 DDN DRD2 KCNB2 SERPINI1 TTBK1	CDK5R1 DDC DNER RNF157 SLC12A5 TTBK1	APBB1 ATP1A3 BRS3 CACNA1A CACNA1C CACNG7 CPLX2 DLG2 DNER DRD2 GAP43 GIP GNAO1 GRIK5 KCNB2 KCNN3 KIF5A MAP1A MAP1B MAP2 MAPK10 PCSK2 RET SCN1B SEZ6 SEZ6L SLC12A5 SPTBN4 SRCIN1 SV2A UCHL1 USH2A		SYT5 TAC1	DDC GAP43 RET	ADORA2A AIF1 ARC CACNA1C CNGA3 DDC DLG2 GAL IGSF9B P2RX6 PCSK2 PTPRN SEZ6 UCHL1		CRH SCN1B TAC1 USH2A	ASCL1 ATP1A3 CACNA1B GNAO1 GRIK3 MAPK10 MAPK8IP2 UCHL1	AIF1 BRS3 DDC DPYSL3 KIF5A PRPH RNF157 SLC8A1 SYT5		AIF1 ATP1A3 CPLX2 CRH CYGB GAL GRIK5 KNDC1 MAST1 SPTBN4	AIF1 APBB1 BRS3 DDN KCNJ11 LZTS1 MAP1A MAPK8IP1 P2RX6 RET SCN1B SEZ6	
GO_CELL_BODY_MEMBRANE				ATP1A3 KCNB2					KCNB2 KCNC1																																		ATP1A3 KCNB2												
GO_CELL_CELL_ADHESION			CELSR2 CLDN6 PCDHB14 PODXL2 SDK1 SIRPA SOCS1 TNFSF14	CLDN6 DLG2 GRAP2 NRXN2 SIRPA SOCS1 TENM2 TRO						ADD2 BCL2 CDH5 COL14A1 EPHB3 IGF2 IGSF21 LIMS2 NRXN2 TENM2 VSTM2L				CELSR3 IGSF9B SDK1											AIF1 CADM3 CLDN6 EFNB3 FAT3 IGFN1 NEGR1 PCDHA2 ROBO1 SIRPA TENM2					CDH22 DCHS1 FAT3 IGF2 SDK1 THBS4 TNFSF14					CD200 CDH5 IGSF9B ITGA7 MAD2L2 MDK NFAT5 NTNG2 PTPN22 SOCS1 SOX4				CD70 CDH5 CELSR2 DOCK8		ADD2 CLDN6 FUT7 MDK NEGR1 NFASC NRXN2 PCDHA2 SCGB1A1 SOCS1 TNFSF14	CD70 CDK5R1 DCHS1 ITGA7 LIMS2 NEGR1 PTPN22 ROBO1	CCL19 CDHR3 COL14A1 DLG2 DTX1 EFNB3 FAT3 GPC6 IGSF21 ITGA7 JAM3 KIRREL3 MDK NFASC NRXN2 PTPN22 PTPRT RET SCGB1A1 SIRPA THBS4				ADORA2A AIF1 CD70 CDH5 CXCL12 DCHS1 DLG2 DSCAML1 IGSF9B JAM3 KIRREL3 MDK NFAT5 NRXN2 PTPN22 SDK2 SOCS1 TRO							AIF1 CADM3 CDH22 CLDN6 EFNB3 FOXJ1 FUT7 LIMS2 MAD2L2 MDK PODXL2 RET SIRPA SOCS1	
GO_CELL_CELL_ADHESION_MEDIATED_BY_CADHERIN																																			CDH5 MAD2L2																				
GO_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES		DCHS1 IGSF21 IGSF9B PTPRT	CELSR2 CLDN6 PCDHB14 SDK1	CLDN6 TENM2 TRO									CDH5 PTPRT SDK2 VSTM2L	CELSR3 IGSF9B SDK1									APOA1 CELSR2 FAT3 KIRREL3 PTPRT		CADM3 CLDN6 FAT3 IGFN1 PCDHA2 ROBO1 TENM2			APOA1 CLDN6 RET		CDH22 DCHS1 FAT3 SDK1									CDH5 CELSR2								CDH5 DCHS1 DSCAML1 IGSF9B KIRREL3 SDK2 TRO	IGFN1 NTNG2 PCDHA2							
GO_CELL_CELL_CONTACT_ZONE	KCNJ2 SPTBN4	KCNJ2 SLC8A1		FXYD1 KCNJ2				AHNAK SCN2A	ANK2 JAM3 KCNJ2 SCN1B SLC8A1																			KCNJ2 SCN2A															ANK2 JAM3 SCN1B SPTBN4												
GO_CELL_CELL_JUNCTION	KCNJ2 PARD6A PRKCG SPTBN4 SV2A	ARHGAP24 CD99L2 DCHS1 FZD4 IGSF21 KCNJ2 PMP22 PRKCG SLC8A1	CCDC85B CLDN6 FZD4 PARD6A SCN1B	CLDN6 FXYD1 FZD4 KCNJ2					AKR1B1 ANK2 CDHR3 JAM3 KCNJ2 KIRREL3 PRKCG SCN1B SLC8A1 SV2A TRPC6 WNK3		ANK2 ARHGAP24 CDH5 SYNM							ARHGAP24 CD99L2 PGM5								AKR1B1 ARHGAP24 CCDC85B CD99L2 DCHS1 DLL1	FZD4 KCNJ2	CLDN6 KCNJ2 SCN2A		CDH22 DCHS1 EPHA4 GJD2 TRPC6	KCNJ11 LIMS2 SV2A SYNM												AKR1B1 ANK2 ARHGAP24 CDHR3 FZD4 IGSF21 JAM3 KIRREL3 NFASC SCN1B SPTBN4 SV2A SYNM											AKR1B1 CADM3 CCDC85B CD99L2 CDH22 CLDN6 KCNJ11 LIMS2 SCN1B	
GO_CELL_CELL_JUNCTION_ASSEMBLY	PARD6A PRKCH		ACE CLDN6 PARD6A	ACE CLDN6							ANK2 CDH5								CLDN6 GPBAR1 JAM3 PARD6A		AGT CLDN6 GPBAR1									CDH22 DCHS1 PRKCH									CDH5 PRKCH				AGT ANK2 CDHR3 GPBAR1 JAM3 NFASC				AGT CDH5 DCHS1 JAM3			AGT DCHS1				AGT CDH22 CLDN6 GPBAR1	
GO_CELL_CELL_JUNCTION_MAINTENANCE																			CSF1R PARD6A																																				
GO_CELL_CELL_JUNCTION_ORGANIZATION			ACE CLDN6 PARD6A SDK1										CDH5 CSF1R SDK2						CLDN6 CSF1R GPBAR1 JAM3 PARD6A		AGT CLDN6 GPBAR1									CADM2 CDH22 DCHS1 EPHA4 PRKCH SDK1				CDH5 CSF1R GPBAR1					CDH5 PRKCH								AGT CDH5 DCHS1 JAM3 SDK2							AGT CADM3 CDH22 CLDN6 GPBAR1 LIMS2	
GO_CELL_CELL_SIGNALING	CELSR3 CHRNB2 NPY PARD6A PRICKLE2 PRKCG PTPRN2 SSTR3 STXBP1 SV2A	BRSK2 CAMK2B CHRM4 COLQ DLG2 FZD4 IGSF9B ILDR2 MPP2 PMP22 PRKCG RGS4 SEZ6 SLC30A8 SNAP25 SPP1 SSTR5 STX1A SV2B SYN1 SYT2 TMEM198 TUBB2B UCN3	ABCC4 ADCY1 ASIC1 CACNA1G CADPS CELSR2 FFAR2 FZD4 GABRP HHEX NPTX1 NTRK2 PARD6A PCDHB14 PRICKLE2 PTPRN2 RIMBP2 SCN1B SOCS1 SORCS2 STX2	ADCY5 DLG2 FZD4 GRAP2 GRIN2C NRXN2 RGS14 SOCS1 SSTR5 SV2B		ARC BAIAP3 BEGAIN BRSK1 BRSK2 CACNA1C CDK5R1 CELF4 CNIH2 DLG2 GRHL3 JPH4 KCNJ11 LIN7A LRFN2 MAD2L2 NOTUM NRXN2 NTRK1 PLCL1 RAPGEF4 RFX6 SCT SLC12A5 SNAP25 SOCS1 SYN1 SYP TMEM198 TPGS1		AIF1 ECE2 FGF14 GPC6 GRIN2C HCN4 IL17C KCNJ3 MAP1A MDK NEUROD2 NTNG2 NTRK1 SOCS1 SPP1 SSTR3 SV2B WNK2	AGT ANK2 BAIAP3 BSN CACNA1C CACNA1E CACNA2D2 CACNB2 CACNB4 CD70 CELF4 CHRM4 CHRNA5 CNR1 CPE CPLX2 CRH FGF17 FJX1 GABRE GIP GRAP2 HAP1 IL17C JPH4 KCNJ3 KIF5A LGR6 LRFN2 MAP1A MAP1B NEUROD2 NOTUM NRXN2 PCDH17 PRKCG PTPRN RGS4 RIMBP2 RNF213 SCN1B SCN3B SFRP1 SLC30A8 SST SSTR3 STXBP5L SV2A SV2B SYP SYT2 TMEM198 TMOD2 UCN3	ADCY1 APLN ARC CACNA1E CACNA1G CHRNA5 CXXC4 DRD2 EPHA4 FFAR2 FGF17 GABBR2 GABRB3 GABRG2 GRHL3 HAP1 KCNK3 LGR6 NKD1 NRXN2 PGF PTPRN2 SLC1A2 SST SSTR5 TMOD2 UCN3 UNC13A	ADCY5 ANK2 BEGAIN CHRNA1 DLG2 GABRG2 GHRL GIP HAP1 SHISA9 WIF1	ADCY1 ADCY5 APLN CHRNA3 CHRNA5 CHRNB2 FGF9 FJX1 GIP RIMBP2 SHC3 STX1A STXBP5L TMOD2 WIF1			CARTPT EFNB3 GABRB3 ITPR1		ADCY1 AIF1 ARC CELF4 CHGA HIC1 NPTX2 PRKCG SHISA9 STX1A STXBP1 STXBP5L SYT5	ABCC4 COLQ ITPR1 LGR6 MAPK8IP2 PLCG2 PRRT2 RIC3	ADORA2A APLN BRSK1 CHRNA5 CPE CSF1R FABP5 FFAR2 GNG2 LRFN2 NTRK1 PARD6A PLCG2 PMP22 SCG5 SOCS1 TPGS1 TUBB2B WIF1		AGT CACNA1C CACNA1E CELF4 GNAO1 KCNJ3 MAP1A NRXN2 PCDH17 PTPRN RGS14 RGS4 RIMBP2 SNAP25	CACNB4 CHRNA1 CPLX1 DKK3 DRD2 ILDR2 LZTS1 MPP2 NOTUM PMP22 PTPRN2 SORCS2 WIF1	ABCC4 ASIC1 CACNA1G CACNB4 CELSR2 CHRM4 DKK3 DLL1 GAL GIP ISL1 ITPR1 KCNJ3 LRFN2 P2RX6 PGF PRICKLE2 RGS4 RIMBP2 SHC3 SLC30A8 STX1A SV2B SYN1 SYP UCN3 WNK2		ABCC4 AIF1 CACNA1C CACNA1E CACNA1G CELF4 CHGA COLQ EFNB3 HIC1 LGR6 NKD1 NPTX1 NPY NTRK1 NTRK2 PCSK1 PMP22 PTPRN RNF213 SCT SLC30A8 SST SV2B	ASIC1 CADPS DLL1 FGF17 GABRP IGSF9B NKD1 NPTX1 NTRK1 PDE6B PLCL1 PTHLH SFRP1 SLC1A2 STX2 SYT2 WNT9A				ADCY1 CACNG7 CHRNA1 EPHA4 GJD2 KIF5A NTRK2 PRR7 TMEM198 TUBB2B	ARC ASIC1 CDK5R1 CRH GABBR2 GRAP2 GRIN1 KCNJ11 PRRT2 SV2A VGF WNT9A		DRD2 GPC6 GRHL3 PMP22 PRR7 RAPGEF4 SLC1A2 TPGS1	ADCY1 APLN BEGAIN CACNA1E CACNA1G CACNA2D2 CADPS CSF1R CXXC4 FGF9 GRHL3 HCN4 ITPR1 KCNK3 LZTS1 PGF PTPRN2 SSTR5 TUBB2B	CACNB4 CHRM4 CHRNB4 DLL1 DRD2 FGF9 FJX1 GABRE IGSF9B MAD2L2 MAFA MDK NOTUM NTNG2 PGF PLCG2 PMP22 RGS4 RNF213 SCN1B SOCS1 SOX4 SYT2	ADORA2A AMPH BRSK1 CACNA1G CXXC4 DLG2 GABRP GRIK5 ILDR2 ISL1 LIN7A NPY NTRK2 PRRT2 RNF213 SNAP25 SORCS2 SOX4 SST STX2 TMEM198		CACNA2D2 CPLX1 GRAP2 LRFN2 LZTS1 MAFA SV2A WIF1	APLN CD70 CELSR2 DKK3 ITPR1 MAFA NTRK2	CHRNA1 DKK3 NOTUM NPTX1 P2RX6 RIMBP2 SHC3 STX2	ADCY1 AMPH ARC BEGAIN CACNA2D1 CACNG4 CHRM4 CPE CPLX1 DRD2 GABBR2 GRHL3 HRH3 ILDR2 MDK NRXN2 PLCG2 PRRT2 RAB26 RAPGEF4 SOCS1 SPP1 SV2B TPGS1	ABCC4 CACNA1G CD70 CDK5R1 FABP5 FZD4 HHEX LRFN2 PGF PRRT2 SCG5 SCN3B SCT SLC12A5 SSTR5 STX2 SYN1	ABCC8 AGT AMPH ANK2 ASIC1 BAIAP3 BEGAIN BRSK1 BSN CACNA1A CACNA1C CACNB4 CACNG7 CHGA CHRNA5 CNIH2 COLQ CPLX2 DKK3 DLG2 DRD2 ECE2 EFNB3 FABP5 FFAR1 FGF14 FGF17 FGF9 FZD4 GABRA1 GABRE GABRP GIP GNAO1 GNG2 GPC6 GRIK5 HAP1 HCN4 ISL1 KCNJ3 KIF5A LY6H MAP1A MAP1B MDK MPP2 NEUROD2 NRXN2 PCSK1 PDE6B PLCL1 RAB26 RGS14 RGS4 SCG5 SCGN SCN1B SEZ6 SHC3 SLC12A5 SNAP25 SPP1 STX1A STX2 STXBP5L SV2A SV2B SYP TMEM198 TPGS1 TUBB2B UCN3 VGF	ABCC4 APLN ASIC1 CADPS CELSR2 CHRNA1 CHRNB4 DRD2 FZD4 GABRG2 GJD2 GPC6 HAP1 HCN4 IGSF9B MPP2 NKD1 PARD6A PRICKLE2 SCG5 SCN3B TUBB2B WNT9A	DACT1 GABRA1 ISL1 STXBP5L SYP SYT5 TAC1		ADORA2A AGT AIF1 ARC BAIAP3 BEGAIN BRSK1 CACNA1C CACNA1G CACNB4 CD70 CPE CXCL12 DLG2 GABRA1 GAL GHRL IGSF9B ISL1 JPH4 KCNK3 LRFN2 MDK MPP2 NEUROD1 NPTX2 NRXN2 NTRK2 P2RX6 PCSK1 PLCG2 PMP22 PRR7 PRRT2 PTPRN RAB26 RFX6 RGS14 RNF213 SCG5 SCT SEZ6 SOCS1 SYN1 SYT2 VGF	CXXC4 GRHL3 GRIK5 IL11 ILDR2 NTNG2 STX2	BEGAIN CRH GPC6 RGS4 SCN1B SCT TAC1 VGF	AGT CACNA1B GNAO1 GPR119 GRIK3 GRIN2C HIC1 HRH3 MAPK8IP2 SOX4	AIF1 CPE CXXC4 FFAR2 GCK GNG2 IL11 KIF5A PTPRN2 SCG5 SHC3 SOCS1 SYT5 TUBB2B		AIF1 CHRM4 CNR1 CPE CPLX2 CRH CSF1R DACT1 GAL GRIK5 NCS1 NKD1 NKX6-1 PDE6B SSTR3 STXBP1 SYP WNT9A	AGT AIF1 AMER3 APLN CAMK2B CNIH2 ECE2 EFNB3 FGF14 GRIN1 HCN4 ITPR1 KCNJ11 LZTS1 MAD2L2 MAP1A MDK MPP2 NOTUM P2RX6 PRR7 PTHLH SCGN SCN1B SCN3B SEZ6 SOCS1 SSTR5 SYP VGF	
