PeakID (cmd=annotatePeaks.pl NEUROD1_72hpi_peak0107_HIOE.filtered.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1-1991	chr13	26624763	26625060	+	0	NA	exon (NM_001007538, exon 1 of 2)	exon (NM_001007538, exon 1 of 2)	287	NM_001007538	387914	Hs.433791	NM_001007538	ENSG00000180730	SHISA2	C13orf13|PRO28631|TMEM46|WGAR9166|bA398O19.2|hShisa	shisa family member 2	protein-coding
1-943	chr1	44683483	44683780	+	0	NA	intron (NM_001034024, intron 4 of 10)	intron (NM_001034024, intron 4 of 10)	4488	NM_019100	55929	Hs.8008	NM_019100	ENSG00000178028	DMAP1	DNMAP1|DNMTAP1|EAF2|MEAF2|SWC4	DNA methyltransferase 1 associated protein 1	protein-coding
1-2749	chr4	129149364	129149661	+	0	NA	Intergenic	Intergenic	59456	NM_006320	10424	Hs.507910	NM_006320	ENSG00000164040	PGRMC2	DG6|PMBP	progesterone receptor membrane component 2	protein-coding
1-4304	chr16	11776198	11776495	+	0	NA	intron (NR_136674, intron 8 of 8)	intron (NR_136674, intron 8 of 8)	14035	NM_003498	8303	Hs.618526	NM_003498	ENSG00000184602	SNN	-	stannin	protein-coding
1-2908	chr15	60710865	60711162	+	0	NA	TTS (NM_001018089)	TTS (NM_001018089)	-20828	NM_001002858	302	Hs.511605	NM_004039	ENSG00000182718	ANXA2	ANX2|ANX2L4|CAL1H|HEL-S-270|LIP2|LPC2|LPC2D|P36|PAP-IV	annexin A2	protein-coding
1-1839	chr2	15661887	15662184	+	0	NA	intron (NR_052013, intron 9 of 50)	MER58A|DNA|hAT-Charlie	39423	NM_015909	51594	Hs.467759	NM_015909	ENSG00000151779	NBAS	ILFS2|NAG|SOPH	neuroblastoma amplified sequence	protein-coding
1-3200	chr9	33233990	33234287	+	0	NA	Intergenic	Intergenic	-6027	NM_014471	27290	Hs.555934	NM_014471	ENSG00000122711	SPINK4	HEL136|PEC-60|PEC60	serine peptidase inhibitor, Kazal type 4	protein-coding
1-2250	chr15	90650042	90650339	+	0	NA	intron (NR_149130, intron 2 of 2)	intron (NR_149130, intron 2 of 2)	-4404	NM_002168	3418	Hs.596461	NM_002168	ENSG00000182054	IDH2	D2HGA2|ICD-M|IDH|IDHM|IDP|IDPM|mNADP-IDH	isocitrate dehydrogenase (NADP(+)) 2, mitochondrial	protein-coding
1-2323	chr1	44882982	44883279	+	0	NA	intron (NM_001319956, intron 2 of 14)	intron (NM_001319956, intron 2 of 14)	-6543	NM_001319957	55182	Hs.456557	NM_018150	ENSG00000187147	RNF220	C1orf164	ring finger protein 220	protein-coding
1-3109	chr4	42657961	42658258	+	0	NA	intron (NM_006095, intron 1 of 36)	intron (NM_006095, intron 1 of 36)	1013	NM_001105529	10396	Hs.435052	NM_006095	ENSG00000124406	ATP8A1	ATPASEII|ATPIA|ATPP2	ATPase phospholipid transporting 8A1	protein-coding
1-3777	chr16	90143828	90144125	+	0	NA	Intergenic	CpG	-1638	NM_001098173	11105	Hs.406695	NM_052996	ENSG00000126856	PRDM7	PFM4|ZNF910	PR/SET domain 7	protein-coding
1-4128	chr8	37091413	37091710	+	0	NA	intron (NR_031672, intron 1 of 2).2	intron (NR_031672, intron 1 of 2).2	112090	NR_031672	100302233		NR_031672	ENSG00000221641	MIR1268A	MIR1268|MIRN1268|hsa-mir-1268|hsa-mir-1268a	microRNA 1268a	ncRNA
1-4164	chr9	103228073	103228370	+	0	NA	intron (NM_001198812, intron 1 of 9)	intron (NM_001198812, intron 1 of 9)	-7210	NM_003692	8577	Hs.598100	NM_003692	ENSG00000241697	TMEFF1	C9orf2|CT120.1|H7365|TR-1	transmembrane protein with EGF like and two follistatin like domains 1	protein-coding
1-2980	chr20	52684062	52684359	+	0	NA	TTS (NR_039913)	TTS (NR_039913)	814	NR_039913	100616225		NR_039913	ENSG00000265595	MIR4756	-	microRNA 4756	ncRNA
1-1823	chr1	48715538	48715835	+	0	NA	Intergenic	MER91A|DNA|hAT-Tip100	27298	NM_001135181	200010	Hs.37890	NM_001011547	ENSG00000117834	SLC5A9	SGLT4	solute carrier family 5 member 9	protein-coding
1-3420	chr1	48126494	48126791	+	0	NA	Intergenic	Intergenic	-223653	NR_126355	102724077	Hs.159718	NR_126355		LINC01389	-	long intergenic non-protein coding RNA 1389	ncRNA
1-3116	chr4	164509705	164510002	+	0	NA	intron (NM_017923, intron 1 of 3)	MER58A|DNA|hAT-Charlie	24833	NM_017923	55016	Hs.592804	NM_017923	ENSG00000145416	MARCH1	MARCH-I|RNF171	membrane associated ring-CH-type finger 1	protein-coding
1-1109	chr12	123752704	123753001	+	0	NA	promoter-TSS (NM_001270434)	promoter-TSS (NM_001270434)	-51	NM_001270434	8099	Hs.433201	NM_004642	ENSG00000111328	CDK2AP1	DOC1|DORC1|ST19|doc-1|p12DOC-1	cyclin dependent kinase 2 associated protein 1	protein-coding
1-85	chr17	3782431	3782728	+	0	NA	intron (NM_172206, intron 9 of 15)	L2b|LINE|L2	11458	NM_172206	84254	Hs.8417	NM_032294	ENSG00000004660	CAMKK1	CAMKKA	calcium/calmodulin dependent protein kinase kinase 1	protein-coding
1-2453	chr7	1546656	1546953	+	0	NA	Intergenic	Intergenic	-2779	NM_001080453	26173	Hs.532188	NM_001080453	ENSG00000164880	INTS1	INT1|NET28	integrator complex subunit 1	protein-coding
1-3587	chr7	48074799	48075096	+	0	NA	promoter-TSS (NM_001267865)	promoter-TSS (NM_001267865)	-161	NM_001267865	136288	Hs.258357	NM_001100159	ENSG00000164746	C7orf57	-	chromosome 7 open reading frame 57	protein-coding
1-2751	chr4	189359530	189359827	+	0	NA	Intergenic	LTR22|LTR|ERVK	-17054	NR_033869	401164	Hs.435756	NR_033869	ENSG00000249378	LINC01060	-	long intergenic non-protein coding RNA 1060	ncRNA
1-645	chr17	27073780	27074077	+	0	NA	intron (NM_004295, intron 1 of 6)	intron (NM_004295, intron 1 of 6)	2899	NM_004295	9618	Hs.8375	NM_004295	ENSG00000076604	TRAF4	CART1|MLN62|RNF83	TNF receptor associated factor 4	protein-coding
1-2366	chr2	156163394	156163691	+	0	NA	Intergenic	Intergenic	608335	NM_001260509	3760	Hs.591606	NM_002239	ENSG00000162989	KCNJ3	GIRK1|KGA|KIR3.1	potassium voltage-gated channel subfamily J member 3	protein-coding
1-2082	chr1	202139960	202140257	+	0	NA	intron (NR_002930, intron 4 of 21)	intron (NR_002930, intron 4 of 21)	2929	NR_002930	148713	Hs.523870	NR_002930	ENSG00000243323	PTPRVP	ESP|OST-PTP|PTPRV	protein tyrosine phosphatase receptor type V, pseudogene	pseudo
1-3221	chr10	71425588	71425885	+	0	NA	Intergenic	Intergenic	35733	NM_145306	219738	Hs.522992	NM_145306	ENSG00000171224	FAM241B	C10orf35	family with sequence similarity 241 member B	protein-coding
1-3977	chr3	167695824	167696121	+	0	NA	Intergenic	LTR67B|LTR|ERVL	82236	NR_033843	646168	Hs.390443	NR_033843	ENSG00000244227	LRRC77P	LINC01330	leucine rich repeat containing 77, pseudogene	pseudo
1-4136	chr8	86541089	86541386	+	0	NA	Intergenic	Intergenic	26668	NR_003594	100288527	Hs.535056	NR_003594		REXO1L2P	-	REXO1 like 2, pseudogene	pseudo
1-1464	chr3	63062058	63062355	+	0	NA	Intergenic	L2c|LINE|L2	-26158	NR_027104	285401	Hs.211125	NR_027104	ENSG00000244342	LINC00698	-	long intergenic non-protein coding RNA 698	ncRNA
1-912	chr11	130495812	130496109	+	0	NA	Intergenic	Intergenic	-40670	NR_107019	102466873		NR_107019	ENSG00000274999	MIR8052	hsa-mir-8052	microRNA 8052	ncRNA
1-371	chr8	128571551	128571848	+	0	NA	Intergenic	Intergenic	-77315	NR_024393	727677	Hs.673248	NR_024393	ENSG00000246228	CASC8	CARLO1|CARLo-1|LINC00860	cancer susceptibility 8	ncRNA
1-2224	chr12	120663811	120664108	+	0	NA	intron (NM_001080855, intron 1 of 11)	intron (NM_001080855, intron 1 of 11)	24007	NM_025157	5829	Hs.446336	NM_002859	ENSG00000089159	PXN	-	paxillin	protein-coding
1-1198	chr7	156890262	156890559	+	0	NA	Intergenic	Intergenic	-41210	NM_014671	9690	Hs.118351	NM_014671	ENSG00000009335	UBE3C	HECTH2	ubiquitin protein ligase E3C	protein-coding
1-4133	chr8	64114808	64115105	+	0	NA	intron (NM_152758, intron 5 of 5)	intron (NM_152758, intron 5 of 5)	33394	NM_001277814	253943	Hs.491861	NM_152758	ENSG00000185728	YTHDF3	-	YTH N6-methyladenosine RNA binding protein 3	protein-coding
1-2552	chr12	131107357	131107654	+	0	NA	intron (NM_001351228, intron 2 of 21)	intron (NM_001351228, intron 2 of 21)	5496	NM_015347	23504	Hs.657441	NM_015347	ENSG00000060709	RIMBP2	PPP1R133|RBP2|RIM-BP2	RIMS binding protein 2	protein-coding
1-3435	chr1	110163619	110163916	+	0	NA	promoter-TSS (NM_004037)	promoter-TSS (NM_004037)	3	NM_004037	271	Hs.82927	NM_004037	ENSG00000116337	AMPD2	PCH9|SPG63	adenosine monophosphate deaminase 2	protein-coding
1-3780	chr17	6041055	6041352	+	0	NA	Intergenic	Intergenic	67269	NM_015253	23302	Hs.370166	NM_015253	ENSG00000179314	WSCD1	-	WSC domain containing 1	protein-coding
1-2689	chr2	1719572	1719869	+	0	NA	intron (NM_012293, intron 1 of 22)	intron (NM_012293, intron 1 of 22)	28567	NM_012293	7837	Hs.332197	NM_012293	ENSG00000130508	PXDN	ASGD7|COPOA|D2S448|D2S448E|MG50|PRG2|PXN|VPO	peroxidasin	protein-coding
1-835	chr11	75446003	75446300	+	0	NA	Intergenic	Intergenic	17268	NM_025098	80168	Hs.288568	NM_025098	ENSG00000166391	MOGAT2	DGAT2L5|DGAT2L5.|MGAT2|hDC5	monoacylglycerol O-acyltransferase 2	protein-coding
1-2594	chr17	55792050	55792347	+	0	NA	Intergenic	Intergenic	30462	NM_001282544	101927581	Hs.540784	NM_001282544	ENSG00000166329	CCDC182	-	coiled-coil domain containing 182	protein-coding
1-314	chr12	28779243	28779540	+	0	NA	Intergenic	Intergenic	-435720	NR_148936	729291	Hs.129278	NR_148936		LOC729291	-	uncharacterized LOC729291	ncRNA
1-884	chr4	76295822	76296119	+	0	NA	Intergenic	Intergenic	16684	NR_033964	441025	Hs.407667	NR_033964	ENSG00000251383	LINC02483	-	long intergenic non-protein coding RNA 2483	ncRNA
1-3445	chr1	193155615	193155912	+	0	NA	promoter-TSS (NM_003783)	promoter-TSS (NM_003783)	-20	NM_003783	8707	Hs.518834	NM_003783	ENSG00000162630	B3GALT2	BETA3GALT2|GLCT2|beta3Gal-T2	beta-1,3-galactosyltransferase 2	protein-coding
1-4617	chr7	96299656	96299953	+	0	NA	intron (NR_163952, intron 2 of 6)	intron (NR_163952, intron 2 of 6)	-6154	NR_038948	7979	Hs.489201	NM_006304	ENSG00000127922	SEM1	C7orf76|DSS1|ECD|SHFD1|SHFM1|SHSF1|Shfdg1	SEM1 26S proteasome complex subunit	protein-coding
1-2269	chr17	33053621	33053918	+	0	NA	Intergenic	Intergenic	146001	NM_001304438	124842	Hs.310482	NM_207313	ENSG00000181291	TMEM132E	DFNB99	transmembrane protein 132E	protein-coding
1-3039	chr1	162163582	162163879	+	0	NA	intron (NM_001164757, intron 2 of 9)	intron (NM_001164757, intron 2 of 9)	36833	NR_039798	100616386		NR_039798	ENSG00000266144	MIR4654	mir-4654	microRNA 4654	ncRNA
1-3290	chr14	77365718	77366015	+	0	NA	Intergenic	Intergenic	-60115	NR_133913	105370578	Hs.574184	NR_133913	ENSG00000258602	LINC01629	linc-KIAA1737-2	long intergenic non-protein coding RNA 1629	ncRNA
1-1379	chr11	119943976	119944273	+	0	NA	Intergenic	Intergenic	55437	NM_001330382	23650	Hs.504115	NM_012101	ENSG00000137699	TRIM29	ATDC	tripartite motif containing 29	protein-coding
1-783	chr20	47299173	47299470	+	0	NA	intron (NM_020820, intron 10 of 39)	intron (NM_020820, intron 10 of 39)	145215	NM_020820	57580	Hs.153310	NM_020820	ENSG00000124126	PREX1	P-REX1	phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 1	protein-coding
1-2320	chr1	36616393	36616690	+	0	NA	intron (NM_001270895, intron 1 of 4)	intron (NM_001270895, intron 1 of 4)	-1426	NM_001270897	27095	Hs.523131	NM_014408	ENSG00000054116	TRAPPC3	BET3	trafficking protein particle complex 3	protein-coding
1-4326	chr17	3641105	3641402	+	0	NA	intron (NM_002208, intron 20 of 30)	intron (NM_002208, intron 20 of 30)	14056	NM_031965	83903	Hs.534059	NM_031965	ENSG00000177602	HASPIN	GSG2	histone H3 associated protein kinase	protein-coding
1-1629	chr2	239430613	239430910	+	0	NA	intron (NR_037809, intron 2 of 2)	intron (NR_037809, intron 2 of 2)	33379	NR_037809	151171	Hs.652076	NR_037809	ENSG00000225493	LINC01107	-	long intergenic non-protein coding RNA 1107	ncRNA
1-4455	chr3	11701780	11702077	+	0	NA	intron (NM_014667, intron 2 of 5)	intron (NM_014667, intron 2 of 5)	-16539	NM_001128219	9686	Hs.740389	NM_014667	ENSG00000144560	VGLL4	VGL-4	vestigial like family member 4	protein-coding
1-1592	chr20	49262172	49262469	+	0	NA	non-coding (NR_111906, exon 2 of 3)	non-coding (NR_111906, exon 2 of 3)	312	NR_111906	100506175	Hs.658270	NR_111906	ENSG00000234693	LOC100506175	-	uncharacterized LOC100506175	ncRNA
1-1076	chr6	114176206	114176503	+	0	NA	Intergenic	Intergenic	-2170	NM_002356	4082	Hs.519909	NM_002356	ENSG00000277443	MARCKS	80K-L|MACS|PKCSL|PRKCSL	myristoylated alanine rich protein kinase C substrate	protein-coding
1-843	chr16	516637	516934	+	0	NA	intron (NM_001370401, intron 2 of 14)	intron (NM_001370401, intron 2 of 14)	-8139	NM_001142272	9727	Hs.531642	NM_014700	ENSG00000090565	RAB11FIP3	CART1|FIP3-Rab11|Rab11-FIP3	RAB11 family interacting protein 3	protein-coding
1-4479	chr4	184338014	184338311	+	0	NA	Intergenic	Intergenic	-27627	NM_001317343	55602	Hs.592508	NM_017632	ENSG00000168564	CDKN2AIP	CARF	CDKN2A interacting protein	protein-coding
1-631	chr11	117970209	117970506	+	0	NA	intron (NM_001083947, intron 3 of 12)	intron (NM_001083947, intron 3 of 12)	-12679	NM_001354434	100526771	Hs.627426	NM_001354434		SMIM35	TMPRSS4-AS1	small integral membrane protein 35	protein-coding
1-806	chr3	192948432	192948729	+	0	NA	Intergenic	Intergenic	-10431	NM_020386	57110	Hs.36761	NM_020386	ENSG00000127252	PLAAT1	A-C1|H-REV107|HRASLS|HRASLS1|HRSL1|HSD28|PLA/AT1|PLAAT-1	phospholipase A and acyltransferase 1	protein-coding
1-2752	chr5	6505147	6505444	+	0	NA	Intergenic	Intergenic	56323	NM_001145161	134111	Hs.126856	NM_001145161	ENSG00000215218	UBE2QL1	-	ubiquitin conjugating enzyme E2 Q family like 1	protein-coding
1-546	chr8	59770940	59771237	+	0	NA	intron (NM_014729, intron 3 of 8)	intron (NM_014729, intron 3 of 8)	-198676	NM_003580	8439	Hs.372000	NM_003580	ENSG00000035681	NSMAF	FAN|GRAMD5	neutral sphingomyelinase activation associated factor	protein-coding
1-600	chr2	62442513	62442810	+	0	NA	promoter-TSS (NM_001319075)	promoter-TSS (NM_001319075)	5	NM_001319075	10678	Hs.173203	NM_006577	ENSG00000170340	B3GNT2	3-Gn-T1|3-Gn-T2|B3GN-T2|B3GNT|B3GNT-2|B3GNT1|BETA3GNT|BGNT2|BGnT-2|beta-1|beta3Gn-T1|beta3Gn-T2	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2	protein-coding
1-4312	chr16	57123341	57123638	+	0	NA	Intergenic	Intergenic	-3006	NM_152727	221184	Hs.339809	NM_152727	ENSG00000140848	CPNE2	COPN2|CPN2	copine 2	protein-coding
1-850	chr19	1667715	1668012	+	0	NA	Intergenic	Intergenic	-15249	NM_003200	6929	Hs.371282	NM_003200	ENSG00000071564	TCF3	AGM8|E2A|E47|ITF1|TCF-3|VDIR|bHLHb21|p75	transcription factor 3	protein-coding
1-330	chr3	46526565	46526862	+	0	NA	promoter-TSS (NM_001321122)	promoter-TSS (NM_001321122)	11	NM_001321122	4057	Hs.529517	NM_002343	ENSG00000012223	LTF	GIG12|HEL110|HLF2|LF	lactotransferrin	protein-coding
1-1300	chr4	1201678	1201975	+	0	NA	intron (NR_024569, intron 1 of 3)	intron (NR_024569, intron 1 of 3)	924	NR_024569	100130872	Hs.302963	NR_024569		LOC100130872	-	uncharacterized LOC100130872	ncRNA
1-1622	chr2	120435628	120435925	+	0	NA	promoter-TSS (NM_001105198)	promoter-TSS (NM_001105198)	-967	NM_001105198	80775	Hs.439991	NM_030577	ENSG00000144120	TMEM177	-	transmembrane protein 177	protein-coding
1-1343	chr8	56108329	56108626	+	0	NA	intron (NM_052898, intron 1 of 2)	MER5B|DNA|hAT-Charlie	93889	NM_052898	114786	Hs.130197	NM_052898	ENSG00000206579	XKR4	XRG4	XK related 4	protein-coding
1-4421	chrX	73712623	73712920	+	0	NA	intron (NM_006517, intron 1 of 5)	intron (NM_006517, intron 1 of 5)	71443	NM_006517	6567	Hs.75317	NM_006517	ENSG00000147100	SLC16A2	AHDS|DXS128|DXS128E|MCT 7|MCT 8|MCT7|MCT8|MRX22|XPCT	solute carrier family 16 member 2	protein-coding
1-2542	chr12	94474339	94474636	+	0	NA	Intergenic	Intergenic	-67866	NM_005761	10154	Hs.584845	NM_005761	ENSG00000136040	PLXNC1	CD232|PLXN-C1|VESPR	plexin C1	protein-coding
1-4501	chr7	84375828	84376125	+	0	NA	Intergenic	Intergenic	214184	NR_110079	101927378	Hs.539042	NR_110079	ENSG00000235139	LOC101927378	-	uncharacterized LOC101927378	ncRNA
1-455	chr14	57524653	57524950	+	0	NA	Intergenic	Intergenic	210822	NM_006544	10640	Hs.743987	NM_006544	ENSG00000070367	EXOC5	HSEC10|PRO1912|SEC10|SEC10L1|SEC10P	exocyst complex component 5	protein-coding
1-3834	chr21	39254549	39254846	+	0	NA	intron (NM_002240, intron 1 of 3)	intron (NM_002240, intron 1 of 3)	34063	NM_002240	3763	Hs.626242	NM_002240	ENSG00000157542	KCNJ6	BIR1|GIRK-2|GIRK2|KATP-2|KATP2|KCNJ7|KIR3.2|KPLBS|hiGIRK2	potassium voltage-gated channel subfamily J member 6	protein-coding
1-2442	chr6	36317066	36317363	+	0	NA	Intergenic	LTR83|LTR|ERVL	-12549	NM_001010903	389384	Hs.162104	NM_001010903	ENSG00000189325	BNIP5	C6orf222	BCL2 interacting protein 5	protein-coding
1-2393	chr3	120402556	120402853	+	0	NA	Intergenic	Intergenic	-1618	NM_000187	3081	Hs.368254	NM_000187	ENSG00000113924	HGD	AKU|HGO	homogentisate 1,2-dioxygenase	protein-coding
1-2532	chr11	130850013	130850310	+	0	NA	Intergenic	Intergenic	-63779	NM_001347925	399979	Hs.444024	NM_014758	ENSG00000120451	SNX19	CHET8	sorting nexin 19	protein-coding
1-1634	chr3	43097417	43097714	+	0	NA	intron (NM_001129908, intron 4 of 4)	intron (NM_001129908, intron 4 of 4)	50006	NM_032806	84892	Hs.745002	NM_032806	ENSG00000144647	POMGNT2	AGO61|C3orf39|GTDC2|MDDGA8|MDDGC8	protein O-linked mannose N-acetylglucosaminyltransferase 2 (beta 1,4-)	protein-coding
1-544	chr7	47610936	47611233	+	0	NA	intron (NM_022748, intron 1 of 30)	intron (NM_022748, intron 1 of 30)	10625	NM_022748	64759	Hs.520814	NM_022748	ENSG00000136205	TNS3	TEM6|TENS1	tensin 3	protein-coding
1-885	chr4	91416424	91416721	+	0	NA	intron (NM_207491, intron 5 of 7)	intron (NM_207491, intron 5 of 7)	260390	NM_207491	401145	Hs.654735	NM_207491	ENSG00000184305	CCSER1	FAM190A	coiled-coil serine rich protein 1	protein-coding
1-2732	chr3	139240679	139240976	+	0	NA	intron (NM_001365940, intron 2 of 3)	intron (NM_001365940, intron 2 of 3)	17651	NM_001365940	5947	Hs.529571	NM_002899	ENSG00000114115	RBP1	CRABP-I|CRBP|CRBP1|CRBPI|RBPC	retinol binding protein 1	protein-coding
1-4277	chr14	66317451	66317748	+	0	NA	Intergenic	Intergenic	379779	NR_030355	693210		NR_030355	ENSG00000207781	MIR625	MIRN625|hsa-mir-625	microRNA 625	ncRNA
1-2022	chr17	976473	976770	+	0	NA	intron (NM_001092, intron 6 of 21)	intron (NM_001092, intron 6 of 21)	5612	NM_001282149	29	Hs.159306	NM_001092	ENSG00000159842	ABR	MDB	ABR activator of RhoGEF and GTPase	protein-coding
1-3067	chr2	85292123	85292420	+	0	NA	non-coding (NR_146453, exon 1 of 2)	non-coding (NR_146453, exon 1 of 2)	2199	NR_146453	100996478	Hs.434398	NR_146453	ENSG00000260840	LINC01964	-	long intergenic non-protein coding RNA 1964	ncRNA
1-2032	chr18	42888571	42888868	+	0	NA	intron (NM_001242692, intron 1 of 20)	intron (NM_001242692, intron 1 of 20)	95759	NM_001242692	8170	Hs.710927	NM_007163	ENSG00000132874	SLC14A2	HUT2|UT-A2|UT2|UTA|UTR|hUT-A6	solute carrier family 14 member 2	protein-coding
1-3207	chr9	95918479	95918776	+	0	NA	Intergenic	Intergenic	-22094	NM_004148	4814	Hs.494457	NM_004148	ENSG00000131669	NINJ1	NIN1|NINJURIN	ninjurin 1	protein-coding
1-1725	chr12	27646581	27646878	+	0	NA	intron (NM_001145010, intron 6 of 8)	intron (NM_001145010, intron 6 of 8)	26986	NM_001145010	341346	Hs.282121	NM_001145010	ENSG00000165935	SMCO2	C12orf70	single-pass membrane protein with coiled-coil domains 2	protein-coding
1-4420	chrX	39710052	39710349	+	0	NA	Intergenic	Intergenic	13385	NR_039763	100616251		NR_039763	ENSG00000263972	MIR1587	-	microRNA 1587	ncRNA
1-4391	chr20	32657043	32657340	+	0	NA	intron (NM_007367, intron 2 of 8)	intron (NM_007367, intron 2 of 8)	20266	NR_039911	100616434		NR_039911	ENSG00000264616	MIR4755	mir-4755	microRNA 4755	ncRNA
1-160	chr7	143102221	143102518	+	0	NA	intron (NM_005232, intron 2 of 17)	intron (NM_005232, intron 2 of 17)	-2537	NR_033897	285965	Hs.642649	NR_033897	ENSG00000229153	EPHA1-AS1	-	EPHA1 antisense RNA 1	ncRNA
1-1156	chr1	181160239	181160536	+	0	NA	Intergenic	MER63A|DNA|hAT-Blackjack	16767	NR_125966	101928973	Hs.637822	NR_125966	ENSG00000237292	LINC01732	-	long intergenic non-protein coding RNA 1732	ncRNA
1-4110	chr7	124145193	124145490	+	0	NA	Intergenic	AluSq10|SINE|Alu	-153191	NR_110180	101928211	Hs.131334	NR_110180		LOC101928211	-	uncharacterized LOC101928211	ncRNA
1-4565	chr17	46560847	46561144	+	0	NA	Intergenic	Intergenic	38800	NR_110804	101927166	Hs.149244	NR_110804		LOC101927166	-	uncharacterized LOC101927166	ncRNA
1-2536	chr12	50400505	50400802	+	0	NA	intron (NM_001320005, intron 1 of 15)	intron (NM_001320005, intron 1 of 15)	18624	NM_001319999	29127	Hs.505469	NM_013277	ENSG00000161800	RACGAP1	CYK4|HsCYK-4|ID-GAP|MgcRacGAP	Rac GTPase activating protein 1	protein-coding
1-1372	chr11	35757500	35757797	+	0	NA	intron (NM_017583, intron 4 of 4)	intron (NM_017583, intron 4 of 4)	73325	NM_017583	54765	Hs.192103	NM_017583	ENSG00000166326	TRIM44	AN3|DIPB|HSA249128|MC7	tripartite motif containing 44	protein-coding
1-442	chr6	34570548	34570845	+	0	NA	intron (NM_022758, intron 3 of 3)	intron (NM_022758, intron 3 of 3)	-46586	NM_001252294	25803	Hs.485158	NM_012391	ENSG00000124664	SPDEF	PDEF|bA375E1.3	SAM pointed domain containing ETS transcription factor	protein-coding
1-3958	chr3	16225132	16225429	+	0	NA	intron (NM_001319051, intron 1 of 9)	L2c|LINE|L2	9093	NM_054110	117248	Hs.411308	NM_054110	ENSG00000131386	GALNT15	GALNACT15|GALNT13|GALNT7|GALNTL2|PIH5|pp-GalNAc-T15	polypeptide N-acetylgalactosaminyltransferase 15	protein-coding
1-3313	chr16	4993407	4993704	+	0	NA	Intergenic	Intergenic	-6406	NM_002705	5493	Hs.192233	NM_002705	ENSG00000118898	PPL	-	periplakin	protein-coding
1-728	chr3	181832739	181833036	+	0	NA	Intergenic	Intergenic	162735	NR_104146	100996490	Hs.606987	NR_104146	ENSG00000242512	LINC01206	-	long intergenic non-protein coding RNA 1206	ncRNA
1-1108	chr12	119641880	119642177	+	0	NA	Intergenic	Intergenic	25433	NM_014365	26353	Hs.400095	NM_014365	ENSG00000152137	HSPB8	CMT2L|DHMN2|E2IG1|H11|HMN2|HMN2A|HSP22	heat shock protein family B (small) member 8	protein-coding
1-1389	chr13	109512856	109513153	+	0	NA	intron (NM_015011, intron 11 of 34)	L1PREC2|LINE|L1	231045	NM_001198950	23026	Hs.656587	NM_015011	ENSG00000041515	MYO16	MYAP3|MYR8|Myo16b|NYAP3|PPP1R107	myosin XVI	protein-coding
1-3960	chr3	58449442	58449739	+	0	NA	Intergenic	Intergenic	-28233	NM_001128214	200845	Hs.13982	NM_153331	ENSG00000168301	KCTD6	KCASH3	potassium channel tetramerization domain containing 6	protein-coding
1-3570	chr6	41643180	41643477	+	0	NA	Intergenic	Intergenic	37122	NM_001300806	4188	Hs.520119	NM_005586	ENSG00000112559	MDFI	I-MF|I-mfa	MyoD family inhibitor	protein-coding
1-2834	chr9	124051666	124051963	+	0	NA	intron (NM_001258030, intron 1 of 16)	intron (NM_001258030, intron 1 of 16)	2987	NM_001258030	2934	Hs.522373	NM_000177	ENSG00000148180	GSN	ADF|AGEL	gelsolin	protein-coding
1-941	chr1	33647680	33647977	+	0	NA	promoter-TSS (NM_018207)	promoter-TSS (NM_018207)	-184	NM_018207	55223	Hs.656006	NM_018207	ENSG00000116525	TRIM62	DEAR1	tripartite motif containing 62	protein-coding
1-934	chr20	21503565	21503862	+	0	NA	Intergenic	CpG	-9011	NM_002509	4821	Hs.516922	NM_002509	ENSG00000125820	NKX2-2	NKX2.2|NKX2B	NK2 homeobox 2	protein-coding
1-3583	chr7	9586254	9586551	+	0	NA	Intergenic	AluSc8|SINE|Alu	-87498	NR_002790	168741	Hs.545134	NR_002790		PER4	-	period circadian regulator 3 pseudogene	pseudo
1-2061	chrX	53467076	53467373	+	0	NA	Intergenic	L2b|LINE|L2	-5901	NM_004493	3028	Hs.171280	NM_004493	ENSG00000072506	HSD17B10	17b-HSD10|ABAD|CAMR|DUPXp11.22|ERAB|HADH2|HCD2|HSD10MD|MHBD|MRPP2|MRX17|MRX31|MRXS10|SCHAD|SDR5C1	hydroxysteroid 17-beta dehydrogenase 10	protein-coding
1-4233	chr11	127910454	127910751	+	0	NA	Intergenic	Intergenic	-168059	NR_146647	105369564	Hs.591937	NR_146647	ENSG00000272575	LINC02098	-	long intergenic non-protein coding RNA 2098	ncRNA
1-2409	chr4	11754269	11754566	+	0	NA	intron (NR_146995, intron 1 of 3)	L1MA7|LINE|L1	16675	NR_146995	105374484	Hs.581972	NR_146995	ENSG00000248300	LINC02360	-	long intergenic non-protein coding RNA 2360	ncRNA
1-2150	chr5	173698255	173698552	+	0	NA	Intergenic	Intergenic	-64954	NR_125806	101928176	Hs.436014	NR_125806	ENSG00000249306	LINC01411	-	long intergenic non-protein coding RNA 1411	ncRNA
