PeakID (cmd=annotatePeaks.pl NEUROD1_peak0825_HIOE.filtered.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1-462	chr18	45622059	45622386	+	0	NA	intron (NM_001371291, intron 4 of 6)	intron (NM_001371291, intron 4 of 6)	41297	NM_001039360	201501	Hs.515388	NM_001039360	ENSG00000184828	ZBTB7C	APM-1|APM1|ZBTB36|ZNF857C	zinc finger and BTB domain containing 7C	protein-coding
1-364	chr2	88520257	88520584	+	0	NA	Intergenic	Intergenic	47762	NM_018271	55258	Hs.739080	NM_018271	ENSG00000144115	THNSL2	SOFAT|THS2|TSH2	threonine synthase like 2	protein-coding
1-643	chr17	73823548	73823875	+	0	NA	3' UTR (NM_199242, exon 32 of 32)	3' UTR (NM_199242, exon 32 of 32)	17087	NM_199242	201294	Hs.41045	NM_199242	ENSG00000092929	UNC13D	FHL3|HLH3|HPLH3|Munc13-4	unc-13 homolog D	protein-coding
1-435	chr3	65583055	65583382	+	0	NA	intron (NM_001033057, intron 2 of 22)	intron (NM_001033057, intron 2 of 22)	-296273	NR_046575	100873983	Hs.663889	NR_046575	ENSG00000240175	MAGI1-AS1	-	MAGI1 antisense RNA 1	ncRNA
1-1178	chr2	109756197	109756524	+	0	NA	intron (NM_001099289, intron 1 of 9)	intron (NM_001099289, intron 1 of 9)	1684	NR_036223	100422863		NR_036223	ENSG00000264934	MIR4265	-	microRNA 4265	ncRNA
1-587	chr1	118091951	118092278	+	0	NA	Intergenic	Intergenic	56278	NR_121626	100996263	Hs.202533	NR_121626	ENSG00000236866	LOC100996263	-	uncharacterized LOC100996263	ncRNA
1-1188	chr3	49692427	49692754	+	0	NA	exon (NM_003458, exon 5 of 12)	exon (NM_003458, exon 5 of 12)	-19194	NM_001640	327	Hs.517969	NM_001640	ENSG00000164062	APEH	AARE|ACPH|APH|D3F15S2|D3S48E|DNF15S2|OPH	acylaminoacyl-peptide hydrolase	protein-coding
1-1174	chr1	204593365	204593692	+	0	NA	intron (NM_201630, intron 1 of 1)	intron (NM_201630, intron 1 of 1)	61338	NM_006338	10446	Hs.26312	NM_006338	ENSG00000170382	LRRN2	FIGLER7|GAC1|LRANK1|LRRN5	leucine rich repeat neuronal 2	protein-coding
1-109	chr19	18591173	18591500	+	0	NA	intron (NM_006532, intron 1 of 11)	intron (NM_006532, intron 1 of 11)	41544	NM_006532	8178	Hs.515260	NM_006532	ENSG00000105656	ELL	C19orf17|ELL1|MEN|PPP1R68	elongation factor for RNA polymerase II	protein-coding
1-233	chr6	47488047	47488374	+	0	NA	intron (NM_012120, intron 2 of 17)	L1MDa|LINE|L1	42685	NM_012120	23607	Hs.485518	NM_012120	ENSG00000198087	CD2AP	CMS	CD2 associated protein	protein-coding
1-1159	chr22	32929697	32930024	+	0	NA	exon (NM_003490, exon 10 of 14)	exon (NM_003490, exon 10 of 14)	58636	NM_001033024	25793	Hs.5912	NM_012179	ENSG00000100225	FBXO7	FBX|FBX07|FBX7|PARK15|PKPS	F-box protein 7	protein-coding
1-1065	chr3	30230233	30230560	+	0	NA	Intergenic	MLT1G1|LTR|ERVL-MaLR	-254749	NR_046556	100873977	Hs.581453	NR_046556	ENSG00000235593	RBMS3-AS1	-	RBMS3 antisense RNA 1	ncRNA
1-716	chr17	49029426	49029753	+	0	NA	Intergenic	Intergenic	-84250	NM_001243877	10140	Hs.703321	NM_005749	ENSG00000141232	TOB1	APRO5|APRO6|PIG49|TOB|TROB|TROB1	transducer of ERBB2, 1	protein-coding
1-1244	chr12	113957225	113957552	+	0	NA	Intergenic	Intergenic	47580	NR_126425	104355219	Hs.641707	NR_126425		LHX5-AS1	locus 4010|locus4010	LHX5 antisense RNA 1	ncRNA
1-629	chr16	1990717	1991044	+	0	NA	exon (NM_016332, exon 3 of 4)	exon (NM_016332, exon 3 of 4)	2447	NM_016332	51734	Hs.655346	NM_016332	ENSG00000198736	MSRB1	HSPC270|SELR|SELX|SEPX1|SepR	methionine sulfoxide reductase B1	protein-coding
1-145	chr10	80988767	80989094	+	0	NA	intron (NM_020338, intron 7 of 24)	intron (NM_020338, intron 7 of 24)	-118295	NM_005729	10105	Hs.381072	NM_005729	ENSG00000108179	PPIF	CYP3|CyP-M|Cyp-D|CypD	peptidylprolyl isomerase F	protein-coding
1-1392	chr17	46089664	46089991	+	0	NA	Intergenic	CpG	-20421	NR_162100	113218499		NR_162100		MIR10226	-	microRNA 10226	ncRNA
1-181	chr7	464547	464874	+	0	NA	Intergenic	Intergenic	45319	NR_033960	442497	Hs.704269	NR_033960	ENSG00000249574	LOC442497	-	uncharacterized LOC442497	ncRNA
1-712	chr16	84008735	84009062	+	0	NA	intron (NM_001329748, intron 2 of 11)	G-rich|Low_complexity|Low_complexity	6645	NM_001329749	54550	Hs.140950	NM_019065	ENSG00000103154	NECAB2	EFCBP2|stip-2	N-terminal EF-hand calcium binding protein 2	protein-coding
1-1205	chr5	171048064	171048391	+	0	NA	Intergenic	MIRb|SINE|MIR	-164649	NM_001289970	644994	Hs.591740	NM_001289970	ENSG00000185662	SMIM23	C5orf50	small integral membrane protein 23	protein-coding
1-581	chr1	23917831	23918158	+	0	NA	Intergenic	Intergenic	-32002	NM_002167	3399	Hs.76884	NM_002167	ENSG00000117318	ID3	HEIR-1|bHLHb25	inhibitor of DNA binding 3, HLH protein	protein-coding
1-141	chr7	2563938	2564265	+	0	NA	intron (NM_001040167, intron 1 of 7)	intron (NM_001040167, intron 1 of 7)	-2607	NR_039791	100616116		NR_039791	ENSG00000264357	MIR4648	-	microRNA 4648	ncRNA
1-703	chr12	113481072	113481399	+	0	NA	Intergenic	Intergenic	-14427	NM_004416	1840	Hs.372152	NM_004416	ENSG00000135144	DTX1	RNF140|hDx-1	deltex E3 ubiquitin ligase 1	protein-coding
1-1076	chr5	1140471	1140798	+	0	NA	Intergenic	Intergenic	-28456	NM_006598	10723	Hs.172613	NM_006598	ENSG00000113504	SLC12A7	KCC4	solute carrier family 12 member 7	protein-coding
1-229	chr1	32560316	32560643	+	0	NA	exon (NM_018056, exon 7 of 9)	exon (NM_018056, exon 7 of 9)	7929	NR_049850	100847018		NR_049850	ENSG00000266203	MIR5585	-	microRNA 5585	ncRNA
1-1337	chr10	99302363	99302690	+	0	NA	intron (NM_024954, intron 1 of 2)	intron (NM_024954, intron 1 of 2)	-29672	NM_001291218	26287	Hs.73708	NM_020349	ENSG00000165887	ANKRD2	ARPP	ankyrin repeat domain 2	protein-coding
1-806	chr17	79303461	79303788	+	0	NA	Intergenic	Intergenic	-20576	NR_038080	284185	Hs.631762	NM_178519		LINC00482	C17orf55	long intergenic non-protein coding RNA 482	ncRNA
1-35	chr1	1234291	1234618	+	0	NA	intron (NM_030649, intron 10 of 23)	intron (NM_030649, intron 10 of 23)	-2904	NR_106784	102465434		NR_106784	ENSG00000278073	MIR6726	hsa-mir-6726	microRNA 6726	ncRNA
1-454	chr15	88998237	88998564	+	0	NA	Intergenic	Intergenic	12219	NM_022163	26589	Hs.534261	NM_022163	ENSG00000259494	MRPL46	C15orf4|LIECG2|P2ECSL	mitochondrial ribosomal protein L46	protein-coding
1-151	chr17	39316365	39316692	+	0	NA	exon (NM_032524, exon 1 of 1)	exon (NM_032524, exon 1 of 1)	472	NM_032524	84616	Hs.307022	NM_032524	ENSG00000171396	KRTAP4-4	KAP4.13|KAP4.4|KRTAP4-13|KRTAP4.13|KRTAP4.4	keratin associated protein 4-4	protein-coding
1-1064	chr2	239323607	239323934	+	0	NA	Intergenic	Intergenic	-11798	NM_001040445	51665	Hs.516788	NM_016114	ENSG00000065802	ASB1	ASB-1	ankyrin repeat and SOCS box containing 1	protein-coding
1-1072	chr4	26041043	26041370	+	0	NA	Intergenic	Intergenic	125392	NM_001145432	389203	Hs.479386	NM_001145432	ENSG00000250317	SMIM20	C4orf52|MITRAC7|PNX	small integral membrane protein 20	protein-coding
1-612	chr9	37904079	37904406	+	0	NA	promoter-TSS (NM_033412)	promoter-TSS (NM_033412)	108	NR_024873	92014	Hs.634120	NM_033412	ENSG00000122696	SLC25A51	CG7943|MCART1	solute carrier family 25 member 51	protein-coding
1-897	chr17	19607167	19607494	+	0	NA	intron (NM_001256663, intron 12 of 17)	intron (NM_001256663, intron 12 of 17)	12567	NR_135625	146802	Hs.126830	NM_152908	ENSG00000180638	SLC47A2	MATE2|MATE2-B|MATE2-K|MATE2K	solute carrier family 47 member 2	protein-coding
1-171	chr9	95897062	95897389	+	0	NA	promoter-TSS (NM_004148)	promoter-TSS (NM_004148)	-692	NM_004148	4814	Hs.494457	NM_004148	ENSG00000131669	NINJ1	NIN1|NINJURIN	ninjurin 1	protein-coding
1-493	chr9	100987451	100987778	+	0	NA	intron (NR_051978, intron 4 of 11)	intron (NR_051978, intron 4 of 11)	3885	NR_106913	102465514		NR_106913	ENSG00000278412	MIR6854	hsa-mir-6854	microRNA 6854	ncRNA
1-313	chr11	44833462	44833789	+	0	NA	intron (NM_130783, intron 2 of 9)	intron (NM_130783, intron 2 of 9)	85113	NM_130783	90139	Hs.385634	NM_130783	ENSG00000157570	TSPAN18	TSPAN	tetraspanin 18	protein-coding
1-1018	chr17	16945329	16945656	+	0	NA	promoter-TSS (NM_001364716)	promoter-TSS (NM_001364716)	-279	NM_001364716	23164	Hs.462341	NM_015134	ENSG00000133030	MPRIP	M-RIP|MRIP|RHOIP3|RIP3|p116Rip	myosin phosphatase Rho interacting protein	protein-coding
1-230	chr1	228004396	228004723	+	0	NA	intron (NM_183062, intron 2 of 4)	intron (NM_183062, intron 2 of 4)	1141	NM_183062	339501	Hs.97604	NM_183062	ENSG00000185888	PRSS38	MPN2	serine protease 38	protein-coding
1-1153	chr20	23621356	23621683	+	0	NA	Intergenic	Intergenic	-2927	NM_001288614	1471	Hs.304682	NM_000099	ENSG00000101439	CST3	ARMD11|HEL-S-2	cystatin C	protein-coding
1-416	chr16	1392753	1393080	+	0	NA	exon (NM_001199097, exon 14 of 34)	exon (NM_001199097, exon 14 of 34)	6718	NM_001199096	8938	Hs.458427	NM_003933	ENSG00000007516	BAIAP3	BAP3	BAI1 associated protein 3	protein-coding
1-937	chr4	48815990	48816317	+	0	NA	Intergenic	Intergenic	-16907	NM_001079841	54940	Hs.518750	NM_017830	ENSG00000109180	OCIAD1	ASRIJ|OCIA|TPA018	OCIA domain containing 1	protein-coding
1-331	chr20	49262146	49262473	+	0	NA	non-coding (NR_111906, exon 2 of 3)	non-coding (NR_111906, exon 2 of 3)	301	NR_111906	100506175	Hs.658270	NR_111906	ENSG00000234693	LOC100506175	-	uncharacterized LOC100506175	ncRNA
1-1375	chr1	75074421	75074748	+	0	NA	intron (NM_001002912, intron 9 of 14)	intron (NM_001002912, intron 9 of 14)	19165	NR_121670	101927320	Hs.662589	NR_121670	ENSG00000234497	ERICH3-AS1	-	ERICH3 antisense RNA 1	ncRNA
1-592	chr2	26654716	26655043	+	0	NA	intron (NM_145038, intron 7 of 16)	intron (NM_145038, intron 7 of 16)	30091	NM_145038	92749	Hs.393714	NM_145038	ENSG00000157856	DRC1	C2orf39|CCDC164|CILD21	dynein regulatory complex subunit 1	protein-coding
1-504	chr14	54605447	54605774	+	0	NA	Intergenic	Intergenic	-182001	NM_001347913	652	Hs.68879	NM_001202	ENSG00000125378	BMP4	BMP2B|BMP2B1|MCOPS6|OFC11|ZYME	bone morphogenetic protein 4	protein-coding
1-489	chr8	73786801	73787128	+	0	NA	intron (NM_004770, intron 2 of 2)	intron (NM_004770, intron 2 of 2)	-134135	NM_017489	7013	Hs.442707	NM_003218	ENSG00000147601	TERF1	PIN2|TRBF1|TRF|TRF1|hTRF1-AS|t-TRF1	telomeric repeat binding factor 1	protein-coding
1-824	chr1	156634072	156634399	+	0	NA	Intergenic	Intergenic	12964	NM_006617	10763	Hs.527971	NM_006617	ENSG00000132688	NES	Nbla00170	nestin	protein-coding
1-296	chr16	84956453	84956780	+	0	NA	Intergenic	Intergenic	88525	NM_001145548	55625	Hs.461610	NM_017740	ENSG00000153786	ZDHHC7	DHHC7|SERZ-B|SERZ1|ZNF370	zinc finger DHHC-type containing 7	protein-coding
1-1074	chr4	86614590	86614917	+	0	NA	intron (NM_001025616, intron 2 of 9)	L1PA16|LINE|L1	-28868	NR_039656	100616349		NR_039656	ENSG00000266421	MIR4451	mir-4451	microRNA 4451	ncRNA
1-1253	chr14	65427504	65427831	+	0	NA	intron (NM_001330182, intron 1 of 7)	intron (NM_001330182, intron 1 of 7)	11387	NM_001330182	376267	Hs.512492	NM_198686	ENSG00000139998	RAB15	-	RAB15, member RAS oncogene family	protein-coding
1-218	chr12	50067346	50067673	+	0	NA	intron (NM_198900, intron 1 of 24)	intron (NM_198900, intron 1 of 24)	33679	NM_175736	91010	Hs.179838	NM_175736	ENSG00000161791	FMNL3	FHOD3|FRL2|WBP-3|WBP3	formin like 3	protein-coding
1-1040	chr21	46959075	46959402	+	0	NA	intron (NM_001352511, intron 1 of 5)	intron (NM_001352511, intron 1 of 5)	2522	NM_001352512	6573	Hs.84190	NM_003056	ENSG00000173638	SLC19A1	CHMD|FOLT|IFC-1|IFC1|REFC|RFC|RFC1	solute carrier family 19 member 1	protein-coding
1-321	chr17	39340801	39341128	+	0	NA	exon (NM_033060, exon 1 of 2)	exon (NM_033060, exon 1 of 2)	199	NM_033060	85285	Hs.437079	NM_033060		KRTAP4-1	KAP4.1|KAP4.10|KRTAP4-10|KRTAP4.10	keratin associated protein 4-1	protein-coding
1-849	chr5	127221003	127221330	+	0	NA	intron (NM_001317938, intron 6 of 6)	intron (NM_001317938, intron 6 of 6)	182085	NM_001317938	728586	Hs.582532	NM_001317938	ENSG00000230561	CCDC192	LINC01183	coiled-coil domain containing 192	protein-coding
1-1395	chr20	5815992	5816319	+	0	NA	intron (NM_001303478, intron 3 of 3)	intron (NM_001303478, intron 3 of 3)	-76001	NM_001819	1114	Hs.516874	NM_001819	ENSG00000089199	CHGB	SCG1	chromogranin B	protein-coding
1-1287	chr19	51857590	51857917	+	0	NA	exon (NM_001014763, exon 1 of 5)	exon (NM_001014763, exon 1 of 5)	343	NM_001014763	2109	Hs.348531	NM_001985	ENSG00000105379	ETFB	FP585|MADD	electron transfer flavoprotein subunit beta	protein-coding
1-968	chr9	130939594	130939921	+	0	NA	intron (NM_001131016, intron 10 of 16)	intron (NM_001131016, intron 10 of 16)	14094	NM_001131017	25792	Hs.212395	NM_012127	ENSG00000148337	CIZ1	LSFR1|NP94|ZNF356	CDKN1A interacting zinc finger protein 1	protein-coding
1-1107	chr10	134095386	134095713	+	0	NA	intron (NM_001318878, intron 1 of 11)	CpG	25177	NM_001318879	282974	Hs.469002	NM_173575	ENSG00000165752	STK32C	PKE|YANK3	serine/threonine kinase 32C	protein-coding
1-443	chr6	7561647	7561974	+	0	NA	intron (NM_004415, intron 4 of 23)	intron (NM_004415, intron 4 of 23)	19906	NM_004415	1832	Hs.519873	NM_004415	ENSG00000096696	DSP	DCWHKTA|DP	desmoplakin	protein-coding
1-1225	chr10	30648896	30649223	+	0	NA	Intergenic	Intergenic	8535	NR_106985	102466227		NR_106985	ENSG00000284277	MIR7162	hsa-mir-7162	microRNA 7162	ncRNA
1-1361	chr17	60856356	60856683	+	0	NA	intron (NM_152598, intron 3 of 10)	intron (NM_152598, intron 3 of 10)	27482	NM_001100875	162333	Hs.665663	NM_152598	ENSG00000173838	MARCH10	MARCH-X|RNF190	membrane associated ring-CH-type finger 10	protein-coding
1-65	chr21	46853743	46854070	+	0	NA	intron (NM_130445, intron 2 of 42)	intron (NM_130445, intron 2 of 42)	-8921	NR_027498	378832	Hs.517353	NM_199175	ENSG00000183535	COL18A1-AS1	C21orf123|NCRNA00175|PRED80	COL18A1 antisense RNA 1	ncRNA
1-195	chr17	72369910	72370237	+	0	NA	Intergenic	Intergenic	6428	NM_181790	350383	Hs.574368	NM_181790	ENSG00000257008	GPR142	GPRg1b|PGR2	G protein-coupled receptor 142	protein-coding
1-1098	chr8	143291601	143291928	+	0	NA	Intergenic	Intergenic	12047	NR_024378	619434	Hs.393308	NR_024378	ENSG00000254008	LINC00051	C8orf43|NCRNA00051	long intergenic non-protein coding RNA 51	ncRNA
1-993	chr12	125452717	125453044	+	0	NA	intron (NM_032656, intron 10 of 26)	intron (NM_032656, intron 10 of 26)	20797	NM_032656	57647	Hs.107382	NM_032656	ENSG00000150990	DHX37	DDX37|Dhr1	DEAH-box helicase 37	protein-coding
1-1038	chr20	61334694	61335021	+	0	NA	Intergenic	Intergenic	-5331	NM_002531	4923	Hs.590869	NM_002531	ENSG00000101188	NTSR1	NTR	neurotensin receptor 1	protein-coding
1-830	chr2	10588719	10589046	+	0	NA	promoter-TSS (NM_001287188)	promoter-TSS (NM_001287188)	-429	NM_001287188	4953	Hs.467701	NM_002539	ENSG00000115758	ODC1	ODC	ornithine decarboxylase 1	protein-coding
1-491	chr8	141018652	141018979	+	0	NA	intron (NM_001160372, intron 18 of 22)	intron (NM_001160372, intron 18 of 22)	91819	NR_144431	359809	Hs.26814	NR_144431	ENSG00000282164	PEG13	-	paternally expressed 13	ncRNA
1-165	chr1	60225139	60225466	+	0	NA	intron (NM_001244714, intron 13 of 13)	intron (NM_001244714, intron 13 of 13)	-13165	NR_110627	101926944	Hs.720353	NR_110627		LOC101926944	-	uncharacterized LOC101926944	ncRNA
1-748	chr2	20579040	20579367	+	0	NA	Intergenic	Intergenic	-27189	NM_001352920	23369	Hs.467824	NM_015317	ENSG00000055917	PUM2	PUMH2|PUML2	pumilio RNA binding family member 2	protein-coding
1-197	chr20	62789099	62789426	+	0	NA	Intergenic	Intergenic	-6543	NM_004535	4661	Hs.279562	NM_004535	ENSG00000196132	MYT1	C20orf36|MTF1|MYTI|NZF2|PLPB1|ZC2H2C1|ZC2HC4A	myelin transcription factor 1	protein-coding
1-76	chr6	5782917	5783244	+	0	NA	Intergenic	Intergenic	-87575	NR_110842	101927950	Hs.571136	NR_110842	ENSG00000270174	LOC101927950	-	uncharacterized LOC101927950	ncRNA
1-1058	chr2	95873028	95873355	+	0	NA	Intergenic	CpG	41637	NM_001282398	7549	Hs.590916	NM_021088	ENSG00000275111	ZNF2	A1-5|ZNF661|Zfp661	zinc finger protein 2	protein-coding
1-1379	chr3	62861735	62862062	+	0	NA	promoter-TSS (NM_003716)	promoter-TSS (NM_003716)	-807	NM_003716	8618	Hs.654933	NM_003716	ENSG00000163618	CADPS	CADPS1|CAPS|CAPS1|UNC-31	calcium dependent secretion activator	protein-coding
1-335	chr22	47439717	47440044	+	0	NA	intron (NM_014346, intron 11 of 12)	intron (NM_014346, intron 11 of 12)	-127942	NR_122047	642757	Hs.632786	NR_122047	ENSG00000280080	TBC1D22A-AS1	-	TBC1D22A antisense RNA 1	ncRNA
1-492	chr9	95571040	95571367	+	0	NA	promoter-TSS (NR_136301)	promoter-TSS (NR_136301)	-690	NR_026868	138649	Hs.643597	NM_001010925	ENSG00000187984	ANKRD19P	ANKRD19|bA526D8.2	ankyrin repeat domain 19, pseudogene	pseudo
1-389	chr19	10138290	10138617	+	0	NA	Intergenic	CpG	-10577	NR_049855	100847093		NR_049855	ENSG00000266204	MIR5589	-	microRNA 5589	ncRNA
1-1075	chr4	184522535	184522862	+	0	NA	Intergenic	Intergenic	57640	NM_152682	201965	Hs.133337	NM_152682	ENSG00000182552	RWDD4	FAM28A|RWDD4A	RWD domain containing 4	protein-coding
1-984	chr11	66719482	66719809	+	0	NA	intron (NM_001040716, intron 3 of 22)	intron (NM_001040716, intron 3 of 22)	6209	NM_001040716	5091	Hs.89890	NM_000920	ENSG00000173599	PC	PCB	pyruvate carboxylase	protein-coding
1-93	chr7	1968165	1968492	+	0	NA	intron (NM_001304523, intron 16 of 17)	intron (NM_001304523, intron 16 of 17)	11879	NM_001304525	8379	Hs.654838	NM_003550	ENSG00000002822	MAD1L1	MAD1|PIG9|TP53I9|TXBP181	mitotic arrest deficient 1 like 1	protein-coding
1-553	chr9	134298669	134298996	+	0	NA	Intergenic	Intergenic	-6645	NM_013318	84726	Hs.743955	NM_013318	ENSG00000130723	PRRC2B	BAT2L|BAT2L1|KIAA0515|LQFBS-1	proline rich coiled-coil 2B	protein-coding
1-75	chr4	1756204	1756531	+	0	NA	Intergenic	Intergenic	33119	NM_006342	10460	Hs.104019	NM_006342	ENSG00000013810	TACC3	ERIC-1|ERIC1	transforming acidic coiled-coil containing protein 3	protein-coding
1-1154	chr20	42212535	42212862	+	0	NA	intron (NM_001199264, intron 12 of 12)	MLT1H|LTR|ERVL-MaLR	-6879	NM_001323579	51098	Hs.444332	NM_016004	ENSG00000101052	IFT52	C20orf9|CGI-53|NGD2|NGD5	intraflagellar transport 52	protein-coding
1-209	chr5	139127092	139127419	+	0	NA	Intergenic	CpG	-1447	NR_105052	101929696	Hs.147408	NR_105052	ENSG00000249131	PSD2-AS1	-	PSD2 antisense RNA 1	ncRNA
1-1063	chr2	233404151	233404478	+	0	NA	promoter-TSS (NM_005199)	promoter-TSS (NM_005199)	-88	NM_005199	1146	Hs.248101	NM_005199	ENSG00000196811	CHRNG	ACHRG	cholinergic receptor nicotinic gamma subunit	protein-coding
1-6	chr1	19265199	19265526	+	0	NA	intron (NM_001136265, intron 1 of 8)	intron (NM_001136265, intron 1 of 8)	17808	NM_001136265	126917	Hs.466625	NM_001136265	ENSG00000169991	IFFO2	-	intermediate filament family orphan 2	protein-coding
1-1183	chr2	192798029	192798356	+	0	NA	Intergenic	Intergenic	-86378	NM_004657	8436	Hs.26530	NM_004657	ENSG00000168497	CAVIN2	PS-p68|SDPR|SDR|cavin-2	caveolae associated protein 2	protein-coding
1-1368	chr21	40330181	40330508	+	0	NA	Intergenic	Intergenic	19356	NR_109962	101928435	Hs.385528	NR_109962	ENSG00000232837	LINC01700	-	long intergenic non-protein coding RNA 1700	ncRNA
1-294	chr14	59130271	59130598	+	0	NA	Intergenic	Intergenic	24879	NR_046095	51339	Hs.48950	NM_016651	ENSG00000165617	DACT1	DAPPER|DAPPER1|DPR1|FRODO|HDPR1|TBS2|THYEX3	dishevelled binding antagonist of beta catenin 1	protein-coding
1-593	chr2	85999380	85999707	+	0	NA	intron (NM_032827, intron 2 of 2)	intron (NM_032827, intron 2 of 2)	11257	NR_106719	102466516		NR_106719	ENSG00000278783	MIR6071	hsa-mir-6071	microRNA 6071	ncRNA
1-1241	chr12	52815523	52815850	+	0	NA	Intergenic	Intergenic	12469	NM_004693	9119	Hs.697046	NM_004693	ENSG00000170454	KRT75	K6HF|KB18|PFB	keratin 75	protein-coding
1-1371	chr22	43424358	43424685	+	0	NA	Intergenic	Intergenic	-10070	NR_125362	100506679	Hs.706553	NR_125362	ENSG00000230319	LOC100506679	-	uncharacterized LOC100506679	ncRNA
1-1059	chr2	96422104	96422431	+	0	NA	Intergenic	Intergenic	70462	NR_103734	150759	Hs.503463	NR_103734		LINC00342	NCRNA00342	long intergenic non-protein coding RNA 342	ncRNA
1-1222	chr9	72147227	72147554	+	0	NA	intron (NM_001163, intron 1 of 12)	intron (NM_001163, intron 1 of 12)	139897	NM_001163	320	Hs.171939	NM_001163	ENSG00000107282	APBA1	D9S411E|LIN10|MINT1|X11|X11A|X11ALPHA	amyloid beta precursor protein binding family A member 1	protein-coding
1-429	chr22	38639118	38639445	+	0	NA	intron (NM_001195071, intron 3 of 8)	intron (NM_001195071, intron 3 of 8)	-18554	NR_132774	106635525		NR_132774		SNORA92	-	small nucleolar RNA, H/ACA box 92	snoRNA
1-173	chr22	24577361	24577688	+	0	NA	promoter-TSS (NM_019601)	promoter-TSS (NM_019601)	69	NM_019601	56241	Hs.131819	NM_019601	ENSG00000099994	SUSD2	BK65A6.2|W5C5	sushi domain containing 2	protein-coding
1-417	chr16	2053914	2054241	+	0	NA	intron (NM_178167, intron 3 of 13)	CpG	5745	NM_178167	90850	Hs.343828	NM_178167	ENSG00000167962	ZNF598	HEL2	zinc finger protein 598	protein-coding
1-692	chr10	79092015	79092342	+	0	NA	intron (NM_001322838, intron 1 of 29)	intron (NM_001322838, intron 1 of 29)	18341	NM_001322838	3778	Hs.144795	NM_002247	ENSG00000156113	KCNMA1	BKTM|CADEDS|KCa1.1|MaxiK|PNKD3|SAKCA|SLO|SLO-ALPHA|SLO1|bA205K10.1|hSlo|mSLO1	potassium calcium-activated channel subfamily M alpha 1	protein-coding
1-1354	chr16	74846942	74847269	+	0	NA	Intergenic	Intergenic	-38387	NM_024306	79152	Hs.461329	NM_024306	ENSG00000103089	FA2H	FAAH|FAH1|FAXDC1|SCS7|SPG35	fatty acid 2-hydroxylase	protein-coding
1-992	chr12	117722009	117722336	+	0	NA	intron (NM_001204218, intron 7 of 29)	intron (NM_001204218, intron 7 of 29)	20685	NM_001204213	4842	Hs.654410	NM_000620	ENSG00000089250	NOS1	IHPS1|N-NOS|NC-NOS|NOS|bNOS|nNOS	nitric oxide synthase 1	protein-coding
1-866	chr9	125575102	125575429	+	0	NA	Intergenic	Intergenic	12863	NM_080859	392392	Hs.632681	NM_080859	ENSG00000165204	OR1K1	hg99	olfactory receptor family 1 subfamily K member 1	protein-coding
1-1275	chr17	55520596	55520923	+	0	NA	intron (NM_001322250, intron 6 of 13)	intron (NM_001322250, intron 6 of 13)	80199	NR_110808	101927557	Hs.639984	NR_110808	ENSG00000266100	LOC101927557	-	uncharacterized LOC101927557	ncRNA
1-875	chr11	11996895	11997222	+	0	NA	intron (NM_001018057, intron 3 of 6)	intron (NM_001018057, intron 3 of 6)	33128	NM_001018057	27122	Hs.292156	NM_013253	ENSG00000050165	DKK3	REIC|RIG	dickkopf WNT signaling pathway inhibitor 3	protein-coding
1-1370	chr22	24255921	24256248	+	0	NA	Intergenic	CpG	-14967	NR_038911	284889	Hs.632772	NR_038911		MIF-AS1	MIF-AS	MIF antisense RNA 1	ncRNA
1-657	chr1	206874121	206874448	+	0	NA	intron (NM_032960, intron 1 of 9)	intron (NM_032960, intron 1 of 9)	16034	NM_032960	9261	Hs.643566	NM_004759	ENSG00000162889	MAPKAPK2	MAPKAP-K2|MK-2|MK2	MAPK activated protein kinase 2	protein-coding
1-388	chr19	3133398	3133725	+	0	NA	Intergenic	Intergenic	-2470	NM_002068	2769	Hs.73797	NM_002068	ENSG00000060558	GNA15	GNA16	G protein subunit alpha 15	protein-coding
1-886	chr14	50464718	50465045	+	0	NA	TTS (NR_126500)	TTS (NR_126500)	-5029	NR_126499	283551	Hs.292580	NM_001012706	ENSG00000214900	LINC01588	C14orf182	long intergenic non-protein coding RNA 1588	ncRNA
1-983	chr11	60637790	60638117	+	0	NA	intron (NM_207341, intron 4 of 11)	intron (NM_207341, intron 4 of 11)	2938	NM_207341	22917	Hs.172130	NM_207341	ENSG00000149506	ZP1	HEL163|OOMD|OOMD1	zona pellucida glycoprotein 1	protein-coding
1-1100	chr9	94604934	94605261	+	0	NA	intron (NM_001318204, intron 1 of 7)	intron (NM_001318204, intron 1 of 7)	107413	NM_004560	4920	Hs.98255	NM_004560	ENSG00000169071	ROR2	BDB|BDB1|NTRKR2	receptor tyrosine kinase like orphan receptor 2	protein-coding
1-599	chr3	50460887	50461214	+	0	NA	intron (NM_001291101, intron 3 of 37)	intron (NM_001291101, intron 3 of 37)	58256	NR_111913	11068	Hs.149443	NM_007022	ENSG00000114395	CYB561D2	101F6|TSP10|XXcos-LUCA11.4	cytochrome b561 family member D2	protein-coding
