PeakID (cmd=annotatePeaks.pl RFX6_peak0825_HIOE.filtered.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1-4933	chr3	171333453	171333906	+	0	NA	intron (NM_001130081, intron 23 of 25)	L1ME3D|LINE|L1	-155482	NR_027767	23043	Hs.34024	NM_015028	ENSG00000154310	TNIK	MRT54	TRAF2 and NCK interacting kinase	protein-coding
1-1339	chr1	234845266	234845719	+	0	NA	Intergenic	Intergenic	-14297	NR_038856	100506810	Hs.586634	NR_038856	ENSG00000227630	LINC01132	-	long intergenic non-protein coding RNA 1132	ncRNA
1-2559	chr7	150784781	150785234	+	0	NA	intron (NM_001350103, intron 1 of 18)	CpG	1445	NM_001308304	116988	Hs.647075	NM_031946	ENSG00000133612	AGAP3	AGAP-3|CENTG3|CRAG|MRIP-1|cnt-g3	ArfGAP with GTPase domain, ankyrin repeat and PH domain 3	protein-coding
1-1181	chr5	90620065	90620518	+	0	NA	Intergenic	Intergenic	-10072	NR_103549	100505994	Hs.628363	NR_103548	ENSG00000248323	LUCAT1	SCAL1|SCAT5	lung cancer associated transcript 1	ncRNA
1-2960	chr9	98271487	98271940	+	0	NA	promoter-TSS (NM_000264)	promoter-TSS (NM_000264)	-882	NM_000264	5727	Hs.494538	NM_000264	ENSG00000185920	PTCH1	BCNS|NBCCS|PTC|PTC1|PTCH	patched 1	protein-coding
1-3399	chr2	165911536	165911989	+	0	NA	Intergenic	Intergenic	-99727	NM_173512	151258	Hs.658702	NM_173512	ENSG00000169507	SLC38A11	AVT2	solute carrier family 38 member 11	protein-coding
1-415	chr4	153700721	153701174	+	0	NA	promoter-TSS (NM_145720)	promoter-TSS (NM_145720)	-65	NM_145720	201798	Hs.301243	NM_145720	ENSG00000169989	TIGD4	-	tigger transposable element derived 4	protein-coding
1-2710	chr12	89618475	89618928	+	0	NA	Intergenic	Intergenic	127577	NM_022652	1848	Hs.298654	NM_001946	ENSG00000139318	DUSP6	HH19|MKP3|PYST1	dual specificity phosphatase 6	protein-coding
1-747	chr13	42845349	42845802	+	0	NA	promoter-TSS (NM_016248)	promoter-TSS (NM_016248)	-713	NM_016248	11215	Hs.105105	NM_016248	ENSG00000023516	AKAP11	AKAP-11|AKAP220|PPP1R44|PRKA11	A-kinase anchoring protein 11	protein-coding
1-2425	chr5	79351284	79351737	+	0	NA	intron (NM_001306212, intron 3 of 22)	intron (NM_001306212, intron 3 of 22)	19664	NM_001306214	7060	Hs.211426	NM_003248	ENSG00000113296	THBS4	TSP-4|TSP4	thrombospondin 4	protein-coding
1-3968	chr17	37720401	37720854	+	0	NA	Intergenic	Intergenic	43546	NM_006160	4761	Hs.322431	NM_006160	ENSG00000171532	NEUROD2	EIEE72|NDRF|bHLHa1	neuronal differentiation 2	protein-coding
1-2254	chr13	31304628	31305081	+	0	NA	intron (NM_001204406, intron 1 of 5)	intron (NM_001204406, intron 1 of 5)	-4791	NM_001629	241	Hs.507658	NM_001629	ENSG00000132965	ALOX5AP	FLAP	arachidonate 5-lipoxygenase activating protein	protein-coding
1-3415	chr3	132378525	132378978	+	0	NA	promoter-TSS (NM_001321238)	promoter-TSS (NM_001321238)	-98	NM_032169	84129	Hs.441378	NM_032169	ENSG00000240303	ACAD11	ACAD-11	acyl-CoA dehydrogenase family member 11	protein-coding
1-4491	chr14	104900978	104901431	+	0	NA	Intergenic	Intergenic	-144897	NM_001008404	400258	Hs.153827	NM_001008404	ENSG00000184601	C14orf180	C14orf77|NRAC	chromosome 14 open reading frame 180	protein-coding
1-2352	chr13	20755318	20755771	+	0	NA	Intergenic	L1MB3|LINE|L1	11533	NM_004004	2706	Hs.524894	NM_004004	ENSG00000165474	GJB2	CX26|DFNA3|DFNA3A|DFNB1|DFNB1A|HID|KID|NSRD1|PPK	gap junction protein beta 2	protein-coding
1-3095	chr7	26118566	26119019	+	0	NA	Intergenic	MIRb|SINE|MIR	-73026	NM_004289	9603	Hs.404741	NM_004289	ENSG00000050344	NFE2L3	NRF3	nuclear factor, erythroid 2 like 3	protein-coding
1-662	chr19	14116900	14117353	+	0	NA	promoter-TSS (NM_002918)	promoter-TSS (NM_002918)	6	NM_002918	5989	Hs.655215	NM_002918	ENSG00000132005	RFX1	EFC|RFX	regulatory factor X1	protein-coding
1-5103	chr15	55790392	55790845	+	0	NA	non-coding (NR_037923, exon 1 of 16)	non-coding (NR_037923, exon 1 of 16)	164	NR_037923	100533483	Hs.285051	NR_037923	ENSG00000261771	DNAAF4-CCPG1	DYX1C1-CCPG1	DNAAF4-CCPG1 readthrough (NMD candidate)	ncRNA
1-4206	chr12	54610663	54611116	+	0	NA	Intergenic	Intergenic	14371	NR_039851	100616400		NR_039851	ENSG00000283803	MIR3198-2	mir-3198-2	microRNA 3198-2	ncRNA
1-2049	chr7	30596455	30596908	+	0	NA	intron (NR_038889, intron 5 of 6)	intron (NR_038889, intron 5 of 6)	20714	NR_038889	401320	Hs.561708	NR_038889		GARS-DT	-	GARS divergent transcript	ncRNA
1-2907	chr1	157210375	157210828	+	0	NA	Intergenic	Intergenic	-102218	NM_005240	2117	Hs.105636	NM_005240	ENSG00000117036	ETV3	METS|PE-1|PE1	ETS variant 3	protein-coding
1-4314	chr1	153761818	153762271	+	0	NA	Intergenic	AluJb|SINE|Alu	-4379	NR_126565	343052	Hs.516530	NR_126565	ENSG00000231827	LOC343052	-	immunoglobulin superfamily DCC subclass member 3 pseudogene	pseudo
1-2451	chr9	134283156	134283609	+	0	NA	Intergenic	Intergenic	-22095	NM_013318	84726	Hs.743955	NM_013318	ENSG00000130723	PRRC2B	BAT2L|BAT2L1|KIAA0515|LQFBS-1	proline rich coiled-coil 2B	protein-coding
1-5197	chr1	111764361	111764814	+	0	NA	Intergenic	Intergenic	-5694	NM_001025197	1117	Hs.514840	NM_004000	ENSG00000064886	CHI3L2	CHIL2|YKL-39|YKL39	chitinase 3 like 2	protein-coding
1-4590	chr1	110210437	110210890	+	0	NA	promoter-TSS (NM_001142368)	promoter-TSS (NM_001142368)	-16	NM_000848	2946	Hs.279837	NM_000848	ENSG00000213366	GSTM2	GST4|GSTM|GSTM2-2|GTHMUS	glutathione S-transferase mu 2	protein-coding
1-5484	chr19	14062780	14063233	+	0	NA	promoter-TSS (NM_138353)	promoter-TSS (NM_138353)	-280	NM_138353	90379	Hs.443636	NM_138353	ENSG00000132017	DCAF15	C19orf72	DDB1 and CUL4 associated factor 15	protein-coding
1-1125	chr15	52028750	52029203	+	0	NA	intron (NM_001143917, intron 1 of 2)	intron (NM_001143917, intron 1 of 2)	283	NM_001363969	256586	Hs.603629	NM_153374	ENSG00000140280	LYSMD2	-	LysM domain containing 2	protein-coding
1-1228	chr14	60043311	60043764	+	0	NA	promoter-TSS (NM_001164399)	promoter-TSS (NM_001164399)	-7	NM_001164399	729665		NM_001164399	ENSG00000151838	CCDC175	C14orf38|c14_5395	coiled-coil domain containing 175	protein-coding
1-5131	chr17	47437786	47438239	+	0	NA	promoter-TSS (NR_110884)	promoter-TSS (NR_110884)	-515	NR_110884	102724596	Hs.559253	NR_110882	ENSG00000248714	LOC102724596	-	uncharacterized LOC102724596	ncRNA
1-2123	chr3	117352102	117352555	+	0	NA	Intergenic	Intergenic	57444	NR_146652	105374057	Hs.518179	NR_146652	ENSG00000241213	LINC02024	-	long intergenic non-protein coding RNA 2024	ncRNA
1-2569	chr10	4705309	4705762	+	0	NA	TTS (NR_015425)	TTS (NR_015425)	7187	NR_015425	338588	Hs.121365	NR_015425		LINC00705	-	long intergenic non-protein coding RNA 705	ncRNA
1-2536	chr3	127168301	127168754	+	0	NA	Intergenic	Intergenic	-59014	NR_110147	101927123	Hs.526761	NR_110147	ENSG00000244215	LINC02016	-	long intergenic non-protein coding RNA 2016	ncRNA
1-3483	chr11	31840600	31841053	+	0	NA	intron (NR_033971, intron 1 of 2)	intron (NR_033971, intron 1 of 2)	-1317	NM_001368923	5080	Hs.270303	NM_000280	ENSG00000007372	PAX6	AN|AN2|ASGD5|D11S812E|FVH1|MGDA|WAGR	paired box 6	protein-coding
1-1545	chr1	27043276	27043729	+	0	NA	intron (NM_006015, intron 1 of 19)	MER20B|DNA|hAT-Charlie	20996	NM_006015	8289	Hs.468972	NM_006015	ENSG00000117713	ARID1A	B120|BAF250|BAF250a|BM029|C1orf4|CSS2|ELD|MRD14|OSA1|P270|SMARCF1|hELD|hOSA1	AT-rich interaction domain 1A	protein-coding
1-4252	chr17	44804908	44805361	+	0	NA	intron (NR_040116, intron 15 of 19)	intron (NR_040116, intron 15 of 19)	90924	NM_030753	7473	Hs.445884	NM_030753	ENSG00000108379	WNT3	INT4|TETAMS	Wnt family member 3	protein-coding
1-593	chr9	137341394	137341847	+	0	NA	Intergenic	Intergenic	43214	NM_001291921	6256	Hs.590886	NM_002957	ENSG00000186350	RXRA	NR2B1	retinoid X receptor alpha	protein-coding
1-1465	chr7	77166004	77166457	+	0	NA	promoter-TSS (NM_002835)	promoter-TSS (NM_002835)	-382	NM_002835	5782	Hs.61812	NM_002835	ENSG00000127947	PTPN12	PTP-PEST|PTPG1	protein tyrosine phosphatase non-receptor type 12	protein-coding
1-2698	chr11	17298006	17298459	+	0	NA	promoter-TSS (NM_001352661)	promoter-TSS (NM_001352661)	-29	NM_001330227	4925	Hs.654599	NM_005013	ENSG00000070081	NUCB2	HEL-S-109|NEFA	nucleobindin 2	protein-coding
1-5543	chr1	206198872	206199325	+	0	NA	Intergenic	Intergenic	-24845	NM_000707	553	Hs.1372	NM_000707	ENSG00000198049	AVPR1B	AVPR3|V1bR	arginine vasopressin receptor 1B	protein-coding
1-4686	chr6	132286215	132286668	+	0	NA	Intergenic	Intergenic	-13929	NM_001901	1490	Hs.410037	NM_001901	ENSG00000118523	CCN2	CTGF|HCS24|IGFBP8|NOV2	cellular communication network factor 2	protein-coding
1-3234	chr3	184292362	184292815	+	0	NA	intron (NM_004443, intron 3 of 15)	intron (NM_004443, intron 3 of 15)	13015	NM_004443	2049	Hs.2913	NM_004443	ENSG00000182580	EPHB3	EK2|ETK2|HEK2|TYRO6	EPH receptor B3	protein-coding
1-4975	chr6	57036753	57037206	+	0	NA	promoter-TSS (NM_004282)	promoter-TSS (NM_004282)	32	NR_110742	101927211	Hs.705718	NR_110742		ZNF451-AS1	-	ZNF451 regulatory antisense RNA 1	ncRNA
1-2332	chr10	98893886	98894339	+	0	NA	intron (NM_003061, intron 4 of 36)	intron (NM_003061, intron 4 of 36)	31599	NR_038330	100505540	Hs.568878	NR_038330	ENSG00000234855	SLIT1-AS1	-	SLIT1 antisense RNA 1	ncRNA
1-3135	chr11	126278530	126278983	+	0	NA	intron (NM_001254757, intron 8 of 10)	intron (NM_001254757, intron 8 of 10)	2774	NM_001254759	6484	Hs.591947	NM_006278	ENSG00000110080	ST3GAL4	CGS23|NANTA3|SAT3|SIAT4|SIAT4C|ST-4|ST3GalA.2|ST3GalIV|STZ|gal-NAc6S	ST3 beta-galactoside alpha-2,3-sialyltransferase 4	protein-coding
1-4301	chr1	18644357	18644810	+	0	NA	intron (NM_032880, intron 3 of 9)	intron (NM_032880, intron 3 of 9)	-162841	NM_152375	127707	Hs.406913	NM_152375	ENSG00000179023	KLHDC7A	-	kelch domain containing 7A	protein-coding
1-1060	chr8	22638836	22639289	+	0	NA	intron (NM_001363233, intron 4 of 6)	intron (NM_001363233, intron 4 of 6)	-88069	NM_004430	1960	Hs.534313	NM_004430	ENSG00000179388	EGR3	EGR-3|PILOT	early growth response 3	protein-coding
1-439	chr13	111210279	111210732	+	0	NA	intron (NM_017817, intron 1 of 1)	intron (NM_017817, intron 1 of 1)	3564	NM_017817	55647	Hs.743563	NM_017817	ENSG00000139832	RAB20	-	RAB20, member RAS oncogene family	protein-coding
1-4872	chr1	32921545	32921998	+	0	NA	Intergenic	MER66B|LTR|ERV1	-8902	NM_001145720	728116	Hs.647658	NM_001145720	ENSG00000273274	ZBTB8B	ZNF916B	zinc finger and BTB domain containing 8B	protein-coding
1-2445	chr8	144816082	144816535	+	0	NA	promoter-TSS (NR_039810)	promoter-TSS (NR_039810)	-2	NR_033849	100128338	Hs.493171	NR_033849	ENSG00000203499	FAM83H-AS1	onco-lncRNA-3	FAM83H antisense RNA 1 (head to head)	ncRNA
1-2369	chr17	19265766	19266219	+	0	NA	promoter-TSS (NM_001321215)	promoter-TSS (NM_001321215)	44	NM_015681	27077	Hs.309467	NM_015681	ENSG00000108641	B9D1	B9|EPPB9|JBTS27|MKS9|MKSR-1|MKSR1	B9 domain containing 1	protein-coding
1-322	chr12	9066740	9067193	+	0	NA	promoter-TSS (NM_004426)	promoter-TSS (NM_004426)	-139	NM_004426	1911	Hs.744902	NM_004426	ENSG00000111752	PHC1	EDR1|HPH1|MCPH11|RAE28	polyhomeotic homolog 1	protein-coding
1-5669	chr10	32048964	32049417	+	0	NA	Intergenic	CpG	148664	NM_001270699	94134	Hs.499264	NM_018287	ENSG00000165322	ARHGAP12	-	Rho GTPase activating protein 12	protein-coding
1-1226	chr12	104323539	104323992	+	0	NA	promoter-TSS (NR_037425)	promoter-TSS (NR_037425)	224	NR_027249	253724	Hs.506549	NR_027249	ENSG00000214198	TTC41P	GNN|GNNP	tetratricopeptide repeat domain 41, pseudogene	pseudo
1-4859	chr22	51111780	51112233	+	0	NA	Intergenic	CpG	-1064	NM_033517	85358	Hs.149035	NM_033517	ENSG00000251322	SHANK3	DEL22q13.3|PROSAP2|PSAP2|SCZD15|SPANK-2	SH3 and multiple ankyrin repeat domains 3	protein-coding
1-2482	chr15	86075862	86076315	+	0	NA	intron (NM_007200, intron 3 of 36)	intron (NM_007200, intron 3 of 36)	-87093	NM_001270546	11214	Hs.459211	NM_006738	ENSG00000170776	AKAP13	AKAP-13|AKAP-Lbc|ARHGEF13|BRX|HA-3|Ht31|LBC|PRKA13|PROTO-LB|PROTO-LBC|c-lbc|p47	A-kinase anchoring protein 13	protein-coding
1-5575	chr3	65185815	65186268	+	0	NA	Intergenic	Intergenic	-512365	NM_001318781	56999	Hs.656071	NM_182920	ENSG00000163638	ADAMTS9	-	ADAM metallopeptidase with thrombospondin type 1 motif 9	protein-coding
1-746	chr12	53302199	53302652	+	0	NA	intron (NM_001256293, intron 1 of 8)	L1MB8|LINE|L1	-3565	NM_002273	3856	Hs.533782	NM_002273	ENSG00000170421	KRT8	CARD2|CK-8|CK8|CYK8|K2C8|K8|KO	keratin 8	protein-coding
1-247	chr19	4379367	4379820	+	0	NA	intron (NM_003025, intron 1 of 9)	intron (NM_003025, intron 1 of 9)	20951	NM_003025	6455	Hs.97616	NM_003025	ENSG00000141985	SH3GL1	CNSA1|EEN|SH3D2B|SH3P8	SH3 domain containing GRB2 like 1, endophilin A2	protein-coding
1-4533	chr19	14170301	14170754	+	0	NA	intron (NM_001145028, intron 1 of 6)	intron (NM_001145028, intron 1 of 6)	-2077	NM_001367327	342979	Hs.444298	NM_001145028	ENSG00000187867	PALM3	-	paralemmin 3	protein-coding
1-1858	chr1	3585403	3585856	+	0	NA	intron (NM_001204186, intron 1 of 10)	intron (NM_001204186, intron 1 of 10)	16500	NM_001204187	7161	Hs.192132	NM_005427	ENSG00000078900	TP73	P73	tumor protein p73	protein-coding
1-5010	chr9	72435463	72435916	+	0	NA	promoter-TSS (NM_001010940)	promoter-TSS (NM_001010940)	-34	NR_038833	494558	Hs.130722	NR_038833	ENSG00000225626	C9orf135-DT	C9orf135-AS1	C9orf135 divergent transcript	ncRNA
1-5708	chr14	22917595	22918048	+	0	NA	intron (NR_148361, intron 2 of 4)	intron (NR_148361, intron 2 of 4)	-16076	NR_148364	105370401	Hs.435144	NR_148361		LOC105370401	-	uncharacterized LOC105370401	ncRNA
1-94	chr10	95205315	95205768	+	0	NA	intron (NM_013451, intron 3 of 53)	intron (NM_013451, intron 3 of 53)	36550	NM_013451	26509	Hs.602086	NM_013451	ENSG00000138119	MYOF	FER1L3	myoferlin	protein-coding
1-957	chr9	136378225	136378678	+	0	NA	Intergenic	X7B_LINE|LINE|CR1	11630	NM_001080483	389827		NM_001080483	ENSG00000187616	MYMK	MYOMAKER|TMEM226|TMEM8C	myomaker, myoblast fusion factor	protein-coding
1-1726	chr22	39570577	39571030	+	0	NA	Intergenic	Intergenic	-22118	NM_001346743	23492	Hs.356416	NM_175709	ENSG00000100307	CBX7	-	chromobox 7	protein-coding
1-644	chr1	7461735	7462188	+	0	NA	intron (NM_001349609, intron 5 of 22)	intron (NM_001349609, intron 5 of 22)	-12147	NR_146200	102725193	Hs.666120	NR_146199	ENSG00000237728	LOC102725193	-	uncharacterized LOC102725193	ncRNA
1-2964	chr10	6918434	6918887	+	0	NA	Intergenic	MER74B|LTR|ERVL	97100	NR_038291	100507127	Hs.498571	NR_038291	ENSG00000238266	LINC00707	-	long intergenic non-protein coding RNA 707	ncRNA
1-3910	chr11	45001446	45001899	+	0	NA	Intergenic	MIRb|SINE|MIR	6219	NR_026681	221122	Hs.551656	NR_026681	ENSG00000254654	LINC02685	-	long intergenic non-protein coding RNA 2685	ncRNA
1-4461	chr12	27785015	27785468	+	0	NA	intron (NM_001198915, intron 2 of 26)	intron (NM_001198915, intron 2 of 26)	-64139	NM_001029874	387849	Hs.269836	NM_001029874	ENSG00000174236	REP15	RAB15EP	RAB15 effector protein	protein-coding
1-5613	chr5	170947828	170948281	+	0	NA	Intergenic	Intergenic	101403	NM_003862	8817	Hs.87191	NM_003862	ENSG00000156427	FGF18	FGF-18|ZFGF5	fibroblast growth factor 18	protein-coding
1-4932	chr3	159833162	159833615	+	0	NA	intron (NR_108088, intron 3 of 9)	L1M1|LINE|L1	91491	NR_108088	101928376	Hs.565865	NR_108088	ENSG00000244040	IL12A-AS1	ILAS1-AS1	IL12A antisense RNA 1	ncRNA
1-1024	chr2	85529353	85529806	+	0	NA	intron (NM_031283, intron 4 of 11)	intron (NM_031283, intron 4 of 11)	25533	NM_001368096	10618	Hs.593382	NM_006464	ENSG00000152291	TGOLN2	TGN38|TGN46|TGN48|TGN51|TTGN2	trans-golgi network protein 2	protein-coding
1-876	chr11	2799828	2800281	+	0	NA	intron (NM_181798, intron 15 of 15)	intron (NM_181798, intron 15 of 15)	-78826	NR_002728	10984	Hs.604823	NR_002728	ENSG00000269821	KCNQ1OT1	KCNQ1-AS2|KCNQ10T1|Kncq1|KvDMR1|KvLQT1-AS|LIT1|NCRNA00012	KCNQ1 opposite strand/antisense transcript 1	ncRNA
1-4541	chr19	48031749	48032202	+	0	NA	intron (NM_001277075, intron 14 of 16)	intron (NM_001277075, intron 14 of 16)	-13655	NM_003827	8775	Hs.126938	NM_003827	ENSG00000105402	NAPA	SNAPA	NSF attachment protein alpha	protein-coding
1-284	chr15	84748688	84749141	+	0	NA	promoter-TSS (NR_036652)	promoter-TSS (NR_036652)	-25	NR_036652	648809	Hs.585157	NR_036652		EFL1P1	EFTUD1P1|FAM42B|HsT19321	elongation factor like GTPase 1 pseudogene 1	pseudo
1-4626	chr2	219736923	219737376	+	0	NA	intron (NM_006522, intron 3 of 3)	intron (NM_006522, intron 3 of 3)	-8425	NM_025216	80326	Hs.121540	NM_025216	ENSG00000135925	WNT10A	OODD|SSPS|STHAG4	Wnt family member 10A	protein-coding
1-1424	chr11	113185287	113185740	+	0	NA	5' UTR (NM_001352038, exon 1 of 24)	5' UTR (NM_001352038, exon 1 of 24)	208	NM_001352038	54970	Hs.288772	NM_017868	ENSG00000149292	TTC12	TPARM	tetratricopeptide repeat domain 12	protein-coding
1-4231	chr15	67546919	67547372	+	0	NA	promoter-TSS (NM_024666)	promoter-TSS (NM_024666)	7	NM_001284349	64799	Hs.657894	NM_022784	ENSG00000103599	IQCH	NYDSP5	IQ motif containing H	protein-coding
1-5717	chr14	89017623	89018076	+	0	NA	intron (NM_007039, intron 1 of 18)	CpG	3502	NM_007039	11099	Hs.437040	NM_007039	ENSG00000070778	PTPN21	PTPD1|PTPRL10	protein tyrosine phosphatase non-receptor type 21	protein-coding
1-4521	chr17	43233066	43233519	+	0	NA	Intergenic	AluJb|SINE|Alu	-4249	NM_001303436	124790	Hs.56382	NM_144608	ENSG00000168517	HEXIM2	L3	HEXIM P-TEFb complex subunit 2	protein-coding
1-3670	chr10	105113341	105113794	+	0	NA	Intergenic	AluSz6|SINE|Alu	-2670	NM_032154	84108	Hs.335808	NM_032154	ENSG00000156374	PCGF6	MBLR|RNF134	polycomb group ring finger 6	protein-coding
1-642	chr12	22741725	22742178	+	0	NA	TTS (NR_135030)	TTS (NR_135030)	36029	NR_135030	105369691	Hs.556287	NR_135030		LOC105369691	-	uncharacterized LOC105369691	ncRNA
1-751	chr17	74137185	74137638	+	0	NA	promoter-TSS (NM_001454)	promoter-TSS (NM_001454)	-85	NM_001454	2302	Hs.651204	NM_001454	ENSG00000129654	FOXJ1	FKHL13|HFH-4|HFH4	forkhead box J1	protein-coding
1-3249	chr5	131586884	131587337	+	0	NA	Intergenic	Intergenic	-6241	NM_001131027	8572	Hs.424312	NM_003687	ENSG00000131435	PDLIM4	RIL	PDZ and LIM domain 4	protein-coding
1-3433	chr6	128777986	128778439	+	0	NA	intron (NM_001291981, intron 1 of 32)	intron (NM_001291981, intron 1 of 32)	63532	NM_001291981	5796	Hs.155919	NM_002844	ENSG00000152894	PTPRK	R-PTP-kappa	protein tyrosine phosphatase receptor type K	protein-coding
1-3026	chr1	3002543	3002996	+	0	NA	intron (NM_199454, intron 1 of 16)	intron (NM_199454, intron 1 of 16)	17002	NM_199454	63976	Hs.99500	NM_022114	ENSG00000142611	PRDM16	CMD1LL|KMT8F|LVNC8|MEL1|PFM13	PR/SET domain 16	protein-coding
1-217	chr17	25823467	25823920	+	0	NA	intron (NM_014238, intron 2 of 20)	intron (NM_014238, intron 2 of 20)	24703	NM_014238	8844	Hs.133534	NM_014238	ENSG00000141068	KSR1	KSR|RSU2	kinase suppressor of ras 1	protein-coding
1-1881	chr4	89137518	89137971	+	0	NA	intron (NM_001348985, intron 1 of 16)	ERVL-E-int|LTR|ERVL	15034	NM_001348985	9429	Hs.480218	NM_004827	ENSG00000118777	ABCG2	ABC15|ABCP|BCRP|BCRP1|BMDP|CD338|CDw338|EST157481|GOUT1|MRX|MXR|MXR-1|MXR1|UAQTL1	ATP binding cassette subfamily G member 2 (Junior blood group)	protein-coding
1-3767	chr1	85085024	85085477	+	0	NA	intron (NR_125761, intron 1 of 2)	Mam_R4|LINE|Dong-R4	1464	NR_125761	103695366	Hs.576097	NR_125761		LINC01461	TCONS_00001552	long intergenic non-protein coding RNA 1461	ncRNA
1-878	chr12	56132106	56132559	+	0	NA	Intergenic	Intergenic	-4574	NM_005811	10220	Hs.600883	NM_005811	ENSG00000135414	GDF11	BMP-11|BMP11	growth differentiation factor 11	protein-coding
1-6077	chr14	94423189	94423642	+	0	NA	promoter-TSS (NM_016150)	promoter-TSS (NM_016150)	-22	NM_016150	51676	Hs.510327	NM_016150	ENSG00000100628	ASB2	ASB-2	ankyrin repeat and SOCS box containing 2	protein-coding
1-3691	chr12	131939277	131939730	+	0	NA	Intergenic	Intergenic	107488	NR_103736	338797	Hs.592007	NM_001025466		LINC02370	-	long intergenic non-protein coding RNA 2370	ncRNA
1-643	chr13	100612185	100612638	+	0	NA	Intergenic	Intergenic	-2992	NR_120421	101927437	Hs.619936	NR_120421		LOC101927437	-	uncharacterized LOC101927437	ncRNA
1-1562	chr3	196729800	196730253	+	0	NA	3' UTR (NM_005929, exon 16 of 16)	3' UTR (NM_005929, exon 16 of 16)	249	NR_038285	100507057	Hs.666451	NR_038285	ENSG00000228109	MELTF-AS1	MFI2-AS1	MELTF antisense RNA 1	ncRNA
1-3894	chr10	43555787	43556240	+	0	NA	Intergenic	Intergenic	-16462	NM_020630	5979	Hs.350321	NM_000323	ENSG00000165731	RET	CDHF12|CDHR16|HSCR1|MEN2A|MEN2B|MTC1|PTC|RET-ELE1	ret proto-oncogene	protein-coding
1-2686	chr8	82708813	82709266	+	0	NA	Intergenic	MLT1L|LTR|ERVL-MaLR	45381	NM_001348189	64089	Hs.492121	NM_022133	ENSG00000104497	SNX16	-	sorting nexin 16	protein-coding
1-2654	chr3	194971252	194971705	+	0	NA	intron (NM_152531, intron 1 of 3)	intron (NM_152531, intron 1 of 3)	-2829	NM_001308069	152002	Hs.478741	NM_152531	ENSG00000173950	XXYLT1	C3orf21	xyloside xylosyltransferase 1	protein-coding
1-445	chrX	48693931	48694384	+	0	NA	promoter-TSS (NM_013271)	promoter-TSS (NM_013271)	-145	NM_013271	27344	Hs.522640	NM_013271	ENSG00000102109	PCSK1N	BigLEN|PEN|PROSAAS|SAAS|SCG8|SgVIII	proprotein convertase subtilisin/kexin type 1 inhibitor	protein-coding
1-5285	chr5	77934218	77934671	+	0	NA	intron (NM_005779, intron 1 of 4)	MamSINE1|SINE|tRNA	10151	NM_005779	10184	Hs.79299	NM_005779	ENSG00000145685	LHFPL2	-	LHFPL tetraspan subfamily member 2	protein-coding
1-2178	chr16	85854965	85855418	+	0	NA	Intergenic	Intergenic	21890	NM_001318794	1327	Hs.433419	NM_001861	ENSG00000131143	COX4I1	COX IV-1|COX4|COX4-1|COXIV|COXIV-1	cytochrome c oxidase subunit 4I1	protein-coding
1-5416	chr12	132447880	132448333	+	0	NA	intron (NM_015409, intron 2 of 52)	intron (NM_015409, intron 2 of 52)	13619	NM_015409	57634	Hs.723478	NM_015409	ENSG00000183495	EP400	CAGH32|P400|TNRC12	E1A binding protein p400	protein-coding
1-3709	chr15	89181887	89182340	+	0	NA	promoter-TSS (NM_002201)	promoter-TSS (NM_002201)	-134	NM_001303237	3669	Hs.459265	NM_002201	ENSG00000172183	ISG20	CD25|HEM45	interferon stimulated exonuclease gene 20	protein-coding
1-3440	chr7	7463984	7464437	+	0	NA	intron (NM_001037763, intron 25 of 34)	intron (NM_001037763, intron 25 of 34)	111294	NM_001037763	340267	Hs.491104	NM_001037763	ENSG00000215018	COL28A1	COL28	collagen type XXVIII alpha 1 chain	protein-coding
1-2928	chr3	59633064	59633517	+	0	NA	intron (NR_149028, intron 1 of 3)	intron (NR_149028, intron 1 of 3)	10933	NR_149028	339902	Hs.132446	NR_149028		LOC339902	-	hCG1813818	ncRNA
1-6048	chr12	89413402	89413855	+	0	NA	promoter-TSS (NR_038385)	promoter-TSS (NR_038385)	-159	NR_038385	728084	Hs.132563	NR_038385	ENSG00000246363	LINC02458	-	long intergenic non-protein coding RNA 2458	ncRNA
1-1981	chr11	61447558	61448011	+	0	NA	promoter-TSS (NM_006133)	promoter-TSS (NM_006133)	-79	NM_006133	747	Hs.241564	NM_006133	ENSG00000134780	DAGLA	C11orf11|DAGL(ALPHA)|DAGLALPHA|NSDDR	diacylglycerol lipase alpha	protein-coding
1-4060	chr2	217192080	217192533	+	0	NA	intron (NM_020814, intron 1 of 3)	Plat_L3|LINE|CR1	44900	NM_020814	57574	Hs.170388	NM_020814	ENSG00000144583	MARCH4	MARCH-IV|RNF174	membrane associated ring-CH-type finger 4	protein-coding
1-3238	chr4	36266836	36267289	+	0	NA	intron (NR_122080, intron 2 of 2)	LTR16B2|LTR|ERVL	8922	NR_122080	439933	Hs.591071	NR_122079	ENSG00000247193	LOC439933	-	uncharacterized LOC439933	ncRNA
1-2538	chr3	185451680	185452133	+	0	NA	intron (NR_138486, intron 2 of 15)	intron (NR_138486, intron 2 of 15)	20866	NR_126326	646600	Hs.647949	NR_027317	ENSG00000163915	IGF2BP2-AS1	C3orf65	IGF2BP2 antisense RNA 1	ncRNA
