	AEBP1	ARNT2	ARX	ASCL1	ASCL2	ATOH8	CCDC17	CSRNP3	DACH1	DPF3	DZIP1	E2F7	EBF3	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	GRHL3	HES4	HEY1	HEYL	HHEX	HIC1	HLF	HMBOX1	INSM1	ISL1	KCNIP3	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NFAT5	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	PLAG1	POU2F2	POU5F1	PROX1	RFX6	SETBP1	SIM1	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF519	ZNF846	ZNF853	ZNF883
REACTOME_AQUAPORIN_MEDIATED_TRANSPORT			ADCY1 GNG2 GNG4	ADCY1 ADCY5	ADCY1 ADCY5										ADCY1 ADCY2 ADCY5 GNG2 GNG4			ADCY1 ADCY5 GNG2	ADCY1 ADCY2 ADCY5								ADCY1 ADCY2 ADCY5 GNG2				ADCY2 ADCY5 GNG2		ADCY1 ADCY2 ADCY5 GNG2 GNG4	ADCY1 GNG2 GNG4			ADCY2 ADCY5					ADCY1 ADCY2 ADCY5 GNG4	ADCY2 ADCY5	ADCY1 ADCY5 GNG4		ADCY5 GNG2 GNG4			ADCY1 ADCY2 GNG2							ADCY1 ADCY2 GNG2 GNG4	ADCY1 GNG2 GNG4			ADCY1 ADCY2 ADCY5 GNG4								
REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION																											ANK2 ST6GALNAC5 ST8SIA3 TUBB2B TUBB4A																																									
REACTOME_ASSEMBLY_AND_CELL_SURFACE_PRESENTATION_OF_NMDA_RECEPTORS			CAMK2B NEFL TUBB2B	CAMK2B GRIN2C	CAMK2B GRIN2C TUBB4A									CAMK2B GRIN2C LIN7A										LIN7A TUBB4A			LIN7A TUBB2B TUBB4A				LIN7A NEFL TUBB2B	CAMK2B LIN7A NEFL TUBB2B				CAMK2B TUBB4A				CAMK2B GRIN1				GRIN2C TUBB2B TUBB4A				LIN7A NEFL			CAMK2B GRIN1 LIN7A NEFL TUBB4A			GRIN1 GRIN2C NEFL	CAMK2B GRIN2C LIN7A NEFL		GRIN2C LIN7A TUBB2B				CAMK2B TUBB4A					CAMK2B GRIN1 GRIN2C		
REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES														COL12A1 COL14A1 COL1A2 MMP13		COL12A1 COL14A1 MMP13	COL12A1 MMP13										COL12A1 COL14A1 COL1A2		COL12A1 COL14A1		COL12A1 COL14A1 COL1A2 MMP13	COL12A1 COL14A1 COL1A2 MMP13	COL12A1 COL14A1 COL1A2 MMP13										COL12A1 MMP13					COL14A1 COL1A2																COL14A1 COL1A2				
REACTOME_A_TETRASACCHARIDE_LINKER_SEQUENCE_IS_REQUIRED_FOR_GAG_SYNTHESIS			BGN VCAN											B3GAT1 GPC2 GPC6	B3GAT1 GPC2 GPC6				GPC6 VCAN													GPC2 VCAN					GPC2 GPC6	B3GAT1 GPC6 VCAN		BGN GPC2		B3GAT1 BGN GPC6												GPC2 GPC6 VCAN		BGN GPC2 GPC6 VCAN				BGN GPC2								
REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING												FZD4 GNAO1 ITPR1 PRKCG									ITPR1 PRKCG																					FZD4 GNAO1 GNG4 ITPR1 PRKCG													FZD4 GNAO1 GNG4 ITPR1 PRKCG											FZD4 GNG4 ITPR1 PRKCG		
REACTOME_BIOSYNTHESIS_OF_THE_N_GLYCAN_PRECURSOR_DOLICHOL_LIPID_LINKED_OLIGOSACCHARIDE_LLO_AND_TRANSFER_TO_A_NASCENT_PROTEIN			ST6GALNAC5 ST8SIA3 ST8SIA5																																																																	
REACTOME_CA2_ACTIVATED_K_CHANNELS														KCNMA1 KCNMB2			KCNMB2 KCNN3		KCNMA1 KCNMB2										KCNMA1 KCNMB2		KCNMA1 KCNMB2 KCNN3		KCNMB2 KCNN3	KCNMA1 KCNMB2				KCNMA1 KCNMB2 KCNN3		KCNMA1 KCNN3			KCNMA1 KCNMB2 KCNN3		KCNMA1 KCNMB2 KCNN3	KCNMA1 KCNN3								KCNMA1 KCNMB2 KCNN3		KCNMA1 KCNMB2 KCNN3												
REACTOME_CA2_PATHWAY			FZD4 GNG2 GNG4									FZD4 GNAO1 ITPR1		FZD4 GNAO1 GNG2 GNG4	GNAO1 GNG2 GNG4 ITPR1			GNG2 ITPR1											GNAO1 ITPR1				FZD4 GNG2 GNG4 ITPR1	FZD4 GNAO1 GNG2 GNG4		FZD4 GNAO1	FZD4 GNAO1					FZD4 GNAO1 GNG4 ITPR1		GNG4 ITPR1	FZD4 GNAO1 GNG2	FZD4 GNG2 GNG4			GNG2 ITPR1						FZD4 GNAO1 GNG4 ITPR1	FZD4 GNAO1 GNG2 GNG4 ITPR1	FZD4 GNAO1 GNG2 GNG4			FZD4 GNAO1 GNG4 ITPR1			GNAO1 ITPR1			FZD4 GNG4 ITPR1		
REACTOME_CARBOXYTERMINAL_POST_TRANSLATIONAL_MODIFICATIONS_OF_TUBULIN			TTLL10 TTLL6 TUBB2B		TTLL6 TUBB4A							LRRC49 TTLL7					TTLL6 TTLL7	TTLL6 TTLL7 TUBB4A	LRRC49 TTLL6 TTLL7								TTLL10 TTLL7 TUBB2B TUBB4A		TTLL6 TTLL7		LRRC49 TTLL10 TTLL7 TUBB2B	LRRC49 TTLL10 TTLL6 TTLL7 TUBB2B	LRRC49 TTLL10 TTLL6 TTLL7	LRRC49 TTLL10 TTLL6 TTLL7		TTLL7 TUBB4A						LRRC49 TTLL10 TTLL6 TTLL7		TTLL7 TUBB2B TUBB4A	LRRC49 TTLL6 TTLL7						LRRC49 TTLL10 TTLL6 TTLL7 TUBB4A				LRRC49 TTLL10 TTLL7	LRRC49 TTLL10 TTLL6 TUBB2B	LRRC49 TTLL10 TTLL6 TTLL7 TUBB2B				LRRC49 TUBB4A					LRRC49 TTLL10 TTLL6 TTLL7		
REACTOME_CARDIAC_CONDUCTION			CACNA1C CACNA2D1 CACNA2D2 CAMK2B FGF14 FXYD1 FXYD6 KCNE4 KCNJ2 KCNK17 SLC8A1	CAMK2B FXYD1 FXYD6 KCNJ11 KCNJ2 KCNK17 SCN1B SCN3A	ATP1A3 CACNA2D2 CAMK2B FXYD1 KCNH2 KCNJ11 KCNJ2 KCNK17 SCN1B							ATP1A3 CACNA1C CACNA2D2 CACNB2 FXYD1 FXYD6 ITPR1 KCNIP3 KCNJ11	CACNA2D2 KCNH2 SCN3B	CACNA2D1 CACNA2D2 CAMK2B FGF14 FXYD1 KCNH2 KCNIP3 KCNJ2 KCNK16 KCNK17 SCN1B SCN3A SCN3B SLC8A1	ATP1A3 CACNA1C CACNA2D1 CACNA2D2 CACNB2 FGF14 FXYD6 ITPR1 KCNE4 KCNH2 KCNIP3 KCNJ2 KCNK16 KCNK17 SCN1B SCN3B SLC8A1	ATP1A3 CACNA2D2 FXYD6 KCNE4 KCNJ2 KCNK3 SCN1B	CACNA1C CACNA2D2 KCNE4		ATP1A3 CACNA1C FXYD1 ITPR1 KCNE4 KCNK3 SCN3B							FXYD6 ITPR1 KCNK17	CACNA1C FGF14 KCNK3		CACNA1C FGF14 FXYD6 ITPR1 KCNK3 SCN3A		CACNA1C CACNA2D2 FGF14 KCNE4 KCNJ2 KCNK17	ATP1A3 CACNA2D1 CAMK2B FXYD6 ITPR1 KCNE4 KCNK17 KCNK3	CACNA1C CACNA2D1 CACNA2D2 CACNG4 FXYD1 ITPR1 KCNE4 KCNJ11 KCNJ2 KCNK16 KCNK17 KCNK3 SLC8A1	ATP1A3 CACNA1C CACNA2D2 CACNG4 FXYD1 FXYD6 KCNE4 KCNH2 KCNJ11 KCNJ2 KCNK16 KCNK17 KCNK3 SCN3B SLC8A1		CAMK2B KCNE4 KCNH2 KCNIP3 KCNJ11 KCNJ2 KCNK17 KCNK3	CACNA2D1 KCNJ2 KCNK17 KCNK3 SCN3B SLC8A1	ATP1A3 CACNA1C CACNA2D1 CACNG4 CAMK2B FGF14 KCNE4 KCNH2 KCNIP3 KCNK3 SCN3A SCN3B SLC8A1		CACNA2D2 CAMK2B FXYD6 KCNH2 KCNJ11 KCNK17 KCNK3 SCN1B	CACNB2 SCN3A	ATP1A3 CACNA2D1 CACNA2D2 CAMK2B FXYD6 ITPR1 KCNIP3 KCNJ2 KCNK3 SCN1B SCN3B	CACNA1C CACNA2D1 CACNA2D2 CACNB2 ITPR1 KCNE4 SLC8A1	CACNA2D1 CACNA2D2 FGF14 ITPR1 KCNJ11 KCNK3	ATP1A3 CACNA2D1 CACNA2D2 FGF14 FXYD1 FXYD6 KCNIP3 KCNJ11 KCNJ2 SCN1B SCN3B	ATP1A3 FXYD6 KCNE4 KCNJ2 KCNK3 SLC8A1	CACNA1C FXYD6 SLC8A1	CACNA2D1 CACNA2D2 FGF14 KCNK17	CACNA2D1 CACNA2D2 ITPR1 KCNK16 KCNK17		ATP1A3 CACNB2 CACNG4 CAMK2B FGF14 FXYD6 KCNH2 KCNJ11 KCNK16 SLC8A1			ATP1A3 CACNA2D1 CACNA2D2 CACNG4 FXYD6 ITPR1 KCNE4 KCNK16 KCNK17 SLC8A1	ATP1A3 CACNA1C CACNA2D2 CAMK2B FXYD6 ITPR1 KCNE4 KCNIP3 KCNJ11 KCNJ2 KCNK16 KCNK3 SCN1B SCN3B	ATP1A3 CACNA1C CACNA2D1 CACNA2D2 FGF14 FXYD6 ITPR1 KCNE4 KCNH2 KCNIP3 KCNK3 SCN1B SLC8A1	CACNA1C CACNA2D2 FGF14 FXYD1 FXYD6 KCNE4 KCNIP3 KCNJ2 KCNK17 SCN3A SCN3B SLC8A1		ATP1A3 CACNA2D1	ATP1A3 CACNA1C CACNA2D1 CACNA2D2 CACNG4 FXYD1 FXYD6 ITPR1 KCNH2 KCNIP3 KCNJ2 KCNK3 SCN3B	ATP1A3 CAMK2B KCNE4	KCNH2 SCN1B	ATP1A3 CACNB2 ITPR1	ATP1A3 CACNA1C CACNB2 SLC8A1	ATP1A3 CACNA2D2 KCNJ11 KCNJ2 KCNK3 SCN1B	CAMK2B FGF14 FXYD1 ITPR1 KCNH2 KCNIP3 KCNJ11 KCNJ2 SCN1B SCN3B		CACNA1C CACNA2D2 KCNH2
REACTOME_CARGO_TRAFFICKING_TO_THE_PERICILIARY_MEMBRANE													CNGA4 SSTR3																																																							
REACTOME_CA_DEPENDENT_EVENTS			ADCY1 CAMK2B PRKCG	ADCY1 ADCY5 CAMK2B	ADCY1 ADCY5 CAMK2B										ADCY1 ADCY2 ADCY5 PRKCG	ADCY1 ADCY5		ADCY1 ADCY5	ADCY1 ADCY2 ADCY5						ADCY1 PRKCG		ADCY1 ADCY2 ADCY5					ADCY1 ADCY2 CAMK2B	ADCY1 ADCY2 ADCY5			ADCY2 CAMK2B	ADCY2 ADCY5	ADCY5 CAMK2B				ADCY1 ADCY2 ADCY5 CAMK2B PRKCG	ADCY2 ADCY5	ADCY1 ADCY5					ADCY1 ADCY2		CAMK2B PRKCG			ADCY1 ADCY5 PRKCG	ADCY5 CAMK2B PRKCG					ADCY1 ADCY2 ADCY5 PRKCG						ADCY5 CAMK2B PRKCG		
REACTOME_CD28_CO_STIMULATION			AKT3 PAK3																												AKT3 PAK3							AKT3 PAK3																														
REACTOME_CELLULAR_RESPONSES_TO_EXTERNAL_STIMULI																				CCNA1 TUBB4A																																																
REACTOME_CELLULAR_RESPONSE_TO_HEAT_STRESS																																										CAMK2B HSPA12A HSPA6 NUP210																								CAMK2B HSPA6 NUP210		
REACTOME_CELL_CELL_COMMUNICATION				CADM2 CADM3 SDK1 SIRPA	CADM3 SDK2 SIRPA								CADM2 CADM3			KIRREL3 SDK1 SDK2 SIRPA			CADM2 KIRREL3 SDK2 SIRPA														CADM2 CADM3 KIRREL3 SDK1 SIRPA					CADM2 CADM3 SDK1 SDK2 SIRPA	CADM2 SDK1				CADM2 KIRREL3 SDK1												CADM2 KIRREL3 SDK1 SDK2 SIRPA						CADM2 CADM3 SDK1							
REACTOME_CELL_CELL_JUNCTION_ORGANIZATION				CADM2 CADM3 SDK1									CADM2 CADM3													CADM2 SDK2												CADM2 CADM3 SDK1 SDK2	CADM2 SDK1			CADM2 SDK1 SDK2													CADM2 SDK1 SDK2						CADM2 CADM3 SDK1							
REACTOME_CELL_CYCLE																				CCNA1 TUBB4A																																																
REACTOME_CELL_CYCLE_MITOTIC																				CCNA1 TUBB4A																																																
REACTOME_CELL_JUNCTION_ORGANIZATION				CADM2 CADM3 SDK1									CADM2 CADM3													CADM2 SDK2												CADM2 CADM3 SDK1 SDK2	CADM2 SDK1																						CADM2 CADM3 SDK1							
REACTOME_CGMP_EFFECTS												ITPR1 PDE2A		KCNMA1 KCNMB2 PDE2A	ITPR1 PDE2A				ITPR1 KCNMA1 KCNMB2 PDE2A										ITPR1 KCNMA1 KCNMB2		KCNMA1 KCNMB2	ITPR1 KCNMA1	ITPR1 KCNMB2 PDE2A	KCNMA1 KCNMB2 PDE2A		KCNMA1 PDE2A		KCNMA1 KCNMB2				ITPR1 PDE2A	ITPR1 KCNMA1 KCNMB2		KCNMA1 KCNMB2	KCNMA1 PDE2A								ITPR1 KCNMA1 KCNMB2 PDE2A	ITPR1 KCNMB2	ITPR1 KCNMA1 KCNMB2				ITPR1 KCNMB2						ITPR1 PDE2A		
REACTOME_CHONDROITIN_SULFATE_BIOSYNTHESIS			BGN VCAN																												CHST9 VCAN																						BGN CHST9	CHST9 VCAN		BGN VCAN												
REACTOME_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM													CHST9 GPC2	B3GAT1 GPC2 GPC6	B3GAT1 GPC2 GPC6																						GPC2 GPC6	B3GAT1 GPC6 VCAN		BGN GPC2		B3GAT1 BGN GPC6											BGN CHST9	CHST9 GPC2 GPC6 VCAN		BGN GPC2 GPC6 VCAN							CHST9 GPC2					
REACTOME_CILIUM_ASSEMBLY													CNGA4 SSTR3 TUBB4A																																																							
REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS_	FFAR1 NTS TAC1						CXCL12 CYSLTR2 FFAR1 FFAR3 NTS TAC1	CYSLTR2 SUCNR1		ADORA2A CYSLTR2			ADORA2A AGT GHRL NTS SSTR3		AGT AVPR1B BRS3 CHRM4 CYSLTR2 FFAR2 GHRL MLN SST SSTR1 SSTR3				ADORA2A AGT FFAR1 FFAR2 FFAR3 GHRL NTS SSTR1 TAC1 TAC3		ADORA2A AGT BRS3 MLN					CXCL12 CYSLTR2 FFAR1 NTS TAC1	ADORA2A FFAR2 GPBAR1 SSTR1 TAC3		AGT AVPR1B GPBAR1 NPY SSTR1 SSTR2	CXCL12 NTS TAC1	AGT CHRM4 CYSLTR2 FFAR1 FFAR2 FFAR3 GPBAR1 MLN NTS PYY SSTR1 TAC1			ADORA2A AGT AVPR1B BRS3 CHRM4 CYSLTR2 FFAR3 GPBAR1 NPY NTS PYY SST TAC3	FFAR3 NPY SUCNR1							AGT AVPR1B CHRM4 CXCL12 GPBAR1 MLN NPY PYY SST TAC3			AVPR1B BRS3 CHRM4 CXCL12 GPBAR1 MLN NPY PYY SSTR3	ADORA2A BRS3 CHRM4 FFAR1 FFAR3 NPY SST							CYSLTR2 FFAR1 FFAR3 NTS SST SUCNR1 TAC1	CHRM4 CYSLTR2 FFAR1 FFAR3 GPBAR1 NTS PYY SUCNR1 TAC1		AGT BRS3 CHRM4 FFAR1 FFAR2 FFAR3 GPBAR1 NTS PYY SSTR2 SSTR3 TAC1 TAC3				ADORA2A AGT AVPR1B CHRM4 CXCL12 GHRL MLN PYY SSTR1 SSTR3 TAC3		AVPR1B NTS TAC1				AGT BRS3 CHRM4 GPBAR1 MLN PYY TAC3		
REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS_			FZD4 GNG2 GNG4 SCT UCN3		CRH FZD4 SCT							CRH FZD4 SCT		FZD4 GIP GNG2 GNG4 SCT UCN3	CRH CYSLTR2 GIP GNG2 GNG4 SCT UCN3	CRH FZD4 SCT UCN3															CYSLTR2 GIP GNG2 UCN3		CRH FZD4 GIP GNG2 GNG4 SCT	CRH CYSLTR2 FZD4 GNG2 GNG4 SCT			CRH FZD4			CRH FZD4 SCT		CRH FZD4 GIP GNG4 SCT		GIP GNG4 UCN3	CRH FZD4 GIP GNG2 SCT	FZD4 GNG2 GNG4									FZD4 GNG4 SCT UCN3	FZD4 GIP GNG2 GNG4 UCN3	CRH FZD4 GNG2 GNG4 SCT UCN3			CRH FZD4 GIP GNG4 SCT		CRH FZD4 SCT				CRH FZD4 GNG4 UCN3		
REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES																			ADAMTS2 COL12A1 COL1A2 COL22A1								COL12A1 COL14A1 COL1A2		COL12A1 COL14A1		COL12A1 COL14A1 COL1A2	COL12A1 COL14A1 COL1A2 COL22A1								COL12A1 COL22A1				COL1A2 COL22A1				COL14A1 COL1A2						ADAMTS2 COL12A1 COL22A1				ADAMTS2 COL22A1						COL14A1 COL1A2				
REACTOME_COLLAGEN_CHAIN_TRIMERIZATION				COL12A1 COL22A1										COL12A1 COL14A1 COL1A2	COL14A1 COL1A2 COL22A1				COL12A1 COL1A2 COL22A1								COL12A1 COL14A1 COL1A2		COL12A1 COL14A1		COL12A1 COL14A1 COL1A2	COL12A1 COL14A1 COL1A2 COL22A1	COL12A1 COL14A1 COL1A2							COL12A1 COL22A1				COL1A2 COL22A1		COL12A1 COL22A1		COL14A1 COL1A2								COL14A1 COL1A2 COL22A1				COL12A1 COL14A1 COL22A1				COL14A1 COL1A2		COL12A1 COL22A1		
REACTOME_COLLAGEN_DEGRADATION			COL1A2 MMP13 MMP2											COL12A1 COL14A1 COL1A2 MMP13		COL12A1 COL14A1 MMP13 MMP2	COL12A1 MMP13										COL12A1 COL14A1 COL1A2		COL12A1 COL14A1 MMP2		COL12A1 COL14A1 COL1A2 MMP13	COL12A1 COL14A1 COL1A2 MMP13 MMP2	COL12A1 COL14A1 COL1A2 MMP13										COL12A1 MMP13 MMP2					COL14A1 COL1A2												COL12A1 COL14A1 MMP2				COL14A1 COL1A2				
REACTOME_COLLAGEN_FORMATION														COL12A1 COL14A1 COL1A2 MMP13	COL14A1 COL1A2 COL22A1 MMP13				ADAMTS2 COL12A1 COL1A2 COL22A1								COL12A1 COL14A1 COL1A2				COL12A1 COL14A1 COL1A2 MMP13	COL12A1 COL14A1 COL1A2 COL22A1 MMP13	COL12A1 COL14A1 COL1A2 MMP13							COL12A1 COL22A1								COL14A1 COL1A2										ADAMTS2 COL22A1						COL14A1 COL1A2				
REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER																FGF17 KL KLB																					KIT KLB																															
REACTOME_COOPERATION_OF_PDCL_PHLP1_AND_TRIC_CCT_IN_G_PROTEIN_BETA_FOLDING			GNG2 GNG4 RGS11 RGS9									GNAO1 RGS11 RGS9		GNAO1 GNG2 GNG4	GNAO1 GNG2 GNG4 RGS11 RGS9																			GNAO1 GNG2 GNG4				GNAO1 GNG4 RGS9				GNAO1 GNG4 RGS11 RGS9			GNAO1 GNG2 RGS9	GNG2 GNG4					GNG2 GNG4 RGS9			GNAO1 RGS11 RGS9	GNAO1 GNG4 RGS9	GNAO1 GNG2 GNG4 RGS9	GNAO1 GNG2 GNG4			GNAO1 GNG4 RGS9				GNG2 RGS9		GNG4 RGS11 RGS9		
REACTOME_COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING																											TUBB2B TUBB4A																	TUBB2B TUBB4A																								
REACTOME_COPI_DEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC																											KIF5A TUBB2B TUBB4A									KIF19 KIF5A TUBB4A			KIF5A TUBB2B		KIF1A TUBB2B			KIF1A TUBB2B TUBB4A																				KIF5A TUBB2B				
REACTOME_COPI_INDEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC																											TUBB2B TUBB4A																	TUBB2B TUBB4A																								
REACTOME_COPI_MEDIATED_ANTEROGRADE_TRANSPORT					ANK2 SPTBN4 TUBB4A								SPTBN4 TUBB4A														ANK2 TUBB2B TUBB4A																																									
REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY			AKT3 HLA-DQA2 PAK3																											HLA-DQA2 PAK3					HLA-DQA2 PAK3																		HLA-DQA2 PAK3															
REACTOME_CREB1_PHOSPHORYLATION_THROUGH_NMDA_RECEPTOR_MEDIATED_ACTIVATION_OF_RAS_SIGNALING			CAMK2B NEFL																													CAMK2B NEFL								CAMK2B GRIN1		CAMK2B GRIN1									CAMK2B GRIN1 NEFL			GRIN1 NEFL	CAMK2B NEFL											CAMK2B GRIN1		
REACTOME_CRMPS_IN_SEMA3A_SIGNALING				CDK5R1 DPYSL4	CDK5R1 DPYSL4							CDK5R1 DPYSL4		CDK5R1 CRMP1 DPYSL4	CDK5R1 CRMP1																																									CDK5R1 DPYSL4												
REACTOME_CS_DS_DEGRADATION			BGN VCAN																																																					BGN VCAN												
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM											NEFL NUP210																																									CSH1 GFRA1 NEFL																
REACTOME_DAG_AND_IP3_SIGNALING		ITPR1 PRKCG	ADCY1 CAMK2B PRKCG	ADCY1 ADCY5 CAMK2B	ADCY1 ADCY5 CAMK2B							ITPR1 PRKCG			ADCY1 ADCY2 ADCY5 ITPR1 PRKCG			ADCY1 ADCY5 ITPR1	ADCY1 ADCY2 ADCY5 ITPR1		ITPR1 PRKCG				ADCY1 PRKCG		ADCY1 ADCY2 ADCY5					ADCY1 ADCY2 CAMK2B ITPR1	ADCY1 ADCY2 ADCY5 ITPR1			ADCY2 CAMK2B	ADCY2 ADCY5					ADCY1 ADCY2 ADCY5 CAMK2B ITPR1 PRKCG	ADCY2 ADCY5 ITPR1	ADCY1 ADCY5 ITPR1					ADCY1 ADCY2 ITPR1					ADCY1 ADCY5 ITPR1 PRKCG	ADCY5 CAMK2B ITPR1 PRKCG	ADCY1 ADCY2 ITPR1				ADCY1 ADCY2 ADCY5 ITPR1 PRKCG						ADCY5 CAMK2B ITPR1 PRKCG		
REACTOME_DEFECTIVE_B4GALT7_CAUSES_EDS_PROGEROID_TYPE			BGN VCAN											GPC2 GPC6	GPC2 GPC6				GPC6 VCAN													GPC2 VCAN					GPC2 GPC6	GPC6 VCAN		BGN GPC2		BGN GPC6												GPC2 GPC6 VCAN		BGN GPC2 GPC6 VCAN				BGN GPC2								
REACTOME_DEFECTIVE_CHST14_CAUSES_EDS_MUSCULOCONTRACTURAL_TYPE			BGN VCAN																																																					BGN VCAN												
REACTOME_DEFECTIVE_CHST3_CAUSES_SEDCJD			BGN VCAN																																																					BGN VCAN												
REACTOME_DEFECTIVE_CHSY1_CAUSES_TPBS			BGN VCAN																																																					BGN VCAN												
REACTOME_DEFECTIVE_EXT2_CAUSES_EXOSTOSES_2														GPC2 GPC6	GPC2 GPC6																						GPC2 GPC6																	GPC2 GPC6		GPC2 GPC6												
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX			COL1A2 MMP13 MMP2 SCUBE1 SCUBE3 SPOCK3 SPP1											COL12A1 COL14A1 COL1A2 MMP13 SCUBE1 SCUBE3 SPOCK3 SPP1	COL14A1 COL1A2 MMP13 SCUBE3 SPOCK3 SPP1	COL12A1 COL14A1 MMP13 MMP2 SCUBE1 SPOCK3									FBN1 SCUBE3	COL14A1 FBN1 SPOCK3	COL12A1 COL14A1 COL1A2 SPOCK3		COL12A1 COL14A1 MMP2 SPOCK3		COL12A1 COL14A1 COL1A2 FBN1 MMP13 SCUBE1 SCUBE3 SPOCK3	COL12A1 COL14A1 COL1A2 MMP13 MMP2 SCUBE1 SCUBE3 SPOCK3	COL12A1 COL14A1 COL1A2 FBN1 MMP13 SCUBE1 SCUBE3 SPOCK3	COL1A2 MMP13 MMP2 SCUBE1 SCUBE3 SPOCK3								MMP13 MMP2 SCUBE1 SPOCK3 SPP1	COL12A1 FBN1 MMP13 MMP2 SPOCK3		COL12A1 MMP2 SCUBE1 SPOCK3 SPP1	COL12A1 MMP2 SCUBE1 SCUBE3		COL14A1 COL1A2 SCUBE1 SPOCK3						COL12A1 MMP2 SCUBE1 SCUBE3 SPOCK3 SPP1		COL14A1 COL1A2 MMP13 SCUBE1 SPOCK3 SPP1				COL12A1 COL14A1 MMP2 SCUBE1 SCUBE3 SPOCK3		MMP13 SPP1		COL14A1 COL1A2 SPOCK3				
REACTOME_DERMATAN_SULFATE_BIOSYNTHESIS			BGN VCAN																																																					BGN VCAN												
