	ARX	ASCL1	E2F7	ETV1	FEV	FOXP2	HIC1	NEUROD2	ONECUT1	PAX4	PBX3	SOX4	TFCP2L1	ZNF519	ZNF846
GO_ION_TRANSMEMBRANE_TRANSPORT	ANXA6 ATP6V0E2 DLG2 KCNB2 KCNJ2 KCNK17 NALCN NEFL RGS4 S100A1 SLC30A8 SLC7A4 SLC8A1 SNAP25 TRPM2 UNC79	ABCC4 ANXA6 ASIC1 ATP13A4 CACNA1G FXYD6 GABRP KCNAB2 KCNF1 KCNMB2 SCN1B SLC25A27 SLC7A2	ARC ATP13A4 ATP6V1B1 CACNA1C CACNG6 CNGA3 CNIH2 DLG2 FXYD1 FXYD6 HSPA2 JPH4 KCNG1 KCNH8 KCNIP3 KCNJ11 KCNN3 SLC12A5 SNAP25 UNC79 WNK3	AHNAK ATP6V1B1 ATP6V1G2 CACNG6 FAM155B FGF14 GRIN2C HCN4 KCNG1 KCNH7 KCNIP3 KCNJ3 SCN2A SLC30A4 TRPC6 TRPC7 WNK2	AGT ANK2 ASIC4 ATP6V1G2 CACNA1C CACNA1E CACNA2D2 CACNB2 CACNB4 CCL19 CHRNA5 CLCA4 CLCNKA CNGA3 CNGA4 CRH FXYD6 GABRE HAP1 HECW2 JPH4 KCNB2 KCNC1 KCNF1 KCNH8 KCNJ2 KCNJ3 KCNK17 KCNMB3 KCNT2 NALCN RGS4 SCN1B SCN3B SLC16A12 SLC25A27 SLC26A7 SLC30A8 SLC6A17 SLC7A14 SLC8A1 TRPC6 TRPM3 UNC79 UNC80 WNK3	CHRNA3 CHRNA5 CHRNB2 CLCA4 HECW2 HSPA2 KCNC1 KCNE4 KCNMB3 S100A1 UNC80		CACNG6 KCNJ2 KCNK17 NCS1 SCN2A SCN3B TRPC7		CACNA1E CACNA1G CACNA1H CACNA2D2 HCN4 HSPA2 ITPR1 KCNH6 KCNK3 MCOLN3 SLC16A12 SLC6A16	ATP13A4 CACNA1G DLG2 GABRP GRIK5 HSPA2 KCNAB2 KCNE4 SLC30A4 SNAP25	ABCC8 AGT ANK2 ANXA6 ASIC1 ASIC4 ATP1A3 ATP6V0E2 ATP6V1G2 CACNA1A CACNA1C CACNB4 CACNG7 CCL19 CHRNA5 CLCA4 CNIH2 DLG2 DPP10 DRD2 FGF14 GABRA1 GABRE GABRP GRIK5 HAP1 HCN4 KCNB2 KCNH3 KCNH6 KCNIP3 KCNJ3 KCNMA1 KCNMB2 KCNMB3 KCNN3 MCOLN3 NALCN RGS4 S100A1 SCN1B SLC12A5 SLC16A12 SLC7A14 SNAP25 TRPM3 UCP2 UNC80	AGT ARC ASIC4 ATP8B2 CACNA1C CACNA1G CACNB4 CNGA3 DLG2 FXYD1 GABRA1 GAL GSTM2 JPH4 KCNF1 KCNH2 KCNJ6 KCNK3 P2RX6 PLCG2 SLC7A14 SLC7A4 TRPC7	ANXA6 ATP1A3 ATP8B2 CRH GAL GRIK5 KCNG1 NCS1	AGT ANXA6 ATP6V0E2 ATP6V1B1 CNIH2 FAM155B FGF14 GRIN1 GSTM2 HCN4 ITPR1 KCNF1 KCNH2 KCNJ11 P2RX6 S100A1 SCN1B SCN3B
GO_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	ANXA6 ATP6V0E2 KCNB2 KCNJ2 KCNK17 NALCN SLC18A1 SLC30A8 SLC7A4 SLC8A1 SNAP25 TRPM2	ABCC4 ANXA6 ASIC1 CACNA1G GABRP KCNAB2 KCNF1 KCNMB2 SCN1B SLC7A2	ATP6V1B1 CACNA1C CACNG6 CNGA3 FXYD1 KCNG1 KCNH8 KCNIP3 KCNJ11 KCNN3 SLC12A5 SNAP25	ATP6V1B1 ATP6V1G2 CACNG6 FAM155B GRIN2C HCN4 KCNG1 KCNH7 KCNIP3 KCNJ3 SCN2A SLC18A1 SLC30A4 TRPC6 TRPC7	ASIC4 ATP6V1G2 CACNA1C CACNA1E CACNA2D2 CACNB2 CACNB4 CHRNA5 CLCA4 CLCNKA CNGA3 CNGA4 CNR1 GABRE KCNB2 KCNC1 KCNF1 KCNH8 KCNJ2 KCNJ3 KCNK17 KCNMB3 KCNT2 NALCN SCN1B SCN3B SLC16A12 SLC26A7 SLC30A8 SLC7A14 SLC8A1 TRPC6 TRPM3 UNC80	CHRNA3 CHRNA5 CHRNB2 CLCA4 KCNC1 KCNE4 KCNMB3 SLC18A1 UNC80		CACNG6 KCNJ2 KCNK17 NCS1 SCN2A SCN3B SLC18A1 SLC22A13 TRPC7		CACNA1E CACNA1G CACNA1H CACNA2D2 HCN4 ITPR1 KCNH6 KCNK3 MCOLN3 SLC16A12		ABCC8 ANXA6 ASIC1 ASIC4 ATP1A3 ATP6V0E2 ATP6V1G2 CACNA1A CACNA1C CACNB4 CACNG7 CHRNA5 CLCA4 GABRA1 GABRE GABRP GRIK5 HCN4 KCNB2 KCNH3 KCNH6 KCNIP3 KCNJ3 KCNMA1 KCNMB2 KCNMB3 KCNN3 MCOLN3 NALCN SCN1B SLC12A5 SLC16A12 SLC18A1 SLC7A14 SNAP25 TRPM3 UNC80	ASIC4 CACNA1C CACNA1G CACNB4 CNGA3 FXYD1 GABRA1 KCNF1 KCNH2 KCNJ6 KCNK3 P2RX6 SLC7A14 SLC7A4 TRPC7	ANXA6 ATP1A3 CNR1 GRIK5 KCNG1 NCS1	ANXA6 ATP6V0E2 ATP6V1B1 FAM155B GRIN1 HCN4 ITPR1 KCNF1 KCNH2 KCNJ11 P2RX6 SCN1B SCN3B
GO_ION_TRANSPORT	ANXA6 ATP6V0E2 CAMK2B DLG2 KCNB2 KCNJ2 KCNK17 NALCN NEFL RGS4 S100A1 SLC18A1 SLC30A8 SLC7A4 SLC8A1 SNAP25 STX1A SYT2 TRPM2 UNC79	ABCC4 ACE ANXA6 ASIC1 ATP13A4 CACNA1G FXYD6 GABRP KCNAB2 KCNF1 KCNMB2 NTRK2 SCN1B SLC25A27 SLC7A2	ARC ATP13A4 ATP6V1B1 CACNA1C CACNG6 CNGA3 CNIH2 DLG2 FXYD1 FXYD6 HSPA2 JPH4 KCNG1 KCNH8 KCNIP3 KCNJ11 KCNN3 SLC12A5 SLC22A17 SNAP25 UNC79 WNK3	AHNAK ATP6V1B1 ATP6V1G2 CACNG6 FAM155B FGF14 GRIN2C HCN4 KCNG1 KCNH7 KCNIP3 KCNJ3 SCN2A SLC18A1 SLC30A4 TRPC6 TRPC7 WNK2	AGT ANK2 APOC3 ASIC4 ATP6V1G2 AVPR1B CACNA1C CACNA1E CACNA2D2 CACNB2 CACNB4 CCL19 CHRNA5 CLCA4 CLCNKA CNGA3 CNGA4 CNR1 CRH FXYD6 GABRE HAP1 HECW2 JPH4 KCNB2 KCNC1 KCNF1 KCNH8 KCNJ2 KCNJ3 KCNK17 KCNMB3 KCNT2 NALCN RGS4 SCN1B SCN3B SLC16A12 SLC25A27 SLC26A7 SLC30A8 SLC6A17 SLC7A14 SLC8A1 SV2A SYT2 TRPC6 TRPM3 UNC79 UNC80 WNK3 XKR7	BCL2 CHRNA3 CHRNA5 CHRNB2 CLCA4 HECW2 HSPA2 KCNC1 KCNE4 KCNMB3 S100A1 SLC18A1 STX1A UNC80	ABCC9 ARC MCOLN3 SHISA9 SLC38A3 STX1A STXBP1 SYT5	APOA1 CACNG6 KCNJ2 KCNK17 NCS1 SCN2A SCN3B SLC18A1 SLC22A13 TRPC7		BCL2 CACNA1E CACNA1G CACNA1H CACNA2D2 HCN4 HSPA2 ITPR1 KCNH6 KCNK3 LTF MCOLN3 SLC16A12 SLC6A16	ADORA2A ATP13A4 CACNA1G DLG2 GABRP GRIK5 HSPA2 KCNAB2 KCNE4 NTRK2 SLC30A4 SNAP25 SPTBN4	ABCC8 AGT ANK2 ANXA6 ASIC1 ASIC4 ATP1A3 ATP6V0E2 ATP6V1G2 CACNA1A CACNA1C CACNB4 CACNG7 CCL19 CES1 CHRNA5 CLCA4 CNIH2 DLG2 DPP10 DRD2 FABP5 FFAR1 FGF14 GABRA1 GABRE GABRP GRIK5 HAP1 HCN4 KCNB2 KCNH3 KCNH6 KCNIP3 KCNJ3 KCNMA1 KCNMB2 KCNMB3 KCNN3 MCOLN3 NALCN PLTP RGS4 S100A1 SCN1B SLC12A5 SLC16A12 SLC18A1 SLC7A14 SNAP25 SPTBN4 STX1A SV2A TRPM3 UCP2 UNC80	ADORA2A AGT ARC ASIC4 ATP8B2 AVPR1B CACNA1C CACNA1G CACNB4 CNGA3 CXCL12 DLG2 FXYD1 GABRA1 GAL GSTM2 JPH4 KCNF1 KCNH2 KCNJ6 KCNK3 NKAIN1 NTRK2 P2RX6 PLCG2 SLC7A14 SLC7A4 SYT2 TRPC7	ANXA6 ATP1A3 ATP8B2 CNR1 CRH GAL GRIK5 KCNG1 NCS1 SPTBN4 STXBP1	AGT ANXA6 ATP6V0E2 ATP6V1B1 CAMK2B CNIH2 FAM155B FGF14 GRIN1 GSTM2 HCN4 ITPR1 KCNF1 KCNH2 KCNJ11 P2RX6 PLTP S100A1 SCN1B SCN3B
GO_LOCOMOTORY_BEHAVIOR	C1QL1 FZD4 PAK6 SEZ6 SNAP25					ADCY5 CHRNA3 CHRNB2 GIP SEZ6L TMOD1	MCOLN3 PBX3		DRD2 PBX3 SLITRK6 TMOD1		ADORA2A SNAP25 SPTBN4	CEND1 CHL1 DRD2 EFNB3 FZD4 GIP GNAO1 LMX1A MCOLN3 PAK6 PBX3 SEZ6 SEZ6L SLITRK6 SNAP25 SPTBN4 TMOD1 UCHL1	ADORA2A C1QL1 CEND1 CXCL12 SEZ6 TMOD1 UCHL1	C1QL1 CRH NEGR1 SPTBN4	EFNB3 GRIN1 SEZ6 TMOD1
GO_MEMBRANE_DEPOLARIZATION	IFI6 KCNJ2 SLC8A1	CACNA1G SCN1B		HCN4 IFI6 SCN2A	ANK2 CACNA1C CACNA1E CACNB2 CACNB4 KCNJ2 MLLT11 SCN1B SCN3B SLC8A1	BCL2 CHRNB2		KCNJ2 SCN2A SCN3B		BCL2 CACNA1E CACNA1G CACNA1H HCN4	ADORA2A CACNA1G IFI6 MLLT11	ANK2 CACNA1A CACNA1C CACNB4 HCN4 MLLT11 SCN1B	ADORA2A CACNA1C CACNA1G CACNB4 KCNH2 MLLT11		HCN4 KCNH2 SCN1B SCN3B
GO_MEMBRANE_DEPOLARIZATION_DURING_ACTION_POTENTIAL	KCNJ2 SLC8A1	CACNA1G SCN1B		HCN4 SCN2A	ANK2 CACNA1C CACNB2 KCNJ2 SCN1B SCN3B SLC8A1			KCNJ2 SCN2A SCN3B		CACNA1G CACNA1H HCN4		ANK2 CACNA1C HCN4 SCN1B	CACNA1C CACNA1G KCNH2		HCN4 KCNH2 SCN1B SCN3B
GO_MEMBRANE_DEPOLARIZATION_DURING_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	KCNJ2 SLC8A1	CACNA1G SCN1B			ANK2 CACNA1C CACNB2 KCNJ2 SCN1B SCN3B SLC8A1			KCNJ2 SCN3B		CACNA1G HCN4		ANK2 CACNA1C HCN4 SCN1B	CACNA1C CACNA1G		HCN4 SCN1B SCN3B
GO_METAL_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	ANXA6 KCNB2 KCNJ2 KCNK17 NALCN SLC18A1 SLC30A8 SLC8A1 SNAP25 TRPM2	ANXA6 ASIC1 CACNA1G KCNAB2 KCNF1 KCNMB2 SCN1B	CACNA1C CACNG6 KCNG1 KCNH8 KCNIP3 KCNJ11 KCNN3 SLC12A5 SNAP25	CACNG6 FAM155B GRIN2C HCN4 KCNG1 KCNH7 KCNIP3 KCNJ3 SCN2A SLC18A1 SLC30A4 TRPC6 TRPC7	ASIC4 CACNA1C CACNA1E CACNA2D2 CACNB2 CACNB4 CNR1 KCNB2 KCNC1 KCNF1 KCNH8 KCNJ2 KCNJ3 KCNK17 KCNMB3 KCNT2 NALCN SCN1B SCN3B SLC30A8 SLC8A1 TRPC6 TRPM3	KCNC1 KCNE4 KCNMB3 SLC18A1		CACNG6 KCNJ2 KCNK17 NCS1 SCN2A SCN3B SLC18A1 TRPC7		CACNA1E CACNA1G CACNA1H CACNA2D2 HCN4 ITPR1 KCNH6 KCNK3 MCOLN3	CACNA1G GRIK5 KCNAB2 KCNE4 SLC30A4 SNAP25	ABCC8 ANXA6 ASIC1 ASIC4 ATP1A3 CACNA1A CACNA1C CACNB4 CACNG7 GRIK5 HCN4 KCNB2 KCNH3 KCNH6 KCNIP3 KCNJ3 KCNMA1 KCNMB2 KCNMB3 KCNN3 MCOLN3 NALCN SCN1B SLC12A5 SLC18A1 SNAP25 TRPM3	ASIC4 CACNA1C CACNA1G CACNB4 KCNF1 KCNH2 KCNJ6 KCNK3 TRPC7	ANXA6 ATP1A3 CNR1 GRIK5 KCNG1 NCS1	ANXA6 FAM155B GRIN1 HCN4 ITPR1 KCNF1 KCNH2 KCNJ11 SCN1B SCN3B
GO_METAL_ION_TRANSPORT	ANXA6 ATP6V0E2 CAMK2B KCNB2 KCNJ2 KCNK17 NALCN RGS4 S100A1 SLC30A8 SLC8A1 SNAP25 TRPM2	ANXA6 ASIC1 CACNA1G FXYD6 KCNAB2 KCNF1 KCNMB2 SCN1B	ATP6V1B1 CACNA1C CACNG6 FXYD1 FXYD6 HSPA2 JPH4 KCNG1 KCNH8 KCNIP3 KCNJ11 KCNN3 SLC12A5 SLC22A17 SNAP25 WNK3	AHNAK ATP6V1B1 ATP6V1G2 CACNG6 FAM155B FGF14 GRIN2C HCN4 KCNG1 KCNH7 KCNIP3 KCNJ3 SCN2A SLC30A4 TRPC6 TRPC7 WNK2	AGT ANK2 ASIC4 ATP6V1G2 CACNA1C CACNA1E CACNA2D2 CACNB2 CACNB4 CCL19 CRH FXYD6 HAP1 HECW2 JPH4 KCNB2 KCNC1 KCNF1 KCNH8 KCNJ2 KCNJ3 KCNK17 KCNMB3 KCNT2 NALCN RGS4 SCN1B SCN3B SLC30A8 SLC6A17 SLC8A1 TRPC6 TRPM3 WNK3	BCL2 CHRNB2 HECW2 HSPA2 KCNC1 KCNE4 KCNMB3 S100A1		CACNG6 KCNJ2 KCNK17 NCS1 SCN2A SCN3B TRPC7		BCL2 CACNA1E CACNA1G CACNA1H CACNA2D2 HCN4 HSPA2 ITPR1 KCNH6 KCNK3 LTF MCOLN3 SLC6A16	ADORA2A CACNA1G HSPA2 KCNAB2 KCNE4 SLC30A4 SNAP25 SPTBN4	ABCC8 AGT ANK2 ANXA6 ASIC1 ASIC4 ATP1A3 ATP6V0E2 ATP6V1G2 CACNA1A CACNA1C CACNB4 CACNG7 CCL19 DPP10 DRD2 FFAR1 FGF14 HAP1 HCN4 KCNB2 KCNH3 KCNH6 KCNIP3 KCNJ3 KCNMA1 KCNMB2 KCNMB3 KCNN3 MCOLN3 NALCN RGS4 S100A1 SCN1B SLC12A5 SNAP25 SPTBN4 TRPM3	ADORA2A AGT ASIC4 CACNA1C CACNA1G CACNB4 CXCL12 FXYD1 GAL GSTM2 JPH4 KCNF1 KCNH2 KCNJ6 KCNK3 NKAIN1 PLCG2 TRPC7	ANXA6 ATP1A3 CRH GAL KCNG1 NCS1 SPTBN4	AGT ANXA6 ATP6V0E2 ATP6V1B1 CAMK2B FAM155B FGF14 GRIN1 GSTM2 HCN4 ITPR1 KCNF1 KCNH2 KCNJ11 S100A1 SCN1B SCN3B
GO_MONOVALENT_INORGANIC_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	ATP6V0E2 KCNB2 KCNJ2 KCNK17 NALCN SLC18A1 SLC8A1 SNAP25 TRPM2	ASIC1 CACNA1G KCNAB2 KCNF1 KCNMB2 SCN1B	ATP6V1B1 KCNG1 KCNH8 KCNIP3 KCNJ11 KCNN3 SLC12A5 SNAP25	ATP6V1B1 ATP6V1G2 HCN4 KCNG1 KCNH7 KCNIP3 KCNJ3 SCN2A SLC18A1	ASIC4 ATP6V1G2 KCNB2 KCNC1 KCNF1 KCNH8 KCNJ2 KCNJ3 KCNK17 KCNMB3 KCNT2 NALCN SCN1B SCN3B SLC8A1	KCNC1 KCNE4 KCNMB3 SLC18A1		KCNJ2 KCNK17 SCN2A SCN3B SLC18A1		CACNA1G CACNA1H HCN4 KCNH6 KCNK3	CACNA1G GRIK5 KCNAB2 KCNE4 SNAP25	ABCC8 ASIC1 ASIC4 ATP1A3 ATP6V0E2 ATP6V1G2 GRIK5 HCN4 KCNB2 KCNH3 KCNH6 KCNIP3 KCNJ3 KCNMA1 KCNMB2 KCNMB3 KCNN3 NALCN SCN1B SLC12A5 SLC18A1 SNAP25			ATP6V0E2 ATP6V1B1 HCN4 KCNF1 KCNH2 KCNJ11 SCN1B SCN3B
GO_MULTICELLULAR_ORGANISMAL_SIGNALING		CACNA1G FXYD6 KCNMB2 NTRK2 SCN1B	CACNA1C CACNG6 FXYD1 FXYD6 KCNIP3 KCNJ11	CACNG6 HCN4 KCNIP3 KCNJ3 SCN2A	AGT ANK2 CACNA1C CACNA2D2 CACNB2 CACNB4 FXYD6 JAM3 KCNJ2 KCNJ3 KCNMB3 SCN1B SCN3B SLC8A1			CACNG6 KCNJ2 SCN2A SCN3B		CACNA1G CACNA1H CACNA2D2 HCN4 ITPR1 KCNH6 KCNK3	CACNA1G KCNE4 NTRK2 SPTBN4	AGT ANK2 ATP1A3 CACNA1C CACNB4 CACNG7 HCN4 JAM3 KCNH6 KCNIP3 KCNJ3 KCNMB2 KCNMB3 NFASC SCN1B SPTBN4	AGT CACNA1C CACNA1G CACNB4 FXYD1 GHRL JAM3 KCNH2 KCNK3 NTRK2		AGT HCN4 ITPR1 KCNH2 KCNJ11 SCN1B SCN3B
GO_NEUROGENESIS	ACTL6B BRSK2 C1QL1 CAMK2B DCHS1 FZD4 GAP43 GFRA3 NEFL PAK6 PMP22 SEZ6 SNAP25 SPP1 SRCIN1 SRRM4 STMN4 SYN1 SYT2 TUBB2B TUBB3	ADCY1 CELSR2 DPYSL3 DPYSL4 FZD4 GPC2 MATN2 NPTX1 NTRK2 RAP1GAP2 SAMD14 SCN1B SDK1	APBB1 ARC BRSK1 BRSK2 C1QL1 CDK5R1 CDK5R2 DNER DNM3 DPYSL4 DSCAML1 DTX1 EML1 GPR173 HEY1 ID4 MAP2 MAP6 NR4A3 NTRK1 PLAG1 PSD RASAL1 RTN4RL1 SLC12A5 SNAP25 SRRM4 STRC SYN1 TTBK1 TUBB3	ARHGAP33 CAMK1 CEP290 CHD5 DPYSL4 MAP1A MDK NEUROD2 NTNG2 NTRK1 RTN4RL1 SPP1 STMN4 STMND1 SYNE2 TMEFF1 TRPC6 USH1G	AGT ARHGAP33 CABP4 CCDC88A CDHR1 CEP290 CHD5 CNR1 CPNE9 DOK6 EPHA8 ETV1 FAIM2 FEV GFRA1 GFRA3 GPC2 GPR173 HAP1 HECW2 HOOK3 ID4 IGSF10 ISLR2 JAM3 KIF5A KIRREL3 KNDC1 LGR6 MAP1A MAP1B NAV3 NEUROD2 NR4A3 PAX6 PBX3 PLAG1 PLXNC1 PSD RET SAMD14 SCN1B SFRP1 SRCIN1 SRRM4 STRC SYT2 TRPC6 USH2A	ADCY1 ATOH8 BCL2 CHRNA3 CHRNB2 EVL HECW2 PAX6 RNF157 RTN4RL1 SHC3 STMN2 TENM2	ADCY1 ARC CABP4 DNER MAP6 MCOLN3 PBX3 STXBP1		DPYSL3 DRD2 EML1 PBX3 PMP22 SLITRK6 TRPC6	ADCY1 ATOH8 BCL2 BOC CSF1R DLL4 EPHB3 KIF1A LZTS1 MCOLN3 PROX1 PTCH1 SEMA6B TTBK1 TUBB2B USH2A	ADORA2A ARHGAP33 BRSK1 CDK5R2 DLL4 ISL1 KIF1A KIRREL3 NDRG4 NPY NTRK2 PRKCH RNF157 SNAP25 SOX4 SPTBN4 STRC USH2A	AGT APBB1 ARHGAP33 BOC BRSK1 CACNG7 CCDC88A CDK5R2 CEND1 CHD5 CHL1 CIT CPNE9 DNER DOK6 DRD2 DTX1 EFNB3 ETV1 FAIM2 FEV FZD4 GAP43 GPR173 HAP1 ID4 IGSF10 ISL1 JAM3 KIF5A KIRREL3 LINGO1 LMX1A MAP1A MAP1B MAP2 MAP6 MCOLN3 MDK NDRG4 NEUROD2 NFASC PAK6 PBX3 PSD RASAL1 RET RGS14 SAMD14 SCN1B SEZ6 SHC3 SLC12A5 SLITRK6 SNAP25 SPP1 SPTBN4 SRCIN1 STMND1 TUBB2B UCHL1 USH2A	ADORA2A AGT ARC ASCL2 BRSK1 C1QL1 CABP4 CDK5R2 CEND1 CEP290 CXCL12 DCHS1 DSCAML1 EML1 ETV1 GHRL GPC2 HES6 HOOK3 ID4 ISL1 JAM3 KIRREL3 MAP6 MDK NDRG4 NEUROD1 NEUROG3 NTRK2 PMP22 PRKD1 RASAL1 RGS14 SDK2 SEZ6 STMN3 STRC SYN1 SYNE2 SYT2 UCHL1 USH1G	ARHGAP33 C1QL1 CDK5R2 CNR1 CSF1R DLL4 KNDC1 NCS1 NEGR1 NKD1 NKX6-1 RAP1GAP2 SPTBN4 STMN3 STXBP1 TUBB3 WNT9A	
GO_NEURON_DEVELOPMENT	ACTL6B BRSK2 C1QL1 CAMK2B FZD4 GAP43 GFRA3 NEFL PAK6 PMP22 SEZ6 SNAP25 SPP1 SRCIN1 SRRM4 STMN4 SYN1 SYT2 TUBB2B TUBB3	ADCY1 CELSR2 DPYSL3 DPYSL4 FZD4 GPC2 MATN2 NPTX1 NTRK2 RAP1GAP2 SAMD14 SCN1B SDK1	APBB1 ARC BRSK1 BRSK2 C1QL1 CDK5R1 DNM3 DPYSL4 DSCAML1 MAP2 MAP6 NR4A3 NTRK1 PSD RASAL1 RTN4RL1 SLC12A5 SNAP25 SRRM4 STRC SYN1 TUBB3	ARHGAP33 CAMK1 CEP290 DPYSL4 MAP1A MDK NEUROD2 NTNG2 NTRK1 RTN4RL1 SPP1 STMN4 STMND1 TMEFF1 TRPC6 USH1G	AGT ARHGAP33 CABP4 CCDC88A CDHR1 CEP290 CNR1 CPNE9 DOK6 EPHA8 ETV1 FEV GFRA1 GFRA3 GPC2 HECW2 ISLR2 JAM3 KIF5A KIRREL3 KNDC1 LGR6 MAP1A MAP1B NEUROD2 NR4A3 PAX6 PBX3 PLXNC1 PSD RET SAMD14 SCN1B SFRP1 SRCIN1 SRRM4 STRC SYT2 TRPC6	ADCY1 BCL2 CHRNA3 CHRNB2 EVL HECW2 PAX6 RNF157 RTN4RL1 SHC3 STMN2 TENM2	ADCY1 ARC CABP4 MAP6 PBX3 STXBP1	APOA1 DNM3 ISLR2 NCS1 RET	DPYSL3 DRD2 PBX3 PMP22 SLITRK6 TRPC6	ADCY1 BCL2 BOC CSF1R EPHB3 KIF1A LZTS1 PTCH1 SEMA6B TUBB2B	ADORA2A ARHGAP33 BRSK1 ISL1 KIF1A KIRREL3 NDRG4 NPY NTRK2 RNF157 SNAP25 SPTBN4 STRC	AGT APBB1 ARHGAP33 BOC BRSK1 CACNG7 CCDC88A CHL1 CPNE9 DOK6 DRD2 EFNB3 ETV1 FEV FZD4 GAP43 ISL1 JAM3 KIF5A KIRREL3 LINGO1 LMX1A MAP1A MAP1B MAP2 MAP6 MDK NDRG4 NEUROD2 NFASC PAK6 PBX3 PSD RASAL1 RET SAMD14 SCN1B SEZ6 SHC3 SLC12A5 SLITRK6 SNAP25 SPP1 SPTBN4 SRCIN1 STMND1 TUBB2B UCHL1	ADORA2A AGT ARC BRSK1 C1QL1 CABP4 CEP290 CXCL12 DSCAML1 ETV1 GHRL GPC2 ISL1 JAM3 KIRREL3 MAP6 MDK NDRG4 NEUROD1 NEUROG3 NTRK2 PMP22 PRKD1 RASAL1 SEZ6 STMN3 STRC SYN1 SYT2 UCHL1 USH1G	ARHGAP33 C1QL1 CNR1 CSF1R KNDC1 NCS1 NEGR1 NKX6-1 RAP1GAP2 SPTBN4 STMN3 STXBP1 TUBB3	AGT APBB1 CAMK1 CAMK2B EFNB3 GRIN1 LINGO1 LZTS1 MAP1A MAP6 MATN2 MDK RET SCN1B SEZ6 TMEFF1
GO_NEURON_DIFFERENTIATION	ACTL6B BRSK2 C1QL1 CAMK2B FZD4 GAP43 GFRA3 NEFL PAK6 PMP22 SEZ6 SNAP25 SPP1 SRCIN1 SRRM4 STMN4 SYN1 SYT2 TUBB2B TUBB3	ADCY1 CELSR2 DPYSL3 DPYSL4 FZD4 GPC2 MATN2 NPTX1 NTRK2 RAP1GAP2 SAMD14 SCN1B SDK1	APBB1 ARC BRSK1 BRSK2 C1QL1 CDK5R1 DNM3 DPYSL4 DSCAML1 DTX1 HEY1 ID4 MAP2 MAP6 NR4A3 NTRK1 PSD RASAL1 RTN4RL1 SLC12A5 SNAP25 SRRM4 STRC SYN1 TUBB3	ARHGAP33 CAMK1 CEP290 CHD5 DPYSL4 MAP1A MDK NEUROD2 NTNG2 NTRK1 RTN4RL1 SPP1 STMN4 STMND1 TMEFF1 TRPC6 USH1G	AGT ARHGAP33 CABP4 CCDC88A CDHR1 CEP290 CHD5 CNR1 CPNE9 DOK6 EPHA8 ETV1 FAIM2 FEV GFRA1 GFRA3 GPC2 HECW2 ID4 ISLR2 JAM3 KIF5A KIRREL3 KNDC1 LGR6 MAP1A MAP1B NEUROD2 NR4A3 PAX6 PBX3 PLXNC1 PSD RET SAMD14 SCN1B SFRP1 SRCIN1 SRRM4 STRC SYT2 TRPC6 USH2A	ADCY1 ATOH8 BCL2 CHRNA3 CHRNB2 EVL HECW2 PAX6 RNF157 RTN4RL1 SHC3 STMN2 TENM2	ADCY1 ARC CABP4 MAP6 MCOLN3 PBX3 STXBP1	APOA1 DNM3 ISLR2 NCS1 RET	DPYSL3 DRD2 PBX3 PMP22 SLITRK6 TRPC6	ADCY1 ATOH8 BCL2 BOC CSF1R DLL4 EPHB3 KIF1A LZTS1 MCOLN3 PROX1 PTCH1 SEMA6B TUBB2B USH2A	ADORA2A ARHGAP33 BRSK1 DLL4 ISL1 KIF1A KIRREL3 NDRG4 NPY NTRK2 RNF157 SNAP25 SOX4 SPTBN4 STRC USH2A	AGT APBB1 ARHGAP33 BOC BRSK1 CACNG7 CCDC88A CEND1 CHD5 CHL1 CPNE9 DOK6 DRD2 DTX1 EFNB3 ETV1 FAIM2 FEV FZD4 GAP43 ID4 ISL1 JAM3 KIF5A KIRREL3 LINGO1 LMX1A MAP1A MAP1B MAP2 MAP6 MCOLN3 MDK NDRG4 NEUROD2 NFASC PAK6 PBX3 PSD RASAL1 RET SAMD14 SCN1B SEZ6 SHC3 SLC12A5 SLITRK6 SNAP25 SPP1 SPTBN4 SRCIN1 STMND1 TUBB2B UCHL1 USH2A	ADORA2A AGT ARC ASCL2 BRSK1 C1QL1 CABP4 CEND1 CEP290 CXCL12 DSCAML1 ETV1 GHRL GPC2 ID4 ISL1 JAM3 KIRREL3 MAP6 MDK NDRG4 NEUROD1 NEUROG3 NTRK2 PMP22 PRKD1 RASAL1 SDK2 SEZ6 STMN3 STRC SYN1 SYT2 UCHL1 USH1G	ARHGAP33 C1QL1 CNR1 CSF1R DLL4 KNDC1 NCS1 NEGR1 NKD1 NKX6-1 RAP1GAP2 SPTBN4 STMN3 STXBP1 TUBB3 WNT9A	AGT APBB1 ATOH8 CAMK1 CAMK2B EFNB3 GRIN1 LINGO1 LZTS1 MAP1A MAP6 MATN2 MDK RET SCN1B SEZ6 TMEFF1
