	AEBP1	ARNT2	ARX	ASCL1	ASCL2	ATOH8	CBX2	CCDC17	CSRNP3	CXXC4	DACH1	DPF3	DZIP1	E2F7	EBF3	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	GRHL3	HES4	HEY1	HEYL	HHEX	HIC1	HLF	HMBOX1	INSM1	ISL1	KCNIP3	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NFAT5	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	PLAG1	POU2F2	POU5F1	PROX1	RFX6	SETBP1	SIM1	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF117	ZNF382	ZNF492	ZNF514	ZNF519	ZNF788	ZNF846	ZNF853	ZNF883
PID_FGF_PATHWAY		FGF9 KLB														FGF17 FGF9 KLB NCAM1																															FGF17 NCAM1 SPP1									FGF17 FGF9 NCAM1																	
PID_FOXM1_PATHWAY																																													MMP2 ONECUT1																												
PID_HEDGEHOG_2PATHWAY																																																					BOC PTCH1					PTCH1 PTHLH															
PID_HEDGEHOG_GLI_PATHWAY		PTCH1 SAP30												GNAO1 SAP30			GNAO1 GNG2 SAP30			GNG2 PTCH1 SAP30																											GNAO1 GNG2 MTSS1						GNG2 MTSS1 PTCH1 SAP30				GNAO1 MTSS1 PTCH1	MTSS1 PTCH1 SAP30	GNAO1 GNG2 MTSS1			GNAO1 MTSS1 PTCH1									MTSS1 PTCH1 SAP30		
PID_HES_HEY_PATHWAY															HEY1 NEUROG3		ASCL1 HES6 HEY1																																																								
PID_HIF1_TFPATHWAY								CXCL12 GATA2																								CXCL12 GATA2																																									
PID_HIF2PATHWAY																				FLT1 POU5F1	ADORA2A FLT1 POU5F1																	FLT1 POU5F1										FLT1 POU5F1																									
PID_HNF3A_PATHWAY																				SCGB1A1 SFTPA2																																																					
PID_HNF3B_PATHWAY			ABCC8 APOA1 CPT1C	ABCC8 GCK KCNJ11	ABCC8 GCK KCNJ11 UCP2									CPT1C UCP2		ABCC8 APOA1 GCK TTR UCP2	ABCC8 GCK UCP2			GCK UCP2	ABCC8 APOA1 GCK TTR												ABCC8 APOA1 CPT1C GCK TTR		APOA1 CPT1C GCK KCNJ11 TTR UCP2	APOA1 GCK KCNJ11 UCP2		ABCC8 APOA1 GCK KCNJ11		ABCC8 CPT1C UCP2						APOA1 KCNJ11							APOA1 GCK KCNJ11 TTR UCP2									APOA1 GCK TTR UCP2	ABCC8 UCP2										
PID_IFNG_PATHWAY																																						CAMK2B SOCS1				CAMK2B SOCS1																															
PID_INSULIN_PATHWAY				EIF4EBP1 GRB14	EIF4EBP1 GRB14 PARD6A									EIF4EBP1 PARD6A																												EIF4EBP1 PARD6A																															
PID_INTEGRIN1_PATHWAY																										ITGA4 SPP1										COL1A2 ITGA4 ITGA7 MDK																			FBN1 ITGA4				COL1A2 ITGA7 MDK SPP1				FBN1 ITGA7										
PID_INTEGRIN2_PATHWAY																																			F10 JAM3 SPON2																																						
PID_INTEGRIN3_PATHWAY																																																																EDIL3 SPP1									
PID_INTEGRIN5_PATHWAY																																								EDIL3 ITGA4															FBN1 ITGA4		EDIL3 ITGA4																
PID_INTEGRIN_A4B1_PATHWAY																										ITGA4 SPP1																																															
PID_INTEGRIN_A9B1_PATHWAY																	ADAM12 SPP1																														ADAM12 SPP1												ADAM12 SPP1														
PID_KIT_PATHWAY																																							GRAP2 KIT																								BCL2 KIT										
PID_LIS1_PATHWAY				CDK5R1 CDK5R2 DCX	CDK5R1 CDK5R2											CDK5R1 CDK5R2 DCX MAP1B	CDK5R1 CDK5R2																																				CDK5R1 CDK5R2 MAP1B																		CDK5R1 CDK5R2		
PID_LKB1_PATHWAY																	BRSK1 BRSK2 MAP2																								BRSK1 MAP2																																
PID_LPA4_PATHWAY																	ADCY1 ADCY2 ADCY5				ADCY1 ADCY2 ADCY5								ADCY1 ADCY2 ADCY5				ADCY2 ADCY5		ADCY1 ADCY2 ADCY5									ADCY1 ADCY2 ADCY5	ADCY2 ADCY5						ADCY1 ADCY2											ADCY1 ADCY5											
PID_LYSOPHOSPHOLIPID_PATHWAY																	ADCY1 ADCY2 ADCY5 GNAO1 GNG2												ADCY1 ADCY2 ADCY5						ADCY1 ADCY2 ADCY5 GNG2	ADCY1 GNAO1 GNG2 MMP2		ADCY2 GNAO1 MMP2	ADCY5 GNAO1 MMP2					ADCY1 ADCY2 ADCY5 GNAO1 MMP2 PRKD1	ADCY2 ADCY5 MMP2		ADCY5 GNAO1 GNG2	ADCY5 GNG2 MMP2			ADCY1 ADCY2 GNG2																						
PID_MYC_REPRESS_PATHWAY																					BCL2 COL1A2 TMEFF2																													BCL2 COL1A2																			BCL2 SFRP1				
PID_NEPHRIN_NEPH1_PATHWAY																					MAPK10 TRPC6																					MAPK10 PARD6A		MAPK10 PARD6A TRPC6			MAPK10 PARD6A	MAPK10 PARD6A		MAPK10 TRPC6																							
PID_NFAT_3PATHWAY																																																															BCL2 PRKCH						BCL2 PRKCG				
PID_NOTCH_PATHWAY		DLL3 DLL4		DLL1 DNER													ADAM12 DLL1 DLL3			ADAM12 DLL4 DTX1			DLL3 DNER MFAP2	DLL3 DNER MFAP2			DLL1 DTX1				ADAM12 DLL3				ADAM12 DLL1 DNER DTX1													ADAM12 DLL1 DTX1	ADAM12 DNER	DLL4 DNER			ADAM12 DLL1 DLL3 DNER DTX1													DLL3 DNER							
PID_P38_MK2_PATHWAY																																			ETV1 LSP1																																						
PID_P38_MKK3_6PATHWAY				CAMK2B GADD45G	CAMK2B GADD45G																													CAMK2B GADD45G				CAMK2B GADD45G																									CAMK2B GADD45G										
PID_P53_DOWNSTREAM_PATHWAY																																												BCL2 HIC1 MMP2 PCBP4 SCN3B TP73																													
PID_PLK1_PATHWAY																															CENPE CLSPN										CENPE CLSPN																																
PID_PRL_SIGNALING_EVENTS_PATHWAY																																						AGT PTP4A3																																			
PID_PS1_PATHWAY																											DLL1 DTX1																										DLL1 DTX1 NKD1					DLL1 NKD1 WIF1															
PID_RAC1_REG_PATHWAY																																						ARHGAP9 ARHGEF25	ARHGAP9 ARHGEF25			ARHGAP9 VAV3																															
PID_RAS_PATHWAY				CAMK2B RASAL1																														CAMK2B RASAL1								CAMK2B RASAL1																															
PID_RET_PATHWAY																																																											DOK6 GFRA1 RET														
PID_RHOA_PATHWAY														CIT PARD6A																																																		MAPK12 PARD6A									
PID_RHOA_REG_PATHWAY																				ARHGAP9 MCF2L																		ARHGAP9 ARHGEF25 MCF2L	ARHGAP9 ARHGEF25	ARHGAP9 MCF2L VAV3		ARHGAP9 MCF2L VAV3																											ARHGAP9 MCF2L				
PID_RHODOPSIN_PATHWAY			LRAT RGS9														LRAT RGS9						LRAT PDE6B																	PDE6B RGS9				LRAT PDE6B RGS9			PDE6B RGS9						LRAT RGS9				LRAT RGS9					PDE6B RGS9							LRAT RGS9				
PID_S1P_S1P2_PATHWAY																																						CDH5 GNAO1	CDH5 GNAO1					CDH5 GNAO1												CDH5 GNAO1			CDH5 GNAO1														
PID_S1P_S1P3_PATHWAY																	AKT3 GNAO1				AKT3 FLT1															AKT3 FLT1 GNAO1		FLT1 GNAO1		AKT3 FLT1 GNAO1							AKT3 GNAO1																										
PID_SMAD2_3NUCLEAR_PATHWAY																																																																			COL1A2 SAP30						
PID_SYNDECAN_1_PATHWAY																					COL12A1 COL16A1 COL1A2							COL14A1 COL16A1			COL12A1 COL14A1 COL16A1		COL12A1 COL14A1 COL1A2									COL12A1 COL16A1								COL14A1 COL1A2									COL14A1 COL16A1 COL1A2			COL12A1 COL14A1 COL16A1											
PID_SYNDECAN_4_PATHWAY																																												ADAM12 CXCL12 MDK			ADAM12 CXCL12																										
PID_THROMBIN_PAR1_PATHWAY														GNAO1 PRKCG		GNAO1 GNG2 PRKCG																												GNAO1 PRKCG TRPC6												GNAO1 PRKCG TRPC6																	
PID_TOLL_ENDOGENOUS_PATHWAY			BGN VCAN																																																																						
PID_TRKR_PATHWAY																		MCF2L NTRK2 SHC3	MCF2L NTRK2																																																						
PID_TXA2PATHWAY																				GNG2 PRKCH																																	GNG2 PRKCG PRKCH																				
PID_VEGFR1_PATHWAY																					FLT1 PGF																																					FLT1 PGF															
PID_VEGF_VEGFR_PATHWAY																					FLT1 PGF														FLT1 PGF	FLT1 PGF																						FLT1 PGF				FLT1 PGF											
PID_WNT_SIGNALING_PATHWAY																		FZD4 WIF1																					FZD4 WIF1																																		
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT																																									ABCC4 ABCC9																																
REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS																					ABCA9 APOA1															ABCA9 APOA1												ABCA9 APOA1														ABCA9 APOA1											
REACTOME_ABC_TRANSPORTER_DISORDERS																																						ABCC8 APOA1 KCNJ11																																			
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS																	CCND2 CDKN1C																											CCND2 CDKN1C															CCND2 CDKN1C														
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS					CHRNA3 CHRNB2									CHRNA5 CHRNB2		CHRNA1 CHRNA3 CHRNA5 CHRNB2 CHRNB4	CHRNA1 CHRNB2		CHRNB2 CHRNB4																CHRNA1 CHRNA5 CHRNB2 CHRNB4			CHRNA1 CHRNA3 CHRNB4	CHRNA1 CHRNB4	CHRNA1 CHRNB4				CHRNA3 CHRNB2 CHRNB4													CHRNA1 CHRNB4	CHRNA1 CHRNB2 CHRNB4				CHRNB2 CHRNB4	CHRNA3 CHRNA5								CHRNA1 CHRNA5		
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE			CPLX1 STXBP1														SNAP25 STX1A	SNAP25 STX1A			SNAP25 STX1A								CPLX1 SNAP25				SNAP25 STX1A	CPLX1 SNAP25 STXBP1	CPLX1 SNAP25	CPLX1 SNAP25 STX1A		CPLX1 STXBP1		CPLX1 SNAP25 STX1A				CPLX1 SNAP25 STX1A			CPLX1 SNAP25									STX1A STXBP1	CPLX1 STXBP1					CPLX1 STX1A					CPLX1 STXBP1						
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS				DLL1 DNER	DLL1 DLL4															DLL4 DTX1							DLL1 DTX1								DLL1 DNER DTX1			DLL4 DNER										DLL1 DTX1		DLL4 DNER			DLL1 DNER DTX1									DLL1 DLL4 DNER											
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_CDK5					CDK5R1 NTRK2																																			CDK5R1 NTRK2																																	
REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS																	TUBA1A TUBB3																	TUBA1A TUBB2B												TUBA1A TUBB3 TUBB4A							TUBA1A TUBB3 TUBB4A									TUBA1A TUBB3 TUBB4A											
REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA_																					AKT3 BCL2												AKT3 BCL2	AKT3 BCL2		AKT3 BCL2								AKT3 BCL2			AKT3 BCL2																										
REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS																					AKT3 BCL2													AKT3 BCL2										AKT3 BCL2 TP73			AKT3 BCL2																										
REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING			GNG2 GNG4 GRIK3 GRIK5													GNG2 GNG4 GRIK5 NCALD	GNG2 GNG4 GRIK3 GRIK5	GRIK5 NCALD															GNG2 GRIK5 NCALD		GNG2 GNG4 GRIK5 NCALD	GNG2 GNG4 GRIK5								GNG4 GRIK5 NCALD			GNG2 GRIK5	GNG2 NCALD					GNG2 GNG4 GRIK5 NCALD				GNG4 GRIK5 NCALD		GNG2 GNG4 GRIK5 NCALD														
REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES			MMP11 MMP2 SPOCK3													MMP11 MMP13 SPOCK3																												MMP13 MMP2 SPOCK3	MMP2 SPOCK3		MMP11 SPOCK3											MMP11 MMP13 SPOCK3															
REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS	GRIA2 GRIN1			CAMK1 CAMK2B GRIN2C PPM1E	ADCY1 CAMK1 CAMK2B PPM1E TUBB4A			GRIA2 GRIN2C				GRIA2 GRIN2C					ADCY1 DLG2 GRIN2C LIN7A PPM1E TUBA1A TUBB3				ADCY1 DLG2 GRIA2 PPM1E					LIN7A TUBB4A			ADCY1 LIN7A PPM1E TUBB4A				CAMK1 GRIA2 LIN7A NEFL PPM1E TUBA1A TUBB2B	ADCY1 CAMK2B LIN7A PPM1E TUBA1A TUBB2B	ADCY1 GRIA2 LIN7A PPM1E TUBB3									ADCY1 CAMK1 CAMK2B DLG2 GRIN1	DLG2 GRIA2 PPM1E	GRIN2C TUBA1A TUBB3 TUBB4A							CAMK2B GRIN1 LIN7A NEFL PPM1E TUBA1A TUBB3 TUBB4A			DLG2 GRIA2 GRIN1 GRIN2C NEFL PPM1E	CAMK2B GRIN2C LIN7A NEFL PPM1E TUBB3	ADCY1 LIN7A PPM1E TUBB3	ADCY1 DLG2 GRIN2C LIN7A TUBB3			ADCY1 CAMK1 GRIN2C PPM1E TUBA1A TUBB3 TUBB4A											NEFL PPM1E
REACTOME_ACTIVATION_OF_RAC1				PAK3 PAK6												PAK6 ROBO1		PAK6 ROBO1			PAK6 ROBO1												PAK3 PAK6 ROBO1			PAK3 PAK6				PAK3 PAK6 ROBO1					PAK6 ROBO1	PAK6 ROBO1	PAK6 ROBO1									PAK6 ROBO1						PAK6 ROBO1											
REACTOME_ACTIVATION_OF_SMO																																																					BOC PTCH1																				
REACTOME_ACTIVATION_OF_TRKA_RECEPTORS																																				ADORA2A NTRK2								NTRK1 NTRK2													ADORA2A NTRK2		ADORA2A NTRK1 NTRK2														
REACTOME_ADENYLATE_CYCLASE_ACTIVATING_PATHWAY																	ADCY1 ADCY2 ADCY5				ADCY1 ADCY2 ADCY5								ADCY1 ADCY2 ADCY5				ADCY2 ADCY5		ADCY1 ADCY2 ADCY5									ADCY1 ADCY2 ADCY5	ADCY2 ADCY5						ADCY1 ADCY2											ADCY1 ADCY5											
REACTOME_ADENYLATE_CYCLASE_INHIBITORY_PATHWAY																	ADCY1 ADCY2 ADCY5				ADCY1 ADCY2 ADCY5								ADCY1 ADCY2 ADCY5				ADCY2 ADCY5		ADCY1 ADCY2 ADCY5									ADCY1 ADCY2 ADCY5	ADCY2 ADCY5						ADCY1 ADCY2											ADCY1 ADCY5											
REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS				CADM2 CADM3 CDH5	CADM3 CDH5										CADM2 CADM3																					CADM2 CADM3 CDH5									CADM2 CDH5																		CADM2 CADM3										
REACTOME_ADORA2B_MEDIATED_ANTI_INFLAMMATORY_CYTOKINES_PRODUCTION	GPR83 PTHLH							CYSLTR2 GPR83	CYSLTR2 PTHLH		ADORA2A PTHLH	ADORA2A CYSLTR2					ADCY1 ADCY2 ADCY5 GNG2 GNG4 PTHLH SCT				ADCY1 ADCY2 ADCY5 ADORA2A GPR83							CYSLTR2 GPR83 PTHLH	ADCY1 ADCY2 ADCY5						ADCY1 ADCY2 ADCY5 CRH GIP GNG2 GNG4 GPBAR1 PTHLH	ADCY1 ADORA2A CRH CYSLTR2 GNG2 GNG4 GPBAR1 GPR83 SCT								ADCY1 ADCY2 ADCY5 CRH GIP GNG4 GPBAR1 GPR83 SCT	ADCY2 ADCY5 CYSLTR2 GPBAR1		ADCY5 CRH GIP GNG2 GPBAR1 SCT				ADCY1 ADCY2 GNG2 GPBAR1								ADCY1 ADORA2A CRH GNG2 GNG4 GPR83 PTHLH SCT														
REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_1			GNG2 GNG4														GNG2 GNG4																																				GNG2 GNG4						GNG2 GNG4														
REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_12			GNG2 GNG4														GNG2 GNG4																																				GNG2 GNG4						GNG2 GNG4														
REACTOME_ADRENALINE_NORADRENALINE_INHIBITS_INSULIN_SECRETION			CACNA1C CACNA2D2 GNG2 GNG4											CACNA2D2 CACNB2		CACNA2D2 GNG2 GNG4	ADCY5 GNG2 GNG4	ADCY5 CACNA2D2	CACNA1C CACNA2D2		ADCY5 CACNA1C								ADCY5 CACNA1C				ADCY5 CACNA1C CACNA2D2 GNG2		ADCY5 CACNA2D2 GNG2 GNG4	CACNA1C CACNA2D2 GNG2 GNG4				ADCY5 CACNA1C GNG4				ADCY5 CACNA2D2 GNG4	ADCY5 CACNA1C CACNA2D2 CACNB2		ADCY5 CACNA2D2 GNG2	ADCY5 GNG2			CACNA2D2 GNG2		CACNB2 GNG2 GNG4			ADCY5 CACNA2D2	ADCY5 CACNA1C CACNA2D2 GNG4		CACNA1C CACNA2D2 GNG2 GNG4			ADCY5 CACNA2D2 GNG4					CACNA1C CACNB2				ADCY5 GNG4		
REACTOME_AGGREPHAGY																										DYNC1I1 TUBB4A													DYNC1I1 TUBB4A							TUBA1A TUBB3 TUBB4A							TUBA1A TUBB3 TUBB4A									DYNC1I1 TUBA1A TUBB3 TUBB4A											
REACTOME_AMINO_ACIDS_REGULATE_MTORC1				ATP6V1B1 RRAGD																																ATP6V0E2 ATP6V1B1 ATP6V1G2 RRAGD																									ATP6V1G2 RRAGD								ATP6V0E2 ATP6V1G2				
REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE														SLC38A3 SLC7A2																											SLC38A5 SLC7A2																					SLC38A3 SLC38A5 SLC7A2									SLC38A3 SLC38A5 SLC7A2		
REACTOME_AMYLOID_FIBER_FORMATION												APOA4 LTF											APOA1 APOA4																		APOA4 LTF TTR																																
REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES																																														HERC5 IFIT1 MX2 USP41			MX1 USP41								HERC5 IFIT1 MX1 NUP210					HERC5 IFIT1 MX1 MX2 NUP210 USP41									HERC5 MX1 NUP210		
REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION	DPEP1 GPR83 PTHLH					ADORA2A DPEP1 IGHG1		CYSLTR2 GPR83	CYSLTR2 PTHLH		ADORA2A DPEP1 PTHLH	ADORA2A CYSLTR2					ADCY1 ADCY2 ADCY5 GNG2 GNG4 ITPR1 PTHLH SCT				ADCY1 ADCY2 ADCY5 ADORA2A DPEP1 GPR83 ITPR1	IGHG1 PTHLH			ADORA2A IGHG1										ADCY1 ADCY2 ADCY5 CRH GIP GNG2 GNG4 GPBAR1 IGHG1 ITPR1 PTHLH									ADCY1 ADCY2 ADCY5 CRH GIP GNG4 GPBAR1 GPR83 ITPR1 SCT	ADCY2 ADCY5 CYSLTR2 GPBAR1 ITPR1 PLCG2						ADCY1 ADCY2 GGT5 GNG2 GPBAR1								ADCY1 ADORA2A CRH GNG2 GNG4 GPR83 PLCG2 PTHLH SCT														
REACTOME_AQUAPORIN_MEDIATED_TRANSPORT			ADCY1 GNG2 GNG4														ADCY1 ADCY2 ADCY5 GNG2 GNG4				ADCY1 ADCY2 ADCY5								ADCY1 ADCY2 ADCY5				ADCY2 ADCY5 GNG2		ADCY1 ADCY2 ADCY5 GNG2 GNG4									ADCY1 ADCY2 ADCY5 GNG4							ADCY1 ADCY2 GNG2								ADCY1 GNG2 GNG4														
REACTOME_ASSEMBLY_AND_CELL_SURFACE_PRESENTATION_OF_NMDA_RECEPTORS		DLG2 TUBB3		CAMK2B GRIN2C	CAMK2B TUBB4A												DLG2 GRIN2C LIN7A TUBA1A TUBB3									LIN7A TUBB4A			LIN7A TUBB4A				LIN7A NEFL TUBA1A TUBB2B	CAMK2B LIN7A TUBA1A TUBB2B						CAMK2B DLG2 GRIN2C				CAMK2B DLG2 GRIN1		GRIN2C TUBA1A TUBB3 TUBB4A							CAMK2B GRIN1 LIN7A NEFL TUBA1A TUBB3 TUBB4A			DLG2 GRIN1 GRIN2C NEFL	CAMK2B GRIN2C LIN7A NEFL TUBB3		DLG2 GRIN2C LIN7A TUBB3			GRIN2C TUBA1A TUBB3 TUBB4A	CAMK2B TUBB4A										
REACTOME_ASSEMBLY_OF_ACTIVE_LPL_AND_LIPC_LIPASE_COMPLEXES																																								APOA4 LIPC																																	
REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES																COL14A1 COL1A2 DST MMP13					COL12A1 COL1A2 DST								COL14A1 DST		COL12A1 COL14A1 DST		COL12A1 COL14A1 COL1A2 MMP13																	COL14A1 COL1A2 DST																	COL1A2 DST						
REACTOME_ASYMMETRIC_LOCALIZATION_OF_PCP_PROTEINS																																																																FZD4 PARD6A									
REACTOME_ATTENUATION_PHASE																	HSPA2 HSPA6																	HSPA2 HSPA6																								HSPA2 HSPA6															
REACTOME_AUTOPHAGY																										DYNC1I1 TUBB4A																																															
REACTOME_A_TETRASACCHARIDE_LINKER_SEQUENCE_IS_REQUIRED_FOR_GAG_SYNTHESIS			BGN VCAN														B3GAT1 GPC6				GPC6 VCAN																		GPC2 GPC6			BGN GPC2		B3GAT1 BGN GPC6												GPC6 VCAN																	
REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING														FZD4 GNAO1 ITPR1 PARD6A PRKCG		FZD4 GNAO1 GNG2 GNG4 PARD6A PDE6B PRKCG																												FZD4 GNAO1 GNG4 ITPR1 PARD6A PDE6B PRKCG			FZD4 GNAO1 GNG2 PARD6A PDE6B															FZD4 GNAO1 GNG4 ITPR1 PARD6A PDE6B PRKCG											
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS			AMBP APOA1 COL1A2 SPARC																																																																						
REACTOME_BIOLOGICAL_OXIDATIONS																					ARNT2 CES1 CYP27A1 DPEP1 GLYATL3 NNMT SULT2A1												ARNT2 CES1 DPEP1 GLYATL3 GSTA2 NNMT PODXL2 SULT1A4 SULT2A1	ARNT2 CYP27A1 DPEP1 GLYATL3 PODXL2 SULT1A4 SULT2A1											ADH6 ARNT2 GLYATL3 GSTA2 NNMT PODXL2	ADH6 ARNT2 GLYATL3 SULT1A4 SULT2A1					GGT5 GLYATL3 GSTA2 NNMT SULT2A1									CES1 CYP27A1													
REACTOME_BLOOD_GROUP_SYSTEMS_BIOSYNTHESIS																																			FUT1 FUT7			FUT1 FUT7	FUT1 FUT7					FUT1 FUT7														FUT1 FUT7	FUT1 FUT7			FUT1 FUT7											
REACTOME_CA2_ACTIVATED_K_CHANNELS			KCNMB3 KCNN3													KCNMA1 KCNMB2 KCNMB3		KCNMB3 KCNN3	KCNMB2 KCNMB3 KCNN3		KCNMA1 KCNMB2									KCNMA1 KCNMB3	KCNMA1 KCNMB2		KCNMA1 KCNMB2 KCNN3	KCNMA1 KCNMB3	KCNMB2 KCNMB3 KCNN3	KCNMA1 KCNMB2				KCNMA1 KCNMB2 KCNN3		KCNMA1 KCNN3			KCNMA1 KCNMB2 KCNN3		KCNMA1 KCNMB2 KCNN3	KCNMA1 KCNN3		KCNMB2 KCNMB3						KCNMA1 KCNMB2 KCNN3																	
REACTOME_CA2_PATHWAY		ITPR1 PDE6B												FZD4 GNAO1 ITPR1		FZD4 GNAO1 GNG2 GNG4 PDE6B	GNAO1 GNG2 GNG4 ITPR1						ITPR1 PDE6B												FZD4 GNG2 GNG4 ITPR1 PDE6B	FZD4 GNAO1 GNG2 GNG4			FZD4 GNAO1					FZD4 GNAO1 GNG4 ITPR1 PDE6B			FZD4 GNAO1 GNG2 PDE6B															FZD4 GNAO1 GNG4 ITPR1 PDE6B											
REACTOME_CARBOXYTERMINAL_POST_TRANSLATIONAL_MODIFICATIONS_OF_TUBULIN					TTLL6 TUBB4A									LRRC49 TTLL7		TTLL10 TTLL6 TUBA1A		LRRC49 TPGS1 TTLL7	TTLL6 TTLL7	TTLL6 TTLL7									TTLL10 TTLL7 TUBB4A		TTLL6 TTLL7		LRRC49 TTLL10 TUBA1A TUBB2B	LRRC49 TTLL10 TTLL6 TTLL7 TUBA1A TUBB2B	LRRC49 TPGS1 TTLL10 TTLL6 TTLL7 TUBB3	LRRC49 TPGS1 TTLL10 TTLL6 TTLL7								LRRC49 TPGS1 TTLL10 TTLL6 TTLL7		TUBA1A TUBB3 TUBB4A	LRRC49 TPGS1 TTLL6			TPGS1 TTLL6	TPGS1 TTLL6		LRRC49 TTLL10 TTLL6 TTLL7 TUBA1A TUBB3 TUBB4A				LRRC49 TTLL10 TTLL7 TUBB3		TPGS1 TTLL10 TTLL6 TTLL7 TUBB3			LRRC49 TPGS1 TUBA1A TUBB3 TUBB4A	LRRC49 TPGS1 TUBB4A								TPGS1 TTLL10 TTLL6 TTLL7		
