	ARNT2	ARX	ASCL1	E2F7	EBF3	ETV1	FEV	FOXJ1	FOXP2	GATA2	HLF	ISL1	LMX1A	LMX1B	MAFA	MAFB	NEUROG3	NFAT5	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU5F1	RFX6	SIX2	SMAD9	SOX4	SPIB	TET1	TFCP2L1	ZFP69B	ZNF382	ZNF492	ZNF519	ZNF846
WNT_SIGNALING																NKD1 SFRP1 WNT9A														NKD1 WNT9A						NKD1 WNT9A	
WP_22Q112_DELETION_SYNDROME										P2RX6 SLC7A4																						P2RX6 SLC7A4					
WP_ADIPOGENESIS																							GDF10 SOCS1				GDF10 SOCS1					AGT SOCS1					AGT SOCS1
WP_B_CELL_RECEPTOR_SIGNALING_PATHWAY																																MAPK4 PLCG2					
WP_CALCIUM_REGULATION_IN_THE_CARDIAC_CELL		CAMK2B RGS4					RGS16 RGS4			RGS16 RGS5		GNAO1 RGS4																	GNAO1 GNG4 RGS4				RGS16 RGS4				
WP_CANONICAL_AND_NONCANONICAL_NOTCH_SIGNALING																							DLL1 DLL4														
WP_CELL_CYCLE				CDKN1C MAD2L2																																	CDKN1C MAD2L2
WP_CIRCADIAN_RHYTHM_RELATED_GENES															NTRK1 PROX1																						
WP_CORTICOTROPINRELEASING_HORMONE_SIGNALING_PATHWAY																							CACNA1H PLCG2														
WP_DIFFERENTIATION_PATHWAY																						CSF1R LEFTY1															
WP_EICOSANOID_METABOLISM_VIA_LIPO_OXYGENASES_LOX																																DPEP1 GGT5					
WP_ENDOPLASMIC_RETICULUM_STRESS_RESPONSE_IN_CORONAVIRUS_INFECTION										PPP1R14A PPP1R3C									PPP1R16B PPP1R3C																		
WP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_IN_COLORECTAL_CANCER													DLL4 SPARC		PROX1 SPARC	DLL1 WNT9A						DLL4 PROX1	DLL1 DLL4 MMP2 PROX1				DLL4 MMP2									DLL4 MMP2 WNT9A	
WP_ESC_PLURIPOTENCY_PATHWAYS																																				MAPK4 SMAD9	
WP_EXERCISEINDUCED_CIRCADIAN_REGULATION							G0S2 GFRA1																														
WP_G1_TO_S_CELL_CYCLE_CONTROL				CDKN1C MYT1																																	CDKN1C MYT1
WP_GENES_INVOLVED_IN_MALE_INFERTILITY												GNAO1 MMP2															MMP2 RGS9							GNAO1 LTF			
WP_G_PROTEIN_SIGNALING_PATHWAYS																													GNAO1 GNG4								
WP_HAIR_FOLLICLE_DEVELOPMENT_CYTODIFFERENTIATION_PART_3_OF_3													LRIG1 WIF1																								
WP_HEMATOPOIETIC_STEM_CELL_DIFFERENTIATION																							CBFA2T3 HES6														
WP_HIPPOMERLIN_SIGNALING_DYSREGULATION								CDH5 PPP1R14A		CDH5 CSF1R PPP1R14A												CDH5 CSF1R	CDH5 FLT1									CDH5 PPP1R14A					CDH22 PPP1R14A
WP_LNCRNA_INVOLVEMENT_IN_CANONICAL_WNT_SIGNALING_AND_COLORECTAL_CANCER							NOTUM SFRP1						NOTUM WIF1			NKD1 SFRP1																					
WP_MAPK_SIGNALING_PATHWAY				HSPA2 NTRK1																		CACNA1H HSPA2															
WP_MATRIX_METALLOPROTEINASES																											MMP11 MMP2										
WP_MECP2_AND_ASSOCIATED_RETT_SYNDROME																																			MYT1 NREP		
WP_MESODERMAL_COMMITMENT_PATHWAY														DLL1 LEFTY1													LEFTY1 TOX										
WP_MICRORNAS_IN_CARDIOMYOCYTE_HYPERTROPHY																																AGT MAPK4					
WP_MONOAMINE_TRANSPORT																																ADORA2A AGT					
WP_MYOMETRIAL_RELAXATION_AND_CONTRACTION_PATHWAYS		CAMK2B RGS4					RGS16 RGS4			RGS16 RGS5																	PLCG2 RGS9		GNG4 RGS4				RGS16 RGS4				
WP_NCRNAS_INVOLVED_IN_WNT_SIGNALING_IN_HEPATOCELLULAR_CARCINOMA							NOTUM SFRP1						NOTUM WIF1			NKD1 SFRP1																					
WP_NEOVASCULARISATION_PROCESSES																																				DLL4 SMAD9	
WP_NEURAL_CREST_DIFFERENTIATION													DLL4 PMP22										DLL1 DLL4 PMP22														
WP_NICOTINE_ACTIVITY_ON_DOPAMINERGIC_NEURONS									CHRNA3 CHRNB2																												
WP_NOCGMPPKG_MEDIATED_NEUROPROTECTION																																					CAMK2B PDE2A
WP_NOTCH1_REGULATION_OF_HUMAN_ENDOTHELIAL_CELL_CALCIFICATION																							DLL1 DLL4														
WP_NOTCH_SIGNALING																							DLL1 DLL4														
WP_NOTCH_SIGNALING_PATHWAY_NETPATH																							DLL1 DLL4 HES6 SAP30				DLL4 SAP30					HES6 SAP30					
WP_OSTEOBLAST_DIFFERENTIATION																DLL1 WNT9A							DLL1 DLL4 HES6							SMAD9 WNT9A		HES6 MAPK4				DLL4 MAPK4 SMAD9 WNT9A	
WP_OXYSTEROLS_DERIVED_FROM_CHOLESTEROL																	CYP27A1 IL17C																				
WP_PARKINUBIQUITIN_PROTEASOMAL_SYSTEM_PATHWAY				HSPA2 TUBB3					HSPA2 TUBB4A																HSPA2 TUBA1A											TUBA1A TUBB3	
WP_PATHOGENIC_ESCHERICHIA_COLI_INFECTION																																				TUBA1A TUBB3	
WP_PATHWAYS_REGULATING_HIPPO_SIGNALING										CDH5 CSF1R												CDH5 CSF1R	CDH5 FLT1														
WP_PHOSPHODIESTERASES_IN_NEURONAL_FUNCTION																				DRD2 PDE2A									DRD2 PDE6B	DRD2 PDE2A							
WP_PRIMARY_FOCAL_SEGMENTAL_GLOMERULOSCLEROSIS_FSGS																																					CAMK2B CDKN1C
WP_PURINERGIC_SIGNALING																																ADORA2A P2RX6					
WP_RAS_SIGNALING																						CSF1R GNG4					FLT1 PLCG2										
WP_REGULATION_OF_TOLLLIKE_RECEPTOR_SIGNALING_PATHWAY						SFTPA2 SOCS1																															
WP_RENIN_ANGIOTENSIN_ALDOSTERONE_SYSTEM_RAAS																																					AGT CAMK2B
WP_STRIATED_MUSCLE_CONTRACTION_PATHWAY																												MYBPC2 TMOD1									ACTN3 TMOD1
WP_SUDDEN_INFANT_DEATH_SYNDROME_SIDS_SUSCEPTIBILITY_PATHWAYS												LMX1B SSTR2																									
WP_VEGFAVEGFR2_SIGNALING_PATHWAY								CDH5 TMOD1	FJX1 TMOD1														CDH5 DLL4 FJX1 FLT1 MMP2				DLL4 FLT1 MMP2										
WP_VITAMIN_D_RECEPTOR_PATHWAY							G0S2 SFRP1																								G0S2 NINJ1						
WP_WNT_SIGNALING							NOTUM SFRP1						NOTUM WIF1			NKD1 SFRP1																					CAMK2B NOTUM
