	ARNT2	ARX	ASCL1	ASCL2	ATOH8	DACH1	E2F7	EBF3	ETV1	FEV	FOXJ1	FOXP2	GATA2	GRHL3	HES4	HEY1	HEYL	HHEX	HIC1	HLF	INSM1	ISL1	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NFAT5	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU5F1	PROX1	RFX6	SETBP1	SIX2	SMAD9	SOX4	SPIB	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF519	ZNF846
REACTOME_COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING										TUBA1A TUBB3																									TUBA1A TUBB3 TUBB4A					TUBA1A TUBB3 TUBB4A						TUBA1A TUBB3 TUBB4A						
REACTOME_COPI_DEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC		KIF1A TUBA1A		KIF19 TUBB4A						KIF19 TUBA1A TUBB3																									TUBA1A TUBB3 TUBB4A					KIF1A TUBA1A TUBB3 TUBB4A						TUBA1A TUBB3 TUBB4A						
REACTOME_COPI_INDEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC									DYNC1I1 TUBA1A	TUBA1A TUBB3								DYNC1I1 TUBB4A							DYNC1I1 TUBB3			DYNC1I1 TUBB4A	DYNC1I1 TUBB4A						TUBA1A TUBB3 TUBB4A		DYNC1I1 TUBB3			TUBA1A TUBB3 TUBB4A			DYNC1I1 TUBB3		DYNC1I1 TUBB3	DYNC1I1 TUBA1A TUBB3 TUBB4A						
REACTOME_COPI_MEDIATED_ANTEROGRADE_TRANSPORT																		DYNC1I1 TUBB4A											DYNC1I1 TUBB4A						TUBA1A TUBB3 TUBB4A		DYNC1I1 TUBB3			TUBA1A TUBB3 TUBB4A					DYNC1I1 TUBB3	DYNC1I1 TUBA1A TUBB3 TUBB4A						
REACTOME_CRMPS_IN_SEMA3A_SIGNALING	DPYSL3 DPYSL4																																											DPYSL3 DPYSL4								
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM																																									CSH1 GFRA1											
REACTOME_DECTIN_2_FAMILY		MUC15 PLCG2																						MUC15 PLCG2																				MUC15 PLCG2								
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX		COL16A1 MMP11 MMP2																																													COL16A1 MMP11					
REACTOME_DEVELOPMENTAL_BIOLOGY																		EPHB3 GFRA1 LEFTY1 TUBB4A			DPYSL3 NKX2-2 PAX4			DPYSL3 DSCAML1 EPHB3 INSM1 KLK12 MMP2 MSI1 NKX2-2 PMP22 TUBA1A																CACNA1H CACNG4 INSM1 MAFA MMP2 MSI1 NEUROD1 NKX2-2 PAX4 TUBA1A TUBB3 TUBB4A												
REACTOME_DISEASE			ABCC8 ADAMTSL2 CAMK2B DLL1 KCNJ11 LTF SFTPA2	ABCC8 ADAMTSL2 CAMK2B CDKN1C DLL1 DLL4 DPEP1 GPC2 HEYL KCNJ11 LTF NOXO1 PLCG2 SFTPA2 TUBB4A	ADORA2A DPEP1 IGHG1 KIT TUBB4A			ABCC8 ADORA2A MUC5AC TUBB4A									ADORA2A IGHG1 MUC5AC															ADAMTSL2 CAMK2B CDKN1C CYP27A1 DLL4 DYNC1I1 GGT5 GPC2 PRELP SPON2							ADORA2A KIT MUC5AC					CDKN1C CYP27A1 DLL1 DLL4 GGT5 GPC2 LTF MUC15 NOXO1 PLCG2 PPP1R3C PRELP RBP1 SFTPA2 SPON2 TUBB3		CDKN1C CYP27A1 DLL1 DLL4 DYNC1I1 GNG4 HEYL IGHG1 KIT MUC5AC NOXO1 PPP1R3C RBP1 SFTPA2 TUBA1A TUBB3 TUBB4A	ABCC8 CAMK2B GNG4 IGHG1 KIT PLCG2 TUBB4A		DYNC1I1 GPC2 NOXO1			
REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSAMINOGLYCAN_METABOLISM							GPC2 PRELP																					GPC2 PRELP	GPC2 PRELP			GPC2 PRELP												GPC2 PRELP								
REACTOME_DISEASES_ASSOCIATED_WITH_O_GLYCOSYLATION_OF_PROTEINS									ADAMTSL2 MUC15	MUC15 SPON2															ADAMTSL2 MUC15 SPON2	ADAMTSL2 MUC15		ADAMTSL2 SPON2				ADAMTSL2 SPON2												MUC15 SPON2								
REACTOME_DISEASES_OF_GLYCOSYLATION							GPC2 PRELP		ADAMTSL2 GPC2 MUC15	MUC15 PRELP SPON2															ADAMTSL2 MUC15 PRELP SPON2	ADAMTSL2 MUC15 PRELP		ADAMTSL2 GPC2 PRELP SPON2	GPC2 PRELP SPON2			ADAMTSL2 GPC2 PRELP SPON2												GPC2 MUC15 PRELP SPON2								
REACTOME_DISEASES_OF_METABOLISM				ADAMTSL2 GPC2 SFTPA2						MUC15 PRELP SFTPA2 SPON2															ADAMTSL2 MUC15 PRELP SFTPA2 SPON2	ADAMTSL2 CYP27A1 MUC15 PRELP		ADAMTSL2 GPC2 PPP1R3C PRELP SFTPA2 SPON2	GPC2 PPP1R3C PRELP SPON2			ADAMTSL2 CYP27A1 GPC2 PRELP SPON2	CYP27A1 MUC15 PPP1R3C SFTPA2											CYP27A1 GPC2 MUC15 PPP1R3C PRELP SFTPA2 SPON2		CYP27A1 MUC5AC PPP1R3C SFTPA2						
REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS				CAMK2B DLL1 DLL4 HEYL																																																
REACTOME_DISORDERS_OF_TRANSMEMBRANE_TRANSPORTERS			ABCC8 KCNJ11																																																	
REACTOME_EPH_EPHRIN_MEDIATED_REPULSION_OF_CELLS																								EPHB3 MMP2						EPHB3 MMP2							EPHB3 MMP2															
REACTOME_EPH_EPHRIN_SIGNALING																								EPHB3 MMP2													EPHB3 MMP2															
REACTOME_ER_TO_GOLGI_ANTEROGRADE_TRANSPORT									CNIH2 DYNC1I1 TUBA1A	CNIH2 TUBA1A TUBB3			CNIH2 DYNC1I1					DYNC1I1 TUBB4A							CNIH2 DYNC1I1 TUBB3										CNIH2 TUBA1A TUBB3 TUBB4A		CNIH2 DYNC1I1 TUBB3			CNIH2 TUBA1A TUBB3 TUBB4A		CNIH2 DYNC1I1	CNIH2 DYNC1I1 TUBB3			CNIH2 DYNC1I1 TUBA1A TUBB3 TUBB4A					CNIH2 DYNC1I1	
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION		COL16A1 JAM3 MMP11 MMP2 SPARC																				COL16A1 LTBP2		COL16A1 JAM3 LTBP2 MMP2 SPARC																							COL16A1 LTBP2 MMP11					
REACTOME_EXTRA_NUCLEAR_ESTROGEN_SIGNALING		GNG4 MMP2																								GNG4 MMP2							GNG4 MMP2							GNG4 MMP2												
REACTOME_FACTORS_INVOLVED_IN_MEGAKARYOCYTE_DEVELOPMENT_AND_PLATELET_PRODUCTION								DOCK8 TUBB4A		KIF19 TUBA1A TUBB3																									TUBA1A TUBB3 TUBB4A					KIF1A TUBA1A TUBB3 TUBB4A							DOCK8 TUBB4A					
REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS																																															IGHG1 PLCG2					
REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS																																															IGHG1 PLCG2					
REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC										TUBA1A TUBB3																									TUBA1A TUBB3 TUBB4A					TUBA1A TUBB3 TUBB4A						TUBA1A TUBB3 TUBB4A						
REACTOME_GABA_B_RECEPTOR_ACTIVATION																										GABBR2 GNG4				GABBR2 GNG4										GABBR2 GNG4			GABBR2 GNG4		GABBR2 GNG4	GABBR2 GNG4						
REACTOME_GABA_RECEPTOR_ACTIVATION																										GABBR2 GNG4				GABBR2 GNG4										GABBR2 GNG4			GABBR2 GNG4		GABBR2 GNG4	GABBR2 GNG4						
REACTOME_GAP_JUNCTION_ASSEMBLY										TUBA1A TUBB3																									TUBA1A TUBB3 TUBB4A					TUBA1A TUBB3 TUBB4A						TUBA1A TUBB3 TUBB4A						
REACTOME_GAP_JUNCTION_TRAFFICKING_AND_REGULATION										TUBA1A TUBB3																									TUBA1A TUBB3 TUBB4A					TUBA1A TUBB3 TUBB4A						TUBA1A TUBB3 TUBB4A						
REACTOME_GLUTAMATE_NEUROTRANSMITTER_RELEASE_CYCLE		CPLX1 SLC1A2																							CPLX1 SLC1A2			CPLX1 SLC1A2		CPLX1 SLC1A2							CPLX1 SLC1A2						CPLX1 SLC1A2									
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM							GPC2 PRELP																						GPC2 PRELP			GPC2 PRELP																				
REACTOME_GOLGI_TO_ER_RETROGRADE_TRANSPORT				KIF19 TUBB4A			DYNC1I1 KIF19			KIF19 TUBA1A TUBB3								DYNC1I1 TUBB4A										DYNC1I1 KIF19 TUBB4A	DYNC1I1 TUBB4A						TUBA1A TUBB3 TUBB4A					KIF1A TUBA1A TUBB3 TUBB4A			DYNC1I1 KIF19 TUBB3			DYNC1I1 TUBA1A TUBB3 TUBB4A						
REACTOME_GPCR_LIGAND_BINDING		DRD2 GAL GNG4 SSTR1 WNT9A	GABBR2 GAL WNT9A					ADORA2A AGT			DRD2 FFAR2 GABBR2 SSTR2		ADORA2A AGT FFAR2 SSTR1		ADORA2A AGT								AGT FFAR2 GAL PTGDR2 SSTR1			ADORA2A AGT GABBR2 GAL GNG4 PTGDR2														FFAR2 GABBR2 GNG4 PTGDR2 SSTR1			ADORA2A GABBR2 GNG4 PTGDR2 SSTR1 WNT9A		ADORA2A AGT FFAR2 GABBR2 GAL GNG4 PTGDR2							
REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	PDE6B PTGDR2 RGS5	GAL GNG4 RGS16 RGS9 SSTR1	CAMK2B GABBR2 GAL RGS5 RGS9	CAMK2B GAL GPC2 PTGDR2 RGS16			GAL GNAO1 GPC2 RGS5 RGS9 SSTR1		CAMK2B GAL GNAO1 GNG4 GPC2 PDE6B RGS16 RGS4 RGS5 SSTR2	CLPS GAL GNAO1 GNG4 PTGDR2 RBP1 RGS9 SSTR1					AGT PDE6B								AGT GAL PTGDR2 RGS4 RGS5 SSTR1	CAMK2B GABBR2 RGS16 RGS5 RGS9 SSTR1 SSTR2	GAL GNG4 PDE6B PTGDR2 RGS16 RGS5 SSTR1	AGT GABBR2 GAL GNAO1 GNG4 PTGDR2 RBP1 RGS16		AGT CAMK2B CLPS GAL GNAO1 GPC2 PDE6B SSTR2		CAMK2B CLPS GABBR2 GAL GNAO1 GNG4 PDE6B RBP1 RGS4 RGS9 SSTR2		CAMK2B GAL GPC2 PTGDR2 RGS9	AGT CAMK2B CLPS GAL GNAO1 GNG4 PDE6B RBP1 RGS16 RGS9			GABBR2 GNAO1 PDE6B PTGDR2 RGS9	GABBR2 GPC2 PTGDR2 RBP1 RGS16 RGS4			CAMK2B GABBR2 GNG4 PTGDR2 RBP1 RGS5 RGS9 SSTR1			CAMK2B GABBR2 GNAO1 GNG4 PTGDR2 RGS9 SSTR1	GABBR2 GPC2 RBP1 RGS5 RGS9 SSTR2	AGT GABBR2 GAL GNAO1 GNG4 PTGDR2 RGS5	CLPS GABBR2 GNAO1 GNG4 PDE6B PTGDR2 RBP1 RGS16 RGS5 RGS9 SSTR1	CAMK2B GNG4 PTGDR2					GAL GNG4 RGS9
REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS						ARHGEF25 RGS4			FFAR2 GNG4 RGS16 RGS4 RGS5														AGT FFAR2 RGS4 RGS5		FFAR2 GNG4 RGS16 RGS5								AGT ARHGEF25 GNG4 RGS16	AGT FFAR2											AGT FFAR2 GNG4 RGS5							
REACTOME_G_ALPHA_Z_SIGNALLING_EVENTS		GNG4 RGS16							GNG4 RGS16 RGS4																GNG4 RGS16	GNG4 RGS16				GNG4 RGS4			GNG4 RGS16				RGS16 RGS4									GNG4 RGS16						
REACTOME_G_PROTEIN_ACTIVATION									GNAO1 GNG4	GNAO1 GNG4																GNAO1 GNG4				GNAO1 GNG4			GNAO1 GNG4										GNAO1 GNG4		GNAO1 GNG4	GNAO1 GNG4						
REACTOME_G_PROTEIN_MEDIATED_EVENTS									CAMK2B GNAO1																			CAMK2B GNAO1		CAMK2B GNAO1			CAMK2B GNAO1										CAMK2B GNAO1									
REACTOME_HCMV_EARLY_EVENTS																		DYNC1I1 TUBB4A											DYNC1I1 TUBB4A						TUBA1A TUBB3 TUBB4A					TUBA1A TUBB3 TUBB4A						DYNC1I1 TUBA1A TUBB3 TUBB4A						
REACTOME_HCMV_INFECTION																		DYNC1I1 TUBB4A																	TUBA1A TUBB3 TUBB4A					TUBA1A TUBB3 TUBB4A						DYNC1I1 TUBA1A TUBB3 TUBB4A						
REACTOME_HEDGEHOG_OFF_STATE																																			TUBA1A TUBB3 TUBB4A					TUBA1A TUBB3 TUBB4A						TUBA1A TUBB3 TUBB4A						
REACTOME_HEMOSTASIS		GNG4 JAM3 KIF1A PLCG2 SPARC TUBA1A								GNG4 KIF19 P2RX6 SCG3 SPARC TUBA1A TUBB3														CD99L2 DOCK8 JAM3 PLCG2 SCG3 SPARC TUBA1A																GNG4 JAM3 KIF1A PDE2A TUBA1A TUBB3 TUBB4A							DOCK8 GNG4 PLCG2 TUBB4A					
REACTOME_HIGHLY_CALCIUM_PERMEABLE_NICOTINIC_ACETYLCHOLINE_RECEPTORS				CHRNA3 CHRNB2					CHRNA1 CHRNA3 CHRNB2	CHRNA1 CHRNB2															CHRNA1 CHRNB2			CHRNA1 CHRNA3					CHRNA3 CHRNB2											CHRNA1 CHRNB2								
REACTOME_HIGHLY_CALCIUM_PERMEABLE_POSTSYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS				CHRNA3 CHRNB2					CHRNA1 CHRNA3 CHRNB2	CHRNA1 CHRNB2															CHRNA1 CHRNB2			CHRNA1 CHRNA3					CHRNA3 CHRNB2											CHRNA1 CHRNB2								
REACTOME_HIGHLY_SODIUM_PERMEABLE_POSTSYNAPTIC_ACETYLCHOLINE_NICOTINIC_RECEPTORS				CHRNA3 CHRNB2					CHRNA3 CHRNB2																								CHRNA3 CHRNB2																			
REACTOME_HSF1_DEPENDENT_TRANSACTIVATION									CAMK2B HSPA2															CAMK2B HSPA2				CAMK2B HSPA2					CAMK2B HSPA2										CAMK2B HSPA2									
REACTOME_HSP90_CHAPERONE_CYCLE_FOR_STEROID_HORMONE_RECEPTORS_SHR_	HSPA2 TUBB3								DYNC1I1 HSPA2 TUBA1A	HSPA2 TUBA1A TUBB3								DYNC1I1 TUBB4A		DYNC1I1 HSPA2			HSPA2 TUBA1A	HSPA2 TUBA1A	DYNC1I1 TUBB3			DYNC1I1 HSPA2 TUBB4A	DYNC1I1 HSPA2 TUBB4A						TUBA1A TUBB3 TUBB4A		DYNC1I1 TUBB3			TUBA1A TUBB3 TUBB4A			DYNC1I1 HSPA2 TUBB3	HSPA2 TUBB3	DYNC1I1 HSPA2 TUBB3	DYNC1I1 HSPA2 TUBA1A TUBB3 TUBB4A						
REACTOME_INFECTIOUS_DISEASE					ADORA2A DPEP1 IGHG1 TUBB4A										ADORA2A NOXO1 TUBB4A		ADORA2A IGHG1																																DYNC1I1 NOXO1			
REACTOME_INSULIN_PROCESSING													CPE PCSK1										CPE PCSK1													CPE PCSK1							CPE PCSK1		CPE PCSK1							
REACTOME_INTEGRATION_OF_ENERGY_METABOLISM		ABCC8 GNG4 SYT5	ABCC8 KCNJ11 SYT5	ABCC8 KCNJ11					ABCC8 GNG4 SYT5	ABCC8 GNG4 SYT5													ABCC8 SYT5		GNG4 KCNJ11 SYT5	GNG4 KCNJ11 SYT5														GNG4 KCNJ11 SYT5			ABCC8 GNG4 KCNJ11 SYT5				ABCC8 GNG4				KCNJ11 SYT5	ABCC8 GNG4
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS		COL16A1 JAM3																						COL16A1 JAM3		COL16A1 JAM3																										
REACTOME_INTERACTION_BETWEEN_L1_AND_ANKYRINS									SCN1B SCN3A																																											
REACTOME_INTERFERON_GAMMA_SIGNALING																																CAMK2B SOCS1																				
REACTOME_INTRAFLAGELLAR_TRANSPORT										TUBA1A TUBB3																									TUBA1A TUBB3 TUBB4A					TUBA1A TUBB3 TUBB4A						TUBA1A TUBB3 TUBB4A						
REACTOME_INTRA_GOLGI_AND_RETROGRADE_GOLGI_TO_ER_TRAFFIC																		DYNC1I1 TUBB4A																	TUBA1A TUBB3 TUBB4A					KIF1A TUBA1A TUBB3 TUBB4A						DYNC1I1 TUBA1A TUBB3 TUBB4A						
REACTOME_INWARDLY_RECTIFYING_K_CHANNELS		ABCC8 GNG4	ABCC8 GABBR2 KCNJ11	ABCC8 KCNJ11					ABCC8 GNG4	ABCC8 GNG4														ABCC8 GABBR2	GNG4 KCNJ11	GABBR2 GNG4 KCNJ11		ABCC8 KCNJ11		ABCC8 GABBR2 GNG4						GABBR2 KCNJ11				GABBR2 GNG4 KCNJ11			ABCC8 GABBR2 GNG4 KCNJ11		GABBR2 GNG4	GABBR2 GNG4	ABCC8 GNG4					ABCC8 GNG4
REACTOME_ION_HOMEOSTASIS			CAMK2B KCNJ11	CAMK2B KCNJ11																								CAMK2B KCNJ11												CAMK2B KCNJ11			CAMK2B KCNJ11									
REACTOME_ION_TRANSPORT_BY_P_TYPE_ATPASES									ATP13A4 CAMK2B																								ATP13A4 CAMK2B							ATP13A4 CAMK2B												
REACTOME_KINESINS		KIF1A TUBA1A		KIF19 TUBB4A						KIF19 TUBA1A TUBB3																		KIF19 TUBB4A							TUBA1A TUBB3 TUBB4A					KIF1A TUBA1A TUBB3 TUBB4A			KIF19 TUBB3	KIF19 TUBB3		TUBA1A TUBB3 TUBB4A						
REACTOME_L1CAM_INTERACTIONS				SCN1B TUBB4A					SCN1B SCN3A TUBA1A																										TUBA1A TUBB3 TUBB4A					TUBA1A TUBB3 TUBB4A						TUBA1A TUBB3 TUBB4A						
REACTOME_LEISHMANIA_INFECTION					ADORA2A DPEP1 IGHG1	ADORA2A DPEP1									ADORA2A NOXO1	IGHG1 NOXO1	ADORA2A IGHG1																														GNG4 IGHG1 PLCG2					
REACTOME_MAPK6_MAPK4_SIGNALING																																								MAPK4 MMP2												
REACTOME_MEMBRANE_TRAFFICKING																		DYNC1I1 TUBB4A									KIF1A RAB39B								CNIH2 TUBA1A TUBB3 TUBB4A																	
REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES																					ASRGL1 BHMT										ASRGL1 BHMT					ASRGL1 NNMT QDPR		BHMT NNMT														
REACTOME_METABOLISM_OF_CARBOHYDRATES																													AKR1B1 GPC2 PPP1R3C PRELP																							
REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS										CLPS RBP1																		CLPS GPC2	CLPS GPC2	CLPS RBP1			CLPS RBP1				GPC2 RBP1							GPC2 RBP1		CLPS RBP1						
REACTOME_METABOLISM_OF_NUCLEOTIDES				AK5 AMPD3								AK5 AMPD3											AK5 AMPD3														AK5 AMPD3					AK5 AMPD3			AK5 AMPD3							
REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS										CLPS ENPP2 NNMT RBP1																				CLPS ENPP2 NNMT RBP1																						
REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION																		DYNC1I1 TUBB4A											DYNC1I1 TUBB4A						TUBA1A TUBB3 TUBB4A		DYNC1I1 TUBB3			TUBA1A TUBB3 TUBB4A						DYNC1I1 TUBA1A TUBB3 TUBB4A						
REACTOME_MITOTIC_G2_G2_M_PHASES																																			TUBA1A TUBB3 TUBB4A					TUBA1A TUBB3 TUBB4A												
REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE																		DYNC1I1 TUBB4A																	TUBA1A TUBB3 TUBB4A											DYNC1I1 TUBA1A TUBB3 TUBB4A						
REACTOME_MITOTIC_PROMETAPHASE																		DYNC1I1 TUBB4A																	TUBA1A TUBB3 TUBB4A					TUBA1A TUBB3 TUBB4A						DYNC1I1 TUBA1A TUBB3 TUBB4A						
REACTOME_MUSCLE_CONTRACTION			CAMK2B KCNJ11 SCN3A	ACTN3 CAMK2B KCNJ11 SCN1B					ACTN3 CAMK2B SCN1B SCN3A													KCNK3 SCN3A		ACTN3 CAMK2B KCNK3 TMOD1	CACNG4 KCNJ11 KCNK3 TMOD1	CACNG4 KCNJ11 KCNK3 TMOD1		CAMK2B KCNJ11 KCNK3 TMOD1		CACNG4 CAMK2B KCNK3 SCN3A		ACTN3 CAMK2B KCNK3 SCN1B					ACTN3 KCNK3 TMOD1			CACNG4 CAMK2B KCNJ11 MYBPC2			CAMK2B KCNJ11 KCNK3 SCN1B								KCNJ11 KCNK3 SCN1B TMOD1	
REACTOME_M_PHASE																		DYNC1I1 TUBB4A																	TUBA1A TUBB3 TUBB4A																	
REACTOME_NCAM1_INTERACTIONS																																	CACNA1H GFRA1																			
REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH																																	CACNA1H GFRA1																			
REACTOME_NEGATIVE_REGULATION_OF_TCF_DEPENDENT_SIGNALING_BY_WNT_LIGAND_ANTAGONISTS		SFRP1 WIF1 WNT9A							SFRP1 WNT9A															SFRP1 WIF1	SFRP1 WIF1			WIF1 WNT9A	WIF1 WNT9A															WIF1 WNT9A								SFRP1 WNT9A
REACTOME_NERVOUS_SYSTEM_DEVELOPMENT	CACNA1H DPYSL3 DPYSL4 TUBB3																	EPHB3 GFRA1 TUBB4A						DPYSL3 DSCAML1 EPHB3 MMP2 MSI1 PMP22 TUBA1A																CACNA1H MMP2 MSI1 TUBA1A TUBB3 TUBB4A			DPYSL3 DSCAML1 EPHB3 MSI1 PMP22 SCN1B TUBB3	DPYSL3 DPYSL4 DSCAML1 EPHB3 GFRA1 MSI1 PMP22 TUBB3								
REACTOME_NEURONAL_SYSTEM		ABCC8 CHRNA1 CPLX1 GNG4 SLC1A2 SLITRK6 TUBA1A	ABCC8 CAMK2B CHRNB2 GABBR2 KCNJ11	ABCC8 CAMK2B CHRNA3 CHRNB2 KCNF1 KCNJ11 SLC1A2 TUBB4A		CHRNA3 LRFN1		ABCC8 TUBB4A	ABCC8 CAMK2B CHRNA1 CHRNA3 CHRNB2 GNG4 KCNF1 KCNH6 SLITRK6 TUBA1A	ABCC8 CHRNA1 CHRNB2 GNG4 KCNH6 SLITRK6 TUBA1A TUBB3	CHRNB2 GABBR2 SLC1A2	CPLX1 GABBR2 SLITRK6	ABCC8 KCNH6 KCNK3 SLC1A2		KCNF1 TUBB4A			CHRNA3 TUBB4A			CAMK2B CPLX1			ABCC8 CAMK2B CHRNA1 CPLX1 GABBR2 KCNK3 TUBA1A	CACNG4 CHRNA1 CHRNB2 CPLX1 GNG4 KCNH6 KCNJ11 KCNK3 SLC1A2 SLITRK6 TUBB3	CACNG4 CPLX1 GABBR2 GNG4 KCNH6 KCNJ11 KCNK3		ABCC8 CAMK2B CHRNA1 CHRNA3 CPLX1 KCNF1 KCNJ11 KCNK3 SLC1A2 TUBB4A	CHRNA1 KCNK3 SLC1A2 TUBB4A	ABCC8 CACNG4 CAMK2B CHRNA1 CPLX1 GABBR2 GNG4 KCNK3 SLC1A2			CAMK2B CHRNA3 CHRNB2 CPLX1 GNG4 KCNH6 KCNK3 LRFN1		CHRNA3 KCNJ11 TUBA1A TUBB3 TUBB4A	CHRNB2 CPLX1 GABBR2 KCNJ11 LRFN1	CHRNA3 CPLX1 GABBR2 KCNK3 SLC1A2 TUBB3	CPLX1 SLITRK6		CACNG4 CAMK2B CHRNA3 GABBR2 GNG4 KCNH6 KCNJ11 TUBA1A TUBB3 TUBB4A			ABCC8 CAMK2B CHRNA1 CPLX1 GABBR2 GNG4 KCNF1 KCNH6 KCNJ11 KCNK3 SLC1A2 TUBB3	CHRNA1 CHRNB2 GABBR2 KCNF1 KCNK3 LRFN1 SLC1A2 TUBB3		CACNG4 CHRNB2 CPLX1 GABBR2 GNG4 LRFN1 TUBA1A TUBB3 TUBB4A	ABCC8 CAMK2B CHRNA3 GNG4 LRFN1 TUBB4A				KCNH6 KCNJ11 KCNK3	ABCC8 CHRNA1 GNG4
REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION		CHRNA1 GNG4 TUBA1A	CAMK2B CHRNB2 GABBR2	CAMK2B CHRNA3 CHRNB2 TUBB4A					CAMK2B CHRNA1 CHRNA3 CHRNB2 GNG4 TUBA1A	CHRNA1 CHRNB2 GNG4 TUBA1A TUBB3	CHRNB2 GABBR2							CHRNA3 TUBB4A						CAMK2B CHRNA1 GABBR2 TUBA1A	CACNG4 CHRNA1 CHRNB2 GNG4 TUBB3			CAMK2B CHRNA1 CHRNA3 TUBB4A		CACNG4 CAMK2B CHRNA1 GABBR2 GNG4			CAMK2B CHRNA3 CHRNB2 GNG4		CHRNA3 TUBA1A TUBB3 TUBB4A		CHRNA3 GABBR2 TUBB3			CACNG4 CAMK2B CHRNA3 GABBR2 GNG4 TUBA1A TUBB3 TUBB4A			CAMK2B CHRNA1 GABBR2 GNG4 TUBB3	CHRNA1 CHRNB2 GABBR2 TUBB3	GABBR2 GNG4 TUBB3	CACNG4 CHRNB2 GABBR2 GNG4 TUBA1A TUBB3 TUBB4A	CAMK2B CHRNA3 GNG4 TUBB4A					CHRNA1 GNG4
REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE		CPLX1 SLC1A2																							CPLX1 SLC1A2			CPLX1 SLC1A2		CPLX1 SLC1A2							CPLX1 SLC1A2						CPLX1 SLC1A2									
REACTOME_NEUTROPHIL_DEGRANULATION																																																		AMPD3 ARHGAP9 CRISPLD2		
REACTOME_NGF_INDEPENDANT_TRKA_ACTIVATION																																													ADORA2A NTRK1							
REACTOME_NOTCH2_ACTIVATION_AND_TRANSMISSION_OF_SIGNAL_TO_THE_NUCLEUS				DLL1 DLL4																								DLL4 MDK					DLL4 MDK											DLL1 DLL4	DLL4 MDK	DLL1 DLL4					DLL1 MDK	
REACTOME_NOTCH3_ACTIVATION_AND_TRANSMISSION_OF_SIGNAL_TO_THE_NUCLEUS				DLL1 DLL4																																								DLL1 DLL4		DLL1 DLL4						
REACTOME_NUCLEAR_ENVELOPE_NE_REASSEMBLY										TUBA1A TUBB3																									TUBA1A TUBB3 TUBB4A					TUBA1A TUBB3 TUBB4A						TUBA1A TUBB3 TUBB4A						
REACTOME_OPIOID_SIGNALLING									CAMK2B GNAO1 GNG4	GNAO1 GNG4																GNAO1 GNG4				CAMK2B GNAO1 GNG4			CAMK2B GNAO1 GNG4							CAMK2B GNG4			CAMK2B GNAO1 GNG4		GNAO1 GNG4		CAMK2B GNG4					
REACTOME_ORGANELLE_BIOGENESIS_AND_MAINTENANCE																																			TUBA1A TUBB3 TUBB4A																	
REACTOME_O_GLYCOSYLATION_OF_TSR_DOMAIN_CONTAINING_PROTEINS																									ADAMTSL2 SPON2			ADAMTSL2 SPON2				ADAMTSL2 SPON2																				
REACTOME_O_LINKED_GLYCOSYLATION																									ADAMTSL2 MUC15 SPON2							ADAMTSL2 SPON2																				
REACTOME_PEPTIDE_HORMONE_METABOLISM													AGT CPE PCSK1										AGT CPE PCSK1			AGT CPE								AGT CPE		CPE PCSK1									AGT CPE PCSK1							
REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS																						GAL SSTR1	AGT GAL SSTR1																													
REACTOME_PHASE_0_RAPID_DEPOLARISATION			CAMK2B SCN3A	CAMK2B SCN1B					CAMK2B SCN1B SCN3A																					CACNG4 CAMK2B SCN3A		CAMK2B SCN1B								CACNG4 CAMK2B			CAMK2B SCN1B									
