	ARX	E2F7	FEV	FOXD4L5	HIC1	MAFA	MAFB	PBX3	SOX4	TFCP2L1	ZNF519	ZNF846
GO_NEURON_DIFFERENTIATION	ACTL6B BRSK2 C1QL1 CAMK2B GAP43 GFRA3 PMP22 SEZ6 SNAP25 SPP1 SRCIN1 SYN1 TUBB2B	BRSK1 BRSK2 C1QL1 CDK5R1 DPYSL4 DSCAML1 ID4 MAP2 MAP6 NR4A3 PSD RASAL1 RTN4RL1 SLC12A5 SNAP25 SYN1	AGT CABP4 CCDC88A CDHR1 CNR1 DOK6 EPHA8 ETV1 FEV GFRA1 GFRA3 GPC2 HECW2 ID4 ISLR2 JAM3 KIF5A LGR6 MAP1A MAP1B NEUROD2 NR4A3 PAX6 PLXNC1 PSD RET SAMD14 SCN1B SFRP1 SRCIN1	ACTL6B ADCY1 BCL2 CRMP1 DRD2 EPHA4 EPHB3 GABRB3 GAP43 GFRA1 HECW2 INSM1 LGR6 NKD1 PTCH1 TENM2 UNC13A VSTM2L		CABP4 EFNB3 FEV GDF11 GFRA3 LGR6 MCOLN3 NEGR1 NKD1 NPY PAX6 PMP22 PROX1 PTCH1 ROBO1 RTN4RL1 TENM2 TMEFF1 VASH2	CABP4 DLL1 EPHB3 GDF11 NKD1 RASAL1 RNF157 SFRP1 SRCIN1 TP73 WNT9A	ADORA2A BRSK1 ISL1 KIF1A NDRG4 NPY RNF157 SNAP25 SPTBN4	AGT BOC BRSK1 CCDC88A CEND1 CHL1 DOK6 DRD2 EFNB3 ETV1 FEV GAP43 ID4 ISL1 JAM3 KIF5A LMX1A MAP1A MAP1B MAP2 MAP6 MCOLN3 MDK NDRG4 NEUROD2 NFASC PSD RASAL1 RET SAMD14 SCN1B SEZ6 SLC12A5 SNAP25 SPP1 SPTBN4 SRCIN1 TUBB2B UCHL1	ADORA2A AGT ASCL2 BRSK1 C1QL1 CABP4 CEND1 DSCAML1 ETV1 GHRL GPC2 ID4 ISL1 JAM3 MAP6 MDK NDRG4 NEUROD1 PMP22 PRKD1 RASAL1 SDK2 SEZ6 STMN3 SYN1 UCHL1 USH1G	C1QL1 CNR1 CSF1R NEGR1 NKD1 RAP1GAP2 SPTBN4 STMN3 STXBP1 WNT9A	AGT ATOH8 CAMK2B EFNB3 LZTS1 MAP1A MAP6 MDK RET SCN1B SEZ6 TMEFF1
GO_NEURON_PROJECTION	BRSK2 C1QL1 CAMK2B CHRM4 DLG2 GAP43 IGSF9B KCNB2 KCNJ2 MPP2 MX1 MX2 PRKCG S100A1 SEZ6 SLC18A1 SLC8A1 SNAP25 SRCIN1 STX1A SV2B SYN1 UCN3	AP3B2 BRSK1 BRSK2 C1QL1 CACNA1C CADM2 CDK5R1 CDK5R2 CNGA3 CNIH2 DLG2 DNER DSCAML1 GCH1 KCNIP3 KCNJ11 MAP2 MAP6 MX1 PSD RGS17 SLC12A5 SNAP25 SYN1 SYP	ANK2 BSN CABP4 CACNA1C CDHR1 CERKL CHRM4 CNGA3 CNR1 CPLX2 EPHA8 FRMPD4 KCNB2 KCNJ2 KIF5A MAP1A MAP1B NEFM PCSK2 PRKCG PSD PTPRN RET SAMD14 SCN1B SLC8A1 SRCIN1 SSTR3 SV2A SV2B SYP TMOD2 UCN3	ATP1A3 BAALC BRS3 CERKL CRMP1 CTTNBP2 DRD2 EPHA4 EPHB3 GABBR2 GABRB3 GAP43 NEFM PTCH1 TENM2 TMOD2 UCN3 UNC13A VSTM2L	AP3B2 CABP4 DNER MAP6 PRKCG SH2D3C SSTR1 STX1A STXBP1 SYT5	CABP4 CACNA1C CTTNBP2 PCSK1 PTCH1 PTPRN ROBO1 SV2B TENM2	CABP4 CPT1C DDN EPHB3 IGSF9B INSRR MAPK10 MX1 SRCIN1	ADORA2A BAALC BASP1 BRSK1 CDK5R2 DDN DLG2 GRIK5 KIF1A RGS17 SNAP25 SORCS2 SPTBN4	ADCY2 ANK2 ATP1A3 BAALC BASP1 BOC BRS3 BRSK1 BSN CACNA1C CDK5R2 CERKL CHL1 CNIH2 CPLX2 DLG2 DNER DRD2 FRMPD4 GAP43 GNAO1 GRIK5 KCNB2 KCNIP3 KIF5A MAP1A MAP1B MAP2 MAP6 MAPK10 MPP2 NEFM NFASC PALMD PCSK1 PCSK2 PSD RET S100A1 SAMD14 SCGN SCN1B SEZ6 SLC12A5 SLC18A1 SNAP25 SPTBN4 SRCIN1 STX1A SV2A SV2B SYP UCHL1 UCN3 VCAN	ADCY2 ADORA2A BAALC BRSK1 C1QL1 CABP4 CACNA1C CDK5R2 CNGA3 DLG2 DSCAML1 GCH1 GHRL IGSF9B INSRR MAP6 MPP2 PCSK1 PCSK2 PTPRN RD3 SEZ6 STMN3 SYN1 UCHL1 USH1G	ATP1A3 C1QL1 CDK5R2 CHRM4 CNR1 CPLX2 GRIK5 RAP1GAP2 SH2D3C SPTBN4 SSTR3 STMN3 STXBP1 SYP	BRS3 CAMK2B CNIH2 CPT1C DDN KCNJ11 LZTS1 MAP1A MAP6 MAPK8IP1 MPP2 RET S100A1 SCGN SCN1B SEZ6 SYP
GO_NEURON_TO_NEURON_SYNAPSE	DLG2 GAP43 IGSF9B MPP2 MX1 MX2 PRKCG SLC8A1 SRCIN1 STX1A SYN1	CACNA1C CDK5R1 CNIH2 DLG2 LIN7A LRFN1 MAP2 MX1 PSD RAPGEF4 SYN1	BSN CACNA1C FRMPD4 MAP1B PRKCG PSD SAMD14 SLC8A1 SRCIN1	ADCY1 ADD2 ATP1A3 BAALC DRD2 EPHA4 GAP43 PTCH1 RGS9	ADCY1 PRKCG STX1A		IGSF9B MX1 SRCIN1	ADORA2A BAALC DLG2 GRIK5 LIN7A SORCS2	ATP1A3 BAALC BSN CACNA1C CNIH2 DLG2 DRD2 EFNB3 FRMPD4 GAP43 GRIK5 LRRTM3 MAP1B MAP2 MPP2 PSD SAMD14 SRCIN1 STX1A	ADORA2A BAALC CACNA1C DLG2 IGSF9B MPP2 SYN1		CNIH2 EFNB3 ITPR1 LRFN1 LZTS1 MPP2
GO_PERIKARYON	DLG2 GAP43 KCNB2 TRPM2	CACNA1C CDK5R1 CNGA3 DLG2 RTN4RL1	CACNA1C CNGA3 CPLX2 KCNB2 KIF5A MAP1B PCSK2 PTPRN SCN1B	CRMP1 DRD2 EPHA4 GAP43 TRPM2		CACNA1C PTPRN RTN4RL1	DDN MAPK10	DDN DLG2 GRIK5 SORCS2	CACNA1C CPLX2 DLG2 DRD2 GAP43 GRIK5 KCNB2 KIF5A MAP1B MAPK10 PCSK2 SCN1B	CACNA1C CNGA3 DLG2 PCSK2 PTPRN	CPLX2 GRIK5	
GO_PERINUCLEAR_REGION_OF_CYTOPLASM	BRSK2 CABP7 FMN2 MX1 PRKCG SEZ6 SNAP25 SPP1 TPPP3	ANKRD13B BRSK2 CDK5R1 EML1 MAP6 MX1 PDE2A SNAP25 SYP TTBK1		APLN CERKL EML1 PTCH1 RAB3C STK33	CHGA MAP6 PRKCG STXBP1 SYT5	APLP1 CHGA LRAT PTCH1 ROS1			AKR1B1 APLP1 CERKL CHGA FMN2 HCN4 KIF5A LRAT MAP1B MAP6 RAB3C SEZ6 SNAP25 SPP1 STK33 SYP TPPP3	AKR1B1 EML1 KCNH2 LRAT MAP6 RD3 SEZ6 TPPP3		AKR1B1 ANKRD13B APLN APLP1 HCN4 ITPR1 KCNH2 LRAT MAP6 MAPK8IP1 PDE2A SEZ6 STK33 SYP TPPP3
GO_PLASMA_MEMBRANE_PROTEIN_COMPLEX	DCHS1 DLG2 KCNB2 KCNJ2 SNAP25 STX1A	CACNA1C CDHR3 CNIH2 DLG2 ITGBL1 KCNG1 KCNIP3 KCNJ11 LIN7A SNAP25						DLG2 GNG4 GRIK5 ITGA7 LIN7A SNAP25	ABCC8 ATP1A3 CACNA1A CACNA1C CDHR3 CNIH2 DLG2 DPP10 GNAO1 GNG2 GNG4 GRIK5 HCN4 ITGA7 ITGBL1 KCNB2 KCNIP3 KCNMA1 KCNMB2 RET SCN1B SGCD SNAP25 STX1A			CDH22 CNIH2 CPT1C HCN4 KCNH2 KCNJ11 RET SCN1B
GO_POSTSYNAPSE	CHRM4 DLG2 GAP43 IGSF21 IGSF9B KCNJ2 MPP2 MX1 MX2 PRKCG SEZ6 SLC8A1 SNAP25 SRCIN1 STX1A SYN1	CACNA1C CDK5R1 CNIH2 DLG2 LIN7A LRFN1 MAP2 MX1 PSD SNAP25 SYN1	ANK2 BSN CACNA1C CALY CHRM4 CPLX2 FRMPD4 KCNJ2 MAP1B PCDH17 PRKCG PSD SAMD14 SLC6A17 SLC8A1 SRCIN1	ADCY1 ADD2 BAALC CTTNBP2 DRD2 EPHA4 GABBR2 GABRB3 GAP43 IGSF21 PTCH1 RGS9 TENM2	ADCY1 PRKCG STX1A STXBP1	CACNA1C CTTNBP2 EFNB3 PTCH1 TENM2	CPT1C DDN IGSF9B MX1 SRCIN1	ADORA2A BAALC DDN DLG2 GRIK5 KIF1A LIN7A SNAP25 SORCS2	ANK2 BAALC BSN CACNA1C CNIH2 CPLX2 DLG2 DRD2 EFNB3 FRMPD4 GAP43 GRIK5 IGSF21 KCNMA1 LRRTM3 MAP1B MAP2 MPP2 PALMD PSD SAMD14 SEZ6 SNAP25 SRCIN1 STX1A	ADORA2A BAALC CACNA1C CALY DLG2 GHRL IGSF9B MPP2 SEZ6 SYN1	CHRM4 CPLX2 GRIK5 STXBP1	CNIH2 CPT1C DDN EFNB3 ITPR1 LRFN1 LZTS1 MPP2 SEZ6
GO_POTASSIUM_CHANNEL_ACTIVITY	KCNB2 KCNJ2 KCNK17 SNAP25	KCNG1 KCNH8 KCNIP3 KCNJ11 SNAP25	KCNB2 KCNH8 KCNJ2 KCNK17					GRIK5 SNAP25	ABCC8 GRIK5 HCN4 KCNB2 KCNH3 KCNH6 KCNIP3 KCNMA1 KCNMB2 SNAP25	KCNH2 KCNJ6 KCNK3	GRIK5 KCNG1	HCN4 KCNH2 KCNJ11
GO_POTASSIUM_CHANNEL_COMPLEX	DLG2 KCNB2 KCNJ2 SNAP25 STX1A	DLG2 KCNG1 KCNIP3 KCNJ11 SNAP25						DLG2 GRIK5 SNAP25	ABCC8 DLG2 DPP10 GRIK5 HCN4 KCNB2 KCNIP3 KCNMA1 KCNMB2 SNAP25 STX1A	DLG2 KCNH2 KCNJ6	GRIK5 KCNG1	HCN4 KCNH2 KCNJ11
GO_POTASSIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	KCNB2 KCNJ2 KCNK17 SNAP25	KCNG1 KCNH8 KCNIP3 KCNJ11 SLC12A5 SNAP25	KCNB2 KCNH8 KCNJ2 KCNK17					GRIK5 SNAP25	ABCC8 ATP1A3 GRIK5 HCN4 KCNB2 KCNH3 KCNH6 KCNIP3 KCNMA1 KCNMB2 SLC12A5 SNAP25	KCNH2 KCNJ6 KCNK3	ATP1A3 GRIK5 KCNG1	HCN4 KCNH2 KCNJ11
GO_POTASSIUM_ION_TRANSPORT	KCNB2 KCNJ2 KCNK17 RGS4 SNAP25	KCNG1 KCNH8 KCNIP3 KCNJ11 SLC12A5 SNAP25 WNK3	ANK2 KCNB2 KCNH8 KCNJ2 KCNK17 RGS4 WNK3	ATP1A3 DRD2 KCNK3					ABCC8 ANK2 ATP1A3 DPP10 DRD2 HCN4 KCNB2 KCNH3 KCNH6 KCNIP3 KCNMA1 KCNMB2 RGS4 SLC12A5 SNAP25		ATP1A3 KCNG1	HCN4 KCNH2 KCNJ11
GO_PRESYNAPSE	C1QL1 IGSF21 MX1 MX2 PRKCG SLC18A1 SLC8A1 SNAP25 SRCIN1 STX1A SV2B SYN1 UCN3	ATP6V1B1 BAIAP3 BRSK1 C1QL1 CDK5R1 KCNIP3 LIN7A MX1 PDE2A SNAP25 SVOP SYN1 SYP	BAIAP3 BSN CABP4 CACNB2 CNR1 CPLX2 PCDH17 PDE2A PRKCG PTPRN SLC6A17 SLC8A1 SRCIN1 SV2A SV2B SVOP SYP UCN3	CTTNBP2 DRD2 EPHA4 IGSF21 RAB3C UCN3 UNC13A	CABP4 PRKCG STX1A STXBP1 SYT5	ATP6V1B1 CABP4 CTTNBP2 EFNB3 PTPRN SV2B	CABP4 CADPS MX1 SRCIN1	ADORA2A AMPH BRSK1 GRIK5 KIF1A LIN7A SNAP25	AMPH BAIAP3 BRSK1 BSN CPLX2 DRD2 EFNB3 GRIK5 IGSF21 KCNIP3 RAB26 RAB3C SCGN SLC18A1 SNAP25 SRCIN1 STX1A SV2A SV2B SVOP SYP UCN3	ADORA2A BAIAP3 BRSK1 C1QL1 CABP4 PTPRN RAB26 SVOP SYN1	C1QL1 CNR1 CPLX2 GRIK5 STXBP1 SYP	ATP6V1B1 EFNB3 PDE2A SCGN SYP
GO_REGULATION_OF_BLOOD_CIRCULATION	KCNJ2 RGS4 S100A1 SLC8A1	CACNA1C GCH1 KCNIP3 KCNJ11	AGT ANK2 AVPR1B CACNA1C CACNB2 KCNJ2 RGS4 SCN1B SLC8A1	APLN ATP1A3 DRD2 KCNK3					AGT ANK2 ATP1A3 CACNA1C CHGA DRD2 GNAO1 HCN4 KCNH6 KCNIP3 KCNMB2 RGS4 S100A1 SCN1B SPTBN4	AGT AVPR1B CACNA1C GCH1 GHRL KCNH2 KCNK3		AGT APLN HCN4 ITPR1 KCNH2 KCNJ11 S100A1 SCN1B
GO_REGULATION_OF_HEART_RATE	KCNJ2 RGS4 SLC8A1	CACNA1C GCH1	AGT ANK2 CACNA1C CACNB2 KCNJ2 RGS4 SCN1B SLC8A1						AGT ANK2 CACNA1C DRD2 HCN4 KCNH6 RGS4 SCN1B SPTBN4	AGT CACNA1C GCH1 KCNH2		AGT HCN4 KCNH2 SCN1B
GO_REGULATION_OF_HORMONE_LEVELS	BRSK2 CHST8 ILDR2 SNAP25 SPP1 STX1A UCN3	BAIAP3 BRSK2 CACNA1C CHST8 KCNJ11 RAPGEF4 RBP1 RFX6 SNAP25	AGT AKR1B1 BAIAP3 CACNA1C CHST8 CNR1 CPE PCSK2 PTPRN SFRP1 STXBP5L UCN3		CHGA STX1A STXBP5L	CACNA1C CHGA LRAT PCSK1 PTPRN RBP1			ABCC8 AGT AKR1B1 BAIAP3 CACNA1A CACNA1C CHGA DRD2 ISL1 LRAT PCSK1 PCSK1N PCSK2 SNAP25 SPP1 STX1A STXBP5L UCN3 VGF	AGT AKR1B1 BAIAP3 CACNA1C CPE GHRL ISL1 LRAT NEUROD1 PCSK1 PCSK2 PTPRN RFX6 VGF		AGT AKR1B1 APLN ITPR1 KCNJ11 LRAT VGF
GO_REGULATION_OF_MEMBRANE_POTENTIAL	IGSF9B KCNJ2 KCNK17 MPP2 RGS4 SEZ6 SLC8A1 STX1A UCN3		ANK2 CACNA1C CACNB2 CNR1 KCNH8 KCNJ2 KCNK17 MLLT11 RGS4 SCN1B SLC8A1 UCN3	ATP1A3 BCL2 DRD2 GABRB3 KCNK3 UCN3				ADORA2A GRIK5 MLLT11	ANK2 ATP1A3 CACNA1A CACNA1C CNIH2 DRD2 FGF14 GRIK5 HCN4 KCNH3 KCNH6 KCNMA1 KCNMB2 MLLT11 MPP2 RGS4 SCN1B SEZ6 STX1A UCN3	ADORA2A CACNA1C GHRL IGSF9B KCNH2 KCNK3 MLLT11 MPP2 SEZ6	ATP1A3 CNR1 GRIK5	CNIH2 FGF14 HCN4 KCNH2 KCNJ11 MPP2 SCN1B SEZ6
GO_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT	BRSK2 CAMK2B COLQ GAP43 PMP22 SEZ6 SNAP25 SPP1 SRCIN1 TUBB2B	BRSK1 BRSK2 CDK5R1 GPR173 ID4 LRFN1 MAP2 MAP6 RASAL1 RTN4RL1 SNAP25 TTBK1	AGT CCDC88A CNR1 GPC2 GPR173 HECW2 ID4 IGSF10 ISLR2 MAP1B NEUROD2 PAX6 PLXNC1 RET SCN1B SFRP1 SRCIN1	BCL2 CRMP1 DRD2 EPHA4 EPHB3 GAP43 HECW2 IGSF10 UNC13A		COLQ EFNB3 GDF11 NEGR1 PAX6 PMP22 PRKCH PROX1 ROBO1 RTN4RL1	DLL1 EPHB3 GDF11 RASAL1 RNF157 SFRP1 SRCIN1 TP73	BRSK1 ISL1 KIF1A NDRG4 PRKCH RNF157 SNAP25	AGT BRSK1 CCDC88A CEND1 COLQ DRD2 EFNB3 GAP43 GPR173 ID4 IGSF10 ISL1 LMX1A LRRTM3 MAP1B MAP2 MAP6 MDK NDRG4 NEUROD2 RASAL1 RET SCN1B SEZ6 SNAP25 SPP1 SRCIN1 TUBB2B	AGT ASCL2 BRSK1 CEND1 GHRL GPC2 HES6 ID4 ISL1 MAP6 MDK NDRG4 NEUROD1 PMP22 PRKD1 RASAL1 SEZ6		AGT CAMK2B EFNB3 HES6 LRFN1 LZTS1 MAP6 MDK RET SCN1B SEZ6
GO_REGULATION_OF_REGULATED_SECRETORY_PATHWAY	PRKCG STX1A SYN1	BAIAP3 CDK5R2 SYN1 SYP	BAIAP3 CACNB2 CNR1 CPLX2 PRKCG STXBP5L SYP		ADCY1 PRKCG STX1A STXBP1 STXBP5L SYT5			ADORA2A CDK5R2 GRIK5	BAIAP3 CDK5R2 CPLX2 DRD2 GRIK5 STX1A STXBP5L SYP	ADORA2A BAIAP3 CDK5R2 SYN1	CDK5R2 CNR1 CPLX2 GRIK5 STXBP1 SYP	
GO_REGULATION_OF_SYNAPTIC_PLASTICITY	CAMK2B MPP2 SNAP25	BRSK1 SNAP25 SYP	AGT CPLX2 MAP1A MAP1B NEUROD2 SYP	ADCY1 DRD2 EPHA4 UNC13A	ADCY1 STXBP1			ADORA2A BRSK1 SNAP25 SORCS2	AGT BRSK1 CPLX2 DRD2 FGF14 MAP1A MAP1B MPP2 NEUROD2 SCGN SNAP25 SYP VGF	ADORA2A AGT BRSK1 MPP2 VGF	CPLX2 STXBP1 SYP	AGT CAMK2B FGF14 LZTS1 MAP1A MPP2 SCGN SYP VGF
GO_REGULATION_OF_SYNAPTIC_VESICLE_EXOCYTOSIS	PRKCG STX1A SYN1	SYN1 SYP	CACNB2 CNR1 CPLX2 PRKCG STXBP5L SYP	ADCY1 DRD2	ADCY1 PRKCG STX1A STXBP1 STXBP5L			ADORA2A GRIK5	CPLX2 DRD2 GRIK5 STX1A STXBP5L SYP	ADORA2A SYN1	CNR1 CPLX2 GRIK5 STXBP1 SYP	
GO_REGULATION_OF_TRANSPORT	BRSK2 CAMK2B DLG2 ICA1L KCNB2 KCNJ2 KCNK17 MX2 PRKCG RGS4 S100A1 SLC8A1 SNAP25 SPP1 SRCIN1 STX1A SYN1 UCN3	ANKRD13B BAIAP3 BRSK1 BRSK2 CACNA1C CDK5R1 CDK5R2 CNIH2 DLG2 KCNG1 KCNH8 KCNIP3 KCNJ11 MAP2 MYBPC3 NR4A3 RAPGEF4 RFX6 RSAD2 SNAP25 SYN1 SYP WNK3	AGT ANK2 AVPR1B BAIAP3 BSN CACNA1C CACNB2 CALY CLIP3 CNR1 CPLX2 HECW2 KCNB2 KCNH8 KCNJ2 KCNK17 MAP1B NR4A3 PCDH17 PRKCG RGS4 SCN1B SFRP1 SLC8A1 SRCIN1 STXBP5L SV2A SYP UCN3 WNK3	ADCY1 APLN BCL2 CD300LF DRD2 FFAR2 HECW2 MYBPC3 PTCH1 RAB3C RGS9 SLC38A3 UCN3 UNC13A	ADCY1 CHGA PRKCG SLC38A3 STX1A STXBP1 STXBP5L SYT5			ADORA2A BRSK1 CDK5R2 DLG2 GRIK5 ISL1 NDRG4 SNAP25 SPTBN4	ABCC8 AGT ANK2 BAIAP3 BRSK1 BSN CACNA1A CACNA1C CDK5R2 CHGA CLIP3 CNIH2 CPLX2 DLG2 DPP10 DRD2 FGF14 GRIK5 HCN4 ISL1 KCNB2 KCNH3 KCNH6 KCNIP3 KCNMA1 LRAT MAP1B MAP2 NDRG4 RAB26 RAB3C REEP2 RGS4 S100A1 SCN1B SNAP25 SPP1 SPTBN4 SRCIN1 STX1A STXBP5L SV2A SYP TFF2 UCN3	ADORA2A AGT AVPR1B BAIAP3 BRSK1 CACNA1C CALY CDK5R2 CLIP3 DLG2 GHRL ISL1 KCNH2 KCNJ6 LRAT NDRG4 NEUROD1 NKAIN1 PLCG2 PRKD1 RAB26 RFX6 SYN1	CDK5R2 CNR1 CPLX2 CSF1R GRIK5 KCNG1 REEP2 SPTBN4 STXBP1 SYP	AGT ANKRD13B APLN CAMK2B CLIP3 CNIH2 FGF14 HCN4 ITPR1 KCNH2 KCNJ11 LRAT S100A1 SCN1B SYP
GO_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING	CAMK2B IGSF9B MPP2 PRKCG RGS4 SNAP25 STX1A SYN1 TUBB2B	BAIAP3 BRSK1 CNIH2 PLCL1 SNAP25 SYN1 SYP	AGT BAIAP3 CACNB2 CNR1 CPLX2 MAP1A MAP1B NEUROD2 PCDH17 PRKCG RGS4 STXBP5L SYP		ADCY1 NPTX2 PRKCG STX1A STXBP1 STXBP5L			ADORA2A BRSK1 GRIK5 SNAP25 SORCS2	AGT BAIAP3 BRSK1 CACNA1A CNIH2 CPLX2 DRD2 EFNB3 FGF14 GRIK5 MAP1A MAP1B MPP2 NEUROD2 PLCL1 RAB26 RGS4 SCGN SNAP25 STX1A STXBP5L SYP TUBB2B VGF	ADORA2A AGT BAIAP3 BRSK1 GHRL IGSF9B MPP2 NPTX2 RAB26 SYN1 VGF	CNR1 CPLX2 GRIK5 STXBP1 SYP	AGT CAMK2B CNIH2 EFNB3 FGF14 LZTS1 MAP1A MPP2 SCGN SYP VGF
GO_SOMATODENDRITIC_COMPARTMENT	CHRM4 DLG2 GAP43 IGSF9B KCNB2 KCNJ2 MPP2 MX1 MX2 PRKCG SEZ6 SLC8A1 SNAP25 SRCIN1 SYN1 TRPM2	CACNA1C CDK5R1 CNGA3 CNIH2 DLG2 DNER KCNIP3 KCNJ11 MAP2 MAP6 MX1 PSD RTN4RL1 SLC12A5 SNAP25 SYN1 TTBK1	APOB BSN CACNA1C CHRM4 CNGA3 CPLX2 FRMPD4 KCNB2 KCNJ2 KIF5A MAP1A MAP1B PCSK2 PRKCG PSD PTPRN RET SAMD14 SCN1B SLC8A1 SRCIN1 SST SV2A	ATP1A3 BRS3 CRMP1 CTTNBP2 DRD2 EPHA4 EPHB3 GAP43 PTCH1 SST TENM2 TRPM2	DNER MAP6 PRKCG SYT5	CACNA1C CTTNBP2 PTCH1 PTPRN RTN4RL1 SST TENM2	CPT1C DDN EPHB3 IGSF9B MAPK10 MX1 SRCIN1	ADORA2A DDN DLG2 GRIK5 KIF1A SNAP25 SORCS2 SPTBN4 SST	ADCY2 ATP1A3 BRS3 BSN CACNA1A CACNA1C CHL1 CNIH2 CPLX2 DLG2 DNER DRD2 FRMPD4 GAP43 GNAO1 GRIK5 KCNB2 KCNIP3 KIF5A MAP1A MAP1B MAP2 MAP6 MAPK10 MPP2 NFASC PALMD PCSK2 PSD RET SAMD14 SCGN SCN1B SEZ6 SLC12A5 SNAP25 SPTBN4 SRCIN1 SV2A UCHL1	ADCY2 ADORA2A CACNA1C CNGA3 DLG2 IGSF9B MAP6 MPP2 PCSK2 PTPRN SEZ6 SYN1 UCHL1	ATP1A3 CHRM4 CPLX2 GRIK5 SPTBN4	BRS3 CNIH2 CPT1C DDN KCNJ11 LZTS1 MAP1A MAP6 MAPK8IP1 MPP2 RET SCGN SCN1B SEZ6
GO_SYNAPSE	C1QL1 CAMK2B CHRM4 COLQ DLG2 GAP43 IGSF21 IGSF9B KCNJ2 MPP2 MX1 MX2 PMP22 PRKCG SEZ6 SLC18A1 SLC8A1 SNAP25 SRCIN1 STX1A SV2B SYN1 TUBB2B UCN3	ATP6V1B1 BAIAP3 BRSK1 C1QL1 CACNA1C CADM2 CDK5R1 CNIH2 DLG2 DSCAML1 KCNIP3 LIN7A LRFN1 MAP2 MX1 PDE2A PSD RAPGEF4 RGS17 SLC12A5 SNAP25 SVOP SYN1 SYP	ANK2 BAIAP3 BSN CABP4 CACNA1C CACNB2 CALY CHRM4 CNR1 CPLX2 FRMPD4 GPC2 KCNJ2 KIF5A MAP1A MAP1B PCDH17 PDE2A PRKCG PSD PTPRN RIMBP2 SAMD14 SLC6A17 SLC8A1 SRCIN1 SST STXBP5L SV2A SV2B SVOP SYP TMOD2 UCN3	ADCY1 ADD2 ATP1A3 BAALC CTTNBP2 DRD2 EPHA4 GABBR2 GABRB3 GAP43 IGSF21 KCNK3 PTCH1 RAB3C RGS9 SPARC SST TENM2 TMOD2 UCN3 UNC13A	ADCY1 CABP4 NPTX2 PRKCG STX1A STXBP1 STXBP5L SYT5	ATP6V1B1 CABP4 CACNA1C COLQ CTTNBP2 EFNB3 IGFN1 NPY PMP22 PTCH1 PTPRN SPARC SST SV2B TENM2	CABP4 CADPS CPT1C DDN IGFN1 IGSF9B MAPK10 MX1 SRCIN1	ADORA2A AMPH BAALC BRSK1 CAMKV DDN DLG2 GRIK5 KIF1A LIN7A NPY RGS17 SNAP25 SORCS2 SST	AMPH ANK2 ATP1A3 BAALC BAIAP3 BRSK1 BSN CACNA1A CACNA1C CAMKV CNIH2 COLQ CPLX2 DLG2 DRD2 EFNB3 FRMPD4 GAP43 GRIK5 IGSF21 KCNIP3 KCNMA1 KIF5A LRRTM3 MAP1A MAP1B MAP2 MAPK10 MPP2 PALMD PDZRN3 PSD RAB26 RAB3C SAMD14 SCGN SEZ6 SLC12A5 SLC18A1 SNAP25 SRCIN1 STX1A STXBP5L SV2A SV2B SVOP SYP TUBA1A TUBB2B UCN3	ADORA2A BAALC BAIAP3 BRSK1 C1QL1 CABP4 CACNA1C CALY DLG2 DSCAML1 GHRL GPC2 IGSF9B KCNK3 MPP2 NPTX2 PMP22 PTPRN RAB26 SDK2 SEZ6 SVOP SYN1	ATP1A3 C1QL1 CHRM4 CNR1 CPLX2 GRIK5 STXBP1 SYP TUBA1A	ATP6V1B1 CAMK2B CNIH2 CPT1C DDN EFNB3 ITPR1 LRFN1 LZTS1 MAP1A MAPK8IP1 MPP2 PDE2A SCGN SEZ6 SYP
GO_SYNAPSE_ORGANIZATION	C1QL1 CAMK2B COLQ DLG2 GAP43 IGSF21 IGSF9B SEZ6 SRCIN1 SYN1	C1QL1 CDK5R1 DLG2 DNER LRFN1 SYN1	BSN CACNB2 FRMPD4 MAP1B NEUROD2 PCDH17 SRCIN1	ADD2 CTTNBP2 DRD2 EPHA4 EPHB3 GABRB3 GAP43 IGSF21 SPARC UNC13A		COLQ CTTNBP2 IGFN1 SPARC	EPHB3 IGFN1 IGSF9B SRCIN1	CAMKV DLG2 KIF1A	BSN CAMKV COLQ DLG2 DNER DRD2 FRMPD4 GAP43 IGSF21 LMX1A LRRTM3 MAP1B NEUROD2 NFASC PDZRN3 SEZ6 SRCIN1 TUBA1A	C1QL1 DLG2 GHRL IGSF9B SDK2 SEZ6 SYN1		
GO_SYNAPTIC_MEMBRANE	CHRM4 DLG2 IGSF21 IGSF9B MX1 MX2 PRKCG SLC8A1 SNAP25 STX1A	CACNA1C CNIH2 DLG2 LIN7A LRFN1 MX1 PDE2A SNAP25 SYP	ANK2 CACNA1C CHRM4 CNR1 PCDH17 PDE2A PRKCG SLC8A1 SYP	ADCY1 DRD2 EPHA4 GABBR2 GABRB3 IGSF21 RGS9 TENM2 UNC13A	ADCY1 PRKCG STX1A STXBP1		DDN IGSF9B MX1	ADORA2A DDN DLG2 GRIK5 LIN7A SNAP25 SORCS2	ANK2 CACNA1C CNIH2 DLG2 DRD2 EFNB3 GRIK5 IGSF21 KCNMA1 LRRTM3 SNAP25 STX1A SYP		CHRM4 CNR1 GRIK5 STXBP1 SYP	CNIH2 DDN EFNB3 LRFN1 LZTS1 PDE2A SYP
