	ARNT2	ARX	ASCL1	ASCL2	E2F7	EBF3	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	HES4	HIC1	HLF	HMBOX1	INSM1	ISL1	LMX1A	LMX1B	LTF	MAFA	MAFB	NEUROD2	NEUROG3	NFAT5	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	PLAG1	POU2F2	POU5F1	RFX6	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF519	ZNF846	ZNF883
GO_FORMATION_OF_PRIMARY_GERM_LAYER																ATOH8 COL12A1 NR4A3		MMP2 SIX2		COL12A1 ITGA7 SIX2											ATOH8 ITGA7 MMP2 SIX2	COL12A1 ITGA7						ITGA7 SIX2												
GO_FRIZZLED_BINDING																							SFRP1 WNT9A																											
GO_G2_DNA_DAMAGE_CHECKPOINT																																							BRSK1 CLSPN				BRSK1 CLSPN							
GO_GABAERGIC_NEURON_DIFFERENTIATION																																														ARX ASCL1				
GO_GABA_ERGIC_SYNAPSE		GAP43 IGSF9B						BSN CNR1 PCDH17 SLC6A17 SV2A	DRD2 GABRB3 GAP43																						DRD2 IGSF9B								BSN DRD2 GAP43 SV2A	DRD2 IGSF9B SLC6A17										
GO_GABA_RECEPTOR_ACTIVITY									GABBR2 GABRB3																																									
GO_GABA_RECEPTOR_COMPLEX									GABBR2 GABRB3																																									
GO_GAMETE_GENERATION																					CNR1 TNP1	ANGPT2 GGT5 ICA1L PMFBP1 ROS1																												
GO_GAMMA_AMINOBUTYRIC_ACID_SIGNALING_PATHWAY									GABBR2 GABRB3																																									
GO_GANGLIOSIDE_BIOSYNTHETIC_PROCESS								ST6GALNAC5 ST8SIA3																															ST6GALNAC5 ST8SIA3											
GO_GANGLIOSIDE_METABOLIC_PROCESS								ST6GALNAC5 ST8SIA3																															ST6GALNAC5 ST8SIA3											
GO_GASTRIC_ACID_SECRETION										GHRL TFF2																																								
GO_GASTRULATION						APLN CFC1	CFC1 COL12A1				APLN ATOH8					APLN ATOH8 COL12A1 NR4A3		MMP2 SIX2		CFC1 COL12A1 ITGA7 SIX2										APLN ATOH8	ATOH8 ITGA7 MMP2 SIX2	COL12A1 ITGA7						ITGA7 SIX2		APLN NR4A3									APLN ATOH8 CFC1	
GO_GATED_CHANNEL_ACTIVITY		KCNB2 KCNJ2 KCNK17 SNAP25 TRPM2		KCNB2 KCNH7 KCNJ2 KCNK17 TRPM2	CACNA1C CNGA3 KCNG1 KCNH8 KCNIP3 KCNJ11 SNAP25		FAM155B HCN4 KCNG1 KCNH7 KCNIP3 SCN2A	ASIC4 CACNA1C CACNB2 CNGA3 CNGA4 CNR1 KCNB2 KCNH8 KCNJ2 KCNK17 SCN1B										CACNA1C SNAP25 TRPM2						KCNJ2 KCNK17 SCN2A			CNGA4 KCNJ11			CACNA1H HCN4 ITPR1 KCNH6 KCNK3 MCOLN3					ITPR1 KCNH7		CACNA2D1 CACNG4 KCNB2 KCNH7 KCNK16 KCNK17 MCOLN3		ABCC8 ASIC4 CACNA1A CACNA1C GRIK5 HCN4 KCNB2 KCNH3 KCNH6 KCNIP3 KCNMA1 KCNMB2 MCOLN3 SCN1B SNAP25	CHRNB4 CNGA4 FAM155B HCN4 KCNH3			ASIC4 CACNA1C CNGA3 KCNH2 KCNJ6 KCNK3	GRIK5 KCNH8		CACNA1B GRIK3 KCNA6		CNR1 GRIK5 KCNG1	FAM155B HCN4 ITPR1 KCNH2 KCNJ11 SCN1B	CACNA1C FAM155B
GO_GERM_CELL_DEVELOPMENT																																	BCL2 ICA1L																	
GO_GLANDULAR_EPITHELIAL_CELL_DIFFERENTIATION																						PAX6 PROX1									DLL1 PROX1												NEUROD1 RFX6							
GO_GLAND_DEVELOPMENT									APLN BCL2 DRD2 E2F7 EPHB3 INSM1 PTCH1		APLN BCL2 PAX6								CCDC40 DRD2 EPHB3			PAX6 PROX1 PTCH1 ROBO1							DRD2 EDAR	APLN BCL2 CSF1R EPHB3 PROX1 PTCH1	CCDC40 DRD2 E2F7 MDK PROX1		BCL2 CCDC40 EPHB3 PAX6					E2F7 INSM1 ROBO1		APLN CCDC40 DRD2 E2F7										
GO_GLAND_MORPHOGENESIS							EDAR MDK	ID4 PAX6 SFRP1	BCL2 PTCH1		BCL2 PAX6	CSF1R PROX1										PAX6 PROX1 PTCH1								BCL2 CSF1R PROX1 PTCH1	MDK PROX1		BCL2 PAX6																	
GO_GLIAL_CELL_DERIVED_NEUROTROPHIC_FACTOR_RECEPTOR_ACTIVITY								GFRA1 GFRA3																																										
GO_GLIAL_CELL_DERIVED_NEUROTROPHIC_FACTOR_RECEPTOR_SIGNALING_PATHWAY								GFRA1 GFRA3 RET																																										
GO_GLIAL_CELL_DEVELOPMENT																				DLL1 TTBK1											DLL1 MDK						ID4 MDK TTBK1						ADORA2A ID4 MDK							
GO_GLIAL_CELL_DIFFERENTIATION					DNER ID4 TTBK1																					EPHA4 TTBK1					DLL1 MDK TP73		EPHA4 PAX6					DNER TTBK1												
GO_GLIAL_CELL_MIGRATION					CDK5R1 CDK5R2																																													
GO_GLIAL_CELL_PROJECTION								AKR1B1 CNGA3																															AKR1B1 NFASC				AKR1B1 CNGA3							
GO_GLIOGENESIS	DNER PRKCH				CDK5R1 CDK5R2 DNER ID4 TTBK1																					EPHA4 PRKCH TTBK1						ADORA2A CDK5R2 PRKCH	EPHA4 PAX6					CDK5R1 DNER TTBK1					ADORA2A ASCL2 CDK5R2 ID4 MDK							
GO_GLOMERULUS_DEVELOPMENT								ANGPT2 MTSS1 RET	ANGPT2 BCL2																								BCL2 HEYL																	
GO_GLUCOSE_METABOLIC_PROCESS																																															BRS3 GCK			
GO_GLUTAMATERGIC_SYNAPSE								BSN CALY CNR1 CPLX2 FRMPD4 PCDH17 SLC6A17 SV2A	ADCY1 CTTNBP2 DRD2 EPHA4 RGS9 SPARC UNC13A	DLG2 GHRL				ADCY1 NPTX2 STX1A STXBP1		ADORA2A CALY CTTNBP2			CPLX1 DRD2 SPARC				CADPS CPT1C MAPK10									ADORA2A CAMKV DLG2 GRIK5 SNAP25	EPHA4 NPTXR SLC6A17	CPLX1 SV2A			ADCY1 CACNG4 CPLX1 DRD2 RGS9		BSN CAMKV CNIH2 CPLX2 DLG2 DRD2 EFNB3 FRMPD4 GRIK5 LRRTM3 MAPK10 SNAP25 STX1A SV2A	CADPS DRD2 SLC6A17			ADORA2A CALY DLG2 GHRL NPTX2	GRIK5 NTNG2				CNR1 CPLX2 GRIK5 STXBP1		
GO_GLUTAMATE_RECEPTOR_BINDING																																					CACNG4 DRD2													
GO_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY					CDK5R1 CNIH2 DLG2				RGS9 SULT1A4 UNC13A																		CDK5R1 SSTR1					DLG2 GRIK5 SULT1A4							CNIH2 DLG2 GRIK5				DLG2 SULT1A4			GRIK3 MAPK8IP2			CNIH2 SULT1A4	
GO_GLUTAMATE_SECRETION		SNAP25 STX1A												STX1A STXBP1																		ADORA2A SNAP25					CPLX1 HRH3		SNAP25 STX1A											
GO_GLUTATHIONE_CATABOLIC_PROCESS																																											DPEP1 GGT5							
GO_GLUTATHIONE_METABOLIC_PROCESS																																											DPEP1 GGT5							
GO_GLYCINE_TRANSPORT								RGS4 SLC6A17																																										
GO_GLYCOLIPID_BINDING								CLIP3 DPEP1																															CLIP3 DPEP1				CLIP3 DPEP1							
GO_GLYCOLIPID_BIOSYNTHETIC_PROCESS								ST6GALNAC5 ST8SIA3																																										
GO_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS											BCL2 MUC15 ST6GALNAC5 VCAN								FUT1 MUC15 TET1						B3GAT1 CHST8																									
GO_GLYCOPROTEIN_METABOLIC_PROCESS											BCL2 MUC15 SPOCK3 ST6GALNAC5 VCAN								FUT1 MUC15 TET1						B3GAT1 CHST8																									
GO_GLYCOSAMINOGLYCAN_BINDING			APLP1 PODXL2					APLP1 APOB LGR6 SFRP1 SPOCK3		PRELP VCAN	FGF9 PODXL2 RTN4RL1 SPOCK3 VCAN				COLQ LGR6 RTN4RL1			APLP1 RTN4RL1 SPOCK3				APLP1 COLQ LGR6 PTCH1 RTN4RL1								FGF9 PRELP PTCH1	FGF9 LTBP2 MDK PRELP								APLP1 BGN COLQ FGF9 MDK VCAN										APLP1 MDK PODXL2	
GO_GLYCOSIDE_METABOLIC_PROCESS								AKR1B1 GUSBP3																																										
GO_GLYCOSPHINGOLIPID_BIOSYNTHETIC_PROCESS								ST6GALNAC5 ST8SIA3																															ST6GALNAC5 ST8SIA3											
GO_GLYCOSPHINGOLIPID_METABOLIC_PROCESS								ST6GALNAC5 ST8SIA3																																										
GO_GLYCOSYLATION											MUC15 ST6GALNAC5								FUT1 MUC15 TET1																														B3GAT1 FUT1 MUC5B	
GO_GOLGI_APPARATUS		CABP7 CHST8 FUT1 ICA1L JAKMIP2 KCNJ2 SNAP25 SPP1 ST8SIA3 SYN1		ATP1A3 CCDC88A KCNJ2 RSAD2 TENM2	AP3B2 BAIAP3 CHST8 CNIH2 KCNIP3 MANEAL MAP6 MUC5B PDE2A RSAD2 SGSM1 SNAP25 ST8SIA3 SYN1			AVPR1B BAIAP3 CCDC88A CERKL CHST8 CLIP3 CNGA4 CPE GFRA1 GPC2 JAM3 KCNJ2 LGR6 MANEAL PDE2A PTPRN ST6GALNAC5 ST8SIA3 ZDHHC11			MUC15 PODXL2 ST6GALNAC5 STMN2 TENM2 VCAN																	CLSPN KCNIP3 MANEAL PDE2A PTHLH SLC22A13 SPP1 ST8SIA3 STMN3 VGF					CBFA2T3 EPHA4 ICA1L STMN3						ATP1A3 BAIAP3 BGN CCDC88A CERKL CLIP3 CLSPN CNIH2 GALNT16 HEPACAM2 JAM3 KCNIP3 MANEAL MAP6 PCSK1N RAB26 RTN1 SNAP25 SPP1 ST6GALNAC5 ST8SIA3 TMEM59L VCAN VGF ZDHHC11	BEND5 CCDC88A CLSPN CNGA4 MUC5B PDE2A TP73 ZDHHC11			ADORA2A ATP8B2 AVPR1B BAIAP3 BGN CLIP3 CLSPN CPE GALNT16 GPC2 JAM3 KCNJ6 MAP6 PRKD1 PTPRN RAB26 SGSM1 STMN3 SYN1 VGF		AVPR1B TP73 VGF				B3GAT1 CLIP3 CNIH2 FUT1 MANEAL MAP6 MUC5B PDE2A PODXL2 PTHLH RTN1 VGF	
GO_GOLGI_ASSOCIATED_VESICLE																																								CCDC88A CNGA4										
GO_GOLGI_LUMEN			GPC2 PODXL2							PRELP VCAN	MUC15 PODXL2 VCAN	MUC15 PRELP																															BGN GPC2						MUC5B PODXL2	
GO_GOLGI_MEMBRANE															LGR6 MMD2 RIC3										B3GAT1 CHST8																								B3GAT1 CLIP3 CNIH2 FUT1 MANEAL RTN1	
GO_GRANULOCYTE_CHEMOTAXIS							DPEP1 MDK									CSF1R JAM3																											DPEP1 JAM3 MDK VAV3							
GO_GRANULOCYTE_MIGRATION							DPEP1 MDK									CSF1R JAM3																											DPEP1 JAM3 MDK VAV3							
GO_GROWTH									BCL2 CSH1 DRD2 GAP43 LGR6 NKD1 PTCH1 UNC13A													COLQ LGR6 NKD1 PROX1 PTCH1 ROS1	DLL1 NKD1 RASAL1 RNF157 SFRP1 TP73							BCL2 FGF9 GNG4 PROX1 PTCH1	DLL1 DRD2 FGF9 MDK PROX1 RGS4 RNF157 TP73	BASP1 GNG4 NDRG4 RNF157 SPTBN4							AGT BASP1 COLQ DRD2 FGF9 GAP43 GNG4 LMX1A MAP1B MAP2 MDK NDRG4 PAPPA2 RASAL1 RGS4 SLC12A5 SPP1 SPTBN4						ISLR2 RGS4 TP73					
GO_GROWTH_FACTOR_ACTIVITY							FGF14 MDK																FGF17 GDF11			CSH2 GDF1		FGF17 VGF											AGT FGF14 FGF17 FGF9 MDK VGF				AGT CSH1 MDK VGF			AGT GDF1	CSH1 GDF1		AGT FGF14 MDK VGF	
GO_GROWTH_FACTOR_BINDING																															FLT1 LTBP2																			
GO_GROWTH_FACTOR_RECEPTOR_BINDING																							FGF17 VAV3					CD300LF FGF17																						
GO_GTPASE_ACTIVITY		MX1 MX2 RGS4 TUBB2B								GCH1 RAB3C RGS17		MX2 RGS17 RGS5 TUBA1A				GCH1 GNG2 MX2 TUBB2B														GNG4 RAB3C TUBB2B							MX2 RAB26 RGS9 RRAGD		GNAO1 GNG2 GNG4 RAB26 RAB3C RGS4 TUBA1A TUBB2B			MX1 RASD1					GCH1 GNG2 MX2 TUBB2B			
GO_GTPASE_BINDING														RRAGD SGSM1 SH2D3C STXBP5L																																				
GO_GTPASE_REGULATOR_ACTIVITY					RASAL1 RGS17 RUNDC3A SGSM1			CCDC88A RGS4 RUNDC3A STARD8 STXBP5L												CCDC88A RGS17 RGS4																							ARHGAP9 RASAL1 SGSM1 STARD8 VAV3							
GO_GTP_DEPENDENT_PROTEIN_BINDING										GCH1 RAB3C																																								
GO_GUANYL_NUCLEOTIDE_BINDING					CNGA3 GCH1 MX1 PDE2A					GCH1 RAB3C						GCH1 MX2 TUBB2B										IFI44L RASD1 TUBB2B				IFI44L RAB3C TUBB2B										CNGA4 PDE2A TUBB2B		MX1 RASD1				DIRAS1 GNAO1 IFI44L	GCH1 MX2 TUBB2B			
GO_GUANYL_NUCLEOTIDE_EXCHANGE_FACTOR_ACTIVITY	DENND2A MCF2L			CCDC88A DENND2A	DENND2A PSD RAPGEF4																					MCF2L SH2D3C																								
GO_G_PROTEIN_ALPHA_SUBUNIT_BINDING								CCDC88A RGS4												CCDC88A RGS4																			CCDC88A RGS4											
GO_G_PROTEIN_BETA_GAMMA_SUBUNIT_COMPLEX																																							GNG2 GNG4											
GO_G_PROTEIN_BETA_SUBUNIT_BINDING																																							GNG2 GNG4											
GO_G_PROTEIN_COUPLED_ACETYLCHOLINE_RECEPTOR_ACTIVITY																																					CHRM4 HRH3													
GO_G_PROTEIN_COUPLED_ACETYLCHOLINE_RECEPTOR_SIGNALING_PATHWAY																																					CHRM4 HRH3													
GO_G_PROTEIN_COUPLED_AMINE_RECEPTOR_ACTIVITY																																					CHRM4 HRH3													
GO_G_PROTEIN_COUPLED_NEUROTRANSMITTER_RECEPTOR_ACTIVITY																																					CHRM4 HRH3													
GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY																											GABBR2 GPR148 OGFRL1 SSTR1																							
GO_G_PROTEIN_COUPLED_RECEPTOR_BINDING								AGT APLP1 MLN SFRP1 UCN3		GHRL TFF2								AGT APLP1 GNAO1		MLN TFF2 UCN3		APLP1 NPY PTCH1				REEP2 TFF2	PTCH1 WNT9A												AGT APLP1 GNAO1 REEP2 TFF2 UCHL1 UCN3	APLN APLP1 WNT9A			ADORA2A AGT GHRL MLN UCHL1			AGT GNAO1 UCHL1			AGT APLN APLP1 MLN	
GO_G_PROTEIN_COUPLED_RECEPTOR_INTERNALIZATION									APLN DRD2																															APLN DRD2										
GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY						APLN SSTR3		AGT APLP1 AVPR1B BAIAP3 CHRM4 CNR1 CPE GPR148 GPR162 GPR173 LGR6 MLN OGFRL1 PDE2A RGS4 SST SSTR3 SYP TMOD2 UCN3	ADCY1 APLN BRS3 DRD2 FFAR2 GABBR2 GABRB3 GAP43 GPR142 GPR162 LGR6 RGS9 SST TMOD2 UCN3		ADCY1 ADCY5 APLN RNF157 TMOD2					ADORA2A APLN CPE FFAR2 GNG2 SSTR1 TAC3		AGT APLP1 GNAO1 GPR162 RGS4 SSTR2		ADCY2 CELSR2 CHRM4 MLN RGS17 RGS4 SYP UCN3							CDK5R1 GABBR2 GPR148 OGFRL1 SSTR1					ADORA2A GNG4 NPY RGS17 RNF157 SORCS2 SST VAV3							ADCY2 AGT APLP1 BAIAP3 BRS3 CHGA DRD2 GAP43 GNAO1 GNG2 GNG4 GPR173 OGFRL1 PCSK1N PDE8B PLCL1 RGS4 SYP TAC3 UCN3	APLN APLP1 CELSR2 DRD2 GPR173 MCF2L PDE2A		GAP43 RASD1				AGT GNAO1 GPR119 GRIK3 HRH3 PCSK1N	BRS3 CPE FFAR2 GNG2 PCSK1N RNF157 TUB		AGT APLN APLP1 BRS3 GPR142 MLN PDE2A PTHLH SYP TAC3	
GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY_COUPLED_TO_CYCLIC_NUCLEOTIDE_SECOND_MESSENGER	NPY SSTR3		ADCY1 APLP1					AGT APLP1 CHRM4 CNR1 PDE2A SSTR3 UCN3	ADCY1 DRD2 UCN3		ADCY1 ADCY5			ADCY1 CHGA SSTR1		ADORA2A GNG2 SSTR1		AGT APLP1 GNAO1 SSTR2		ADCY2 CHRM4 UCN3		APLP1 CHGA NPY						DRD2 PDE2A PTHLH									ADCY1 CHRM4 DRD2 HRH3		ADCY2 AGT APLP1 CHGA DRD2 GNAO1 GNG2 UCN3	APLP1 DRD2 PDE2A						AGT GNAO1 GPR119 GRIK3 HRH3		CHRM4 CNR1 SSTR3	AGT APLP1 PDE2A PTHLH	
GO_HEAD_DEVELOPMENT	AFF2 CEND1 CHRNB2 EML1 NPY SSTR3		ADCY1 BASP1 CELSR2 FUT1		ARNT2 CDK5R1 CDK5R2 DSCAML1 EML1 ID4 NR4A3 RTN4RL1 TTBK1				ADCY1 BCL2 CTTNBP2 DRD2 EML1 EPHB3 KCNK3 PTCH1 SLC38A3		ADCY1 BCL2 CHRNB2 FGF9 PAX6 RTN4RL1 S100A1	CSF1R CTTNBP2 EML1 FOXP2 PROX1				CSF1R CTTNBP2 NR4A3 RTN4RL1 SLC38A3 SSTR1		BASP1 MMP2 RGS4 RTN4RL1 SSTR2		CELSR2 DLL1 ISL1 LMX1A RGS4 S100A1 TTBK1		CTTNBP2 NPY PAX6 PROX1 PTCH1 ROBO1 RTN4RL1				ADCY1 ARNT2 CDH22 TTBK1		DRD2 EML1 EPHB3 FOXP2 NDRG4 SLC38A3		ADCY1 BCL2 CSF1R EPHB3 FGF9 KCNK3 KIF1A PROX1 PTCH1 TTBK1	DLL1 DRD2 FGF9 MDK MMP2 PROX1 RGS4	BASP1 CDK5R2 ISL1 KIF1A NDRG4 NPY	BCL2 EPHB3 PAX6 SLC6A17				ADCY1 DRD2 FOXP2 FUT1 ID4 MDK MMP2 TOX TTBK1	CDK5R1 CEND1 ROBO1 TTBK1	BASP1 CDK5R2 CEND1 DRD2 FGF9 ID4 ISL1 LMX1A MDK NDRG4 NEUROD2 RGS4 S100A1 SEZ6				CDK5R2 CEND1 DSCAML1 EML1 ID4 ISL1 KCNK3 MDK MMP2 NDRG4 NEUROD1 SEZ6		RGS4 S100A1			CDK5R2 CSF1R MMP2 SSTR3		
GO_HEART_DEVELOPMENT						APLN CFC1					APLN FGF9 SGCD							AGT BASP1 CACNA1C RGS4				CACNA1C DNAH11 PROX1 PTCH1 ROBO1 SPARC						DNAH11 MYBPC3 NDRG4 PDE2A SGCD		APLN FGF9 PROX1 PTCH1	CCDC40 DLL1 FGF9 PROX1 RGS4 TP73								AGT ANK2 BASP1 C1orf127 CACNA1C CFC1 FGF9 ISL1 NDRG4 RGS4 SGCD	APLN CCDC40 PDE2A TP73			AGT CACNA1C CPE DCHS1 ISL1 NDRG4		RGS4 TP73		CPE DNAH11 ROBO1 SGCD SLC8A1			
GO_HEART_GROWTH																		AGT BASP1 RGS4												FGF9 PROX1	FGF9 PROX1 RGS4 TP73	BASP1 NDRG4							AGT BASP1 FGF9 NDRG4 RGS4						RGS4 TP73					
GO_HEART_MORPHOGENESIS																						DNAH11 PROX1 PTCH1 ROBO1						DNAH11 MYBPC3 NDRG4			CCDC40 DLL1 PROX1		CCDC40 HEYL					DCHS1 ROBO1					CPE DCHS1 ISL1 NDRG4				CPE DNAH11 ROBO1			
GO_HEART_PROCESS	KCNJ2 SPTBN4	KCNJ2 RGS4 S100A1 SLC8A1		ATP1A3 GCH1 KCNJ2	CACNA1C GCH1 KCNIP3 KCNJ11 MYBPC3		HCN4 KCNIP3 MYBPC3	AGT ANK2 CACNA1C CACNB2 KCNJ2 RGS4 SCN1B SLC8A1	APLN ATP1A3 DRD2 KCNK3 MYBPC3	ANK2 GCH1	APLN S100A1 SGCD					APLN GCH1 KCNH6		AGT CACNA1C GNAO1 RGS4		ATP1A3 ITPR1 RGS4 S100A1								DRD2 KCNIP3 MYBPC3 SCN1B SGCD		APLN CACNA1H HCN4 ITPR1 KCNH6 KCNK3	CACNA1H DRD2 RGS4 SCN1B				APLN ITPR1				AGT ANK2 ATP1A3 CACNA1C CHGA DRD2 GNAO1 HCN4 KCNH6 KCNIP3 RGS4 S100A1 SCN1B SGCD SPTBN4	APLN DRD2 HCN4			AGT CACNA1C GCH1 KCNH2 KCNK3		RGS4 S100A1 SCN1B	AGT ATP1A3 CACNA1B GNAO1	GCH1 SGCD SLC8A1		AGT APLN HCN4 ITPR1 KCNH2 KCNJ11 S100A1 SCN1B	
GO_HEART_VALVE_DEVELOPMENT																																						DCHS1 ROBO1												
GO_HEMATOPOIETIC_PROGENITOR_CELL_DIFFERENTIATION												CSF1R EML1				CSF1R JAM3							SFRP1 TP73							BCL2 CSF1R																				
GO_HEMATOPOIETIC_STEM_CELL_DIFFERENTIATION																							SFRP1 TP73																											
GO_HEPARIN_BINDING							MDK RTN4RL1	APLP1 APOB LGR6 SFRP1			FGF9 RTN4RL1				COLQ LGR6 RTN4RL1			APLP1 RTN4RL1				APLP1 COLQ LGR6 PTCH1 RTN4RL1								FGF9 PRELP PTCH1	FGF9 LTBP2 MDK PRELP								APLP1 COLQ FGF9 MDK											
GO_HEPATICOBILIARY_SYSTEM_DEVELOPMENT														CCDC40 E2F7								PROX1 PTCH1								PROX1 PTCH1	CCDC40 E2F7 MDK PROX1									CCDC40 E2F7										
GO_HEPATOCYTE_DIFFERENTIATION																															E2F7 PROX1																			
GO_HETEROPHILIC_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES		DCHS1 IGSF21							IGSF21 TENM2																																									
GO_HETEROTRIMERIC_G_PROTEIN_COMPLEX																																							GNAO1 GNG2 GNG4											
GO_HETEROTYPIC_CELL_CELL_ADHESION																															CD200 ITGA7								ITGA7 JAM3 NFASC											
GO_HIGH_VOLTAGE_GATED_CALCIUM_CHANNEL_ACTIVITY								CACNA1C CACNB2																															CACNA1A CACNA1C											
GO_HINDBRAIN_DEVELOPMENT	CEND1 SSTR3						MDK NEUROD2 SSTR3					FOXP2 PROX1								DLL1 LMX1A							CDK5R1 SSTR1			BCL2 PROX1	DLL1 MDK PROX1							CDK5R1 CEND1	CDK5R2 CEND1 LMX1A MDK NEUROD2 SEZ6				CDK5R2 CEND1 MDK NEUROD1 SEZ6					CDK5R2 SSTR3		
GO_HINDBRAIN_MORPHOGENESIS																															DLL1 PROX1																			
GO_HIPPOCAMPAL_MOSSY_FIBER_TO_CA3_SYNAPSE																																					ADCY1 RAPGEF4		EFNB3 GRIK5											
GO_HIPPOCAMPUS_DEVELOPMENT					CDK5R1 CDK5R2 ID4 NR4A3																										MDK PROX1						ID4 MDK		CDK5R2 ID4 LMX1A MDK				CDK5R2 ID4 MDK NEUROD1							
GO_HISTONE_ACETYLTRANSFERASE_BINDING								NR4A3 PAX6																																										
GO_HOMEOSTATIC_PROCESS								AGT AKR1B1 ALAS2 ANK2 APOB AVPR1B BAIAP3 CACNA1C CACNB2 CDHR1 CNR1 JAM3 KCNJ2 MAP1A MLLT11 NR4A3 PAX6 PTPRN RTEL1 SCN1B SLC8A1 STXBP5L SV2A WNK3			ADCY1 ADCY5 APLN BCL2 PAX6 SGCD STXBP5L																	ALAS2 C7 CD52 DRD2 MLLT11 PLCL1 SCN1B SGCD SPP1 VGF		ADCY1 APLN BCL2 CSF1R HCN4 ITPR1 KCNK3 MCOLN3 PTCH1									ADCY2 AGT AKR1B1 ANK2 ATP1A3 BAIAP3 CACNA1A CACNA1C DRD2 GRIK5 HCN4 JAM3 KCNMA1 MAP1A MCOLN3 MLLT11 PLCL1 SCGN SCN1B SGCD SLC12A5 SPP1 STXBP5L SV2A TFF2 VGF				ADCY2 ADORA2A AGT AKR1B1 AVPR1B BAIAP3 CACNA1C GHRL JAM3 KCNH2 KCNK3 MLLT11 NEUROD1 PLCG2 PTPRN RFX6 USH1G VGF		AVPR1B SCN1B VGF				AGT AKR1B1 APLN ATP6V1B1 FAM155B HCN4 ITPR1 KCNH2 KCNJ11 MAP1A NOVA2 SCGN SCN1B VGF	
GO_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES		DCHS1 IGSF21 IGSF9B PTPRT	CELSR2 PCDHB14 SDK1					CDHR1 CDHR3 FAT3 PCDH17 RET				PTPRT SDK2 VSTM2L	CELSR3 IGSF9B SDK1							CELSR2 FAT3 PTPRT		FAT3 IGFN1 PCDHA2 ROBO1	DCHS1 IGFN1 IGSF9B			CDH22 DCHS1 FAT3 SDK1												DCHS1 ROBO1	CDHR3 FAT3 IGSF21 PTPRT RET	CELSR2 IGSF9B			DCHS1 DSCAML1 IGSF9B SDK2	IGFN1 PCDHA2						
GO_HORMONE_ACTIVITY								AGT MLN SST UCN3	APLN CSH1 SST UCN3											MLN UCN3		NPY SST						PTHLH SST VGF				NPY SST											AGT CHGB CSH1 GHRL MLN VGF						AGT APLN MLN PTHLH VGF	
GO_HORMONE_BIOSYNTHETIC_PROCESS								AKR1B1 CHST8																																										
GO_HORMONE_MEDIATED_APOPTOTIC_SIGNALING_PATHWAY								SST SSTR3																																										
GO_HORMONE_MEDIATED_SIGNALING_PATHWAY								NR4A3 SFRP1 SST SSTR3 UCN3								NR4A3 SSTR1																ISL1 SST																		
GO_HORMONE_METABOLIC_PROCESS								AKR1B1 CHST8 CPE PCSK2														LRAT PCSK1 RBP1																	AKR1B1 LRAT PCSK1 PCSK1N PCSK2 SPP1				AKR1B1 CPE LRAT PCSK1 PCSK2				CPE PCSK1N			
GO_HORMONE_RECEPTOR_BINDING												FOXP2 PROX1 PTHLH																FOXP2 PTHLH																						
GO_HORMONE_TRANSPORT		BRSK2 ILDR2 SNAP25 SPP1 STX1A UCN3			BAIAP3 BRSK2 CACNA1C KCNJ11 RAPGEF4 RFX6 SNAP25			AGT BAIAP3 CACNA1C CNR1 CPE PTPRN SFRP1 STXBP5L UCN3	APLN DRD2 FFAR2 UCN3	ADCY5 GHRL	ADCY5 APLN STX1A STXBP5L			CHGA STX1A STXBP5L		APLN CPE FFAR2		AGT CACNA1C PTPRN SNAP25	CPLX1 DRD2 ILDR2	ISL1 ITPR1 STX1A UCN3		CACNA1C CHGA PTPRN					KCNJ11 VGF	DRD2 SPP1 VGF	DRD2 RAPGEF4			ILDR2 ISL1 SNAP25			APLN ITPR1		CPE CPLX1 DRD2 ILDR2 RAPGEF4 SPP1		ABCC8 AGT BAIAP3 CACNA1A CACNA1C CHGA DRD2 ISL1 SNAP25 SPP1 STX1A STXBP5L UCN3 VGF		ISL1 STXBP5L		AGT BAIAP3 CACNA1C CPE GHRL ISL1 NEUROD1 PTPRN RFX6 VGF				CPE FFAR2 GCK		AGT APLN ITPR1 KCNJ11 VGF	
GO_HYALOID_VASCULAR_PLEXUS_REGRESSION																			DRD2 FLT1												DRD2 FLT1						DRD2 FLT1													
GO_HYDROLASE_ACTIVITY_ACTING_ON_ACID_ANHYDRIDES										ABCA9 GCH1 RAB3C RGS17		CENPE MX2 RGS17 RGS5 TUBA1A														KIF5A MSH5 RASD1 TUBB2B				GNG4 KIF1A MSH5 RAB3C TUBB2B							ABCA9 DNAH11 MX2 RAB26 RGS9 RRAGD RTEL1 STARD9					MX1 RASD1					DNAH11 GCH1 GNG2 KIF5A MX2 TUBB2B			
