	ARNT2	ARX	ASCL1	ASCL2	E2F7	EBF3	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	HES4	HEY1	HIC1	HLF	HMBOX1	INSM1	ISL1	LMX1A	LMX1B	MAFA	MAFB	NEUROD1	NEUROD2	NEUROG3	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU2F2	POU5F1	RFX6	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF519	ZNF846	ZNF883
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS					DNER DTX1																		DLL1 DTX1								DLL1 DLL4																		
REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS		TUBB2B TUBB3																																				TUBA1A TUBB2B								TUBB2B TUBB3	TUBA1A TUBB3		
REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING																																GNG4 GRIK5						GNG2 GNG4 GRIK5								GNG2 NCALD			
REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES								MMP13 SPOCK3											MMP2 SPOCK3		MMP11 MMP13															MMP11 MMP2						MMP2 SPOCK3							
REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS		CAMK2B DLG2 NEFL TUBB2B TUBB3		DLG2 GRIN2C	DLG2 LIN7A TUBB3		CAMK1 GRIN2C				ADCY1 TUBB4A				ADCY1 PPM1E															ADCY1 TUBB2B		DLG2 LIN7A														TUBB2B TUBB3	TUBA1A TUBB3	CAMK1 CAMK2B GRIN1	
REACTOME_ACTIVATION_OF_SMO																														BOC PTCH1																			
REACTOME_ACTIVATION_OF_TRKA_RECEPTORS																	ADORA2A NTRK1					NTRK1 NTRK2										ADORA2A NTRK2										ADORA2A NTRK2							
REACTOME_ADAPTIVE_IMMUNE_SYSTEM																CD200 CD96 HERC5 ITPR1 PLCG2 RAP1GAP2																														DYNC1I1 EVL HECW2 HERC5 KIF5A SOCS1 TUBB2B TUBB3			
REACTOME_ADENYLATE_CYCLASE_ACTIVATING_PATHWAY											ADCY1 ADCY5																																						
REACTOME_ADENYLATE_CYCLASE_INHIBITORY_PATHWAY											ADCY1 ADCY5																																						
REACTOME_ADORA2B_MEDIATED_ANTI_INFLAMMATORY_CYTOKINES_PRODUCTION										ADCY5 GIP	ADCY1 ADCY5 GIP						ADORA2A GNG2 GPBAR1													ADCY1 GNG4 GPBAR1								ADCY2 GIP GNG2 GNG4 GPBAR1						CRH SCT					
REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_1																																						GNG2 GNG4											
REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_12																																						GNG2 GNG4											
REACTOME_ADRENALINE_NORADRENALINE_INHIBITS_INSULIN_SECRETION								CACNA1C CACNA2D2 CACNB2																						CACNA2D2 GNG4								CACNA1C GNG2 GNG4											CACNA1C CACNA2D2
REACTOME_AFLATOXIN_ACTIVATION_AND_DETOXIFICATION																																										DPEP1 GGT5							
REACTOME_AGGREPHAGY		TUBB2B TUBB3															DYNC1I1 TUBB2B																	DYNC1I1 TUBA1A												DYNC1I1 TUBB2B TUBB3	TUBA1A TUBB3		
REACTOME_AMINE_LIGAND_BINDING_RECEPTORS																															CHRM4 DRD2					CHRM4 DRD2 HRH3													
REACTOME_AMINO_ACIDS_REGULATE_MTORC1							ATP6V1B1 ATP6V1G2 RRAGD																													ATP6V1G2 RRAGD												ATP6V0E2 ATP6V1B1	
REACTOME_AMYLOID_FIBER_FORMATION																									APOA1 TTR																								
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS																ITPR1 PLCG2																																	
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION															BLMH FBXL16 UBE2S																																		
REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES		MX1 MX2														HERC5 IFIT1 MX2		HERC5 IFIT1 MX1																												HERC5 IFIT1 MX2			
REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION											ADCY1 ADCY5 GIP					ITPR1 PLCG2	ADORA2A GNG2 GPBAR1 PLCG2													ADCY1 GNG4 GPBAR1 ITPR1												ADCY2 ADORA2A DPEP1 GGT5 PLCG2 SCT		CRH SCT					
REACTOME_AQUAPORIN_MEDIATED_TRANSPORT											ADCY1 ADCY5																			ADCY1 GNG4								ADCY2 GNG2 GNG4											
REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION																																		DYNC1I1 TUBA1A															
REACTOME_ASSEMBLY_AND_CELL_SURFACE_PRESENTATION_OF_NMDA_RECEPTORS		CAMK2B DLG2 NEFL TUBB2B TUBB3		DLG2 GRIN2C	DLG2 LIN7A TUBB3																											DLG2 LIN7A						DLG2 TUBA1A TUBB2B								TUBB2B TUBB3	TUBA1A TUBB3	CAMK2B GRIN1	
REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES								COL14A1 COL1A2 DST MMP13	COL14A1 MMP13								COL12A1 COL1A2				COL12A1 COL14A1 COL1A2 MMP13	COL12A1 MMP13										COL12A1 DST																	
REACTOME_ASYMMETRIC_LOCALIZATION_OF_PCP_PROTEINS			FZD4 PARD6A																																				FZD4 PARD6A										
REACTOME_ATTENUATION_PHASE																														HSPA2 HSPA6																			
REACTOME_AUTOPHAGY																																		DYNC1I1 TUBA1A												DYNC1I1 TUBB2B TUBB3			
REACTOME_A_TETRASACCHARIDE_LINKER_SEQUENCE_IS_REQUIRED_FOR_GAG_SYNTHESIS																																						BGN GPC6 VCAN				BGN GPC2							
REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING	PARD6A PRKCG																																																
REACTOME_BETA_DEFENSINS																																										CCR6 DEFB1							
REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM									CYP27A1 OSBPL6																																								
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS																					AMBP APOA1 COL1A2																												
REACTOME_BIOLOGICAL_OXIDATIONS																			NNMT SULT1A4 SULT2A1				ADH6 GGT5 GSTA2 SULT1A4 SULT2A1									ADH6 NNMT SULT1A4												CES1 TPST2				GSTM2 PODXL2 SULT1A4 SULT2A1 TPST2	DPEP1 TPST2
REACTOME_BLOOD_GROUP_SYSTEMS_BIOSYNTHESIS																							FUT1 FUT7													FUT1 FUT7												FUT1 FUT7	
REACTOME_CA2_ACTIVATED_K_CHANNELS																																						KCNMA1 KCNMB2 KCNMB3 KCNN3											
REACTOME_CA2_PATHWAY																														GNG4 ITPR1								FZD4 GNAO1 GNG2 GNG4 PDE6B											
REACTOME_CARBOXYTERMINAL_POST_TRANSLATIONAL_MODIFICATIONS_OF_TUBULIN		TTLL6 TUBB2B TUBB3			TPGS1 TUBB3							TTLL7 TUBA1A					TPGS1 TUBB2B													TTLL7 TUBB2B						TPGS1 TTLL6		TPGS1 TTLL10 TTLL6 TUBA1A TUBB2B	LRRC49 TUBB2B							TUBB2B TUBB3	TUBA1A TUBB3		
REACTOME_CARDIAC_CONDUCTION		CAMK2B KCNJ2 KCNK17 SLC8A1		ATP1A3 FXYD1 KCNJ2 KCNK17	CACNA1C CACNG6 FXYD1 FXYD6 KCNIP3 KCNJ11		CACNG6 FGF14 KCNIP3 SCN2A	CACNA1C CACNA2D2 CACNB2 CACNB4 FXYD6 KCNJ2 KCNK17 SCN1B SCN3B SLC8A1	ATP1A3 KCNE4 KCNK3							FXYD6 ITPR1				CACNB4 KCNE4	ATP1A3 CACNB4 ITPR1 KCNE4 KCNK17				CACNG6 KCNJ2 KCNK17 SCN2A SCN3B					CACNA2D2 ITPR1 KCNK3	CACNB4 FXYD1 SCN1B					CACNA2D1 CACNG4 KCNK16 KCNK17	KCNE4 KCNK16 SCN3B	ATP1A3 CACNA1C CACNB4 CACNG7 FGF14 KCNIP3 SCN1B				CACNA1C CACNB4 FXYD1 KCNH2 KCNK3						CAMK2B FGF14 ITPR1 KCNH2 KCNJ11 SCN1B SCN3B	CACNA1C CACNA2D2
REACTOME_CA_DEPENDENT_EVENTS		CAMK2B PRKCG									ADCY1 ADCY5				ADCY1 PRKCG																																		
REACTOME_CELLULAR_RESPONSES_TO_EXTERNAL_STIMULI																																		DYNC1I1 HSPA2 TUBA1A															
REACTOME_CELLULAR_RESPONSE_TO_HEAT_STRESS																														HSPA2 HSPA6																			
REACTOME_CELL_CELL_COMMUNICATION			ACTN3 CLDN6 PARD6A SDK1 SIRPA	CLDN6 DST SIRPA					CDH5 LIMS2 SFTPA2			ACTN3 CDH5 SDK2										CADM3 CLDN6 SIRPA			CLDN6 SFTPA2	DST SDK1 SFTPA2						DST KIRREL3 SIRPA										CDH5 DST KIRREL3 SDK2						ACTN3 CADM3 CLDN6 LIMS2 SIRPA	
REACTOME_CELL_CELL_JUNCTION_ORGANIZATION			CLDN6 PARD6A SDK1									CDH5 SDK2					CLDN6 PARD6A					CADM3 CLDN6																										CADM3 CLDN6	
REACTOME_CELL_CYCLE_CHECKPOINTS																																	CENPE DYNC1I1 UBE2S																
REACTOME_CELL_JUNCTION_ORGANIZATION			CLDN6 PARD6A SDK1	CLDN6 DST								CDH5 SDK2														DST SDK1																CDH5 DST SDK2						CADM3 CLDN6 LIMS2	
REACTOME_CGMP_EFFECTS								KCNMB3 PDE2A																														KCNMA1 KCNMB2 KCNMB3										ITPR1 PDE2A	
REACTOME_CHONDROITIN_SULFATE_BIOSYNTHESIS																																						BGN VCAN											
REACTOME_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM																																						BGN GPC6 VCAN				BGN GPC2							
REACTOME_CHYLOMICRON_ASSEMBLY								APOB APOC3																				APOA1 APOC3																					
REACTOME_CHYLOMICRON_REMODELING								APOB APOC3																				APOA1 APOC3																					
REACTOME_CILIUM_ASSEMBLY																																															SSTR3 TUBA1A TUBB3		
REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS_						APLN SSTR3		AGT AVPR1B CCL19 CHRM4 CNR1 CYSLTR2 MLN SST SSTR3	APLN BRS3 DRD2 FFAR2 PYY SST SSTR5								ADORA2A APLN CCL19 FFAR2 GPBAR1 SSTR1 TAC3			CCR6 CYSLTR2 DRD2				BRS3 UTS2B				CCL19 DRD2 ECE2 PYY SST										AGT BRS3 CCL19 DRD2 ECE2 FFAR1 GPBAR1 NPW NTS PYY TAC3				ADORA2A AGT AVPR1B CCR6 CXCL12 GAL GHRL MLN TAC3					CHRM4 CNR1 GAL SSTR3	AGT APLN BRS3 ECE2 GPBAR1 MLN NPW SSTR5 TAC3	
REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS_								CRH CYSLTR2 GIP UCN3																			CRH PTCH1 WNT9A			GNG4 PTCH1							FZD4 SCT	FZD4 GIP GNG2 GNG4 UCN3						CRH SCT			CRH WNT9A		
REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION															BLMH FBXL16 UBE2S																																		
REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS				DNM3 FZD4																																													
REACTOME_CLEC7A_DECTIN_1_SIGNALING																ITPR1 PLCG2																																	
REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES									COL14A1 COL16A1								COL12A1 COL1A2 COL21A1				COL12A1 COL14A1 COL1A2											COL12A1 COL16A1				COL12A1 COL16A1 COL21A1 COL22A1				ADAMTS2 COL22A1					ADAMTS2 COL21A1				
REACTOME_COLLAGEN_CHAIN_TRIMERIZATION									COL14A1 COL16A1								COL12A1 COL1A2 COL21A1				COL12A1 COL14A1 COL1A2											COL12A1 COL16A1				COL12A1 COL16A1 COL21A1 COL22A1													
REACTOME_COLLAGEN_DEGRADATION								COL14A1 COL1A2 MMP13 TMPRSS6	COL14A1 COL16A1 MMP13								COL12A1 COL1A2				COL12A1 COL14A1 COL1A2 MMP11 MMP13	COL12A1 MMP13 TMPRSS6										COL12A1 COL16A1				COL12A1 COL16A1 MMP11 MMP2													
REACTOME_COLLAGEN_FORMATION								COL14A1 COL1A2 DST MMP13	COL14A1 COL16A1 MMP13								COL12A1 COL1A2 COL21A1				COL12A1 COL14A1 COL1A2 MMP13											COL12A1 COL16A1 DST				COL12A1 COL16A1 COL21A1 COL22A1				ADAMTS2 COL22A1					ADAMTS2 COL21A1				
REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER																												FGF17 KLB																					
REACTOME_COOPERATION_OF_PDCL_PHLP1_AND_TRIC_CCT_IN_G_PROTEIN_BETA_FOLDING									RGS11 RGS9																													GNAO1 GNG2 GNG4											
REACTOME_COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING		TUBB2B TUBB3																																												TUBB2B TUBB3	TUBA1A TUBB3		
REACTOME_COPI_DEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC												CENPE TUBA1A																		KIF1A TUBB2B																KIF5A TUBB2B TUBB3	TUBA1A TUBB3		
REACTOME_COPI_INDEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC		TUBB2B TUBB3															DYNC1I1 TUBB2B																	DYNC1I1 TUBA1A												DYNC1I1 TUBB2B TUBB3	TUBA1A TUBB3		
REACTOME_COPI_MEDIATED_ANTEROGRADE_TRANSPORT																																		DYNC1I1 TUBA1A												DYNC1I1 TUBB2B TUBB3	SPTBN4 TUBA1A TUBB3		
REACTOME_CREB1_PHOSPHORYLATION_THROUGH_NMDA_RECEPTOR_MEDIATED_ACTIVATION_OF_RAS_SIGNALING		CAMK2B DLG2 NEFL																																														CAMK2B GRIN1	
REACTOME_CRMPS_IN_SEMA3A_SIGNALING			DPYSL3 DPYSL4		CDK5R1 DPYSL4				CRMP1 DPYSL3																																								
REACTOME_CS_DS_DEGRADATION																																						BGN VCAN											
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM		CAMK2B DLG2 GFRA3 IFI6 MX1 MX2 NEFL SNAP25 STX1A														HERC5 IFI6 IFIT1 MX2 XAF1		HERC5 IFIT1 MX1										CCL19 CRLF1 DUSP2 EDAR FGF17 KLB LCP1 MAPK12 NUP210													IL17C MX1 RET				BST2 GFRA3 HLA-DQA2 MAPK10 USP41 XAF1	CSH1 HERC5 IFIT1 IL11 MX2 SHC3 SOCS1			
REACTOME_CYTOSOLIC_SULFONATION_OF_SMALL_MOLECULES									SULT1A4 SULT2A1		PODXL2 SULT2A1								SULT1A4 SULT2A1				SULT1A4 SULT2A1															SULT2A1 TPST2										PODXL2 SULT1A4 SULT2A1 TPST2	
REACTOME_C_TYPE_LECTIN_RECEPTORS_CLRS_														ITPR1 MUC16 MUC5AC		ITPR1 PLCG2											MUC17 MUC5B																					ITPR1 MUC17 MUC3A MUC5B	
REACTOME_DAG_AND_IP3_SIGNALING		CAMK2B PRKCG									ADCY1 ADCY5				ADCY1 PRKCG						ADCY2 ITPR1									ADCY1 ITPR1																		CAMK2B ITPR1	
REACTOME_DAP12_INTERACTIONS																																										PLCG2 VAV3							
REACTOME_DAP12_SIGNALING																																										PLCG2 VAV3							
REACTOME_DECTIN_2_FAMILY												MUC15 MUC5AC		MUC16 MUC5AC													MUC17 MUC5B				MUC17 PLCG2																	MUC17 MUC3A MUC5B	
REACTOME_DEFECTIVE_B4GALT7_CAUSES_EDS_PROGEROID_TYPE																																						BGN GPC6 VCAN				BGN GPC2							
REACTOME_DEFECTIVE_C1GALT1C1_CAUSES_TN_POLYAGGLUTINATION_SYNDROME_TNPS_												MUC15 MUC5AC		MUC16 MUC5AC													MUC17 MUC5B																					MUC17 MUC3A MUC5B	
REACTOME_DEFECTIVE_CHST14_CAUSES_EDS_MUSCULOCONTRACTURAL_TYPE																																						BGN VCAN											
REACTOME_DEFECTIVE_CHST3_CAUSES_SEDCJD																																						BGN VCAN											
REACTOME_DEFECTIVE_CHSY1_CAUSES_TPBS																																						BGN VCAN											
REACTOME_DEFECTIVE_GALNT3_CAUSES_FAMILIAL_HYPERPHOSPHATEMIC_TUMORAL_CALCINOSIS_HFTC_												MUC15 MUC5AC		MUC16 MUC5AC													MUC17 MUC5B																					MUC17 MUC3A MUC5B	
REACTOME_DEFENSINS																																										CCR6 DEFB1							
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX								COL14A1 COL1A2 MMP13 SCUBE3 SPOCK3 TMPRSS6	COL14A1 COL16A1 MMP13										MMP2 SPOCK3		COL12A1 COL14A1 COL1A2 MMP11 MMP13 SCUBE3	COL12A1 MMP13 SCUBE1 TMPRSS6							FBN1 MMP13							COL12A1 COL16A1 MMP11 MMP2 SCUBE3 SPP1													
REACTOME_DERMATAN_SULFATE_BIOSYNTHESIS																																						BGN VCAN											
REACTOME_DEVELOPMENTAL_BIOLOGY		AKT3 GAP43 GFRA3 LEFTY1 MSI1 PAK6 PMP22 POU5F1 STX1A TUBB2B TUBB3																				ABLIM2 AKT3 CACNA1C CACNA1G EFNB3 GFRA3 LGI3 PAX6 PMP22 ROBO1 TRPC6 VAV3			CFC1 DNM3 RET SCN2A SCN3B TRPC7												CACNA1G CDK5R1 GFRA3 HHEX INSM1 KRT4 PLXNC1 ROBO1 SCN3B				DPYSL4 GAP43 MAFB RET								
REACTOME_DISEASE											ADCY1 ADCY5 EPM2A FGF9 GIP MUC15 STX1A TTR TUBB4A VCAN			ITPR1 MUC16 MUC5AC													CDK5R1 CRH KCNJ11 MUC17 MUC5B PPP1R3C SV2A			ADCY1 DLL4 FGF9 GNG4 GPBAR1 ITPR1 KIAA1549 LTF PRELP SFTPA2 TUBB2B																			
REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSAMINOGLYCAN_METABOLISM										PRELP VCAN																												BGN GPC6 VCAN				BGN GPC2							
REACTOME_DISEASES_ASSOCIATED_WITH_O_GLYCOSYLATION_OF_PROTEINS									ADAMTSL2 MUC15			MUC15 MUC5AC SPON2		MUC16 MUC5AC													MUC17 MUC5B				MUC17 SPON1 SPON2				MUC16 SPON2													MUC17 MUC3A MUC5B SPON2	
REACTOME_DISEASES_OF_CARBOHYDRATE_METABOLISM																	EPM2A KHK																																
REACTOME_DISEASES_OF_GLYCOSYLATION						ADAMTSL2 GPC2				MUC17 PRELP VCAN	MUC15 VCAN	MUC15 MUC5AC PRELP SPON2		MUC16 MUC5AC													MUC17 MUC5B				MUC17 PRELP SPON1 SPON2				MUC16 SPON2							ADAMTSL2 BGN GPC2 SPON1						MUC17 MUC3A MUC5B SPON2	
REACTOME_DISEASES_OF_METABOLISM						ADAMTSL2 GPC2				CYP27A1 MUC17 PRELP VCAN	EPM2A MUC15 VCAN	MUC15 MUC5AC PPP1R3C PRELP SPON2		MUC16 MUC5AC												CYP27A1 MUC3A SFTPA2	MUC17 MUC5B PPP1R3C				EPM2A MUC17 PRELP SPON1 SPON2				MUC16 SPON2													KHK MUC17 MUC3A MUC5B SPON2	
REACTOME_DISEASES_OF_MITOTIC_CELL_CYCLE																							CCND2 UBE2S														CCND2 UBE2S											CDKN1C UBE2S	
REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR																										APBB1 RTEL1																							
REACTOME_DOPAMINE_NEUROTRANSMITTER_RELEASE_CYCLE		SNAP25 STX1A SYN1			LIN7A SNAP25 SYN1										STX1A STXBP1						STX1A SYN1											LIN7A SNAP25						SNAP25 STX1A											
REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR3																																						FGF17 FGF9											
REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR4								FGF17 KLB																				FGF17 KLB										FGF17 FGF9 KLB											
REACTOME_ECM_PROTEOGLYCANS																																						BGN COL1A2 ITGA7 VCAN											
REACTOME_EFFECTS_OF_PIP2_HYDROLYSIS							TRPC6 TRPC7															PRKCH TRPC6												ITPR1 PRKCH															
REACTOME_ELEVATION_OF_CYTOSOLIC_CA2_LEVELS							TRPC6 TRPC7														ITPR1 P2RX6																					P2RX6 TRPC7						ITPR1 P2RX6	
REACTOME_ENDOGENOUS_STEROLS					ARNT2 CYP27A1																																												
REACTOME_EPHB_MEDIATED_FORWARD_SIGNALING																																																EFNB3 GRIN1	
REACTOME_EPH_EPHRIN_MEDIATED_REPULSION_OF_CELLS									EPHA4 EPHB3													EFNB3 VAV3	EPHB3 VAV3																			MMP2 VAV3							
REACTOME_ER_TO_GOLGI_ANTEROGRADE_TRANSPORT																																		DYNC1I1 TUBA1A												DYNC1I1 TUBB2B TUBB3	SPTBN4 TUBA1A TUBB3		
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION								COL14A1 COL1A2 DST JAM3 MMP13 SCUBE3 SPOCK3 TMPRSS6			SPOCK3 TTR VCAN						COL12A1 COL1A2 COL21A1 JAM3 MFAP2 TTR				COL12A1 COL14A1 COL1A2 ITGA7 MMP11 MMP13 SCUBE3	COL12A1 MMP13 SCUBE1 SPARC TMPRSS6							FBN1 MMP13 TTR			COL12A1 COL16A1 DST ITGA7				ADAM12 COL12A1 COL16A1 COL21A1 COL22A1 LTBP2 MMP11 MMP2 SCUBE3 SPP1		ADAM12 BGN COL14A1 COL1A2 ITGA7 JAM3 SPP1 TMPRSS6 VCAN		ADAMTS2 COL22A1		BGN DST JAM3 MMP2 SPOCK3 TMPRSS6							
REACTOME_EXTRA_NUCLEAR_ESTROGEN_SIGNALING																														BCL2 GNG4																			
REACTOME_FACTORS_INVOLVED_IN_MEGAKARYOCYTE_DEVELOPMENT_AND_PLATELET_PRODUCTION		DOCK8 TUBB2B TUBB3																												DOCK4 KIF1A TUBB2B				DOCK8 TUBA1A												DOCK8 KIF5A TUBB2B TUBB3			
REACTOME_FATTY_ACID_METABOLISM																																	ACBD7 ACOT7																
REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS																					ACSL6 ELOVL4																												
REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION																ITPR1 PLCG2																																	
REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION																							MAPK10 VAV3																										
REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS																ITPR1 PLCG2																																	
REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS											ADCY1 ADCY5					ITPR1 PLCG2														ADCY1 ITPR1																			
REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING																ITPR1 PLCG2																																	
REACTOME_FGFR1C_LIGAND_BINDING_AND_ACTIVATION																																						FGF17 FGF9											
REACTOME_FGFR1_LIGAND_BINDING_AND_ACTIVATION																																						FGF17 FGF9											
REACTOME_FGFR2C_LIGAND_BINDING_AND_ACTIVATION																																						FGF17 FGF9											
REACTOME_FGFR2_LIGAND_BINDING_AND_ACTIVATION																																						FGF17 FGF9											
REACTOME_FGFR3B_LIGAND_BINDING_AND_ACTIVATION																																						FGF17 FGF9											
REACTOME_FGFR3_LIGAND_BINDING_AND_ACTIVATION																																						FGF17 FGF9											
REACTOME_FLT3_SIGNALING		CAMK2B DLG2 GFRA3 NEFL																										DUSP2 FGF17 KLB MAPK12										DLG2 FGF17 FGF9 KLB MAPK12 RASAL1 RET SHC3 SPRED3 SPTBN4											
REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC		TUBB2B TUBB3																																				TUBA1A TUBB2B								TUBB2B TUBB3	TUBA1A TUBB3		
REACTOME_FOXO_MEDIATED_TRANSCRIPTION	NPY PCBP4																					AKT3 NPY																											
REACTOME_FRS_MEDIATED_FGFR1_SIGNALING																																						FGF17 FGF9											
REACTOME_FRS_MEDIATED_FGFR2_SIGNALING																																						FGF17 FGF9											
REACTOME_FRS_MEDIATED_FGFR3_SIGNALING																																						FGF17 FGF9											
REACTOME_FRS_MEDIATED_FGFR4_SIGNALING								FGF17 KLB																				FGF17 KLB										FGF17 FGF9 KLB											
REACTOME_FRUCTOSE_METABOLISM																																										AKR1B1 KHK						AKR1B1 KHK	
REACTOME_GABA_B_RECEPTOR_ACTIVATION				ADCY5 KCNJ2					ADCY1 GABBR2		ADCY1 ADCY5										ADCY2 KCNJ3				ADCY2 KCNJ2					ADCY1 GNG4						ADCY1 GABBR2		ADCY2 GNG2 GNG4 KCNJ3				ADCY2 KCNJ6				GNG2 KCNJ6			
REACTOME_GABA_RECEPTOR_ACTIVATION				ADCY5 KCNJ2					ADCY1 GABBR2 GABRB3 GABRG2	ADCY5 GABRG2	ADCY1 ADCY5														ADCY2 KCNJ2					ADCY1 GNG4						ADCY1 GABBR2		ADCY2 GABRA1 GNG2 GNG4 KCNJ3				ADCY2 GABRA1 KCNJ6				GNG2 KCNJ6			
REACTOME_GABA_SYNTHESIS_RELEASE_REUPTAKE_AND_DEGRADATION		SNAP25 STX1A													STX1A STXBP1																							SNAP25 STX1A											
REACTOME_GAP_JUNCTION_ASSEMBLY		TUBB2B TUBB3																																					GJD2 TUBB2B							TUBB2B TUBB3	TUBA1A TUBB3		
REACTOME_GAP_JUNCTION_TRAFFICKING_AND_REGULATION		TUBB2B TUBB3																																					GJD2 TUBB2B							TUBB2B TUBB3	TUBA1A TUBB3		
REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES																																													EVL HLA-DQA2				
REACTOME_GLI_PROTEINS_BIND_PROMOTERS_OF_HH_RESPONSIVE_GENES_TO_PROMOTE_TRANSCRIPTION																														BOC PTCH1																			
REACTOME_GLUCAGON_LIKE_PEPTIDE_1_GLP1_REGULATES_INSULIN_SECRETION																														GNG4 ITPR1																			
REACTOME_GLUCAGON_SIGNALING_IN_METABOLIC_REGULATION											ADCY1 ADCY5																			ADCY1 GNG4								ADCY2 GNG2 GNG4											
REACTOME_GLUCAGON_TYPE_LIGAND_RECEPTORS								CYSLTR2 GIP																														GIP GNG2 GNG4											
REACTOME_GLUTAMATE_NEUROTRANSMITTER_RELEASE_CYCLE		SNAP25 STX1A													STX1A STXBP1																							SNAP25 STX1A											
REACTOME_GLUTATHIONE_CONJUGATION																						GGT5 GSTM2	GGT5 GSTA2																			GGT5 GSTM2							
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM										PRELP VCAN																																							
REACTOME_GOLGI_TO_ER_RETROGRADE_TRANSPORT																																	CENPE DYNC1I1	DYNC1I1 TUBA1A												DYNC1I1 KIF5A TUBB2B TUBB3			
REACTOME_GPCR_LIGAND_BINDING						APLN SSTR3		AGT AVPR1B CCL19 CHRM4 CNR1 CRH CYSLTR2 GIP MLN SST SSTR3 UCN3	APLN BRS3 DRD2 FFAR2 GABBR2 PTCH1 PYY SST SSTR5 UCN3								ADORA2A APLN CCL19 FFAR2 GNG2 GPBAR1 SSTR1 TAC3							BRS3 FZD4 UTS2B			CCR6 CRH GABBR2 PTCH1 SSTR1 WNT9A	CCL19 DRD2 ECE2 PTHLH PYY SST		APLN GNG4 GPBAR1 PTCH1 SSTR5								AGT BRS3 CCL19 DRD2 ECE2 FFAR1 FZD4 GIP GNG2 GNG4 GPBAR1 NPW NTS PYY TAC3 UCN3	APLN DRD2 FZD4 GPBAR1 PYY WNT9A			ADORA2A AGT AVPR1B CCR6 CXCL12 GAL GHRL MLN SCT TAC3		AVPR1B CRH SCT TAC1			CHRM4 CNR1 CRH GAL SSTR3 WNT9A	AGT APLN BRS3 ECE2 GPBAR1 MLN NPW PTHLH SSTR5 TAC3	
REACTOME_GPVI_MEDIATED_ACTIVATION_CASCADE																	COL1A2 PLCG2																									PLCG2 VAV3							
