	AEBP1	ARNT2	ARX	ASCL1	ASCL2	ATOH8	CCDC17	CSRNP3	CXXC4	DACH1	DPF3	E2F7	EBF3	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	GRHL3	HES4	HEY1	HEYL	HHEX	HIC1	HLF	HMBOX1	INSM1	ISL1	KCNIP3	LMX1A	LMX1B	LTF	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NFAT5	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	PLAG1	POU2F2	POU5F1	PROX1	RFX6	SETBP1	SIM1	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF514	ZNF519	ZNF846	ZNF883
REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION																																																																			CHST8 CNIH2 SPTBN4 ST6GALNAC5 TUBA1A		
REACTOME_ASSEMBLY_AND_CELL_SURFACE_PRESENTATION_OF_NMDA_RECEPTORS			CAMK2B DLG2 TUBA1A TUBB2B		CAMK2B DLG2 TUBB4A							DLG2 LIN7A		CAMK2B LIN7A TUBA1A	DLG2 LIN7A TUBA1A			DLG2 TUBB4A						LIN7A TUBB4A			LIN7A TUBB2B TUBB4A				LIN7A TUBA1A TUBB2B	CAMK2B LIN7A TUBA1A TUBB2B					CAMK2B TUBB4A								TUBA1A TUBB2B TUBB4A		DLG2 LIN7A					CAMK2B LIN7A TUBA1A TUBB4A					DLG2 LIN7A TUBA1A TUBB2B	DLG2 LIN7A TUBB2B			DLG2 TUBA1A TUBB4A	CAMK2B TUBB4A							
REACTOME_A_TETRASACCHARIDE_LINKER_SEQUENCE_IS_REQUIRED_FOR_GAG_SYNTHESIS			BGN VCAN											B3GAT1 GPC2	B3GAT1 GPC2																	GPC2 VCAN							B3GAT1 VCAN		BGN GPC2		B3GAT1 BGN												GPC2 VCAN		BGN GPC2 VCAN				BGN GPC2								
REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING																					ITPR1 PRKCG																																																
REACTOME_BIOLOGICAL_OXIDATIONS																																																																					ARNT2 DPEP1
REACTOME_BIOSYNTHESIS_OF_THE_N_GLYCAN_PRECURSOR_DOLICHOL_LIPID_LINKED_OLIGOSACCHARIDE_LLO_AND_TRANSFER_TO_A_NASCENT_PROTEIN			ST6GALNAC5 ST8SIA3 ST8SIA5																										ST6GALNAC5 ST8SIA5																																								
REACTOME_CA2_ACTIVATED_K_CHANNELS														KCNMA1 KCNMB2					KCNMA1 KCNMB2										KCNMA1 KCNMB2		KCNMA1 KCNMB2				KCNMA1 KCNMB2				KCNMA1 KCNMB2					KCNMA1 KCNMB2		KCNMA1 KCNMB2									KCNMA1 KCNMB2		KCNMA1 KCNMB2												
REACTOME_CA2_PATHWAY															GNAO1 GNG2 GNG4 ITPR1			GNG2 ITPR1											GNAO1 ITPR1					GNG2 GNG4 ITPR1	GNAO1 GNG2 GNG4								GNAO1 GNG4 ITPR1		GNG4 ITPR1					GNG2 ITPR1						GNAO1 GNG4 ITPR1	GNAO1 GNG2 GNG4 ITPR1	GNAO1 GNG2 GNG4			GNAO1 GNG4 ITPR1			GNAO1 ITPR1					
REACTOME_CARBOXYTERMINAL_POST_TRANSLATIONAL_MODIFICATIONS_OF_TUBULIN			TTLL6 TUBA1A TUBB2B		TTLL6 TUBB4A							LRRC49 TTLL7					TTLL6 TTLL7	TTLL6 TTLL7 TUBB4A	LRRC49 TTLL6 TTLL7 TUBA1A								TTLL7 TUBB2B TUBB4A		TTLL6 TTLL7		LRRC49 TTLL7 TUBA1A TUBB2B	LRRC49 TTLL6 TTLL7 TUBA1A TUBB2B		LRRC49 TTLL6 TTLL7	LRRC49 TTLL6 TTLL7		TTLL7 TUBB4A						LRRC49 TTLL6 TTLL7		TTLL7 TUBA1A TUBB2B TUBB4A	LRRC49 TTLL6 TTLL7				TTLL6 TUBA1A		LRRC49 TTLL6 TTLL7 TUBA1A TUBB4A					LRRC49 TTLL6 TUBA1A TUBB2B	LRRC49 TTLL6 TTLL7 TUBB2B			LRRC49 TUBA1A TUBB4A	LRRC49 TUBB4A					LRRC49 TUBA1A	LRRC49 TTLL6 TTLL7	
REACTOME_CARDIAC_CONDUCTION			CACNA1C CACNA2D1 CAMK2B FGF14 KCNJ2 KCNK17 SCN2A SLC8A1	CAMK2B KCNJ11 KCNJ2 KCNK17 SCN1B SCN3A	ATP1A3 CAMK2B KCNH2 KCNJ11 KCNJ2 KCNK17 SCN1B							ATP1A3 CACNA1C CACNB2 ITPR1 KCNIP3 KCNJ11		CACNA2D1 CAMK2B FGF14 KCNH2 KCNIP3 KCNJ2 KCNK16 KCNK17 SCN1B SCN2A SCN3A SLC8A1	ATP1A3 CACNA1C CACNA2D1 CACNB2 FGF14 ITPR1 KCNH2 KCNIP3 KCNJ2 KCNK16 KCNK17 SCN1B SLC8A1	ATP1A3 KCNJ2 KCNK3 SCN1B SCN2A			ATP1A3 CACNA1C ITPR1 KCNK3							ITPR1 KCNK17			CACNA1C FGF14 ITPR1 KCNK3 SCN3A		CACNA1C FGF14 KCNJ2 KCNK17 SCN2A	ATP1A3 CACNA2D1 CAMK2B ITPR1 KCNK17 KCNK3		CACNA1C CACNA2D1 CACNG4 ITPR1 KCNJ11 KCNJ2 KCNK16 KCNK17 KCNK3 SLC8A1	ATP1A3 CACNA1C CACNG4 KCNH2 KCNJ11 KCNJ2 KCNK16 KCNK17 KCNK3 SLC8A1		CAMK2B KCNH2 KCNIP3 KCNJ11 KCNJ2 KCNK17 KCNK3	CACNA2D1 KCNJ2 KCNK17 KCNK3 SCN2A SLC8A1	ATP1A3 CACNA1C CACNA2D1 CACNG4 CAMK2B FGF14 KCNH2 KCNIP3 KCNK3 SCN2A SCN3A SLC8A1		CAMK2B KCNH2 KCNJ11 KCNK17 KCNK3 SCN1B	CACNB2 SCN3A	ATP1A3 CACNA2D1 CAMK2B ITPR1 KCNIP3 KCNJ2 KCNK3 SCN1B	CACNA1C CACNA2D1 CACNB2 ITPR1 SCN2A SLC8A1	CACNA2D1 FGF14 ITPR1 KCNJ11 KCNK3	ATP1A3 CACNA2D1 FGF14 KCNIP3 KCNJ11 KCNJ2 SCN1B	ATP1A3 KCNJ2 KCNK3 SLC8A1	CACNA1C SLC8A1	CACNA2D1 FGF14 KCNK17	CACNA2D1 ITPR1 KCNK16 KCNK17		ATP1A3 CACNB2 CACNG4 CAMK2B FGF14 KCNH2 KCNJ11 KCNK16 SLC8A1		CACNB2 SCN3A	ATP1A3 CACNA2D1 CACNG4 ITPR1 KCNK16 KCNK17 SLC8A1	ATP1A3 CACNA1C CAMK2B ITPR1 KCNIP3 KCNJ11 KCNJ2 KCNK16 KCNK3 SCN1B	ATP1A3 CACNA1C CACNA2D1 FGF14 ITPR1 KCNH2 KCNIP3 KCNK3 SCN1B SCN2A SLC8A1	CACNA1C FGF14 KCNIP3 KCNJ2 KCNK17 SCN2A SCN3A SLC8A1		ATP1A3 CACNA2D1	ATP1A3 CACNA1C CACNA2D1 CACNG4 ITPR1 KCNH2 KCNIP3 KCNJ2 KCNK3		KCNH2 SCN1B	ATP1A3 CACNB2 ITPR1	ATP1A3 CACNA1C CACNB2 SCN2A SLC8A1		ATP1A3 KCNJ11 KCNJ2 KCNK3 SCN1B	CAMK2B FGF14 ITPR1 KCNH2 KCNIP3 KCNJ11 KCNJ2 SCN1B	CACNA1C KCNH2
REACTOME_CARGO_TRAFFICKING_TO_THE_PERICILIARY_MEMBRANE													CNGA4 SSTR3																																																								
REACTOME_CA_DEPENDENT_EVENTS			ADCY1 CAMK2B PRKCG	ADCY1 ADCY5 CAMK2B	ADCY1 ADCY5 CAMK2B										ADCY1 ADCY2 ADCY5 PRKCG	ADCY1 ADCY5		ADCY1 ADCY5	ADCY1 ADCY2 ADCY5						ADCY1 PRKCG		ADCY1 ADCY2 ADCY5				ADCY2 ADCY5	ADCY1 ADCY2 CAMK2B		ADCY1 ADCY2 ADCY5			ADCY2 CAMK2B	ADCY2 ADCY5	ADCY5 CAMK2B				ADCY1 ADCY2 ADCY5 CAMK2B PRKCG	ADCY2 ADCY5	ADCY1 ADCY5					ADCY1 ADCY2		CAMK2B PRKCG			ADCY1 ADCY5 PRKCG	ADCY5 CAMK2B PRKCG					ADCY1 ADCY2 ADCY5 PRKCG							ADCY5 CAMK2B PRKCG	
REACTOME_CD28_CO_STIMULATION			AKT3 GRAP2 PAK3																								AKT3 GRAP2				AKT3 GRAP2 PAK3	AKT3 GRAP2			AKT3 GRAP2 PAK3				AKT3 PAK3																AKT3 GRAP2														
REACTOME_CELL_CELL_COMMUNICATION																										CADM2 SDK2														CADM2 SDK1																													
REACTOME_CELL_CELL_JUNCTION_ORGANIZATION				CADM2 SDK1																						CADM2 SDK2													CADM2 SDK1 SDK2	CADM2 SDK1			CADM2 SDK1 SDK2													CADM2 SDK1 SDK2						CADM2 SDK1							
REACTOME_CELL_DEATH_SIGNALLING_VIA_NRAGE_NRIF_AND_NADE																																									MCF2L VAV3																												
REACTOME_CELL_JUNCTION_ORGANIZATION																										CADM2 SDK2														CADM2 SDK1																						CADM2 SDK1							
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL									APOB ITGA4																																																												
REACTOME_CGMP_EFFECTS												ITPR1 PDE2A		KCNMA1 KCNMB2 PDE2A	ITPR1 PDE2A				ITPR1 KCNMA1 KCNMB2 PDE2A										ITPR1 KCNMA1 KCNMB2		KCNMA1 KCNMB2	ITPR1 KCNMA1		ITPR1 KCNMB2 PDE2A	KCNMA1 KCNMB2 PDE2A		KCNMA1 PDE2A		KCNMA1 KCNMB2				ITPR1 PDE2A	ITPR1 KCNMA1 KCNMB2		KCNMA1 KCNMB2	KCNMA1 PDE2A								ITPR1 KCNMA1 KCNMB2 PDE2A	ITPR1 KCNMB2	ITPR1 KCNMA1 KCNMB2				ITPR1 KCNMB2							ITPR1 PDE2A	
REACTOME_CHONDROITIN_SULFATE_BIOSYNTHESIS			BGN VCAN																																																						BGN VCAN												
REACTOME_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM																																									BGN GPC2																BGN GPC2 VCAN												
REACTOME_CILIUM_ASSEMBLY													CNGA4 SSTR3 TUBB4A																																																								
REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS_								SUCNR1 TACR3					ADORA2A AGT APLN GHRL SSTR3	APLN AVPR1B CHRM4 CNR1 FFAR2 GHRL MLN SST SSTR2 SSTR3 SUCNR1 TACR3	AGT AVPR1B BRS3 CHRM4 CNR1 FFAR2 GHRL HRH3 MLN SST SSTR1 SSTR3		APLN DRD2 FFAR2 GHRL SSTR2				ADORA2A AGT BRS3 MLN								AGT AVPR1B NPY SSTR1 SSTR2					APLN AVPR1B CHRM4 CNR1 DRD2 FFAR2 NPY SST SSTR1 TAC3	ADORA2A AGT APLN AVPR1B BRS3 CHRM4 CNR1 NPY SST TAC3	NPY SUCNR1 TACR3										APLN AVPR1B BRS3 CHRM4 DRD2 MLN NPY SSTR3								SST SUCNR1 TACR3				ADORA2A AGT APLN BRS3 CNR1 DRD2 FFAR2 HRH3 MLN			ADORA2A AGT AVPR1B CHRM4 CNR1 GHRL MLN SSTR1 SSTR3 TAC3							AGT APLN BRS3 CHRM4 CNR1 MLN TAC3	
REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS_			GNG2 GNG4 UCN3 WNT9A											GNG2 GNG4 PTHLH UCN3 WNT9A																				GNG2 GNG4 PTCH1 PTHLH	GNG2 GNG4 PTHLH WNT9A										GNG4 PTCH1 UCN3											GNG4 PTCH1 UCN3 WNT9A	GNG2 GNG4 PTCH1 PTHLH UCN3 WNT9A	GNG2 GNG4 PTHLH UCN3 WNT9A										GNG4 PTCH1 PTHLH UCN3 WNT9A	
REACTOME_CLEC7A_DECTIN_1_SIGNALING																										ITPR1 PLCG2																																											
REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES					COL12A1 COL21A1												COL12A1 COL21A1															COL12A1 COL21A1 COL22A1									COL12A1 COL22A1						COL12A1 COL21A1 COL22A1			COL21A1 COL22A1					COL12A1 COL21A1 COL22A1													COL12A1 COL21A1 COL22A1	
REACTOME_COLLAGEN_CHAIN_TRIMERIZATION				COL12A1 COL22A1	COL12A1 COL21A1												COL12A1 COL21A1	COL12A1 COL21A1									COL12A1 COL21A1					COL12A1 COL21A1 COL22A1									COL12A1 COL22A1						COL12A1 COL21A1 COL22A1			COL21A1 COL22A1					COL12A1 COL21A1 COL22A1						COL12A1 COL21A1 COL22A1							COL12A1 COL21A1 COL22A1	
REACTOME_COLLAGEN_DEGRADATION																													COL12A1 MMP2																																								
REACTOME_COLLAGEN_FORMATION																																															COL12A1 COL21A1 COL22A1																					COL12A1 COL21A1 COL22A1	
REACTOME_COOPERATION_OF_PDCL_PHLP1_AND_TRIC_CCT_IN_G_PROTEIN_BETA_FOLDING			GNG2 GNG4 RGS9									GNAO1 RGS9		GNAO1 GNG2 GNG4	GNAO1 GNG2 GNG4 RGS9																				GNAO1 GNG2 GNG4				GNAO1 GNG4 RGS9				GNAO1 GNG4 RGS9			GNAO1 GNG2 RGS9	GNG2 GNG4					GNG2 GNG4 RGS9				GNAO1 GNG4 RGS9	GNAO1 GNG2 GNG4 RGS9	GNAO1 GNG2 GNG4			GNAO1 GNG4 RGS9				GNG2 RGS9			GNG4 RGS9	
REACTOME_COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING			TUBA1A TUBB2B																								TUBB2B TUBB4A				TUBA1A TUBB2B	TUBA1A TUBB2B													TUBA1A TUBB2B TUBB4A							TUBA1A TUBB4A																	
REACTOME_COPI_DEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC			CENPE KIF1A KIF5A TUBA1A TUBB2B																								KIF5A TUBB2B TUBB4A				CENPE KIF5A TUBA1A TUBB2B	CENPE KIF5A TUBA1A TUBB2B					KIF19 KIF5A TUBB4A			CENPE KIF5A TUBB2B		KIF1A TUBB2B			KIF1A TUBA1A TUBB2B TUBB4A												CENPE KIF19 KIF5A TUBA1A TUBB2B					CENPE TUBB4A							
REACTOME_COPI_INDEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC																											TUBB2B TUBB4A																		TUBA1A TUBB2B TUBB4A																								
REACTOME_COPI_MEDIATED_ANTEROGRADE_TRANSPORT					ANK2 SPTBN4 TUBB4A								SPTBN4 TUBB4A														ANK2 TUBB2B TUBB4A				ANK2 SPTBN4 TUBA1A TUBB2B														TUBA1A TUBB2B TUBB4A							ANK2 SPTBN4 TUBA1A TUBB4A																	
REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY			AKT3 GRAP2 HLA-DQA2 PAK3																											HLA-DQA2 PAK3	AKT3 GRAP2 HLA-DQA2 PAK3					HLA-DQA2 PAK3																		HLA-DQA2 PAK3															
REACTOME_CREB1_PHOSPHORYLATION_THROUGH_NMDA_RECEPTOR_MEDIATED_ACTIVATION_OF_RAS_SIGNALING			CAMK2B DLG2		CAMK2B DLG2																																		CAMK2B DLG2				CAMK2B DLG2																										
REACTOME_CRMPS_IN_SEMA3A_SIGNALING				CDK5R1 DPYSL4	CDK5R1 DPYSL4							CDK5R1 DPYSL4		CDK5R1 CRMP1 DPYSL4	CDK5R1 CRMP1																																										CDK5R1 DPYSL4												
REACTOME_CS_DS_DEGRADATION			BGN VCAN																																																						BGN VCAN												
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM																BCL2 CRLF1 CSH1 DLG2 EDAR FGF17 FGF9 GFRA1 HERC5 KSR2 MAPK10 MAPK12 MMP2 MX2 RASAL1 RSAD2 SNAP25 SPRED3 STX1A		BCL2 BST2 CSF1R CSH1 DLG2 EDAR FGF9 GFRA1 HERC5 KSR2 SPRED3 STX1A	BCL2 CSF1R DLG2 EDAR KSR2 MAPK10 MX2 NCAM1 RASAL1 RSAD2 SNAP25 SPRED3 SPTBN4 STX1A USP41 XAF1				BST2 HLA-DQA2 IFI27																		CAMK2B CRLF1 CSF1R EDAR HERC5 KSR2 MAPK10 PELI3 RASAL1 RSAD2		BCL2 CAMK2B CRLF1 DLG2 EDAR FGF17 GFRA1 MAPK10 MAPK12 MMP2 MX1 MX2 NCAM1 RASAL1 RSAD2 SNAP25 SPRED3 SPTBN4 STX1A			BCL2 CRLF1 EDAR FGF17 FGF9 GFRA1 HERC5 KSR2 MAPK10 MMP2 MX1 NCAM1 PELI3 RASAL1 RET RSAD2 SNAP25 SPTBN4 USP41		BCL2 CSF1R MAPK12 MX1 PELI3 SPRED3 USP41					CSH1 GFRA1 TNFSF14 XAF1		CRLF1 DLG2 FGF17 FGF9 GFRA1 GFRA3 HERC5 KSR2 MAPK10 MMP2 MX2 NCAM1 PELI3 RASAL1 RSAD2 SPTBN4 STX1A TNFSF14 USP41				EDAR HERC5 HLA-DQA2 KIT		BCL2 CRLF1 CSF1R CSH1 DLG2 EDAR GFRA1 HERC5 IFI27 KIT KSR2 MAPK10 MAPK12 MMP2 MX1 MX2 PELI3 RASAL1 RET RSAD2 SPRED3 STX1A TNFSF14 USP41			BST2 DLG2 GFRA3 HLA-DQA2 MAPK10 USP41 XAF1					
REACTOME_CYTOSOLIC_SULFONATION_OF_SMALL_MOLECULES			PODXL2 SULT1A4									PODXL2 SULT1A4		PODXL2 SULT1A4	PODXL2 SULT1A4														PODXL2 SULT1A4		PODXL2 SULT1A4	PODXL2 SULT1A4											PODXL2 SULT1A4				PODXL2 SULT1A4														PODXL2 SULT1A4							PODXL2 SULT1A4	
REACTOME_C_TYPE_LECTIN_RECEPTORS_CLRS_																										ITPR1 MUC15 PLCG2																																											
REACTOME_DAG_AND_IP3_SIGNALING		ITPR1 PRKCG	ADCY1 CAMK2B PRKCG	ADCY1 ADCY5 CAMK2B	ADCY1 ADCY5 CAMK2B							ITPR1 PRKCG			ADCY1 ADCY2 ADCY5 ITPR1 PRKCG	ADCY1 ADCY5		ADCY1 ADCY5 ITPR1	ADCY1 ADCY2 ADCY5 ITPR1		ITPR1 PRKCG				ADCY1 PRKCG		ADCY1 ADCY2 ADCY5					ADCY1 ADCY2 CAMK2B ITPR1		ADCY1 ADCY2 ADCY5 ITPR1			ADCY2 CAMK2B	ADCY2 ADCY5					ADCY1 ADCY2 ADCY5 CAMK2B ITPR1 PRKCG	ADCY2 ADCY5 ITPR1	ADCY1 ADCY5 ITPR1					ADCY1 ADCY2 ITPR1					ADCY1 ADCY5 ITPR1 PRKCG	ADCY5 CAMK2B ITPR1 PRKCG	ADCY1 ADCY2 ITPR1				ADCY1 ADCY2 ADCY5 ITPR1 PRKCG							ADCY5 CAMK2B ITPR1 PRKCG	
REACTOME_DAP12_INTERACTIONS					GRAP2 PLCG2																						GRAP2 PLCG2										GRAP2 PLCG2	GRAP2 PLCG2			GRAP2 VAV3																				GRAP2 PLCG2 VAV3								
REACTOME_DAP12_SIGNALING			GRAP2 PLCG2		GRAP2 PLCG2									GRAP2 VAV3													GRAP2 PLCG2					GRAP2 PLCG2		GRAP2 VAV3	GRAP2 VAV3		GRAP2 PLCG2	GRAP2 PLCG2	PLCG2 VAV3		GRAP2 VAV3											GRAP2 VAV3			GRAP2 PLCG2	GRAP2 PLCG2					GRAP2 PLCG2 VAV3								
REACTOME_DECTIN_2_FAMILY			MUC15 PLCG2		MUC5B PLCG2									MUC15 MUC5B												MUC15 PLCG2	MUC5B PLCG2					MUC15 PLCG2			MUC15 MUC5B								MUC15 MUC5B												MUC5B PLCG2		MUC15 MUC5B PLCG2	MUC5B PLCG2			MUC5B PLCG2								
REACTOME_DEFECTIVE_B4GALT7_CAUSES_EDS_PROGEROID_TYPE			BGN VCAN																													GPC2 VCAN									BGN GPC2														GPC2 VCAN		BGN GPC2 VCAN				BGN GPC2								
REACTOME_DEFECTIVE_C1GALT1C1_CAUSES_TN_POLYAGGLUTINATION_SYNDROME_TNPS_														MUC15 MUC5B																					MUC15 MUC5B								MUC15 MUC5B														MUC15 MUC5B												
REACTOME_DEFECTIVE_CHST14_CAUSES_EDS_MUSCULOCONTRACTURAL_TYPE			BGN VCAN																																																						BGN VCAN												
REACTOME_DEFECTIVE_CHST3_CAUSES_SEDCJD			BGN VCAN																																																						BGN VCAN												
REACTOME_DEFECTIVE_CHSY1_CAUSES_TPBS			BGN VCAN																																																						BGN VCAN												
REACTOME_DEFECTIVE_GALNT3_CAUSES_FAMILIAL_HYPERPHOSPHATEMIC_TUMORAL_CALCINOSIS_HFTC_														MUC15 MUC5B																					MUC15 MUC5B								MUC15 MUC5B														MUC15 MUC5B												
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX																													COL12A1 MMP2 SPOCK3															COL12A1 FBN1 MMP2 SPOCK3																									
REACTOME_DERMATAN_SULFATE_BIOSYNTHESIS			BGN VCAN																																																						BGN VCAN												
REACTOME_DEVELOPMENTAL_BIOLOGY			AKT3 BOC CACNA1C CFC1 DOK6 EPHA4 GAP43 GATA2 GFRA3 ISL1 KLK12 MAPK12 MMP2 MSI1 NFASC PAK3 PAX6 PMP22 SCN2A STX1A TUBA1A TUBB2B			EPHA8 PAX4 TUBB4A							CFC1 EVL GATA2 PAX6 PMP22 SPTBN4 TUBB4A	ANK2 BOC CDK5R1 CFC1 CRMP1 DCX DPYSL4 EFNB3 EPHA4 EPHA8 EPHB3 EVL GAP43 GCK GDF1 GFRA1 GFRA3 ISL1 KLK12 NCAM1 NFASC PAX6 PLXNC1 PMP22 RET RFX6 ROBO1 SCN1B SCN2A SCN3A SPTBN4 TUBA1A VAV3	AKT3 ANK2 CACNA1C CACNB2 CDK5R1 CFC1 CRMP1 DOK6 EFNB3 EPHA8 GAP43 GCK GDF1 GFRA1 GFRA3 ISL1 KLK12 MAPK12 MSI1 NFASC PAX6 PLXNC1 PMP22 RET RFX6 SCN1B SPTBN4 STX1A TUBA1A					CHL1 GDF1 NCAM1 TUBB4A								EPHA8 GAP43 GATA2 NCAM1 NKX2-2 PAX4		EPHA8 GATA2 GDF1 PAK3 SCN3A	AKT3 ANK2 BOC CACNA1C CFC1 DSCAML1 EPHA4 EPHB3 GAP43 GATA2 GCK GFRA3 ISL1 NCAM1 PAK3 PAX6 PMP22 ROBO1 SCN2A SPTBN4 STX1A TUBA1A TUBB2B					DCX EPHA8 GATA2 GDF1 PAK3 SCN3A	CACNA1H CFC1 DSCAML1 GCK INSM1 KLK12 MMP2 NEUROD1 NFASC NKX2-2 PAX4 PMP22 RET TUBB4A		AKT3 CACNA1C CACNG4 CDK5R1 CHL1 DSCAML1 EFNB3 EPHA4 EPHB3 EVL GAP43 INSM1 ISL1 MMP2 NCAM1 NEUROD1 PAK3 PLXNC1 PMP22 RFX6 ROBO1 SCN2A SCN3A SPTBN4 STX1A VAV3									CACNA1C CACNA1H EPHA4 EPHB3 MAPK12 PAX6				ANK2 BOC CACNA1H CACNB2 CACNG4 CDK5R1 EFNB3 EPHA4 GCK INSM1 MAPK12 MMP2 MSI1 NEUROD1 NFASC NKX2-2 PAX4 PAX6 PLXNC1 RET SPTBN4 TUBA1A TUBB4A VAV3						AKT3 CACNA1C CFC1 CRMP1 DCX DOK6 DSCAML1 EPHA8 GAP43 GATA2 GCK GDF1 GFRA1 ISL1 MAPK12 NFASC PAX6 PMP22 RET RFX6 SCN2A SCN3A TUBB2B		DPYSL4 EFNB3 EPHA4 GAP43 GDF1 RET						CACNB2 TUBA1A			
REACTOME_DISEASE					ABCC8 ADAMTSL1 ADAMTSL2 ADCY1 ADCY5 CAMK2B CDK5R1 CDKN1C DLL1 DPEP1 FGF9 GCK GPC2 HEYL KCNJ11 KSR2 MUC5B PLCG2 SPON1 SV2B TUBB4A	ADORA2A DPEP1 KIT TUBB4A																																			ADAMTSL2 BGN CAMK2B CDK5R1 CDKN1C GGT5 GPC2 KCNJ11 KSR2 MUC5B PRELP SPON1 SPON2 SV2A VAV3																												
REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSAMINOGLYCAN_METABOLISM												GPC2 PRELP				PRELP VCAN	PRELP VCAN	PRELP VCAN	PRELP VCAN																		GPC2 PRELP	GPC2 PRELP			BGN GPC2 PRELP						GPC2 PRELP										BGN GPC2 PRELP VCAN												
REACTOME_DISEASES_ASSOCIATED_WITH_O_GLYCOSYLATION_OF_PROTEINS					ADAMTSL1 ADAMTSL2 MUC5B SPON1							ADAMTSL1 MUC5B SPON1			ADAMTSL2 MUC15 SPON1 SPON2	ADAMTSL1 ADAMTSL2 MUC15 SPON1	SPON1 SPON2									MUC15 SPON1					ADAMTSL1 MUC15 SPON1	ADAMTSL1 MUC15 SPON1		ADAMTSL1 ADAMTSL2 MUC15 SPON1 SPON2	ADAMTSL2 MUC15 MUC5B SPON1			SPON1 SPON2	ADAMTSL1 SPON1 SPON2		ADAMTSL2 MUC5B SPON1 SPON2		ADAMTSL1 MUC15 MUC5B												ADAMTSL2 MUC5B SPON1 SPON2		ADAMTSL1 MUC15 MUC5B SPON2	ADAMTSL2 MUC5B SPON1										ADAMTSL1 MUC5B SPON2	
REACTOME_DISEASES_OF_GLYCOSYLATION					ADAMTSL1 ADAMTSL2 GPC2 MUC5B SPON1							ADAMTSL1 GPC2 MUC5B PRELP SPON1	ADAMTSL2 GPC2		ADAMTSL2 GPC2 MUC15 PRELP SPON1 SPON2	ADAMTSL1 ADAMTSL2 MUC15 PRELP SPON1 VCAN	PRELP SPON1 SPON2 VCAN	MUC15 PRELP SPON1 VCAN	MUC15 PRELP SPON2 VCAN													ADAMTSL1 GPC2 MUC15 SPON1 VCAN	BGN MUC5B	ADAMTSL1 ADAMTSL2 MUC15 PRELP SPON1 SPON2			ADAMTSL2 GPC2 PRELP SPON2	GPC2 PRELP SPON1 SPON2	ADAMTSL1 PRELP SPON1 SPON2 VCAN		ADAMTSL2 BGN GPC2 MUC5B PRELP SPON1 SPON2						ADAMTSL2 GPC2 PRELP SPON1	PRELP SPON2							ADAMTSL2 GPC2 MUC5B SPON1 SPON2 VCAN		ADAMTSL1 BGN GPC2 MUC15 MUC5B PRELP SPON2 VCAN				ADAMTSL2 BGN GPC2 MUC5B SPON1								
REACTOME_DISEASES_OF_METABOLISM					ADAMTSL1 ADAMTSL2 GPC2 MUC5B SPON1												PRELP SPON1 SPON2 VCAN																BGN MUC5B					GPC2 PRELP SPON1 SPON2			ADAMTSL2 BGN GPC2 MUC5B PRELP SPON1 SPON2																												
REACTOME_DOPAMINE_NEUROTRANSMITTER_RELEASE_CYCLE			CPLX1 SNAP25 STX1A STXBP1 SYN1									LIN7A SNAP25 STXBP1 SYN1		LIN7A SYN1	LIN7A SNAP25 STX1A SYN1	SNAP25 STX1A		CPLX1 STX1A	SNAP25 STX1A						STX1A STXBP1		CPLX1 LIN7A SNAP25				CPLX1 LIN7A SNAP25 STX1A SYN1	CPLX1 LIN7A SNAP25 STX1A STXBP1 SYN1		CPLX1 LIN7A SNAP25 SYN1	CPLX1 SNAP25 STX1A SYN1		CPLX1 STXBP1		CPLX1 SNAP25 STX1A				CPLX1 SNAP25 STX1A STXBP1			CPLX1 SNAP25	CPLX1 LIN7A SNAP25 SYN1		CPLX1 LIN7A			LIN7A SNAP25			CPLX1 STX1A STXBP1	CPLX1 LIN7A STXBP1 SYN1	LIN7A SNAP25 STX1A	CPLX1 LIN7A SYN1			CPLX1 STX1A SYN1				CPLX1 STXBP1				
REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR1																FGF17 FGF9															FGF17 FGF9	FGF17 FGF9		FGF17 FGF9												FGF17 FGF9									FGF17 FGF9														
