	ARX	E2F7	FEV	FOXD4L5	FOXP2	HIC1	ONECUT1	PBX3	SOX4	TFCP2L1	ZNF519	ZNF846
GO_NEUROTRANSMITTER_TRANSPORT	PRKCG SLC18A1 SNAP25 STX1A SV2B SYN1 SYT2	BAIAP3 BRSK1 LIN7A NRXN2 SNAP25 SYN1 SYP	BAIAP3 CACNB2 CHRNA5 CPLX2 NRXN2 PRKCG SLC6A17 STXBP5L SV2A SV2B SYP SYT2	ADCY1 CHRNA5 DDC NRXN2 UNC13A	ADCY1 CHRNA3 CHRNA5 CHRNB2 SLC18A1 STX1A STXBP5L	ADCY1 PRKCG STX1A STXBP5L SYT5		ADORA2A BRSK1 GRIK5 LIN7A PRRT2 SNAP25	BAIAP3 BRSK1 CHRNA5 CPLX2 GRIK5 NRXN2 SLC18A1 SNAP25 STX1A STXBP5L SV2A SV2B SYP	ADORA2A BAIAP3 BRSK1 DDC NRXN2 PRRT2 SYN1 SYT2	CPLX2 GRIK5 NCS1 SYP	
GO_PASSIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	ANXA6 KCNB2 KCNJ2 KCNK17 SNAP25 TRPM2	CACNA1C CACNG6 CNGA3 KCNH8 KCNJ11 KCNN3 SNAP25	ASIC4 CACNA1C CACNB2 CACNB4 CHRNA5 CNGA3 KCNB2 KCNH8 KCNJ2 KCNJ3 KCNK17 KCNMB3 SCN1B SCN3B SLC26A7 TRPC6	CHRNA5 GABRB3 KCNK3 TRPC6 TRPM2	CHRNA3 CHRNA5 CHRNB2 KCNMB3			GABRP GRIK5 KCNAB2 SNAP25	ABCC8 ANXA6 ASIC4 CACNA1A CACNA1C CACNB4 CACNG7 CHRNA5 GABRA1 GABRP GRIK5 KCNB2 KCNH3 KCNH6 KCNJ3 KCNMA1 KCNMB2 KCNMB3 KCNN3 SCN1B SNAP25	ASIC4 CACNA1C CACNB4 CNGA3 GABRA1 KCNH2 KCNJ6 KCNK3 P2RX6 TRPC7	ANXA6 GRIK5 NCS1	ANXA6 GRIN1 KCNH2 KCNJ11 P2RX6 SCN1B SCN3B
GO_PLASMA_MEMBRANE_PROTEIN_COMPLEX	DCHS1 KCNB2 KCNJ2 SNAP25 STX1A	CACNA1C CACNG6 CDHR3 CNIH2 ITGBL1 KCNJ11 LIN7A SNAP25	CACNA1C CACNB2 CACNB4 CDHR3 CHRNA5 ITGBL1 KCNB2 KCNJ2 KCNJ3 KCNMB3 RET SCN1B SCN3B		CHRNA3 CHRNA5 CHRNB2 KCNMB3 SGCD STX1A	ABCC9 SHISA9 STX1A		CATSPERB GNG4 GRIK5 KCNAB2 LIN7A SNAP25	ABCC8 ATP1A3 CACNA1A CACNA1C CACNB4 CACNG7 CATSPERB CDHR3 CHRNA5 CNIH2 DPP10 GNAO1 GNG2 GNG4 GRIK5 ITGBL1 KCNB2 KCNJ3 KCNMA1 KCNMB2 KCNMB3 RET SCN1B SGCD SNAP25 STX1A			CDH22 CNIH2 CPT1C GRIN1 KCNH2 KCNJ11 RET SCN1B SCN3B
GO_POSTSYNAPSE	GAP43 IGSF21 KCNJ2 MPP2 MX2 PRKCG SEZ6 SLC8A1 SNAP25 STX1A SYN1	APBB1 ARC CACNA1C CNIH2 DNM3 LIN7A LRFN1 MAP2 PSD SNAP25 SYN1	ANK2 BSN CACNA1C CALY CHRNA5 CPLX2 FRMPD4 KCNJ2 MAP1B PCDH17 PRKCG PSD SAMD14 SLC6A17 SLC8A1	ADCY1 ARC BAALC CHRNA5 EPHA4 GABBR2 GABRB3 GAP43 IGSF21 RGS9	ADCY1 CHRNA3 CHRNA5 CHRNB2 DDN STX1A	ADCY1 ARC PRKCG SHISA9 STX1A		ADORA2A BAALC DDN GABRP GRIK5 KCNAB2 KIF1A LIN7A PRRT2 SNAP25	ANK2 APBB1 BAALC BSN CACNA1C CACNG7 CHRNA5 CNIH2 CPLX2 EFNB3 EIF4EBP1 FABP5 FRMPD4 GABRA1 GABRP GAP43 GRIK5 IGSF21 KCNMA1 LRRTM3 MAP1B MAP2 MPP2 PALMD PSD RGS14 SAMD14 SEZ6 SNAP25 STX1A	ADORA2A ARC BAALC CACNA1C CALY EIF4EBP1 GABRA1 GHRL MPP2 P2RX6 PRR7 PRRT2 RGS14 SEZ6 SYN1		APBB1 CNIH2 CPT1C DDN EFNB3 EIF4EBP1 GRIN1 LRFN1 LZTS1 MPP2 P2RX6 PRR7 SEZ6
GO_POTASSIUM_CHANNEL_ACTIVITY	KCNB2 KCNJ2 KCNK17 SNAP25	KCNH8 KCNJ11 KCNN3 SNAP25	KCNB2 KCNH8 KCNJ2 KCNJ3 KCNK17 KCNMB3					GRIK5 KCNAB2 SNAP25	ABCC8 GRIK5 KCNB2 KCNH3 KCNH6 KCNJ3 KCNMA1 KCNMB2 KCNMB3 KCNN3 SNAP25	KCNH2 KCNJ6 KCNK3		
GO_POTASSIUM_CHANNEL_COMPLEX	KCNB2 KCNJ2 SNAP25 STX1A	KCNJ11 SNAP25	KCNB2 KCNJ2 KCNJ3 KCNMB3		KCNMB3 STX1A	ABCC9 STX1A		GRIK5 KCNAB2 SNAP25	ABCC8 DPP10 GRIK5 KCNB2 KCNJ3 KCNMA1 KCNMB2 KCNMB3 SNAP25 STX1A			
GO_POTASSIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	KCNB2 KCNJ2 KCNK17 SNAP25	KCNH8 KCNJ11 KCNN3 SLC12A5 SNAP25	KCNB2 KCNH8 KCNJ2 KCNJ3 KCNK17 KCNMB3					GRIK5 KCNAB2 SNAP25	ABCC8 ATP1A3 GRIK5 KCNB2 KCNH3 KCNH6 KCNJ3 KCNMA1 KCNMB2 KCNMB3 KCNN3 SLC12A5 SNAP25	KCNH2 KCNJ6 KCNK3	ATP1A3 GRIK5	
GO_POTASSIUM_ION_TRANSPORT	KCNB2 KCNJ2 KCNK17 RGS4 SNAP25	KCNH8 KCNJ11 KCNN3 SLC12A5 SNAP25 WNK3	ANK2 KCNB2 KCNH8 KCNJ2 KCNJ3 KCNK17 KCNMB3 RGS4 WNK3						ABCC8 ANK2 ATP1A3 DPP10 KCNB2 KCNH3 KCNH6 KCNJ3 KCNMA1 KCNMB2 KCNMB3 KCNN3 RGS4 SLC12A5 SNAP25			
GO_PRESYNAPSE	C1QL1 IGSF21 MX2 PRKCG SLC18A1 SLC8A1 SNAP25 STX1A SV2B SYN1 SYT2 UCN3	APBB1 BAIAP3 BRSK1 C1QL1 DNM3 LGI3 LIN7A NRXN2 PDE2A SNAP25 SVOP SYN1 SYP	BAIAP3 BSN CACNB2 CPLX2 KCNJ3 LGI3 NRXN2 PCDH17 PDE2A PNISR PRKCG PTPRN SLC6A17 SLC8A1 SV2A SV2B SVOP SYP SYT2 UCN3	DDC EPHA4 IGSF21 NRXN2 RAB3C UCN3 UNC13A	CHRNB2 SLC18A1 STX1A	PRKCG STX1A SYT5		ADORA2A AMPH BRSK1 GRIK5 KCNAB2 KIF1A LIN7A PRRT2 SNAP25	AMPH APBB1 BAIAP3 BRSK1 BSN CPLX2 EFNB3 GRIK5 IGSF21 KCNJ3 LGI3 NRXN2 NTS PNISR RAB26 RAB3C SCGN SLC18A1 SNAP25 STX1A SV2A SV2B SVOP SYP UCN3	ADORA2A BAIAP3 BRSK1 C1QL1 DDC NRXN2 PRRT2 PTPRN RAB26 SVOP SYN1 SYT2	C1QL1 CPLX2 GRIK5 LGI3 NCS1 SYP	APBB1 CADM3 EFNB3 GRIN1 PDE2A SCGN SYP
GO_REGULATION_OF_HEART_RATE	KCNJ2 RGS4 SLC8A1		AGT ANK2 CACNA1C CACNB2 KCNJ2 KCNJ3 RGS4 SCN1B SCN3B SLC8A1						AGT ANK2 CACNA1C KCNH6 KCNJ3 RGS4 SCN1B SPTBN4	AGT CACNA1C GCH1 KCNH2		AGT KCNH2 SCN1B SCN3B
GO_REGULATION_OF_HEART_RATE_BY_CARDIAC_CONDUCTION			ANK2 CACNA1C CACNB2 KCNJ2 KCNJ3 SCN1B SCN3B						ANK2 CACNA1C KCNH6 KCNJ3 SCN1B	CACNA1C KCNH2		KCNH2 SCN1B SCN3B
GO_REGULATION_OF_HORMONE_LEVELS	BRSK2 CHST8 SLC30A8 SNAP25 SPP1 SSTR5 STX1A UCN3	BAIAP3 BRSK2 CACNA1C CHST8 KCNJ11 RAPGEF4 RBP1 RFX6 SCT SNAP25	AGT AKR1B1 BAIAP3 CACNA1C CHST8 CPE GIP PCSK2 PTPRN SFRP1 SLC30A8 STXBP5L UCN3		GIP STX1A STXBP5L TTR	CHGA STX1A STXBP5L	AKR1B1 RAPGEF4 TTR		ABCC8 AGT AKR1B1 BAIAP3 CACNA1A CACNA1C CES1 CHGA DHRS2 ECE2 FFAR1 GIP ISL1 PCSK1 PCSK1N PCSK2 SCG5 SNAP25 SPP1 STX1A STXBP5L UCN3 VGF	AGT AKR1B1 BAIAP3 CACNA1C CPE GHRL ISL1 NEUROD1 PCSK1 PCSK2 PTPRN RFX6 SCG5 SCT VGF		AGT AKR1B1 ECE2 KCNJ11 SSTR5 VGF
GO_REGULATION_OF_HORMONE_SECRETION	BRSK2 SLC30A8 SNAP25 SPP1 SSTR5 STX1A UCN3	BAIAP3 BRSK2 CACNA1C KCNJ11 RAPGEF4 RFX6 SCT SNAP25	AGT BAIAP3 CACNA1C GIP SFRP1 SLC30A8 STXBP5L UCN3	FFAR2 SSTR5 UCN3	GIP STX1A STXBP5L	CHGA STX1A STXBP5L			ABCC8 AGT BAIAP3 CACNA1A CACNA1C CHGA FFAR1 GIP ISL1 SCG5 SNAP25 SPP1 STX1A STXBP5L UCN3	AGT BAIAP3 CACNA1C GHRL ISL1 NEUROD1 RFX6 SCG5 SCT		
GO_REGULATION_OF_ION_TRANSMEMBRANE_TRANSPORT	KCNB2 KCNJ2 KCNK17 RGS4 S100A1 SLC8A1	ARC CACNA1C CACNG6 CNIH2 JPH4 KCNH8 KCNJ11 WNK3	AGT ANK2 CACNA1C CACNB2 CACNB4 HECW2 JPH4 KCNB2 KCNH8 KCNJ2 KCNJ3 KCNK17 RGS4 SCN1B SCN3B SLC8A1 TRPC6 WNK3						AGT ANK2 CACNA1A CACNA1C CACNB4 CACNG7 CNIH2 DPP10 FGF14 KCNB2 KCNH3 KCNH6 KCNJ3 KCNMA1 RGS4 S100A1 SCN1B	AGT ARC CACNA1C CACNB4 JPH4 KCNH2 KCNJ6		AGT CNIH2 FGF14 GRIN1 KCNH2 KCNJ11 S100A1 SCN1B SCN3B
GO_REGULATION_OF_MEMBRANE_POTENTIAL	IFI6 KCNJ2 KCNK17 MPP2 RGS4 SEZ6 SLC8A1 STX1A UCN3		ANK2 CACNA1C CACNB2 CACNB4 CHRNA5 KCNH8 KCNJ2 KCNJ3 KCNK17 KCNMB3 MLLT11 RGS4 SCN1B SCN3B SLC8A1 UCN3	ATP1A3 CHRNA5 GABRB3 KCNK3 UCN3	CHRNA3 CHRNA5 CHRNB2 KCNMB3 STX1A			ADORA2A GABRP GRIK5 IFI6 KCNAB2 MLLT11	ANK2 ATP1A3 CACNA1A CACNA1C CACNB4 CHRNA5 CNIH2 FGF14 GABRA1 GABRP GRIK5 KCNH3 KCNH6 KCNJ3 KCNMA1 KCNMB2 KCNMB3 MLLT11 MPP2 RGS4 SCN1B SEZ6 STX1A UCN3	ADORA2A CACNA1C CACNB4 GABRA1 GHRL KCNH2 KCNK3 MLLT11 MPP2 P2RX6 SEZ6		CNIH2 FGF14 GRIN1 KCNH2 KCNJ11 MPP2 P2RX6 SCN1B SCN3B SEZ6
GO_REGULATION_OF_NEUROTRANSMITTER_LEVELS	PRKCG SLC18A1 SNAP25 STX1A SYN1 SYT2	BAIAP3 BRSK1 LIN7A NRXN2 SNAP25 SYN1 SYP	BAIAP3 CACNB2 CHRNA5 CPLX2 NRXN2 PRKCG STXBP5L SV2A SYP SYT2	ADCY1 CHRNA5 NRXN2 UNC13A	ADCY1 CHRNA3 CHRNA5 CHRNB2 SLC18A1 STX1A STXBP5L	ADCY1 PRKCG STX1A STXBP5L SYT5		ADORA2A BRSK1 GRIK5 LIN7A PRRT2 SNAP25	BAIAP3 BRSK1 CHRNA5 CPLX2 GRIK5 NRXN2 SLC18A1 SNAP25 STX1A STXBP5L SV2A SYP	ADORA2A BAIAP3 BRSK1 NRXN2 PRRT2 SYN1 SYT2	CPLX2 GRIK5 NCS1 SYP	
GO_REGULATION_OF_NEUROTRANSMITTER_TRANSPORT	PRKCG STX1A SYN1	BAIAP3 SYN1 SYP	BAIAP3 CACNB2 CHRNA5 CPLX2 PRKCG STXBP5L SYP	ADCY1 CHRNA5 UNC13A	ADCY1 CHRNA3 CHRNA5 CHRNB2 STX1A STXBP5L	ADCY1 PRKCG STX1A STXBP5L		ADORA2A GRIK5 PRRT2	BAIAP3 CHRNA5 CPLX2 GRIK5 STX1A STXBP5L SYP	ADORA2A BAIAP3 PRRT2 SYN1	CPLX2 GRIK5 NCS1 SYP	
GO_REGULATION_OF_SYNAPTIC_PLASTICITY	CAMK2B MPP2 SNAP25	ARC BRSK1 JPH4 SCT SNAP25 SYP	AGT CPLX2 GIP JPH4 MAP1A MAP1B SYP	ADCY1 ARC EPHA4 UNC13A	ADCY1 GIP	ADCY1 ARC SHISA9		ADORA2A BRSK1 PRRT2 SNAP25	AGT BRSK1 CPLX2 FGF14 GIP MAP1A MAP1B MPP2 RGS14 SCGN SNAP25 SYP VGF	ADORA2A AGT ARC BRSK1 JPH4 MPP2 PRRT2 RGS14 SCT VGF	CPLX2 SYP	AGT CAMK2B FGF14 GRIN1 LZTS1 MAP1A MPP2 SCGN SYP VGF
GO_REGULATION_OF_SYNAPTIC_VESICLE_EXOCYTOSIS	PRKCG STX1A SYN1	SYN1 SYP	CACNB2 CHRNA5 CPLX2 PRKCG STXBP5L SYP	ADCY1 CHRNA5	ADCY1 CHRNA5 CHRNB2 STX1A STXBP5L	ADCY1 PRKCG STX1A STXBP5L		ADORA2A GRIK5 PRRT2	CHRNA5 CPLX2 GRIK5 STX1A STXBP5L SYP	ADORA2A PRRT2 SYN1	CPLX2 GRIK5 NCS1 SYP	
GO_REGULATION_OF_TRANSMEMBRANE_TRANSPORT	KCNB2 KCNJ2 KCNK17 RGS4 S100A1 SLC8A1	ARC CACNA1C CACNG6 CNIH2 JPH4 KCNH8 KCNJ11 WNK3	AGT ANK2 CACNA1C CACNB2 CACNB4 CLIP3 GIP HECW2 JPH4 KCNB2 KCNH8 KCNJ2 KCNJ3 KCNK17 RGS4 SCN1B SCN3B SLC8A1 TRPC6 WNK3		GIP HECW2 S100A1				AGT ANK2 CACNA1A CACNA1C CACNB4 CACNG7 CLIP3 CNIH2 DPP10 FABP5 FGF14 GIP KCNB2 KCNH3 KCNH6 KCNJ3 KCNMA1 RGS4 S100A1 SCN1B	AGT ARC CACNA1C CACNB4 CLIP3 JPH4 KCNH2 KCNJ6		AGT CLIP3 CNIH2 FGF14 GRIN1 KCNH2 KCNJ11 S100A1 SCN1B SCN3B
GO_REGULATION_OF_TRANSPORT	BRSK2 CAMK2B KCNB2 KCNJ2 KCNK17 MX2 PRKCG RGS4 S100A1 SLC30A8 SLC8A1 SNAP25 SPP1 SSTR5 STX1A SYN1 SYT2 UCN3	ANKRD13B APBB1 ARC BAIAP3 BRSK1 BRSK2 CACNA1C CACNG6 CDK5R2 CNIH2 DNM3 JPH4 KCNH8 KCNJ11 LGI3 MAP2 RAPGEF4 RFX6 SCT SNAP25 SYN1 SYP WNK3	AGT ANK2 APOC3 AVPR1B BAIAP3 BSN CACNA1C CACNB2 CACNB4 CALY CCL19 CEP290 CHRNA5 CLIP3 CPLX2 GIP HECW2 JPH4 KCNB2 KCNH8 KCNJ2 KCNJ3 KCNK17 LGI3 MAP1B PCDH17 PRKCG RGS4 SCN1B SCN3B SFRP1 SLC30A8 SLC8A1 STXBP5L SV2A SYP SYT2 TRPC6 UCN3 USP6 WNK3	ADCY1 ARC CHRNA5 FFAR2 HECW2 LCP1 RAB3C RGS9 SLC38A3 SSTR5 TRPC6 UCN3 UNC13A	ADCY1 CHRNA3 CHRNA5 CHRNB2 GIP HECW2 S100A1 STX1A STXBP5L	ADCY1 ARC CHGA PRKCG SHISA9 SLC38A3 STX1A STXBP5L SYT5		ADORA2A BRSK1 CDK5R2 GRIK5 ISL1 KCNAB2 NDRG4 PRRT2 SNAP25 SPTBN4	ABCC8 AGT ANK2 APBB1 BAIAP3 BRSK1 BSN CACNA1A CACNA1C CACNB4 CACNG7 CCL19 CDK5R2 CES1 CHGA CHRNA5 CLIP3 CNIH2 CPLX2 DPP10 FABP5 FFAR1 FGF14 GIP GRIK5 ISL1 KCNB2 KCNH3 KCNH6 KCNJ3 KCNMA1 LCP1 LGI3 MAP1B MAP2 NDRG4 RAB26 RAB3C REEP2 RGS4 S100A1 SCG5 SCN1B SNAP25 SPP1 SPTBN4 STX1A STXBP5L SV2A SYP UCN3	ADORA2A AGT ARC AVPR1B BAIAP3 BRSK1 CACNA1C CACNB4 CALY CDK5R2 CEP290 CLIP3 GHRL ISL1 JPH4 KCNH2 KCNJ6 NDRG4 NEUROD1 PRRT2 RAB26 RFX6 SCG5 SCT SYN1 SYT2	CDK5R2 CPLX2 CSF1R GRIK5 LCP1 LGI3 NCS1 NKX6-1 NPPB REEP2 SPTBN4 SYP	AGT ANKRD13B APBB1 CAMK2B CLIP3 CNIH2 FGF14 GRIN1 KCNH2 KCNJ11 LCP1 S100A1 SCN1B SCN3B SSTR5 SYP
GO_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING	CAMK2B MPP2 PRKCG RGS4 SNAP25 STX1A SYN1 TUBB2B	ARC BAIAP3 BEGAIN BRSK1 CNIH2 JPH4 SCT SNAP25 SYN1 SYP	AGT BAIAP3 CACNB2 CHRNA5 CPLX2 GIP JPH4 MAP1A MAP1B PCDH17 PRKCG RGS4 STXBP5L SYP	ADCY1 ARC CHRNA5 EPHA4 UNC13A	ADCY1 CHRNA3 CHRNA5 CHRNB2 GIP STX1A STXBP5L	ADCY1 ARC NPTX2 PRKCG SHISA9 STX1A STXBP5L		ADORA2A BRSK1 GRIK5 PRRT2 SNAP25	AGT BAIAP3 BEGAIN BRSK1 CACNA1A CACNG7 CHRNA5 CNIH2 CPLX2 EFNB3 FABP5 FGF14 GIP GRIK5 MAP1A MAP1B MPP2 RAB26 RGS14 RGS4 SCGN SNAP25 STX1A STXBP5L SYP TUBB2B VGF	ADORA2A AGT ARC BAIAP3 BEGAIN BRSK1 GHRL JPH4 MPP2 NPTX2 PRRT2 RAB26 RGS14 SCT SYN1 VGF	CPLX2 GRIK5 NCS1 SYP	AGT CAMK2B CNIH2 EFNB3 FGF14 GRIN1 LZTS1 MAP1A MPP2 SCGN SYP VGF
GO_SIGNAL_RELEASE	BRSK2 PRKCG SLC30A8 SNAP25 SPP1 SSTR5 STX1A SYN1 SYT2 UCN3	BAIAP3 BRSK1 BRSK2 CACNA1C KCNJ11 LIN7A NRXN2 RAPGEF4 RFX6 SCT SNAP25 SYN1 SYP	AGT BAIAP3 CACNA1C CACNB2 CHRNA5 CPE CPLX2 GIP NRXN2 PRKCG PTPRN SFRP1 SLC30A8 STXBP5L SV2A SYP SYT2 UCN3	ADCY1 CHRNA5 FFAR2 NRXN2 SSTR5 UCN3 UNC13A	ADCY1 CHRNA3 CHRNA5 CHRNB2 GIP STX1A STXBP5L	ADCY1 CHGA PRKCG STX1A STXBP5L SYT5		ADORA2A BRSK1 GRIK5 ISL1 LIN7A PRRT2 SNAP25	ABCC8 AGT BAIAP3 BRSK1 CACNA1A CACNA1C CHGA CHRNA5 CPLX2 FFAR1 GIP GRIK5 ISL1 NRXN2 SCG5 SNAP25 SPP1 STX1A STXBP5L SV2A SYP UCN3 VGF	ADORA2A AGT BAIAP3 BRSK1 CACNA1C CPE GHRL ISL1 NEUROD1 NRXN2 PRRT2 PTPRN RFX6 SCG5 SCT SYN1 SYT2 VGF	CPE CPLX2 CSF1R GRIK5 NCS1 NKX6-1 SYP	
GO_SOMATODENDRITIC_COMPARTMENT	GAP43 KCNB2 KCNJ2 MPP2 MX2 PRKCG SEZ6 SLC8A1 SNAP25 SYN1 TRPM2 TUBB3	APBB1 ARC CACNA1C CNGA3 CNIH2 DNM3 JPH4 KCNJ11 KCNN3 MAP2 MAP6 PSD RTN4RL1 SLC12A5 SNAP25 SYN1 TPGS1 TUBB3	BSN CACNA1C CNGA3 CPLX2 FRMPD4 GIP JPH4 KCNB2 KCNJ2 KIF5A MAP1A MAP1B MAST1 PCSK2 PRKCG PSD PTPRN RET SAMD14 SCN1B SLC8A1 SST SV2A	ARC ATP1A3 BRS3 CRMP1 DDC EPHA4 GAP43 SST TRPM2	CHRNA3 DDN GIP RTN4RL1 STMN2 TUBB4A	ARC MAP6 PRKCG SYT5		ADORA2A DDN GRIK5 KIF1A PRRT2 SNAP25 SPTBN4 SST	ADCY2 APBB1 ATP1A3 BRS3 BSN CACNA1A CACNA1C CACNG7 CNIH2 CPLX2 FRMPD4 GAP43 GIP GNAO1 GRIK5 KCNB2 KCNN3 KIF5A MAP1A MAP1B MAP2 MAP6 MPP2 NFASC PALMD PCSK2 PSD RET RGS14 SAMD14 SCGN SCN1B SEZ6 SLC12A5 SNAP25 SPTBN4 SV2A TPGS1 UCHL1	ADCY2 ADORA2A ARC CACNA1C CNGA3 DDC JPH4 MAP6 MPP2 P2RX6 PCSK2 PRR7 PRRT2 PTPRN RGS14 SEZ6 SYN1 UCHL1	ATP1A3 CPLX2 GRIK5 MAST1 NCS1 SPTBN4 TUBB3	APBB1 BRS3 CNIH2 CPT1C DDN GRIN1 KCNJ11 LZTS1 MAP1A MAP6 MAPK8IP1 MPP2 P2RX6 PRR7 RET SCGN SCN1B SEZ6
GO_SYNAPSE	C1QL1 CAMK2B GAP43 IGSF21 KCNJ2 MPP2 MX2 PRKCG SEZ6 SLC18A1 SLC8A1 SNAP25 STX1A SV2B SYN1 SYT2 TUBB2B UCN3	APBB1 ARC BAIAP3 BEGAIN BRSK1 C1QL1 CACNA1C CADM2 CNIH2 DNM3 DSCAML1 LGI3 LIN7A LRFN1 MAP2 NRXN2 PDE2A PSD RAPGEF4 SLC12A5 SNAP25 SVOP SYN1 SYP TPGS1	ANK2 BAIAP3 BSN CACNA1C CACNB2 CACNB4 CALY CHRNA5 CPLX2 FRMPD4 GPC2 KCNJ2 KCNJ3 KIF5A LGI3 MAP1A MAP1B NRXN2 PCDH17 PDE2A PNISR PRKCG PSD PTPRN RIMBP2 SAMD14 SLC6A17 SLC8A1 SST STXBP5L SV2A SV2B SVOP SYP SYT2 TMOD2 UCN3	ADCY1 ARC ATP1A3 BAALC CHRNA5 DDC EPHA4 GABBR2 GABRB3 GAP43 IGSF21 KCNK3 NRXN2 RAB3C RGS9 SPARC SST TMOD2 UCN3 UNC13A	ADCY1 CHRNA3 CHRNA5 CHRNB2 DDN RIMBP2 SLC18A1 STX1A STXBP5L TMOD2	ADCY1 ARC NPTX2 PRKCG SHISA9 STX1A STXBP5L SYT5	GPC6 PRR7 RAPGEF4 TPGS1	ADORA2A AMPH BAALC BRSK1 CAMKV DDN GABRP GRIK5 KCNAB2 KIF1A LIN7A NPY PRRT2 SNAP25 SST	AMPH ANK2 APBB1 ATP1A3 BAALC BAIAP3 BEGAIN BRSK1 BSN CACNA1A CACNA1C CACNB4 CACNG7 CAMKV CHRNA5 CNIH2 CPLX2 EFNB3 EIF4EBP1 FABP5 FRMPD4 GABRA1 GABRP GAP43 GPC6 GRIK5 IGSF21 KCNJ3 KCNMA1 KIF5A LGI3 LRRTM3 LY6H MAP1A MAP1B MAP2 MPP2 NRXN2 NTS PALMD PDZRN3 PNISR PSD RAB26 RAB3C RGS14 SAMD14 SCGN SEZ6 SLC12A5 SLC18A1 SNAP25 STX1A STXBP5L SV2A SV2B SVOP SYP TPGS1 TUBA1A TUBB2B UCN3	ADORA2A ARC BAALC BAIAP3 BEGAIN BRSK1 C1QL1 CACNA1C CACNB4 CALY DDC DSCAML1 EIF4EBP1 GABRA1 GHRL GPC2 KCNK3 MPP2 NPTX2 NRXN2 P2RX6 PRR7 PRRT2 PTPRN RAB26 RGS14 SDK2 SEZ6 SVOP SYN1 SYT2	ATP1A3 C1QL1 CPLX2 DACT1 GRIK5 LGI3 NCS1 SYP TUBA1A	APBB1 CADM3 CAMK2B CNIH2 CPT1C DDN EFNB3 EIF4EBP1 GRIN1 LRFN1 LZTS1 MAP1A MAPK8IP1 MPP2 P2RX6 PDE2A PRR7 SCGN SEZ6 SYP
GO_SYNAPTIC_SIGNALING	CAMK2B MPP2 PRKCG RGS4 SEZ6 SNAP25 STX1A SV2B SYN1 SYT2 TUBB2B	ARC BAIAP3 BEGAIN BRSK1 CNIH2 JPH4 LIN7A NRXN2 SCT SLC12A5 SNAP25 SYN1 SYP TPGS1	AGT BAIAP3 BSN CACNB2 CACNB4 CHRNA5 CPLX2 GIP JPH4 KIF5A MAP1A MAP1B NRXN2 PCDH17 PRKCG RGS4 RIMBP2 SST STXBP5L SV2A SV2B SYP SYT2 TMOD2	ADCY1 ARC CHRNA5 EPHA4 GABBR2 GABRB3 KCNK3 NRXN2 SST TMOD2 UNC13A	ADCY1 CHRNA3 CHRNA5 CHRNB2 GIP RIMBP2 STX1A STXBP5L TMOD2	ADCY1 ARC NPTX2 PRKCG SHISA9 STX1A STXBP5L SYT5		ADORA2A AMPH BRSK1 GABRP GRIK5 LIN7A NPY PRRT2 SNAP25 SST	AGT AMPH BAIAP3 BEGAIN BRSK1 BSN CACNA1A CACNB4 CACNG7 CHRNA5 CNIH2 CPLX2 EFNB3 FABP5 FGF14 GABRA1 GABRP GIP GRIK5 KIF5A LY6H MAP1A MAP1B MPP2 NRXN2 RAB26 RGS14 RGS4 SCGN SEZ6 SLC12A5 SNAP25 STX1A STXBP5L SV2A SV2B SYP TPGS1 TUBB2B VGF	ADORA2A AGT ARC BAIAP3 BEGAIN BRSK1 CACNB4 GABRA1 GHRL JPH4 KCNK3 MPP2 NPTX2 NRXN2 P2RX6 PRR7 PRRT2 RAB26 RGS14 SCT SEZ6 SYN1 SYT2 VGF	CPLX2 GRIK5 NCS1 SYP	AGT CAMK2B CNIH2 EFNB3 FGF14 GRIN1 LZTS1 MAP1A MPP2 P2RX6 PRR7 SCGN SEZ6 SYP VGF
GO_SYNAPTIC_VESICLE_LOCALIZATION	BRSK2 MX2 SYN1	AP3B2 BRSK1 BRSK2 CNIH2 DNM3 LIN7A MAP2 SYN1	KIF5A PCDH17					BRSK1 LIN7A	BRSK1 CNIH2 KIF5A MAP2	BRSK1 SYN1		
GO_SYNAPTIC_VESICLE_MEMBRANE	SLC18A1 STX1A SV2B SYN1 SYT2	SVOP SYN1 SYP	BSN SLC6A17 SV2A SV2B SVOP SYP SYT2	RAB3C UNC13A	SLC18A1 STX1A	STX1A SYT5		AMPH PRRT2	AMPH BSN RAB26 RAB3C SLC18A1 STX1A SV2A SV2B SVOP SYP	PRRT2 RAB26 SVOP SYN1 SYT2		
GO_TERPENOID_METABOLIC_PROCESS			AKR1B1 APOC3 GPC2		RBP2 TTR		AKR1B1 CLPS GPC6 RBP2 TTR					
