PeakID (cmd=annotatePeaks.pl NKX2_2_merged_hg19.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
33263	chr22	24541930	24542886	+	0	NA	intron (NM_012295, intron 29 of 36)	intron (NM_012295, intron 29 of 36)	-35047	NM_019601	56241	Hs.131819	NM_019601	ENSG00000099994	SUSD2	BK65A6.2|W5C5	sushi domain containing 2	protein-coding
8797	chr11	31521307	31522050	+	0	NA	intron (NM_144981, intron 1 of 6)	intron (NM_144981, intron 1 of 6)	9491	NM_144981	196294	Hs.502223	NM_144981	ENSG00000148950	IMMP1L	IMMP1|IMP1|IMP1-LIKE	inner mitochondrial membrane peptidase subunit 1	protein-coding
30602	chr2	232164536	232165976	+	0	NA	intron (NM_001352759, intron 19 of 19)	MIR|SINE|MIR	-62163	NR_039937	100616317		NR_039937	ENSG00000263641	MIR4777	-	microRNA 4777	ncRNA
20797	chr16	89440769	89441383	+	0	NA	intron (NR_045839, intron 2 of 9)	intron (NR_045839, intron 2 of 9)	53535	NM_001242885	100287036	Hs.656995	NM_001242885		LOC100287036	-	uncharacterized LOC100287036	protein-coding
12265	chr12	57080687	57082751	+	0	NA	promoter-TSS (NR_104219)	promoter-TSS (NR_104219)	62	NR_104219	10728	Hs.50425	NM_006601	ENSG00000110958	PTGES3	P23|TEBP|cPGES	prostaglandin E synthase 3	protein-coding
10203	chr11	98940230	98941309	+	0	NA	intron (NM_001243270, intron 1 of 23)	intron (NM_001243270, intron 1 of 23)	49090	NM_001243271	53942	Hs.656783	NM_014361	ENSG00000149972	CNTN5	HNB-2s|NB-2	contactin 5	protein-coding
12807	chr12	94217838	94218640	+	0	NA	intron (NM_001320100, intron 2 of 2)	intron (NM_001320100, intron 2 of 2)	-86640	NR_110093	101928731	Hs.659971	NR_110092	ENSG00000258274	LOC101928731	-	uncharacterized LOC101928731	ncRNA
32063	chr20	47237104	47238051	+	0	NA	Intergenic	Intergenic	206959	NM_020820	57580	Hs.153310	NM_020820	ENSG00000124126	PREX1	P-REX1	phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 1	protein-coding
30594	chr2	231750073	231751064	+	0	NA	promoter-TSS (NR_038238)	promoter-TSS (NR_038238)	-693	NR_038238	151484	Hs.559309	NR_038238	ENSG00000232520	LOC151484	-	uncharacterized LOC151484	ncRNA
40694	chr4	181636411	181637320	+	0	NA	Intergenic	Intergenic	443437	NR_033918	728081	Hs.535735	NR_033918	ENSG00000248197	LINC00290	NCRNA00290	long intergenic non-protein coding RNA 290	ncRNA
8027	chr10	132788780	132789433	+	0	NA	Intergenic	Intergenic	-28175	NR_036180	100422867		NR_036180	ENSG00000264803	MIR378C	mir-378c	microRNA 378c	ncRNA
44682	chr6	25015189	25015901	+	0	NA	intron (NM_001286446, intron 1 of 13)	intron (NM_001286446, intron 1 of 13)	26971	NM_001286446	9750	Hs.559459	NM_014722	ENSG00000111913	RIPOR2	C6orf32|DFNB104|DIFF40|DIFF48|FAM65B|MYONAP|PL48	RHO family interacting cell polarization regulator 2	protein-coding
17152	chr14	103183584	103184086	+	0	NA	intron (NM_015156, intron 8 of 11)	MIRc|SINE|MIR	-59951	NM_003300	7187	Hs.510528	NM_003300	ENSG00000131323	TRAF3	CAP-1|CAP1|CD40bp|CRAF1|IIAE5|LAP1|RNF118	TNF receptor associated factor 3	protein-coding
12989	chr12	102878084	102878688	+	0	NA	Intergenic	Intergenic	-4045	NM_000618	3479	Hs.160562	NM_000618	ENSG00000017427	IGF1	IGF|IGF-I|IGFI|MGF	insulin like growth factor 1	protein-coding
47376	chr6	156657006	156658466	+	0	NA	Intergenic	Intergenic	-42148	NR_145751	109617011		NR_145751	ENSG00000212295	SNORD28B	-	small nucleolar RNA, C/D box 28B	snoRNA
6008	chr10	31891357	31891921	+	0	NA	Intergenic	Intergenic	-202955	NM_001368169	100505502	Hs.730227	NM_001368169		LOC100505502	-	putative UPF0607 protein FLJ37424	protein-coding
45838	chr6	77060900	77061498	+	0	NA	Intergenic	MER5A|DNA|hAT-Charlie	242141	NR_149101	105377860	Hs.544542	NR_149101	ENSG00000236635	LINC02540	-	long intergenic non-protein coding RNA 2540	ncRNA
12708	chr12	90560116	90561090	+	0	NA	Intergenic	Intergenic	-126492	NR_135018	105369893	Hs.577777	NR_135018		LINC02392	-	long intergenic non-protein coding RNA 2392	ncRNA
5995	chr10	31122985	31123805	+	0	NA	Intergenic	Intergenic	111247	NR_134497	105376480	Hs.461867	NR_134497	ENSG00000230720	LINC02644	-	long intergenic non-protein coding RNA 2644	ncRNA
47374	chr6	156600332	156601095	+	0	NA	Intergenic	Intergenic	-99171	NR_145751	109617011		NR_145751	ENSG00000212295	SNORD28B	-	small nucleolar RNA, C/D box 28B	snoRNA
37753	chr3	186284909	186285562	+	0	NA	promoter-TSS (NM_018138)	promoter-TSS (NM_018138)	-107	NM_018138	55171	Hs.518469	NM_018138	ENSG00000113838	TBCCD1	-	TBCC domain containing 1	protein-coding
2378	chr1	88798715	88799524	+	0	NA	Intergenic	Intergenic	-350708	NM_001320707	5586	Hs.440833	NM_006256	ENSG00000065243	PKN2	PAK2|PRK2|PRKCL2|PRO2042|Pak-2|STK7	protein kinase N2	protein-coding
29651	chr2	180128061	180128695	+	0	NA	intron (NM_178123, intron 1 of 17)	intron (NM_178123, intron 1 of 17)	1181	NM_178123	91404	Hs.30977	NM_178123	ENSG00000187231	SESTD1	SOLO	SEC14 and spectrin domain containing 1	protein-coding
39071	chr4	75809242	75810219	+	0	NA	Intergenic	Intergenic	-48596	NM_015393	25849	Hs.105460	NM_015393	ENSG00000169116	PARM1	Cipar1|DKFZP564O0823|PARM-1|WSC4	prostate androgen-regulated mucin-like protein 1	protein-coding
7991	chr10	129098940	129099951	+	0	NA	intron (NM_001380, intron 29 of 51)	intron (NM_001380, intron 29 of 51)	-104590	NM_001039762	642938	Hs.613882	NM_001039762	ENSG00000188916	INSYN2A	C10orf141|FAM196A|INSYN2	inhibitory synaptic factor 2A	protein-coding
32565	chr21	28825025	28825894	+	0	NA	Intergenic	Intergenic	-269239	NR_024357	54088	Hs.570434	NR_024357	ENSG00000225298	LINC00113	C21orf23|NCRNA00113	long intergenic non-protein coding RNA 113	ncRNA
42563	chr5	107252975	107253485	+	0	NA	intron (NM_001163315, intron 7 of 8)	intron (NM_001163315, intron 7 of 8)	-246592	NM_001962	1946	Hs.288741	NM_001962	ENSG00000184349	EFNA5	AF1|EFL5|EPLG7|GLC1M|LERK7|RAGS	ephrin A5	protein-coding
48407	chr7	34967415	34967986	+	0	NA	TTS (NM_001366673)	TTS (NM_001366673)	12746	NR_031666	100302152		NR_031666	ENSG00000221669	MIR548N	MIRN548N|hsa-mir-548n	microRNA 548n	ncRNA
25762	chr19	39137706	39138364	+	0	NA	promoter-TSS (NM_004924)	promoter-TSS (NM_004924)	-254	NM_001322033	81	Hs.270291	NM_004924	ENSG00000130402	ACTN4	ACTININ-4|FSGS|FSGS1	actinin alpha 4	protein-coding
10815	chr11	121940637	121941313	+	0	NA	intron (NR_137178, intron 1 of 4)	intron (NR_137178, intron 1 of 4)	29577	NR_029671	406911		NR_029671	ENSG00000207971	MIR125B1	MIRN125B1|mir-125b-1	microRNA 125b-1	ncRNA
44061	chr5	179400417	179402717	+	0	NA	intron (NM_018434, intron 5 of 8)	intron (NM_018434, intron 5 of 8)	40830	NR_029885	442908		NR_029885	ENSG00000198995	MIR340	MIRN340|hsa-mir-340|mir-340	microRNA 340	ncRNA
48015	chr7	14800840	14801711	+	0	NA	intron (NM_001350723, intron 2 of 25)	intron (NM_001350723, intron 2 of 25)	79800	NM_145695	1607	Hs.567255	NM_004080	ENSG00000136267	DGKB	DAGK2|DGK|DGK-BETA	diacylglycerol kinase beta	protein-coding
44189	chr6	4135183	4136624	+	0	NA	promoter-TSS (NM_006117)	promoter-TSS (NM_006117)	-72	NM_206836	10455	Hs.15250	NM_006117	ENSG00000198721	ECI2	ACBD2|DRS-1|DRS1|HCA88|PECI|dJ1013A10.3	enoyl-CoA delta isomerase 2	protein-coding
863	chr1	26495263	26495925	+	0	NA	promoter-TSS (NM_001364667)	promoter-TSS (NM_001364667)	-521	NM_001364669	110806296		NM_001364667	ENSG00000282872	C1orf232	-	chromosome 1 open reading frame 230	protein-coding
12400	chr12	64237353	64238662	+	0	NA	promoter-TSS (NM_001346201)	promoter-TSS (NM_001346201)	-473	NM_001346201	57522	Hs.210751	NM_020762	ENSG00000196935	SRGAP1	ARHGAP13|NMTC2	SLIT-ROBO Rho GTPase activating protein 1	protein-coding
8613	chr11	18111891	18112494	+	0	NA	intron (NM_138421, intron 4 of 11)	L1ME3B|LINE|L1	15437	NM_138421	113174	Hs.591998	NM_138421	ENSG00000166788	SAAL1	SPACIA1	serum amyloid A like 1	protein-coding
41899	chr5	66914868	66915590	+	0	NA	Intergenic	Intergenic	27388	NR_147169	105379006		NR_147169	ENSG00000249736	LINC02242	-	long intergenic non-protein coding RNA 2242	ncRNA
23712	chr18	24531422	24532299	+	0	NA	intron (NM_031422, intron 4 of 5)	intron (NM_031422, intron 4 of 5)	-86093	NM_001317387	361	Hs.315369	NM_001650	ENSG00000171885	AQP4	MIWC|WCH4	aquaporin 4	protein-coding
10678	chr11	118491536	118492446	+	0	NA	intron (NM_001144759, intron 4 of 20)	C-rich|Low_complexity|Low_complexity	13661	NM_001144758	23187	Hs.504062	NM_015157	ENSG00000019144	PHLDB1	LL5A	pleckstrin homology like domain family B member 1	protein-coding
21278	chr17	11307298	11308359	+	0	NA	intron (NM_001173462, intron 3 of 4)	intron (NM_001173462, intron 3 of 4)	163088	NM_001173461	388336	Hs.592124	NM_175903	ENSG00000188803	SHISA6	-	shisa family member 6	protein-coding
2499	chr1	94292361	94293203	+	0	NA	intron (NM_001261408, intron 2 of 13)	intron (NM_001261408, intron 2 of 13)	-19606	NR_030621	100126348		NR_030621	ENSG00000211575	MIR760	MIRN760|hsa-mir-760|mir-760	microRNA 760	ncRNA
54012	chr9	73196134	73196880	+	0	NA	intron (NM_001366143, intron 21 of 25)	intron (NM_001366143, intron 21 of 25)	-166934	NM_001206	687	Hs.150557	NM_001206	ENSG00000119138	KLF9	BTEB|BTEB1	Kruppel like factor 9	protein-coding
28083	chr2	71204336	71204928	+	0	NA	promoter-TSS (NM_001369683)	promoter-TSS (NM_001369683)	-943	NM_001369683	79998	Hs.512744	NM_024933	ENSG00000144031	ANKRD53	-	ankyrin repeat domain 53	protein-coding
13065	chr12	105711290	105712506	+	0	NA	intron (NR_131986, intron 1 of 2)	intron (NR_131986, intron 1 of 2)	8897	NR_131986	105369954	Hs.368938	NR_131986	ENSG00000257642	KCCAT198	-	renal clear cell carcinoma-associated transcript 198	ncRNA
21789	chr17	34135632	34136806	+	0	NA	promoter-TSS (NM_003487)	promoter-TSS (NM_003487)	-269	NM_139215	8148	Hs.402752	NM_003487	ENSG00000270647	TAF15	Npl3|RBP56|TAF2N|TAFII68	TATA-box binding protein associated factor 15	protein-coding
42015	chr5	73653710	73654165	+	0	NA	Intergenic	LTR53|LTR|ERVL	35626	NR_105010	101929082	Hs.434316	NR_105010	ENSG00000249343	LINC01333	-	long intergenic non-protein coding RNA 1333	ncRNA
31784	chr20	37819190	37820450	+	0	NA	Intergenic	Intergenic	33571	NR_027124	339568	Hs.434319	NR_027124	ENSG00000230324	LINC01734	-	long intergenic non-protein coding RNA 1734	ncRNA
47400	chr6	157269916	157270781	+	0	NA	intron (NM_001346813, intron 4 of 19)	intron (NM_001346813, intron 4 of 19)	-87213	NM_001363725	57492	Hs.291587	NM_017519	ENSG00000049618	ARID1B	6A3-5|BAF250B|BRIGHT|CSS1|DAN15|ELD/OSA1|MRD12|OSA2|P250R	AT-rich interaction domain 1B	protein-coding
49331	chr7	94266608	94267146	+	0	NA	intron (NM_001346717, intron 1 of 9)	intron (NM_001346717, intron 1 of 9)	18568	NM_003919	8910	Hs.371199	NM_003919	ENSG00000127990	SGCE	DYT11|ESG|epsilon-SG	sarcoglycan epsilon	protein-coding
15621	chr14	24905709	24906483	+	0	NA	intron (NM_001290256, intron 7 of 7)	intron (NM_001290256, intron 7 of 7)	5911	NM_020195	56948	Hs.643552	NM_020195	ENSG00000100445	SDR39U1	C14orf124|HCDI	short chain dehydrogenase/reductase family 39U member 1	protein-coding
32984	chr21	45667571	45668380	+	0	NA	intron (NM_013369, intron 11 of 11)	intron (NM_013369, intron 11 of 11)	-2721	NR_135514	105372833	Hs.605816	NR_135514	ENSG00000232010	LOC105372833	-	uncharacterized LOC105372833	ncRNA
26749	chr2	11832864	11833646	+	0	NA	intron (NM_001349207, intron 1 of 20)	intron (NM_001349207, intron 1 of 20)	15585	NM_001349207	23175	Hs.467740	NM_145693	ENSG00000134324	LPIN1	PAP1	lipin 1	protein-coding
47603	chr6	166289807	166290385	+	0	NA	Intergenic	Intergenic	-110943	NR_027284	441177	Hs.708964	NM_001013720	ENSG00000281832	LINC00602	-	long intergenic non-protein coding RNA 602	ncRNA
52548	chr8	110588079	110588686	+	0	NA	intron (NM_001363032, intron 4 of 4)	intron (NM_001363032, intron 4 of 4)	27306	NM_001363032	55638	Hs.390738	NM_017786	ENSG00000147642	SYBU	GOLSYN|OCSYN|SNPHL	syntabulin	protein-coding
22096	chr17	42060803	42061515	+	0	NA	intron (NM_004160, intron 1 of 6)	CpG	20678	NM_004160	5697	Hs.169249	NM_004160	ENSG00000131096	PYY	PYY-I|PYY1	peptide YY	protein-coding
1482	chr1	45105747	45106500	+	0	NA	intron (NM_001319957, intron 7 of 13)	intron (NM_001319957, intron 7 of 13)	30605	NR_145816	109623472		NR_145816		SNORD145	-	small nucleolar RNA, C/D box 145	snoRNA
6379	chr10	63510522	63511258	+	0	NA	intron (NM_001366905, intron 4 of 6)	intron (NM_001366905, intron 4 of 6)	88171	NM_173554	219621	Hs.673160	NM_173554	ENSG00000183346	CABCOCO1	C10orf107	ciliary associated calcium binding coiled-coil 1	protein-coding
17959	chr15	61126312	61127010	+	0	NA	intron (NM_134261, intron 1 of 10)	intron (NM_134261, intron 1 of 10)	152893	NR_120319	100996876	Hs.511626	NR_120318		RORA-AS2	-	RORA antisense RNA 2	ncRNA
43425	chr5	147117288	147117879	+	0	NA	intron (NM_001270941, intron 1 of 21)	intron (NM_001270941, intron 1 of 21)	44708	NM_014790	9832	Hs.740461	NM_014790	ENSG00000176049	JAKMIP2	JAMIP2|NECC1	janus kinase and microtubule interacting protein 2	protein-coding
41565	chr5	51808186	51808735	+	0	NA	Intergenic	L1MB1|LINE|L1	-275290	NM_181501	3672	Hs.644352	NM_181501	ENSG00000213949	ITGA1	CD49a|VLA1	integrin subunit alpha 1	protein-coding
23287	chr17	79694372	79694956	+	0	NA	Intergenic	MLT1K|LTR|ERVL-MaLR	15350	NM_012140	1468	Hs.548187	NM_012140	ENSG00000183048	SLC25A10	DIC	solute carrier family 25 member 10	protein-coding
45378	chr6	43596316	43598351	+	0	NA	promoter-TSS (NM_019096)	promoter-TSS (NM_019096)	54	NM_001003690	9587	Hs.122346	NM_014628	ENSG00000124688	MAD2L1BP	CMT2	MAD2L1 binding protein	protein-coding
1404	chr1	43054874	43055641	+	0	NA	intron (NM_001080850, intron 10 of 16)	LTR33B|LTR|ERVL	56566	NM_001080850	728621	Hs.729640	NM_001080850	ENSG00000186409	CCDC30	PFD6L|PFDN6L	coiled-coil domain containing 30	protein-coding
43056	chr5	133900347	133901166	+	0	NA	intron (NM_001289985, intron 8 of 11)	MER5A|DNA|hAT-Charlie	38958	NM_015288	23338	Hs.732155	NM_015288	ENSG00000043143	JADE2	JADE-2|PHF15	jade family PHD finger 2	protein-coding
39884	chr4	122383785	122384221	+	0	NA	Intergenic	Intergenic	-81830	NM_198179	84109	Hs.368977	NM_198179	ENSG00000186867	QRFPR	AQ27|GPR103|SP9155	pyroglutamylated RFamide peptide receptor	protein-coding
45438	chr6	44232902	44233782	+	0	NA	exon (NM_004556, exon 1 of 6)	exon (NM_004556, exon 1 of 6)	183	NM_004556	4794	Hs.458276	NM_004556	ENSG00000146232	NFKBIE	IKBE	NFKB inhibitor epsilon	protein-coding
11888	chr12	44241190	44241661	+	0	NA	intron (NM_001286213, intron 2 of 6)	intron (NM_001286213, intron 2 of 6)	11541	NM_032256	84216	Hs.444668	NM_032256	ENSG00000139173	TMEM117	-	transmembrane protein 117	protein-coding
8721	chr11	22724302	22725799	+	0	NA	intron (NM_001143830, intron 3 of 7)	L4|LINE|RTE	28730	NM_005256	2620	Hs.711297	NM_005256	ENSG00000148935	GAS2	GAS-2	growth arrest specific 2	protein-coding
39168	chr4	78978704	78979400	+	0	NA	5' UTR (NM_001166133, exon 1 of 42)	5' UTR (NM_001166133, exon 1 of 42)	328	NM_001166133	80144	Hs.369448	NM_020875	ENSG00000138759	FRAS1	FRASRS1	Fraser extracellular matrix complex subunit 1	protein-coding
34571	chr3	23465929	23466518	+	0	NA	intron (NM_001370225, intron 3 of 5)	intron (NM_001370225, intron 3 of 5)	221405	NM_001370228	7325	Hs.475688	NM_152653	ENSG00000182247	UBE2E2	UBCH8	ubiquitin conjugating enzyme E2 E2	protein-coding
6149	chr10	43949987	43950564	+	0	NA	intron (NM_001355450, intron 1 of 2)	intron (NM_001355450, intron 1 of 2)	17716	NM_001355450	642819	Hs.719657	NM_001355444	ENSG00000243660	ZNF487	KRBO1|ZNF487P	zinc finger protein 487	protein-coding
5687	chr10	14029548	14030231	+	0	NA	intron (NM_018027, intron 2 of 24)	intron (NM_018027, intron 2 of 24)	-15993	NM_001318337	55691	Hs.330463	NM_018027	ENSG00000151474	FRMD4A	CCAFCA|FRMD4|bA295P9.4	FERM domain containing 4A	protein-coding
18586	chr15	84704088	84704482	+	0	NA	intron (NM_001301110, intron 28 of 29)	intron (NM_001301110, intron 28 of 29)	-44654	NR_036652	648809	Hs.585157	NR_036652		EFL1P1	EFTUD1P1|FAM42B|HsT19321	elongation factor like GTPase 1 pseudogene 1	pseudo
38258	chr4	7818291	7819042	+	0	NA	intron (NM_198595, intron 7 of 16)	intron (NM_198595, intron 7 of 16)	55369	NM_001371090								
50553	chr7	154127069	154127771	+	0	NA	intron (NR_157196, intron 1 of 25)	MLT1A0|LTR|ERVL-MaLR	125176	NR_157196	1804	Hs.490684	NM_001936	ENSG00000130226	DPP6	DPL1|DPPX|MRD33|VF2	dipeptidyl peptidase like 6	protein-coding
25614	chr19	35844432	35845253	+	0	NA	Intergenic	Tigger2b_Pri|DNA|TcMar-Tigger	2397	NM_005303	2864	Hs.248127	NM_005303	ENSG00000126266	FFAR1	FFA1R|GPCR40|GPR40	free fatty acid receptor 1	protein-coding
4969	chr1	232474587	232475481	+	0	NA	Intergenic	Intergenic	176320	NM_020808	57568	Hs.745009	NM_020808	ENSG00000116991	SIPA1L2	SPAL2|SPAR2	signal induced proliferation associated 1 like 2	protein-coding
31637	chr20	33227372	33228267	+	0	NA	intron (NM_080476, intron 4 of 11)	intron (NM_080476, intron 4 of 11)	37270	NM_080476	128869	Hs.253319	NM_080476	ENSG00000101464	PIGU	CDC91L1|GAB1	phosphatidylinositol glycan anchor biosynthesis class U	protein-coding
3218	chr1	154390481	154391608	+	0	NA	intron (NM_000565, intron 1 of 9)	intron (NM_000565, intron 1 of 9)	-12004	NR_147855	101928101	Hs.617089	NR_147855	ENSG00000228013	IL6R-AS1	-	IL6R antisense RNA 1	ncRNA
6137	chr10	43633506	43634725	+	0	NA	intron (NM_018590, intron 1 of 7)	CpG	222	NR_135077	55454	Hs.657569	NM_018590	ENSG00000169826	CSGALNACT2	CHGN2|ChGn-2|GALNACT-2|GALNACT2|PRO0082|beta4GalNAcT	chondroitin sulfate N-acetylgalactosaminyltransferase 2	protein-coding
3562	chr1	167522697	167523554	+	0	NA	promoter-TSS (NM_003851)	promoter-TSS (NM_003851)	-126	NM_003851	8804	Hs.5710	NM_003851	ENSG00000143162	CREG1	CREG	cellular repressor of E1A stimulated genes 1	protein-coding
44399	chr6	14384502	14385284	+	0	NA	Intergenic	Intergenic	-99208	NR_108097	102216342	Hs.563409	NR_108096	ENSG00000226673	LINC01108	LncRNA-ES1	long intergenic non-protein coding RNA 1108	ncRNA
45847	chr6	78175518	78176301	+	0	NA	Intergenic	Intergenic	-2170	NM_000863	3351	Hs.123016	NM_000863	ENSG00000135312	HTR1B	5-HT-1B|5-HT-1D-beta|5-HT1B|5-HT1DB|HTR1D2|HTR1DB|S12	5-hydroxytryptamine receptor 1B	protein-coding
19265	chr16	9166679	9167422	+	0	NA	Intergenic	Intergenic	-18451	NM_014117	29035	Hs.221497	NM_014117	ENSG00000182831	C16orf72	PRO0149	chromosome 16 open reading frame 72	protein-coding
44846	chr6	30716789	30718313	+	0	NA	Intergenic	Intergenic	-5227	NM_003897	8870	Hs.76095	NM_003897	ENSG00000137331	IER3	DIF-2|DIF2|GLY96|IEX-1|IEX-1L|IEX1|PRG1	immediate early response 3	protein-coding
28126	chr2	73878872	73879317	+	0	NA	intron (NR_003683, intron 1 of 6)	intron (NR_003683, intron 1 of 6)	7048	NR_003683	200420	Hs.739204	NM_145300	ENSG00000163016	ALMS1P1	ALMS1L|ALMS1P	ALMS1 pseudogene 1	pseudo
29386	chr2	166531766	166532641	+	0	NA	intron (NM_001172173, intron 5 of 6)	intron (NM_001172173, intron 5 of 6)	103357	NM_024969	80034	Hs.470479	NM_024969	ENSG00000178662	CSRNP3	FAM130A2|PPP1R73|TAIP-2|TAIP2	cysteine and serine rich nuclear protein 3	protein-coding
20908	chr17	1520912	1521922	+	0	NA	intron (NM_152346, intron 2 of 13)	intron (NM_152346, intron 2 of 13)	10293	NM_001321365	124935	Hs.160550	NM_152346	ENSG00000167703	SLC43A2	LAT4	solute carrier family 43 member 2	protein-coding
52451	chr8	103021741	103022391	+	0	NA	intron (NM_001040624, intron 3 of 7)	intron (NM_001040624, intron 3 of 7)	25406	NR_126152	104054148	Hs.683917	NR_126152		LOC104054148	-	uncharacterized LOC104054148	ncRNA
23883	chr18	33579006	33579290	+	0	NA	intron (NM_018170, intron 6 of 6)	intron (NM_018170, intron 6 of 6)	26506	NM_031446	83608	Hs.37883	NM_031446	ENSG00000141428	C18orf21	HsT3108|PNAS-124|PNAS-131|XTP13	chromosome 18 open reading frame 21	protein-coding
27005	chr2	26948069	26949237	+	0	NA	intron (NM_002246, intron 1 of 1)	intron (NM_002246, intron 1 of 1)	33063	NM_002246	3777	Hs.24040	NM_002246	ENSG00000171303	KCNK3	K2p3.1|OAT1|PPH4|TASK|TASK-1|TBAK1	potassium two pore domain channel subfamily K member 3	protein-coding
4909	chr1	230266203	230266736	+	0	NA	intron (NM_004481, intron 1 of 15)	intron (NM_004481, intron 1 of 15)	63484	NM_004481	2590	Hs.743964	NM_004481	ENSG00000143641	GALNT2	GalNAc-T2	polypeptide N-acetylgalactosaminyltransferase 2	protein-coding
26976	chr2	26173769	26174754	+	0	NA	intron (NM_002254, intron 5 of 7)	L2b|LINE|L2	31105	NM_002254	3797	Hs.21611	NM_002254	ENSG00000084731	KIF3C	-	kinesin family member 3C	protein-coding
13091	chr12	106682061	106682718	+	0	NA	Intergenic	MER44B|DNA|TcMar-Tigger	-14122	NM_152772	255394	Hs.696047	NM_152772	ENSG00000166046	TCP11L2	-	t-complex 11 like 2	protein-coding
32471	chr21	18329146	18329735	+	0	NA	Intergenic	Intergenic	366883	NR_029694	406912		NR_029694	ENSG00000207863	MIR125B2	MIRN125B2|mir-125b-2	microRNA 125b-2	ncRNA
35305	chr3	53978118	53978835	+	0	NA	Intergenic	MIRb|SINE|MIR	-52590	NM_021237	58515	Hs.58471	NM_021237	ENSG00000113811	SELENOK	HSPC030|HSPC297|SELK	selenoprotein K	protein-coding
8982	chr11	38569222	38569863	+	0	NA	Intergenic	Intergenic	98364	NR_120555	103312105	Hs.641711	NR_120554	ENSG00000255175	LINC02759	-	long intergenic non-protein coding RNA 2759	ncRNA
28244	chr2	80581712	80582565	+	0	NA	intron (NM_001282599, intron 1 of 11)	intron (NM_001282599, intron 1 of 11)	41634	NM_001282599	1496	Hs.167368	NM_004389	ENSG00000066032	CTNNA2	CAP-R|CAPR|CDCBM9|CT114|CTNR	catenin alpha 2	protein-coding
6190	chr10	46009569	46011079	+	0	NA	intron (NM_001002266, intron 2 of 6)	intron (NM_001002266, intron 2 of 6)	20495	NM_001282866	220972	Hs.499489	NM_145021	ENSG00000165406	MARCH8	CMIR|MARCH-VIII|MIR|RNF178|c-MIR	membrane associated ring-CH-type finger 8	protein-coding
54168	chr9	80854241	80855059	+	0	NA	intron (NM_001349840, intron 1 of 15)	intron (NM_001349840, intron 1 of 15)	3659	NM_001098802	84131	Hs.187621	NM_032171	ENSG00000148019	CEP78	C9orf81|CRDHL|IP63	centrosomal protein 78	protein-coding
44336	chr6	11619340	11620506	+	0	NA	Intergenic	Intergenic	81941	NM_001100829	100113407	Hs.146317	NM_001100829	ENSG00000205269	TMEM170B	-	transmembrane protein 170B	protein-coding
4740	chr1	223302583	223303485	+	0	NA	intron (NM_003268, intron 5 of 5)	intron (NM_003268, intron 5 of 5)	13556	NM_003268	7100	Hs.604542	NM_003268	ENSG00000187554	TLR5	MELIOS|SLE1|SLEB1|TIL3	toll like receptor 5	protein-coding
15910	chr14	50914239	50914718	+	0	NA	intron (NM_198794, intron 15 of 31)	intron (NM_198794, intron 15 of 31)	-50462	NM_001282236	8814	Hs.280881	NM_004196	ENSG00000100490	CDKL1	KKIALRE|P42	cyclin dependent kinase like 1	protein-coding
23661	chr18	20832026	20832387	+	0	NA	intron (NM_001256438, intron 7 of 9)	L1MB3|LINE|L1	96417	NM_138375	91768	Hs.11108	NM_138375	ENSG00000134508	CABLES1	CABL1|CABLES|HsT2563|IK3-1	Cdk5 and Abl enzyme substrate 1	protein-coding
18802	chr15	92485955	92487013	+	0	NA	intron (NR_135775, intron 2 of 10)	L1MB2|LINE|L1	88950	NR_135775	28232	Hs.311187	NM_013272	ENSG00000176463	SLCO3A1	OATP-D|OATP-RP3|OATP3A1|OATPD|OATPRP3|SLC21A11	solute carrier organic anion transporter family member 3A1	protein-coding
17286	chr15	26243717	26244672	+	0	NA	intron (NR_040082, intron 1 of 4)	(TC)n|Simple_repeat|Simple_repeat	96687	NR_040082	100128714	Hs.587854	NR_040082	ENSG00000206187	LINC02346	-	long intergenic non-protein coding RNA 2346	ncRNA
45835	chr6	76533568	76534506	+	0	NA	intron (NM_001368865, intron 3 of 35)	intron (NM_001368865, intron 3 of 35)	75081	NM_001300899	4646	Hs.149387	NM_004999	ENSG00000196586	MYO6	DFNA22|DFNB37	myosin VI	protein-coding
30816	chr2	242312638	242313496	+	0	NA	intron (NM_001282983, intron 2 of 17)	MIR|SINE|MIR	17367	NM_001282984	9855	Hs.726316	NM_014808	ENSG00000006607	FARP2	FIR|FRG|PLEKHC3	FERM, ARH/RhoGEF and pleckstrin domain protein 2	protein-coding
51353	chr8	35609214	35610326	+	0	NA	intron (NM_001322818, intron 13 of 16)	intron (NM_001322818, intron 13 of 16)	-41932	NR_125819	101929550	Hs.583803	NR_125819		LOC101929550	-	uncharacterized LOC101929550	ncRNA
53835	chr9	35161189	35162820	+	0	NA	promoter-TSS (NM_001330653)	promoter-TSS (NM_001330653)	-2	NM_001330653	10497	Hs.493791	NM_006377	ENSG00000198722	UNC13B	MUNC13|UNC13|Unc13h2	unc-13 homolog B	protein-coding
