PeakID (cmd=annotatePeaks.pl FOXA1_PE_peaks_hg19.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
832	chr1	159310714	159311714	+	0	NA	Intergenic	MER91A|DNA|hAT-Tip100	-26765	NM_001004467	441911	Hs.553833	NM_001004467	ENSG00000196266	OR10J3	OR1-25|OR10J3P	olfactory receptor family 10 subfamily J member 3	protein-coding
6691	chr5	84398545	84399545	+	0	NA	Intergenic	Intergenic	-718347	NM_005711	10085	Hs.482730	NM_005711	ENSG00000164176	EDIL3	DEL1	EGF like repeats and discoidin domains 3	protein-coding
17323	chr18	1075011	1076011	+	0	NA	Intergenic	Intergenic	-147517	NR_146724	388456	Hs.407666	NR_146724	ENSG00000259837	LINC01904	-	long intergenic non-protein coding RNA 1904	ncRNA
6801	chr5	95260145	95261145	+	0	NA	intron (NM_012081, intron 2 of 11)	intron (NM_012081, intron 2 of 11)	36910	NM_012081	22936	Hs.192221	NM_012081	ENSG00000118985	ELL2	MRCCAT1	elongation factor for RNA polymerase II 2	protein-coding
16143	chr15	61361254	61362254	+	0	NA	intron (NM_134261, intron 1 of 10)	intron (NM_134261, intron 1 of 10)	159747	NM_134261	6095	Hs.560343	NM_002943	ENSG00000069667	RORA	IDDECA|NR1F1|ROR1|ROR2|ROR3|RZR-ALPHA|RZRA	RAR related orphan receptor A	protein-coding
12822	chr11	25701943	25702943	+	0	NA	Intergenic	MIRb|SINE|MIR	-508227	NM_001313726	63982	Hs.91791	NM_031418	ENSG00000134343	ANO3	C11orf25|DYT23|DYT24|GENX-3947|TMEM16C	anoctamin 3	protein-coding
6317	chr5	30907146	30908146	+	0	NA	Intergenic	Intergenic	-286147	NM_004932	1004	Hs.124776	NM_004932	ENSG00000113361	CDH6	CAD6|KCAD	cadherin 6	protein-coding
18807	chr22	32407280	32408280	+	0	NA	intron (NR_149128, intron 4 of 4)	L1M4c|LINE|L1	-31468	NM_000343	6523	Hs.1964	NM_000343	ENSG00000100170	SLC5A1	D22S675|NAGT|SGLT1	solute carrier family 5 member 1	protein-coding
7933	chr6	55825214	55826214	+	0	NA	Intergenic	Intergenic	-85326	NM_001329754	653	Hs.296648	NM_021073	ENSG00000112175	BMP5	-	bone morphogenetic protein 5	protein-coding
596	chr1	95126297	95127297	+	0	NA	intron (NR_104131, intron 4 of 4)	MIRc|SINE|MIR	84659	NR_039620	100616321		NR_039620	ENSG00000263526	MIR378G	-	microRNA 378g	ncRNA
1659	chr2	21292863	21293863	+	0	NA	Intergenic	Intergenic	-26418	NM_000384	338	Hs.120759	NM_000384	ENSG00000084674	APOB	FLDB|LDLCQ4|apoB-100|apoB-48	apolipoprotein B	protein-coding
14588	chr13	39329608	39330608	+	0	NA	intron (NM_207361, intron 2 of 23)	intron (NM_207361, intron 2 of 23)	68894	NM_207361	341640	Hs.253994	NM_207361	ENSG00000150893	FREM2	CRYPTOP|FRASRS2	FRAS1 related extracellular matrix 2	protein-coding
9494	chr7	92857311	92858311	+	0	NA	intron (NM_001346642, intron 1 of 9)	intron (NM_001346642, intron 1 of 9)	-2029	NM_001039372	253012	Hs.443169	NM_198151	ENSG00000188175	HEPACAM2	MIKI	HEPACAM family member 2	protein-coding
14267	chr12	107162498	107163498	+	0	NA	intron (NR_040246, intron 1 of 3)	MIR3|SINE|MIR	-5462	NM_001330147	55188	Hs.131306	NM_018157	ENSG00000111785	RIC8B	RIC8|hSyn	RIC8 guanine nucleotide exchange factor B	protein-coding
8027	chr6	73263079	73264079	+	0	NA	Intergenic	Intergenic	-67992	NM_019842	56479	Hs.445324	NM_019842	ENSG00000185760	KCNQ5	Kv7.5|MRD46	potassium voltage-gated channel subfamily Q member 5	protein-coding
853	chr1	163026937	163027937	+	0	NA	Intergenic	Intergenic	-10959	NM_001102445	5999	Hs.386726	NM_005613	ENSG00000117152	RGS4	RGP4|SCZD9	regulator of G protein signaling 4	protein-coding
13102	chr11	82548277	82549277	+	0	NA	intron (NM_199418, intron 9 of 9)	intron (NM_199418, intron 9 of 9)	62695	NM_005040	5547	Hs.523936	NM_005040	ENSG00000137509	PRCP	HUMPCP|PCP	prolylcarboxypeptidase	protein-coding
17372	chr18	7074604	7075604	+	0	NA	intron (NM_005559, intron 3 of 62)	intron (NM_005559, intron 3 of 62)	42692	NM_005559	284217	Hs.270364	NM_005559	ENSG00000101680	LAMA1	LAMA|PTBHS|S-LAM-alpha	laminin subunit alpha 1	protein-coding
3958	chr3	87612561	87613561	+	0	NA	Intergenic	MIR3|SINE|MIR	-228795	NM_001322209	3355	Hs.248136	NM_000866	ENSG00000179097	HTR1F	5-HT-1F|5-HT1F|5HT6|HTR1EL|MR77	5-hydroxytryptamine receptor 1F	protein-coding
19011	chrX	62981584	62982584	+	0	NA	intron (NM_001330495, intron 1 of 10)	intron (NM_001330495, intron 1 of 10)	-6988	NM_001353923	23229	Hs.54697	NM_015185	ENSG00000131089	ARHGEF9	COLLYBISTIN|EIEE8|HPEM-2|PEM-2|PEM2	Cdc42 guanine nucleotide exchange factor 9	protein-coding
3601	chr3	52114723	52115723	+	0	NA	intron (NM_001161580, intron 9 of 9)	MER58A|DNA|hAT-Charlie	-16095	NR_027331	100128378	Hs.640106	NM_001123039		LINC00696	C3orf74	long intergenic non-protein coding RNA 696	ncRNA
1017	chr1	184714723	184715723	+	0	NA	intron (NM_025191, intron 2 of 19)	intron (NM_025191, intron 2 of 19)	8769	NR_135118	80267	Hs.523811	NM_025191	ENSG00000116406	EDEM3	C1orf22	ER degradation enhancing alpha-mannosidase like protein 3	protein-coding
16740	chr16	73249913	73250913	+	0	NA	Intergenic	L2c|LINE|L2	-72067	NM_207385	388289	Hs.371893	NM_207385		C16orf47	-	chromosome 16 open reading frame 47	protein-coding
1654	chr2	20680305	20681305	+	0	NA	intron (NR_157978, intron 2 of 3)	intron (NR_157978, intron 2 of 3)	20479	NR_157978	107985856		NR_157978		LOC107985856	-	uncharacterized LOC107985856	ncRNA
12813	chr11	24364970	24365970	+	0	NA	Intergenic	Intergenic	-153129	NM_001009909	338645	Hs.144138	NM_001009909	ENSG00000187398	LUZP2	KFSP2566|PRO6246	leucine zipper protein 2	protein-coding
12375	chr10	93882479	93883479	+	0	NA	intron (NM_014912, intron 6 of 9)	intron (NM_014912, intron 6 of 9)	120057	NM_001178137	22849	Hs.131683	NM_014912	ENSG00000107864	CPEB3	-	cytoplasmic polyadenylation element binding protein 3	protein-coding
11247	chr9	75779363	75780363	+	0	NA	intron (NM_000700, intron 8 of 12)	L2b|LINE|L2	13082	NM_000700	301	Hs.494173	NM_000700	ENSG00000135046	ANXA1	ANX1|LPC1	annexin A1	protein-coding
15305	chr14	26857288	26858288	+	0	NA	Intergenic	Intergenic	164848	NM_001366398	4857	Hs.31588	NM_002515	ENSG00000139910	NOVA1	Nova-1	NOVA alternative splicing regulator 1	protein-coding
3372	chr3	16521531	16522531	+	0	NA	intron (NM_015150, intron 2 of 9)	intron (NM_015150, intron 2 of 9)	33175	NM_015150	23180	Hs.98910	NM_015150	ENSG00000131378	RFTN1	MIG2|PIB10|PIG9|RAFTLIN	raftlin, lipid raft linker 1	protein-coding
17736	chr18	53054311	53055311	+	0	NA	intron (NM_001369572, intron 6 of 19)	intron (NM_001369572, intron 6 of 19)	14108	NM_001330605	6925	Hs.605153	NM_003199	ENSG00000196628	TCF4	E2-2|FECD3|ITF-2|ITF2|PTHS|SEF-2|SEF2|SEF2-1|SEF2-1A|SEF2-1B|SEF2-1D|TCF-4|bHLHb19	transcription factor 4	protein-coding
17407	chr18	12574514	12575514	+	0	NA	intron (NM_001128626, intron 2 of 16)	L2c|LINE|L2	81717	NM_001128627	56907	Hs.515283	NM_020148	ENSG00000134278	SPIRE1	Spir-1	spire type actin nucleation factor 1	protein-coding
924	chr1	171129128	171130128	+	0	NA	intron (NR_002601, intron 6 of 6)	LTR49|LTR|ERV1	22749	NR_002601	388714	Hs.448988	NR_002601	ENSG00000117507	FMO6P	FMO6	flavin containing dimethylaniline monoxygenase 6, pseudogene	pseudo
5197	chr4	71724478	71725478	+	0	NA	Intergenic	Intergenic	-19371	NM_002092	2926	Hs.309763	NM_002092	ENSG00000132463	GRSF1	-	G-rich RNA sequence binding factor 1	protein-coding
5714	chr4	131240452	131241452	+	0	NA	Intergenic	MLT1E2|LTR|ERVL-MaLR	-56564	NR_147186	105377420		NR_147186		LINC02479	-	long intergenic non-protein coding RNA 2479	ncRNA
7380	chr5	164562372	164563372	+	0	NA	Intergenic	Intergenic	665587	NR_105065	102546299	Hs.437730	NR_105065	ENSG00000241956	LOC102546299	-	uncharacterized LOC102546299	ncRNA
3899	chr3	79092401	79093401	+	0	NA	intron (NM_002941, intron 3 of 30)	intron (NM_002941, intron 3 of 30)	-24292	NM_001145845	6091	Hs.744218	NM_002941	ENSG00000169855	ROBO1	DUTT1|SAX3	roundabout guidance receptor 1	protein-coding
4997	chr4	38425562	38426562	+	0	NA	intron (NR_110951, intron 7 of 7)	intron (NR_110951, intron 7 of 7)	57527	NR_149123	105374410		NR_149123	ENSG00000248227	LINC02513	-	long intergenic non-protein coding RNA 2513	ncRNA
2642	chr2	163651975	163652975	+	0	NA	non-coding (NR_110258, exon 5 of 5)	non-coding (NR_110258, exon 5 of 5)	27029	NR_110258	101929570	Hs.470445	NR_110258	ENSG00000237750	LOC101929570	-	uncharacterized LOC101929570	ncRNA
13763	chr12	45662624	45663624	+	0	NA	intron (NM_001142679, intron 1 of 19)	intron (NM_001142679, intron 1 of 19)	-23349	NM_001142678	196527	Hs.505339	NM_001025356	ENSG00000177119	ANO6	BDPLT7|SCTS|TMEM16F	anoctamin 6	protein-coding
10873	chr8	131314255	131315255	+	0	NA	intron (NM_018482, intron 3 of 29)	intron (NM_018482, intron 3 of 29)	-5976	NR_002765	29065	Hs.639318	NR_002765		ASAP1-IT1	ASAP1-IT|ASAP1IT|ASAP1IT1|DDEF1IT1|HSPC054|NCRNA00050	ASAP1 intronic transcript 1	ncRNA
10452	chr8	78119218	78120218	+	0	NA	Intergenic	Intergenic	-206438	NM_001172087	5828	Hs.437966	NM_000318	ENSG00000164751	PEX2	PAF1|PBD5A|PBD5B|PMP3|PMP35|PXMP3|RNF72|ZWS3	peroxisomal biogenesis factor 2	protein-coding
16690	chr16	63687153	63688153	+	0	NA	Intergenic	Intergenic	1468313	NM_001308392	1009	Hs.116471	NM_001797	ENSG00000140937	CDH11	CAD11|CDHOB|ESWS|OB|OSF-4	cadherin 11	protein-coding
7124	chr5	127156339	127157339	+	0	NA	intron (NM_001317938, intron 5 of 6)	MER63A|DNA|hAT-Blackjack	117758	NM_001317938	728586	Hs.582532	NM_001317938	ENSG00000230561	CCDC192	LINC01183	coiled-coil domain containing 192	protein-coding
11894	chr10	24601742	24602742	+	0	NA	intron (NM_019590, intron 2 of 20)	intron (NM_019590, intron 2 of 20)	37628	NR_030334	693188		NR_030334	ENSG00000207930	MIR603	MIRN603|hsa-mir-603	microRNA 603	ncRNA
10274	chr8	53109492	53110492	+	0	NA	intron (NR_134310, intron 1 of 1)	intron (NR_134310, intron 1 of 1)	3070	NR_134310	101929341	Hs.147170	NR_134310	ENSG00000253551	LOC101929341	-	uncharacterized LOC101929341	ncRNA
1124	chr1	199417519	199418519	+	0	NA	Intergenic	Intergenic	300293	NR_147896	400800	Hs.369324	NR_147896	ENSG00000231718	LINC02789	-	long intergenic non-protein coding RNA 2789	ncRNA
2177	chr2	103986816	103987816	+	0	NA	Intergenic	Intergenic	-386429	NR_135530	105373519		NR_135530	ENSG00000224095	LINC01935	-	long intergenic non-protein coding RNA 1935	ncRNA
2252	chr2	118845469	118846469	+	0	NA	promoter-TSS (NM_016133)	promoter-TSS (NM_016133)	-25	NM_001321331	51141	Hs.7089	NM_016133	ENSG00000125629	INSIG2	INSIG-2	insulin induced gene 2	protein-coding
6978	chr5	115868417	115869417	+	0	NA	intron (NM_020796, intron 1 of 18)	intron (NM_020796, intron 1 of 18)	-41197	NR_147170	105379132		NR_147170		SEMA6A-AS2	-	SEMA6A antisense RNA 2	ncRNA
13617	chr12	21459297	21460297	+	0	NA	intron (NM_021094, intron 4 of 13)	intron (NM_021094, intron 4 of 13)	28054	NM_021094	6579	Hs.46440	NM_005075	ENSG00000084453	SLCO1A2	OATP|OATP-A|OATP1A2|SLC21A3	solute carrier organic anion transporter family member 1A2	protein-coding
13542	chr12	12131644	12132644	+	0	NA	Intergenic	Intergenic	-70651	NM_001370268	79370	Hs.210343	NM_030766	ENSG00000121380	BCL2L14	BCLG	BCL2 like 14	protein-coding
12926	chr11	41288329	41289329	+	0	NA	intron (NM_001258419, intron 1 of 6)	intron (NM_001258419, intron 1 of 6)	192357	NM_020929	57689	Hs.745123	NM_020929	ENSG00000148948	LRRC4C	NGL-1|NGL1	leucine rich repeat containing 4C	protein-coding
400	chr1	70975437	70976437	+	0	NA	Intergenic	Intergenic	98986	NM_001902	1491	Hs.19904	NM_001902	ENSG00000116761	CTH	-	cystathionine gamma-lyase	protein-coding
19048	chrX	92739022	92740022	+	0	NA	Intergenic	Intergenic	189055	NM_004538	4675	Hs.21365	NM_004538	ENSG00000186310	NAP1L3	MB20|NPL3	nucleosome assembly protein 1 like 3	protein-coding
4718	chr3	188113405	188114405	+	0	NA	intron (NM_001167671, intron 2 of 10)	intron (NM_001167671, intron 2 of 10)	170712	NM_001167671	4026	Hs.720220	NM_005578	ENSG00000145012	LPP	-	LIM domain containing preferred translocation partner in lipoma	protein-coding
16434	chr15	101255569	101256569	+	0	NA	Intergenic	L2c|LINE|L2	113275	NM_198243	140460	Hs.31845	NM_024708	ENSG00000183475	ASB7	-	ankyrin repeat and SOCS box containing 7	protein-coding
18516	chr20	57437245	57438245	+	0	NA	intron (NM_001309883, intron 3 of 5)	intron (NM_001309883, intron 3 of 5)	9709	NM_001309883	2778	Hs.125898	NM_000516	ENSG00000087460	GNAS	AHO|C20orf45|GNAS1|GPSA|GSA|GSP|NESP|PITA3|POH|SCG6|SgVI	GNAS complex locus	protein-coding
8894	chr7	1576494	1577494	+	0	NA	intron (NM_002360, intron 1 of 2)	intron (NM_002360, intron 1 of 2)	-2478	NR_149036	100128653	Hs.656985	NR_149036		LOC100128653	-	uncharacterized LOC100128653	ncRNA
18217	chr20	14073977	14074977	+	0	NA	intron (NM_001351661, intron 3 of 17)	L2c|LINE|L2	98315	NM_080676	140733	Hs.661576	NM_080676	ENSG00000172264	MACROD2	C20orf133|C2orf133	mono-ADP ribosylhydrolase 2	protein-coding
14146	chr12	93413755	93414755	+	0	NA	intron (NR_040096, intron 3 of 4)	intron (NR_040096, intron 3 of 4)	-91184	NM_003566	8411	Hs.567367	NM_003566	ENSG00000102189	EEA1	MST105|MSTP105|ZFYVE2	early endosome antigen 1	protein-coding
18011	chr19	31868962	31869962	+	0	NA	Intergenic	Intergenic	-29120	NR_138034	57616	Hs.278436	NM_020856	ENSG00000121297	TSHZ3	TSH3|ZNF537	teashirt zinc finger homeobox 3	protein-coding
15072	chr13	93391182	93392182	+	0	NA	intron (NM_004466, intron 7 of 7)	intron (NM_004466, intron 7 of 7)	-17815	NR_046520	100873969	Hs.577863	NR_046520	ENSG00000235984	GPC5-AS1	-	GPC5 antisense RNA 1	ncRNA
1703	chr2	27741002	27742002	+	0	NA	intron (NM_001486, intron 16 of 18)	MER94|DNA|hAT-Blackjack	21796	NM_001486	2646	Hs.89771	NM_001486	ENSG00000084734	GCKR	FGQTL5|GKRP	glucokinase regulator	protein-coding
3870	chr3	77238155	77239155	+	0	NA	intron (NM_001128929, intron 1 of 24)	intron (NM_001128929, intron 1 of 24)	91492	NM_001128929	6092	Hs.13305	NM_002942	ENSG00000185008	ROBO2	SAX3	roundabout guidance receptor 2	protein-coding
8314	chr6	107861281	107862281	+	0	NA	intron (NM_018013, intron 4 of 6)	intron (NM_018013, intron 4 of 6)	50460	NM_018013	55084	Hs.445244	NM_018013	ENSG00000112320	SOBP	JXC1|MRAMS	sine oculis binding protein homolog	protein-coding
4002	chr3	99649600	99650600	+	0	NA	intron (NM_182909, intron 1 of 5)	intron (NM_182909, intron 1 of 5)	33142	NR_037486	100500859		NR_037486	ENSG00000264897	MIR3921	-	microRNA 3921	ncRNA
16916	chr17	12502247	12503247	+	0	NA	intron (NR_034145, intron 3 of 3)	MIR3|SINE|MIR	49462	NR_034144	284034	Hs.376614	NR_034144	ENSG00000179136	LINC00670	-	long intergenic non-protein coding RNA 670	ncRNA
7971	chr6	64842947	64843947	+	0	NA	intron (NM_001292009, intron 31 of 43)	intron (NM_001292009, intron 31 of 43)	326718	NR_157848	112935969		NR_157848		SCAT8	EYS-AS1	S-phase cancer associated transcript 8	ncRNA
4230	chr3	128717138	128718138	+	0	NA	intron (NM_001348521, intron 1 of 15)	intron (NM_001348521, intron 1 of 15)	2510	NM_001348522	57501	Hs.518247	NM_020741	ENSG00000114656	KIAA1257	-	KIAA1257	protein-coding
1955	chr2	61887375	61888375	+	0	NA	Intergenic	Intergenic	-122384	NM_003400	7514	Hs.370770	NM_003400	ENSG00000082898	XPO1	CRM-1|CRM1|emb|exp1	exportin 1	protein-coding
11847	chr10	20469984	20470984	+	0	NA	intron (NM_032812, intron 9 of 13)	L2b|LINE|L2	365123	NM_001282736	84898	Hs.99472	NM_032812	ENSG00000120594	PLXDC2	TEM7R	plexin domain containing 2	protein-coding
4192	chr3	120621248	120622248	+	0	NA	Intergenic	Intergenic	-5304	NM_001308330	9515	Hs.477315	NM_014980	ENSG00000145087	STXBP5L	LLGL4	syntaxin binding protein 5 like	protein-coding
3009	chr2	206951145	206952145	+	0	NA	promoter-TSS (NM_017759)	promoter-TSS (NM_017759)	-747	NM_017759	54891	Hs.445036	NM_017759	ENSG00000114933	INO80D	-	INO80 complex subunit D	protein-coding
13031	chr11	68081097	68082097	+	0	NA	intron (NM_002335, intron 1 of 22)	intron (NM_002335, intron 1 of 22)	1538	NM_002335	4041	Hs.6347	NM_002335	ENSG00000162337	LRP5	BMND1|EVR1|EVR4|HBM|LR3|LRP-5|LRP-7|LRP7|OPPG|OPS|OPTA1|PCLD4|VBCH2	LDL receptor related protein 5	protein-coding
4036	chr3	102175779	102176779	+	0	NA	intron (NM_175056, intron 4 of 10)	L2a|LINE|L2	22420	NM_001329788	131368	Hs.352213	NM_175056	ENSG00000170044	ZPLD1	-	zona pellucida like domain containing 1	protein-coding
9365	chr7	79509656	79510656	+	0	NA	Intergenic	Intergenic	-253991	NM_002069	2770	Hs.134587	NM_002069	ENSG00000127955	GNAI1	Gi	G protein subunit alpha i1	protein-coding
4923	chr4	26465505	26466505	+	0	NA	Intergenic	Intergenic	26101	NM_000730	886	Hs.129	NM_000730	ENSG00000163394	CCKAR	CCK-A|CCK1-R|CCK1R|CCKRA	cholecystokinin A receptor	protein-coding
1738	chr2	34578481	34579481	+	0	NA	Intergenic	Intergenic	286688	NR_132381	106144585	Hs.580486	NR_132381	ENSG00000237790	LINC01318	-	long intergenic non-protein coding RNA 1318	ncRNA
3434	chr3	25129380	25130380	+	0	NA	intron (NM_001290216, intron 3 of 10)	intron (NM_001290216, intron 3 of 10)	-252413	NM_001290300	5915	Hs.543218	NM_000965	ENSG00000077092	RARB	HAP|MCOPS12|NR1B2|RARbeta1|RRB2	retinoic acid receptor beta	protein-coding
11425	chr9	98266002	98267002	+	0	NA	intron (NM_001083606, intron 2 of 23)	intron (NM_001083606, intron 2 of 23)	2979	NM_001083607	5727	Hs.494538	NM_000264	ENSG00000185920	PTCH1	BCNS|NBCCS|PTC|PTC1|PTCH	patched 1	protein-coding
4359	chr3	149245426	149246426	+	0	NA	intron (NM_015472, intron 4 of 6)	intron (NM_015472, intron 4 of 6)	53442	NM_004617	7104	Hs.133527	NM_004617	ENSG00000169903	TM4SF4	ILTMP|il-TMP	transmembrane 4 L six family member 4	protein-coding
10773	chr8	119787702	119788702	+	0	NA	Intergenic	L1ME3A|LINE|L1	-154000	NR_146234	401474	Hs.359393	NM_207506	ENSG00000177570	SAMD12	-	sterile alpha motif domain containing 12	protein-coding
1100	chr1	196203174	196204174	+	0	NA	intron (NR_146057, intron 26 of 26)	intron (NR_146057, intron 26 of 26)	-145829	NR_146895	105371673		NR_146895		LINC01724	-	long intergenic non-protein coding RNA 1724	ncRNA
2384	chr2	139248490	139249490	+	0	NA	Intergenic	Intergenic	-10350	NM_001001664	339745	Hs.333297	NM_001001664	ENSG00000144228	SPOPL	BTBD33	speckle type BTB/POZ protein like	protein-coding
16581	chr16	50664857	50665857	+	0	NA	intron (NM_033119, intron 8 of 9)	intron (NM_033119, intron 8 of 9)	-37409	NR_110908	101927272	Hs.460777	NR_110908	ENSG00000260249	LOC101927272	-	uncharacterized LOC101927272	ncRNA
5729	chr4	132153395	132154395	+	0	NA	Intergenic	Intergenic	-532098	NR_125884	101927305	Hs.507924	NR_125883		SNHG27	-	small nucleolar RNA host gene 27	ncRNA
5351	chr4	87885831	87886831	+	0	NA	intron (NM_001166693, intron 2 of 20)	intron (NM_001166693, intron 2 of 20)	30177	NM_001166693	4299	Hs.480190	NM_005935	ENSG00000172493	AFF1	AF4|MLLT2|PBM1	AF4/FMR2 family member 1	protein-coding
17887	chr18	71212452	71213452	+	0	NA	Intergenic	Intergenic	220776	NR_038340	100505817	Hs.197042	NR_038340	ENSG00000261780	LINC02582	-	long intergenic non-protein coding RNA 2582	ncRNA
4675	chr3	182344516	182345516	+	0	NA	Intergenic	Intergenic	-120104	NR_134941	105374244	Hs.130176	NR_134941	ENSG00000244247	LINC01995	-	long intergenic non-protein coding RNA 1995	ncRNA
15844	chr14	93383332	93384332	+	0	NA	Intergenic	Intergenic	-5663	NM_001275	1113	Hs.150793	NM_001275	ENSG00000100604	CHGA	CGA	chromogranin A	protein-coding
4966	chr4	34670419	34671419	+	0	NA	Intergenic	Intergenic	-399550	NR_147183	105374394	Hs.570782	NR_147183	ENSG00000248685	LINC02484	-	long intergenic non-protein coding RNA 2484	ncRNA
13821	chr12	54052466	54053466	+	0	NA	Intergenic	Intergenic	16237	NM_001330269	517	Hs.524464	NM_005176	ENSG00000135390	ATP5MC2	ATP5A|ATP5G2	ATP synthase membrane subunit c locus 2	protein-coding
13174	chr11	93356090	93357090	+	0	NA	Intergenic	Intergenic	-38258	NM_033395	85459	Hs.458418	NM_033395	ENSG00000166004	CEP295	KIAA1731	centrosomal protein 295	protein-coding
15995	chr15	38546373	38547373	+	0	NA	intron (NM_152594, intron 1 of 6)	intron (NM_152594, intron 1 of 6)	1836	NM_152594	161742	Hs.525781	NM_152594	ENSG00000166068	SPRED1	LGSS|NFLS|PPP1R147|hSpred1|spred-1	sprouty related EVH1 domain containing 1	protein-coding
9183	chr7	37046509	37047509	+	0	NA	intron (NR_104120, intron 2 of 2)	intron (NR_104120, intron 2 of 2)	9608	NR_104120	100861514	Hs.627775	NR_104120	ENSG00000224101	ELMO1-AS1	-	ELMO1 antisense RNA 1	ncRNA
1177	chr1	207510175	207511175	+	0	NA	exon (NM_001300902, exon 8 of 10)	exon (NM_001300902, exon 8 of 10)	15652	NM_000574	1604	Hs.126517	NM_000574	ENSG00000196352	CD55	CHAPLE|CR|CROM|DAF|TC	CD55 molecule (Cromer blood group)	protein-coding
6707	chr5	87776013	87777013	+	0	NA	Intergenic	Intergenic	-41606	NR_105021	102546226	Hs.535810	NR_105021	ENSG00000250156	LINC02060	-	long intergenic non-protein coding RNA 2060	ncRNA
6990	chr5	116894737	116895737	+	0	NA	intron (NR_046089, intron 5 of 5)	intron (NR_046089, intron 5 of 5)	144029	NR_046089	728342	Hs.434420	NR_046089		LINC00992	-	long intergenic non-protein coding RNA 992	ncRNA
13684	chr12	29590245	29591245	+	0	NA	TTS (NM_001353179)	TTS (NM_001353179)	48518	NR_073172	101055625	Hs.569158	NR_073170	ENSG00000257599	OVCH1-AS1	-	OVCH1 antisense RNA 1	ncRNA
9535	chr7	96971500	96972500	+	0	NA	Intergenic	L2b|LINE|L2	226095	NM_020186	57001	Hs.592269	NM_020186	ENSG00000196636	SDHAF3	ACN9|DC11|LYRM10|Sdh7	succinate dehydrogenase complex assembly factor 3	protein-coding
13700	chr12	32111020	32112020	+	0	NA	promoter-TSS (NM_018169)	promoter-TSS (NM_018169)	-829	NM_018169	55196	Hs.445129	NM_018169	ENSG00000174718	RESF1	C12orf35|GET|KIAA1551|UTA2-1	retroelement silencing factor 1	protein-coding
12740	chr11	13721130	13722130	+	0	NA	intron (NM_032228, intron 2 of 11)	MIRb|SINE|MIR	31415	NM_032228	84188	Hs.501991	NM_032228	ENSG00000197601	FAR1	MLSTD2|PFCRD|SDR10E1	fatty acyl-CoA reductase 1	protein-coding
7434	chr5	171433267	171434267	+	0	NA	5' UTR (NM_033645, exon 1 of 12)	5' UTR (NM_033645, exon 1 of 12)	110	NM_012300	23291	Hs.484138	NM_012300	ENSG00000072803	FBXW11	BTRC2|BTRCP2|FBW1B|FBXW1B|Fbw11|Hos	F-box and WD repeat domain containing 11	protein-coding
13595	chr12	19335473	19336473	+	0	NA	intron (NM_019012, intron 3 of 25)	intron (NM_019012, intron 3 of 25)	-22286	NM_001256787	54477	Hs.188614	NM_019012	ENSG00000052126	PLEKHA5	PEPP-2|PEPP2	pleckstrin homology domain containing A5	protein-coding
12824	chr11	25990920	25991920	+	0	NA	Intergenic	L2b|LINE|L2	-219250	NM_001313726	63982	Hs.91791	NM_031418	ENSG00000134343	ANO3	C11orf25|DYT23|DYT24|GENX-3947|TMEM16C	anoctamin 3	protein-coding
2108	chr2	80539658	80540658	+	0	NA	promoter-TSS (NM_001282599)	promoter-TSS (NM_001282599)	-346	NM_001282599	1496	Hs.167368	NM_004389	ENSG00000066032	CTNNA2	CAP-R|CAPR|CDCBM9|CT114|CTNR	catenin alpha 2	protein-coding
2530	chr2	151227305	151228305	+	0	NA	Intergenic	Intergenic	-114284	NR_146972	105373683		NR_146972	ENSG00000231420	LINC01817	-	long intergenic non-protein coding RNA 1817	ncRNA
10372	chr8	68021754	68022754	+	0	NA	intron (NM_001363133, intron 8 of 27)	MER61F|LTR|ERV1	26171	NM_001291339	79848	Hs.370147	NM_024790	ENSG00000104218	CSPP1	CSPP|JBTS21	centrosome and spindle pole associated protein 1	protein-coding
16766	chr16	76620826	76621826	+	0	NA	Intergenic	Intergenic	-47569	NR_110934	101928203	Hs.737035	NR_110934	ENSG00000250514	LINC02125	-	long intergenic non-protein coding RNA 2125	ncRNA
14681	chr13	47264727	47265727	+	0	NA	intron (NM_001164213, intron 7 of 18)	intron (NM_001164213, intron 7 of 18)	106069	NM_001984	2098	Hs.432491	NM_001984	ENSG00000139684	ESD	FGH	esterase D	protein-coding
2381	chr2	138934981	138935981	+	0	NA	Intergenic	Intergenic	76027	NR_135526	105373635		NR_135526	ENSG00000224231	LINC01832	-	long intergenic non-protein coding RNA 1832	ncRNA
8529	chr6	131547342	131548342	+	0	NA	intron (NM_016377, intron 7 of 7)	intron (NM_016377, intron 7 of 7)	-23702	NM_138633	9465	Hs.486483	NM_004842	ENSG00000118507	AKAP7	AKAP15|AKAP18	A-kinase anchoring protein 7	protein-coding
11727	chr10	6557175	6558175	+	0	NA	intron (NM_001323265, intron 1 of 17)	intron (NM_001323265, intron 1 of 17)	64563	NM_001323266	5588	Hs.498570	NM_006257	ENSG00000065675	PRKCQ	PRKCT|nPKC-theta	protein kinase C theta	protein-coding
