PeakID (cmd=annotatePeaks.pl MAFB_merged_hg19.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
15464	chr5	53340989	53341681	+	0	NA	intron (NM_019087, intron 4 of 4)	intron (NM_019087, intron 4 of 4)	-93906	NR_030307	693166		NR_030307	ENSG00000207627	MIR581	MIRN581|hsa-mir-581	microRNA 581	ncRNA
18478	chr7	72992739	72993061	+	0	NA	promoter-TSS (NM_001362663)	promoter-TSS (NM_001362663)	9	NM_012453	26608	Hs.647044	NM_012453	ENSG00000106638	TBL2	WBSCR13|WS-betaTRP	transducin beta like 2	protein-coding
87	chr1	10134427	10134956	+	0	NA	intron (NM_006048, intron 2 of 26)	L2a|LINE|L2	41675	NM_006048	10277	Hs.593974	NM_006048	ENSG00000130939	UBE4B	E4|HDNB1|UBOX3|UFD2|UFD2A	ubiquitination factor E4B	protein-coding
8118	chr17	53345997	53346517	+	0	NA	intron (NM_001330375, intron 2 of 3)	intron (NM_001330375, intron 2 of 3)	2674	NM_001330375	3131	Hs.196952	NM_002126	ENSG00000108924	HLF	-	HLF transcription factor, PAR bZIP family member	protein-coding
16692	chr6	19662971	19663607	+	0	NA	Intergenic	Intergenic	141701	NR_134649	100506885	Hs.346489	NR_134649	ENSG00000228412	LOC100506885	-	uncharacterized LOC100506885	ncRNA
9960	chr2	66913677	66914433	+	0	NA	intron (NR_110156, intron 4 of 5)	intron (NR_110156, intron 4 of 5)	16304	NR_110264	101927577	Hs.380543	NR_110264	ENSG00000237179	LINC01797	-	long intergenic non-protein coding RNA 1797	ncRNA
14214	chr4	57945250	57945883	+	0	NA	intron (NM_001253835, intron 1 of 3)	intron (NM_001253835, intron 1 of 3)	-30362	NR_034081	255130	Hs.691061	NR_034081	ENSG00000245067	IGFBP7-AS1	-	IGFBP7 antisense RNA 1	ncRNA
1500	chr1	212687397	212687766	+	0	NA	Intergenic	Intergenic	-31455	NR_125985	101929565		NR_125985	ENSG00000228067	LINC01740	-	long intergenic non-protein coding RNA 1740	ncRNA
10806	chr2	204277269	204277653	+	0	NA	intron (NM_005759, intron 8 of 9)	intron (NM_005759, intron 8 of 9)	45854	NM_001282927	10152	Hs.471156	NM_005759	ENSG00000138443	ABI2	ABI-2|ABI2B|AIP-1|AIP1|AblBP3|SSH3BP2|argBP1|argBPIA|argBPIB	abl interactor 2	protein-coding
20945	chr9	114393264	114393815	+	0	NA	promoter-TSS (NR_037148)	promoter-TSS (NR_037148)	-75	NM_004125	552891	Hs.534196	NM_004125	ENSG00000244115	DNAJC25-GNG10	-	DNAJC25-GNG10 readthrough	protein-coding
11559	chr20	44805369	44805922	+	0	NA	intron (NM_021248, intron 11 of 11)	intron (NM_021248, intron 11 of 11)	58692	NR_136327	958	Hs.472860	NM_001250	ENSG00000101017	CD40	Bp50|CDW40|TNFRSF5|p50	CD40 molecule	protein-coding
12985	chr3	97516005	97516514	+	0	NA	intron (NR_136600, intron 8 of 9)	HAL1|LINE|L1	-24596	NM_153605	131544	Hs.733378	NM_153605	ENSG00000080200	CRYBG3	DKFZp667G2110|vlAKAP	crystallin beta-gamma domain containing 3	protein-coding
5064	chr12	130095061	130095666	+	0	NA	intron (NM_133448, intron 2 of 8)	intron (NM_133448, intron 2 of 8)	293207	NM_133448	121256	Hs.507268	NM_133448	ENSG00000151952	TMEM132D	MOLT|PPP1R153	transmembrane protein 132D	protein-coding
583	chr1	62418407	62418808	+	0	NA	intron (NM_176877, intron 27 of 42)	intron (NM_176877, intron 27 of 42)	106860	NR_162146	113219465		NR_162146		MIR12132	-	microRNA 12132	ncRNA
12824	chr3	65650632	65651047	+	0	NA	intron (NM_001033057, intron 1 of 22)	intron (NM_001033057, intron 1 of 22)	-228652	NR_046575	100873983	Hs.663889	NR_046575	ENSG00000240175	MAGI1-AS1	-	MAGI1 antisense RNA 1	ncRNA
18139	chr7	17047453	17047901	+	0	NA	Intergenic	LTR16E1|LTR|ERVL	-126070	NM_176813	155465	Hs.100686	NM_176813	ENSG00000173467	AGR3	AG-3|AG3|BCMP11|HAG3|PDIA18|hAG-3	anterior gradient 3, protein disulphide isomerase family member	protein-coding
18822	chr7	114066475	114066969	+	0	NA	exon (NM_148899, exon 1 of 9)	exon (NM_148899, exon 1 of 9)	165	NM_148899	93986	Hs.282787	NM_014491	ENSG00000128573	FOXP2	CAGH44|SPCH1|TNRC10	forkhead box P2	protein-coding
16991	chr6	45163870	45164482	+	0	NA	intron (NM_003599, intron 2 of 10)	intron (NM_003599, intron 2 of 10)	1331	NR_030313	693171		NR_030313	ENSG00000207769	MIR586	MIRN586|hsa-mir-586	microRNA 586	ncRNA
19816	chr8	95705463	95706004	+	0	NA	intron (NM_001122826, intron 14 of 14)	intron (NM_001122826, intron 14 of 14)	-26395	NM_181787	286148	Hs.567828	NM_181787	ENSG00000156162	DPY19L4	-	dpy-19 like 4	protein-coding
10237	chr2	116171113	116171419	+	0	NA	intron (NM_001178037, intron 3 of 25)	intron (NM_001178037, intron 3 of 25)	69875	NM_001321913	57628	Hs.580539	NM_020868	ENSG00000175497	DPP10	DPL2|DPPY|DPRP-3|DPRP3	dipeptidyl peptidase like 10	protein-coding
11853	chr21	38122256	38122579	+	0	NA	TTS (NM_005069)	TTS (NM_005069)	51002	NM_005069	6493	Hs.146186	NM_005069	ENSG00000159263	SIM2	HMC13F06|HMC29C01|SIM|bHLHe15	SIM bHLH transcription factor 2	protein-coding
2584	chr10	93048917	93049729	+	0	NA	Intergenic	MIRb|SINE|MIR	68903	NM_032373	84333	Hs.500512	NM_032373	ENSG00000180628	PCGF5	RNF159	polycomb group ring finger 5	protein-coding
14548	chr4	104985645	104986263	+	0	NA	Intergenic	Intergenic	-344812	NM_001059	6870	Hs.942	NM_001059	ENSG00000169836	TACR3	HH11|NK-3R|NK3|NK3R|NKR|TAC3R|TAC3RL	tachykinin receptor 3	protein-coding
2152	chr10	35042343	35042746	+	0	NA	intron (NM_001184791, intron 1 of 20)	intron (NM_001184791, intron 1 of 20)	61680	NM_001184794	56288	Hs.131489	NM_019619	ENSG00000148498	PARD3	ASIP|Baz|PAR3|PAR3alpha|PARD-3|PARD3A|PPP1R118|SE2-5L16|SE2-5LT1|SE2-5T2	par-3 family cell polarity regulator	protein-coding
7465	chr16	69251283	69251685	+	0	NA	intron (NM_006750, intron 1 of 6)	intron (NM_006750, intron 1 of 6)	30434	NM_006750	6645	Hs.461117	NM_006750	ENSG00000168807	SNTB2	D16S2531E|EST25263|SNT2B2|SNT3|SNTL	syntrophin beta 2	protein-coding
20792	chr9	95640206	95640513	+	0	NA	promoter-TSS (NM_031486)	promoter-TSS (NM_031486)	-39	NM_001261459	83744	Hs.668378	NM_031486	ENSG00000127081	ZNF484	BA526D8.4	zinc finger protein 484	protein-coding
1557	chr1	220684510	220684842	+	0	NA	Intergenic	Intergenic	-16802	NM_018650	4139	Hs.497806	NM_018650	ENSG00000116141	MARK1	MARK|Par-1c|Par1c	microtubule affinity regulating kinase 1	protein-coding
13572	chr3	170782119	170782544	+	0	NA	intron (NM_015028, intron 32 of 32)	intron (NM_015028, intron 32 of 32)	-37822	NM_000340	6514	Hs.167584	NM_000340	ENSG00000163581	SLC2A2	GLUT2	solute carrier family 2 member 2	protein-coding
17095	chr6	55690596	55690835	+	0	NA	intron (NM_021073, intron 1 of 6)	intron (NM_021073, intron 1 of 6)	49673	NM_001329756	653	Hs.296648	NM_021073	ENSG00000112175	BMP5	-	bone morphogenetic protein 5	protein-coding
7402	chr16	57900803	57901587	+	0	NA	Intergenic	Intergenic	56646	NM_001278081	388282	Hs.434720	NM_001278081		LOC388282	-	uncharacterized LOC388282	protein-coding
3371	chr11	48115110	48115979	+	0	NA	intron (NM_001098503, intron 1 of 8)	intron (NM_001098503, intron 1 of 8)	-2790	NR_036119	100423000		NR_036119	ENSG00000263693	MIR3161	-	microRNA 3161	ncRNA
12408	chr3	15974183	15974731	+	0	NA	Intergenic	Intergenic	59179	NR_030289	693148		NR_030289	ENSG00000207815	MIR563	MIRN563|hsa-mir-563	microRNA 563	ncRNA
11936	chr21	45563346	45563702	+	0	NA	intron (NM_004649, intron 6 of 6)	intron (NM_004649, intron 6 of 6)	9959	NM_001320384	8209	Hs.413482	NM_004649	ENSG00000160221	GATD3A	C21orf33|ES1|GATD3|GT335|HES1|KNPH|KNPI	glutamine amidotransferase like class 1 domain containing 3A	protein-coding
17310	chr6	100310506	100310856	+	0	NA	Intergenic	Intergenic	-131233	NR_038384	728012	Hs.434366	NR_038384	ENSG00000229315	MCHR2-AS1	-	MCHR2 antisense RNA 1	ncRNA
9488	chr2	20813987	20814969	+	0	NA	Intergenic	Intergenic	-22170	NR_046836	100874343	Hs.591546	NR_046836	ENSG00000231948	HS1BP3-IT1	-	HS1BP3 intronic transcript 1	ncRNA
12028	chr22	26438737	26439428	+	0	NA	Intergenic	L1ME2|LINE|L1	-126346	NM_001184777	23544	Hs.194766	NM_021115	ENSG00000100095	SEZ6L	-	seizure related 6 homolog like	protein-coding
20835	chr9	99101861	99102455	+	0	NA	intron (NR_104627, intron 8 of 12)	intron (NR_104627, intron 8 of 12)	-37700	NM_000197	3293	Hs.477	NM_000197	ENSG00000130948	HSD17B3	EDH17B3|SDR12C2	hydroxysteroid 17-beta dehydrogenase 3	protein-coding
21190	chrX	5503920	5504441	+	0	NA	Intergenic	Intergenic	-640219	NR_136577	105373156	Hs.21107	NR_136577		LOC105373156	-	uncharacterized LOC105373156	ncRNA
16375	chr5	159008817	159009199	+	0	NA	Intergenic	Intergenic	-115724	NR_027110	285627	Hs.552766	NR_027110	ENSG00000253298	LINC01845	-	long intergenic non-protein coding RNA 1845	ncRNA
12846	chr3	67435336	67435794	+	0	NA	intron (NM_003848, intron 10 of 10)	intron (NM_003848, intron 10 of 10)	159677	NR_036234	100422941		NR_036234	ENSG00000283298	MIR4272	-	microRNA 4272	ncRNA
7920	chr17	30954264	30955142	+	0	NA	intron (NM_015194, intron 20 of 21)	intron (NM_015194, intron 20 of 21)	140692	NM_003885	8851	Hs.500015	NM_003885	ENSG00000176749	CDK5R1	CDK5P35|CDK5R|NCK5A|p23|p25|p35|p35nck5a	cyclin dependent kinase 5 regulatory subunit 1	protein-coding
11896	chr21	42218162	42218511	+	0	NA	intron (NR_073202, intron 1 of 32)	intron (NR_073202, intron 1 of 32)	748	NM_001389	1826	Hs.160418	NM_001389	ENSG00000171587	DSCAM	CHD2|CHD2-42|CHD2-52	DS cell adhesion molecule	protein-coding
3192	chr11	27472596	27473420	+	0	NA	intron (NM_018490, intron 1 of 17)	intron (NM_018490, intron 1 of 17)	-20270	NR_131170	105376671	Hs.568999	NR_131169	ENSG00000254862	LOC105376671	lnc-BBOX1-1	uncharacterized LOC105376671	ncRNA
15337	chr5	35197849	35198615	+	0	NA	intron (NM_000949, intron 1 of 9)	intron (NM_000949, intron 1 of 9)	32357	NM_000949	5618	Hs.368587	NM_000949	ENSG00000113494	PRLR	HPRL|MFAB|RI-PRLR|hPRLrI	prolactin receptor	protein-coding
13044	chr3	105167240	105167864	+	0	NA	intron (NM_001243280, intron 1 of 14)	intron (NM_001243280, intron 1 of 14)	81799	NM_001243280	214	Hs.591293	NM_001627	ENSG00000170017	ALCAM	CD166|MEMD	activated leukocyte cell adhesion molecule	protein-coding
3876	chr11	115372601	115373296	+	0	NA	intron (NM_001301044, intron 1 of 10)	intron (NM_001301044, intron 1 of 10)	2185	NM_001301045	23705	Hs.370510	NM_014333	ENSG00000182985	CADM1	BL2|IGSF4|IGSF4A|NECL2|Necl-2|RA175|ST17|SYNCAM|TSLC1|sTSLC-1|sgIGSF|synCAM1	cell adhesion molecule 1	protein-coding
19793	chr8	93609619	93609960	+	0	NA	intron (NR_125827, intron 3 of 4)	L2|LINE|L2	57933	NR_125827	102724710	Hs.125714	NR_125827	ENSG00000253634	LOC102724710	-	uncharacterized LOC102724710	ncRNA
17827	chr6	151367198	151367597	+	0	NA	intron (NM_001242768, intron 26 of 27)	intron (NM_001242768, intron 26 of 27)	39253	NM_001350490	25902	Hs.591343	NM_015440	ENSG00000120254	MTHFD1L	FTHFSDC1|MTC1THFS|dJ292B18.2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like	protein-coding
21085	chr9	131900695	131901564	+	0	NA	intron (NM_001193397, intron 8 of 9)	intron (NM_001193397, intron 8 of 9)	27162	NM_001193397	5524	Hs.400740	NM_021131	ENSG00000119383	PTPA	PP2A|PPP2R4|PR53	protein phosphatase 2 phosphatase activator	protein-coding
11508	chr20	38463920	38464522	+	0	NA	Intergenic	Intergenic	-168882	NR_109936	100505663	Hs.559348	NR_109936	ENSG00000237767	LINC01370	HI-LNC25|HILNC25	long intergenic non-protein coding RNA 1370	ncRNA
6571	chr15	37391964	37393049	+	0	NA	promoter-TSS (NM_172316)	promoter-TSS (NM_172316)	244	NR_051953	4212	Hs.510989	NM_002399	ENSG00000134138	MEIS2	CPCMR|HsT18361|MRG1	Meis homeobox 2	protein-coding
15758	chr5	84828396	84828736	+	0	NA	Intergenic	(TATAA)n|Simple_repeat|Simple_repeat	-749696	NR_003719	285622	Hs.449272	NR_003719		NBPF22P	-	NBPF member 22, pseudogene	pseudo
3838	chr11	112831786	112832359	+	0	NA	promoter-TSS (NM_001242608)	promoter-TSS (NM_001242608)	-70	NM_001076682	4684	Hs.503878	NM_000615	ENSG00000149294	NCAM1	CD56|MSK39|NCAM	neural cell adhesion molecule 1	protein-coding
9474	chr2	17929910	17930455	+	0	NA	intron (NM_024624, intron 1 of 26)	intron (NM_024624, intron 1 of 26)	4895	NM_001142286	79677	Hs.526728	NM_024624	ENSG00000163029	SMC6	SMC-6|SMC6L1|hSMC6	structural maintenance of chromosomes 6	protein-coding
11275	chr20	14356170	14356758	+	0	NA	intron (NM_001351661, intron 3 of 17)	intron (NM_001351661, intron 3 of 17)	-38151	NM_013281	23767	Hs.41296	NM_013281	ENSG00000125848	FLRT3	HH21	fibronectin leucine rich transmembrane protein 3	protein-coding
18528	chr7	78308878	78309586	+	0	NA	intron (NM_012301, intron 2 of 21)	intron (NM_012301, intron 2 of 21)	-329072	NR_046689	100874021	Hs.128252	NR_046689	ENSG00000226978	MAGI2-AS2	-	MAGI2 antisense RNA 2	ncRNA
21621	chrX	138397310	138397711	+	0	NA	Intergenic	Intergenic	-110325	NM_001139501	2258	Hs.6540	NM_004114	ENSG00000129682	FGF13	FGF-13|FGF2|FHF-2|FHF2|LINC00889	fibroblast growth factor 13	protein-coding
4986	chr12	123509340	123509836	+	0	NA	intron (NM_020845, intron 2 of 24)	intron (NM_020845, intron 2 of 24)	-14313	NR_036187	100422931		NR_036187	ENSG00000265526	MIR4304	-	microRNA 4304	ncRNA
4002	chr11	128230601	128231933	+	0	NA	Intergenic	Intergenic	152606	NR_146647	105369564	Hs.591937	NR_146647	ENSG00000272575	LINC02098	-	long intergenic non-protein coding RNA 2098	ncRNA
20087	chr8	126651461	126651677	+	0	NA	Intergenic	MER82|DNA|TcMar-Tigger	207118	NM_001282985	10221	Hs.444947	NM_025195	ENSG00000173334	TRIB1	C8FW|GIG-2|GIG2|SKIP1|TRB-1|TRB1	tribbles pseudokinase 1	protein-coding
6157	chr14	69522464	69523362	+	0	NA	intron (NM_003861, intron 8 of 8)	intron (NM_003861, intron 8 of 8)	76514	NR_073422	161159	Hs.603341	NR_073422	ENSG00000259062	ACTN1-AS1	C14orf84	ACTN1 antisense RNA 1	ncRNA
4798	chr12	104450266	104450921	+	0	NA	intron (NM_001316967, intron 1 of 10)	Tigger6a|DNA|TcMar-Tigger	7362	NM_001316967	83468	Hs.631650	NM_031302	ENSG00000120820	GLT8D2	-	glycosyltransferase 8 domain containing 2	protein-coding
4924	chr12	118291404	118291792	+	0	NA	intron (NM_173598, intron 3 of 19)	intron (NM_173598, intron 3 of 19)	115197	NM_173598	283455	Hs.375836	NM_173598	ENSG00000171435	KSR2	-	kinase suppressor of ras 2	protein-coding
6284	chr14	89687253	89687776	+	0	NA	intron (NM_001085471, intron 4 of 6)	intron (NM_001085471, intron 4 of 6)	196063	NM_005197	1112	Hs.434286	NM_005197	ENSG00000053254	FOXN3	C14orf116|CHES1|PRO1635	forkhead box N3	protein-coding
9748	chr2	45191905	45192631	+	0	NA	Intergenic	Intergenic	-23251	NR_103786	100506108	Hs.503113	NR_103785	ENSG00000236502	SIX3-AS1	SIX3OS	SIX3 antisense RNA 1	ncRNA
5513	chr13	73270701	73271031	+	0	NA	Intergenic	Intergenic	30901	NM_001071775	440145	Hs.28465	NM_001071775	ENSG00000204899	MZT1	C13orf37|MOZART1	mitotic spindle organizing protein 1	protein-coding
16985	chr6	44476278	44476735	+	0	NA	Intergenic	Intergenic	43112	NR_134609	105375075	Hs.123393	NR_134609		LOC105375075	-	uncharacterized LOC105375075	ncRNA
17746	chr6	144651562	144652070	+	0	NA	intron (NM_007124, intron 1 of 73)	intron (NM_007124, intron 1 of 73)	38943	NM_007124	7402	Hs.133135	NM_007124	ENSG00000152818	UTRN	DMDL|DRP|DRP1	utrophin	protein-coding
16830	chr6	34330979	34331621	+	0	NA	intron (NM_001202470, intron 5 of 8)	intron (NM_001202470, intron 5 of 8)	29146	NM_006703	11165	Hs.188882	NM_006703	ENSG00000272325	NUDT3	DIPP|DIPP-1|DIPP1	nudix hydrolase 3	protein-coding
20517	chr9	33151037	33151460	+	0	NA	intron (NM_001497, intron 1 of 5)	intron (NM_001497, intron 1 of 5)	-15698	NR_108110	101929639	Hs.545818	NR_108108	ENSG00000233554	B4GALT1-AS1	-	B4GALT1 antisense RNA 1	ncRNA
20821	chr9	97866461	97866910	+	0	NA	intron (NM_001243743, intron 14 of 14)	intron (NM_001243743, intron 14 of 14)	-18309	NR_036109	100422842		NR_036109	ENSG00000207617	MIR3074	mir-3074	microRNA 3074	ncRNA
7928	chr17	31643756	31644221	+	0	NA	intron (NM_001094, intron 1 of 9)	intron (NM_001094, intron 1 of 9)	-23982	NM_183377	40	Hs.368417	NM_001094	ENSG00000108684	ASIC2	ACCN|ACCN1|ASIC2a|BNC1|BNaC1|MDEG|hBNaC1	acid sensing ion channel subunit 2	protein-coding
10180	chr2	105737702	105738464	+	0	NA	Intergenic	Intergenic	-18681	NR_110227	101927492	Hs.469537	NR_110227	ENSG00000231851	UTAT33	-	uncharacterized LOC101927492	ncRNA
16038	chr5	124223493	124225007	+	0	NA	Intergenic	Intergenic	-143445	NM_020747	57507	Hs.266616	NM_020747	ENSG00000168916	ZNF608	NY-REN-36	zinc finger protein 608	protein-coding
16461	chr5	172160657	172160917	+	0	NA	Intergenic	Intergenic	-21719	NR_161233	101928093	Hs.646902	NR_161233		LOC101928093	-	uncharacterized LOC101928093	ncRNA
17954	chr6	163949502	163949964	+	0	NA	intron (NM_206853, intron 3 of 6)	intron (NM_206853, intron 3 of 6)	113983	NM_206853	9444	Hs.510324	NM_006775	ENSG00000112531	QKI	Hqk|QK|QK1|QK3|hqkI	QKI, KH domain containing RNA binding	protein-coding
1294	chr1	183760080	183760478	+	0	NA	intron (NM_001297670, intron 2 of 17)	intron (NM_001297670, intron 2 of 17)	-13975	NM_001297672	23179	Hs.497148	NM_015149	ENSG00000143344	RGL1	RGL	ral guanine nucleotide dissociation stimulator like 1	protein-coding
2853	chr10	120840334	120841049	+	0	NA	promoter-TSS (NM_003750)	promoter-TSS (NM_003750)	-362	NM_003750	8661	Hs.523299	NM_003750	ENSG00000107581	EIF3A	EIF3|EIF3S10|P167|TIF32|eIF3-p170|eIF3-theta|p180|p185	eukaryotic translation initiation factor 3 subunit A	protein-coding
18500	chr7	76002565	76003037	+	0	NA	Intergenic	Intergenic	-14493	NM_012479	7532	Hs.744840	NM_012479	ENSG00000170027	YWHAG	14-3-3GAMMA|EIEE56|PPP1R170	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma	protein-coding
21611	chrX	133208168	133208685	+	0	NA	Intergenic	MER68|LTR|ERVL	-88753	NM_004484	2719	Hs.644108	NM_004484	ENSG00000147257	GPC3	DGSX|GTR2-2|MXR7|OCI-5|SDYS|SGB|SGBS|SGBS1	glypican 3	protein-coding
9537	chr2	26255907	26256275	+	0	NA	promoter-TSS (NM_016131)	promoter-TSS (NM_016131)	-862	NM_016131	10890	Hs.467960	NM_016131	ENSG00000084733	RAB10	-	RAB10, member RAS oncogene family	protein-coding
18857	chr7	120747840	120748532	+	0	NA	intron (NM_001105533, intron 6 of 17)	intron (NM_001105533, intron 6 of 17)	118741	NM_001105533	79974	Hs.189652	NM_024913	ENSG00000106034	CPED1	C7orf58	cadherin like and PC-esterase domain containing 1	protein-coding
5016	chr12	125351788	125352360	+	0	NA	Intergenic	L1MB7|LINE|L1	-3664	NR_160418	949	Hs.731377	NM_005505	ENSG00000073060	SCARB1	CD36L1|CLA-1|CLA1|HDLQTL6|SR-BI|SRB1	scavenger receptor class B member 1	protein-coding
1172	chr1	171750019	171750595	+	0	NA	promoter-TSS (NM_015935)	promoter-TSS (NM_015935)	-493	NM_001007239	51603	Hs.494705	NM_014955	ENSG00000010165	EEF1AKNMT	5630401D24Rik|CGI-01|DFNB26|DFNB26M|KIAA0859|METTL13|feat	eEF1A lysine and N-terminal methyltransferase	protein-coding
14308	chr4	78108464	78108848	+	0	NA	Intergenic	Intergenic	30296	NM_004354	901	Hs.740456	NM_004354	ENSG00000138764	CCNG2	-	cyclin G2	protein-coding
3941	chr11	120937884	120938580	+	0	NA	intron (NM_152715, intron 7 of 7)	intron (NM_152715, intron 7 of 7)	-35143	NM_005422	7007	Hs.248162	NM_005422	ENSG00000109927	TECTA	DFNA12|DFNA8|DFNB21	tectorin alpha	protein-coding
21609	chrX	132457510	132457902	+	0	NA	intron (NM_001448, intron 3 of 8)	intron (NM_001448, intron 3 of 8)	91811	NM_001448	2239	Hs.58367	NM_001448	ENSG00000076716	GPC4	K-glypican	glypican 4	protein-coding
19340	chr8	26375174	26375628	+	0	NA	intron (NM_001197293, intron 1 of 13)	intron (NM_001197293, intron 1 of 13)	3854	NM_001197293	1808	Hs.593187	NM_001386	ENSG00000092964	DPYSL2	CRMP-2|CRMP2|DHPRP2|DRP-2|DRP2|N2A3|ULIP-2|ULIP2	dihydropyrimidinase like 2	protein-coding
17893	chr6	157295373	157295721	+	0	NA	intron (NM_001346813, intron 4 of 19)	intron (NM_001346813, intron 4 of 19)	-62014	NM_001363725	57492	Hs.291587	NM_017519	ENSG00000049618	ARID1B	6A3-5|BAF250B|BRIGHT|CSS1|DAN15|ELD/OSA1|MRD12|OSA2|P250R	AT-rich interaction domain 1B	protein-coding
14189	chr4	53823170	53823938	+	0	NA	intron (NM_152540, intron 5 of 8)	intron (NM_152540, intron 5 of 8)	95070	NM_023940	65997	Hs.8035	NM_023940	ENSG00000128045	RASL11B	-	RAS like family 11 member B	protein-coding
19124	chr7	154558629	154559642	+	0	NA	intron (NR_157196, intron 8 of 25)	intron (NR_157196, intron 8 of 25)	-161092	NR_024476	100132707	Hs.586358	NR_024476	ENSG00000214106	PAXIP1-AS2	PAXIP1OS	PAXIP1 antisense RNA 2	ncRNA
7841	chr17	17732558	17733285	+	0	NA	intron (NM_001005291, intron 1 of 19)	intron (NM_001005291, intron 1 of 19)	-5977	NM_001321096	6720	Hs.592123	NM_004176	ENSG00000072310	SREBF1	SREBP1|bHLHd1	sterol regulatory element binding transcription factor 1	protein-coding
19631	chr8	61925832	61926431	+	0	NA	Intergenic	Intergenic	-45824	NR_034003	100130298	Hs.636194	NR_034003		LOC100130298	-	hCG1816373-like	ncRNA
13128	chr3	114119671	114120071	+	0	NA	intron (NM_001348802, intron 7 of 10)	intron (NM_001348802, intron 7 of 10)	-17382	NM_001164342	26137	Hs.202577	NM_015642	ENSG00000181722	ZBTB20	DPZF|HOF|ODA-8S|PRIMS|ZNF288	zinc finger and BTB domain containing 20	protein-coding
14532	chr4	102875740	102876740	+	0	NA	intron (NM_001127507, intron 6 of 15)	intron (NM_001127507, intron 6 of 15)	141241	NM_001083907	55024	Hs.480400	NM_017935	ENSG00000153064	BANK1	BANK	B cell scaffold protein with ankyrin repeats 1	protein-coding
18400	chr7	50755686	50756130	+	0	NA	intron (NM_001371009, intron 2 of 15)	MIRb|SINE|MIR	17090	NM_001001550	2887	Hs.164060	NM_005311	ENSG00000106070	GRB10	GRB-IR|Grb-10|IRBP|MEG1|RSS	growth factor receptor bound protein 10	protein-coding
15523	chr5	58452702	58453264	+	0	NA	3' UTR (NM_001364602, exon 6 of 6)	3' UTR (NM_001364602, exon 6 of 6)	-117680	NM_001197221	5144	Hs.117545	NM_006203	ENSG00000113448	PDE4D	ACRDYS2|DPDE3|HSPDE4D|PDE43|PDE4DN2|STRK1	phosphodiesterase 4D	protein-coding
19550	chr8	53303620	53304152	+	0	NA	intron (NM_001352827, intron 2 of 26)	intron (NM_001352827, intron 2 of 26)	18430	NM_001352884	9705	Hs.655499	NM_014682	ENSG00000147488	ST18	NZF-3|NZF3|ZC2H2C3|ZC2HC10|ZNF387	ST18 C2H2C-type zinc finger transcription factor	protein-coding
14325	chr4	79550324	79550686	+	0	NA	Intergenic	(GA)n|Simple_repeat|Simple_repeat	-16643	NR_038304	100505702	Hs.235795	NR_038303		LINC01094	-	long intergenic non-protein coding RNA 1094	ncRNA
1214	chr1	176670416	176670915	+	0	NA	intron (NM_020318, intron 8 of 22)	intron (NM_020318, intron 8 of 22)	238354	NM_021936	60676	Hs.187284	NM_020318	ENSG00000116183	PAPPA2	PAPP-A2|PAPP-E|PAPPE|PLAC3	pappalysin 2	protein-coding
21605	chrX	131792880	131793639	+	0	NA	intron (NM_147175, intron 3 of 3)	intron (NM_147175, intron 3 of 3)	-8411	NR_046691	100874102	Hs.619341	NR_046691	ENSG00000235849	HS6ST2-AS1	-	HS6ST2 antisense RNA 1	ncRNA
11568	chr20	45450632	45451134	+	0	NA	Intergenic	L1M5|LINE|L1	-72380	NM_172110	2139	Hs.472877	NM_005244	ENSG00000064655	EYA2	EAB1	EYA transcriptional coactivator and phosphatase 2	protein-coding
19460	chr8	38470078	38470828	+	0	NA	Intergenic	Intergenic	-11678	NR_003129	286140	Hs.512071	NR_003129		RNF5P1	-	ring finger protein 5 pseudogene 1	pseudo
3210	chr11	31663009	31663399	+	0	NA	intron (NM_001288725, intron 7 of 10)	intron (NM_001288725, intron 7 of 10)	131890	NM_001288725	26610	Hs.175534	NM_019040	ENSG00000109911	ELP4	AN|AN2|C11orf19|PAX6NEB|PAXNEB|dJ68P15A.1|hELP4	elongator acetyltransferase complex subunit 4	protein-coding
3088	chr11	14709573	14710248	+	0	NA	intron (NM_000922, intron 1 of 15)	intron (NM_000922, intron 1 of 15)	44560	NM_000922	5140	Hs.445711	NM_000922	ENSG00000152270	PDE3B	HcGIP1|cGIPDE1	phosphodiesterase 3B	protein-coding
2545	chr10	89623180	89623494	+	0	NA	promoter-TSS (NM_000314)	promoter-TSS (NM_000314)	-45	NM_001304717	5728	Hs.500466	NM_000314	ENSG00000171862	PTEN	10q23del|BZS|CWS1|DEC|GLM2|MHAM|MMAC1|PTEN1|PTENbeta|TEP1	phosphatase and tensin homolog	protein-coding
14372	chr4	85012270	85012810	+	0	NA	intron (NR_125909, intron 7 of 8)	intron (NR_125909, intron 7 of 8)	207782	NR_125909	101928978	Hs.647977	NR_125909	ENSG00000250546	LOC101928978	-	uncharacterized LOC101928978	ncRNA
19330	chr8	24766874	24767312	+	0	NA	Intergenic	Intergenic	-4181	NM_005382	4741	Hs.458657	NM_005382	ENSG00000104722	NEFM	NEF3|NF-M|NFM	neurofilament medium	protein-coding
