PeakID (cmd=annotatePeaks.pl FOXA2_merged_hg19.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
50481	chr8	120231508	120232195	+	0	NA	intron (NR_149111, intron 1 of 1)	intron (NR_149111, intron 1 of 1)	11249	NM_052886	114569	Hs.201083	NM_052886	ENSG00000147676	MAL2	-	mal, T cell differentiation protein 2 (gene/pseudogene)	protein-coding
2781	chr1	167907292	167907839	+	0	NA	intron (NM_001349780, intron 1 of 17)	L1ME3C|LINE|L1	-1255	NM_001143674	25874	Hs.517768	NM_015415	ENSG00000143158	MPC2	BRP44|SLC54A2	mitochondrial pyruvate carrier 2	protein-coding
10988	chr12	59423967	59424617	+	0	NA	Intergenic	Intergenic	-109973	NM_153377	121227	Hs.253736	NM_153377	ENSG00000139263	LRIG3	LIG3	leucine rich repeats and immunoglobulin like domains 3	protein-coding
31255	chr3	60564890	60565936	+	0	NA	intron (NM_001354589, intron 4 of 8)	intron (NM_001354589, intron 4 of 8)	38190	NR_128708	103504735		NR_128708	ENSG00000281426	MIR548BB	MI0029321|hsa-mir-548bb	microRNA 548bb	ncRNA
41139	chr5	167092271	167092968	+	0	NA	intron (NM_001368145, intron 1 of 26)	intron (NM_001368145, intron 1 of 26)	-89315	NM_001080428	57451	Hs.631957	NM_001080428	ENSG00000145934	TENM2	ODZ2|TEN-M2|TNM2|ten-2	teneurin transmembrane protein 2	protein-coding
49195	chr8	56908244	56909090	+	0	NA	intron (NM_002350, intron 10 of 12)	intron (NM_002350, intron 10 of 12)	77793	NR_002437	26795		NR_002437	ENSG00000238650	SNORD54	RNU54|U54	small nucleolar RNA, C/D box 54	snoRNA
26047	chr2	169572687	169573404	+	0	NA	intron (NM_203463, intron 7 of 9)	intron (NM_203463, intron 7 of 9)	69894	NR_045787	100861402	Hs.506829	NR_045786	ENSG00000227617	CERS6-AS1	-	CERS6 antisense RNA 1	ncRNA
19567	chr17	35077873	35078836	+	0	NA	Intergenic	Intergenic	120342	NM_024864	79922	Hs.194864	NM_024864	ENSG00000278619	MRM1	-	mitochondrial rRNA methyltransferase 1	protein-coding
33953	chr3	188059115	188059667	+	0	NA	intron (NM_005578, intron 2 of 10)	intron (NM_005578, intron 2 of 10)	116198	NM_001167671	4026	Hs.720220	NM_005578	ENSG00000145012	LPP	-	LIM domain containing preferred translocation partner in lipoma	protein-coding
19754	chr17	43387850	43388437	+	0	NA	intron (NM_003954, intron 1 of 15)	intron (NM_003954, intron 1 of 15)	6243	NM_003954	9020	Hs.404183	NM_003954	ENSG00000006062	MAP3K14	FTDCR1B|HS|HSNIK|NIK	mitogen-activated protein kinase kinase kinase 14	protein-coding
28805	chr21	16413938	16414443	+	0	NA	intron (NM_003489, intron 2 of 3)	AT_rich|Low_complexity|Low_complexity	23131	NM_003489	8204	Hs.155017	NM_003489	ENSG00000180530	NRIP1	CAKUT3|RIP140	nuclear receptor interacting protein 1	protein-coding
24177	chr2	55390748	55391913	+	0	NA	Intergenic	Intergenic	-26363	NM_001321904	57142	Hs.637850	NM_007008	ENSG00000115310	RTN4	ASY|NI220/250|NOGO|NSP|NSP-CL|Nbla00271|Nbla10545|RTN-X|RTN4-A|RTN4-B1|RTN4-B2|RTN4-C	reticulon 4	protein-coding
19536	chr17	32602944	32603352	+	0	NA	Intergenic	MLT1J2|LTR|ERVL-MaLR	5908	NM_006273	6354	Hs.251526	NM_006273	ENSG00000108688	CCL7	FIC|MARC|MCP-3|MCP3|NC28|SCYA6|SCYA7	C-C motif chemokine ligand 7	protein-coding
25162	chr2	120525932	120526830	+	0	NA	intron (NM_002830, intron 1 of 26)	intron (NM_002830, intron 1 of 26)	8883	NM_002830	5775	Hs.469809	NM_002830	ENSG00000088179	PTPN4	MEG|PTPMEG|PTPMEG1	protein tyrosine phosphatase non-receptor type 4	protein-coding
33175	chr3	156003386	156004020	+	0	NA	intron (NM_003471, intron 1 of 13)	intron (NM_003471, intron 1 of 13)	-5073	NM_172159	7881	Hs.654519	NM_003471	ENSG00000169282	KCNAB1	AKR6A3|KCNA1B|KV-BETA-1|Kvb1.3|hKvBeta3|hKvb3	potassium voltage-gated channel subfamily A member regulatory beta subunit 1	protein-coding
38867	chr5	60304365	60304926	+	0	NA	intron (NM_174889, intron 1 of 3)	intron (NM_174889, intron 1 of 3)	63613	NM_174889	91942	Hs.591757	NM_174889	ENSG00000164182	NDUFAF2	B17.2L|MC1DN10|MMTN|NDUFA12L|mimitin	NADH:ubiquinone oxidoreductase complex assembly factor 2	protein-coding
21631	chr18	48923787	48924525	+	0	NA	intron (NR_040074, intron 1 of 2)	MER47B|DNA|TcMar-Tigger	5744	NR_040074	100287225	Hs.448920	NR_040074	ENSG00000227115	LINC01630	-	long intergenic non-protein coding RNA 1630	ncRNA
40377	chr5	131637447	131638075	+	0	NA	intron (NM_003059, intron 1 of 9)	intron (NM_003059, intron 1 of 9)	7674	NM_003059	6583	Hs.310591	NM_003059	ENSG00000197208	SLC22A4	DFNB60|OCTN1	solute carrier family 22 member 4	protein-coding
38374	chr5	36974439	36975118	+	0	NA	intron (NM_015384, intron 8 of 45)	intron (NM_015384, intron 8 of 45)	97907	NM_015384	25836	Hs.481927	NM_015384	ENSG00000164190	NIPBL	CDLS|CDLS1|IDN3|IDN3-B|Scc2	NIPBL cohesin loading factor	protein-coding
24393	chr2	65604928	65605638	+	0	NA	intron (NM_181784, intron 1 of 5)	intron (NM_181784, intron 1 of 5)	-11371	NM_001128210	200734	Hs.59332	NM_181784	ENSG00000198369	SPRED2	Spred-2	sprouty related EVH1 domain containing 2	protein-coding
13547	chr13	73238136	73239150	+	0	NA	Intergenic	Intergenic	63124	NM_001071775	440145	Hs.28465	NM_001071775	ENSG00000204899	MZT1	C13orf37|MOZART1	mitotic spindle organizing protein 1	protein-coding
17623	chr15	100243580	100244378	+	0	NA	intron (NM_001365209, intron 8 of 10)	intron (NM_001365209, intron 8 of 10)	29663	NM_001284417	145748	Hs.562568	NM_152449	ENSG00000183060	LYSMD4	-	LysM domain containing 4	protein-coding
7429	chr11	10691563	10692046	+	0	NA	intron (NM_001206880, intron 1 of 19)	L5|LINE|RTE	-17956	NM_001098579	10335	Hs.501898	NM_130385	ENSG00000072952	MRVI1	IRAG|JAW1L	murine retrovirus integration site 1 homolog	protein-coding
35784	chr4	88196350	88196835	+	0	NA	Intergenic	MIR|SINE|MIR	25143	NR_049891	100847027		NR_049891	ENSG00000263981	MIR5705	-	microRNA 5705	ncRNA
14334	chr13	111213048	111213713	+	0	NA	intron (NM_017817, intron 1 of 1)	MIRc|SINE|MIR	689	NM_017817	55647	Hs.743563	NM_017817	ENSG00000139832	RAB20	-	RAB20, member RAS oncogene family	protein-coding
45420	chr7	15573074	15573792	+	0	NA	intron (NM_001004320, intron 3 of 12)	intron (NM_001004320, intron 3 of 12)	28207	NM_001004320	392636	Hs.670634	NM_001004320	ENSG00000187546	AGMO	TMEM195	alkylglycerol monooxygenase	protein-coding
28209	chr20	32104545	32105180	+	0	NA	intron (NM_001032999, intron 1 of 10)	intron (NM_001032999, intron 1 of 10)	26960	NM_001032999	9139	Hs.153934	NM_005093	ENSG00000078699	CBFA2T2	EHT|MTGR1|ZMYND3|p85	CBFA2/RUNX1 partner transcriptional co-repressor 2	protein-coding
47368	chr7	114463732	114464491	+	0	NA	Intergenic	Intergenic	-98098	NM_001166345	29969	Hs.741413	NM_199072	ENSG00000135272	MDFIC	HIC|MDFIC1	MyoD family inhibitor domain containing	protein-coding
46216	chr7	51383716	51384330	+	0	NA	intron (NM_001346441, intron 1 of 12)	CpG	483	NM_001346443	23242	Hs.99141	NM_015198	ENSG00000106078	COBL	-	cordon-bleu WH2 repeat protein	protein-coding
49669	chr8	80804588	80805308	+	0	NA	Intergenic	Intergenic	-20976	NR_110954	101927040	Hs.350876	NR_110954	ENSG00000249328	LOC101927040	-	uncharacterized LOC101927040	ncRNA
32816	chr3	138405416	138406127	+	0	NA	intron (NM_006219, intron 16 of 23)	intron (NM_006219, intron 16 of 23)	20692	NM_001256045	5291	Hs.239818	NM_006219	ENSG00000051382	PIK3CB	P110BETA|PI3K|PI3KBETA|PIK3C1	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta	protein-coding
35458	chr4	76648308	76649286	+	0	NA	promoter-TSS (NM_001290049)	promoter-TSS (NM_001290049)	-909	NM_003715	8615	Hs.744877	NM_003715	ENSG00000138768	USO1	P115|TAP|VDP	USO1 vesicle transport factor	protein-coding
4568	chr1	243699471	243700206	+	0	NA	intron (NM_001370074, intron 12 of 13)	L1MD|LINE|L1	190360	NR_039824	100616343		NR_039824	ENSG00000265201	MIR4677	mir-4677	microRNA 4677	ncRNA
19329	chr17	17851221	17851716	+	0	NA	intron (NM_001033551, intron 1 of 13)	intron (NM_001033551, intron 1 of 13)	24246	NM_001288789	146691	Hs.462379	NM_144678	ENSG00000175662	TOM1L2	-	target of myb1 like 2 membrane trafficking protein	protein-coding
17171	chr15	75486426	75487270	+	0	NA	Intergenic	Intergenic	-7375	NM_015492	56905	Hs.17936	NM_015492	ENSG00000167173	C15orf39	-	chromosome 15 open reading frame 39	protein-coding
38675	chr5	54925669	54926089	+	0	NA	intron (NM_173514, intron 14 of 15)	Charlie1a|DNA|hAT-Charlie	63002	NM_001258287	153129	Hs.742101	NM_173514	ENSG00000177058	SLC38A9	URLC11	solute carrier family 38 member 9	protein-coding
17409	chr15	89996628	89997045	+	0	NA	Intergenic	Intergenic	42978	NM_016321	51458	Hs.459284	NM_016321	ENSG00000140519	RHCG	C15orf6|PDRC2|RHGK|SLC42A3	Rh family C glycoprotein	protein-coding
2662	chr1	161890610	161891261	+	0	NA	intron (NM_007348, intron 15 of 15)	intron (NM_007348, intron 15 of 15)	103320	NM_015441	25903	Hs.507515	NM_015441	ENSG00000162745	OLFML2B	-	olfactomedin like 2B	protein-coding
51130	chr9	4020384	4021079	+	0	NA	intron (NM_001042413, intron 4 of 10)	intron (NM_001042413, intron 4 of 10)	122085	NR_026663	84850	Hs.676113	NM_032764	ENSG00000237009	GLIS3-AS1	C9orf70	GLIS3 antisense RNA 1	ncRNA
5160	chr10	23788078	23789375	+	0	NA	Intergenic	Intergenic	60528	NM_001145373	220213	Hs.499042	NM_001145373	ENSG00000165312	OTUD1	DUBA7|OTDC1	OTU deubiquitinase 1	protein-coding
32797	chr3	136982748	136984105	+	0	NA	Intergenic	CT-rich|Low_complexity|Low_complexity	306601	NM_144717	53833	Hs.61232	NM_144717	ENSG00000174564	IL20RB	DIRS1|FNDC6|IL-20R2	interleukin 20 receptor subunit beta	protein-coding
37319	chr4	166631216	166631742	+	0	NA	intron (NR_121676, intron 3 of 5)	intron (NR_121676, intron 3 of 5)	25688	NR_121676	101928151	Hs.639858	NR_121676	ENSG00000249500	LINC01179	-	long intergenic non-protein coding RNA 1179	ncRNA
10403	chr12	25517488	25518519	+	0	NA	Intergenic	Intergenic	-114140	NM_033360	3845	Hs.505033	NM_004985	ENSG00000133703	KRAS	C-K-RAS|CFC2|K-RAS2A|K-RAS2B|K-RAS4A|K-RAS4B|K-Ras|KI-RAS|KRAS1|KRAS2|NS|NS3|RALD|RASK2|c-Ki-ras2	KRAS proto-oncogene, GTPase	protein-coding
8020	chr11	35296514	35297678	+	0	NA	intron (NM_001252652, intron 10 of 11)	intron (NM_001252652, intron 10 of 11)	112599	NR_145794	109623487		NR_145794		SNORD164	-	small nucleolar RNA, C/D box 164	snoRNA
53586	chrX	27096973	27097503	+	0	NA	Intergenic	Intergenic	384220	NM_207319	139420	Hs.350673	NM_207319	ENSG00000224960	PPP4R3C	FLFL3P|PPP4R3CP|SMEK3P|smk1	protein phosphatase 4 regulatory subunit 3C	protein-coding
16060	chr14	104232646	104233031	+	0	NA	intron (NM_015316, intron 4 of 16)	intron (NM_015316, intron 4 of 16)	50757	NM_001198953	79038	Hs.592322	NM_024071	ENSG00000100711	ZFYVE21	HCVP7TP1|ZF21	zinc finger FYVE-type containing 21	protein-coding
20754	chr18	5478284	5478892	+	0	NA	intron (NM_001281534, intron 2 of 19)	intron (NM_001281534, intron 2 of 19)	61967	NM_001281533	23136	Hs.213394	NM_012307	ENSG00000082397	EPB41L3	4.1B|DAL-1|DAL1	erythrocyte membrane protein band 4.1 like 3	protein-coding
24785	chr2	86680772	86681460	+	0	NA	intron (NM_018433, intron 4 of 25)	intron (NM_018433, intron 4 of 25)	12532	NM_001146688	55818	Hs.557425	NM_018433	ENSG00000115548	KDM3A	JHDM2A|JHMD2A|JMJD1|JMJD1A|TSGA	lysine demethylase 3A	protein-coding
17461	chr15	91618836	91619489	+	0	NA	Intergenic	Intergenic	-23656	NM_001323031	9899	Hs.21754	NM_014848	ENSG00000185518	SV2B	HsT19680	synaptic vesicle glycoprotein 2B	protein-coding
49254	chr8	59554765	59555181	+	0	NA	intron (NM_001144772, intron 2 of 30)	intron (NM_001144772, intron 2 of 30)	16993	NM_001144772	8439	Hs.372000	NM_003580	ENSG00000035681	NSMAF	FAN|GRAMD5	neutral sphingomyelinase activation associated factor	protein-coding
37698	chr4	185655111	185655843	+	0	NA	promoter-TSS (NR_104593)	promoter-TSS (NR_104593)	-227	NM_024629	79682	Hs.575032	NM_024629	ENSG00000151725	CENPU	CENP50|CENPU50|KLIP1|MLF1IP|PBIP1	centromere protein U	protein-coding
28455	chr20	44875236	44875881	+	0	NA	intron (NM_021248, intron 2 of 11)	intron (NM_021248, intron 2 of 11)	61579	NM_021248	64405	Hs.472861	NM_021248	ENSG00000149654	CDH22	C20orf25|dJ998H6.1	cadherin 22	protein-coding
17475	chr15	92416001	92416751	+	0	NA	intron (NR_135775, intron 1 of 10)	intron (NR_135775, intron 1 of 10)	18842	NR_135775	28232	Hs.311187	NM_013272	ENSG00000176463	SLCO3A1	OATP-D|OATP-RP3|OATP3A1|OATPD|OATPRP3|SLC21A11	solute carrier organic anion transporter family member 3A1	protein-coding
39679	chr5	102004050	102004854	+	0	NA	intron (NR_103753, intron 1 of 2)	intron (NR_103753, intron 1 of 2)	2716	NR_103753	285708	Hs.533011	NR_103753		LINC00491	-	long intergenic non-protein coding RNA 491	ncRNA
9698	chr11	125794946	125796095	+	0	NA	3' UTR (NM_001330438, exon 12 of 12)	3' UTR (NM_001330438, exon 12 of 12)	-20431	NM_001365077	338667	Hs.730137	NM_001365077		VSIG10L2	-	V-set and immunoglobulin domain containing 10 like 2	protein-coding
29647	chr22	31623746	31624198	+	0	NA	intron (NM_005569, intron 2 of 15)	intron (NM_005569, intron 2 of 15)	15688	NM_005569	3985	Hs.474596	NM_005569	ENSG00000182541	LIMK2	-	LIM domain kinase 2	protein-coding
2731	chr1	165256998	165258717	+	0	NA	intron (NM_001174069, intron 3 of 8)	intron (NM_001174069, intron 3 of 8)	67621	NM_001174069	4009	Hs.667312	NM_177398	ENSG00000162761	LMX1A	LMX1|LMX1.1	LIM homeobox transcription factor 1 alpha	protein-coding
36479	chr4	121971330	121971936	+	0	NA	intron (NM_024574, intron 1 of 3)	intron (NM_024574, intron 1 of 3)	22057	NM_024574	79625	Hs.709520	NM_024574	ENSG00000173376	NDNF	C4orf31|NORD	neuron derived neurotrophic factor	protein-coding
31397	chr3	65949322	65950007	+	0	NA	intron (NM_001033057, intron 1 of 22)	MIRb|SINE|MIR	-9431	NR_145422	151877	Hs.476636	NR_145422	ENSG00000272610	MAGI1-IT1	-	MAGI1 intronic transcript 1	ncRNA
6823	chr10	111662685	111663398	+	0	NA	intron (NM_001324131, intron 3 of 20)	intron (NM_001324131, intron 3 of 20)	19963	NM_001324136	7511	Hs.390623	NM_020383	ENSG00000108039	XPNPEP1	APP1|SAMP|XPNPEP|XPNPEPL|XPNPEPL1	X-prolyl aminopeptidase 1	protein-coding
22597	chr19	38548538	38549357	+	0	NA	intron (NM_015073, intron 2 of 21)	intron (NM_015073, intron 2 of 21)	-104789	NR_145800	109623473		NR_145800		SNORD152	-	small nucleolar RNA, C/D box 152	snoRNA
659	chr1	31137177	31137829	+	0	NA	Intergenic	Intergenic	-54116	NR_034182	100129196	Hs.659751	NR_034182	ENSG00000186056	MATN1-AS1	-	MATN1 antisense RNA 1	ncRNA
17633	chr15	102068152	102069127	+	0	NA	Intergenic	Intergenic	-38452	NM_138324	5046	Hs.498494	NM_002570	ENSG00000140479	PCSK6	PACE4|SPC4	proprotein convertase subtilisin/kexin type 6	protein-coding
26727	chr2	204226304	204227026	+	0	NA	intron (NM_001282932, intron 1 of 9)	intron (NM_001282932, intron 1 of 9)	-4942	NM_001282927	10152	Hs.471156	NM_005759	ENSG00000138443	ABI2	ABI-2|ABI2B|AIP-1|AIP1|AblBP3|SSH3BP2|argBP1|argBPIA|argBPIB	abl interactor 2	protein-coding
33695	chr3	177240152	177241432	+	0	NA	intron (NR_047568, intron 1 of 3)	intron (NR_047568, intron 1 of 3)	81083	NR_047568	100505566	Hs.581170	NR_047568		LINC00578	-	long intergenic non-protein coding RNA 578	ncRNA
41599	chr6	11598721	11599453	+	0	NA	Intergenic	MER31B|LTR|ERV1	61105	NM_001100829	100113407	Hs.146317	NM_001100829	ENSG00000205269	TMEM170B	-	transmembrane protein 170B	protein-coding
20257	chr17	65527398	65528142	+	0	NA	intron (NM_181671, intron 1 of 9)	intron (NM_181671, intron 1 of 9)	-60069	NR_030385	693131		NR_030385	ENSG00000263690	MIR548D2	MIRN548D2	microRNA 548d-2	ncRNA
38166	chr5	20536175	20536839	+	0	NA	intron (NM_001349558, intron 1 of 15)	intron (NM_001349558, intron 1 of 15)	39315	NM_001349562	1016	Hs.317632	NM_004934	ENSG00000145526	CDH18	CDH14|CDH14L|CDH24	cadherin 18	protein-coding
48238	chr8	3564524	3565155	+	0	NA	intron (NM_033225, intron 7 of 69)	intron (NM_033225, intron 7 of 69)	-978848	NR_125426	101927815	Hs.571467	NR_125423	ENSG00000254319	LOC101927815	-	uncharacterized LOC101927815	ncRNA
7768	chr11	24613752	24614325	+	0	NA	intron (NM_001252008, intron 1 of 11)	intron (NM_001252008, intron 1 of 11)	95439	NM_001252010	338645	Hs.144138	NM_001009909	ENSG00000187398	LUZP2	KFSP2566|PRO6246	leucine zipper protein 2	protein-coding
30324	chr3	16090045	16090667	+	0	NA	Intergenic	Intergenic	-125831	NM_054110	117248	Hs.411308	NM_054110	ENSG00000131386	GALNT15	GALNACT15|GALNT13|GALNT7|GALNTL2|PIH5|pp-GalNAc-T15	polypeptide N-acetylgalactosaminyltransferase 15	protein-coding
8779	chr11	84585955	84586445	+	0	NA	intron (NM_001351274, intron 5 of 26)	L2c|LINE|L2	48265	NM_001300983	1740	Hs.367656	NM_001364	ENSG00000150672	DLG2	PPP1R58|PSD-93|PSD93|chapsyn-110	discs large MAGUK scaffold protein 2	protein-coding
36543	chr4	125853350	125854108	+	0	NA	Intergenic	Intergenic	-219842	NM_020337	57182	Hs.480694	NM_020337	ENSG00000151458	ANKRD50	-	ankyrin repeat domain 50	protein-coding
29680	chr22	33345640	33346049	+	0	NA	intron (NM_133633, intron 2 of 11)	intron (NM_133633, intron 2 of 11)	56962	NM_133633	8224	Hs.608750	NM_003490	ENSG00000185666	SYN3	-	synapsin III	protein-coding
15606	chr14	78874574	78874887	+	0	NA	intron (NM_004796, intron 1 of 16)	intron (NM_004796, intron 1 of 16)	4668	NM_004796	9369	Hs.368307	NM_004796	ENSG00000021645	NRXN3	C14orf60	neurexin 3	protein-coding
6735	chr10	106012736	106013528	+	0	NA	promoter-TSS (NM_001191003)	promoter-TSS (NM_001191003)	-820	NM_001191003	9446	Hs.190028	NM_004832	ENSG00000148834	GSTO1	GSTO 1-1|GSTTLp28|HEL-S-21|P28|SPG-R	glutathione S-transferase omega 1	protein-coding
21090	chr18	25184422	25185181	+	0	NA	Intergenic	L2c|LINE|L2	-262181	NR_134589	105372038	Hs.722107	NR_134589	ENSG00000264151	LOC105372038	-	uncharacterized LOC105372038	ncRNA
31146	chr3	57379300	57379813	+	0	NA	intron (NM_001366028, intron 44 of 57)	Tigger2b_Pri|DNA|TcMar-Tigger	-52843	NM_001142733	142686	Hs.665154	NM_130387	ENSG00000239388	ASB14	-	ankyrin repeat and SOCS box containing 14	protein-coding
2525	chr1	151892333	151892954	+	0	NA	Intergenic	MER57B1|LTR|ERV1	-10656	NM_053055	117145	Hs.164070	NM_053055	ENSG00000159445	THEM4	CTMP	thioesterase superfamily member 4	protein-coding
802	chr1	39639894	39640714	+	0	NA	intron (NM_012090, intron 1 of 92)	intron (NM_012090, intron 1 of 92)	90465	NM_012090	23499	Hs.472475	NM_012090	ENSG00000127603	MACF1	ABP620|ACF7|LIS9|MACF|OFC4	microtubule actin crosslinking factor 1	protein-coding
3194	chr1	184006685	184007335	+	0	NA	promoter-TSS (NM_015101)	promoter-TSS (NM_015101)	-148	NM_015101	23127	Hs.387995	NM_015101	ENSG00000198756	COLGALT2	C1orf17|ColGalT 2|GLT25D2	collagen beta(1-O)galactosyltransferase 2	protein-coding
38678	chr5	55243745	55244260	+	0	NA	non-coding (NR_157112, exon 15 of 18)	non-coding (NR_157112, exon 15 of 18)	46789	NM_001364277	3572	Hs.532082	NM_002184	ENSG00000134352	IL6ST	CD130|CDW130|GP130|IL-6RB	interleukin 6 signal transducer	protein-coding
25362	chr2	135189740	135190591	+	0	NA	intron (NM_001371457, intron 15 of 16)	intron (NM_001371457, intron 15 of 16)	178522	NM_002410	4249	Hs.4988	NM_002410	ENSG00000152127	MGAT5	GNT-V|GNT-VA|MGAT5A	alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase	protein-coding
8268	chr11	59328381	59328983	+	0	NA	Intergenic	MER34A1|LTR|ERV1	33949	NR_036120	100422880		NR_036120	ENSG00000264559	MIR3162	mir-3162	microRNA 3162	ncRNA
35390	chr4	74300092	74300640	+	0	NA	Intergenic	Intergenic	-1572	NM_001354717	174	Hs.518808	NM_001134	ENSG00000081051	AFP	AFPD|FETA|HPAFP	alpha fetoprotein	protein-coding
36947	chr4	146772596	146773539	+	0	NA	intron (NM_178835, intron 5 of 14)	intron (NM_178835, intron 5 of 14)	86908	NM_178835	152485	Hs.133916	NM_178835	ENSG00000151612	ZNF827	-	zinc finger protein 827	protein-coding
3098	chr1	180580322	180581355	+	0	NA	Intergenic	Intergenic	-20320	NM_004736	9213	Hs.227656	NM_004736	ENSG00000143324	XPR1	IBGC6|SLC53A1|SYG1|X3	xenotropic and polytropic retrovirus receptor 1	protein-coding
45965	chr7	38192940	38193566	+	0	NA	Intergenic	L1PA13|LINE|L1	-24594	NM_001363339	83930	Hs.309753	NM_032016	ENSG00000010270	STARD3NL	MENTHO	STARD3 N-terminal like	protein-coding
52814	chr9	116049729	116050357	+	0	NA	intron (NM_004697, intron 9 of 13)	intron (NM_004697, intron 9 of 13)	11102	NM_001371234								
6248	chr10	84901900	84902530	+	0	NA	Intergenic	Intergenic	534630	NR_134317	105378397	Hs.147725	NR_134317		LINC02650	-	long intergenic non-protein coding RNA 2650	ncRNA
48195	chr7	158736650	158737443	+	0	NA	intron (NM_001350917, intron 25 of 25)	intron (NM_001350917, intron 25 of 25)	-63999	NR_024394	154822	Hs.544783	NM_198345	ENSG00000231419	LINC00689	-	long intergenic non-protein coding RNA 689	ncRNA
27546	chr20	1309445	1310293	+	0	NA	promoter-TSS (NM_080489)	promoter-TSS (NM_080489)	-86	NM_080489	27111	Hs.657015	NM_015685	ENSG00000125775	SDCBP2	SITAC|SITAC18|ST-2|ST2	syndecan binding protein 2	protein-coding
13749	chr13	82561868	82562612	+	0	NA	Intergenic	MER67C|LTR|ERV1	-761122	NR_047494	100861546	Hs.539621	NR_047494	ENSG00000260094	LINC00564	-	long intergenic non-protein coding RNA 564	ncRNA
21018	chr18	21103493	21104246	+	0	NA	intron (NM_001318708, intron 9 of 18)	intron (NM_001318708, intron 9 of 18)	20394	NM_013326	29919	Hs.464779	NM_013326	ENSG00000141452	RMC1	C18orf8|HsT2591|MIC1|Mic-1|WDR98	regulator of MON1-CCZ1	protein-coding
14192	chr13	104939123	104939980	+	0	NA	Intergenic	Intergenic	862001	NR_126374	104326190	Hs.334381	NR_126374	ENSG00000234551	LINC01309	TCONS_l2_00007459	long intergenic non-protein coding RNA 1309	ncRNA
50902	chr8	139977415	139977851	+	0	NA	Intergenic	Intergenic	-51349	NM_152888	169044	Hs.117169	NM_152888	ENSG00000169436	COL22A1	-	collagen type XXII alpha 1 chain	protein-coding
34438	chr4	16142349	16143057	+	0	NA	Intergenic	Intergenic	-57057	NM_006017	8842	Hs.614734	NM_006017	ENSG00000007062	PROM1	AC133|CD133|CORD12|MCDR2|MSTP061|PROML1|RP41|STGD4	prominin 1	protein-coding
46502	chr7	79080574	79081239	+	0	NA	intron (NM_012301, intron 1 of 21)	intron (NM_012301, intron 1 of 21)	-1367	NR_038345	100505881	Hs.31474	NR_038343	ENSG00000234456	MAGI2-AS3	-	MAGI2 antisense RNA 3	ncRNA
13455	chr13	69013780	69014490	+	0	NA	Intergenic	MLT2B1|LTR|ERVL	445322	NR_038878	338862		NR_038878	ENSG00000281778	LINC00550	-	long intergenic non-protein coding RNA 550	ncRNA
3267	chr1	186938447	186939069	+	0	NA	intron (NM_024420, intron 15 of 17)	L1MA4|LINE|L1	-123216	NR_126347	104169671		NR_126347	ENSG00000230426	LINC01036	-	long intergenic non-protein coding RNA 1036	ncRNA
9657	chr11	122924941	122925409	+	0	NA	Intergenic	Intergenic	3689	NR_003125	85391		NR_003125	ENSG00000200879	SNORD14E	-	small nucleolar RNA, C/D box 14E	snoRNA
3334	chr1	192978030	192979067	+	0	NA	Intergenic	MamRep605|Unknown|Unknown	47997	NR_135615	107397392		NR_135615	ENSG00000238754	SCARNA18B	-	small Cajal body-specific RNA 18B	ncRNA
11148	chr12	69517604	69518363	+	0	NA	Intergenic	Intergenic	-115366	NM_007007	11052	Hs.369606	NM_007007	ENSG00000111605	CPSF6	CFIM|CFIM68|CFIM72|HPBRII-4|HPBRII-7	cleavage and polyadenylation specific factor 6	protein-coding
17938	chr16	16156454	16156974	+	0	NA	intron (NM_004996, intron 12 of 30)	intron (NM_004996, intron 12 of 30)	113241	NM_004996	4363	Hs.391464	NM_004996	ENSG00000103222	ABCC1	ABC29|ABCC|GS-X|MRP|MRP1	ATP binding cassette subfamily C member 1	protein-coding
28521	chr20	47777213	47777598	+	0	NA	intron (NM_001322928, intron 2 of 14)	intron (NM_001322928, intron 2 of 14)	27502	NM_001322928	6780	Hs.596704	NM_004602	ENSG00000124214	STAU1	PPP1R150|STAU	staufen double-stranded RNA binding protein 1	protein-coding
21247	chr18	32087241	32087872	+	0	NA	intron (NM_032975, intron 1 of 21)	intron (NM_032975, intron 1 of 21)	14280	NM_001392	1837	Hs.643454	NM_001390	ENSG00000134769	DTNA	D18S892E|DRP3|DTN|DTN-A|LVNC1	dystrobrevin alpha	protein-coding
20264	chr17	65861482	65862106	+	0	NA	intron (NM_182641, intron 2 of 27)	intron (NM_182641, intron 2 of 27)	40175	NM_004459	2186	Hs.444200	NM_004459	ENSG00000171634	BPTF	FAC1|FALZ|NEDDFL|NURF301	bromodomain PHD finger transcription factor	protein-coding
26147	chr2	172249862	172250510	+	0	NA	intron (NM_024770, intron 1 of 9)	intron (NM_024770, intron 1 of 9)	40314	NM_001321155	79828	Hs.135146	NM_024770	ENSG00000123600	METTL8	TIP	methyltransferase like 8	protein-coding
