PeakID (cmd=annotatePeaks.pl NEUROG3_peak1027-0918_pancreas.filtered.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1-9346	chr16	84333580	84333769	+	0	NA	intron (NM_001282466, intron 1 of 6)	intron (NM_001282466, intron 1 of 6)	5190	NM_001282467	58189	Hs.36688	NM_021197	ENSG00000103175	WFDC1	PS20	WAP four-disulfide core domain 1	protein-coding
1-2194	chr12	67770202	67770433	+	0	NA	Intergenic	Intergenic	66022	NR_146500	102724433		NR_146500	ENSG00000256172	LINC02420	-	long intergenic non-protein coding RNA 2420	ncRNA
1-5335	chr12	123303773	123304004	+	0	NA	intron (NR_027918, intron 11 of 12)	intron (NR_027918, intron 11 of 12)	-15407	NM_001303099	9026	Hs.524815	NM_003959	ENSG00000130787	HIP1R	HIP12|HIP3|ILWEQ	huntingtin interacting protein 1 related	protein-coding
1-2316	chr7	28482943	28483174	+	0	NA	intron (NM_004904, intron 1 of 10)	LTR40a|LTR|ERVL	7824	NM_004904	9586	Hs.437075	NM_004904	ENSG00000146592	CREB5	CRE-BPA|CREB-5|CREBPA	cAMP responsive element binding protein 5	protein-coding
1-8073	chr17	79039292	79039492	+	0	NA	intron (NM_001144888, intron 3 of 13)	intron (NM_001144888, intron 3 of 13)	30441	NM_001144888	10458	Hs.128316	NM_006340	ENSG00000175866	BAIAP2	BAP2|FLAF3|IRSP53	BAI1 associated protein 2	protein-coding
1-9877	chr3	123736483	123736714	+	0	NA	Intergenic	Intergenic	-25581	NR_133918	54763	Hs.567516	NM_017578	ENSG00000065371	ROPN1	CT91|ODF6|RHPNAP1|ROPN1A|ropporin	rhophilin associated tail protein 1	protein-coding
1-10708	chr15	56035352	56035581	+	0	NA	promoter-TSS (NM_173814)	promoter-TSS (NM_173814)	-116	NM_173814	283659	Hs.130957	NM_173814	ENSG00000166450	PRTG	IGDCC5	protogenin	protein-coding
1-6798	chr5	171212847	171213078	+	0	NA	promoter-TSS (NM_001289970)	promoter-TSS (NM_001289970)	86	NM_001289970	644994	Hs.591740	NM_001289970	ENSG00000185662	SMIM23	C5orf50	small integral membrane protein 23	protein-coding
1-6876	chr16	4838415	4838646	+	0	NA	promoter-TSS (NM_001154458)	promoter-TSS (NM_001154458)	73	NM_001253791	440335	Hs.390599	NM_001253790	ENSG00000267795	SMIM22	CASIMO1	small integral membrane protein 22	protein-coding
1-7261	chr18	10006381	10006612	+	0	NA	Intergenic	Intergenic	92483	NM_003574	9218	Hs.165195	NM_003574	ENSG00000101558	VAPA	VAP-33|VAP-A|VAP33|hVAP-33	VAMP associated protein A	protein-coding
1-2692	chr13	27393400	27393607	+	0	NA	Intergenic	Intergenic	-58580	NM_005288	2835	Hs.123034	NM_005288	ENSG00000132975	GPR12	GPCR12|GPCR21|PPP1R84	G protein-coupled receptor 12	protein-coding
1-7422	chr15	69896220	69896451	+	0	NA	intron (NR_126438, intron 1 of 3)	intron (NR_126438, intron 1 of 3)	11796	NR_126437	104472713	Hs.430824	NR_126437	ENSG00000245750	PCAT29	-	prostate cancer associated transcript 29	ncRNA
1-6113	chr6	151304583	151304794	+	0	NA	intron (NM_001242768, intron 20 of 27)	intron (NM_001242768, intron 20 of 27)	-23456	NM_001350490	25902	Hs.591343	NM_015440	ENSG00000120254	MTHFD1L	FTHFSDC1|MTC1THFS|dJ292B18.2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like	protein-coding
1-2134	chr2	205179993	205180203	+	0	NA	Intergenic	Intergenic	-230100	NM_057177	117583	Hs.657382	NM_057177	ENSG00000116117	PARD3B	ALS2CR19|PAR3B|PAR3L|PAR3beta	par-3 family cell polarity regulator beta	protein-coding
1-5664	chr4	16912793	16912934	+	0	NA	Intergenic	MLT2B4|LTR|ERVL	-12431	NM_001304435	9079	Hs.714330	NM_001290	ENSG00000169744	LDB2	CLIM1|LDB-2|LDB1	LIM domain binding 2	protein-coding
1-8340	chr3	176477928	176477994	+	0	NA	Intergenic	MER110|LTR|ERV1	56828	NR_110819	101928684	Hs.639352	NR_110819	ENSG00000228308	LINC01209	-	long intergenic non-protein coding RNA 1209	ncRNA
1-6479	chr8	75893427	75893658	+	0	NA	Intergenic	LTR35|LTR|ERV1	-3198	NM_031461	83690	Hs.436542	NM_031461	ENSG00000121005	CRISPLD1	CRISP-10|CRISP10|LCRISP1	cysteine rich secretory protein LCCL domain containing 1	protein-coding
1-8890	chr16	11334815	11335028	+	0	NA	Intergenic	Intergenic	15118	NM_003745	8651	Hs.50640	NM_003745	ENSG00000185338	SOCS1	CIS1|CISH1|JAB|SOCS-1|SSI-1|SSI1|TIP-3|TIP3	suppressor of cytokine signaling 1	protein-coding
1-2606	chr2	206035257	206035488	+	0	NA	intron (NM_205863, intron 11 of 21)	intron (NM_205863, intron 11 of 21)	-511852	NM_201264	8828	Hs.471200	NM_003872	ENSG00000118257	NRP2	NP2|NPN2|PRO2714|VEGF165R2	neuropilin 2	protein-coding
1-1302	chr3	96711020	96711251	+	0	NA	intron (NM_001080448, intron 3 of 17)	MLT1H2-int|LTR|ERVL-MaLR	177697	NM_001278301	285220	Hs.272208	NM_173655	ENSG00000080224	EPHA6	EHK-2|EHK2|EK12|EPA6|HEK12|PRO57066	EPH receptor A6	protein-coding
1-3542	chr8	129369263	129369494	+	0	NA	Intergenic	L1PA8|LINE|L1	207016	NR_031613	100302281		NR_031613	ENSG00000221261	MIR1208	MIRN1208|hsa-mir-1208	microRNA 1208	ncRNA
1-3293	chr15	69425957	69426162	+	0	NA	Intergenic	Intergenic	-26877	NM_001324091	26035	Hs.183006	NM_015554	ENSG00000138604	GLCE	HSEPI	glucuronic acid epimerase	protein-coding
1-1673	chr11	80338479	80338710	+	0	NA	Intergenic	Intergenic	135252	NR_120570	101928944	Hs.547927	NR_120570	ENSG00000255178	LINC02720	-	long intergenic non-protein coding RNA 2720	ncRNA
1-9907	chr5	1801521	1801752	+	0	NA	exon (NM_004553, exon 1 of 4)	exon (NM_004553, exon 1 of 4)	115	NM_004553	4726	Hs.408257	NM_004553	ENSG00000145494	NDUFS6	CI-13kA|CI-13kD-A|CI13KDA|MC1DN9	NADH:ubiquinone oxidoreductase subunit S6	protein-coding
1-5194	chr11	65405928	65406159	+	0	NA	intron (NM_006747, intron 1 of 15)	intron (NM_006747, intron 1 of 15)	471	NM_006747	6494	Hs.530477	NM_006747	ENSG00000213445	SIPA1	SPA1	signal-induced proliferation-associated 1	protein-coding
1-4633	chr2	173293199	173293430	+	0	NA	intron (NM_001079818, intron 1 of 24)	intron (NM_001079818, intron 1 of 24)	1000	NM_000210	3655	Hs.133397	NM_000210	ENSG00000091409	ITGA6	CD49f|ITGA6B|VLA-6	integrin subunit alpha 6	protein-coding
1-10031	chr17	53498037	53498248	+	0	NA	intron (NM_012329, intron 1 of 6)	intron (NM_012329, intron 1 of 6)	1054	NM_012329	23531	Hs.463483	NM_012329	ENSG00000108960	MMD	MMA|MMD1|PAQR11	monocyte to macrophage differentiation associated	protein-coding
1-9813	chr19	13991979	13992210	+	0	NA	TTS (NR_146095)	TTS (NR_146095)	4031	NM_001098622	342977	Hs.127982	NM_001098622	ENSG00000187556	NANOS3	NANOS1L|NOS3|ZC2HC12C	nanos C2HC-type zinc finger 3	protein-coding
1-10451	chr2	21474533	21474764	+	0	NA	Intergenic	Intergenic	127790	NM_001306137	100129278	Hs.651096	NM_001306137	ENSG00000218819	TDRD15	-	tudor domain containing 15	protein-coding
1-7356	chr6	149358201	149358387	+	0	NA	intron (NM_005715, intron 7 of 7)	intron (NM_005715, intron 7 of 7)	-4497	NR_134599	105378047	Hs.659484	NR_134599		LOC105378047	-	uncharacterized LOC105378047	ncRNA
1-1259	chr9	100326533	100326764	+	0	NA	intron (NM_001166116, intron 6 of 9)	intron (NM_001166116, intron 6 of 9)	62700	NM_003275	7111	Hs.404289	NM_003275	ENSG00000136842	TMOD1	D9S57E|ETMOD|TMOD	tropomodulin 1	protein-coding
1-5972	chr5	169000814	169001045	+	0	NA	Intergenic	Intergenic	-9848	NM_001329639	54908	Hs.368710	NM_017785	ENSG00000040275	SPDL1	CCDC99	spindle apparatus coiled-coil protein 1	protein-coding
1-4994	chr3	78961411	78961624	+	0	NA	intron (NM_133631, intron 2 of 28)	intron (NM_133631, intron 2 of 28)	107092	NM_133631	6091	Hs.744218	NM_002941	ENSG00000169855	ROBO1	DUTT1|SAX3	roundabout guidance receptor 1	protein-coding
1-10987	chr7	6490931	6491160	+	0	NA	Intergenic	MER51E|LTR|ERV1	-3402	NM_001142936	221955	Hs.487498	NM_139179	ENSG00000164535	DAGLB	DAGLBETA|KCCR13L	diacylglycerol lipase beta	protein-coding
1-6122	chr8	64558721	64558938	+	0	NA	Intergenic	AmnSINE1|SINE|Deu	-123159	NR_038875	286184	Hs.586402	NR_038875	ENSG00000253734	LINC01289	-	long intergenic non-protein coding RNA 1289	ncRNA
1-10916	chr4	10834548	10834763	+	0	NA	Intergenic	Intergenic	-148263	NM_052964	116449	Hs.62772	NM_052964	ENSG00000109684	CLNK	MIST	cytokine dependent hematopoietic cell linker	protein-coding
1-7716	chr3	23790413	23790644	+	0	NA	Intergenic	Intergenic	-56918	NM_003341	7324	Hs.164853	NM_003341	ENSG00000170142	UBE2E1	UBCH6	ubiquitin conjugating enzyme E2 E1	protein-coding
1-2109	chr8	61937071	61937302	+	0	NA	Intergenic	Intergenic	-56879	NR_034003	100130298	Hs.636194	NR_034003		LOC100130298	-	hCG1816373-like	ncRNA
1-5684	chr6	37505461	37505692	+	0	NA	Intergenic	L2|LINE|L2	17622	NR_039669	100616413		NR_039669	ENSG00000263926	MIR4462	-	microRNA 4462	ncRNA
1-5301	chr8	138211151	138211382	+	0	NA	Intergenic	MLT2B1|LTR|ERVL	214565	NR_125428	101927915	Hs.695851	NR_125428		LOC101927915	-	uncharacterized LOC101927915	ncRNA
1-9443	chr4	47653251	47653482	+	0	NA	intron (NM_006587, intron 13 of 21)	intron (NM_006587, intron 13 of 21)	-1320	NR_107020	102467004		NR_107020	ENSG00000277388	MIR8053	hsa-mir-8053	microRNA 8053	ncRNA
1-8457	chr18	57466623	57466854	+	0	NA	Intergenic	Intergenic	-100490	NM_021127	5366	Hs.96	NM_021127	ENSG00000141682	PMAIP1	APR|NOXA	phorbol-12-myristate-13-acetate-induced protein 1	protein-coding
1-6194	chr17	74167765	74167996	+	0	NA	intron (NM_052916, intron 3 of 18)	intron (NM_052916, intron 3 of 18)	-30554	NM_001454	2302	Hs.651204	NM_001454	ENSG00000129654	FOXJ1	FKHL13|HFH-4|HFH4	forkhead box J1	protein-coding
1-9805	chr17	76274529	76274706	+	0	NA	promoter-TSS (NR_073178)	promoter-TSS (NR_073178)	-44	NR_073178	100996291	Hs.744493	NR_073178	ENSG00000204277	LINC01993	-	long intergenic non-protein coding RNA 1993	ncRNA
1-4087	chr15	64814009	64814240	+	0	NA	intron (NM_015042, intron 1 of 8)	intron (NM_015042, intron 1 of 8)	22505	NM_015042	23060	Hs.595451	NM_015042	ENSG00000180357	ZNF609	-	zinc finger protein 609	protein-coding
1-1727	chr20	57591237	57591468	+	0	NA	Intergenic	Intergenic	-2957	NM_030773	81027	Hs.303023	NM_030773	ENSG00000101162	TUBB1	-	tubulin beta 1 class VI	protein-coding
1-7957	chr6	25670539	25670770	+	0	NA	intron (NM_006998, intron 6 of 10)	intron (NM_006998, intron 6 of 10)	18211	NM_006998	10590	Hs.116428	NM_006998	ENSG00000079689	SCGN	CALBL|DJ501N12.8|SECRET|SEGN|setagin	secretagogin, EF-hand calcium binding protein	protein-coding
1-866	chr19	18479363	18479594	+	0	NA	non-coding (NR_138029, exon 6 of 6)	non-coding (NR_138029, exon 6 of 6)	-17490	NM_004864	9518	Hs.616962	NM_004864	ENSG00000130513	GDF15	GDF-15|MIC-1|MIC1|NAG-1|PDF|PLAB|PTGFB	growth differentiation factor 15	protein-coding
1-5884	chr12	68603072	68603303	+	0	NA	intron (NM_018402, intron 3 of 4)	LTR14B|LTR|ERVK	16403	NM_018402	55801	Hs.272350	NM_018402	ENSG00000111536	IL26	AK155|IL-26	interleukin 26	protein-coding
1-4641	chr4	37649777	37650008	+	0	NA	intron (NM_001085400, intron 2 of 6)	intron (NM_001085400, intron 2 of 6)	38106	NM_001085399	768211	Hs.283378	NM_001085399	ENSG00000181826	RELL1	-	RELT like 1	protein-coding
1-22	chr1	108075072	108075303	+	0	NA	Intergenic	Intergenic	155934	NM_001079874	10451	Hs.267659	NM_006113	ENSG00000134215	VAV3	-	vav guanine nucleotide exchange factor 3	protein-coding
1-3923	chr3	40876146	40876377	+	0	NA	Intergenic	Intergenic	309810	NM_001098414	285268	Hs.19977	NM_198484	ENSG00000172888	ZNF621	-	zinc finger protein 621	protein-coding
1-7721	chr3	60226321	60226552	+	0	NA	intron (NM_001354589, intron 5 of 8)	intron (NM_001354589, intron 5 of 8)	-159801	NM_001320901	2272	Hs.655995	NM_002012	ENSG00000189283	FHIT	AP3Aase|FRA3B	fragile histidine triad diadenosine triphosphatase	protein-coding
1-7657	chr19	34652612	34652843	+	0	NA	Intergenic	Intergenic	-10682	NM_015578	26065	Hs.744009	NM_015578	ENSG00000257103	LSM14A	C19orf13|FAM61A|RAP55|RAP55A	LSM14A mRNA processing body assembly factor	protein-coding
1-6904	chr19	20478495	20478726	+	0	NA	Intergenic	HERVS71-int|LTR|ERV1	31553	NR_036053	100302179		NR_036053	ENSG00000238517	MIR1270	MIR1270-1|MIR1270-2|MIRN1270|hsa-mir-1270|hsa-mir-1270-1|mir-1270	microRNA 1270	ncRNA
1-8920	chr20	1927864	1928081	+	0	NA	non-coding (NR_134520, exon 1 of 4)	non-coding (NR_134520, exon 1 of 4)	116	NR_134520	727993	Hs.551466	NR_134520	ENSG00000233896	PDYN-AS1	-	PDYN antisense RNA 1	ncRNA
1-4790	chr8	42334391	42334615	+	0	NA	intron (NM_006749, intron 1 of 10)	intron (NM_006749, intron 1 of 10)	24246	NM_001257180	6575	Hs.653173	NM_006749	ENSG00000168575	SLC20A2	GLVR-2|GLVR2|IBGC1|IBGC3|MLVAR|PIT-2|PIT2|RAM1|Ram-1	solute carrier family 20 member 2	protein-coding
1-8118	chr1	234261199	234261430	+	0	NA	intron (NM_173508, intron 2 of 7)	intron (NM_173508, intron 2 of 7)	-88643	NM_001300845	148641	Hs.158748	NM_173508	ENSG00000183780	SLC35F3	-	solute carrier family 35 member F3	protein-coding
1-4532	chr4	70856726	70856957	+	0	NA	Intergenic	Intergenic	-4842	NM_003154	6779	Hs.654495	NM_003154	ENSG00000126549	STATH	STR	statherin	protein-coding
1-10276	chr2	138007499	138007730	+	0	NA	intron (NM_001316349, intron 10 of 27)	intron (NM_001316349, intron 10 of 27)	484499	NM_001316349	80731	Hs.68533	NM_001080427	ENSG00000144229	THSD7B	-	thrombospondin type 1 domain containing 7B	protein-coding
1-5020	chr6	41485942	41486173	+	0	NA	intron (NR_120347, intron 2 of 2)	intron (NR_120347, intron 2 of 2)	15875	NR_120347	103106903	Hs.563396	NR_120347	ENSG00000226917	LINC01276	-	long intergenic non-protein coding RNA 1276	ncRNA
1-5012	chr5	149185382	149185613	+	0	NA	intron (NM_001172699, intron 1 of 10)	intron (NM_001172699, intron 1 of 10)	33994	NM_001172699	133522	Hs.483816	NM_133263	ENSG00000155846	PPARGC1B	ERRL1|PERC|PGC-1(beta)|PGC1B	PPARG coactivator 1 beta	protein-coding
1-3507	chr2	15181704	15181933	+	0	NA	Intergenic	Intergenic	408977	NM_001369364	151354	Hs.260855	NM_145175	ENSG00000162981	LRATD1	FAM84A|NSE1|PP11517	LRAT domain containing 1	protein-coding
1-6677	chr12	16642322	16642553	+	0	NA	Intergenic	Intergenic	115876	NM_001243611	55885	Hs.504908	NM_018640	ENSG00000048540	LMO3	RBTN3|RBTNL2|RHOM3|Rhom-3	LIM domain only 3	protein-coding
1-2501	chr2	46914019	46914250	+	0	NA	Intergenic	Intergenic	-11965	NM_014011	9655	Hs.468426	NM_014011	ENSG00000171150	SOCS5	CIS6|CISH6|Cish5|SOCS-5	suppressor of cytokine signaling 5	protein-coding
1-4934	chr12	117036078	117036309	+	0	NA	Intergenic	MER102c|DNA|hAT-Charlie	39007	NM_001085481	643246	Hs.356061	NM_001085481	ENSG00000258102	MAP1LC3B2	ATG8G	microtubule associated protein 1 light chain 3 beta 2	protein-coding
1-8244	chr13	66301306	66301500	+	0	NA	Intergenic	Intergenic	-138776	NR_132362	105370242	Hs.578051	NR_132362		LINC01052	-	long intergenic non-protein coding RNA 1052	ncRNA
1-7653	chr18	55089598	55089829	+	0	NA	Intergenic	L3|LINE|CR1	-12893	NM_004852	9480	Hs.194725	NM_004852	ENSG00000119547	ONECUT2	OC-2|OC2	one cut homeobox 2	protein-coding
1-7207	chr9	129967393	129967624	+	0	NA	intron (NM_014636, intron 14 of 18)	intron (NM_014636, intron 14 of 18)	-58433	NM_001286779	84253	Hs.29304	NM_032293	ENSG00000136895	GARNL3	bA356B19.1	GTPase activating Rap/RanGAP domain like 3	protein-coding
1-10475	chr4	55542411	55542642	+	0	NA	intron (NM_000222, intron 1 of 20)	intron (NM_000222, intron 1 of 20)	18431	NM_001093772	3815	Hs.479754	NM_000222	ENSG00000157404	KIT	C-Kit|CD117|MASTC|PBT|SCFR	KIT proto-oncogene, receptor tyrosine kinase	protein-coding
1-1623	chr4	105469729	105469960	+	0	NA	intron (NR_125926, intron 1 of 9)	intron (NR_125926, intron 1 of 9)	-53793	NR_132741	80319	Hs.12248	NM_025212	ENSG00000168772	CXXC4	IDAX	CXXC finger protein 4	protein-coding
1-6205	chr19	29913433	29913664	+	0	NA	intron (NR_040029, intron 2 of 9)	intron (NR_040029, intron 2 of 9)	103111	NR_040029	284395	Hs.631601	NR_040029	ENSG00000264515	LOC284395	-	uncharacterized LOC284395	ncRNA
1-9638	chr1	217076843	217077074	+	0	NA	intron (NM_001243507, intron 2 of 7)	intron (NM_001243507, intron 2 of 7)	36057	NM_001243513	2104	Hs.444225	NM_001438	ENSG00000196482	ESRRG	ERR-gamma|ERR3|ERRg|ERRgamma|NR3B3	estrogen related receptor gamma	protein-coding
1-8737	chr1	240467818	240468044	+	0	NA	intron (NM_001348094, intron 6 of 14)	L1M4c|LINE|L1	212748	NM_001348094	56776	Hs.24889	NM_020066	ENSG00000155816	FMN2	-	formin 2	protein-coding
1-2668	chr6	37070234	37070465	+	0	NA	Intergenic	Intergenic	-67579	NM_001243186	5292	Hs.81170	NM_002648	ENSG00000137193	PIM1	PIM	Pim-1 proto-oncogene, serine/threonine kinase	protein-coding
1-4606	chr20	10829721	10829952	+	0	NA	Intergenic	Intergenic	60084	NR_109866	101929413	Hs.385604	NR_109866	ENSG00000232900	LOC101929413	-	uncharacterized LOC101929413	ncRNA
1-4076	chr13	91079525	91079756	+	0	NA	Intergenic	MER52A|LTR|ERV1	-65902	NR_120414	101927224	Hs.385801	NR_120414		LINC01049	-	long intergenic non-protein coding RNA 1049	ncRNA
1-7223	chr11	114270724	114270955	+	0	NA	promoter-TSS (NM_001286046)	promoter-TSS (NM_001286046)	394	NM_019021	54494	Hs.715083	NM_019021	ENSG00000180425	C11orf71	URLC7	chromosome 11 open reading frame 71	protein-coding
1-8440	chr16	2591494	2591725	+	0	NA	intron (NM_031268, intron 1 of 10)	intron (NM_031268, intron 1 of 10)	3587	NM_031268	5170	Hs.459691	NM_002613	ENSG00000140992	PDPK1	PDK1|PDPK2|PDPK2P|PRO0461	3-phosphoinositide dependent protein kinase 1	protein-coding
1-7996	chr9	652886	653117	+	0	NA	intron (NM_001256877, intron 2 of 12)	intron (NM_001256877, intron 2 of 12)	-33766	NM_001354335	23189	Hs.306764	NM_015158	ENSG00000107104	KANK1	ANKRD15|CPSQ2|KANK	KN motif and ankyrin repeat domains 1	protein-coding
1-10335	chr8	76319885	76320116	+	0	NA	5' UTR (NM_001330561, exon 1 of 12)	5' UTR (NM_001330561, exon 1 of 12)	116	NM_001330561	3174	Hs.241529	NM_004133	ENSG00000164749	HNF4G	NR2A2|NR2A3	hepatocyte nuclear factor 4 gamma	protein-coding
1-9814	chr19	17005020	17005228	+	0	NA	non-coding (NR_147452, exon 3 of 3)	non-coding (NR_147452, exon 3 of 3)	2634	NR_147452	27151	Hs.631644	NM_015692	ENSG00000160111	CPAMD8	ASGD8|K-CAP|VIP	C3 and PZP like alpha-2-macroglobulin domain containing 8	protein-coding
1-7887	chr1	113271683	113271914	+	0	NA	Intergenic	SVA_A|Other|Other	8609	NM_001004440	284467	Hs.439116	NM_182759	ENSG00000184599	TAFA3	FAM19A3|TAFA-3	TAFA chemokine like family member 3	protein-coding
1-839	chr2	204946793	204947024	+	0	NA	Intergenic	Intergenic	145437	NM_012092	29851	Hs.56247	NM_012092	ENSG00000163600	ICOS	AILIM|CD278|CVID1	inducible T cell costimulator	protein-coding
1-1287	chr13	28485690	28485896	+	0	NA	intron (NR_047484, intron 1 of 4)	intron (NR_047484, intron 1 of 4)	5635	NR_047484	100861550	Hs.416201	NR_047484		PLUT	HI-LNC71|PDX1-AS1|PLUTO	PDX1 associated lncRNA, upregulator of transcription	ncRNA
1-3762	chr8	37773727	37773940	+	0	NA	Intergenic	Intergenic	-16818	NM_025151	80223	Hs.191179	NM_025151	ENSG00000156675	RAB11FIP1	NOEL1A|RCP|rab11-FIP1	RAB11 family interacting protein 1	protein-coding
1-3628	chr12	33741836	33742067	+	0	NA	Intergenic	L2a|LINE|L2	-149197	NM_198992	341359	Hs.118703	NM_198992	ENSG00000110975	SYT10	-	synaptotagmin 10	protein-coding
1-7162	chr5	158084206	158084437	+	0	NA	Intergenic	L2c|LINE|L2	-247540	NR_109888	101927697	Hs.483960	NR_109888	ENSG00000276778	LINC02227	-	long intergenic non-protein coding RNA 2227	ncRNA
1-9192	chr2	238767207	238767399	+	0	NA	promoter-TSS (NM_005855)	promoter-TSS (NM_005855)	-963	NM_001308353	10267	Hs.471783	NM_005855	ENSG00000132329	RAMP1	-	receptor activity modifying protein 1	protein-coding
1-4357	chr9	139438945	139439170	+	0	NA	intron (NM_017617, intron 1 of 33)	CpG	1443	NM_017617	4851	Hs.495473	NM_017617	ENSG00000148400	NOTCH1	AOS5|AOVD1|TAN1|hN1	notch receptor 1	protein-coding
1-2780	chr9	83959319	83959526	+	0	NA	Intergenic	Intergenic	345028	NM_001303103	7088	Hs.197320	NM_005077	ENSG00000196781	TLE1	ESG|ESG1|GRG1	TLE family member 1, transcriptional corepressor	protein-coding
1-3751	chr4	88042038	88042269	+	0	NA	intron (NM_005935, intron 11 of 19)	intron (NM_005935, intron 11 of 19)	99267	NM_001292003	57563	Hs.106601	NM_020803	ENSG00000145332	KLHL8	-	kelch like family member 8	protein-coding
1-2373	chr9	128059433	128059664	+	0	NA	intron (NM_001282680, intron 3 of 27)	L2a|LINE|L2	35443	NR_148733	26130	Hs.42376	NM_015635	ENSG00000165219	GAPVD1	GAPEX5|GAPex-5|RAP6	GTPase activating protein and VPS9 domains 1	protein-coding
1-5703	chr8	94165751	94165982	+	0	NA	intron (NR_161372, intron 1 of 2)	intron (NR_161372, intron 1 of 2)	13213	NR_161372	389676	Hs.386711	NR_161372		C8orf87	-	chromosome 8 open reading frame 87	ncRNA
1-1006	chr22	38266273	38266504	+	0	NA	intron (NM_016091, intron 8 of 12)	intron (NM_016091, intron 8 of 12)	20962	NM_001363785	51386	Hs.446852	NM_016091	ENSG00000100129	EIF3L	EIF3EIP|EIF3S11|EIF3S6IP|HSPC021|HSPC025|MSTP005	eukaryotic translation initiation factor 3 subunit L	protein-coding
1-5206	chr14	54469830	54470061	+	0	NA	Intergenic	Intergenic	-46336	NM_001347912	652	Hs.68879	NM_001202	ENSG00000125378	BMP4	BMP2B|BMP2B1|MCOPS6|OFC11|ZYME	bone morphogenetic protein 4	protein-coding
1-53	chr7	150528016	150528247	+	0	NA	Intergenic	Intergenic	-21474	NM_001272072	26	Hs.647097	NM_001091	ENSG00000002726	AOC1	ABP|ABP1|DAO|DAO1|KAO	amine oxidase copper containing 1	protein-coding
1-2994	chr14	100838228	100838459	+	0	NA	intron (NM_173701, intron 1 of 10)	LTR7|LTR|ERV1	3341	NM_213646	7453	Hs.497599	NM_004184	ENSG00000140105	WARS	GAMMA-2|HMN9|IFI53|IFP53	tryptophanyl-tRNA synthetase	protein-coding
1-5258	chr3	14309298	14309529	+	0	NA	Intergenic	Intergenic	84655	NR_110135	101927565	Hs.306905	NR_110135	ENSG00000251576	LINC01267	-	long intergenic non-protein coding RNA 1267	ncRNA
1-7420	chr15	68924133	68924364	+	0	NA	promoter-TSS (NM_001190457)	promoter-TSS (NM_001190457)	-79	NM_001190457	10391	Hs.551213	NM_006091	ENSG00000103647	CORO2B	CLIPINC	coronin 2B	protein-coding
1-2737	chr15	99805066	99805297	+	0	NA	intron (NR_135755, intron 2 of 8)	L2a|LINE|L2	7451	NR_073383	7190	Hs.656611	NR_073383	ENSG00000259706	HSP90B2P	GRP94P1|GRP94b|HSP|HSPCP2|TRA1P1|TRAP1	heat shock protein 90 beta family member 2, pseudogene	pseudo
1-10784	chr4	139096544	139096766	+	0	NA	intron (NR_038380, intron 6 of 6)	intron (NR_038380, intron 6 of 6)	-44816	NR_037866	641365	Hs.435630	NR_037866	ENSG00000248307	LINC00616	-	long intergenic non-protein coding RNA 616	ncRNA
1-4820	chr14	31875160	31875391	+	0	NA	intron (NM_015473, intron 1 of 35)	intron (NM_015473, intron 1 of 35)	14481	NM_015473	25938	Hs.744979	NM_015473	ENSG00000129493	HEATR5A	C14orf125	HEAT repeat containing 5A	protein-coding
1-8404	chr11	10956044	10956252	+	0	NA	Intergenic	Intergenic	76384	NR_034137	729013	Hs.726427	NR_034137	ENSG00000247271	ZBED5-AS1	-	ZBED5 antisense RNA 1	ncRNA
1-6521	chr13	50963953	50964184	+	0	NA	intron (NR_109974, intron 2 of 6)	LTR33|LTR|ERVL	137517	NR_125753	103689915	Hs.722230	NR_125753	ENSG00000186047	DLEU1-AS1	LINC01308	DLEU1 antisense RNA 1	ncRNA
1-10812	chr9	462628	462852	+	0	NA	intron (NM_203447, intron 46 of 47)	L1MEd|LINE|L1	-7551	NM_001256876	23189	Hs.306764	NM_015158	ENSG00000107104	KANK1	ANKRD15|CPSQ2|KANK	KN motif and ankyrin repeat domains 1	protein-coding
1-8299	chr1	44503020	44503251	+	0	NA	Intergenic	Intergenic	-6001	NM_001328626	6536	Hs.442590	NM_006934	ENSG00000196517	SLC6A9	GCENSG|GLYT1	solute carrier family 6 member 9	protein-coding
1-6609	chr4	55257096	55257325	+	0	NA	Intergenic	Intergenic	58151	NR_147160	105377656	Hs.157697	NR_147160		LINC02283	-	long intergenic non-protein coding RNA 2283	ncRNA
1-7888	chr1	115859813	115860036	+	0	NA	intron (NM_002506, intron 1 of 2)	intron (NM_002506, intron 1 of 2)	20933	NM_002506	4803	Hs.2561	NM_002506	ENSG00000134259	NGF	Beta-NGF|HSAN5|NGFB	nerve growth factor	protein-coding
1-1766	chr12	32207171	32207402	+	0	NA	Intergenic	LTR3|LTR|ERVK	-52455	NM_001363603	636	Hs.505202	NM_001714	ENSG00000151746	BICD1	BICD|bic-D 1	BICD cargo adaptor 1	protein-coding
1-6401	chr1	105642795	105643026	+	0	NA	Intergenic	Intergenic	518647	NR_125954	101928476	Hs.563856	NR_125954	ENSG00000230768	LINC01676	-	long intergenic non-protein coding RNA 1676	ncRNA
