	ARNT2	ARX	ASCL1	E2F7	EBF3	ETV1	FEV	FOXJ1	FOXP2	GATA2	HIC1	HLF	ISL1	LMX1A	LMX1B	MAFA	MAFB	NEUROD2	NEUROG3	NFAT5	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU5F1	RFX6	SIX2	SMAD9	SOX4	SPIB	TET1	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF519	ZNF846
GO_GANGLION_DEVELOPMENT		RGS4 TUBB3																																						
GO_GATED_CHANNEL_ACTIVITY			KCNF1 SCN1B				CLCNKA GABRE KCNF1 SCN1B		CHRNA3 CHRNB2															CACNA1H KCNH6 KCNK3				CHRNA1 KCNF1 P2RX6			ABCC8 GABRE KCNH6 SCN1B			KCNF1 KCNK3 P2RX6						KCNF1 KCNJ11 P2RX6 SCN1B
GO_GLANDULAR_EPITHELIAL_CELL_DIFFERENTIATION																									DLL1 PROX1									NEUROD1 RFX6						
GO_GLAND_DEVELOPMENT																						DRD2 EPHB3	DRD2 QDPR	CSF1R EPHB3 PROX1																
GO_GLAND_MORPHOGENESIS										CSF1R PROX1														CSF1R PROX1	MDK PROX1															
GO_GLIAL_CELL_DEVELOPMENT																									DLL1 MDK SOX4	ADORA2A SOX4								ADORA2A MDK						
GO_GLIAL_CELL_DIFFERENTIATION																	DLL1 TP73								DLL1 MDK SOX4 TP73	ADORA2A SOX4														
GO_GLIAL_CELL_PROJECTION																	AKR1B1 SLC1A2						AKR1B1 SLC1A2																	
GO_GLIOGENESIS																	DLL1 TP73								DLL1 MDK SOX4 TP73	ADORA2A SOX4														
GO_GLUCOSE_METABOLIC_PROCESS										ACTN3 PPP1R3C											KCNJ11 PPP1R3C																			
GO_GLUTAMATERGIC_SYNAPSE														CPLX1 DRD2 SPARC		NPTX1 SPARC	CADPS NPTX1 SLC1A2						DRD2 SLC1A2					NPTX1 P2RX6	CACNG4 CPLX1 DRD2 RGS9			CADPS DRD2 SLC6A17								
GO_GLUTAMATE_RECEPTOR_BINDING																													CACNG4 DRD2											
GO_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY																													CACNG4 RGS9											
GO_GLUTATHIONE_CATABOLIC_PROCESS																																		DPEP1 GGT5						
GO_GLUTATHIONE_METABOLIC_PROCESS																																		DPEP1 GGT5						
GO_GLYCEROLIPID_METABOLIC_PROCESS																													FAM126A PLCG2 SOCS1											
GO_GLYCEROPHOSPHOLIPID_METABOLIC_PROCESS																													FAM126A PLCG2 SOCS1											
GO_GLYCINE_TRANSPORT							RGS4 SLC6A17																		RGS4 SLC38A5															
GO_GLYCOSAMINOGLYCAN_BINDING			CRISPLD2 DPYSL3 PODXL2							CRISPLD2 LTF PRELP							CRISPLD2 SFRP1							LTF PRELP	LTBP2 MDK PRELP SMOC2	PRELP SMOC2														
GO_GOLGI_APPARATUS																																		ADORA2A CPE GAL GLT8D2 GPC2 JAM3 MAP6 RAB26 STMN3						
GO_GOLGI_ASSOCIATED_VESICLE				CNIH2 MAP6																											CNIH2 MAP6									CNIH2 MAP6
GO_GOLGI_LUMEN			GPC2 PODXL2						MUC15 PODXL2	MMP11 MUC15 MUC5AC PRELP					GPC2 MMP11														GPC2 MMP11											
GO_GRANULOCYTE_CHEMOTAXIS						DPEP1 MDK	DPEP1 JAM3																								DPEP1 JAM3 MDK			DPEP1 JAM3 MDK						
GO_GRANULOCYTE_MIGRATION						DPEP1 MDK	DPEP1 JAM3																								DPEP1 JAM3 MDK			DPEP1 JAM3 MDK						CD99L2 MDK
GO_GROWTH						CCDC85B MDK NINJ1 SOCS1									DLL1 RGS4 SLITRK6		CCDC85B DLL1 NKD1 SFRP1 SLC1A2 SLITRK6 TP73								ACTN3 DLL1 DRD2 MAD2L2 MDK PROX1 RGS4 SOCS1 TP73						AGT DRD2 GNG4 MDK NINJ1 RGS4 SLITRK6	CCDC85B CHRNA1 DRD2 NKD1 SLITRK6 TP73				NINJ1 RGS4 TP73				ACTN3 AGT CCDC85B MAD2L2 MDK NINJ1 SOCS1
GO_GROWTH_FACTOR_ACTIVITY		GDF10 LEFTY1																											GDF10 LEFTY1 MDK		AGT MDK			AGT CSH1 MDK						AGT MDK
GO_GROWTH_FACTOR_BINDING																									FLT1 LTBP2				FLT1 LTBP2											
GO_GTPASE_ACTIVITY		RGS4 TUBB3								RASL11B RGS16 RGS5 TUBA1A			GNAO1 RGS4				RASL11B TUBB3							GNG4 RASL11B							GNAO1 GNG4 RAB26 RGS4 TUBA1A					RGS16 RGS4			TUBA1A TUBB3	
GO_GTPASE_REGULATOR_ACTIVITY							RGS16 RGS4 RUNDC3A																													RGS16 RGS4				
GO_GUANYL_NUCLEOTIDE_BINDING										ARL9 RASL11B TUBA1A												PDE2A TUBB3										ARL9 PDE2A							TUBA1A TUBB3	
GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY																					GABBR2 SSTR1																			
GO_G_PROTEIN_COUPLED_RECEPTOR_BINDING													AGT GNAO1				SFRP1 WNT9A																	ADORA2A AGT GAL			AGT GNAO1		GAL WNT9A	
GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY							AGT CPE GABRE PDE2A RGS16 RGS4 SYP				CHGA SSTR1		AGT GNAO1 RGS4 SSTR2		GAL PTGDR2 RGS4 SYP																AGT CHGA DRD2 GABRE GNAO1 GNG4 PDE6B RGS4 SYP								CPE GAL PDE6B SYP	
GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY_COUPLED_TO_CYCLIC_NUCLEOTIDE_SECOND_MESSENGER											CHGA SSTR1		AGT GNAO1 SSTR2									DRD2 PDE2A									AGT CHGA DRD2 GNAO1	DRD2 PDE2A					AGT GNAO1			
GO_HAIR_CELL_DIFFERENTIATION															DLL1 SLITRK6		DLL1 SLITRK6																							
GO_HEAD_DEVELOPMENT							FAIM2 NEUROD2 RGS4 SFRP1 SLC6A17				SLC38A3 SSTR1		MMP2 RGS4 SSTR2				CRISPLD2 DLL1 EPHB3 SFRP1 SLC1A2					DRD2 EPHB3 SLC38A3		CSF1R EPHB3 KCNK3 KIF1A PROX1 SYNGR3	DLL1 DRD2 MDK MMP2 PROX1 RGS4						DRD2 FAIM2 MDK NEUROD2 RGS4	CRISPLD2 DRD2 FAIM2 SLC6A17		DSCAML1 KCNK3 MDK MMP2 NEUROD1 NEUROG3 SYNGR3		NEUROG3 RGS4				
GO_HEART_DEVELOPMENT							AGT CPE PDE2A RGS4								DLL1 LEFTY1 RGS4									DLL4 LEFTY1 PROX1	DLL1 DLL4 PROX1 RGS4 SOX4 TP73											RGS4 TP73	AGT SOX4			
GO_HEART_GROWTH							AGT RGS4						AGT RGS4												PROX1 RGS4 TP73						AGT RGS4					RGS4 TP73				
GO_HEART_MORPHOGENESIS															DLL1 LEFTY1									DLL4 LEFTY1 PROX1	DLL1 DLL4 PROX1 SOX4	DLL4 SOX4			CPE DLL4 LEFTY1										CPE DLL4	
GO_HEART_PROCESS							AGT RGS4 SCN1B						AGT GNAO1 RGS4									DRD2 SCN1B		CACNA1H KCNH6 KCNK3	CACNA1H DRD2 RGS4 SCN1B						AGT CHGA DRD2 GNAO1 KCNH6 RGS4 SCN1B					RGS4 SCN1B	AGT GNAO1			AGT KCNJ11 SCN1B
GO_HEART_VALVE_DEVELOPMENT																									DLL4 SOX4	DLL4 SOX4														
GO_HEAT_SHOCK_PROTEIN_BINDING				HSPA2 KCNJ11																																				
GO_HEMATOPOIETIC_PROGENITOR_CELL_DIFFERENTIATION							JAM3 SFRP1										SFRP1 TP73								FLT1 SOX4 TP73															
GO_HEMATOPOIETIC_STEM_CELL_DIFFERENTIATION																	SFRP1 TP73																							
GO_HEPARIN_BINDING										CRISPLD2 LTF PRELP							CRISPLD2 SFRP1							LTF PRELP	LTBP2 MDK PRELP SMOC2	PRELP SMOC2			LTBP2 MDK											
GO_HEPATICOBILIARY_SYSTEM_DEVELOPMENT																									MDK PROX1						MDK QDPR			MDK QDPR						
GO_HETEROTRIMERIC_G_PROTEIN_COMPLEX																															GNAO1 GNG4									
GO_HINDBRAIN_DEVELOPMENT						MDK NEUROD2	FAIM2 NEUROD2			FAIM2 PROX1															DLL1 MDK PROX1						FAIM2 MDK NEUROD2			MDK NEUROD1 NEUROG3						
GO_HINDBRAIN_MORPHOGENESIS										FAIM2 PROX1															DLL1 PROX1															
GO_HIPPOCAMPUS_DEVELOPMENT																									MDK PROX1									MDK NEUROD1						
GO_HISTONE_DEACETYLASE_COMPLEX																									RCOR2 SAP30															
GO_HOMEOSTATIC_PROCESS																				CHRNA1 RBP1 UCP2		CD52 DRD2 LTF MLLT11 SCN1B												ADORA2A AGT AKR1B1 CDH5 JAM3 KCNK3 MLLT11 NEUROD1 PLCG2 RFX6			AGT LTF SOX4			
GO_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES										CDH5 SDK2 VSTM2L														CDH5 IGFN1										CDH5 DSCAML1 SDK2						
GO_HORMONE_ACTIVITY																																		AGT CHGB CSH1 GAL						
GO_HORMONE_METABOLIC_PROCESS							AKR1B1 CPE									PCSK1 RBP1																		AKR1B1 CPE GAL PCSK1					CPE GAL	
GO_HORMONE_TRANSPORT							AGT CPE SFRP1							CPLX1 DRD2															CPE CPLX1 DRD2		ABCC8 AGT CHGA DRD2			AGT CPE GAL NEUROD1 RFX6			AGT SOX4	CPE FFAR2	CPE GAL	
GO_HUMORAL_IMMUNE_RESPONSE										IGHG1 LTF SPON2																														
GO_HYALOID_VASCULAR_PLEXUS_REGRESSION														DRD2 FLT1 NINJ1											DRD2 FLT1				DRD2 FLT1		DRD2 NINJ1									
GO_HYDROLASE_ACTIVITY_ACTING_ON_ACID_ANHYDRIDES																								GNG4 HSPA2 KIF1A RASL11B		ATP13A4 GNG4 HSPA2 KIF1A	DYNC1I1 HSPA2 TUBA1A				ABCC8 ENPP2 GNAO1 GNG4 RAB26 RGS4 TUBA1A					RGS16 RGS4				
GO_HYDROLASE_ACTIVITY_ACTING_ON_CARBON_NITROGEN_BUT_NOT_PEPTIDE_BONDS						ASRGL1 DPEP1																																		
GO_ICOSANOID_METABOLIC_PROCESS																															CPA1 DPEP1			CPA1 DPEP1 GGT5						
GO_IDENTICAL_PROTEIN_BINDING																																							CSF1R MAPK4 QDPR SYP TUBA1A	
GO_IMMUNE_SYSTEM_DEVELOPMENT						MDK NTRK1 SOCS1								DLL4 EPHB3 FLT1 HMGB3			DLL1 EPHB3 NTRK1 SFRP1 TP73							CSF1R DLL4 EPHB3 LTF	CBFA2T3 DLL1 DLL4 FLT1 MAD2L2 MDK PLCG2 SOCS1 SOX4 TP73				DLL4 FLT1 MDK PLCG2 SOCS1 TOX								LTF SOX4			
GO_IMPORT_ACROSS_PLASMA_MEMBRANE							AGT RGS4						AGT RGS4																		AGT RGS4									AGT KCNJ11
GO_IMPORT_INTO_CELL				KCNJ11 SYNGR3			AGT RGS4						AGT RGS4									DRD2 LTF	DRD2 SLC1A2	LTF SYNGR3							AGT DRD2 RGS4						AGT LTF			
GO_INFLAMMATORY_RESPONSE						DPEP1 IL17C MDK	AGT DPEP1 IL17C JAM3 PDE2A																											ADORA2A AGT CDH5 DPEP1 GAL GGT5 JAM3 MDK						
GO_INNATE_IMMUNE_RESPONSE										CSF1R IGHG1 LTF MUC15 MUC5AC SPON2																														
GO_INNATE_IMMUNE_RESPONSE_ACTIVATING_SIGNAL_TRANSDUCTION										MUC15 MUC5AC																														
GO_INNERVATION															LRIG1 SLITRK6	LRIG1 NPTX1 NTRK1	NPTX1 NTRK1 SLITRK6																							
GO_INNER_EAR_AUDITORY_RECEPTOR_CELL_DIFFERENTIATION															DLL1 SLITRK6		DLL1 SLITRK6																							
GO_INNER_EAR_MORPHOGENESIS															LRIG1 SLITRK6	LRIG1 PROX1							GRHL3 SLITRK6	GRHL3 LRIG1 PROX1																
GO_INORGANIC_ANION_TRANSMEMBRANE_TRANSPORT							CLCNKA GABRE																																	
GO_INORGANIC_ANION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY							CLCNKA GABRE																																	
GO_INORGANIC_ANION_TRANSPORT							CLCNKA GABRE																																	
GO_INORGANIC_ION_TRANSMEMBRANE_TRANSPORT							CLCNKA GABRE HECW2 KCNF1 RGS4 SCN1B SLC6A17								GAL RGS4 UCP2									CACNA1H HSPA2 KCNH6 KCNK3	CACNA1H DRD2 GABRE HSPA2 PLCG2 RGS4 SCN1B				CACNG4 DRD2 HECW2 PLCG2 RGS9		ABCC8 DRD2 GABRE KCNH6 RGS4 SCN1B UCP2					RGS4 SCN1B				
GO_INOSITOL_LIPID_MEDIATED_SIGNALING			FLT1 PPP1R16B							CSF1R MUC5AC																											AGT PPP1R16B			
GO_INSULIN_RECEPTOR_SIGNALING_PATHWAY																																		AGT SOCS1						AGT SOCS1
GO_INSULIN_SECRETION				KCNJ11 RFX6										CPLX1 DRD2											DRD2 MAFA SOX4				CPLX1 DRD2		ABCC8 CHGA DRD2			GAL NEUROD1 RFX6						
GO_INTEGRAL_COMPONENT_OF_SYNAPTIC_VESICLE_MEMBRANE							SLC6A17 SYP																																	
GO_INTERACTION_WITH_SYMBIONT										CSF1R LTF														CSF1R LTF																
GO_INTERCALATED_DISC																																								KCNJ11 SCN1B
GO_INTERFERON_GAMMA_MEDIATED_SIGNALING_PATHWAY																																								CAMK2B SOCS1
GO_INTRINSIC_COMPONENT_OF_ORGANELLE_MEMBRANE															P2RX6 SYP																									
GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE			FFAR2 FLT1 GPC2 KCNF1 NOXO1 PODXL2 SCN1B				CLCNKA GABRE GPC2 JAM3 KCNF1 LAPTM5 SCN1B SLC16A12 SLC6A17				SLC38A3 SSTR1				DLL1 GPC2 P2RX6 PTGDR2 SLC16A12 SLITRK6	CLCNKA GGT5 NOXO1 NTRK1 SLC38A5 TMPRSS11E	DLL1 EPHB3 GGT5 NOXO1 NTRK1 SLC1A2 SLITRK6				GABBR2 KCNJ11 SSTR1	CD52 DRD2 EPHB3 SCN1B SLC38A3 TMPRSS11E		CACNA1H CSF1R EPHB3 KCNH6 KCNK3 LAPTM5 SEMA6B SLC16A12				CHRNA1 GGT5 KCNF1 P2RX6			ABCC8 CNIH2 DRD2 GABRE JAM3 KCNH6 LAPTM5 RAB26 SCN1B SLC16A12 SLITRK6									CNIH2 KCNF1 KCNJ11 LRFN1 NOXO1 P2RX6 PODXL2 SCN1B
GO_INTRINSIC_COMPONENT_OF_POSTSYNAPTIC_DENSITY_MEMBRANE				CNIH2 LRFN1																																				CNIH2 LRFN1
GO_INTRINSIC_COMPONENT_OF_POSTSYNAPTIC_MEMBRANE				CNIH2 LRFN1										CHRNA1 DRD2														CHRNA1 P2RX6	CACNG4 DRD2		CNIH2 DRD2	CHRNA1 DRD2		ADORA2A P2RX6						CNIH2 LRFN1 P2RX6
GO_INTRINSIC_COMPONENT_OF_POSTSYNAPTIC_SPECIALIZATION_MEMBRANE				CNIH2 LRFN1																								CHRNA1 P2RX6												CNIH2 LRFN1 P2RX6
GO_INTRINSIC_COMPONENT_OF_PRESYNAPTIC_MEMBRANE																							DRD2 SLC1A2																	
GO_INTRINSIC_COMPONENT_OF_SYNAPTIC_MEMBRANE				CNIH2 LRFN1										CHRNA1 DRD2									DRD2 SLC1A2					CHRNA1 P2RX6	CACNG4 DRD2		CNIH2 DRD2	CHRNA1 DRD2		ADORA2A P2RX6						CNIH2 LRFN1 P2RX6
GO_INTRINSIC_COMPONENT_OF_SYNAPTIC_VESICLE_MEMBRANE							SLC6A17 SYP																								RAB26 SYP									
GO_IN_UTERO_EMBRYONIC_DEVELOPMENT									HOPX SLC25A34							SLC25A34 VASH2																								
GO_IONOTROPIC_GLUTAMATE_RECEPTOR_BINDING																													CACNG4 DRD2											
GO_ION_CHANNEL_BINDING			ACTN3 SCN1B							ACTN3 CDH5															ACTN3 CDH5 SCN1B						ABCC8 SCN1B									ACTN3 KCNJ11 SCN1B
GO_ION_HOMEOSTASIS																						CD52 DRD2 LTF MLLT11 SCN1B				ADORA2A ATP13A4 MLLT11					AGT DRD2 MLLT11 SCGN SCN1B			ADORA2A AGT CDH5 KCNK3 MLLT11 PLCG2			AGT LTF			
GO_ION_TRANSMEMBRANE_TRANSPORT							AGT CLCNKA GABRE HECW2 KCNF1 RGS4 SCN1B SLC16A12 SLC6A17		CHRNA3 CHRNB2 HECW2 HSPA2						GAL P2RX6 RGS4 SLC16A12 UCP2									CACNA1H HSPA2 KCNH6 KCNK3 SLC16A12	CACNA1H DRD2 GABRE HSPA2 PLCG2 RGS4 SCN1B SLC16A12 SLC38A5			CHRNA1 KCNF1 P2RX6			ABCC8 AGT CNIH2 DRD2 GABRE KCNH6 RGS4 SCN1B SLC16A12 UCP2			AGT GAL KCNF1 KCNK3 P2RX6 PLCG2 SLC7A4		RGS4 SCN1B				AGT CNIH2 KCNF1 KCNJ11 P2RX6 SCN1B
GO_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY							CLCNKA GABRE KCNF1 SCN1B SLC16A12																	CACNA1H KCNH6 KCNK3 SLC16A12				CHRNA1 KCNF1 P2RX6												
GO_ION_TRANSPORT							AGT CLCNKA GABRE HECW2 KCNF1 RGS4 SCN1B SLC16A12 SLC6A17		CHRNA3 CHRNB2 HECW2 HSPA2		SLC38A3 SYT5				GAL P2RX6 RGS4 SLC16A12 UCP2							DRD2 LTF SCN1B SLC38A3		CACNA1H HSPA2 KCNH6 KCNK3 LTF SLC16A12					CACNG4 CPLX1 DRD2 HECW2 NKAIN1 PLCG2 RGS9		ABCC8 AGT CNIH2 DRD2 GABRE KCNH6 PLTP RGS4 SCN1B SLC16A12 UCP2			ADORA2A AGT GAL KCNF1 KCNK3 NKAIN1 P2RX6 PLCG2 SLC7A4						AGT CAMK2B CNIH2 KCNF1 KCNJ11 P2RX6 PLTP SCN1B
GO_IRON_ION_BINDING										CYGB LTF																														
GO_ISOPRENOID_METABOLIC_PROCESS							AKR1B1 GPC2																AKR1B1 CLPS											AKR1B1 GPC2						
GO_JNK_CASCADE																														AMBP GADD45G										
GO_KIDNEY_EPITHELIUM_DEVELOPMENT							AGT SFRP1										CRLF1 DLL1 SFRP1								CRLF1 DLL1															AGT CRLF1
GO_KIDNEY_MORPHOGENESIS																																					AGT SOX4			
GO_KINASE_ACTIVITY																																							CSF1R MAPK4 SBK1	
GO_KINASE_INHIBITOR_ACTIVITY				CDKN1C SOCS1																									ITPRIP SOCS1					ITPRIP SOCS1						CDKN1C ITPRIP SOCS1
GO_KINASE_REGULATOR_ACTIVITY				CDKN1C SOCS1						ITPRIP LTF																			ITPRIP SOCS1											CDKN1C ITPRIP SOCS1
GO_LAMELLIPODIUM		DOCK8 TUBB3																																				DOCK8 DPYSL3 TUBB3		
GO_LATE_ENDOSOME						NTRK1 SFTPA2											NTRK1 PGA3 SFTPA2	PGA5 SFTPA2																						
GO_LATE_ENDOSOME_LUMEN																															PGA3 PGA5			PGA3 PGA4						
GO_LEADING_EDGE_MEMBRANE		DOCK8 MPP2																													GABRE MPP2			ADORA2A MPP2						KCNJ11 MPP2
GO_LEARNING							AGT NEUROD2																								AGT DRD2 NEUROD2			AGT C1QL1						
GO_LENS_DEVELOPMENT_IN_CAMERA_TYPE_EYE								SLITRK6 TMOD1															SLITRK6 TMOD1								SLITRK6 TMOD1									
GO_LEUKOCYTE_ADHESION_TO_VASCULAR_ENDOTHELIAL_CELL																																								MDK PODXL2
GO_LEUKOCYTE_CELL_CELL_ADHESION						MDK SOCS1																				ADORA2A SOX4								ADORA2A MDK SOCS1				DOCK8 SOCS1		MDK PODXL2 SOCS1
GO_LEUKOCYTE_CHEMOTAXIS			FFAR2 FLT1			DPEP1 MDK	DPEP1 JAM3																								CHGA DPEP1 JAM3 MDK			DPEP1 JAM3 MDK						
GO_LEUKOCYTE_DIFFERENTIATION						MDK NTRK1 SOCS1											DLL1 NTRK1 SFRP1							CSF1R DLL4 LTF	CBFA2T3 DLL1 DLL4 MDK PLCG2 SOCS1 SOX4				DLL4 MDK PLCG2 SOCS1 TOX								LTF SOX4			
GO_LEUKOCYTE_MIGRATION		CD99L2 DOCK8	FFAR2 FLT1 PODXL2			DPEP1 MDK						CD200 CD99L2																			CHGA DPEP1 JAM3 MDK							DOCK8 FFAR2		
GO_LEUKOCYTE_MIGRATION_INVOLVED_IN_INFLAMMATORY_RESPONSE																															JAM3 MDK			JAM3 MDK						
GO_LEUKOCYTE_PROLIFERATION																																							CSF1R GAL	
GO_LEUKOTRIENE_METABOLIC_PROCESS																															CPA1 DPEP1			CPA1 DPEP1 GGT5						
GO_LIGAND_GATED_CATION_CHANNEL_ACTIVITY									CHRNA3 CHRNB2																			CHRNA1 P2RX6												KCNJ11 P2RX6
GO_LIGAND_GATED_ION_CHANNEL_ACTIVITY									CHRNA3 CHRNB2																			CHRNA1 P2RX6			ABCC8 GABRE									KCNJ11 P2RX6
GO_LIMBIC_SYSTEM_DEVELOPMENT																									DRD2 MDK PROX1				DRD2 MDK		DRD2 MDK			MDK NEUROD1						
GO_LIPASE_ACTIVITY														ENPP2 NOTUM											NOTUM PLCG2															
GO_LIPID_BINDING	NOXO1 OSBPL6 STARD9									LTF OSBPL6 PLTP RBP1 SIDT1 SPON2							CADPS NOXO1 PLTP SIDT1							ARHGAP9 CADPS HSPA2 LTF SIDT1														FFAR2 PLTP SIDT1 SYT5		AMER3 NOXO1 PLTP SPON2 SYP
GO_LIPID_EXPORT_FROM_CELL																																		AGT GAL						
GO_LIPID_LOCALIZATION																																						FFAR2 PLTP		
GO_LIPID_METABOLIC_PROCESS						CYGB DPEP1 OSBPL6 SOCS1	AGT AKR1B1 CYGB DPEP1 G0S2 GPC2			CSF1R CYGB FAM126A OSBPL6 PLTP PROX1 RBP1																								AGT AKR1B1 DPEP1 GAL GGT5 GPC2 OSBPL6 PLCG2 SOCS1						
GO_LIPID_MODIFICATION						CYGB SOCS1																																		
GO_LIPID_PHOSPHORYLATION																													FAM126A SOCS1											
GO_LIPID_TRANSPORTER_ACTIVITY										OSBPL6 PLTP																														
GO_LIPOPOLYSACCHARIDE_BINDING										LTF SPON2																														
GO_LIVER_MORPHOGENESIS																									MDK PROX1															
GO_LOCOMOTORY_BEHAVIOR								SLITRK6 TMOD1	CHRNA3 CHRNB2 TMOD1														DRD2 SLITRK6 TMOD1								DRD2 GNAO1 SLITRK6 TMOD1	DRD2 SLITRK6		ADORA2A C1QL1 TMOD1						
GO_LONG_TERM_SYNAPTIC_POTENTIATION														DRD2 MPP2																	DRD2 MPP2 SCGN	DRD2 MPP2		ADORA2A MPP2						MPP2 SCGN
GO_LYMPHOCYTE_ACTIVATION						MDK NTRK1 SOCS1																			DLL1 DLL4 MAD2L2 MDK PLCG2 SOCS1 SOX4	ADORA2A DLL4 SOX4			DLL4 MDK PLCG2 SOCS1 TOX					ADORA2A GAL MDK PLCG2 SOCS1						
GO_LYMPHOCYTE_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE																									DLL1 MAD2L2 MDK PLCG2				MDK PLCG2											MAD2L2 MDK
GO_LYMPHOCYTE_DIFFERENTIATION						MDK NTRK1 SOCS1											DLL1 NTRK1 SFRP1								DLL1 DLL4 MDK PLCG2 SOCS1 SOX4	DLL4 SOX4			DLL4 MDK PLCG2 SOCS1 TOX					MDK PLCG2 SOCS1						HMGB3 MDK SOCS1
GO_LYMPHOCYTE_MIGRATION		CD99L2 DOCK8										CD200 CD99L2																												
GO_LYSOSOME_LOCALIZATION											CHGA MAP6																				CHGA MAP6									
GO_L_ALPHA_AMINO_ACID_TRANSMEMBRANE_TRANSPORT							AGT RGS4						AGT RGS4										SLC1A2 SLC38A5		RGS4 SLC38A5						AGT RGS4									
GO_L_AMINO_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY																							SLC1A2 SLC38A5																	
GO_L_AMINO_ACID_TRANSPORT							AGT RGS4 SLC6A17						AGT RGS4										SLC1A2 SLC38A5		RGS4 SLC38A5						AGT RGS4									
GO_MACROMOLECULE_DEACYLATION																									NOTUM RCOR2															
GO_MACROPHAGE_MIGRATION																									CD200 MDK															
GO_MAINTENANCE_OF_BLOOD_BRAIN_BARRIER																																		CDH5 JAM3						
GO_MAINTENANCE_OF_CELL_NUMBER																	DLL1 SFRP1								DLL1 PROX1 SOX4															
GO_MAINTENANCE_OF_LOCATION_IN_CELL																													DRD2 PLCG2											
GO_MAIN_AXON																																								KCNJ11 SCN1B
GO_MALE_SEX_DIFFERENTIATION																	NTRK1 SFRP1																							
GO_MAST_CELL_GRANULE																															AKR1B1 CHGA									
GO_MATURE_B_CELL_DIFFERENTIATION																									DLL1 PLCG2															
GO_MATURE_B_CELL_DIFFERENTIATION_INVOLVED_IN_IMMUNE_RESPONSE																									DLL1 PLCG2															
GO_MECHANORECEPTOR_DIFFERENTIATION															DLL1 SLITRK6		DLL1 NTRK1 SLITRK6																							
GO_MECHANOSENSORY_BEHAVIOR																							DRD2 SLITRK6								DRD2 SLITRK6	DRD2 SLITRK6								
GO_MEMBRANE_DEPOLARIZATION							MLLT11 SCN1B															MLLT11 SCN1B			CACNA1H SCN1B	ADORA2A MLLT11					MLLT11 SCN1B			ADORA2A MLLT11						
GO_MEMBRANE_DEPOLARIZATION_DURING_ACTION_POTENTIAL																									CACNA1H SCN1B															
GO_MEMBRANE_PROTEIN_COMPLEX									CHRNA3 CHRNB2 HSPA2																						ABCC8 CATSPERB CNIH2 GABRE GNAO1 GNG4 SCN1B									CDH22 CNIH2 KCNF1 KCNJ11 NOXO1 SCN1B SOCS1
GO_MEMBRANE_REGION									CHRNA3 CHRNB2																						BAALC FAIM2 TUBA1A									
GO_MEMORY																									DRD2 MDK				DRD2 MDK		DRD2 MDK									
GO_MESONEPHROS_DEVELOPMENT							AGT SFRP1										CRLF1 SFRP1																							AGT CRLF1
GO_METALLOCARBOXYPEPTIDASE_ACTIVITY																													CPA1 CPE					CPA1 CPE						
GO_METALLOENDOPEPTIDASE_ACTIVITY													ADAMTSL2 MMP2																MMP11 MMP2					ADAMTSL2 MMP2						
GO_METALLOEXOPEPTIDASE_ACTIVITY							CPE DPEP1																						CPA1 CPE		CPA1 DPEP1			CPA1 CPE DPEP1						
GO_METALLOPEPTIDASE_ACTIVITY							ADAMTSL2 CPE DPEP1						ADAMTSL2 MMP2																CPA1 CPE MMP11 MMP2					ADAMTSL2 CPA1 CPE DPEP1 MMP2					CPE MMP2	
GO_METAL_ION_HOMEOSTASIS																						CD52 DRD2 LTF		CDH5 KCNK3 LTF										ADORA2A AGT CDH5 KCNK3 PLCG2			AGT LTF			
GO_METAL_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY																								CACNA1H KCNH6 KCNK3																
GO_METAL_ION_TRANSPORT							AGT HECW2 KCNF1 RGS4 SCN1B SLC6A17		CHRNB2 HECW2 HSPA2													DRD2 LTF SCN1B SLC38A3		CACNA1H HSPA2 KCNH6 KCNK3 LTF	CACNA1H DRD2 HSPA2 PLCG2 RGS4 SCN1B				CACNG4 DRD2 HECW2 NKAIN1 PLCG2 RGS9		ABCC8 AGT DRD2 KCNH6 RGS4 SCN1B			ADORA2A AGT GAL KCNF1 KCNK3 NKAIN1 PLCG2		RGS4 SCN1B	AGT LTF			AGT CAMK2B KCNF1 KCNJ11 SCN1B
GO_METENCEPHALON_DEVELOPMENT						MDK NEUROD2	FAIM2 NEUROD2			FAIM2 PROX1															DLL1 MDK PROX1						FAIM2 MDK NEUROD2			MDK NEUROD1						
GO_MICROTUBULE																											DYNC1I1 TUBA1A											DYNC1I1 TUBB3		
GO_MICROTUBULE_BASED_MOVEMENT																																						DYNC1I1 PLTP		
