	AEBP1	ARNT2	ARX	ASCL1	ASCL2	ATOH8	CCDC17	DACH1	E2F7	EBF3	ETV1	FEV	FOXJ1	FOXP2	GATA2	GRHL3	HES4	HEY1	HEYL	HHEX	HIC1	HLF	INSM1	ISL1	KCNIP3	LMX1A	LMX1B	LTF	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NFAT5	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU5F1	PROX1	RFX6	SETBP1	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF519	ZNF846
GO_EPITHELIUM_DEVELOPMENT			AKR1B1 CSF1R GAL GRHL3 KLK12 MDK PROX1 SFRP1 SLITRK6 SOX4 TMOD1	ADAMTSL2 ATOH8 CDH5 CSF1R DLL1 GAL	ADAMTSL2 ATOH8 CDH5 CSF1R DLL1 DLL4 GAL HEYL PPP1R16B						ADAMTSL2 AKR1B1 ATOH8 CRLF1 GAL GRHL3 HEYL NKD1 PDE2A PROX1 RFX6 SFRP1 SLITRK6 SOX4	CRLF1 CSF1R DLL1 GAL KLK12 NKD1 PPP1R16B PROX1 RFX6 SLITRK6 SOX4														AGT GAL GRHL3 MDK SFRP1 SLITRK6 SOX4 TMOD1			ADAMTSL2 AKR1B1 ATOH8 CDH5 CRLF1 CSF1R DLL1 GAL GRHL3 HEYL INSM1 KLK12 NEUROG3 PDE2A SFRP1 SLITRK6 SOX4 TMOD1	ADAMTSL2 AGT CDH5 GAL GRHL3 HEYL MDK PDE2A PROX1 RFX6 SOX4 TMOD1		ADAMTSL2 AGT AKR1B1 ATOH8 CDH5 DLL4 GAL INSM1 KLK12 MDK NEUROD1 NKX2-2 NTRK1 PDE2A PPP1R16B SOX4 TMOD1				ADAMTSL2 CRLF1 CSF1R DLL4 GAL GRHL3 INSM1 NEUROG3 RFX6 SOX4	AGT CDH5 DLL4 GAL GRHL3 HEYL MDK NKD1 NTRK1 PROX1 SOX4 TMOD1				ADAMTSL2 AKR1B1 ATOH8 DLL1 GRHL3 HEYL PDE2A PPP1R16B SFRP1 TMOD1								ADAMTSL2 AGT CDH5 CRLF1 DLL4 GAL GRHL3 MDK NTRK1 PROX1 RFX6 SOX4 TMOD1						CDH5 SLITRK6		CRLF1 DLL1 GRHL3 MDK SFRP1 TMOD1	DLL4 GAL GRHL3 HEYL NEUROG3 RFX6 SFRP1
GO_ERYTHROCYTE_HOMEOSTASIS																																											AMPD3 KIT										AMPD3 KIT					
GO_ESTABLISHMENT_OF_CELL_POLARITY														CDH5 DOCK8 JAM3																			CDH5 DOCK8					CDH5 DOCK8																				
GO_ESTABLISHMENT_OF_ENDOTHELIAL_BARRIER					CDH5 PPP1R16B										PDE2A PPP1R16B														CDH5 PDE2A	CDH5 PDE2A		CDH5 PDE2A PPP1R16B	CDH5 PPP1R16B								PDE2A PPP1R16B					CDH5 PDE2A												
GO_ESTABLISHMENT_OF_PLANAR_POLARITY_INVOLVED_IN_NEURAL_TUBE_CLOSURE			GRHL3 SFRP1								GRHL3 SFRP1															GRHL3 SFRP1	GRHL3 SFRP1		GRHL3 SFRP1												GRHL3 SFRP1			GRHL3 SFRP1													GRHL3 SFRP1	GRHL3 SFRP1
GO_ESTABLISHMENT_OF_PLANAR_POLARITY_OF_EMBRYONIC_EPITHELIUM			GRHL3 SFRP1								GRHL3 SFRP1															GRHL3 SFRP1	GRHL3 SFRP1		GRHL3 SFRP1												GRHL3 SFRP1			GRHL3 SFRP1													GRHL3 SFRP1	GRHL3 SFRP1
GO_ESTABLISHMENT_OF_TISSUE_POLARITY			GRHL3 SFRP1								GRHL3 NKD1 SFRP1															GRHL3 SFRP1															GRHL3 SFRP1			GRHL3 NKD1 SFRP1													GRHL3 SFRP1	GRHL3 SFRP1
GO_ESTABLISHMENT_OR_MAINTENANCE_OF_CELL_POLARITY														CDH5 DOCK8 JAM3																								CDH5 DOCK8																				
GO_EXCITATORY_EXTRACELLULAR_LIGAND_GATED_ION_CHANNEL_ACTIVITY					CHRNA3 CHRNB2				CHRNB2 P2RX6		CHRNA1 CHRNA3 CHRNB2 P2RX6	CHRNA1 CHRNB2 P2RX6																	CHRNA1 CHRNB2 P2RX6			CHRNA1 CHRNA3 P2RX6	CHRNA1 P2RX6	CHRNA1 P2RX6			CHRNA3 CHRNB2 P2RX6			CHRNB2 P2RX6								CHRNA1 CHRNB2										
GO_EXCITATORY_SYNAPSE											P2RX6 SYP															P2RX6 SYP			ELFN1 P2RX6	ELFN1 SYP							P2RX6 SYP			P2RX6 SYP																		
GO_EXCRETION			DRD2 MDK		CHRNA3 CHRNB2 CLCNKA			ADORA2A CHRNA3		ADORA2A AGT	CHRNA3 CHRNB2 CLCNKA		CHRNB2 DRD2		ADORA2A AGT		ADORA2A AGT									AGT MDK	DRD2 MDK		CHRNB2 DRD2	ADORA2A AGT MDK		AGT CHRNA3 CLCNKA MDK		DRD2 MDK			AGT CHRNA3 CHRNB2 MDK										ADORA2A CLCNKA	CHRNB2 CLCNKA	ADORA2A AGT CLCNKA MDK									
GO_EXOCYTIC_VESICLE			DRD2 KIF1A SYNGR3 SYT5										DPYSL3 DRD2				RAB26 SYNGR3 SYP						DPYSL3 SYP							DPYSL3 SYNGR3 SYP SYT5		DPYSL3 RAB26 SLC6A17 SYNGR3							RAB26 SYP	SLC6A17 SYP				KIF1A RAB26 SLC6A17 SYT5								DPYSL3 SLC6A17 SYP SYT5	DPYSL3 RAB26					
GO_EXOCYTOSIS													CADPS CHRNB2 CRISPLD2 DRD2	AMPD3 ARHGAP9 CADPS CPLX1 RAB26			ADORA2A RAB26 SYNGR3 SYP															AMPD3 ARHGAP9 CACNA1H CADPS CHGA CPLX1 CRISPLD2 LTF RAB26 SYNGR3		AMPD3 ARHGAP9 CADPS CPLX1 CRISPLD2 DRD2 KIT LTF RAB26 SCG3 SPARC									ADORA2A AMPD3 KIT													AMPD3 ARHGAP9 CPLX1 CRISPLD2		
GO_EXOPEPTIDASE_ACTIVITY			CPA1 VASH2												CPE DPEP1											CPA1 CPE DPEP1	DPEP1 VASH2			CPA1 CPE											CPE DPEP1 VASH2			CPA1 DPEP1			CPA1 CPE		CPA1 CPE									
GO_EXTERNAL_SIDE_OF_PLASMA_MEMBRANE						IGHG1 KIT																																								CDH5 CRLF1 GFRA1							CRLF1 IGHG1 KIT					
GO_EXTRACELLULAR_LIGAND_GATED_ION_CHANNEL_ACTIVITY					CHRNA3 CHRNB2				CHRNB2 P2RX6		CHRNA1 CHRNA3 CHRNB2 GABRE P2RX6	CHRNA1 CHRNB2 P2RX6														GABRE P2RX6	CHRNA1 GABRE		CHRNA1 CHRNB2 GABRE P2RX6			CHRNA1 CHRNA3 P2RX6	CHRNA1 P2RX6	CHRNA1 P2RX6			CHRNA3 CHRNB2 GABRE P2RX6		CHRNA3 GABRE	CHRNB2 P2RX6								CHRNA1 CHRNB2	GABRE P2RX6									
GO_EXTRACELLULAR_MATRIX			AMBP COL16A1 LINGO1 MDK MMP11 MMP2 SFRP1 SPARC TFPI2		ADAMTSL2 AMBP CRISPLD2 GPC2 MATN2				CRISPLD2 GPC2 LRIG1 LTBP2 MATN2 MMP11 PRELP SMOC2 TFPI2	AGT GDF10 MUC5AC TFPI2	ADAMTSL2 CRISPLD2 GDF10 GPC2 LINGO1 MMP11 SFRP1 TFPI2	GDF10 LINGO1 LTBP2 MMP11 PRELP SPARC SPON2	CRISPLD2 LRIG1 LTBP2 SPON2		AGT AMBP COL16A1 LINGO1 LTBP2 SMOC2 TFPI2									COL16A1 LTBP2 TFPI2		AGT AMBP MDK SFRP1 SMOC2	COL16A1 LTBP2 MATN2 MDK MMP2 SFRP1 SPARC		ADAMTSL2 AMBP COL16A1 CRISPLD2 ELFN1 LINGO1 LRRN2 PRELP SFRP1 SMOC2 SPON2 TFPI2	ADAMTSL2 AGT AMBP COL16A1 ELFN1 LINGO1 LRIG1 LRRN2 MATN2 MDK MMP2 PRELP SMOC2 TFPI2		ADAMTSL2 AGT AMBP COL16A1 CRISPLD2 GPC2 LINGO1 LRRN2 MATN2 MDK MMP2 PRELP SPON2	AMBP CRISPLD2 GPC2 MMP2 PRELP SPON2	CRISPLD2 GDF10 LINGO1 LRIG1 LRRN2 MATN2 MDK MMP2 PRELP SMOC2 SPARC SPON2		ADAMTSL2 COL16A1 GPC2 LINGO1 LTBP2 MATN2 PRELP SPON2	AGT AMBP COL16A1 CRISPLD2 GDF10 LINGO1 LRRN2 MATN2 MDK MMP2 SMOC2	AGT CRISPLD2 ELFN1 MMP2			ADAMTSL2 GPC2 LRIG1 LTBP2 MATN2 MMP2 SFRP1 TFPI2			ELFN1 LRRN2 LTBP2 MATN2 MMP2 SFRP1 SMOC2 TFPI2		ADAMTSL2 LINGO1 LRIG1 LRRN2 SMOC2 TFPI2	COL16A1 GDF10 LINGO1 LRRN2 MMP11 SMOC2 SPARC	AMBP COL16A1 GPC2 LRIG1 LRRN2 LTBP2 MATN2 MMP11 PRELP SPARC SPON2 TFPI2	ADAMTSL2 AGT AMBP COL16A1 GDF10 LINGO1 LTBP2 MDK MMP11 TFPI2			AMBP COL16A1 CRISPLD2 GDF10 LINGO1 LRIG1 LRRN2 LTBP2 MATN2 MMP11 MUC5AC SMOC2 SPARC	AMBP COL16A1 LTBP2 MATN2 MMP11			CRISPLD2 GDF10 LRIG1	LTBP2 MATN2 MDK SFRP1	GDF10 LRRN2 SFRP1 SMOC2 TFPI2
GO_EXTRACELLULAR_MATRIX_BINDING																																		SMOC2 SPARC													SMOC2 SPARC					SMOC2 SPARC						
GO_EXTRACELLULAR_MATRIX_DISASSEMBLY			MMP11 MMP2 NOXO1						MMP11 NOXO1																							MMP2 NOXO1					MMP2 NOXO1			MMP11 NOXO1							MMP11 NOXO1					MMP11 NOXO1						
GO_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT			COL16A1 SPARC TFPI2						LTBP2 MATN2 PRELP TFPI2	MUC5AC TFPI2		LTBP2 PRELP SPARC		MATN2 PRELP	COL16A1 LTBP2 TFPI2									COL16A1 LTBP2 TFPI2			COL16A1 LTBP2 MATN2 SPARC		COL16A1 PRELP TFPI2	COL16A1 MATN2 PRELP TFPI2		COL16A1 MATN2 PRELP		MATN2 PRELP SPARC		COL16A1 LTBP2 MATN2 PRELP					LTBP2 MATN2 TFPI2			LTBP2 MATN2 TFPI2				COL16A1 LTBP2 MATN2 PRELP SPARC TFPI2	COL16A1 LTBP2 TFPI2			COL16A1 LTBP2 MATN2 MUC5AC SPARC	COL16A1 LTBP2 MATN2				LTBP2 MATN2	
GO_EXTRACELLULAR_STRUCTURE_ORGANIZATION			COL16A1 JAM3 MMP11 MMP2 NOXO1 SPARC						CRISPLD2 MMP11 NOXO1 SMOC2						AGT COL16A1 SMOC2		AGT NOXO1													ADAMTSL2 AGT COL16A1 JAM3 MMP2 SMOC2		ADAMTSL2 AGT COL16A1 CRISPLD2 MMP2 NOXO1					AGT COL16A1 CRISPLD2 MMP2 NOXO1 SMOC2	AGT CRISPLD2 MMP2								ADAMTSL2 NOXO1 SMOC2	COL16A1 MMP11 NOXO1 SMOC2 SPARC		ADAMTSL2 AGT COL16A1 MMP11			COL16A1 CRISPLD2 MMP11 NOXO1 SMOC2 SPARC						
GO_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY			FAIM2 ITPRIP SFRP1								FAIM2 G0S2 ITPRIP MLLT11 SFRP1		FAIM2 ITPRIP													AGT ITPRIP SCG2 SFRP1			FAIM2 ITPRIP MLLT11 SCG2 SFRP1	AGT FAIM2 MLLT11 SCG2									FAIM2 ITPRIP										AGT G0S2 MLLT11								MLLT11 SFRP1	
GO_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_VIA_DEATH_DOMAIN_RECEPTORS			FAIM2 ITPRIP SFRP1								FAIM2 ITPRIP SFRP1		FAIM2 ITPRIP													ITPRIP SFRP1	ITPRIP SFRP1		FAIM2 ITPRIP SFRP1										FAIM2 ITPRIP																			
GO_EXTRINSIC_COMPONENT_OF_CYTOPLASMIC_SIDE_OF_PLASMA_MEMBRANE												GNAO1 GNG4																																					GNAO1 GNG4									
GO_EXTRINSIC_COMPONENT_OF_MEMBRANE																														CDH22 CDH5 GNAO1 GNG4							CDH5 GFRA1 GNAO1 GNG4 SOCS1									CDH5 GFRA1 GNAO1			CDH22 CDH5 GFRA1 GNAO1 GNG4									
GO_EXTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE				CDH22 CDH5																									CDH22 CDH5 GNG4	CDH22 CDH5 GNAO1 GNG4		CDH22 CDH5 GNAO1	CDH5 GNAO1	CDH22 GNAO1 GNG4			CDH5 GNAO1 GNG4									CDH5 GNAO1			CDH22 CDH5 GNAO1 GNG4			CDH22 GNAO1 GNG4						
GO_EYE_MORPHOGENESIS		FJX1 NKD1	PROX1 SDK2 WNT9A	DLL1 WNT9A	DLL1 SDK2 WNT9A				FJX1 NKD1 WNT9A		FJX1 IGFN1 NKD1 PROX1 WNT9A	DLL1 IGFN1 NKD1 PROX1						FJX1 SDK2														IGFN1 SDK2 WNT9A	SDK2 WNT9A	NKD1 PROX1 SDK2			IGFN1 NKD1 PROX1 SDK2		DLL1 FJX1					DLL1 FJX1 NKD1 SDK2		FJX1 SDK2	FJX1 IGFN1 NKD1 PROX1 SDK2 WNT9A	DLL1 IGFN1 NKD1 PROX1 SDK2 WNT9A				DLL1 IGFN1 WNT9A		SDK2 WNT9A		PROX1 WNT9A		FJX1 IGFN1 WNT9A
GO_EYE_PHOTORECEPTOR_CELL_DIFFERENTIATION																																		NKD1 SDK2			NKD1 SDK2							NKD1 SDK2			NKD1 SDK2	NKD1 SDK2										
GO_E_BOX_BINDING																													ATOH8 NEUROD2			ATOH8 NEUROD1		ATOH8 NEUROD1										NEUROD1 NEUROD2														
GO_FACE_DEVELOPMENT																																CRISPLD2 MMP2	CRISPLD2 MMP2	CRISPLD2 MMP2			CRISPLD2 MMP2	CRISPLD2 MMP2																				
GO_FAT_CELL_DIFFERENTIATION			MMP11 SFRP1 WIF1								FFAR2 GDF10 MMP11 SFRP1	CCDC85B FFAR2 GDF10 MMP11 SOCS1																																			CCDC85B GDF10 MMP11 SOCS1		FFAR2 GDF10 MMP11									
GO_FAT_SOLUBLE_VITAMIN_BIOSYNTHETIC_PROCESS																																					CYP27A1 PLTP										CYP27A1 PLTP		CYP27A1 PLTP			CYP27A1 PLTP						
GO_FAT_SOLUBLE_VITAMIN_METABOLIC_PROCESS																														CYP27A1 RBP1							CYP27A1 PLTP RBP1							PLTP RBP1			CYP27A1 PLTP	CYP27A1 RBP1	CYP27A1 PLTP			CYP27A1 PLTP RBP1						
GO_FC_RECEPTOR_MEDIATED_STIMULATORY_SIGNALING_PATHWAY																																																					IGHG1 PLCG2					
GO_FC_RECEPTOR_SIGNALING_PATHWAY						IGHG1 KIT																																															IGHG1 KIT PLCG2					
GO_FEAR_RESPONSE																										MDK NEUROD2	MDK NEUROD2			MDK NEUROD2												MDK NEUROD2							MDK NEUROD2								MDK NEUROD2	
GO_FEEDING_BEHAVIOR			DRD2 GAL	CHRNB2 GAL	CHRNB2 GAL				CHRNB2 GAL	ADORA2A AGT		CHRNB2 GAL	CHRNB2 DRD2		ADORA2A AGT DACH1		ADORA2A AGT									AGT DACH1 GAL			CHRNB2 DACH1 DRD2 GAL	ADORA2A AGT DACH1 GAL		AGT DACH1 GAL					AGT CHRNB2 GAL			CHRNB2 DACH1									ADORA2A AGT GAL									
GO_FEMALE_SEX_DIFFERENTIATION																										DACH1 SFRP1																																
GO_FERTILIZATION		CACNA1H CATSPERB																																																								
GO_FIBROBLAST_PROLIFERATION															AGT DACH1											AGT DACH1 SFRP1				AGT DACH1														DACH1 SFRP1														
GO_FICOLIN_1_RICH_GRANULE					AMPD3 CRISPLD2																																																			AMPD3 CRISPLD2		
GO_FILAMENTOUS_ACTIN																											DPYSL3 JAM3			DPYSL3 JAM3																												
GO_FILAMIN_BINDING		DPYSL3 DPYSL4																																														DPYSL3 DPYSL4										
GO_FILOPODIUM_ASSEMBLY													DPYSL3 PPP1R16B														DPYSL3 PPP1R16B					DPYSL3 PPP1R16B		DPYSL3 PPP1R16B																								
GO_FOCAL_ADHESION_ASSEMBLY			ACTN3 COL16A1 SFRP1																							ACTN3 SFRP1	ACTN3 COL16A1 SFRP1		COL16A1 SFRP1							ACTN3 COL16A1					ACTN3 SFRP1											ACTN3 COL16A1						
GO_FOREBRAIN_DEVELOPMENT			CSF1R DRD2 KIF1A MDK PROX1 SLC1A2 SSTR1		CHRNB2 CSF1R EPHB3 SLC1A2								CHRNB2 DRD2 SLC1A2 SSTR2											EPHB3 SSTR1 TOX			DRD2 EPHB3 MDK SSTR1 SSTR2 TOX		CHRNB2 CSF1R DRD2 EPHB3 NEUROG3 SLC1A2 SSTR1					CSF1R DRD2 EPHB3 MDK NEUROD1 PROX1 SLC1A2 SSTR2 TOX													CSF1R EPHB3 PROX1 SLC1A2 SSTR1	CHRNB2 CSF1R EPHB3 PROX1 SLC1A2 SSTR2 TOX										
GO_FOREBRAIN_GENERATION_OF_NEURONS			CSF1R PROX1									CSF1R PROX1																						CSF1R PROX1													CSF1R PROX1	CSF1R PROX1										
GO_FOREBRAIN_NEURON_DIFFERENTIATION			CSF1R PROX1									CSF1R PROX1																						CSF1R PROX1													CSF1R PROX1	CSF1R PROX1										
GO_FORMATION_OF_PRIMARY_GERM_LAYER																																									ATOH8 MMP2																	
GO_FRIZZLED_BINDING			SFRP1 WNT9A								SFRP1 WNT9A																																															SFRP1 WNT9A
GO_GABA_RECEPTOR_ACTIVITY																											GABBR2 GABRE			GABBR2 GABRE																			GABBR2 GABRE									
GO_GABA_RECEPTOR_COMPLEX																											GABBR2 GABRE			GABBR2 GABRE																			GABBR2 GABRE									
GO_GAMETE_GENERATION																										CATSPERB CELF3 HSPA2 JAM3 MDK PTGDR2 SSTR1	CATSPERB CELF3 HSPA2 JAM3 MDK SSTR1 SSTR2																CATSPERB KIT															
GO_GAMMA_AMINOBUTYRIC_ACID_SIGNALING_PATHWAY																											GABBR2 GABRE			GABBR2 GABRE																			GABBR2 GABRE									
GO_GANGLION_DEVELOPMENT																													INSM1 TUBB3					INSM1 RGS4							RGS4 TUBB3			INSM1 TUBB3				INSM1 TUBB3										
GO_GASTRULATION																																									ATOH8 MMP2 SFRP1																	
GO_GATED_CHANNEL_ACTIVITY				ABCC8 CHRNB2 KCNJ11 SCN3A	ABCC8 CHRNA3 CHRNB2 CLCNKA KCNF1 KCNJ11 SCN1B						ABCC8 CHRNA1 CHRNA3 CHRNB2 CLCNKA GABRE KCNF1 KCNH6 P2RX6 SCN1B SCN3A	ABCC8 CHRNA1 CHRNB2 KCNH6 P2RX6			ABCC8 KCNH6 KCNK3									KCNK3 SCN3A					CACNA1H CACNG4 CHRNA1 CHRNB2 GABRE KCNH6 KCNJ11 KCNK3 P2RX6	CACNA1H CACNG4 GABRE KCNH6 KCNJ11 KCNK3	CHRNA3 SCN3A	ABCC8 CACNA1H CHRNA1 CHRNA3 CLCNKA KCNF1 KCNJ11 KCNK3 P2RX6	CHRNA1 KCNK3 P2RX6	ABCC8 CACNG4 CHRNA1 KCNK3 P2RX6 SCN3A		CACNA1H CLCNKA KCNK3 SCN1B	CACNA1H CHRNA3 CHRNB2 GABRE KCNH6 KCNK3 P2RX6		CHRNA3 GABRE KCNJ11	CHRNB2 KCNJ11 P2RX6				CACNA1H CACNG4 CHRNA3 KCNH6 KCNJ11			ABCC8 CHRNA1 CLCNKA KCNF1 KCNH6 KCNJ11 KCNK3 SCN1B	CHRNA1 CHRNB2 CLCNKA KCNF1 KCNK3	CLCNKA GABRE P2RX6 SCN3A								KCNH6 KCNJ11 KCNK3 P2RX6 SCN1B	
GO_GERM_CELL_DEVELOPMENT																										HSPA2 JAM3 MDK																																
GO_GLANDULAR_EPITHELIAL_CELL_DEVELOPMENT																											INSM1 NKX2-2		DLL1 INSM1			INSM1 NKX2-2							DLL1 NKX2-2					DLL1 INSM1 NKX2-2				DLL1 INSM1										
GO_GLANDULAR_EPITHELIAL_CELL_DIFFERENTIATION											PROX1 RFX6	DLL1 PROX1 RFX6															INSM1 NKX2-2		DLL1 INSM1	PROX1 RFX6		INSM1 NEUROD1 NKX2-2		INSM1 NEUROD1 PROX1 RFX6		INSM1 RFX6			DLL1 NKX2-2					DLL1 INSM1 NEUROD1 NKX2-2			PROX1 RFX6	DLL1 INSM1 PROX1	PROX1 RFX6									
GO_GLAND_DEVELOPMENT			CSF1R DRD2 MDK PROX1 SFRP1																								DRD2 EPHB3 INSM1 MDK QDPR SFRP1							CSF1R DRD2 EPHB3 INSM1 MDK PROX1 QDPR																								
GO_GLAND_MORPHOGENESIS			CSF1R MDK PROX1 SFRP1																							MDK SFRP1								CSF1R MDK PROX1															MDK PROX1								MDK SFRP1	
GO_GLIAL_CELL_DEVELOPMENT			MDK SOX4					ADORA2A NKX2-2							ADORA2A SOX4											MDK SOX4	MDK NKX2-2 SOX4			ADORA2A MDK SOX4		MDK NKX2-2 SOX4							DLL1 NKX2-2										ADORA2A MDK SOX4								DLL1 MDK	
GO_GLIAL_CELL_DIFFERENTIATION				DLL1 TP73				ADORA2A NKX2-2																								MDK NKX2-2 SOX4 TP73							DLL1 NKX2-2										ADORA2A MDK SOX4								DLL1 MDK	
GO_GLIAL_CELL_PROJECTION			AKR1B1 SLC1A2																										AKR1B1 SLC1A2			AKR1B1 SLC1A2	AKR1B1 SLC1A2								AKR1B1 SLC1A2					AKR1B1 SLC1A2												
GO_GLIAL_CELL_PROLIFERATION			CSF1R SOX4									CSF1R SOX4																	CSF1R SOX4							CSF1R SOX4											CSF1R SOX4					CSF1R SOX4						
GO_GLIOGENESIS				CSF1R DLL1 TP73	CSF1R DLL1 MATN2 TP73			ADORA2A NKX2-2																			MATN2 MDK NKX2-2 SOX4			ADORA2A MATN2 MDK SOX4		MATN2 MDK NKX2-2 SOX4 TP73				CSF1R MATN2 SOX4 TP73	MATN2 MDK SOX4 TP73							DLL1 MATN2 NKX2-2 TP73			ADORA2A CSF1R SOX4 TP73					CSF1R DLL1 MATN2 SOX4 TP73					DLL1 MATN2 MDK	
GO_GLUCOCORTICOID_METABOLIC_PROCESS																													CACNA1H GAL	CACNA1H GAL		CACNA1H GAL				CACNA1H GAL	CACNA1H GAL																					
GO_GLUTAMATERGIC_SYNAPSE			CPLX1 DRD2 RGS9 SLC1A2 SPARC	CNIH2 NPTXR RGS9	CADPS NPTX1 NPTXR SLC1A2			ADORA2A NPTXR					CADPS DRD2 SLC1A2		ADORA2A CNIH2 NPTX1 SLC1A2												CADPS CNIH2 CPLX1 DRD2 RGS9 SPARC		CACNG4 CADPS CNIH2 CPLX1 DRD2 P2RX6 SLC1A2			CADPS CPLX1 NPTX1 P2RX6 SLC1A2 SLC6A17	CADPS P2RX6 SLC1A2	CACNG4 CADPS CPLX1 DRD2 NPTX1 NPTXR P2RX6 RGS9 SLC1A2 SPARC			CADPS CPLX1 NPTXR P2RX6 RGS9 SLC6A17			CADPS CNIH2 CPLX1 P2RX6 RGS9 SLC6A17	CNIH2 CPLX1 NPTX1 SLC1A2			CACNG4 CADPS CNIH2 RGS9 SLC6A17			ADORA2A CNIH2 CPLX1 RGS9 SLC1A2 SPARC					CACNG4 CADPS CNIH2 CPLX1 NPTXR RGS9 SLC6A17 SPARC				CPLX1 RGS9	CNIH2 P2RX6 RGS9	
GO_GLUTAMATE_RECEPTOR_BINDING																													CACNG4 DRD2	ADORA2A CACNG4				CACNG4 DRD2																								
GO_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY			RGS9 SSTR1	CNIH2 RGS9					RGS9 SSTR1			CNIH2 RGS9 SSTR1			CNIH2 SSTR1											CNIH2 SSTR1	CNIH2 RGS9 SSTR1		CACNG4 CNIH2 SSTR1											CNIH2 RGS9				CACNG4 CNIH2 RGS9 SSTR1			CNIH2 RGS9 SSTR1					CACNG4 CNIH2 RGS9 SSTR1					CNIH2 RGS9	
GO_GLUTAMATE_SECRETION			CPLX1 SLC1A2												ADORA2A SLC1A2														CPLX1 SLC1A2	ADORA2A CPLX1		CPLX1 SLC1A2		CPLX1 SLC1A2							CPLX1 SLC1A2						ADORA2A CPLX1 SLC1A2		ADORA2A CPLX1									
GO_GLUTAMINE_TRANSPORT																																															SLC38A3 SLC38A5					SLC38A3 SLC38A5						SLC38A3 SLC38A5
GO_GLYCEROPHOSPHOLIPID_METABOLIC_PROCESS			CSF1R ENPP2 FAM126A PLCG2																															CSF1R ENPP2 FAM126A PLCG2 SOCS1																								
GO_GLYCINE_TRANSPORT											RGS4 SLC38A5 SLC6A17																							RGS4 SLC38A5			SLC38A5 SLC6A17															SLC38A5 SLC6A17						
GO_GLYCOLIPID_BINDING																										DPEP1 HSPA2	DPEP1 HSPA2																															
GO_GLYCOSAMINOGLYCAN_BINDING			MDK PODXL2 SFRP1		CRISPLD2 LTF PODXL2				CRISPLD2 DPYSL3 LTBP2 PODXL2 PRELP SMOC2			LTBP2 LTF PODXL2 PRELP	CRISPLD2 DPYSL3 LTBP2											LTBP2 PODXL2		MDK PODXL2 SFRP1 SMOC2	DPYSL3 LTBP2 MDK PODXL2 SFRP1		CRISPLD2 LTF PODXL2 PRELP SFRP1 SMOC2	DPYSL3 MDK PRELP SMOC2		CRISPLD2 DPYSL3 LTF MDK PRELP		CRISPLD2 DPYSL3 LTF MDK PRELP SMOC2	LTF SMOC2		CRISPLD2 DPYSL3 MDK PODXL2 SMOC2	CRISPLD2 LTF PODXL2			LTBP2 PODXL2 SFRP1							DPYSL3 LTBP2 LTF PRELP				CRISPLD2 DPYSL3 LTBP2 PODXL2 SMOC2	DPYSL3 LTBP2				LTBP2 MDK SFRP1	
GO_GLYCOSYL_COMPOUND_METABOLIC_PROCESS																								AKR1B1 AMPD3																	AKR1B1 AMPD3					AKR1B1 AMPD3												
GO_GOLGI_APPARATUS								ADORA2A MUC5AC RAB39B TMEM59L		ADORA2A CABP7 GLT8D2 MUC5AC	CNIH2 FAIM2 GAL GFRA1 GLT8D2 GOLGA7B GPC2 JAM3 MAP6 MMP11 MUC15 PDE2A PODXL2 RAB39B STMN3 TP73																																															
GO_GOLGI_ASSOCIATED_VESICLE																																								CNIH2 MAP6																		
GO_GOLGI_LUMEN			MMP11 MUC15 PODXL2		GPC2 PODXL2				GPC2 MMP11 PODXL2 PRELP		GPC2 MMP11 MUC15 PODXL2	MMP11 MUC15 PODXL2 PRELP																	MUC15 PODXL2 PRELP				GPC2 PRELP			GPC2 PRELP					GPC2 PODXL2							GPC2 MMP11 MUC15 PRELP				MMP11 MUC5AC PODXL2						
GO_GOLGI_MEMBRANE						ADORA2A RAB39B TMEM59L		ADORA2A RAB39B TMEM59L									ADORA2A RAB26 TMEM59L								RAB39B TMEM59L						RAB39B TMEM59L																											
GO_GRANULOCYTE_CHEMOTAXIS			CSF1R JAM3 MDK		CSF1R DPEP1									CSF1R JAM3												DPEP1 JAM3 MDK SCG2	DPEP1 JAM3 MDK		CSF1R JAM3 SCG2	JAM3 MDK SCG2				CSF1R MDK SCG2																								
GO_GRANULOCYTE_MIGRATION			CSF1R JAM3 MDK											CD99L2 CSF1R JAM3												DPEP1 JAM3 MDK SCG2	CD99L2 DPEP1 JAM3 MDK		CD99L2 CSF1R JAM3 SCG2	JAM3 MDK SCG2		CD99L2 MDK SCG2		CSF1R MDK SCG2																								
