	ARNT2	ARX	ASCL1	ASCL2	E2F7	EBF3	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	HES4	HIC1	HLF	HMBOX1	ISL1	LMX1A	LMX1B	LTF	MAFA	MAFB	NEUROD2	NFAT5	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	PLAG1	POU2F2	POU5F1	SIX2	SMAD9	SOX4	SPIB	TET1	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF519	ZNF846	ZNF883
REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR2																																				FGF17 FGF9										
REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR3																																				FGF17 FGF9										
REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR4																																				FGF17 FGF9										
REACTOME_ECM_PROTEOGLYCANS																																				BGN ITGA7 VCAN										
REACTOME_EFFECTS_OF_PIP2_HYDROLYSIS																																	ITPR1 PRKCH													
REACTOME_EPH_EPHRIN_MEDIATED_REPULSION_OF_CELLS									EPHA4 EPHB3												EFNB3 VAV3	EPHB3 VAV3									EPHA4 EPHB3								MMP2 VAV3							
REACTOME_EPH_EPHRIN_SIGNALING									EPHA4 EPHB3												EFNB3 VAV3	EPHB3 VAV3									EPHA4 EPHB3								MMP2 VAV3							
REACTOME_ER_TO_GOLGI_ANTEROGRADE_TRANSPORT																																				ANK2 CNIH2 SPTBN4 TUBA1A TUBB2B								SPTBN4 TUBA1A		
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION							ADAM12 COL12A1 SPP1				SPOCK3 VCAN					COL12A1 COL21A1 JAM3													COL21A1 ITGA7 LTBP2 MMP2					ADAM12 COL12A1 COL21A1 COL22A1 LTBP2 MMP2 SPP1		ADAM12 BGN ITGA7 JAM3 SPP1 VCAN			BGN JAM3 MMP2 SPOCK3							
REACTOME_EXTRA_NUCLEAR_ESTROGEN_SIGNALING																												BCL2 GNG4						AKT3 MMP2		AKT3 GNG2 GNG4										
REACTOME_FACTORS_INVOLVED_IN_MEGAKARYOCYTE_DEVELOPMENT_AND_PLATELET_PRODUCTION												CENPE TUBA1A												KIF5A TUBB2B				DOCK4 KIF1A TUBB2B					DOCK8 TUBA1A				CENPE TUBB2B						DOCK8 KIF5A TUBB2B			
REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS																			ACSL6 ELOVL4																											
REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION															ITPR1 PLCG2																								PLCG2 VAV3							
REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION																						MAPK10 VAV3																	PLCG2 VAV3							
REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS															ITPR1 PLCG2																															
REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS											ADCY1 ADCY5				ITPR1 PLCG2				ADCY2 ITPR1									ADCY1 ITPR1											ADCY2 PLCG2							
REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING															ITPR1 PLCG2																															
REACTOME_FGFR1C_LIGAND_BINDING_AND_ACTIVATION																																				FGF17 FGF9										
REACTOME_FGFR1_LIGAND_BINDING_AND_ACTIVATION																																				FGF17 FGF9										
REACTOME_FGFR1_MUTANT_RECEPTOR_ACTIVATION																																				FGF17 FGF9										
REACTOME_FGFR2C_LIGAND_BINDING_AND_ACTIVATION																																				FGF17 FGF9										
REACTOME_FGFR2_LIGAND_BINDING_AND_ACTIVATION																																				FGF17 FGF9										
REACTOME_FGFR2_MUTANT_RECEPTOR_ACTIVATION																																				FGF17 FGF9										
REACTOME_FGFR3B_LIGAND_BINDING_AND_ACTIVATION																																				FGF17 FGF9										
REACTOME_FGFR3_LIGAND_BINDING_AND_ACTIVATION																																				FGF17 FGF9										
REACTOME_FLT3_SIGNALING		CAMK2B DLG2 GFRA3		DLG2 KSR2				FGF17 GFRA1 GFRA3 RET SPRED3		DLG2 KSR2																										DLG2 FGF17 FGF9 MAPK12 RASAL1 RET SPRED3 SPTBN4										
REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC																																				TUBA1A TUBB2B										
REACTOME_FOXO_MEDIATED_TRANSCRIPTION																					AKT3 NPY																									
REACTOME_FRS_MEDIATED_FGFR1_SIGNALING																																				FGF17 FGF9										
REACTOME_FRS_MEDIATED_FGFR2_SIGNALING																																				FGF17 FGF9										
REACTOME_FRS_MEDIATED_FGFR3_SIGNALING																																				FGF17 FGF9										
REACTOME_FRS_MEDIATED_FGFR4_SIGNALING																																				FGF17 FGF9										
REACTOME_GABA_B_RECEPTOR_ACTIVATION				ADCY5 KCNJ2					ADCY1 GABBR2		ADCY1 ADCY5												ADCY2 KCNJ2					ADCY1 GNG4						ADCY1 GABBR2		ADCY2 GNG2 GNG4			ADCY2 KCNJ6				GNG2 KCNJ6			
REACTOME_GABA_RECEPTOR_ACTIVATION				ADCY5 KCNJ2					ADCY1 GABBR2 GABRB3		ADCY1 ADCY5												ADCY2 KCNJ2					ADCY1 GNG4						ADCY1 GABBR2		ADCY2 GNG2 GNG4			ADCY2 KCNJ6				GNG2 KCNJ6			
REACTOME_GABA_SYNTHESIS_RELEASE_REUPTAKE_AND_DEGRADATION		SNAP25 STX1A												STX1A STXBP1																						SNAP25 STX1A										
REACTOME_GAP_JUNCTION_ASSEMBLY																								GJD2 TUBB2B												TUBA1A TUBB2B	GJD2 TUBB2B									
REACTOME_GAP_JUNCTION_TRAFFICKING_AND_REGULATION																								GJD2 TUBB2B												TUBA1A TUBB2B	GJD2 TUBB2B									
REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES																																										EVL HLA-DQA2				
REACTOME_GLI_PROTEINS_BIND_PROMOTERS_OF_HH_RESPONSIVE_GENES_TO_PROMOTE_TRANSCRIPTION																												BOC PTCH1																		
REACTOME_GLUCAGON_LIKE_PEPTIDE_1_GLP1_REGULATES_INSULIN_SECRETION																												GNG4 ITPR1								GNG2 GNG4										
REACTOME_GLUCAGON_SIGNALING_IN_METABOLIC_REGULATION											ADCY1 ADCY5																	ADCY1 GNG4								ADCY2 GNG2 GNG4										
REACTOME_GLUCAGON_TYPE_LIGAND_RECEPTORS																																				GNG2 GNG4										
REACTOME_GLUTAMATE_NEUROTRANSMITTER_RELEASE_CYCLE		SNAP25 STX1A												STX1A STXBP1																						SNAP25 STX1A										
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM										PRELP VCAN																																				
REACTOME_GOLGI_TO_ER_RETROGRADE_TRANSPORT												CENPE TUBA1A												KIF5A TUBB2B				KIF1A TUBB2B									CENPE TUBB2B						KIF5A TUBB2B			
REACTOME_GPCR_LIGAND_BINDING						APLN SSTR3		AGT AVPR1B CHRM4 CNR1 MLN SST SSTR3 UCN3	APLN BRS3 DRD2 FFAR2 GABBR2 PTCH1 SST UCN3							ADORA2A APLN FFAR2 GNG2 SSTR1 TAC3									GABBR2 PTCH1 SSTR1 WNT9A					ADORA2A GNG4 NPY SST									ADORA2A AGT AVPR1B GHRL MLN TAC3					CHRM4 CNR1 SSTR3 WNT9A	AGT APLN BRS3 MLN PTHLH TAC3	
REACTOME_GPVI_MEDIATED_ACTIVATION_CASCADE																																							PLCG2 VAV3							
REACTOME_G_ALPHA_12_13_SIGNALLING_EVENTS																														GNG4 VAV3																
REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	NPY PRKCG SSTR3	CAMK2B CHRM4 PRKCG RGS4				APLN GPC2 SSTR3		AGT APOB CHRM4 CNR1 GPC2 PRKCG RGS4 SST SSTR3	ADCY1 APLN GABBR2 RGS9 SST		ADCY1 ADCY5 APLN	RBP1 RGS17 RGS5		ADCY1 PRKCG SSTR1		APLN GNG2 LRAT SSTR1	AGT GNAO1 RGS4 SSTR2		ADCY2 CHRM4 GPC2 ITPR1 RGS17 RGS4		LRAT NPY RBP1 SST							ADCY1 APLN GNG4 ITPR1		GNG4 NPY RGS17 SST			APLN ITPR1	ADCY1 CHRM4 GABBR2 GPC2 HRH3 LRAT RGS9						CLPS RGS17		AGT GNAO1 HRH3		CHRM4 CNR1 SSTR3	AGT APLN CAMK2B ITPR1 LRAT	
REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS								AGT AVPR1B MLN RGS4		GHRL RGS17		RGS17 RGS5				FFAR2 GNG2 TAC3	AGT RGS4		ITPR1 MLN RGS17 RGS4											GNG4 PRKCH RGS17			ITPR1 PRKCH			AGT BRS3 GNG2 GNG4 RGS4 TAC3			AGT AVPR1B GHRL MLN TAC3	RGS17 TAC3	AVPR1B RGS4		BRS3 FFAR2 GNG2		AGT BRS3 ITPR1 MLN TAC3	
REACTOME_G_ALPHA_Z_SIGNALLING_EVENTS	PRKCG PRKCH	PRKCG RGS4						PRKCG RGS4		ADCY5 RGS17	ADCY1 ADCY5			ADCY1 PRKCG					ADCY2 RGS17 RGS4					ADCY1 PRKCH				ADCY1 GNG4		GNG4 PRKCH RGS17						ADCY2 GNG2 GNG4 RGS4										
REACTOME_G_BETA_GAMMA_SIGNALLING_THROUGH_CDC42																																				GNG2 GNG4										
REACTOME_G_BETA_GAMMA_SIGNALLING_THROUGH_PI3KGAMMA																																				AKT3 GNG2 GNG4										
REACTOME_G_PROTEIN_ACTIVATION																																				GNAO1 GNG2 GNG4										
REACTOME_G_PROTEIN_BETA_GAMMA_SIGNALLING																																				AKT3 GNG2 GNG4										
REACTOME_G_PROTEIN_MEDIATED_EVENTS		CAMK2B PRKCG									ADCY1 ADCY5			ADCY1 PRKCG					ADCY2 ITPR1									ADCY1 ITPR1																	CAMK2B ITPR1	
REACTOME_HEDGEHOG_OFF_STATE									ADCY1 PTCH1		ADCY1 ADCY5 TUBB4A													ADCY1 TUBB2B				ADCY1 PTCH1 TUBB2B																		
REACTOME_HEDGEHOG_ON_STATE																									DZIP1 PTCH1			BOC PTCH1																		
REACTOME_HEMOSTASIS												ANGPT2 CENPE MMRN1 TUBA1A				ANGPT2 GNG2 JAM3 PLCG2 TUBB2B												DOCK4 GNG4 ITPR1 KIF1A TUBB2B		GNG4 KIF1A PRKCH VAV3		ANGPT2 CENPE	DOCK8 ITPR1 PRKCH TUBA1A										DOCK8 GNG2 KIF5A SLC8A1 TUBB2B			
REACTOME_HEPARAN_SULFATE_HEPARIN_HS_GAG_METABOLISM																																							BGN GPC2							
REACTOME_HIGHLY_CALCIUM_PERMEABLE_NICOTINIC_ACETYLCHOLINE_RECEPTORS											CHRNA3 CHRNB2																																			
REACTOME_HIGHLY_CALCIUM_PERMEABLE_POSTSYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS											CHRNA3 CHRNB2																																			
REACTOME_HIGHLY_SODIUM_PERMEABLE_POSTSYNAPTIC_ACETYLCHOLINE_NICOTINIC_RECEPTORS											CHRNA3 CHRNB2																																			
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL															CD200 CD96																															
REACTOME_INCRETIN_SYNTHESIS_SECRETION_AND_INACTIVATION																					PAX6 PCSK1															ISL1 PCSK1			ISL1 PCSK1							
REACTOME_INFECTIOUS_DISEASE											ADCY1 ADCY5 STX1A TUBB4A																			ADORA2A GNG4 SNAP25 VAV3																
REACTOME_INSULIN_PROCESSING								CPE KIF5A PCSK2											PCSK2 STX1A																	KIF5A PCSK1 PCSK2 STX1A			CPE PCSK1 PCSK2				CPE KIF5A			
REACTOME_INTEGRATION_OF_ENERGY_METABOLISM		SNAP25 STX1A			CACNA1C KCNJ11 RAPGEF4 SNAP25						ADCY1 ADCY5 STX1A			ADCY1 STX1A STXBP1 SYT5			CACNA1C SNAP25		ADCY2 ITPR1 STX1A									ADCY1 GNG4 ITPR1		GNG4 SNAP25						ABCC8 ADCY2 CACNA1A CACNA1C GNG2 GNG4 SNAP25 STX1A							GNG2 SYT5		ITPR1 KCNJ11	
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS																																				ITGA7 JAM3 SPP1										
REACTOME_INTERACTION_BETWEEN_L1_AND_ANKYRINS								ANK2 SCN1B																												ANK2 NFASC SCN1B SPTBN4										
REACTOME_INTERCONVERSION_OF_NUCLEOTIDE_DI_AND_TRIPHOSPHATES																																													AK5 CTPS1	
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING		MX1 MX2			MX1 RSAD2										MX2 XAF1	IFI27 MX2				BST2 IFI27 XAF1														MX2 RSAD2								BST2 XAF1				
REACTOME_INTERFERON_SIGNALING		CAMK2B MX1 MX2			MX1 RSAD2 USP41										HERC5 MX2 XAF1					BST2 IFI27 XAF1																						BST2 HLA-DQA2 USP41 XAF1				
REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS											ADCY1 ADCY5 FGF9			ADCY1 PRKCG RRAGD														ADCY1 FGF9 ITPR1																		
REACTOME_INTRA_GOLGI_AND_RETROGRADE_GOLGI_TO_ER_TRAFFIC												CENPE TUBA1A												KIF5A TUBB2B																						
REACTOME_INWARDLY_RECTIFYING_K_CHANNELS																									GABBR2 KCNJ11											ABCC8 GNG2 GNG4							GNG2 KCNJ6			
REACTOME_ION_CHANNEL_TRANSPORT		CAMK2B TRPM2 UNC79		ATP1A3 TRPM2	ATP6V1B1 UNC79 WNK3		ATP6V1B1 WNK2					CLCN4 WNK3							ATP1A3 UNC79 WNK2																									ATP1A3 ATP8B2		
REACTOME_ION_HOMEOSTASIS		CAMK2B SLC8A1																	ATP1A3 ITPR1																										CAMK2B ITPR1 KCNJ11	
REACTOME_ION_TRANSPORT_BY_P_TYPE_ATPASES																																												ATP1A3 ATP8B2		
REACTOME_IRS_MEDIATED_SIGNALLING																																				FGF17 FGF9										
REACTOME_KINESINS												CENPE TUBA1A												KIF5A TUBB2B				KIF1A TUBB2B								KIF5A TUBA1A TUBB2B	CENPE TUBB2B						KIF5A TUBB2B			
REACTOME_L1CAM_INTERACTIONS		GAP43 TUBB2B																																		ANK2 CHL1 GAP43 NFASC SCN1B SPTBN4 TUBA1A TUBB2B								SPTBN4 TUBA1A		
REACTOME_LEISHMANIA_INFECTION											ADCY1 ADCY5				ITPR1 PLCG2	ADORA2A GNG2 PLCG2						GGT5 PTHLH VAV3						ADCY1 GNG4 ITPR1		ADORA2A GNG4 VAV3									ADCY2 ADORA2A DPEP1 GGT5 PLCG2 VAV3							
REACTOME_LIGAND_RECEPTOR_INTERACTIONS																												BOC PTCH1																		
REACTOME_LONG_TERM_POTENTIATION		CAMK2B DLG2																																												
REACTOME_LTC4_CYSLTR_MEDIATED_IL4_PRODUCTION																																							DPEP1 GGT5							
REACTOME_MAPK6_MAPK4_SIGNALING																																							MAPK4 MMP2					MAPK4 MMP2		
REACTOME_MAPK_FAMILY_SIGNALING_CASCADES				DLG2 KSR2				FGF17 GFRA1 GFRA3 RET SPRED3		DLG2 KSR2																										DLG2 FGF17 FGF9 MAPK12 RASAL1 RET SPRED3 SPTBN4			DLG2 MAPK4 MMP2 RASAL1					MAPK4 MMP2 SPRED3 SPTBN4		
REACTOME_METABOLISM_OF_ANGIOTENSINOGEN_TO_ANGIOTENSINS																																				AGT CPB1										
REACTOME_METABOLISM_OF_CARBOHYDRATES			FUT1 GPC2							PRELP VCAN																																			AKR1B1 B3GAT1 FUT1	
REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS								APOB GPC2													LRAT RBP1													GPC2 LRAT					GPC2 LRAT							
REACTOME_METABOLISM_OF_NUCLEOTIDES																																			CTPS1 ENTPD1										AK5 CTPS1	
REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS																GCH1 LRAT																							GCH1 GPC2 LRAT							
REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION												CENPE TUBA1A												KIF5A TUBB2B													CENPE TUBB2B						KIF5A TUBB2B			
REACTOME_MITOTIC_PROMETAPHASE												CENPE TUBA1A																																		
REACTOME_MUSCLE_CONTRACTION		CAMK2B KCNJ2 KCNK17 SLC8A1		ATP1A3 KCNJ2 KCNK17	CACNA1C KCNIP3 KCNJ11 MYBPC3		FGF14 KCNIP3 MYBPC2 MYBPC3 SCN2A	CACNA1C CACNB2 KCNJ2 KCNK17 MYBPC2 SCN1B SLC8A1 TMOD2	ATP1A3 KCNK3 MYBPC3 TMOD2										ATP1A3 ITPR1 KCNK17				KCNJ2 KCNK17 SCN2A			KCNIP3 MYBPC3 SCN1B								CACNA2D1 CACNG4 KCNK16 KCNK17	KCNK16 MYBPC2	ATP1A3 CACNA1C FGF14 KCNIP3 SCN1B			CACNA1C KCNH2 KCNK3						CAMK2B FGF14 ITPR1 KCNH2 KCNJ11 SCN1B	
REACTOME_MYOGENESIS																																				BOC MAPK12										
REACTOME_NCAM1_INTERACTIONS								CACNA1C CACNB2 GFRA1																																						
REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH								CACNA1C CACNB2 GFRA1																																						
REACTOME_NEGATIVE_REGULATION_OF_FGFR1_SIGNALING																																				FGF17 FGF9										
REACTOME_NEGATIVE_REGULATION_OF_FGFR2_SIGNALING																																				FGF17 FGF9										
REACTOME_NEGATIVE_REGULATION_OF_FGFR3_SIGNALING																																				FGF17 FGF9										
REACTOME_NEGATIVE_REGULATION_OF_FGFR4_SIGNALING																																				FGF17 FGF9										
REACTOME_NEGATIVE_REGULATION_OF_NMDA_RECEPTOR_MEDIATED_NEURONAL_TRANSMISSION		CAMK2B DLG2																																												
REACTOME_NEGATIVE_REGULATION_OF_TCF_DEPENDENT_SIGNALING_BY_WNT_LIGAND_ANTAGONISTS																						SFRP1 WNT9A																								
REACTOME_NERVOUS_SYSTEM_DEVELOPMENT		GAP43 GFRA3 MSI1 PMP22 TUBB2B						ANK2 CACNA1C CACNB2 DOK6 EPHA8 GFRA1 GFRA3 PLXNC1 RET SCN1B	CRMP1 EPHA4 EPHB3 GAP43 GFRA1												CACNA1C EFNB3 GFRA3 PMP22 ROBO1 VAV3					DOK6 DPYSL4 EPHB3 MAPK12 MSI1 SCN1B			CACNA1H DPYSL4 MMP2 PMP22 SCN1B						CDK5R1 GFRA3 PLXNC1 ROBO1	ANK2 CACNA1C CHL1 DOK6 EFNB3 GAP43 ISL1 MAPK12 NFASC RET SCN1B SPTBN4 TUBA1A TUBB2B		DPYSL4 GAP43 RET	CACNA1C DSCAML1 ISL1 MMP2 PMP22 VAV3							
REACTOME_NEUREXINS_AND_NEUROLIGINS		DLG2 STX1A			DLG2 LIN7A									STX1A STXBP1																DLG2 LIN7A						DLG2 LRRTM3 STX1A										
REACTOME_NEURONAL_SYSTEM	CHRNB2 KCNJ2 PRKCG STXBP1	CAMK2B DLG2 KCNB2 KCNJ2 KCNK17 PRKCG SNAP25 STX1A SYN1 TUBB2B		ADCY5 DLG2 KCNB2 KCNH7 KCNJ2 KCNK17	DLG2 KCNG1 KCNH8 KCNJ11 LIN7A LRFN1 SNAP25 SYN1		HCN4 KCNG1 KCNH7	CACNB2 KCNB2 KCNH8 KCNJ2 KCNK17 PRKCG	ADCY1 GABBR2 GABRB3 KCNK3		ADCY1 ADCY5 CHRNA3 CHRNB2 STX1A TUBB4A			ADCY1 PPM1E PRKCG STX1A STXBP1		GNG2 KCNH3 KCNH6 TUBB2B			ADCY2 KCNK17 STX1A SYN1				ADCY2 KCNJ2 KCNK17	ADCY1 GJD2 TUBB2B				ADCY1 GNG4 HCN4 KCNH6 KCNK3 TUBB2B		DLG2 GNG4 GRIK5 LIN7A SNAP25		CPLX1 KCNH3	KCNH7 TUBA1A	ADCY1 CACNG4 CPLX1 GABBR2 KCNB2 KCNH7 KCNK16 KCNK17		ABCC8 ADCY2 CACNA1A DLG2 GNG2 GNG4 GRIK5 HCN4 KCNB2 KCNH3 KCNH6 KCNMA1 KCNMB2 LRRTM3 SNAP25 STX1A TUBA1A TUBB2B	CHRNB4 GJD2 HCN4 KCNH3 TUBB2B		ADCY2 DLG2 KCNH2 KCNJ6 KCNK3 SYN1	GRIK5 KCNH8		CACNA1B GRIK3 KCNA6	GNG2 KCNA6 KCNJ6 TUBB2B	GRIK5 KCNG1 STXBP1 TUBA1A	CAMK2B HCN4 KCNH2 KCNJ11 LRFN1	
REACTOME_NEUROTOXICITY_OF_CLOSTRIDIUM_TOXINS		SNAP25 STX1A SV2B						SV2A SV2B											STX1A SV2B																	SNAP25 STX1A SV2A SV2B										
REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION	CHRNB2 KCNJ2 PRKCG	CAMK2B DLG2 KCNJ2 PRKCG TUBB2B		ADCY5 DLG2 KCNJ2					ADCY1 GABBR2 GABRB3	ADCY5 DLG2	ADCY1 ADCY5 CHRNA3 CHRNB2 TUBB4A			ADCY1 PPM1E PRKCG									ADCY2 KCNJ2	ADCY1 TUBB2B				ADCY1 GNG4 TUBB2B		DLG2 GNG4 GRIK5 LIN7A						ADCY2 DLG2 GNG2 GNG4 GRIK5 TUBA1A TUBB2B			ADCY2 DLG2 KCNJ6				GNG2 KCNJ6 TUBB2B	GRIK5 TUBA1A		
REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE		SNAP25 STX1A SYN1			LIN7A SNAP25 SYN1									STX1A STXBP1					STX1A SYN1											LIN7A SNAP25						SNAP25 STX1A										
REACTOME_NGF_STIMULATED_TRANSCRIPTION					CDK5R1 CDK5R2 ID4																				CDK5R1 VGF											CDK5R2 ID4 VGF			CDK5R2 ID4 VGF							
REACTOME_NITRIC_OXIDE_STIMULATES_GUANYLATE_CYCLASE																																				KCNMA1 KCNMB2									ITPR1 PDE2A	
REACTOME_NOREPINEPHRINE_NEUROTRANSMITTER_RELEASE_CYCLE		SNAP25 STX1A												STX1A STXBP1																						SNAP25 STX1A										
REACTOME_NOTCH2_ACTIVATION_AND_TRANSMISSION_OF_SIGNAL_TO_THE_NUCLEUS																													DLL1 MDK																	
REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION_					CDK5R1 CDK5R2 ID4																				CDK5R1 VGF											CDK5R2 ID4 VGF			CDK5R2 ID4 VGF							
REACTOME_N_GLYCAN_ANTENNAE_ELONGATION_IN_THE_MEDIAL_TRANS_GOLGI		CHST8 ST8SIA3			CHST8 ST8SIA3			CHST8 ST8SIA3																																						
REACTOME_ONCOGENIC_MAPK_SIGNALING		CAMK2B FAM131B																																											CAMK2B FAM131B	
REACTOME_OPIOID_SIGNALLING		CAMK2B PRKCG									ADCY1 ADCY5			ADCY1 PRKCG					ADCY2 ITPR1									ADCY1 GNG4 ITPR1								ADCY2 GNAO1 GNG2 GNG4									CAMK2B ITPR1	
REACTOME_OTHER_INTERLEUKIN_SIGNALING		SNAP25 STX1A																																		SNAP25 STX1A										
REACTOME_O_GLYCOSYLATION_OF_TSR_DOMAIN_CONTAINING_PROTEINS																													SPON1 SPON2					SPON1 SPON2					ADAMTSL2 SPON1							
REACTOME_O_LINKED_GLYCOSYLATION									ADAMTSL2 MUC15			MUC15 SPON2																	SPON1 SPON2						GALNT16 SPON1				ADAMTSL2 GALNT16 SPON1						MUC5B SPON2	
REACTOME_PEPTIDE_HORMONE_METABOLISM			MBOAT4 PCSK2					AGT CPE KIF5A PAX6 PCSK2			PAX6 STX1A						AGT MBOAT4		CPB1 ISL1 PCSK2 STX1A		PAX6 PCSK1													CPE MBOAT4		AGT CPB1 ISL1 KIF5A MBOAT4 PCSK1 PCSK2 STX1A			AGT CPE GHRL ISL1 PCSK1 PCSK2			AGT GPR119	CPE KIF5A			
REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS	NPY SSTR3					APLN SSTR3		AGT AVPR1B MLN SST SSTR3	APLN BRS3 SST							APLN SSTR1 TAC3	AGT SSTR2													NPY SST									AGT AVPR1B GHRL MLN TAC3						AGT APLN BRS3 MLN TAC3	
REACTOME_PHASE_0_RAPID_DEPOLARISATION							FGF14 SCN2A	CACNA1C CACNB2 SCN1B																										CACNA2D1 CACNG4		CACNA1C FGF14 SCN1B									CAMK2B FGF14 SCN1B	
REACTOME_PHASE_2_PLATEAU_PHASE								CACNA1C CACNB2																										CACNA2D1 CACNG4												
REACTOME_PHASE_4_RESTING_MEMBRANE_POTENTIAL		KCNJ2 KCNK17		KCNJ2 KCNK17				KCNJ2 KCNK17															KCNJ2 KCNK17											KCNK16 KCNK17												
REACTOME_PHASE_II_CONJUGATION_OF_COMPOUNDS																						GGT5 SULT1A4																							PODXL2 SULT1A4	
REACTOME_PHOSPHOLIPASE_C_MEDIATED_CASCADE_FGFR2																																				FGF17 FGF9										
REACTOME_PHOSPHOLIPASE_C_MEDIATED_CASCADE_FGFR4																																				FGF17 FGF9										
REACTOME_PI3K_AKT_SIGNALING_IN_CANCER																																				AKT3 FGF17 FGF9										
REACTOME_PI_3K_CASCADE_FGFR1																																				FGF17 FGF9										
REACTOME_PI_3K_CASCADE_FGFR2																																				FGF17 FGF9										
REACTOME_PI_3K_CASCADE_FGFR3																																				FGF17 FGF9										
REACTOME_PI_3K_CASCADE_FGFR4																																				FGF17 FGF9										
REACTOME_PKA_ACTIVATION_IN_GLUCAGON_SIGNALLING											ADCY1 ADCY5																																			
REACTOME_PKA_MEDIATED_PHOSPHORYLATION_OF_CREB											ADCY1 ADCY5																																			
REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION	PRKCG PRKCH														ITPR1 PLCG2						PRKCH SPARC VAV3									GNG4 PRKCH VAV3			ITPR1 PRKCH													
REACTOME_PLATELET_HOMEOSTASIS								APOB PDE2A SLC8A1																				GNG4 ITPR1								GNG2 GNG4 KCNMA1 KCNMB2							GNG2 SLC8A1		ITPR1 PDE2A	
REACTOME_POST_CHAPERONIN_TUBULIN_FOLDING_PATHWAY																																				TUBA1A TUBB2B										
REACTOME_POST_TRANSLATIONAL_MODIFICATION_SYNTHESIS_OF_GPI_ANCHORED_PROTEINS							NTNG2 RTN4RL1														NEGR1 RTN4RL1																									
REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION											MUC15 RTN4RL1 ST6GALNAC5 TUBB4A VCAN																																			
REACTOME_POTASSIUM_CHANNELS		KCNB2 KCNJ2 KCNK17		KCNB2 KCNH7 KCNJ2 KCNK17	KCNG1 KCNH8 KCNJ11		HCN4 KCNG1 KCNH7	KCNB2 KCNH8 KCNJ2 KCNK17	GABBR2 KCNK3							GNG2 KCNH3 KCNH6							KCNJ2 KCNK17		GABBR2 KCNJ11			GNG4 HCN4 KCNH6 KCNK3						GABBR2 KCNB2 KCNH7 KCNK16 KCNK17		ABCC8 GNG2 GNG4 HCN4 KCNB2 KCNH3 KCNH6 KCNMA1 KCNMB2	HCN4 KCNH3		KCNH2 KCNJ6 KCNK3				GNG2 KCNA6 KCNJ6		HCN4 KCNH2 KCNJ11	
REACTOME_PRESYNAPTIC_FUNCTION_OF_KAINATE_RECEPTORS																																				GNG2 GNG4										
REACTOME_PROGRAMMED_CELL_DEATH																																					CLSPN TP73									
REACTOME_PROSTACYCLIN_SIGNALLING_THROUGH_PROSTACYCLIN_RECEPTOR																																				GNG2 GNG4										
REACTOME_PROTEIN_FOLDING																GNG2 TUBB2B												GNG4 TUBB2B								GNAO1 GNG2 GNG4 TUBA1A TUBB2B							GNG2 TUBB2B			
REACTOME_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES		DLG2 STX1A			DLG2 LIN7A LRFN1									STX1A STXBP1																DLG2 LIN7A						DLG2 LRRTM3 STX1A										
REACTOME_RAB_GEFS_EXCHANGE_GTP_FOR_GDP_ON_RABS																																		AKT3 DENND2A												
REACTOME_RAP1_SIGNALLING																																		RAP1GAP2 RAPGEF4												
