	AEBP1	ARNT2	ARX	ASCL1	ASCL2	ATOH8	CCDC17	CSRNP3	CXXC4	DACH1	DPF3	E2F7	EBF3	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	GRHL3	HES4	HEY1	HEYL	HHEX	HIC1	HLF	HMBOX1	INSM1	ISL1	KCNIP3	LMX1A	LMX1B	LTF	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NFAT5	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	PLAG1	POU2F2	POU5F1	PROX1	RFX6	SETBP1	SIM1	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF519	ZNF846	ZNF883
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION															ADCY1 ADCY2 ADCY5 ITPR1 PRKCH		CACNA1C KCNMB2 PRKCH		ADCY1 ADCY2 ADCY5 ADORA2A CACNA1C ITPR1 KCNMA1 KCNMB2 PRKCH		ADORA2A ITPR1 PRKCH						ADCY1 ADCY2 ADCY5 CACNA1C		AVPR1B ITPR1 KCNMA1 KCNMB2		ADCY2 ADCY5 CACNA1C KCNMA1 KCNMB2			ADCY1 ADCY2 ADCY5 AVPR1B ITPR1 KCNMB2	ADCY1 ADORA2A AVPR1B CACNA1C KCNMA1 KCNMB2				ADCY5 AVPR1B CACNA1C KCNMA1 KCNMB2				ADCY1 ADCY2 ADCY5 AVPR1B ITPR1 PRKCG	ADCY2 ADCY5 CACNA1C ITPR1 KCNMA1 KCNMB2 PRKCH		ADCY5 AVPR1B KCNMA1 KCNMB2			ADCY1 KCNMB2						ADCY5 ITPR1 KCNMA1 KCNMB2 PRKCG PRKCH	ADCY5 ADORA2A CACNA1C ITPR1 KCNMB2 PRKCG PRKCH					ADCY1 ADCY5 ITPR1 KCNMB2 PRKCG PRKCH				CACNA1C KCNMB2			ADORA2A PRKCH
KEGG_VEGF_SIGNALING_PATHWAY																																																								MAPK12 PLCG2 PRKCG		AKT3 MAPK12 PLCG2				MAPK12 PLCG2					MAPK12 PRKCG	
KEGG_VIBRIO_CHOLERAE_INFECTION					ATP6V1B1 PLCG2																																																															
KEGG_WNT_SIGNALING_PATHWAY												NKD1 PRKCG WNT9A		CAMK2B NKD1 PRKCG SFRP1 WNT9A																													CAMK2B CXXC4 MAPK10 NKD1 PRKCG									CAMK2B CXXC4 NKD1 PRKCG SFRP1				CAMK2B CXXC4 MAPK10 NKD1 PRKCG WNT9A									MAPK10 WNT9A	MAPK10 PRKCG SFRP1	PRKCG SFRP1 WNT9A	
NABA_BASEMENT_MEMBRANES		COLQ NTNG2																																																																		
NABA_COLLAGENS				COL12A1 COL22A1	COL12A1 COL21A1												COL12A1 COL21A1	COL12A1 COL21A1	COL12A1 COL22A1													COL21A1 COL22A1															COL21A1 COL22A1			COL21A1 COL22A1											COL12A1 COL21A1 COL22A1						COL12A1 COL21A1 COL22A1	
NABA_CORE_MATRISOME			BGN CRISPLD1 MMRN1 SNED1 SPARC SPOCK3 VCAN	COL12A1 COL22A1 CRISPLD1 SPON1	COL12A1 COL21A1 IGFBPL1 SPON1							FBN1 LTBP2 PRELP SPON1			COL22A1 LTBP2 NTNG2 PRELP SPARC SPON1 SPON2 SPP1	COL12A1 LTBP2 MMRN1 PRELP SNED1 SPOCK3 SPON1 VCAN VWA5B2	COL12A1 COL21A1 IGSF10 LTBP2 SPON1 SPON2	COL12A1 COL21A1 IGFBPL1 PRELP SPON1	COL12A1 COL22A1 EDIL3 IGSF10 LTBP2 VCAN VWA5B2					BGN IGFBPL1 SPP1		FBN1 SPOCK3 SPON1					COL12A1 COLQ FBN1 IGSF10 MMRN1 SNED1 SPOCK3 SPON1 VCAN	COL21A1 COL22A1 COLQ EDIL3 LTBP2 MMRN1 SPARC SPOCK3 SPON1 VCAN		FBN1 IGSF10 NTNG2 PRELP SPOCK3 SPON1 SPON2	COL22A1 COLQ IGSF10 NTNG2 PRELP SNED1 SPOCK3 SPON1		IGFBPL1 IGSF10 PRELP SPON2 VWA5B2	COL21A1 IGSF10 PRELP SPON1 SPON2	COL21A1 COL22A1 EDIL3 NTNG2 PRELP SNED1 SPARC SPOCK3 SPON1 SPON2 VCAN VWA5B2		BGN COL12A1 LTBP2 PRELP SPON1 SPON2							NTNG2 PRELP SNED1 SPON2		BGN COL21A1 COL22A1 SNED1		COL12A1 COL21A1 IGFBPL1 IGSF10 LTBP2 MMRN1 NTNG2 SNED1 VWA5B2		BGN CRISPLD1 FBN1	IGSF10 MMRN1 SNED1 SPOCK3 VCAN VWA5B2		COL22A1 LTBP2 PRELP SNED1 SPARC SPOCK3 SPON2	COL21A1 IGSF10 LTBP2 MMRN1 SNED1 SPON1 SPP1				COL22A1 FBN1 LTBP2		COLQ SPP1			COL12A1 COL21A1 COL22A1 VWA5B2	PRELP SPARC
NABA_ECM_GLYCOPROTEINS		COLQ NTNG2										FBN1 LTBP2 SPON1			LTBP2 NTNG2 SPARC SPON1 SPON2 SPP1	LTBP2 MMRN1 SNED1 SPON1 VWA5B2	IGSF10 LTBP2 SPON1 SPON2							IGFBPL1 SPP1		FBN1 SPON1					COLQ FBN1 IGSF10 MMRN1 SNED1 SPON1	COLQ EDIL3 LTBP2 MMRN1 SPARC SPON1				CRISPLD1 IGFBPL1	IGFBPL1 IGSF10 SPON2 VWA5B2	IGSF10 SPON1 SPON2	EDIL3 NTNG2 SNED1 SPARC SPON1 SPON2 VWA5B2		LTBP2 SPON1 SPON2							NTNG2 SNED1 SPON2				IGFBPL1 IGSF10 LTBP2 MMRN1 NTNG2 SNED1 VWA5B2			IGSF10 MMRN1 SNED1 VWA5B2			IGSF10 LTBP2 MMRN1 SNED1 SPON1 SPP1					EDIL3 SPP1	COLQ SPP1				
NABA_ECM_REGULATORS																																		ADAM12 ADAMTSL1 ADAMTSL2 CELA3A CELA3B PAPPA2 SERPINI1			ADAMTSL2 AGT MMP2 PAPPA2 SERPINI1						ADAM12 ADAMTSL1 AGT MMP2 PAPPA2 SERPINI1				ADAM12 ADAMTSL2 CELA3A CELA3B MMP2																					
NABA_MATRISOME			ADAMTSL1 ANGPT2 BGN CELA3B CFC1 CRISPLD1 FGF14 FGF17 MDK MMP2 MMRN1 MUC15 PAPPA2 SFRP1 SNED1 SPARC SPOCK3 VCAN WNT9A		ADAMTSL1 ADAMTSL2 COL12A1 COL21A1 FGF9 GDF11 GPC2 IGFBPL1 MUC5B SPON1 WNT9A					CSH1 CSH2 IGFBPL1 S100G					ADAM12 C1QL1 CELA3A CFC1 COL22A1 CRLF1 FGF14 GDF1 HGFAC LTBP2 MUC15 NTNG2 PRELP S100A1 SPARC SPON1 SPON2 SPP1	ADAM12 ADAMTSL1 CELA3A COL12A1 FGF9 LTBP2 MMP2 MMRN1 PRELP SFRP1 SNED1 SPOCK3 SPON1 VCAN VWA5B2 WNT9A	CELA3A CELA3B COL12A1 COL21A1 CSH1 FGF9 IGSF10 LTBP2 SPON1 SPON2 TNFSF14							BGN IGFBPL1 S100G SPP1 TNFSF14		FBN1 MUC15 S100G SPOCK3 SPON1 TNFSF14			ADAM12 ANGPT2 C1QL1 COL12A1 FGF14 FGF9 GDF11 LTBP2		ADAM12 ADAMTSL1 AGT C1QL1 CELA3A CFC1 COL12A1 COLQ FBN1 FGF14 FGF17 FGF9 IGSF10 MDK MMRN1 PAPPA2 S100A1 SFRP1 SNED1 SPOCK3 SPON1 VCAN		BGN MUC5B S100G	ADAM12 ADAMTSL1 ADAMTSL2 C1QL1 CELA3A CELA3B CFC1 CRLF1 ELFN1 FBN1 FGF17 FGF9 IGSF10 MUC15 NTNG2 PAPPA2 PLXNC1 PRELP S100A1 SERPINI1 SFRP1 SPOCK3 SPON1 SPON2	ADAM12 ADAMTSL2 AGT C1QL1 CELA3A COL22A1 COLQ ELFN1 FGF9 IGSF10 MDK MMP2 MUC15 MUC5B NTNG2 PAPPA2 PLXNC1 PRELP S100A1 SNED1 SPOCK3 SPON1		ADAMTSL2 AGT C1QL1 CFC1 GDF11 GPC2 IGFBPL1 IGSF10 MDK MMP2 PAPPA2 PRELP SERPINI1 SPON2 VWA5B2 WNT9A	C1QL1 COL21A1 GDF11 GPC2 IGSF10 MMP2 PRELP SERPINI1 SPON1 SPON2 WNT9A	ADAMTSL1 CELA3A COL21A1 COL22A1 EDIL3 FGF14 FGF9 MDK MMP2 NTNG2 PLXNC1 PRELP SERPINI1 SNED1 SPARC SPOCK3 SPON1 SPON2 VCAN VWA5B2		ADAMTSL2 BGN CELA3B COL12A1 CRLF1 GDF11 GPC2 LTBP2 PRELP SERPINI1 SPON1 SPON2				ADAM12 C1QL1 CELA3A CELA3B COL22A1 CRLF1 FGF14 PLXNC1 SPON1		ADAM12 ADAMTSL2 CELA3A CELA3B COL21A1 COL22A1 GDF11 GPC2 HGFAC LTBP2 MMP2 S100A1 SFRP1 SNED1 SPON1	ADAM12 C1QL1 NTNG2 PRELP SNED1 SPON2					CSH1 CSH2 MUC15 TNFSF14		ADAMTSL2 CRLF1 FGF17 FGF9 IGSF10 MMRN1 MUC5B PAPPA2 S100A1 SNED1 SPOCK3 VCAN VWA5B2		ANGPT2 CELA3A COL22A1 CSH1 GDF11 GPC2 HGFAC LTBP2 MUC15 MUC5B PRELP S100G SERPINI1 SNED1 SPARC SPOCK3 SPON2 WNT9A	ADAM12 ADAMTSL2 AGT ANGPT2 C1QL1 CELA3B CFC1 COL21A1 CRLF1 FGF14 FGF9 GDF1 GDF11 IGSF10 LTBP2 MDK MMRN1 SERPINI1 SNED1 SPON1 SPP1				COL22A1 CRLF1 FBN1 HGFAC LTBP2 S100A1 S100G SERPINI1						
NABA_MATRISOME_ASSOCIATED			ADAMTSL1 ANGPT2 CELA3B CFC1 FGF14 FGF17 MDK MMP2 MUC15 PAPPA2 SFRP1 WNT9A																															ADAM12 ADAMTSL1 ADAMTSL2 C1QL1 CELA3A CELA3B CFC1 CRLF1 ELFN1 FGF17 FGF9 MUC15 PAPPA2 PLXNC1 S100A1 SERPINI1 SFRP1			ADAMTSL2 AGT C1QL1 CFC1 GDF11 GPC2 MDK MMP2 PAPPA2 SERPINI1 WNT9A																CSH1 CSH2 MUC15 TNFSF14					ADAM12 ADAMTSL2 AGT ANGPT2 C1QL1 CELA3B CFC1 CRLF1 FGF14 FGF9 GDF1 GDF11 MDK SERPINI1										
NABA_PROTEOGLYCANS			BGN SPOCK3 VCAN													PRELP SPOCK3 VCAN															SPOCK3 VCAN	SPOCK3 VCAN		PRELP SPOCK3	PRELP SPOCK3				PRELP SPOCK3 VCAN		BGN PRELP		BGN SPOCK3												SPOCK3 VCAN		PRELP SPOCK3											
NABA_SECRETED_FACTORS			ANGPT2 CFC1 FGF14 FGF17 MDK SFRP1 WNT9A							CSH1 CSH2 S100G																			ANGPT2 FGF14 FGF9 GDF11																								CSH1 CSH2 TNFSF14					ANGPT2 CFC1 CRLF1 FGF14 FGF9 GDF1 GDF11 MDK				CRLF1 HGFAC S100A1 S100G						
PID_AJDISS_2PATHWAY														GFRA1 RET ROBO1				GFRA1 ROBO1																												GFRA1 RET ROBO1									GFRA1 ROBO1						GFRA1 RET ROBO1							
PID_AMB2_NEUTROPHILS_PATHWAY			JAM3 MMP2																													JAM3 MMP2																																				
PID_ANGIOPOIETIN_RECEPTOR_PATHWAY			ANGPT2 MMP2																																									ANGPT2 MMP2																								
PID_AP1_PATHWAY													AGT GATA2																																																							
PID_ARF6_TRAFFICKING_PATHWAY																																			CPE ITGA4 ITGA7												CPE ITGA4																					
PID_AR_NONGENOMIC_PATHWAY			GNG2 PLCG2											GNAO1 GNG2	GNAO1 GNG2																				GNAO1 GNG2		GNAO1 PLCG2	GNAO1 PLCG2	GNAO1 PLCG2							GNAO1 GNG2										GNAO1 PLCG2		GNAO1 GNG2 PLCG2										
PID_ATF2_PATHWAY																																												BCL2 MMP2																								
PID_AVB3_INTEGRIN_PATHWAY				COL12A1 CSF1R	COL12A1 CSF1R							CSF1R VAV3						COL12A1 CSF1R																					CSF1R EDIL3 VAV3		COL12A1 CSF1R VAV3																						EDIL3 SPP1					
PID_AVB3_OPN_PATHWAY																																							MMP2 VAV3													MMP2 VAV3																
PID_BCR_5PATHWAY																																					PLCG2 POU2F2							PLCG2 POU2F2																								
PID_BETA_CATENIN_NUC_PATHWAY																																						MMP2 ZCCHC12																														
PID_CDC42_REG_PATHWAY																																					ARHGEF25 MCF2L		MCF2L VAV3		MCF2L VAV3		ARHGEF25 MCF2L									MCF2L VAV3																
PID_CMYB_PATHWAY																																																													BCL2 CSF1R KIT	BCL2 KIT						
PID_CONE_PATHWAY			CNGA3 LRAT RGS9												LRAT RGS9	CNGA3 LRAT																							CNGA3 RGS9				LRAT RGS9			CNGA3 RGS9						CNGA3 LRAT RGS9				LRAT RGS9										LRAT RGS9		
PID_CXCR3_PATHWAY															GNAO1 GNG2																															GNAO1 GNG2												GNAO1 GNG2										
PID_CXCR4_PATHWAY																																			GNAO1 GNG2 ITGA4 ITGA7																																	
PID_E2F_PATHWAY					E2F7 TP73																																																															
PID_ENDOTHELIN_PATHWAY												GNAO1 PRKCG			ADCY1 ADCY2 ADCY5 GNAO1 PRKCH				ADCY1 ADCY2 ADCY5 PRKCH								ADCY1 ADCY2 ADCY5							ADCY1 ADCY2 ADCY5			ADCY2 GNAO1	ADCY5 GNAO1					ADCY1 ADCY2 ADCY5 GNAO1 PRKCG	ADCY2 ADCY5 PRKCH						ADCY1 ADCY2					ADCY5 GNAO1 PRKCG PRKCH	ADCY5 GNAO1 PRKCG PRKCH					ADCY1 ADCY5 GNAO1 PRKCG PRKCH						ADCY5 PRKCG	
PID_EPHA_FWDPATHWAY												EPHA4 VAV3		EPHA4 EPHA8 VAV3																									EPHA4 VAV3								EPHA4 EPHA8					EPHA4 VAV3																
PID_EPHB_FWD_PATHWAY																											EFNB3 EPHB3																													EFNB3 EPHB3												
PID_EPO_PATHWAY																																BCL2 PLCG2												BCL2 PLCG2													BCL2 PLCG2					BCL2 PLCG2						
PID_ER_NONGENOMIC_PATHWAY			GNG2 MMP2												GNAO1 GNG2																				GNAO1 GNG2 MMP2		GNAO1 MMP2	GNAO1 MMP2					GNAO1 MMP2			GNAO1 GNG2	GNG2 MMP2											GNAO1 GNG2										
PID_FGF_PATHWAY														FGF17 FGF9 NCAM1																	FGF17 FGF9 NCAM1															FGF17 NCAM1 SPP1									FGF17 FGF9 NCAM1													
PID_HDAC_CLASSII_PATHWAY			GATA2 GNG2																												GATA2 GNG2				GATA2 GNG2																							GATA2 GNG2										
PID_HEDGEHOG_2PATHWAY														BOC PTHLH																				BOC PTHLH																		BOC PTCH1					PTCH1 PTHLH											
PID_HEDGEHOG_GLI_PATHWAY			GNG2 MTSS1											GNAO1 GNG2 MTSS1				GNG2 PTCH1																	GNAO1 GNG2 MTSS1											GNAO1 GNG2 MTSS1	GNG2 MTSS1					GNG2 MTSS1 PTCH1			GNAO1 MTSS1	GNAO1 MTSS1 PTCH1	MTSS1 PTCH1	GNAO1 GNG2 MTSS1			GNAO1 MTSS1 PTCH1						MTSS1 PTCH1	
PID_HIF2PATHWAY																			ADORA2A FLT1																ADORA2A FLT1																																	
PID_HNF3B_PATHWAY			ABCC8 CPT1C	ABCC8 GCK KCNJ11	ABCC8 GCK KCNJ11										ABCC8 GCK				ABCC8 GCK												ABCC8 CPT1C GCK			CPT1C GCK KCNJ11			ABCC8 GCK KCNJ11																		CPT1C GCK	ABCC8 KCNJ11												
PID_IL8_CXCR1_PATHWAY														GNG2 PRKCG																																						GNG2 PRKCG																
PID_IL8_CXCR2_PATHWAY														GNG2 PRKCG																																						GNG2 PRKCG																
PID_INTEGRIN1_PATHWAY																								ITGA4 SPP1											ITGA4 ITGA7 MDK																			FBN1 ITGA4				ITGA7 MDK SPP1				FBN1 ITGA7						
PID_INTEGRIN2_PATHWAY																																		JAM3 SPON2																																		
PID_INTEGRIN3_PATHWAY																																																															EDIL3 SPP1					
PID_INTEGRIN5_PATHWAY																																							EDIL3 ITGA4															FBN1 ITGA4		EDIL3 ITGA4												
PID_INTEGRIN_A4B1_PATHWAY																								ITGA4 SPP1											ITGA4 MDK				ITGA4 MDK				ITGA4 MDK															MDK SPP1										
PID_INTEGRIN_A9B1_PATHWAY															ADAM12 SPP1																															ADAM12 SPP1												ADAM12 SPP1										
PID_INTEGRIN_CS_PATHWAY																																			ITGA4 ITGA7																																	
PID_KIT_PATHWAY																																						GRAP2 KIT																							BCL2 GRAP2 KIT	BCL2 KIT						
PID_LIS1_PATHWAY				CDK5R1 CDK5R2 DCX	CDK5R1 CDK5R2									CDK5R1 CDK5R2 DCX MAP1B	CDK5R1 CDK5R2																																					CDK5R1 CDK5R2 MAP1B						DCX MAP1B									CDK5R1 CDK5R2	
PID_LKB1_PATHWAY															BRSK1 BRSK2 MAP2				BRSK1 MAP2															BRSK1 BRSK2 MAP2						BRSK1 MAP2			BRSK1 BRSK2																									
PID_LPA4_PATHWAY															ADCY1 ADCY2 ADCY5				ADCY1 ADCY2 ADCY5								ADCY1 ADCY2 ADCY5				ADCY2 ADCY5			ADCY1 ADCY2 ADCY5									ADCY1 ADCY2 ADCY5	ADCY2 ADCY5						ADCY1 ADCY2											ADCY1 ADCY5							
PID_LYSOPHOSPHOLIPID_PATHWAY			ADCY1 GNG2 MMP2									GNAO1 PRKD1			ADCY1 ADCY2 ADCY5 GNAO1 GNG2			GNG2 PRKD1	ADCY1 ADCY2 ADCY5								ADCY1 ADCY2 ADCY5				ADCY2 ADCY5 GNG2			ADCY1 ADCY2 ADCY5 GNG2	ADCY1 GNAO1 GNG2 MMP2		ADCY2 GNAO1 MMP2	ADCY5 GNAO1 MMP2	ADCY5 GNAO1 MMP2				ADCY1 ADCY2 ADCY5 GNAO1 MMP2 PRKD1	ADCY2 ADCY5 MMP2		ADCY5 GNAO1 GNG2	ADCY5 GNG2 MMP2			ADCY1 ADCY2 GNG2								ADCY1 GNAO1 GNG2			ADCY1 ADCY5 GNAO1							
PID_MYC_REPRESS_PATHWAY																																												BCL2 TMEFF2																						BCL2 SFRP1		
PID_NCADHERIN_PATHWAY														CNR1 GAP43																					CNR1 GAP43																							CNR1 GAP43										
PID_NFAT_3PATHWAY																			BCL2 PRKCH																									BCL2 PRKCH											PRKCG PRKCH						BCL2 PRKCG PRKCH	BCL2 PRKCH				BCL2 PRKCG		
PID_NOTCH_PATHWAY				DLL1 DNER											ADAM12 DLL1 DLL3						DLL3 DNER	DLL3 DNER							ADAM12 DLL3					ADAM12 DLL1 DNER											ADAM12 DLL1		ADAM12 DLL1	ADAM12 DNER				ADAM12 DLL1 DLL3 DNER												DLL3 DNER				
PID_P38_ALPHA_BETA_PATHWAY																																			MAP3K12 PAK3				MAP3K12 PAK3																													
PID_P38_MK2_PATHWAY																																		ETV1 LSP1																																		
PID_PDGFRB_PATHWAY																																																	DOCK4 MAPK10																			
PID_PLK1_PATHWAY			CENPE CLSPN																										CENPE CLSPN											CENPE CLSPN																												
PID_PRL_SIGNALING_EVENTS_PATHWAY																																			AGT PTP4A3		AGT PTP4A3																															
PID_PS1_PATHWAY																																																									DLL1 NKD1											
PID_RAC1_REG_PATHWAY																																					ARHGAP9 ARHGEF25	ARHGAP9 ARHGEF25	ARHGAP9 VAV3		ARHGAP9 VAV3																											
PID_RAS_PATHWAY				CAMK2B RASAL1																												CAMK2B RASAL1									CAMK2B RASAL1		CAMK2B RASAL1									CAMK2B RASAL1				CAMK2B RASAL1												
PID_REELIN_PATHWAY														CDK5R1 MAP1B																																						CDK5R1 MAP1B																
PID_REG_GR_PATHWAY																																																																		CDK5R1 MAPK10		
PID_RETINOIC_ACID_PATHWAY																																											PRKCG RBP1									PRKCG RBP1									PRKCG RBP1							
PID_RET_PATHWAY																																														GFRA1 RET												DOK6 GFRA1 RET			GFRA1 RET							
PID_RHOA_PATHWAY																																																										CIT MAPK12									CIT MAPK12	
PID_RHOA_REG_PATHWAY																		ARHGAP9 MCF2L																			ARHGAP9 ARHGEF25 MCF2L	ARHGAP9 ARHGEF25	ARHGAP9 MCF2L VAV3		ARHGAP9 MCF2L VAV3		ARHGEF25 MCF2L														ARHGAP9 MCF2L									ARHGAP9 MCF2L		
PID_RHODOPSIN_PATHWAY			LRAT RGS9												LRAT RGS9																												LRAT RGS9									LRAT RGS9				LRAT RGS9										LRAT RGS9		
PID_S1P_S1P3_PATHWAY														FLT1 GNAO1	AKT3 GNAO1				AKT3 FLT1																AKT3 FLT1 GNAO1		FLT1 GNAO1		AKT3 FLT1 GNAO1				AKT3 GNAO1			AKT3 GNAO1												AKT3 GNAO1			FLT1 GNAO1							
PID_SYNDECAN_4_PATHWAY																															ADAM12 MDK				ADAM12 MDK								ADAM12 MDK															ADAM12 MDK										
PID_THROMBIN_PAR1_PATHWAY												GNAO1 PRKCG		GNAO1 GNG2 PRKCG	GNAO1 GNG2																												GNAO1 PRKCG			GNAO1 GNG2									GNAO1 PRKCG	GNAO1 PRKCG		GNAO1 GNG2			GNAO1 PRKCG							
PID_TOLL_ENDOGENOUS_PATHWAY			BGN VCAN																																																																	
PID_TXA2PATHWAY																		GNG2 PRKCH																																		GNG2 PRKCG PRKCH			PRKCG PRKCH													
REACTOME_ABC_TRANSPORTER_DISORDERS				ABCC8 KCNJ11	ABCC8 KCNJ11																																																															
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS					CHRNA3 CHRNB2									CHRNA3 CHRNB2 CHRNB4			CHRNB2 CHRNB4																	CHRNB2 CHRNB4			CHRNA3 CHRNB4						CHRNA3 CHRNB2 CHRNB4														CHRNB2 CHRNB4				CHRNB2 CHRNB4							
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE			CPLX1 STXBP1												SNAP25 STX1A	SNAP25 STX1A			SNAP25 STX1A								CPLX1 SNAP25				SNAP25 STX1A	CPLX1 SNAP25 STXBP1		CPLX1 SNAP25	CPLX1 SNAP25 STX1A		CPLX1 STXBP1		CPLX1 SNAP25 STX1A				CPLX1 SNAP25 STX1A			CPLX1 SNAP25									STX1A STXBP1	CPLX1 STXBP1					CPLX1 STX1A				CPLX1 STXBP1			
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS				DLL1 DNER																														DLL1 DNER																		DLL1 DNER									DLL1 DNER							
REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS																															TUBA1A TUBB2B	TUBA1A TUBB2B													TUBA1A TUBB4A							TUBA1A TUBB4A									TUBA1A TUBB4A							
REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA_																			AKT3 BCL2												AKT3 BCL2	AKT3 BCL2			AKT3 BCL2								AKT3 BCL2			AKT3 BCL2																						
REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS																			AKT3 BCL2												AKT3 BCL2	AKT3 BCL2			AKT3 BCL2				AKT3 TP73				AKT3 BCL2 TP73			AKT3 BCL2											BCL2 TP73				BCL2 TP73							
REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING			GNG2 GNG4 GRIK3 GRIK5											GNG2 GNG4 GRIK5	GNG2 GNG4 GRIK3 GRIK5																GNG2 GRIK5			GNG2 GNG4 GRIK5	GNG2 GNG4 GRIK5								GNG4 GRIK5			GNG2 GRIK5						GNG2 GNG4 GRIK5				GNG4 GRIK5		GNG2 GNG4 GRIK5			GNG4 GRIK5							
REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES			MMP2 SPOCK3													MMP2 SPOCK3																MMP2 SPOCK3			MMP2 SPOCK3				MMP2 SPOCK3				MMP2 SPOCK3	MMP2 SPOCK3																								
REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS					ADCY1 CAMK2B PPM1E TUBB4A										ADCY1 DLG2 LIN7A PPM1E TUBA1A				ADCY1 DLG2 PPM1E					LIN7A TUBB4A			ADCY1 LIN7A PPM1E TUBB4A				LIN7A PPM1E TUBA1A TUBB2B	ADCY1 CAMK2B LIN7A PPM1E TUBA1A TUBB2B											ADCY1 CAMK2B DLG2		TUBA1A TUBB4A				ADCY1 LIN7A	ADCY1 PPM1E		CAMK2B LIN7A PPM1E TUBA1A TUBB4A					ADCY1 LIN7A PPM1E	ADCY1 DLG2 LIN7A			ADCY1 PPM1E TUBA1A TUBB4A	CAMK2B TUBB4A						
REACTOME_ACTIVATION_OF_RAC1																															PAK3 ROBO1								PAK3 ROBO1																													
REACTOME_ACTIVATION_OF_SMO																																																				BOC PTCH1																
REACTOME_ADAPTIVE_IMMUNE_SYSTEM													CD300LF CD96 EVL ITGA4 TUBB4A														AKT3 CD96 EVL GRAP2 KIF5A RAP1GAP2 RAPGEF4 TUBB4A																																									
REACTOME_ADENYLATE_CYCLASE_ACTIVATING_PATHWAY															ADCY1 ADCY2 ADCY5				ADCY1 ADCY2 ADCY5								ADCY1 ADCY2 ADCY5				ADCY2 ADCY5			ADCY1 ADCY2 ADCY5									ADCY1 ADCY2 ADCY5	ADCY2 ADCY5						ADCY1 ADCY2											ADCY1 ADCY5							
REACTOME_ADENYLATE_CYCLASE_INHIBITORY_PATHWAY															ADCY1 ADCY2 ADCY5				ADCY1 ADCY2 ADCY5								ADCY1 ADCY2 ADCY5				ADCY2 ADCY5			ADCY1 ADCY2 ADCY5									ADCY1 ADCY2 ADCY5	ADCY2 ADCY5						ADCY1 ADCY2											ADCY1 ADCY5							
REACTOME_ADORA2B_MEDIATED_ANTI_INFLAMMATORY_CYTOKINES_PRODUCTION										ADORA2A PTHLH					ADCY1 ADCY2 ADCY5 GNG2 GNG4 PTHLH				ADCY1 ADCY2 ADCY5 ADORA2A								ADCY1 ADCY2 ADCY5							ADCY1 ADCY2 ADCY5 GNG2 GNG4 PTHLH									ADCY1 ADCY2 ADCY5 GNG4							ADCY1 ADCY2 GNG2								ADCY1 ADORA2A GNG2 GNG4 PTHLH										
REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_1			GNG2 GNG4											GNG2 GNG4	GNG2 GNG4																			GNG2 GNG4	GNG2 GNG4																	GNG2 GNG4						GNG2 GNG4										
REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_12			GNG2 GNG4											GNG2 GNG4	GNG2 GNG4																			GNG2 GNG4	GNG2 GNG4																	GNG2 GNG4						GNG2 GNG4										
REACTOME_ADRENALINE_NORADRENALINE_INHIBITS_INSULIN_SECRETION			CACNA1C GNG2 GNG4											GNG2 GNG4	ADCY5 GNG2 GNG4				ADCY5 CACNA1C								ADCY5 CACNA1C				ADCY5 CACNA1C GNG2			ADCY5 GNG2 GNG4	CACNA1C GNG2 GNG4				ADCY5 CACNA1C GNG4				ADCY5 GNG4	ADCY5 CACNA1C CACNB2		ADCY5 GNG2	ADCY5 GNG2					CACNB2 GNG2 GNG4				ADCY5 CACNA1C GNG4		CACNA1C GNG2 GNG4			ADCY5 GNG4				CACNA1C CACNB2		ADCY5 GNG4	
REACTOME_AGGREPHAGY																																TUBA1A TUBB2B													TUBA1A TUBB4A																TUBA1A TUBB4A							
REACTOME_AMINE_LIGAND_BINDING_RECEPTORS																																DRD2 HRH3																																				
REACTOME_AMINO_ACIDS_REGULATE_MTORC1				ATP6V1B1 RRAGD	ATP6V1B1 RRAGD																																																															
REACTOME_ANCHORING_OF_THE_BASAL_BODY_TO_THE_PLASMA_MEMBRANE																																													TUBA1A TUBB4A																							
