	AEBP1	ARNT2	ARX	ASCL1	ASCL2	ATOH8	CCDC17	CSRNP3	DACH1	E2F7	EBF3	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	GRHL3	HES4	HEY1	HEYL	HHEX	HIC1	HLF	HMBOX1	INSM1	ISL1	KCNIP3	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU2F2	POU5F1	PROX1	RFX6	SIM1	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF519	ZNF846	ZNF853	ZNF883
NABA_MATRISOME			ADAMTS2 ADAMTSL1 AEBP1 BGN CELA3B CFC1 CRISPLD1 FGF14 LGI3 MDK MEP1B MMP11 MMP2 MMRN1 PAPPA2 PDGFD SCUBE1 SEMA6B SERPINA10 SFRP1 SMOC1 SPARC SPOCK3 VCAN WNT9A		ADAMTSL1 ADAMTSL2 AEBP1 ANXA6 F10 GPC2 IGFBPL1 LGI3 MUC5B PDGFD SMOC1 WNT9A		CCL19 CLEC4G IFNE MUC2 S100G		CSH1 CSH2 IGFBPL1 MUC5AC S100G	ANXA6 FBN1 GPC2 IL11 LTBP2 MMP11 MUC3A S100A1 SERPINI1 WNT9A	AGT CSH2 MFAP2 MUC17 MUC2 MUC5AC PGF	ADAMTSL2 AEBP1 ANXA6 CCL19 COL14A1 F10 GDF1 GPC2 IGFBPL1 IGSF10 IMPG1 LEFTY1 MEP1B MMP11 MMRN1 MUC16 MUC5B PLXNC1 SCUBE1 SEMA6B SERPINI1 SFRP1 SMOC1 SPOCK3 THBS4 WNT9A	ADAM12 AEBP1 C1QL1 CELA3A CFC1 FGF14 GDF1 GPC6 LTBP2 MEP1B MMP11 MUC16 MUC17 PGF S100A1 SEMA6B SPARC SPON2 SPP1 THBS4	ADAM12 ADAMTSL1 CELA3A IFNE IMPG1 LGI3 LTBP2 MEP1B MMP2 MMRN1 MUC17 SCUBE1 SERPINA10 SFRP1 SMOC1 SPOCK3 VCAN VWA5B2 WNT9A	CELA3A CELA3B CSH1 IGSF10 IL11 INS-IGF2 LEFTY1 LTBP2 PDGFD SMOC1 SPON2		ADAMTS2 AGT F10 GDF1 GPC6 IGSF10 IL11 LGI3 LTBP2 MEP1B MFAP2 MUC3A PGF PLXNC1 SEMA6B THBS4 VCAN VWA5B2		AEBP1 AGT GDF1 MFAP2 MUC2 S100G	ANXA6 CSH2 IGF2 IL11 MFAP2 SCUBE1	CCL19 IFNE IGF2 IL11 MFAP2 MUC5AC SCUBE1	BGN IGFBPL1 LEFTY1 S100G SPP1	AEBP1 FBN1 IFNE LGI3 MUC2 SERPINI1		ADAM12 COL14A1 FGF14 IGSF10 MEP1B MUC16 MUC3A MUC5AC MUC5B PLXNC1 S100G SEMA6B SMOC1 SPOCK3				ADAM12 ADAMTSL1 AGT C1QL1 CELA3A CFC1 CLEC4G COL14A1 FBN1 FGF14 IGSF10 LGI3 MDK MEP1B MMRN1 PAPPA2 PGF S100A1 SCUBE1 SERPINA10 SFRP1 SPOCK3 THBS4 VCAN		ADAM12 ADAMTSL1 ADAMTSL2 C1QL1 CCL19 CELA3A CELA3B CFC1 COL14A1 ELFN1 F10 FBN1 IGSF10 IL11 LEFTY1 MEP1B MUC17 MUC2 MUC3A PAPPA2 PGF PLXNC1 S100A1 SERPINA10 SERPINI1 SFRP1 SPOCK3 SPON2 THBS4	ADAM12 ADAMTSL2 AEBP1 AGT C1QL1 CCL19 CELA3A CLEC4G ELFN1 F10 IGF2 IGSF10 MDK MEP1B MMP2 MUC16 MUC17 MUC2 MUC3A MUC5B PAPPA2 PDGFD PGF PLXNC1 S100A1 SCUBE1 SERPINA10 SMOC1 SPOCK3 THBS4		ADAMTSL2 AGT C1QL1 CFC1 GPC2 IGFBPL1 IGSF10 IMPG1 MDK MEP1B MMP2 PAPPA2 SCUBE1 SEMA6B SERPINI1 SPON2 VWA5B2 WNT9A	ANXA6 C1QL1 GPC2 GPC6 IGSF10 MFAP2 MMP2 MUC2 SCUBE1 SERPINI1 SMOC1 SPON2 WNT9A	ADAMTSL1 ANXA6 CELA3A COL14A1 FGF14 GPC6 MDK MEP1B MMP2 MUC16 MUC2 PDGFD PLXNC1 SEMA6B SERPINI1 SMOC1 SPARC SPOCK3 SPON2 VCAN VWA5B2	ADAMTSL2 AEBP1 ANXA6 BGN CELA3B GPC2 LEFTY1 LTBP2 MFAP2 SERPINI1 SPON2		ADAM12 ADAMTSL1 AEBP1 AGT BGN GPC6 LEFTY1 LGI3 MDK MEP1B MMP2 MUC17 MUC2 MUC5B PAPPA2 PGF PLXNC1 SCUBE1 SEMA6B SERPINA10 SERPINI1 SPOCK3 THBS4		ADAM12 C1QL1 CELA3A CELA3B FGF14 GPC6 INS-IGF2 PLXNC1 SMOC1 THBS4		ADAM12 ADAMTSL2 AEBP1 CELA3A CELA3B GPC2 LEFTY1 LTBP2 MEP1B MMP2 S100A1 SCUBE1 SFRP1 SMOC1 THBS4	CFC1 COL14A1 FGF14 IGSF10 MEP1B MUC2 MUC3A MUC5AC SCUBE1 SPOCK3				ADAMTS2 BGN CCL19 CLEC4G CRISPLD1 CSH2 FBN1 IGF2 INS-IGF2 MUC5AC	ADAMTS2 ADAMTSL2 CLEC4G F10 GPC6 IFNE IGSF10 IL11 INS-IGF2 MEP1B MMRN1 MUC5B PAPPA2 S100A1 SCUBE1 SPOCK3 THBS4 VCAN VWA5B2		CELA3A CLEC4G CSH1 GPC2 IFNE IMPG1 LEFTY1 LTBP2 MMP11 MUC17 MUC5B PGF S100G SCUBE1 SEMA6B SERPINI1 SPARC SPOCK3 SPON2 WNT9A	ADAM12 ADAMTSL2 AGT C1QL1 CCL19 CELA3B CFC1 COL14A1 FGF14 GDF1 IGSF10 LGI3 LTBP2 MDK MEP1B MMP11 MMRN1 MUC17 PGF SCUBE1 SEMA6B SERPINI1 SMOC1 SPP1			AEBP1 ANXA6 CELA3B COL14A1 IFNE LEFTY1 LGI3 LTBP2 MMP11 MUC16 MUC17 MUC5AC MUC5B PDGFD PGF SCUBE1 SERPINI1 SPARC WNT9A		ANXA6 LEFTY1 SPP1 THBS4 WNT9A		ANXA6 IFNE MUC5B S100G SEMA6B WNT9A		ADAMTSL1 CELA3A CELA3B IFNE LGI3 MUC2 PGF SFRP1 THBS4 VWA5B2 WNT9A		
NABA_MATRISOME_ASSOCIATED			ADAMTS2 ADAMTSL1 CELA3B CFC1 FGF14 MDK MEP1B MMP11 MMP2 PAPPA2 PDGFD SCUBE1 SEMA6B SERPINA10 SFRP1 WNT9A		ADAMTSL1 ADAMTSL2 ANXA6 F10 GPC2 MUC5B PDGFD WNT9A		CCL19 CLEC4G IFNE MUC2 S100G		CSH1 CSH2 MUC5AC S100G	ANXA6 GPC2 IL11 MMP11 MUC3A S100A1 SERPINI1 WNT9A	AGT CSH2 MUC17 MUC2 MUC5AC PGF		ADAM12 C1QL1 CELA3A CFC1 FGF14 GDF1 GPC6 MEP1B MMP11 MUC16 MUC17 PGF S100A1 SEMA6B		CELA3A CELA3B CSH1 IL11 INS-IGF2 LEFTY1 PDGFD				AGT GDF1 MUC2 S100G	ANXA6 CSH2 IGF2 IL11 SCUBE1	CCL19 IFNE IGF2 IL11 MUC5AC SCUBE1				ADAM12 FGF14 MEP1B MUC16 MUC3A MUC5AC MUC5B PLXNC1 S100G SEMA6B				ADAM12 ADAMTSL1 AGT C1QL1 CELA3A CFC1 CLEC4G FGF14 MDK MEP1B PAPPA2 PGF S100A1 SCUBE1 SERPINA10 SFRP1		ADAM12 ADAMTSL1 ADAMTSL2 C1QL1 CCL19 CELA3A CELA3B CFC1 ELFN1 F10 IL11 LEFTY1 MEP1B MUC17 MUC2 MUC3A PAPPA2 PGF PLXNC1 S100A1 SERPINA10 SERPINI1 SFRP1	ADAM12 ADAMTSL2 AGT C1QL1 CCL19 CELA3A CLEC4G ELFN1 F10 IGF2 MDK MEP1B MMP2 MUC16 MUC17 MUC2 MUC3A MUC5B PAPPA2 PDGFD PGF PLXNC1 S100A1 SCUBE1 SERPINA10		ADAMTSL2 AGT C1QL1 CFC1 GPC2 MDK MEP1B MMP2 PAPPA2 SCUBE1 SEMA6B SERPINI1 WNT9A	ANXA6 C1QL1 GPC2 GPC6 MMP2 MUC2 SCUBE1 SERPINI1 WNT9A	ADAMTSL1 ANXA6 CELA3A FGF14 GPC6 MDK MEP1B MMP2 MUC16 MUC2 PDGFD PLXNC1 SEMA6B SERPINI1			ADAM12 ADAMTSL1 AGT GPC6 LEFTY1 MDK MEP1B MMP2 MUC17 MUC2 MUC5B PAPPA2 PGF PLXNC1 SCUBE1 SEMA6B SERPINA10 SERPINI1		ADAM12 C1QL1 CELA3A CELA3B FGF14 GPC6 INS-IGF2 PLXNC1		ADAM12 ADAMTSL2 CELA3A CELA3B GPC2 LEFTY1 MEP1B MMP2 S100A1 SCUBE1 SFRP1	CFC1 FGF14 MEP1B MUC2 MUC3A MUC5AC SCUBE1				ADAMTS2 CCL19 CLEC4G CSH2 IGF2 INS-IGF2 MUC5AC	ADAMTS2 ADAMTSL2 CLEC4G F10 GPC6 IFNE IL11 INS-IGF2 MEP1B MUC5B PAPPA2 S100A1 SCUBE1		CELA3A CLEC4G CSH1 GPC2 IFNE LEFTY1 MMP11 MUC17 MUC5B PGF S100G SCUBE1 SEMA6B SERPINI1 WNT9A	ADAM12 ADAMTSL2 AGT C1QL1 CCL19 CELA3B CFC1 FGF14 GDF1 MDK MEP1B MMP11 MUC17 PGF SCUBE1 SEMA6B SERPINI1			ANXA6 CELA3B IFNE LEFTY1 MMP11 MUC16 MUC17 MUC5AC MUC5B PDGFD PGF SCUBE1 SERPINI1 WNT9A				ANXA6 IFNE MUC5B S100G SEMA6B WNT9A				
NABA_PROTEOGLYCANS			BGN SPOCK3 VCAN											IMPG1 SPOCK3 VCAN															SPOCK3 VCAN	SPOCK3 VCAN						SPOCK3 VCAN			BGN SPOCK3										SPOCK3 VCAN		IMPG1 SPOCK3												
NABA_SECRETED_FACTORS			CFC1 FGF14 MDK PDGFD SCUBE1 SFRP1 WNT9A				CCL19 IFNE S100G		CSH1 CSH2 S100G						CSH1 IL11 INS-IGF2 LEFTY1 PDGFD					CSH2 IGF2 IL11 SCUBE1	CCL19 IFNE IGF2 IL11 SCUBE1																	CSH2 GDF1 INS-IGF2										CCL19 CSH2 IGF2 INS-IGF2			CSH1 IFNE LEFTY1 PGF S100G SCUBE1 WNT9A								IFNE S100G WNT9A				
PID_AJDISS_2PATHWAY												GFRA1 MEP1B RET																						MEP1B RET								GFRA1 RET							GFRA1 MEP1B			GFRA1 MEP1B RET											
PID_AMB2_NEUTROPHILS_PATHWAY			JAM3 MMP2																											JAM3 MMP2																																	
PID_AP1_PATHWAY	GATA2 NTS						GATA2 NTS				AGT GATA2 NTS																	GATA2 NTS	AGT GATA2 NTS																			GATA2 NTS															
PID_AR_NONGENOMIC_PATHWAY												GNAO1 GNG2	GNAO1 GNG2																			GNAO1 GNG2										GNAO1 GNG2										GNAO1 GNG2											
PID_BETA_CATENIN_NUC_PATHWAY			CCND2 MMP2 VCAN																																	CCND2 MMP2 VCAN																											
PID_CONE_PATHWAY			CNGA3 RGS9																																	CNGA3 RGS9						CNGA3 RGS9					CNGA3 RGS9																
PID_CXCR3_PATHWAY																																										GNAO1 GNG2										GNAO1 GNG2											
PID_ENDOTHELIN_PATHWAY										GNAO1 PRKCG			ADCY1 ADCY2 GNAO1				ADCY1 ADCY2 TRPC6								ADCY1 ADCY2 TRPC6							ADCY1 GNAO1 TRPC6		ADCY2 GNAO1					ADCY1 ADCY2 GNAO1 PRKCG TRPC6					ADCY1 TRPC6	ADCY1 ADCY2				GNAO1 PRKCG TRPC6						ADCY1 GNAO1 PRKCG								
PID_ER_NONGENOMIC_PATHWAY			GNG2 MMP2										GNAO1 GNG2																			GNAO1 GNG2 MMP2		GNAO1 MMP2	GNAO1 MMP2	GNAO1 MMP2			GNAO1 MMP2			GNAO1 GNG2	GNG2 MMP2				GNG2 MMP2					GNAO1 GNG2											
PID_HDAC_CLASSII_PATHWAY			GATA2 GNG2																										GATA2 GNG2																							GATA2 GNG2											
PID_HEDGEHOG_GLI_PATHWAY																																										GNAO1 GNG2																					
PID_HES_HEY_PATHWAY													ASCL1 HES6 HEY1																													ASCL1 HEY1																					
PID_HIF2PATHWAY																	ADORA2A POU5F1																																														
PID_HNF3B_PATHWAY			ABCC8 APOA1 CPT1C	ABCC8 GCK KCNJ11	ABCC8 GCK KCNJ11 UCP2					CPT1C UCP2		ABCC8 APOA1 GCK TTR UCP2	ABCC8 GCK UCP2			GCK UCP2	ABCC8 APOA1 GCK TTR												ABCC8 APOA1 CPT1C GCK TTR	ABCC8 TTR	APOA1 CPT1C GCK KCNJ11 TTR UCP2	APOA1 GCK KCNJ11 UCP2		ABCC8 APOA1 GCK KCNJ11		ABCC8 CPT1C UCP2					APOA1 KCNJ11						APOA1 GCK KCNJ11 TTR UCP2		CPT1C GCK	ABCC8 KCNJ11	APOA1 TTR				APOA1 GCK TTR UCP2	ABCC8 UCP2							
PID_IL8_CXCR1_PATHWAY												GNG2 PRKCG																																			GNG2 PRKCG																
PID_IL8_CXCR2_PATHWAY																																															GNG2 PRKCG																
PID_INSULIN_PATHWAY			EIF4EBP1 PARD6A		EIF4EBP1 PARD6A					EIF4EBP1 PARD6A																											EIF4EBP1 PARD6A					EIF4EBP1 PARD6A																					
PID_INTEGRIN2_PATHWAY												F10 JAM3																			F10 JAM3 SPON2	F10 JAM3																															
PID_INTEGRIN_A4B1_PATHWAY																																																				MDK SPP1											
PID_INTEGRIN_A9B1_PATHWAY													ADAM12 SPP1																													ADAM12 SPP1										ADAM12 SPP1											
PID_KIT_PATHWAY																																			GRAP2 KIT																												
PID_LIS1_PATHWAY				CDK5R2 DCX								CDK5R2 DCX MAP1B																																			CDK5R2 MAP1B					DCX MAP1B											
PID_LKB1_PATHWAY													BRSK1 BRSK2 MAP2				BRSK1 MAP2													BRSK2 MAP2	BRSK1 BRSK2 MAP2																			BRSK1 BRSK2													
PID_LPA4_PATHWAY													ADCY1 ADCY2				ADCY1 ADCY2								ADCY1 ADCY2						ADCY1 ADCY2								ADCY1 ADCY2						ADCY1 ADCY2																		
PID_LYSOPHOSPHOLIPID_PATHWAY			ADCY1 GNG2 MMP2										ADCY1 ADCY2 GNAO1 GNG2												ADCY1 ADCY2						ADCY1 ADCY2 GNG2	ADCY1 GNAO1 GNG2 MMP2		ADCY2 GNAO1 MMP2	GNAO1 MMP2				ADCY1 ADCY2 GNAO1 MMP2	ADCY2 MMP2					ADCY1 ADCY2 GNG2							ADCY1 GNAO1 GNG2											
PID_MET_PATHWAY					EIF4EBP1 PARD6A					EIF4EBP1 PARD6A																											EIF4EBP1 PARD6A																										
PID_MTOR_4PATHWAY				EIF4EBP1 RRAGD	EIF4EBP1 RRAGD																																																										
PID_NEPHRIN_NEPH1_PATHWAY			PARD6A TRPC6																													PARD6A TRPC6							PARD6A TRPC6																								
PID_NOTCH_PATHWAY													ADAM12 DLL1 DLL3						DLL3 MFAP2	DLL3 MFAP2							ADAM12 DLL3														ADAM12 DLL1						ADAM12 DLL1 DLL3																
PID_P38_ALPHA_BETA_PATHWAY																																MAP3K12 PAK3				MAP3K12 PAK3																											
PID_P38_MK2_PATHWAY																															ETV1 LSP1																																
PID_P53_DOWNSTREAM_PATHWAY																																				MMP2 SCN3B TP73 VCAN																											
PID_PRL_SIGNALING_EVENTS_PATHWAY																																AGT PTP4A3		AGT PTP4A3																													
PID_PS1_PATHWAY																																																			DLL1 NKD1												
PID_RETINOIC_ACID_PATHWAY																																							PRKCG RBP1								PRKCG RBP1								PRKCG RBP1								
PID_RET_PATHWAY																																										GFRA1 RET										DOK6 GFRA1 RET			GFRA1 RET								
PID_S1P_S1P3_PATHWAY													AKT3 GNAO1																			AKT3 GNAO1				AKT3 GNAO1			AKT3 GNAO1			AKT3 GNAO1										AKT3 GNAO1											
PID_SYNDECAN_4_PATHWAY																													ADAM12 MDK										ADAM12 MDK													ADAM12 MDK											
PID_THROMBIN_PAR1_PATHWAY			GNG2 TRPC6							GNAO1 PRKCG		GNAO1 GNG2 PRKCG																				GNAO1 GNG2 TRPC6							GNAO1 PRKCG TRPC6			GNAO1 GNG2							GNAO1 PRKCG TRPC6	GNAO1 PRKCG		GNAO1 GNG2			GNAO1 PRKCG								
PID_TOLL_ENDOGENOUS_PATHWAY			BGN VCAN																																																												
REACTOME_ABC_TRANSPORTER_DISORDERS				ABCC8 KCNJ11	ABCC8 KCNJ11																													ABCC8 APOA1 KCNJ11							APOA1 KCNJ11																			ABCC9 KCNJ11	ABCC8 ABCC9		
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS													CCND2 CDKN1C																										CCND2 CDKN1C													CCND2 CDKN1C											
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS					CHRNA3 CHRNB2					CHRNA5 CHRNB2		CHRNA3 CHRNA5 CHRNB2																			CHRNA5 CHRNB2								CHRNA3 CHRNB2																	CHRNA3 CHRNA5							
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE													SNAP25 STX1A	SNAP25 STX1A			SNAP25 STX1A								CPLX1 SNAP25				SNAP25 STX1A	CPLX1 SNAP25	CPLX1 SNAP25	CPLX1 SNAP25 STX1A				CPLX1 SNAP25 STX1A			CPLX1 SNAP25 STX1A			CPLX1 SNAP25													CPLX1 STX1A								
REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS													TUBA1A TUBB3																TUBA1A TUBB2B	TUBA1A TUBB2B											TUBA1A TUBB3 TUBB4A						TUBA1A TUBB3 TUBB4A								TUBA1A TUBB3 TUBB4A								
REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS																																				AKT3 TP73			AKT3 TP73																								
REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING			GNG2 GNG4 GRIK3 GRIK5									GNG2 GNG4 GRIK5 NCALD	GNG2 GNG4 GRIK3 GRIK5	GRIK5 NCALD															GNG2 GRIK5 NCALD		GNG2 GNG4 GRIK5 NCALD	GNG2 GNG4 GRIK5							GNG4 GRIK5 NCALD			GNG2 GRIK5	GNG2 NCALD				GNG2 GNG4 GRIK5 NCALD			GNG4 GRIK5 NCALD		GNG2 GNG4 GRIK5 NCALD			GNG4 GRIK5								
REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES			MMP11 MMP2 SPOCK3											MMP2 SPOCK3																MMP2 SPOCK3						MMP2 SPOCK3			MMP2 SPOCK3	MMP2 SPOCK3		MMP11 SPOCK3									MMP11 SPOCK3												
REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS					ADCY1 CAMK2B TUBB4A								ADCY1 LIN7A TUBA1A TUBB3									LIN7A TUBB4A			ADCY1 LIN7A TUBB4A					ADCY1 CAMK2B LIN7A TUBA1A TUBB2B											TUBA1A TUBB3 TUBB4A			ADCY1 LIN7A			CAMK2B GRIN1 LIN7A TUBA1A TUBB3 TUBB4A			CAMK2B LIN7A TUBB3	ADCY1 LIN7A TUBB3				ADCY1 TUBA1A TUBB3 TUBB4A	CAMK2B TUBB4A							
REACTOME_ACTIVATION_OF_RAC1				PAK3 PAK6																									PAK3 PAK6			PAK3 PAK6				PAK3 PAK6																											
REACTOME_ADENYLATE_CYCLASE_ACTIVATING_PATHWAY													ADCY1 ADCY2				ADCY1 ADCY2								ADCY1 ADCY2						ADCY1 ADCY2								ADCY1 ADCY2						ADCY1 ADCY2																		
REACTOME_ADENYLATE_CYCLASE_INHIBITORY_PATHWAY													ADCY1 ADCY2				ADCY1 ADCY2								ADCY1 ADCY2						ADCY1 ADCY2								ADCY1 ADCY2						ADCY1 ADCY2																		
REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS				CADM2 CADM3							CADM2 CADM3																									CADM2 CADM3																				CADM2 CADM3							
REACTOME_ADORA2B_MEDIATED_ANTI_INFLAMMATORY_CYTOKINES_PRODUCTION			ADCY1 GNG2 GNG4 SCT								ADORA2A SCT		ADCY1 ADCY2 GNG2 GNG4 SCT																		ADCY1 ADCY2 GIP GNG2 GNG4 GPBAR1	ADCY1 ADORA2A GNG2 GNG4 GPBAR1 SCT							ADCY1 ADCY2 GIP GNG4 GPBAR1 SCT			GIP GNG2 GPBAR1 SCT			ADCY1 ADCY2 GNG2 GPBAR1							ADCY1 ADORA2A GNG2 GNG4 SCT											
REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_1			GNG2 GNG4									GNG2 GNG4	GNG2 GNG4																		GNG2 GNG4	GNG2 GNG4															GNG2 GNG4					GNG2 GNG4											
REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_12			GNG2 GNG4									GNG2 GNG4	GNG2 GNG4																		GNG2 GNG4	GNG2 GNG4															GNG2 GNG4					GNG2 GNG4											
REACTOME_ADRENALINE_NORADRENALINE_INHIBITS_INSULIN_SECRETION			CACNA1C GNG2 GNG4									GNG2 GNG4	GNG2 GNG4																CACNA1C GNG2		GNG2 GNG4	CACNA1C GNG2 GNG4				CACNA1C GNG4				CACNA1C CACNB2							CACNB2 GNG2 GNG4			CACNA1C GNG4		CACNA1C GNG2 GNG4							CACNA1C CACNB2				
REACTOME_AGGREPHAGY																														TUBA1A TUBB2B											TUBA1A TUBB3 TUBB4A						TUBA1A TUBB3 TUBB4A								TUBA1A TUBB3 TUBB4A								
REACTOME_AMINO_ACIDS_REGULATE_MTORC1														ATP6V0E2 RRAGD																																																	
REACTOME_AMYLOID_FIBER_FORMATION																			APOA1 APOA4																																APOA1 APOA4 TTR												
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION										BLMH FBXL16 HECW2 WSB1																																																					
REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES																																									IFIT1 MX2 USP41														IFIT1 MX2 USP41								
REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION						ADORA2A DPEP1			ADORA2A DPEP1																ADCY1 ADCY2 DPEP1														ADCY1 ADCY2 GIP GNG4 GPBAR1 SCT						ADCY1 ADCY2 GGT5 GNG2 GPBAR1																		
REACTOME_AQUAPORIN_MEDIATED_TRANSPORT			ADCY1 GNG2 GNG4										ADCY1 ADCY2 GNG2 GNG4												ADCY1 ADCY2						ADCY1 ADCY2 GNG2 GNG4	ADCY1 GNG2 GNG4							ADCY1 ADCY2 GNG4						ADCY1 ADCY2 GNG2							ADCY1 GNG2 GNG4											
REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION																									ANK2 ST6GALNAC5 ST8SIA3 TUBB4A																														ANK2 CHST8 CNIH2 ST6GALNAC5 TUBA1A TUBB3 TUBB4A								
REACTOME_ASSEMBLY_AND_CELL_SURFACE_PRESENTATION_OF_NMDA_RECEPTORS					CAMK2B TUBB4A							CAMK2B LIN7A TUBA1A	LIN7A TUBA1A TUBB3									LIN7A TUBB4A			LIN7A TUBB4A				LIN7A TUBA1A TUBB2B	CAMK2B LIN7A TUBA1A TUBB2B				CAMK2B TUBB4A					CAMK2B GRIN1		TUBA1A TUBB3 TUBB4A						CAMK2B GRIN1 LIN7A TUBA1A TUBB3 TUBB4A			CAMK2B LIN7A TUBB3	LIN7A TUBB3				TUBA1A TUBB3 TUBB4A	CAMK2B TUBB4A							
REACTOME_ASSEMBLY_OF_ACTIVE_LPL_AND_LIPC_LIPASE_COMPLEXES																																				APOA4 LIPC																											
REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES																									COL14A1 DST		COL14A1 DST																	COL14A1 DST																			
REACTOME_AURKA_ACTIVATION_BY_TPX2																																									TUBA1A TUBB4A						CEP290 TUBA1A TUBB4A																
REACTOME_AUTOPHAGY		RRAGD TUBB3																																							TUBA1A TUBB3 TUBB4A																						
REACTOME_A_TETRASACCHARIDE_LINKER_SEQUENCE_IS_REQUIRED_FOR_GAG_SYNTHESIS			BGN VCAN									B3GAT1 GPC2	B3GAT1 GPC6				GPC6 VCAN																		GPC2 GPC6	GPC6 VCAN	BGN GPC2		B3GAT1 BGN GPC6										GPC6 VCAN														
REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING										GNAO1 PARD6A PRKCG		GNAO1 GNG2 GNG4 PARD6A PRKCG																																											GNAO1 GNG4 PARD6A PRKCG								
REACTOME_BIOLOGICAL_OXIDATIONS													GLYATL3 GSTA2 NNMT PODXL2 SULT2A1 TPST2		ARNT2 GSTA2 NNMT		ARNT2 CES1 DPEP1 GLYATL3 NNMT SULT2A1												ARNT2 CES1 DPEP1 GLYATL3 GSTA2 NNMT PODXL2 SULT2A1	ARNT2 DPEP1 GLYATL3 PODXL2 SULT2A1										ARNT2 GLYATL3 GSTA2 NNMT PODXL2		ARNT2 GLYATL3 GSTA2 NNMT TPST2	ARNT2 DPEP1 PODXL2 SULT2A1 TPST2		GGT5 GLYATL3 GSTA2 NNMT SULT2A1																		
REACTOME_BIOSYNTHESIS_OF_THE_N_GLYCAN_PRECURSOR_DOLICHOL_LIPID_LINKED_OLIGOSACCHARIDE_LLO_AND_TRANSFER_TO_A_NASCENT_PROTEIN																									ST6GALNAC5 ST8SIA3																																						
REACTOME_CA2_ACTIVATED_K_CHANNELS			KCNMB3 KCNN3									KCNMA1 KCNMB2 KCNMB3		KCNMB3 KCNN3	KCNMB2 KCNMB3 KCNN3		KCNMA1 KCNMB2									KCNMA1 KCNMB3	KCNMA1 KCNMB2		KCNMA1 KCNMB2 KCNN3	KCNMA1 KCNMB3	KCNMB2 KCNMB3 KCNN3	KCNMA1 KCNMB2				KCNMA1 KCNMB2 KCNN3	KCNMA1 KCNN3			KCNMA1 KCNMB2 KCNN3		KCNMA1 KCNMB2 KCNN3	KCNMA1 KCNN3	KCNMB2 KCNMB3					KCNMA1 KCNMB2 KCNN3														
REACTOME_CA2_PATHWAY												GNAO1 GNG2 GNG4	GNAO1 GNG2 GNG4																			GNAO1 GNG2 GNG4																				GNAO1 GNG2 GNG4											
REACTOME_CARBOXYTERMINAL_POST_TRANSLATIONAL_MODIFICATIONS_OF_TUBULIN														LRRC49 TPGS1															LRRC49 TUBA1A TUBB2B	LRRC49 TUBA1A TUBB2B	LRRC49 TPGS1 TUBB3								LRRC49 TPGS1		TUBA1A TUBB3 TUBB4A	LRRC49 TPGS1					LRRC49 TUBA1A TUBB3 TUBB4A			LRRC49 TUBB3	LRRC49 TUBB3	TPGS1 TUBB3			LRRC49 TPGS1 TUBA1A TUBB3 TUBB4A	LRRC49 TPGS1 TUBB4A							
