	AEBP1	ARNT2	ARX	ASCL1	ASCL2	ATOH8	CCDC17	CSRNP3	DACH1	DPF3	DZIP1	E2F7	EBF3	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	HES4	HEY1	HEYL	HHEX	HIC1	HLF	HMBOX1	INSM1	ISL1	KCNIP3	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NFAT5	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	PLAG1	POU2F2	POU5F1	PROX1	RFX6	SETBP1	SIM1	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF519	ZNF846	ZNF853	ZNF883
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION															ADCY1 ADCY2 ADCY5 ITPR1		CACNA1C KCNMB2		ADCY1 ADCY2 ADCY5 ADORA2A CACNA1C ITPR1 KCNMA1 KCNMB2	ADORA2A ITPR1						ADCY1 ADCY2 ADCY5 CACNA1C		AVPR1B ITPR1 KCNMA1 KCNMB2		ADCY2 ADCY5 CACNA1C KCNMA1 KCNMB2		ADCY1 ADCY2 ADCY5 AVPR1B ITPR1 KCNMB2	ADCY1 ADORA2A AVPR1B CACNA1C KCNMA1 KCNMB2				ADCY5 AVPR1B CACNA1C KCNMA1 KCNMB2				ADCY1 ADCY2 ADCY5 AVPR1B ITPR1 PRKCG	ADCY2 ADCY5 CACNA1C ITPR1 KCNMA1 KCNMB2		ADCY5 AVPR1B KCNMA1 KCNMB2			ADCY1 KCNMB2						ADCY5 ITPR1 KCNMA1 KCNMB2 PRKCG	ADCY5 ADORA2A CACNA1C ITPR1 KCNMB2 PRKCG					ADCY1 ADCY5 ITPR1 KCNMB2 PRKCG				CACNA1C KCNMB2				
KEGG_VIBRIO_CHOLERAE_INFECTION																																																																ATP6V1G2 PRKCG			
KEGG_WNT_SIGNALING_PATHWAY												FZD4 NKD1 PRKCG		CAMK2B FZD4 NKD1 PRKCG SFRP1		FZD4 MAPK10 PRICKLE2 SFRP1											CAMK2B PRICKLE2									FZD4 MAPK10 PRICKLE2	CAMK2B CXXC4 MAPK10 NKD1 PRICKLE2	MAPK10 PRICKLE2	CAMK2B FZD4 MAPK10		CAMK2B CXXC4 FZD4 MAPK10 NKD1 PRICKLE2 PRKCG									CAMK2B CXXC4 NKD1 PRKCG SFRP1				CAMK2B CXXC4 MAPK10 NKD1 PRICKLE2 PRKCG					CXXC4 FZD4 MAPK10 PRICKLE2 PRKCG					MAPK10 PRICKLE2 PRKCG SFRP1	FZD4 PRKCG SFRP1		
NABA_COLLAGENS				COL12A1 COL22A1															COL12A1 COL1A2 COL22A1									COL12A1 COL14A1		COL12A1 COL14A1 COL1A2													COL1A2 COL22A1				COL14A1 COL1A2									COL14A1 COL1A2			COL12A1 COL14A1 COL22A1						COL12A1 COL22A1		
NABA_CORE_MATRISOME			BGN COL1A2 CRISPLD1 LGI3 MMRN1 SMOC1 SNED1 SPOCK3 VCAN											COL14A1 COL1A2 IGFBPL1 IGSF10 MMRN1 SMOC1 SNED1 SPOCK3		COL12A1 LGI3 MMRN1 SMOC1 SNED1 SPOCK3 USH2A VCAN VWA5B2	COL12A1 IGSF10 SMOC1 SPON2	COL12A1 IGFBPL1 SMOC1 USH2A	COL12A1 COL1A2 COL22A1 IGSF10 LGI3 VCAN VWA5B2				BGN IGFBPL1 SPP1		COL14A1 FBN1 SPOCK3	COL14A1 IGSF10 SMOC1 SPOCK3				COL12A1 COL14A1 COL1A2 FBN1 IGSF10 LGI3 MMRN1 SNED1 SPOCK3 USH2A VCAN		COL14A1 COL1A2 FBN1 IGSF10 PODN SPOCK3 SPON2 USH2A	COL1A2 COL22A1 IGSF10 PODN SMOC1 SNED1 SPOCK3 USH2A		IGFBPL1 IGSF10 SPON2 USH2A VWA5B2	IGSF10 SMOC1 SPON2 USH2A	COL14A1 COL22A1 SMOC1 SNED1 SPOCK3 SPON2 USH2A VCAN VWA5B2						COL1A2 COL22A1 PODN SMOC1			SNED1 SPON2	COL14A1 COL1A2 IGSF10 SPOCK3 USH2A			COL12A1 IGFBPL1 IGSF10 LGI3 MMRN1 SNED1 VWA5B2						COL14A1 COL1A2 IGSF10 LGI3 MMRN1 SMOC1 SNED1 SPP1		LGI3 SNED1		COL22A1 FBN1 SMOC1							
NABA_ECM_AFFILIATED																																				C1QL1 GPC2 GPC6							C1QL1 GPC6 PLXNC1																								
NABA_ECM_GLYCOPROTEINS			CRISPLD1 LGI3 MMRN1 SMOC1 SNED1													LGI3 MMRN1 SMOC1 SNED1 USH2A VWA5B2	IGSF10 SMOC1 SPON2	IGFBPL1 SMOC1 USH2A					IGFBPL1 SPP1	FBN1 LGI3						FBN1 IGSF10 LGI3 MMRN1 SNED1 USH2A					IGFBPL1 IGSF10 SPON2 USH2A VWA5B2	IGSF10 SMOC1 SPON2 USH2A										SNED1 SPON2				IGFBPL1 IGSF10 LGI3 MMRN1 SNED1 VWA5B2						IGSF10 LGI3 MMRN1 SMOC1 SNED1 SPP1		LGI3 SNED1									
NABA_ECM_REGULATORS			ADAMTS2 ADAMTSL1 MEP1B MMP2 PAPPA2 SERPINA10													ADAM12 ADAMTSL1 CELA3A MEP1B MMP2 SERPINA10														ADAM12 ADAMTSL1 AGT CELA3A MEP1B MMP13 PAPPA2 SERPINA10		ADAM12 ADAMTSL1 ADAMTSL2 CELA3A F10 MEP1B PAPPA2 SERPINA10	ADAM12 ADAMTSL2 AGT CELA3A F10 MEP1B MMP2 PAPPA2 SERPINA10		ADAMTSL2 AGT MEP1B MMP2 PAPPA2						ADAM12 ADAMTSL1 AGT MEP1B MMP13 MMP2 PAPPA2 SERPINA10				ADAM12 ADAMTSL2 CELA3A MEP1B MMP2																						
NABA_MATRISOME			ADAMTS2 ADAMTSL1 BGN CFC1 COL1A2 CRISPLD1 FGF14 FGF17 LGI3 MEP1B MMP2 MMRN1 PAPPA2 PDGFD SCUBE1 SCUBE3 SERPINA10 SFRP1 SMOC1 SNED1 SPOCK3 VCAN				CFC1B CLEC4G CXCL12 PODN		CSH1 CSH2 IGFBPL1							ADAM12 ADAMTSL1 CELA3A CFC1B COL12A1 LGI3 MEP1B MMP2 MMRN1 SCUBE1 SERPINA10 SFRP1 SMOC1 SNED1 SPOCK3 USH2A VCAN VWA5B2	CELA3A COL12A1 CSH1 IGSF10 INS-IGF2 LEFTY1 PDGFD SMOC1 SPON2													ADAM12 ADAMTSL1 AGT C1QL1 CELA3A CFC1 CFC1B CLEC4G COL12A1 COL14A1 COL1A2 FBN1 FGF14 FGF17 IGSF10 LGI3 MEP1B MMP13 MMRN1 PAPPA2 S100A1 SCUBE1 SCUBE3 SERPINA10 SFRP1 SNED1 SPOCK3 USH2A VCAN		ADAM12 ADAMTSL1 ADAMTSL2 C1QL1 CELA3A CFC1 COL14A1 COL1A2 ELFN1 F10 FBN1 FGF17 IGSF10 LEFTY1 MEP1B PAPPA2 PLXNC1 PODN S100A1 SCUBE3 SERPINA10 SFRP1 SPOCK3 SPON2 USH2A	ADAM12 ADAMTSL2 AGT C1QL1 CELA3A CFC1B CLEC4G COL1A2 COL22A1 ELFN1 F10 IGSF10 MEP1B MMP2 PAPPA2 PDGFD PLXNC1 PODN S100A1 SCUBE1 SCUBE3 SERPINA10 SMOC1 SNED1 SPOCK3 USH2A		ADAMTSL2 AGT C1QL1 CFC1 CFC1B GPC2 IGFBPL1 IGSF10 MEP1B MMP2 PAPPA2 SCUBE1 SPON2 USH2A VWA5B2	C1QL1 CFC1B GPC2 GPC6 IGSF10 MMP2 SCUBE1 SMOC1 SPON2 USH2A	ADAMTSL1 CELA3A CFC1B COL14A1 COL22A1 CXCL12 FGF14 GPC6 MEP1B MMP2 PDGFD PLXNC1 SMOC1 SNED1 SPOCK3 SPON2 USH2A VCAN VWA5B2						ADAM12 C1QL1 CELA3A COL1A2 COL22A1 FGF14 GPC6 INS-IGF2 PLXNC1 PODN SMOC1				CFC1 COL14A1 COL1A2 FGF14 IGSF10 MEP1B SCUBE1 SPOCK3 USH2A				CSH1 CSH2					ADAM12 ADAMTSL2 AGT C1QL1 CFC1 COL14A1 COL1A2 FGF14 IGSF10 LGI3 MEP1B MMRN1 SCUBE1 SMOC1 SNED1 SPP1										IGFBPL1 INS-IGF2	
NABA_MATRISOME_ASSOCIATED			ADAMTS2 ADAMTSL1 CFC1 FGF14 FGF17 MEP1B MMP2 PAPPA2 PDGFD SCUBE1 SCUBE3 SERPINA10 SFRP1																											ADAM12 ADAMTSL1 AGT C1QL1 CELA3A CFC1 CFC1B CLEC4G FGF14 FGF17 MEP1B MMP13 PAPPA2 S100A1 SCUBE1 SCUBE3 SERPINA10 SFRP1		ADAM12 ADAMTSL1 ADAMTSL2 C1QL1 CELA3A CFC1 ELFN1 F10 FGF17 LEFTY1 MEP1B PAPPA2 PLXNC1 S100A1 SCUBE3 SERPINA10 SFRP1	ADAM12 ADAMTSL2 AGT C1QL1 CELA3A CFC1B CLEC4G ELFN1 F10 MEP1B MMP2 PAPPA2 PDGFD PLXNC1 S100A1 SCUBE1 SCUBE3 SERPINA10		ADAMTSL2 AGT C1QL1 CFC1 CFC1B GPC2 MEP1B MMP2 PAPPA2 SCUBE1										ADAM12 ADAMTSL2 CELA3A GPC2 LEFTY1 MEP1B MMP2 S100A1 SCUBE1 SCUBE3 SFRP1						CSH1 CSH2																
NABA_PROTEOGLYCANS			BGN SPOCK3 VCAN													SPOCK3 VCAN														SPOCK3 VCAN	SPOCK3 VCAN	PODN SPOCK3					SPOCK3 VCAN				BGN SPOCK3												SPOCK3 VCAN														
NABA_SECRETED_FACTORS			CFC1 FGF14 FGF17 PDGFD SCUBE1 SCUBE3 SFRP1				CFC1B CXCL12		CSH1 CSH2								CSH1 INS-IGF2 LEFTY1 PDGFD				CSH2 SCUBE1																														CSH1 CSH2																
PID_AJDISS_2PATHWAY														GFRA1 MEP1B RET		MEP1B NTRK2										MEP1B NTRK2									MEP1B RET						GFRA1 MEP1B NTRK2	MEP1B NTRK2		GFRA1 NTRK2 RET			MEP1B NTRK2						GFRA1 MEP1B NTRK2	NTRK2 RET		GFRA1 MEP1B NTRK2 RET											
PID_AMB2_NEUTROPHILS_PATHWAY			JAM3 MMP2																												JAM3 MMP2																																				
PID_ANGIOPOIETIN_RECEPTOR_PATHWAY																GRB14 MMP2																										GRB14 MMP2			GRB14 MMP2																						
PID_AP1_PATHWAY	GATA2 NTS						GATA2 NTS						AGT GATA2 NTS						AGT COL1A2 NTS										GATA2 NTS	AGT COL1A2 GATA2 NTS			AGT COL1A2 GATA2 NTS																			GATA2 NTS				AGT COL1A2 GATA2											
PID_AR_NONGENOMIC_PATHWAY														GNAO1 GNG2	GNAO1 GNG2																		GNAO1 GNG2											GNAO1 GNG2												GNAO1 GNG2											
PID_AVB3_INTEGRIN_PATHWAY																												COL12A1 COL14A1		COL12A1 COL14A1 COL1A2																	COL14A1 COL1A2									COL14A1 COL1A2 SPP1											
PID_BETA_CATENIN_NUC_PATHWAY																																				CACNA1G MMP2																															
PID_CDC42_REG_PATHWAY																																			ARHGEF25 MCF2L						ARHGEF25 MCF2L																										
PID_CMYB_PATHWAY																													CCNA1 KIT																																						
PID_CONE_PATHWAY			CNGA3 RGS9																																		CNGA3 RGS9							CNGA3 RGS9						CNGA3 RGS9																	
PID_CXCR3_PATHWAY															GNAO1 GNG2																													GNAO1 GNG2												GNAO1 GNG2											
PID_CXCR4_PATHWAY																																												CXCL12 GNAO1 GNG2																							
PID_E2F_PATHWAY													CES1 HIC1																																																						
PID_ENDOTHELIN_PATHWAY												GNAO1 PRKCG		COL1A2 GNAO1 PRKCG	ADCY1 ADCY2 ADCY5 GNAO1				ADCY1 ADCY2 ADCY5 COL1A2							ADCY1 ADCY2 ADCY5				ADCY2 ADCY5 COL1A2		ADCY1 ADCY2 ADCY5 COL1A2	ADCY1 COL1A2 CYSLTR2 GNAO1		ADCY2 GNAO1	ADCY5 GNAO1					ADCY1 ADCY2 ADCY5 GNAO1 PRKCG	ADCY2 ADCY5 CYSLTR2	ADCY5 COL1A2				ADCY1 COL1A2	ADCY1 ADCY2					ADCY5 CYSLTR2 GNAO1 PRKCG	ADCY5 GNAO1 PRKCG		ADCY1 COL1A2 GNAO1			ADCY1 ADCY5 GNAO1 PRKCG						ADCY5 PRKCG		
PID_ER_NONGENOMIC_PATHWAY			GNG2 MMP2												GNAO1 GNG2																		GNAO1 GNG2 MMP2		GNAO1 MMP2	GNAO1 MMP2					GNAO1 MMP2			GNAO1 GNG2	GNG2 MMP2											GNAO1 GNG2											
PID_FGF_PATHWAY														FGF17 KLB NCAM1																														FGF17 NCAM1 SPP1																							
PID_FOXM1_PATHWAY			MMP2 ONECUT1																																							MMP2 ONECUT1																									
PID_FRA_PATHWAY			COL1A2 MMP2																																																																
PID_HDAC_CLASSII_PATHWAY			GATA2 GNG2																											GATA2 GNG2																										GATA2 GNG2											
PID_HEDGEHOG_GLI_PATHWAY			GNG2 MTSS1											GNAO1 GNG2 MTSS1	GNAO1 GNG2																		GNAO1 GNG2 MTSS1											GNAO1 GNG2 MTSS1	GNG2 MTSS1									GNAO1 MTSS1		GNAO1 GNG2 MTSS1											
PID_HES_HEY_PATHWAY															ASCL1 HES6																																																				
PID_HIF1_TFPATHWAY							CXCL12 GATA2																						CXCL12 GATA2																																						
PID_HNF3B_PATHWAY			ABCC8 CPT1C	ABCC8 GCK KCNJ11	ABCC8 GCK KCNJ11									ABCC8 GCK TTR	ABCC8 GCK				ABCC8 GCK TTR											ABCC8 CPT1C GCK TTR	ABCC8 TTR	CPT1C GCK KCNJ11 TTR			ABCC8 GCK KCNJ11															GCK KCNJ11 TTR				ABCC8 KCNJ11					GCK TTR								
PID_IL8_CXCR1_PATHWAY														GNG2 PRKCG																																				GNG2 PRKCG																	
PID_IL8_CXCR2_PATHWAY																																																		GNG2 PRKCG																	
PID_INTEGRIN2_PATHWAY														F10 JAM3																		F10 JAM3 SPON2	F10 JAM3																																		
PID_INTEGRIN3_PATHWAY																																																								COL1A2 SPP1											
PID_INTEGRIN_A9B1_PATHWAY															ADAM12 SPP1																													ADAM12 SPP1												ADAM12 SPP1											
PID_LIS1_PATHWAY				CDK5R1 CDK5R2 DCX	CDK5R1 CDK5R2									CDK5R1 CDK5R2 DCX MAP1B	CDK5R1 CDK5R2																																			CDK5R1 CDK5R2 MAP1B						DCX MAP1B									CDK5R1 CDK5R2		
PID_LKB1_PATHWAY															BRSK1 BRSK2 MAP2				BRSK1 MAP2												BRSK2 MAP2	BRSK1 BRSK2 MAP2						BRSK1 MAP2																BRSK1 BRSK2													
PID_LPA4_PATHWAY															ADCY1 ADCY2 ADCY5				ADCY1 ADCY2 ADCY5							ADCY1 ADCY2 ADCY5				ADCY2 ADCY5		ADCY1 ADCY2 ADCY5									ADCY1 ADCY2 ADCY5	ADCY2 ADCY5						ADCY1 ADCY2											ADCY1 ADCY5								
PID_LYSOPHOSPHOLIPID_PATHWAY			ADCY1 GNG2 MMP2												ADCY1 ADCY2 ADCY5 GNAO1 GNG2				ADCY1 ADCY2 ADCY5							ADCY1 ADCY2 ADCY5				ADCY2 ADCY5 GNG2		ADCY1 ADCY2 ADCY5 GNG2	ADCY1 GNAO1 GNG2 MMP2		ADCY2 GNAO1 MMP2	ADCY5 GNAO1 MMP2	ADCY5 GNAO1 MMP2				ADCY1 ADCY2 ADCY5 GNAO1 MMP2	ADCY2 ADCY5 MMP2		ADCY5 GNAO1 GNG2	ADCY5 GNG2 MMP2			ADCY1 ADCY2 GNG2								ADCY1 GNAO1 GNG2			ADCY1 ADCY5 GNAO1								
PID_NOTCH_PATHWAY				DLL1 DNER														ADAM12 DTX1						DLL1 DTX1						ADAM12 DNER DTX1		ADAM12 DLL1 DNER DTX1											ADAM12 DLL1		ADAM12 DLL1 DTX1	ADAM12 DNER				ADAM12 DLL1 DNER DTX1																	
PID_P38_ALPHA_BETA_PATHWAY																																	MAP3K12 PAK3				MAP3K12 PAK3																														
PID_P53_DOWNSTREAM_PATHWAY													HIC1 SCN3B																												HIC1 MMP2 SCN3B TP73																										
PID_PRL_SIGNALING_EVENTS_PATHWAY																																	AGT PTP4A3		AGT PTP4A3																																
PID_PS1_PATHWAY															DLL1 NKD1									DLL1 DTX1																					DLL1 DTX1					DLL1 DTX1 NKD1				DTX1 NKD1	DLL1 NKD1												
PID_REELIN_PATHWAY														CDK5R1 MAP1B																																				CDK5R1 MAP1B																	
PID_REG_GR_PATHWAY																																																																CDK5R1 MAPK10			
PID_RETINOIC_ACID_PATHWAY																																									PRKCG RBP1									PRKCG RBP1									PRKCG RBP1								
PID_RET_PATHWAY																																												GFRA1 RET												DOK6 GFRA1 RET			GFRA1 RET								
PID_RHOA_REG_PATHWAY																																			ARHGEF25 MCF2L																																
PID_S1P_S1P3_PATHWAY															AKT3 GNAO1																		AKT3 GNAO1				AKT3 GNAO1				AKT3 GNAO1			AKT3 GNAO1												AKT3 GNAO1											
PID_SYNDECAN_1_PATHWAY																			COL12A1 COL1A2									COL12A1 COL14A1		COL12A1 COL14A1 COL1A2																	COL14A1 COL1A2									COL14A1 COL1A2			COL12A1 COL14A1								
PID_SYNDECAN_4_PATHWAY																																									ADAM12 CXCL12			ADAM12 CXCL12																							
PID_THROMBIN_PAR1_PATHWAY												GNAO1 PRKCG		GNAO1 GNG2 PRKCG	GNAO1 GNG2																													GNAO1 GNG2									GNAO1 PRKCG	GNAO1 PRKCG		GNAO1 GNG2			GNAO1 PRKCG								
PID_TOLL_ENDOGENOUS_PATHWAY			BGN VCAN																																																																
PID_TRKR_PATHWAY					MCF2L NTRK2											MCF2L NTRK2 SHC3	MCF2L NTRK2																									NTRK2 SHC3	NTRK2 SHC3																								
REACTOME_ABC_TRANSPORTER_DISORDERS				ABCC8 KCNJ11	ABCC8 KCNJ11																																																														
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS					CHRNA3 CHRNB2							CHRNA5 CHRNB2		CHRNA3 CHRNA5 CHRNB2																		CHRNA5 CHRNB2									CHRNA3 CHRNB2																			CHRNA3 CHRNA5							
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE															SNAP25 STX1A	SNAP25 STX1A			SNAP25 STX1A							CPLX1 SNAP25				SNAP25 STX1A	CPLX1 SNAP25	CPLX1 SNAP25	CPLX1 SNAP25 STX1A				CPLX1 SNAP25 STX1A				CPLX1 SNAP25 STX1A			CPLX1 SNAP25															CPLX1 STX1A								
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS			DNER DTX1	DLL1 DNER																				DLL1 DTX1						DNER DTX1		DLL1 DNER DTX1													DLL1 DTX1					DLL1 DNER DTX1									DLL1 DNER								
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_CDK5					CDK5R1 NTRK2																																CDK5R1 NTRK2																														
REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS																																					AKT3 TP73				AKT3 TP73																										
REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING			GNG2 GNG4 GRIK3 GRIK5											GNG2 GNG4 GRIK5 NCALD	GNG2 GNG4 GRIK3 GRIK5	GRIK5 NCALD														GNG2 GRIK5 NCALD		GNG2 GNG4 GRIK5 NCALD	GNG2 GNG4 GRIK5								GNG4 GRIK5 NCALD			GNG2 GRIK5	GNG2 NCALD					GNG2 GNG4 GRIK5 NCALD				GNG4 GRIK5 NCALD		GNG2 GNG4 GRIK5 NCALD			GNG4 GRIK5								
REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES			MMP2 SPOCK3											MMP13 SPOCK3		MMP2 SPOCK3														MMP13 SPOCK3	MMP2 SPOCK3						MMP2 SPOCK3				MMP13 MMP2 SPOCK3	MMP2 SPOCK3													MMP13 SPOCK3												
REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS	GRIA2 GRIN1			CAMK1 CAMK2B GRIN2C PPM1E	ADCY1 CAMK1 CAMK2B PPM1E TUBB4A		GRIA2 GRIN2C			GRIA2 GRIN2C					ADCY1 GRIN2C LIN7A PPM1E				ADCY1 GRIA2 PPM1E				LIN7A TUBB4A			ADCY1 LIN7A PPM1E TUBB4A				CAMK1 GRIA2 LIN7A NEFL PPM1E TUBB2B	ADCY1 CAMK2B LIN7A PPM1E TUBB2B	ADCY1 GRIA2 LIN7A PPM1E									ADCY1 CAMK1 CAMK2B GRIN1		GRIN2C TUBB4A				ADCY1 LIN7A	ADCY1 PPM1E		CAMK2B GRIN1 LIN7A NEFL PPM1E TUBB4A			GRIA2 GRIN1 GRIN2C NEFL PPM1E	CAMK2B GRIN2C LIN7A NEFL PPM1E	ADCY1 LIN7A PPM1E	ADCY1 GRIN2C LIN7A			ADCY1 CAMK1 GRIN2C PPM1E TUBB4A	CAMK2B TUBB4A							NEFL PPM1E
REACTOME_ACTIVATION_OF_RAC1				PAK3 PAK6																										PAK3 PAK6			PAK3 PAK6				PAK3 PAK6																														
REACTOME_ACTIVATION_OF_TRKA_RECEPTORS																																	ADORA2A NTRK2																					ADORA2A NTRK2		ADORA2A NTRK2											
REACTOME_ADENYLATE_CYCLASE_ACTIVATING_PATHWAY															ADCY1 ADCY2 ADCY5				ADCY1 ADCY2 ADCY5							ADCY1 ADCY2 ADCY5				ADCY2 ADCY5		ADCY1 ADCY2 ADCY5									ADCY1 ADCY2 ADCY5	ADCY2 ADCY5						ADCY1 ADCY2											ADCY1 ADCY5								
REACTOME_ADENYLATE_CYCLASE_INHIBITORY_PATHWAY															ADCY1 ADCY2 ADCY5				ADCY1 ADCY2 ADCY5							ADCY1 ADCY2 ADCY5				ADCY2 ADCY5		ADCY1 ADCY2 ADCY5									ADCY1 ADCY2 ADCY5	ADCY2 ADCY5						ADCY1 ADCY2											ADCY1 ADCY5								
REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS				CADM2 CADM3									CADM2 CADM3																								CADM2 CADM3																							CADM2 CADM3							
REACTOME_ADORA2B_MEDIATED_ANTI_INFLAMMATORY_CYTOKINES_PRODUCTION			ADCY1 GNG2 GNG4 SCT		ADCY1 CRH SCT		CYSLTR2 GPR83			ADORA2A CYSLTR2			ADORA2A SCT		ADCY1 ADCY2 ADCY5 GNG2 GNG4 SCT				ADCY1 ADCY2 ADCY5 ADORA2A GPR83						CYSLTR2 GPR83	ADCY1 ADCY2 ADCY5				ADCY2 ADCY5 GIP GNG2 GPBAR1		ADCY1 ADCY2 ADCY5 CRH GIP GNG2 GNG4 GPBAR1	ADCY1 ADORA2A CRH CYSLTR2 GNG2 GNG4 GPBAR1 GPR83 SCT								ADCY1 ADCY2 ADCY5 CRH GIP GNG4 GPBAR1 GPR83 SCT	ADCY2 ADCY5 CYSLTR2 GPBAR1		ADCY5 CRH GIP GNG2 GPBAR1 SCT				ADCY1 ADCY2 GNG2 GPBAR1					ADCY5 CYSLTR2 GPBAR1 GPR83 SCT	ADCY5 ADORA2A GNG4 GPBAR1		ADCY1 ADORA2A CRH GNG2 GNG4 GPR83 SCT			ADCY1 ADCY5 CRH GIP GNG4						ADCY5 CRH GNG4		
REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_1			GNG2 GNG4											GNG2 GNG4	GNG2 GNG4																	GNG2 GNG4	GNG2 GNG4																	GNG2 GNG4						GNG2 GNG4											
REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_12			GNG2 GNG4											GNG2 GNG4	GNG2 GNG4																	GNG2 GNG4	GNG2 GNG4																	GNG2 GNG4						GNG2 GNG4											
REACTOME_ADRENALINE_NORADRENALINE_INHIBITS_INSULIN_SECRETION			CACNA1C CACNA2D2 GNG2 GNG4									CACNA2D2 CACNB2		CACNA2D2 GNG2 GNG4	ADCY5 GNG2 GNG4	ADCY5 CACNA2D2	CACNA1C CACNA2D2		ADCY5 CACNA1C							ADCY5 CACNA1C				ADCY5 CACNA1C CACNA2D2 GNG2		ADCY5 CACNA2D2 GNG2 GNG4	CACNA1C CACNA2D2 GNG2 GNG4				ADCY5 CACNA1C GNG4				ADCY5 CACNA2D2 GNG4	ADCY5 CACNA1C CACNA2D2 CACNB2		ADCY5 CACNA2D2 GNG2	ADCY5 GNG2			CACNA2D2 GNG2		CACNB2 GNG2 GNG4			ADCY5 CACNA2D2	ADCY5 CACNA1C CACNA2D2 GNG4		CACNA1C CACNA2D2 GNG2 GNG4			ADCY5 CACNA2D2 GNG4				CACNA1C CACNB2		ADCY5 GNG4		
REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION							CYSLTR2 GPR83			ADORA2A CYSLTR2					ADCY1 ADCY2 ADCY5 GNG2 GNG4 ITPR1 SCT				ADCY1 ADCY2 ADCY5 ADORA2A GPR83 ITPR1	ADORA2A ITPR1						ADCY1 ADCY2 ADCY5						ADCY1 ADCY2 ADCY5 CRH GIP GNG2 GNG4 GPBAR1 ITPR1	ADCY1 ADORA2A CRH CYSLTR2 GNG2 GNG4 GPBAR1 GPR83 SCT								ADCY1 ADCY2 ADCY5 CRH GIP GNG4 GPBAR1 GPR83 ITPR1 SCT	ADCY2 ADCY5 CYSLTR2 GPBAR1 ITPR1		ADCY5 CRH GIP GNG2 GPBAR1 SCT				ADCY1 ADCY2 GNG2 GPBAR1					ADCY5 CYSLTR2 GPBAR1 GPR83 ITPR1 SCT	ADCY5 ADORA2A GNG4 GPBAR1 ITPR1		ADCY1 ADORA2A CRH GNG2 GNG4 GPR83 SCT			ADCY1 ADCY5 CRH GIP GNG4 ITPR1			GPR83 ITPR1					
REACTOME_AQUAPORIN_MEDIATED_TRANSPORT			ADCY1 GNG2 GNG4												ADCY1 ADCY2 ADCY5 GNG2 GNG4				ADCY1 ADCY2 ADCY5							ADCY1 ADCY2 ADCY5				ADCY2 ADCY5 GNG2		ADCY1 ADCY2 ADCY5 GNG2 GNG4	ADCY1 GNG2 GNG4								ADCY1 ADCY2 ADCY5 GNG4	ADCY2 ADCY5			ADCY5 GNG2			ADCY1 ADCY2 GNG2						ADCY5 GNG4		ADCY1 GNG2 GNG4			ADCY1 ADCY5 GNG4						ADCY5 GNG4		
REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION																										ANK2 ST6GALNAC5 ST8SIA3 TUBB4A																																									
REACTOME_ASSEMBLY_AND_CELL_SURFACE_PRESENTATION_OF_NMDA_RECEPTORS				CAMK2B GRIN2C	CAMK2B TUBB4A										GRIN2C LIN7A								LIN7A TUBB4A			LIN7A TUBB4A				LIN7A NEFL TUBB2B	CAMK2B LIN7A TUBB2B				CAMK2B TUBB4A								GRIN2C TUBB4A	GRIN1 GRIN2C						CAMK2B GRIN1 LIN7A NEFL TUBB4A			GRIN1 GRIN2C NEFL	CAMK2B GRIN2C LIN7A NEFL		GRIN2C LIN7A			GRIN2C TUBB4A	CAMK2B TUBB4A							
REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES														COL14A1 COL1A2 MMP13														COL12A1 COL14A1		COL12A1 COL14A1 COL1A2 MMP13																	COL14A1 COL1A2																				
REACTOME_A_TETRASACCHARIDE_LINKER_SEQUENCE_IS_REQUIRED_FOR_GAG_SYNTHESIS			BGN VCAN											B3GAT1 GPC2	B3GAT1 GPC6				GPC6 VCAN																	GPC2 GPC6	GPC6 VCAN		BGN GPC2		B3GAT1 BGN GPC6												GPC6 VCAN														
