	AEBP1	ARNT2	ARX	ASCL1	ASCL2	ATOH8	CBX2	CCDC17	CSRNP3	CXXC4	DACH1	DPF3	DZIP1	E2F7	EBF3	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	GRHL3	HES4	HES6	HEY1	HEYL	HHEX	HIC1	HLF	HMBOX1	INSM1	ISL1	KCNIP3	LMX1A	LMX1B	LTF	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NFAT5	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	PLAG1	POU2F2	POU5F1	PROX1	RFX6	SETBP1	SIM1	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF117	ZNF382	ZNF492	ZNF514	ZNF519	ZNF788	ZNF846	ZNF853	ZNF883
REACTOME_COLLAGEN_DEGRADATION	1	1	0.026010018626477782	1	1	1	1	1	1	1	1	1	1	1	1	0.02407149792950336	1	1	1	1	0.024252899759259927	1	1	1	1	1	1	1	0.04297080907082629	1	1	0.011926489187940592	1	0.04778233310486413	1	1	1	0.08611999493986588	1	1	0.09650178152211941	1	1	1	1	1	1	1	0.07731755833101661	1	1	0.07897642301313279	1	1	1	1	1	1	1	1	0.007812496165743088	1	1	0.049857938825972115	0.007837827257090368	1	1	1	0.0512359395098112	1	1	1	1	1	1
REACTOME_COLLAGEN_FORMATION	1	1	0.07398742039746953	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.05275337779306988	0.004540140139079996	1	1	1	1	1	1	1	0.07845654212971098	1	1	0.0044852928413808835	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.027801443248542834	0.042909454543908154	1	1	1	1	1	1	1	0.0965170272213769	1	1	0.045764138881558614	1	1	1	1	0.014544397903355377	1	1	1	0.09604888214366503	1	1
REACTOME_COMPLEMENT_CASCADE	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.01689953770514585	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER	1	0.0725811918066177	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_COOPERATION_OF_PDCL_PHLP1_AND_TRIC_CCT_IN_G_PROTEIN_BETA_FOLDING	1	1	0.03724397794562939	1	1	1	1	1	1	1	1	1	1	0.009348812064829293	1	0.09265564340835242	0.0072517102521478805	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.09643265899671338	1	1	1	0.05713424566270264	1	1	1	0.012513575753377415	1	1	0.027200207856636127	1	1	1	1	1	0.047107959011218115	1	1	1	0.04802144257213503	1	0.047107959011218115	1	1	0.062240380086235	1	1	1	1	1	1	1	1	0.09182590878591301	1	1
REACTOME_COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0035144187954883055	1	1	1	1	1	1	0.02538367737746683	1	1	1	1	1	1	1	1	0.03404075157684683	1	1	1	1	1	1	1	1	1	1	1
REACTOME_COPI_DEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC	1	1	0.09955670315084497	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.03187279560544953	1	1	0.06666527672812483	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_COPI_INDEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.012861575125040825	1	1	1	1	1	1	1	1	1	1	1	1	1	0.06982699665063152	1	1	1	1	1	1	0.013188782048742409	1	1	1	1	1	1	0.08258991864843135	1	1	1	1	1	1	1	1	0.02756585337873174	1	1	1	1	1	1	1	1	1	1	1
REACTOME_COPI_MEDIATED_ANTEROGRADE_TRANSPORT	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0946843105555828	1	1	1	1	1	1	1	1	1	1	1	0.04350157022020551	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.06986662778835928	1	1	1	1	1	1	0.04763880066685833	1	1	1	1	1	1	1	1	0.07071898895148843	1	1	1	1	1	1	1	1	1	1	1
REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.017276774691550867	0.07360745099747779	1	1	1	1	0.02520845994430798	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.06014792036221084	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_CREB1_PHOSPHORYLATION_THROUGH_NMDA_RECEPTOR_MEDIATED_ACTIVATION_OF_RAS_SIGNALING	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.021911543869240213	1	1	1	1	1	1	1	1	0.016350862394300614	1	1	0.014540616428512343	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_CRMPS_IN_SEMA3A_SIGNALING	1	0.003921556074983457	1	1	0.013521408940391444	1	1	1	1	1	1	1	1	1	1	0.06228323576471606	0.034187562383657055	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.04311622490490641	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0029932929205173098	1	1	1	0.04597987268249426	1	1	1	1	1	1	1	1	1	1	1
REACTOME_CS_DS_DEGRADATION	1	1	0.024362812991116423	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	1	1	1	1	1	1	0.09584852636795071	1	1	1	1	1	0.012998367773303321	1	1	1	1	1	1	1	1	1	1	1	0.05961476443018632	0.007788987766559341	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.06805394265839315	1	1	1	1	1	1	1	1	1	1	1	0.0031251834382834964	1	1	1	1	1	0.09242167944964674	1	0.06924692239386798	1	1	1	1	1	1	1	1	1	1	1
REACTOME_CYTOSOLIC_SULFONATION_OF_SMALL_MOLECULES	1	1	0.008262825893439851	1	1	1	1	1	1	1	1	1	1	0.025430607352645684	1	1	0.0008914054575058783	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.014016426154029427	0.00797342276356694	1	1	1	1	1	1	0.08900708509404376	1	1	1	0.09399597633696799	1	0.020799329112467846	1	0.005718890417930389	1	0.013022661839031335	1	1	1	1	1	1	0.07876129789705921	1	0.0777065292699124	1	1	0.014554341639627655	1	1	1	1	1	1	1	1	1	1	1
REACTOME_C_TYPE_LECTIN_RECEPTORS_CLRS_	1	1	1	1	1	1	1	1	1	1	1	0.024434566074140074	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.029535808478023173	1	1	1	1	1	0.0017709917217247906	1	1	1	1	1	1	1	1	1	1	0.0783687583877607	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_DAG_AND_IP3_SIGNALING	1	1	1	0.052624213089701444	0.0771166805422947	1	1	1	1	1	1	1	1	0.0674505365154805	1	1	0.006655416863213359	1	1	1	0.005242728377958694	1	1	1	1	1	1	1	1	0.004770481746454003	1	1	1	1	1	1	0.018970993861164076	1	1	0.09668202330817122	1	1	1	1	1	0.00022902959214354812	0.011594363331290936	1	1	1	1	1	0.04874447854697661	1	1	1	1	0.03975044484886703	0.00808254907760908	1	1	1	1	0.011650194344706932	1	1	1	1	1	1	1	1	0.08812973228098908	1	1
REACTOME_DAP12_INTERACTIONS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.05230119659840826	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_DAP12_SIGNALING	1	1	0.09166008915925339	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.08965589411741126	1	1	1	1	0.05281002494694409	0.023329157400428957	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_DECTIN_2_FAMILY	1	1	0.0758940022440534	1	0.034048747302814486	1	1	1	1	1	1	0.0009204416646021452	1	1	0.007627394956922329	0.02821099349424061	0.011725420787503493	1	1	1	1	1	1	1	1	1	1	1	1	5.928741546912253e-05	1	1	1	1	0.07420297914226581	1.1710023985367357e-05	0.026527921324618786	0.0004960195991791094	1	1	1	1	1	1	1	0.017946544771527906	0.0032061879062648124	1	1	1	1	0.015191141576995415	1	1	1	1	1	1	0.09045624250203921	0.0012750386024023008	0.08926174049540436	1	1	0.002215794380810654	1	1	1	1	1	1	1	1	1	1	1
REACTOME_DEFECTIVE_B4GALT7_CAUSES_EDS_PROGEROID_TYPE	1	1	0.047492290334484766	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.04566728068202852	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.011450504034945963	0.06466273833912028	1	0.014668820188435072	1	0.06840408993365876	1	1	1	1	1	1	1	1	1	1	1	0.0519813407287113	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_DEFECTIVE_C1GALT1C1_CAUSES_TN_POLYAGGLUTINATION_SYNDROME_TNPS_	1	1	1	1	1	1	1	1	1	1	1	0.00038886135808124944	1	1	0.003287006037753226	0.008740936819607414	0.0034632714490709926	1	1	1	1	1	1	1	1	1	1	1	1	1.0000251489339362e-05	1	1	1	1	1	3.0941325770417194e-06	0.008186898586235891	5.6625053795000824e-05	1	1	1	1	1	1	1	0.00541324253414166	0.016000614856586437	1	1	1	1	0.006632212443713925	1	1	1	1	1	1	1	0.0035850923918974154	1	1	1	0.00041122823517258933	1	1	1	1	1	1	1	1	1	1	1
REACTOME_DEFECTIVE_CHST14_CAUSES_EDS_MUSCULOCONTRACTURAL_TYPE	1	1	0.008033925225768845	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_DEFECTIVE_CHST3_CAUSES_SEDCJD	1	1	0.008033925225768845	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_DEFECTIVE_CHSY1_CAUSES_TPBS	1	1	0.008033925225768845	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_DEFECTIVE_EXT2_CAUSES_EXOSTOSES_2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.005662100491391042	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_DEFECTIVE_FACTOR_VIII_CAUSES_HEMOPHILIA_A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.007436051683171185	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_DEFECTIVE_GALNT3_CAUSES_FAMILIAL_HYPERPHOSPHATEMIC_TUMORAL_CALCINOSIS_HFTC_	1	1	1	1	1	1	1	1	1	1	1	0.00034347698384140646	1	1	0.0029098069117998726	0.007336206980685711	0.002891093556901425	1	1	1	1	1	1	1	1	1	1	1	1	7.696601309836737e-06	1	1	1	1	1	2.5510149654905945e-06	0.006868132649078262	4.084217354272113e-05	1	1	1	1	1	1	1	0.004529576056703566	0.014224612971749595	1	1	1	1	0.005879661347666043	1	1	1	1	1	1	1	0.0029932929205173098	1	1	1	0.000319893914650593	1	1	1	1	1	1	1	1	1	1	1
REACTOME_DEFECTS_OF_CONTACT_ACTIVATION_SYSTEM_CAS_AND_KALLIKREIN_KININ_SYSTEM_KKS_	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.03787523854336006	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	1	1	0.011845036134088605	1	1	1	1	1	1	1	1	1	1	1	1	0.028025763132052295	1	1	1	1	1	1	1	1	1	1	1	1	0.00584466522909266	1	1	0.08604484513628119	1	0.010385777423117637	1	1	1	0.07456626274260225	1	1	1	1	1	1	1	1	1	1	0.022034965576866683	1	1	0.01901426596867084	1	1	1	1	1	1	1	1	0.018979732912058123	1	1	0.08405467525440613	0.012165120952664643	0.09848031492334008	1	1	1	1	1	1	1	1	1
REACTOME_DERMATAN_SULFATE_BIOSYNTHESIS	1	1	0.015242543297286804	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_DEVELOPMENTAL_BIOLOGY	1	1	1	1	1	0.07374016785666604	1	1	1	1	1	1	1	1	1	0.07506237929270843	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.009484629102586628	0.07483340034439045	0.0832076082943436	1	1	1	1	1	0.07857882324335397	1	1	0.019960375363568428	1	1	0.09248236934118603	1	1	1	1	1	1	1	1	1	0.018455132835536237	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.09390111195925399	1	1	1	1	1
REACTOME_DISEASE	1	1	1	1	0.009129574835247012	0.06783178604714812	1	1	1	1	1	0.015052084281355071	1	1	1	1	0.03406239014240531	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0489910260690295	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSAMINOGLYCAN_METABOLISM	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0674505365154805	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.09668202330817122	0.004532033244679101	0.053855123384492054	1	0.006505577522957551	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_DISEASES_ASSOCIATED_WITH_O_GLYCOSYLATION_OF_PROTEINS	1	1	1	1	0.007096107931167217	1	1	1	1	1	1	0.006171223585331731	1	1	0.04666837904594079	0.09723413024153371	0.008253615519920654	1	1	1	1	1	1	1	1	1	1	1	0.047926142055759735	0.0024695969805055284	1	1	1	1	1	0.0002151929567667521	0.001529607335688632	0.00193671444547594	1	1	1	0.05384061001232343	1	0.025525281546071033	1	0.059222318963856324	0.04360112531386451	1	1	1	1	0.013289798745114823	1	1	1	1	0.051772941542367557	1	1	0.03793996792058352	1	1	1	0.05983755358315046	1	1	1	1	1	1	1	1	1	1	1
REACTOME_DISEASES_OF_CARBOHYDRATE_METABOLISM	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.03466717143357756	1	1	1	1	1	1	0.02502441259158561	1	1	1	1	1	1	1	1	0.015894673410100424	1	0.03356277485833736	1	1	1	1
REACTOME_DISEASES_OF_GLYCOSYLATION	1	1	1	1	0.022426796620581335	1	1	1	1	1	1	0.02541666431890055	1	0.061700008290832886	1	1	0.01662984596482786	1	1	1	1	1	1	1	1	1	1	1	1	0.031582952673245845	1	1	1	1	1	9.969465208670147e-05	0.027664568407312795	0.03415165974096945	1	1	0.0063592305446237285	0.03065800258639062	1	0.002192303045946531	1	0.08969698843358365	1	1	1	1	1	0.08615360881287959	1	1	1	1	0.041733693066395294	1	1	0.05130088160788726	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.05779864372328469
REACTOME_DISEASES_OF_METABOLISM	1	1	0.06920104222449219	1	0.02091127115591007	1	1	1	1	1	1	0.06774181759643105	1	1	1	1	0.038599158308292525	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0007890518825486303	0.046178188379989216	1	1	0.09653124359673038	0.015585220239529352	1	1	0.008183550556645769	1	0.08615114586305694	1	1	1	1	0.07262459359311069	1	1	1	1	1	1	1	1	0.006488055144683869	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_DISEASES_OF_MITOTIC_CELL_CYCLE	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.028163888150368965	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.042134214112712565	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_DOPAMINE_NEUROTRANSMITTER_RELEASE_CYCLE	1	1	0.06111997900695232	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0007536411600428394	0.06205125572314507	1	1	0.05881381306060307	1	1	1	1	1	1	1	1	0.0008835390475206983	1	1	1	0.0013111295088711339	0.0006031823198360264	1	0.002358960564046053	0.0027413906793518628	1	0.03458215983986457	1	0.011756189838218356	1	1	1	0.012817488833729351	1	1	0.04905611717233982	0.04820181058414996	1	1	1	1	0.07212172707778752	1	1	0.0667813503697845	0.009690003056625374	1	0.009486108759667156	1	1	0.0878886675894831	1	1	1	1	0.007462269140648403	1	1	1	1	1	1
REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.04443100399964939	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.027913111463174656	0.01620524515787025	1	0.041870479687013296	1	1	1	1	1	1	1	1	1	0.049284872493298604	1	1	1	1	1	1	1	1	1	1	0.019161230769853432	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.09500109546060242	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.09898832662614465	0.06926319221551913	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.07732595589446734	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR4	1	0.01099909268100141	1	1	0.03650720978367761	1	1	1	1	1	1	1	1	1	1	0.031149411702949492	1	0.08224993167555661	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0792518224263199	1	0.029303755082480842	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0883516061049131	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_DSCAM_INTERACTIONS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.015492959276703244	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.018500985221747923	1	0.018230161057068317	1	1	1	1	0.0007569460724391464	1	1	1	1	1	1	1	1	1
REACTOME_ECM_PROTEOGLYCANS	1	1	0.010805787075050088	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_EFFECTS_OF_PIP2_HYDROLYSIS	1	1	0.081046376179161	1	1	1	1	1	1	1	1	1	1	1	1	1	0.013014858775624583	1	0.02038305508884175	0.002008128988998048	0.0010959967659063263	1	0.004467095808238453	1	1	1	1	1	1	0.02109577659208528	1	0.016978143692942482	1	1	0.01109243823077033	1	1	1	1	1	1	1	1	1	1	1	0.0035767808690316816	1	0.06538622930071769	1	1	1	1	1	0.01480624006418596	1	1	0.001431416095711957	0.015117811444644635	0.08958828932808938	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_EICOSANOID_LIGAND_BINDING_RECEPTORS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.057173239738842696	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.030505804265905878	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_ELASTIC_FIBRE_FORMATION	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0793082667306807	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0657905526662661	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.033208848836669524	1	1	1	1	1	1	1	1	1	1
REACTOME_ELEVATION_OF_CYTOSOLIC_CA2_LEVELS	1	1	1	1	1	1	1	1	1	1	1	1	1	0.011669881974244678	1	1	0.002891093556901425	1	1	1	0.03016178555208926	1	1	1	1	1	1	1	1	1	1	0.006119876338616437	1	1	1	1	0.05970695450360641	1	1	0.017386824125786404	1	0.04311622490490641	1	1	1	0.004529576056703566	1	1	0.02496988642575848	1	1	1	1	1	1	1	1	0.034445931365968074	1	1	0.037339217582083806	1	1	1	1	1	1	1	1	1	0.007924987203402178	1	1	1	1
REACTOME_ENDOGENOUS_STEROLS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.07806273179025558	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0792518224263199	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_EPHA_MEDIATED_GROWTH_CONE_COLLAPSE	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0728892360383222	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_EPHB_MEDIATED_FORWARD_SIGNALING	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0477514078122101	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_EPHRIN_SIGNALING	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.08443934055389835	1	1	1	1	1	1	1	1	1	1	1	1	1	0.01073109012769613	1	1	1	1	1	1	1	0.0870183653807679	1	1	1	0.0068398889469969415	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.05196205086483596	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_EPH_EPHRIN_MEDIATED_REPULSION_OF_CELLS	1	1	1	1	1	1	1	1	1	1	1	1	1	0.015853496944397638	1	0.009696033619879696	1	1	1	1	1	1	1	1	1	1	1	1	1	0.06740939455804473	1	1	1	1	0.05845883632459081	1	1	1	1	1	1	0.004131322037310925	1	1	1	0.0974908530049956	1	1	1	0.007725070903275788	1	1	1	1	0.016721031536286124	1	1	1	0.07685481772456804	1	1	1	0.014165020792324179	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_EPH_EPHRIN_SIGNALING	0.039202536149463896	1	1	1	1	1	1	1	1	1	1	1	1	0.0706061785815899	1	0.08797457659343255	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.02597017413254754	1	1	1	1	1	0.037627495103818465	1	1	0.012619700449247206	1	1	1	1	1	1	1	0.05339396485814485	1	1	1	1	0.032751774877635254	1	1	1	1	1	1	1	0.042426527064583164	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_ER_TO_GOLGI_ANTEROGRADE_TRANSPORT	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.09057201048601904	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.056923730659629634	1	1	1	1	1	1	0.0802319927561177	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_ESTROGEN_DEPENDENT_NUCLEAR_EVENTS_DOWNSTREAM_OF_ESR_MEMBRANE_SIGNALING	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.06345289586936487	1	1	1	1	1	1	1	1	1	1	1	1	0.09232372194588523	0.06443784532515662	1	1	1	1	1	1	1	1	1	1	0.09399597633696799	1	1	0.05298154057656801	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
